time,Oklahoma City,pts.away,score,pts.home,Detroit
0:45.0,,,33-22,,Offensive rebound by T. Harris
0:45.0,,,33-22,,T. Harris misses 2-pt shot at rim
0:45.0,,,33-22,,Offensive rebound by B. Marjanovic
0:44.0,,,33-22,,B. Marjanovic misses 2-pt shot from 1 ft
0:40.0,,,33-22,,Offensive rebound by T. Harris
0:40.0,,,33-22,,T. Harris misses 2-pt shot from 2 ft
0:37.0,Defensive rebound by J. Grant,,33-22,,
0:30.0,P. George makes 3-pt shot from 24 ft,3,36-22,,
0:09.0,,,36-24,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by T. Harris)
0:02.0,P. George misses 2-pt shot from 21 ft,,36-24,,
0:02.0,,,36-24,,Defensive rebound by I. Smith
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,36-24,,Shooting foul by A. Abrines (drawn by L. Kennard)
11:46.0,,,36-25,1,L. Kennard makes free throw 1 of 2
11:46.0,,,36-26,1,L. Kennard makes free throw 2 of 2
11:35.0,J. Grant misses 2-pt shot from 2 ft,,36-26,,
11:32.0,,,36-26,,Defensive rebound by R. Bullock
11:24.0,,,36-26,,B. Marjanovic misses 2-pt shot from 1 ft
11:22.0,Defensive rebound by P. Patterson,,36-26,,
11:14.0,R. Felton makes 2-pt shot from 9 ft,2,38-26,,
10:57.0,,,38-28,2,R. Bullock makes 2-pt shot at rim (assist by B. Marjanovic)
10:41.0,J. Grant makes 2-pt shot from 18 ft (assist by R. Felton),2,40-28,,
10:30.0,,,40-30,2,B. Marjanovic makes 2-pt shot from 5 ft (assist by I. Smith)
10:19.0,R. Felton makes 2-pt shot from 21 ft,2,42-30,,
10:05.0,,,42-32,2,B. Marjanovic makes 2-pt shot from 4 ft (assist by R. Bullock)
9:48.0,J. Grant misses 3-pt shot from 26 ft,,42-32,,
9:43.0,,,42-32,,Defensive rebound by A. Tolliver
9:31.0,,,42-32,,L. Kennard misses 3-pt shot from 24 ft
9:30.0,,,42-32,,Offensive rebound by Team
9:17.0,,,42-32,,L. Kennard misses 2-pt shot from 19 ft
9:14.0,Defensive rebound by R. Felton,,42-32,,
9:08.0,R. Felton makes 2-pt shot from 18 ft,2,44-32,,
8:59.0,,,44-32,,Detroit full timeout
8:59.0,R. Westbrook enters the game for T. Ferguson,,44-32,,
8:51.0,,,44-32,,Turnover by A. Tolliver (bad pass; steal by P. Patterson)
8:47.0,P. Patterson misses 3-pt shot from 25 ft,,44-32,,
8:43.0,,,44-32,,Defensive rebound by B. Marjanovic
8:31.0,,,44-32,,R. Bullock misses 3-pt shot from 22 ft
8:28.0,,,44-32,,Offensive rebound by R. Bullock
8:27.0,,,44-34,2,R. Bullock makes 2-pt shot from 2 ft
8:11.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook),3,47-34,,
8:02.0,Personal foul by P. Patterson (drawn by B. Marjanovic),,47-34,,
7:55.0,,,47-37,3,L. Kennard makes 3-pt shot from 22 ft (assist by I. Smith)
7:35.0,A. Abrines misses 3-pt shot from 26 ft,,47-37,,
7:33.0,,,47-37,,Defensive rebound by A. Tolliver
7:27.0,,,47-37,,A. Tolliver misses 3-pt shot from 24 ft
7:25.0,,,47-37,,Offensive rebound by B. Marjanovic
7:25.0,,,47-37,,Shooting foul by P. Patterson (drawn by B. Marjanovic)
7:25.0,,,47-38,1,B. Marjanovic makes free throw 1 of 2
7:25.0,,,47-39,1,B. Marjanovic makes free throw 2 of 2
7:16.0,A. Abrines misses 3-pt shot from 27 ft,,47-39,,
7:16.0,,,47-39,,Defensive rebound by A. Tolliver
7:04.0,Personal foul by J. Grant (drawn by L. Kennard),,47-39,,
7:04.0,,,47-39,,A. Drummond enters the game for B. Marjanovic
7:04.0,S. Adams enters the game for J. Grant,,47-39,,
6:57.0,,,47-42,3,L. Kennard makes 3-pt shot from 26 ft (assist by I. Smith)
6:42.0,R. Westbrook makes 2-pt shot from 16 ft,2,49-42,,
6:26.0,,,49-44,2,A. Tolliver makes 2-pt shot from 3 ft (assist by I. Smith)
6:26.0,,,49-44,,Shooting foul by S. Adams (drawn by A. Tolliver)
6:26.0,C. Anthony enters the game for R. Felton,,49-44,,
6:26.0,P. George enters the game for A. Abrines,,49-44,,
6:26.0,A. Roberson enters the game for P. Patterson,,49-44,,
6:26.0,,,49-45,1,A. Tolliver makes free throw 1 of 1
6:14.0,R. Westbrook makes 2-pt shot from 11 ft,2,51-45,,
6:00.0,,,51-45,,L. Kennard misses 2-pt shot from 6 ft
5:56.0,Defensive rebound by A. Roberson,,51-45,,
5:51.0,,,51-45,,A. Bradley enters the game for L. Kennard
5:41.0,C. Anthony misses 2-pt shot from 17 ft,,51-45,,
5:38.0,,,51-45,,Defensive rebound by R. Bullock
5:31.0,,,51-47,2,A. Bradley makes 2-pt shot from 1 ft (assist by I. Smith)
5:14.0,,,51-47,,Personal foul by A. Drummond (drawn by P. George)
5:06.0,C. Anthony misses 2-pt shot from 19 ft,,51-47,,
5:05.0,Offensive rebound by A. Roberson,,51-47,,
5:05.0,A. Roberson makes 2-pt shot at rim,2,53-47,,
4:47.0,,,53-47,,A. Bradley misses 2-pt shot from 16 ft
4:45.0,Defensive rebound by R. Westbrook,,53-47,,
4:40.0,R. Westbrook misses 2-pt shot from 20 ft,,53-47,,
4:38.0,Offensive rebound by R. Westbrook,,53-47,,
4:28.0,Oklahoma City full timeout,,53-47,,
4:28.0,,,53-47,,T. Harris enters the game for I. Smith
4:28.0,,,53-47,,L. Galloway enters the game for A. Tolliver
4:17.0,C. Anthony makes 2-pt shot from 18 ft (assist by P. George),2,55-47,,
4:03.0,,,55-47,,T. Harris misses 2-pt shot from 1 ft
4:01.0,,,55-47,,A. Drummond misses 2-pt shot from 1 ft
4:01.0,,,55-47,,Offensive rebound by A. Drummond
3:59.0,,,55-47,,Offensive rebound by A. Drummond
3:59.0,,,55-49,2,A. Drummond makes 2-pt shot from 1 ft
3:52.0,Offensive foul by R. Westbrook (drawn by A. Bradley),,55-49,,
3:52.0,Turnover by R. Westbrook (offensive foul),,55-49,,
3:41.0,,,55-49,,Offensive foul by R. Bullock (drawn by C. Anthony)
3:41.0,,,55-49,,Turnover by R. Bullock (offensive foul)
3:23.0,C. Anthony makes 2-pt shot from 8 ft,2,57-49,,
2:59.0,,,57-49,,R. Bullock misses 3-pt shot from 26 ft
2:55.0,Defensive rebound by S. Adams,,57-49,,
2:50.0,R. Westbrook makes 2-pt shot from 1 ft,2,59-49,,
2:27.0,,,59-49,,T. Harris misses 2-pt shot from 10 ft (block by A. Roberson)
2:25.0,Defensive rebound by A. Roberson,,59-49,,
2:22.0,Shooting foul by T. Harris (drawn by S. Adams),,59-49,,
2:22.0,S. Adams misses free throw 1 of 2,,59-49,,
2:22.0,Offensive rebound by Team,,59-49,,
2:22.0,S. Adams makes free throw 2 of 2,1,60-49,,
2:07.0,,,60-51,2,A. Drummond makes 2-pt shot from 1 ft (assist by A. Bradley)
1:56.0,P. George makes 3-pt shot from 22 ft (assist by R. Westbrook),3,63-51,,
1:42.0,,,63-51,,Turnover by A. Drummond (lost ball; steal by S. Adams)
1:38.0,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook),2,65-51,,
1:38.0,Shooting foul by T. Harris (drawn by S. Adams),,65-51,,
1:38.0,S. Adams misses free throw 1 of 1,,65-51,,
1:36.0,,,65-51,,Defensive rebound by A. Drummond
1:22.0,,,65-51,,A. Bradley misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by C. Anthony,,65-51,,
1:12.0,C. Anthony makes 2-pt shot from 17 ft,2,67-51,,
0:57.0,,,67-54,3,R. Bullock makes 3-pt shot from 25 ft (assist by A. Bradley)
0:45.0,S. Adams misses 2-pt shot from 11 ft,,67-54,,
0:41.0,,,67-54,,Defensive rebound by L. Galloway
0:35.0,,,67-57,3,R. Bullock makes 3-pt shot from 25 ft (assist by L. Galloway)
0:19.0,C. Anthony makes 2-pt shot from 15 ft (assist by R. Westbrook),2,69-57,,
0:04.0,,,69-57,,L. Galloway misses 2-pt shot from 11 ft
0:01.0,Defensive rebound by R. Westbrook,,69-57,,
0:00.0,C. Anthony misses 3-pt shot from 32 ft,,69-57,,
0:00.0,Offensive rebound by Team,,69-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:53.0,,,69-57,,S. Johnson misses 2-pt shot from 2 ft
11:51.0,Defensive rebound by S. Adams,,69-57,,
11:44.0,Oklahoma City full timeout,,69-57,,
11:30.0,S. Adams misses 2-pt shot from 2 ft,,69-57,,
11:28.0,,,69-57,,Defensive rebound by A. Drummond
11:07.0,,,69-57,,A. Drummond misses 2-pt shot from 3 ft
11:07.0,Defensive rebound by A. Roberson,,69-57,,
11:00.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,71-57,,
10:32.0,,,71-57,,L. Galloway misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by C. Anthony,,71-57,,
10:21.0,R. Westbrook makes 3-pt shot from 25 ft (assist by C. Anthony),3,74-57,,
10:03.0,Personal foul by P. George (drawn by T. Harris),,74-57,,
9:55.0,,,74-57,,A. Bradley misses 3-pt shot from 22 ft
9:54.0,,,74-57,,Offensive rebound by Team
9:54.0,Loose ball foul by S. Adams (drawn by A. Drummond),,74-57,,
9:42.0,,,74-57,,Turnover by T. Harris (lost ball; steal by C. Anthony)
9:38.0,R. Westbrook misses 2-pt shot from 4 ft,,74-57,,
9:38.0,Offensive rebound by Team,,74-57,,
9:35.0,C. Anthony makes 2-pt shot from 12 ft (assist by R. Westbrook),2,76-57,,
9:35.0,,,76-57,,Detroit full timeout
9:12.0,,,76-57,,A. Drummond misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by C. Anthony,,76-57,,
8:57.0,Shooting foul by S. Johnson (drawn by P. George),,76-57,,
8:57.0,P. George makes free throw 1 of 3,1,77-57,,
8:57.0,P. George misses free throw 2 of 3,,77-57,,
8:57.0,Offensive rebound by Team,,77-57,,
8:57.0,P. George makes free throw 3 of 3,1,78-57,,
8:45.0,,,78-57,,Turnover by T. Harris (lost ball; steal by P. George)
8:43.0,Shooting foul by A. Bradley (drawn by P. George),,78-57,,
8:43.0,P. George makes free throw 1 of 2,1,79-57,,
8:43.0,,,79-57,,R. Bullock enters the game for S. Johnson
8:43.0,P. George misses free throw 2 of 2,,79-57,,
8:39.0,Offensive rebound by S. Adams,,79-57,,
8:30.0,Shooting foul by L. Galloway (drawn by C. Anthony),,79-57,,
8:30.0,C. Anthony makes free throw 1 of 2,1,80-57,,
8:30.0,C. Anthony makes free throw 2 of 2,1,81-57,,
8:05.0,,,81-57,,Turnover by Team (shot clock)
7:58.0,,,81-57,,Personal foul by A. Bradley (drawn by R. Westbrook)
7:58.0,,,81-57,,I. Smith enters the game for L. Galloway
7:50.0,S. Adams misses 2-pt shot from 6 ft,,81-57,,
7:45.0,Offensive rebound by R. Westbrook,,81-57,,
7:39.0,R. Westbrook makes 3-pt shot from 25 ft,3,84-57,,
7:24.0,,,84-59,2,T. Harris makes 2-pt shot from 1 ft (assist by A. Drummond)
7:22.0,Turnover by R. Westbrook (bad pass),,84-59,,
7:09.0,,,84-61,2,A. Bradley makes 2-pt shot from 1 ft (assist by I. Smith)
6:41.0,Turnover by Team (shot clock),,84-61,,
6:33.0,Personal foul by C. Anthony (drawn by A. Drummond),,84-61,,
6:26.0,,,84-64,3,R. Bullock makes 3-pt shot from 23 ft (assist by A. Bradley)
6:08.0,Jump ball: A. Bradley vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: A. Bradley vs. S. Adams (R. Westbrook gains possession)
5:59.0,R. Westbrook makes 2-pt shot from 22 ft,2,86-64,,
5:42.0,,,86-66,2,T. Harris makes 2-pt shot from 1 ft
5:26.0,A. Roberson makes 2-pt shot from 2 ft (assist by S. Adams),2,88-66,,
5:26.0,Shooting foul by I. Smith (drawn by A. Roberson),,88-66,,
5:26.0,A. Roberson makes free throw 1 of 1,1,89-66,,
5:12.0,,,89-66,,Turnover by R. Bullock (bad pass; steal by R. Westbrook)
5:07.0,R. Westbrook misses 2-pt shot from 1 ft,,89-66,,
5:03.0,,,89-66,,Defensive rebound by A. Bradley
4:58.0,,,89-66,,Turnover by A. Bradley (bad pass; steal by P. George)
4:55.0,,,89-66,,Personal foul by A. Bradley (drawn by P. George)
4:55.0,P. George makes free throw 1 of 2,1,90-66,,
4:55.0,,,90-66,,L. Kennard enters the game for A. Bradley
4:55.0,P. George makes free throw 2 of 2,1,91-66,,
4:45.0,,,91-66,,Shooting foul by R. Westbrook (drawn by A. Drummond)
4:45.0,,,91-66,,A. Drummond misses free throw 1 of 2
4:45.0,,,91-66,,Offensive rebound by Team
4:45.0,,,91-66,,A. Drummond misses free throw 2 of 2
4:43.0,Defensive rebound by R. Westbrook,,91-66,,
4:33.0,Turnover by R. Westbrook (bad pass),,91-66,,
4:33.0,Oklahoma City full timeout,,91-66,,
4:33.0,T. Ferguson enters the game for A. Roberson,,91-66,,
4:17.0,,,91-66,,A. Drummond misses 2-pt shot from 5 ft
4:15.0,Defensive rebound by S. Adams,,91-66,,
4:09.0,C. Anthony misses 3-pt shot from 25 ft,,91-66,,
4:06.0,Offensive rebound by T. Ferguson,,91-66,,
4:04.0,,,91-66,,Violation by A. Drummond (kicked ball)
3:53.0,C. Anthony misses 3-pt shot from 25 ft,,91-66,,
3:51.0,,,91-66,,Defensive rebound by Team
3:51.0,Loose ball foul by S. Adams,,91-66,,
3:51.0,,,91-67,1,A. Drummond makes free throw 2 of 2
3:51.0,,,91-68,1,A. Drummond makes free throw 1 of 2
3:51.0,Technical foul by S. Adams,,91-68,,
3:51.0,P. Patterson enters the game for S. Adams,,91-68,,
3:51.0,,,91-69,1,T. Harris makes technical free throw
3:43.0,P. George misses 2-pt shot from 6 ft (block by A. Drummond),,91-69,,
3:42.0,,,91-69,,Defensive rebound by R. Bullock
3:35.0,,,91-69,,R. Bullock misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by R. Westbrook,,91-69,,
3:25.0,R. Westbrook misses 2-pt shot from 10 ft,,91-69,,
3:25.0,Offensive rebound by Team,,91-69,,
3:25.0,,,91-69,,Loose ball foul by T. Harris (drawn by P. George)
3:25.0,P. George makes free throw 1 of 2,1,92-69,,
3:25.0,,,92-69,,A. Tolliver enters the game for A. Drummond
3:25.0,P. George makes free throw 2 of 2,1,93-69,,
3:06.0,,,93-71,2,T. Harris makes 2-pt shot from 3 ft
2:50.0,C. Anthony misses 2-pt shot from 15 ft,,93-71,,
2:47.0,,,93-71,,Defensive rebound by R. Bullock
2:43.0,,,93-73,2,I. Smith makes 2-pt shot from 15 ft
2:24.0,Turnover by R. Westbrook (bad pass; steal by T. Harris),,93-73,,
2:18.0,,,93-75,2,T. Harris makes 2-pt shot from 1 ft (assist by R. Bullock)
2:18.0,,,93-75,,Shooting foul by P. George (drawn by T. Harris)
2:18.0,,,93-76,1,T. Harris makes free throw 1 of 1
2:05.0,R. Westbrook misses 2-pt shot from 3 ft,,93-76,,
2:03.0,,,93-76,,Defensive rebound by I. Smith
1:59.0,,,93-79,3,R. Bullock makes 3-pt shot from 22 ft (assist by I. Smith)
1:34.0,P. George misses 2-pt shot from 3 ft,,93-79,,
1:28.0,Offensive rebound by P. Patterson,,93-79,,
1:27.0,P. Patterson makes 2-pt shot from 1 ft,2,95-79,,
1:09.0,,,95-81,2,I. Smith makes 2-pt shot from 21 ft
0:51.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook),3,98-81,,
0:38.0,,,98-81,,A. Tolliver misses 3-pt shot from 26 ft
0:34.0,Defensive rebound by T. Ferguson,,98-81,,
0:29.0,R. Westbrook misses 3-pt shot from 26 ft,,98-81,,
0:27.0,,,98-81,,Defensive rebound by R. Bullock
0:08.0,,,98-81,,T. Harris misses 3-pt shot from 22 ft
0:05.0,Defensive rebound by R. Westbrook,,98-81,,
0:00.0,P. George misses 3-pt shot from 29 ft,,98-81,,
0:00.0,Offensive rebound by Team,,98-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,P. Patterson makes 3-pt shot from 27 ft (assist by R. Felton),3,101-81,,
11:26.0,,,101-81,,L. Kennard misses 2-pt shot from 10 ft
11:22.0,Defensive rebound by J. Huestis,,101-81,,
11:16.0,R. Felton misses 2-pt shot from 16 ft,,101-81,,
11:12.0,,,101-81,,Defensive rebound by B. Marjanovic
11:06.0,,,101-83,2,I. Smith makes 2-pt shot from 18 ft
10:46.0,J. Grant misses 3-pt shot from 24 ft,,101-83,,
10:42.0,,,101-83,,Defensive rebound by A. Tolliver
10:37.0,,,101-83,,L. Kennard misses 2-pt shot from 16 ft
10:35.0,,,101-83,,Offensive rebound by Team
10:33.0,,,101-83,,L. Kennard misses 3-pt shot from 23 ft
10:28.0,Defensive rebound by J. Huestis,,101-83,,
10:19.0,J. Huestis misses 2-pt shot from 13 ft,,101-83,,
10:18.0,,,101-83,,Defensive rebound by Team
10:00.0,,,101-83,,R. Bullock misses 3-pt shot from 25 ft
9:57.0,,,101-83,,Offensive rebound by B. Marjanovic
9:56.0,,,101-85,2,B. Marjanovic makes 2-pt shot at rim
9:31.0,T. Ferguson misses 3-pt shot from 26 ft,,101-85,,
9:28.0,,,101-85,,Defensive rebound by I. Smith
9:20.0,,,101-85,,A. Tolliver misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by P. Patterson,,101-85,,
9:18.0,Oklahoma City full timeout,,101-85,,
9:08.0,P. Patterson misses 3-pt shot from 24 ft,,101-85,,
9:05.0,Offensive rebound by J. Huestis,,101-85,,
8:58.0,R. Felton misses 2-pt shot from 20 ft,,101-85,,
8:55.0,,,101-85,,Defensive rebound by B. Marjanovic
8:45.0,,,101-87,2,B. Marjanovic makes 2-pt shot from 3 ft (assist by I. Smith)
8:28.0,J. Grant makes 3-pt shot from 25 ft (assist by R. Felton),3,104-87,,
8:06.0,,,104-87,,Shooting foul by T. Ferguson (drawn by B. Marjanovic)
8:06.0,,,104-88,1,B. Marjanovic makes free throw 1 of 2
8:06.0,,,104-89,1,B. Marjanovic makes free throw 2 of 2
7:50.0,J. Huestis misses 3-pt shot from 27 ft,,104-89,,
7:45.0,Offensive rebound by T. Ferguson,,104-89,,
7:33.0,T. Ferguson misses 3-pt shot from 23 ft,,104-89,,
7:29.0,,,104-89,,Defensive rebound by B. Marjanovic
7:23.0,,,104-89,,A. Tolliver misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by R. Felton,,104-89,,
7:12.0,Turnover by R. Felton (bad pass; steal by R. Bullock),,104-89,,
7:01.0,,,104-89,,B. Marjanovic misses 2-pt shot from 4 ft
7:00.0,,,104-89,,Offensive rebound by A. Tolliver
6:54.0,,,104-92,3,A. Tolliver makes 3-pt shot from 24 ft (assist by R. Bullock)
6:32.0,P. Patterson misses 3-pt shot from 22 ft,,104-92,,
6:29.0,,,104-92,,Defensive rebound by B. Marjanovic
6:24.0,,,104-95,3,L. Kennard makes 3-pt shot from 25 ft (assist by I. Smith)
6:21.0,Oklahoma City full timeout,,104-95,,
6:21.0,R. Westbrook enters the game for P. Patterson,,104-95,,
6:21.0,C. Anthony enters the game for R. Felton,,104-95,,
6:21.0,P. George enters the game for J. Grant,,104-95,,
6:21.0,S. Adams enters the game for J. Huestis,,104-95,,
6:07.0,C. Anthony misses 2-pt shot from 18 ft,,104-95,,
6:06.0,Offensive rebound by Team,,104-95,,
6:06.0,,,104-95,,Loose ball foul by B. Marjanovic (drawn by S. Adams)
5:58.0,R. Westbrook makes 2-pt shot from 3 ft (assist by S. Adams),2,106-95,,
5:39.0,,,106-95,,B. Marjanovic misses 2-pt shot from 7 ft (block by S. Adams)
5:32.0,Defensive rebound by S. Adams,,106-95,,
5:31.0,Turnover by R. Westbrook (bad pass; steal by B. Marjanovic),,106-95,,
5:26.0,,,106-97,2,I. Smith makes 2-pt shot from 12 ft
5:09.0,P. George misses 2-pt shot from 15 ft,,106-97,,
5:09.0,,,106-97,,Defensive rebound by L. Kennard
4:54.0,,,106-97,,R. Bullock misses 3-pt shot from 23 ft
4:54.0,,,106-97,,Offensive rebound by Team
4:54.0,Loose ball foul by C. Anthony (drawn by B. Marjanovic),,106-97,,
4:41.0,,,106-97,,Offensive foul by B. Marjanovic (drawn by S. Adams)
4:41.0,,,106-97,,Turnover by B. Marjanovic (offensive foul)
4:41.0,,,106-97,,A. Drummond enters the game for B. Marjanovic
4:30.0,Shooting foul by A. Drummond (drawn by R. Westbrook),,106-97,,
