time,Toronto,pts.away,score,pts.home,Phoenix
6:59.0,Defensive rebound by J. Valanciunas,,13-8,,
6:55.0,,,13-8,,Personal foul by J. Jackson (drawn by K. Lowry)
6:55.0,,,13-8,,T. Daniels enters the game for J. Jackson
6:46.0,J. Valanciunas makes 2-pt shot from 9 ft (assist by D. DeRozan),2,15-8,,
6:30.0,,,15-8,,Shooting foul by O. Anunoby (drawn by T. Warren)
6:30.0,,,15-9,1,T. Warren makes free throw 1 of 2
6:30.0,,,15-9,,T. Warren misses free throw 2 of 2
6:28.0,Defensive rebound by J. Valanciunas,,15-9,,
6:15.0,K. Lowry misses 3-pt shot from 26 ft,,15-9,,
6:11.0,,,15-9,,Defensive rebound by G. Monroe
6:06.0,,,15-11,2,T. Ulis makes 2-pt shot from 18 ft
5:51.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,17-11,,
5:36.0,,,17-11,,Shooting foul by J. Valanciunas (drawn by G. Monroe)
5:36.0,,,17-12,1,G. Monroe makes free throw 1 of 2
5:36.0,,,17-13,1,G. Monroe makes free throw 2 of 2
5:30.0,,,17-13,,Personal block foul by T. Ulis (drawn by D. DeRozan)
5:30.0,,,17-13,,A. Len enters the game for G. Monroe
5:21.0,O. Anunoby misses 2-pt shot at rim (block by A. Len),,17-13,,
5:18.0,,,17-13,,Defensive rebound by M. Chriss
5:16.0,,,17-13,,T. Daniels misses 3-pt shot from 24 ft
5:13.0,,,17-13,,Offensive rebound by A. Len
5:10.0,,,17-13,,Shooting foul by O. Anunoby (drawn by T. Warren)
5:10.0,C. Miles enters the game for O. Anunoby,,17-13,,
5:10.0,,,17-14,1,T. Warren makes free throw 1 of 2
5:10.0,,,17-15,1,T. Warren makes free throw 2 of 2
4:58.0,D. DeRozan makes 2-pt shot from 14 ft (assist by K. Lowry),2,19-15,,
4:58.0,,,19-15,,Violation by A. Len (def goaltending)
4:58.0,Shooting foul by T. Warren (drawn by D. DeRozan),,19-15,,
4:58.0,D. DeRozan makes free throw 1 of 1,1,20-15,,
4:53.0,,,20-17,2,T. Ulis makes 2-pt shot from 10 ft
4:37.0,J. Valanciunas makes 3-pt shot from 24 ft (assist by K. Lowry),3,23-17,,
4:21.0,,,23-20,3,T. Daniels makes 3-pt shot from 26 ft (assist by A. Len)
4:09.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry),3,26-20,,
3:57.0,,,26-20,,T. Warren misses 2-pt shot from 9 ft
3:57.0,,,26-20,,Offensive rebound by A. Len
3:57.0,,,26-20,,Shooting foul by S. Ibaka (drawn by A. Len)
3:57.0,,,26-21,1,A. Len makes free throw 1 of 2
3:57.0,,,26-21,,D. Bender enters the game for M. Chriss
3:57.0,,,26-22,1,A. Len makes free throw 2 of 2
3:42.0,Toronto full timeout,,26-22,,
3:33.0,J. Valanciunas misses 2-pt shot from 1 ft (block by A. Len),,26-22,,
3:29.0,,,26-22,,Defensive rebound by T. Warren
3:19.0,,,26-22,,D. Bender misses 2-pt shot from 20 ft
3:16.0,Defensive rebound by S. Ibaka,,26-22,,
3:11.0,S. Ibaka misses 2-pt shot from 11 ft,,26-22,,
3:08.0,,,26-22,,Defensive rebound by T. Ulis
3:01.0,,,26-24,2,A. Len makes 2-pt shot from 1 ft (assist by T. Ulis)
3:01.0,,,26-24,,Shooting foul by C. Miles (drawn by A. Len)
3:01.0,,,26-24,,M. James enters the game for T. Ulis
3:01.0,F. VanVleet enters the game for K. Lowry,,26-24,,
3:01.0,J. Poeltl enters the game for S. Ibaka,,26-24,,
3:01.0,P. Siakam enters the game for J. Valanciunas,,26-24,,
3:01.0,,,26-25,1,A. Len makes free throw 1 of 1
2:41.0,C. Miles misses 2-pt shot from 22 ft,,26-25,,
2:37.0,,,26-25,,Defensive rebound by M. James
2:23.0,,,26-25,,Turnover by A. Len (bad pass; steal by P. Siakam)
2:20.0,P. Siakam makes 2-pt shot from 1 ft,2,28-25,,
1:59.0,,,28-25,,T. Daniels misses 3-pt shot from 26 ft
1:56.0,Defensive rebound by P. Siakam,,28-25,,
1:51.0,F. VanVleet makes 2-pt shot at rim,2,30-25,,
1:37.0,,,30-25,,T. Warren misses 2-pt shot from 7 ft
1:33.0,,,30-25,,Offensive rebound by A. Len
1:33.0,,,30-27,2,A. Len makes 2-pt shot at rim
1:22.0,D. DeRozan makes 2-pt shot from 10 ft,2,32-27,,
1:03.0,,,32-29,2,D. Bender makes 2-pt shot from 1 ft
0:48.0,Shooting foul by T. Warren (drawn by D. DeRozan),,32-29,,
0:48.0,D. DeRozan makes free throw 1 of 2,1,33-29,,
0:48.0,,,33-29,,D. House enters the game for T. Warren
0:48.0,D. DeRozan makes free throw 2 of 2,1,34-29,,
0:35.0,,,34-31,2,M. James makes 2-pt shot from 1 ft
0:31.0,C. Miles makes 3-pt shot from 25 ft (assist by F. VanVleet),3,37-31,,
0:09.0,,,37-31,,M. James misses 2-pt shot from 21 ft
0:05.0,,,37-31,,Offensive rebound by A. Len
0:04.0,,,37-31,,Turnover by A. Len (lost ball; steal by C. Miles)
0:00.0,D. DeRozan misses 3-pt shot from 30 ft,,37-31,,
0:00.0,Offensive rebound by Team,,37-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Miles misses 2-pt shot from 22 ft,,37-31,,
11:39.0,Offensive rebound by J. Poeltl,,37-31,,
11:36.0,Turnover by N. Powell (bad pass; steal by M. James),,37-31,,
11:33.0,Violation by F. VanVleet (kicked ball),,37-31,,
11:21.0,,,37-31,,D. Bender misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by P. Siakam,,37-31,,
11:11.0,N. Powell misses 2-pt shot from 2 ft,,37-31,,
11:09.0,,,37-31,,Defensive rebound by T. Daniels
11:03.0,,,37-33,2,T. Daniels makes 2-pt shot from 21 ft (assist by A. Len)
10:43.0,N. Powell misses 3-pt shot from 23 ft,,37-33,,
10:40.0,,,37-33,,Defensive rebound by M. James
10:27.0,,,37-33,,A. Len misses 2-pt shot from 4 ft
10:25.0,Defensive rebound by J. Poeltl,,37-33,,
10:17.0,C. Miles makes 2-pt shot from 10 ft,2,39-33,,
10:01.0,Personal foul by N. Powell (drawn by M. James),,39-33,,
9:53.0,,,39-36,3,D. Bender makes 3-pt shot from 26 ft (assist by M. James)
9:36.0,J. Poeltl misses 2-pt shot from 6 ft (block by A. Len),,39-36,,
9:32.0,Offensive rebound by J. Poeltl,,39-36,,
9:32.0,J. Poeltl makes 2-pt shot at rim,2,41-36,,
9:19.0,,,41-36,,Turnover by M. James (bad pass; steal by N. Powell)
9:14.0,N. Powell misses 2-pt shot at rim (block by D. Bender),,41-36,,
9:12.0,,,41-36,,Defensive rebound by D. Bender
9:06.0,,,41-39,3,T. Daniels makes 3-pt shot from 26 ft (assist by M. James)
8:54.0,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet),2,43-39,,
8:34.0,,,43-39,,Shooting foul by N. Powell (drawn by T. Daniels)
8:34.0,,,43-40,1,T. Daniels makes free throw 1 of 3
8:34.0,,,43-41,1,T. Daniels makes free throw 2 of 3
8:34.0,,,43-41,,G. Monroe enters the game for A. Len
8:34.0,,,43-42,1,T. Daniels makes free throw 3 of 3
8:14.0,N. Powell misses 2-pt shot from 1 ft,,43-42,,
8:11.0,,,43-42,,Defensive rebound by G. Monroe
8:03.0,,,43-42,,M. James misses 2-pt shot from 5 ft
8:03.0,,,43-42,,Offensive rebound by G. Monroe
8:01.0,,,43-42,,Turnover by G. Monroe (lost ball; steal by F. VanVleet)
7:55.0,C. Miles misses 3-pt shot from 25 ft,,43-42,,
7:52.0,,,43-42,,Defensive rebound by Team
7:37.0,,,43-42,,D. House misses 3-pt shot from 23 ft
7:34.0,Defensive rebound by P. Siakam,,43-42,,
7:25.0,Turnover by F. VanVleet (bad pass),,43-42,,
7:25.0,K. Lowry enters the game for C. Miles,,43-42,,
7:11.0,,,43-42,,M. James misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by P. Siakam,,43-42,,
6:53.0,Turnover by F. VanVleet (lost ball; steal by G. Monroe),,43-42,,
6:38.0,,,43-42,,Shooting foul by F. VanVleet (drawn by M. James)
6:38.0,,,43-42,,Phoenix full timeout
6:38.0,D. DeRozan enters the game for N. Powell,,43-42,,
6:38.0,J. Valanciunas enters the game for J. Poeltl,,43-42,,
6:38.0,S. Ibaka enters the game for P. Siakam,,43-42,,
6:38.0,,,43-43,1,M. James makes free throw 1 of 2
6:38.0,,,43-43,,M. James misses free throw 2 of 2
6:35.0,Defensive rebound by S. Ibaka,,43-43,,
6:24.0,J. Valanciunas misses 2-pt shot from 1 ft,,43-43,,
6:20.0,,,43-43,,Defensive rebound by D. House
6:16.0,,,43-46,3,T. Daniels makes 3-pt shot from 22 ft (assist by D. House)
6:01.0,K. Lowry misses 2-pt shot from 11 ft,,43-46,,
5:59.0,,,43-46,,Defensive rebound by G. Monroe
5:54.0,,,43-46,,Turnover by M. James (lost ball; steal by F. VanVleet)
5:47.0,S. Ibaka makes 2-pt shot from 7 ft (assist by D. DeRozan),2,45-46,,
5:23.0,,,45-46,,M. James misses 2-pt shot from 19 ft
5:20.0,Defensive rebound by J. Valanciunas,,45-46,,
5:13.0,F. VanVleet misses 2-pt shot from 1 ft,,45-46,,
5:11.0,,,45-46,,Defensive rebound by D. Bender
5:01.0,,,45-48,2,G. Monroe makes 2-pt shot from 18 ft
4:31.0,D. DeRozan makes 2-pt shot from 17 ft,2,47-48,,
4:12.0,,,47-48,,Turnover by M. James (bad pass; steal by J. Valanciunas)
4:11.0,,,47-48,,T. Ulis enters the game for M. James
4:11.0,O. Anunoby enters the game for F. VanVleet,,47-48,,
4:04.0,D. DeRozan misses 3-pt shot from 25 ft,,47-48,,
4:03.0,,,47-48,,Defensive rebound by Team
3:46.0,,,47-48,,D. Bender misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by J. Valanciunas,,47-48,,
3:35.0,Shooting foul by D. House (drawn by J. Valanciunas),,47-48,,
3:35.0,J. Valanciunas makes free throw 1 of 2,1,48-48,,
3:35.0,,,48-48,,M. Chriss enters the game for D. House
3:35.0,,,48-48,,T. Warren enters the game for T. Daniels
3:35.0,,,48-48,,J. Jackson enters the game for D. Bender
3:35.0,J. Valanciunas misses free throw 2 of 2,,48-48,,
3:32.0,Offensive rebound by Team,,48-48,,
3:21.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by S. Ibaka),2,50-48,,
2:59.0,,,50-48,,J. Jackson misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by S. Ibaka,,50-48,,
2:42.0,J. Valanciunas makes 2-pt shot from 14 ft,2,52-48,,
2:25.0,Personal foul by O. Anunoby (drawn by G. Monroe),,52-48,,
2:25.0,Toronto full timeout,,52-48,,
2:25.0,L. Brown enters the game for O. Anunoby,,52-48,,
2:20.0,,,52-48,,T. Warren misses 2-pt shot from 18 ft
2:17.0,Defensive rebound by J. Valanciunas,,52-48,,
2:09.0,D. DeRozan makes 2-pt shot from 13 ft,2,54-48,,
1:51.0,,,54-50,2,G. Monroe makes 2-pt shot from 6 ft (assist by T. Ulis)
1:25.0,Turnover by Team (shot clock),,54-50,,
1:12.0,,,54-52,2,T. Ulis makes 2-pt shot from 1 ft
0:53.0,L. Brown misses 2-pt shot from 8 ft,,54-52,,
0:52.0,Offensive rebound by S. Ibaka,,54-52,,
0:52.0,S. Ibaka makes 2-pt shot at rim,2,56-52,,
0:39.0,,,56-52,,G. Monroe misses 2-pt shot at rim
0:35.0,,,56-52,,Offensive rebound by G. Monroe
0:35.0,,,56-52,,G. Monroe misses 2-pt shot at rim
0:34.0,,,56-52,,Offensive rebound by M. Chriss
0:32.0,,,56-52,,J. Jackson misses 3-pt shot from 25 ft
0:32.0,,,56-52,,Offensive rebound by G. Monroe
0:29.0,Personal foul by J. Valanciunas (drawn by G. Monroe),,56-52,,
0:29.0,,,56-52,,G. Monroe misses free throw 1 of 2
0:29.0,,,56-52,,Offensive rebound by Team
0:29.0,C. Miles enters the game for L. Brown,,56-52,,
0:29.0,,,56-52,,D. House enters the game for T. Warren
0:29.0,,,56-52,,T. Daniels enters the game for J. Jackson
0:29.0,,,56-52,,G. Monroe misses free throw 2 of 2
0:27.0,Defensive rebound by S. Ibaka,,56-52,,
0:17.0,Shooting foul by G. Monroe (drawn by K. Lowry),,56-52,,
0:17.0,K. Lowry makes free throw 1 of 2,1,57-52,,
0:17.0,L. Brown enters the game for C. Miles,,57-52,,
0:17.0,J. Poeltl enters the game for J. Valanciunas,,57-52,,
0:17.0,K. Lowry makes free throw 2 of 2,1,58-52,,
0:02.0,,,58-52,,D. House misses 2-pt shot from 3 ft (block by J. Poeltl)
0:01.0,Defensive rebound by D. DeRozan,,58-52,,
0:00.0,D. DeRozan misses 3-pt shot from 51 ft,,58-52,,
0:00.0,Offensive rebound by Team,,58-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Shooting foul by M. Chriss (drawn by D. DeRozan),,58-52,,
11:47.0,D. DeRozan makes free throw 1 of 2,1,59-52,,
11:47.0,D. DeRozan makes free throw 2 of 2,1,60-52,,
11:33.0,,,60-52,,T. Warren misses 2-pt shot from 11 ft
11:32.0,Defensive rebound by J. Valanciunas,,60-52,,
11:10.0,J. Valanciunas misses 2-pt shot from 9 ft,,60-52,,
11:09.0,Offensive rebound by S. Ibaka,,60-52,,
11:06.0,S. Ibaka makes 2-pt shot from 5 ft,2,62-52,,
10:56.0,Shooting block foul by K. Lowry (drawn by J. Jackson),,62-52,,
10:56.0,,,62-53,1,J. Jackson makes free throw 1 of 2
10:56.0,,,62-54,1,J. Jackson makes free throw 2 of 2
10:45.0,D. DeRozan makes 2-pt shot at rim,2,64-54,,
10:28.0,,,64-56,2,G. Monroe makes 2-pt shot from 5 ft
10:17.0,D. DeRozan misses 2-pt shot from 3 ft (block by G. Monroe),,64-56,,
10:16.0,,,64-56,,Defensive rebound by G. Monroe
10:08.0,,,64-58,2,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis)
9:53.0,D. DeRozan misses 2-pt shot from 12 ft,,64-58,,
9:51.0,Offensive rebound by Team,,64-58,,
9:51.0,,,64-58,,Loose ball foul by M. Chriss (drawn by J. Valanciunas)
9:44.0,Shooting foul by G. Monroe (drawn by J. Valanciunas),,64-58,,
9:44.0,J. Valanciunas makes free throw 1 of 2,1,65-58,,
9:44.0,J. Valanciunas makes free throw 2 of 2,1,66-58,,
9:33.0,,,66-58,,M. Chriss misses 3-pt shot from 22 ft
9:30.0,Defensive rebound by D. DeRozan,,66-58,,
9:16.0,O. Anunoby makes 2-pt shot at rim,2,68-58,,
8:52.0,,,68-60,2,T. Warren makes 2-pt shot at rim (assist by T. Ulis)
8:42.0,K. Lowry misses 2-pt shot at rim (block by G. Monroe),,68-60,,
8:41.0,Offensive rebound by D. DeRozan,,68-60,,
8:40.0,D. DeRozan makes 2-pt shot at rim,2,70-60,,
8:29.0,,,70-60,,Shooting foul by K. Lowry (drawn by T. Ulis)
8:29.0,,,70-61,1,T. Ulis makes free throw 1 of 2
8:29.0,,,70-61,,D. Bender enters the game for M. Chriss
8:29.0,,,70-62,1,T. Ulis makes free throw 2 of 2
8:16.0,D. DeRozan misses 2-pt shot from 14 ft,,70-62,,
8:13.0,,,70-62,,Defensive rebound by D. Bender
8:07.0,,,70-62,,Turnover by J. Jackson (offensive goaltending)
7:56.0,D. DeRozan makes 2-pt shot from 11 ft (assist by K. Lowry),2,72-62,,
7:47.0,,,72-64,2,G. Monroe makes 2-pt shot from 1 ft
7:39.0,K. Lowry misses 3-pt shot from 24 ft,,72-64,,
7:39.0,,,72-64,,Defensive rebound by Team
7:23.0,,,72-66,2,G. Monroe makes 2-pt shot from 17 ft (assist by T. Ulis)
7:09.0,D. DeRozan makes 2-pt shot from 12 ft,2,74-66,,
6:53.0,,,74-66,,J. Jackson misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by S. Ibaka,,74-66,,
6:43.0,K. Lowry misses 3-pt shot from 25 ft,,74-66,,
6:40.0,,,74-66,,Defensive rebound by J. Jackson
6:35.0,,,74-66,,T. Warren misses 2-pt shot at rim
6:33.0,Defensive rebound by O. Anunoby,,74-66,,
6:21.0,O. Anunoby misses 3-pt shot from 22 ft,,74-66,,
6:18.0,,,74-66,,Defensive rebound by G. Monroe
6:13.0,,,74-68,2,T. Ulis makes 2-pt shot from 12 ft (assist by D. Bender)
6:12.0,Toronto full timeout,,74-68,,
5:57.0,Shooting foul by T. Warren (drawn by O. Anunoby),,74-68,,
5:57.0,O. Anunoby makes free throw 1 of 2,1,75-68,,
5:57.0,O. Anunoby makes free throw 2 of 2,1,76-68,,
5:36.0,,,76-68,,T. Warren misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by J. Valanciunas,,76-68,,
5:24.0,S. Ibaka makes 3-pt shot from 25 ft (assist by D. DeRozan),3,79-68,,
5:10.0,,,79-68,,Offensive foul by T. Warren (drawn by D. DeRozan)
5:10.0,,,79-68,,Turnover by T. Warren (offensive foul)
5:10.0,,,79-68,,T. Daniels enters the game for T. Warren
4:54.0,Offensive foul by J. Valanciunas (drawn by G. Monroe),,79-68,,
4:54.0,Turnover by J. Valanciunas (offensive foul),,79-68,,
4:42.0,,,79-68,,Turnover by G. Monroe (lost ball; steal by K. Lowry)
4:21.0,O. Anunoby misses 2-pt shot from 18 ft,,79-68,,
4:18.0,,,79-68,,Defensive rebound by D. Bender
4:07.0,Personal foul by S. Ibaka (drawn by D. Bender),,79-68,,
4:07.0,,,79-68,,A. Len enters the game for G. Monroe
4:03.0,,,79-68,,J. Jackson misses 2-pt shot from 11 ft
4:00.0,Defensive rebound by S. Ibaka,,79-68,,
3:56.0,K. Lowry makes 3-pt shot from 26 ft,3,82-68,,
3:55.0,,,82-68,,Phoenix full timeout
3:55.0,,,82-68,,D. House enters the game for J. Jackson
3:55.0,J. Poeltl enters the game for J. Valanciunas,,82-68,,
3:42.0,,,82-70,2,T. Daniels makes 2-pt shot from 9 ft (assist by T. Ulis)
3:23.0,D. DeRozan makes 2-pt shot from 1 ft,2,84-70,,
3:11.0,,,84-70,,T. Daniels misses 2-pt shot from 4 ft
3:08.0,Defensive rebound by D. DeRozan,,84-70,,
3:08.0,Shooting foul by D. Bender (drawn by D. DeRozan),,84-70,,
3:08.0,D. DeRozan misses free throw 1 of 2,,84-70,,
3:08.0,Offensive rebound by Team,,84-70,,
3:08.0,D. DeRozan makes free throw 2 of 2,1,85-70,,
2:56.0,,,85-72,2,T. Ulis makes 2-pt shot at rim
2:46.0,Shooting foul by A. Len (drawn by D. DeRozan),,85-72,,
2:46.0,D. DeRozan makes free throw 1 of 2,1,86-72,,
2:46.0,,,86-72,,M. James enters the game for T. Ulis
2:46.0,P. Siakam enters the game for S. Ibaka,,86-72,,
2:46.0,D. DeRozan misses free throw 2 of 2,,86-72,,
2:43.0,,,86-72,,Defensive rebound by T. Daniels
2:24.0,,,86-75,3,T. Daniels makes 3-pt shot from 25 ft (assist by A. Len)
2:07.0,K. Lowry misses 3-pt shot from 28 ft,,86-75,,
2:04.0,,,86-75,,Defensive rebound by A. Len
1:56.0,,,86-77,2,M. James makes 2-pt shot from 6 ft
1:32.0,O. Anunoby makes 2-pt shot from 1 ft,2,88-77,,
1:16.0,,,88-77,,T. Daniels misses 2-pt shot from 1 ft (block by P. Siakam)
1:16.0,Defensive rebound by Team,,88-77,,
1:16.0,F. VanVleet enters the game for O. Anunoby,,88-77,,
1:16.0,C. Miles enters the game for K. Lowry,,88-77,,
1:06.0,D. DeRozan makes 2-pt shot from 12 ft,2,90-77,,
0:54.0,,,90-77,,Offensive foul by A. Len (drawn by D. DeRozan)
0:54.0,,,90-77,,Turnover by A. Len (offensive foul)
0:35.0,D. DeRozan makes 2-pt shot from 18 ft,2,92-77,,
0:18.0,Personal foul by J. Poeltl (drawn by A. Len),,92-77,,
0:05.0,,,92-79,2,M. James makes 2-pt shot from 21 ft
0:01.0,D. DeRozan misses 3-pt shot from 24 ft,,92-79,,
0:00.0,Offensive rebound by Team,,92-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,92-82,3,T. Daniels makes 3-pt shot from 25 ft
11:17.0,N. Powell misses 2-pt shot from 1 ft (block by A. Len),,92-82,,
11:13.0,,,92-82,,Defensive rebound by M. James
11:11.0,,,92-85,3,T. Daniels makes 3-pt shot from 25 ft (assist by M. James)
10:59.0,P. Siakam misses 3-pt shot from 26 ft,,92-85,,
10:58.0,,,92-85,,Defensive rebound by Team
10:48.0,,,92-85,,M. James misses 2-pt shot from 11 ft
10:45.0,Defensive rebound by C. Miles,,92-85,,
10:38.0,J. Poeltl misses 2-pt shot from 8 ft,,92-85,,
10:36.0,Offensive rebound by Team,,92-85,,
10:29.0,C. Miles misses 3-pt shot from 26 ft,,92-85,,
10:25.0,,,92-85,,Defensive rebound by M. James
10:11.0,,,92-87,2,T. Daniels makes 2-pt shot from 12 ft (assist by M. James)
9:59.0,N. Powell misses 3-pt shot from 26 ft,,92-87,,
9:55.0,,,92-87,,Defensive rebound by A. Len
9:48.0,Personal foul by N. Powell (drawn by A. Len),,92-87,,
9:36.0,,,92-87,,A. Len misses 2-pt shot from 1 ft
9:36.0,,,92-87,,Offensive rebound by Team
9:36.0,Loose ball foul by F. VanVleet (drawn by D. House),,92-87,,
9:22.0,,,92-89,2,A. Len makes 2-pt shot from 1 ft (assist by M. James)
9:22.0,Toronto full timeout,,92-89,,
9:22.0,S. Ibaka enters the game for P. Siakam,,92-89,,
9:10.0,F. VanVleet misses 2-pt shot from 6 ft (block by A. Len),,92-89,,
9:10.0,Offensive rebound by Team,,92-89,,
9:00.0,F. VanVleet misses 3-pt shot from 26 ft,,92-89,,
8:55.0,Offensive rebound by J. Poeltl,,92-89,,
8:53.0,F. VanVleet makes 3-pt shot from 26 ft (assist by J. Poeltl),3,95-89,,
8:31.0,,,95-89,,D. Bender misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by N. Powell,,95-89,,
8:24.0,Shooting foul by A. Len (drawn by S. Ibaka),,95-89,,
8:24.0,S. Ibaka makes free throw 1 of 2,1,96-89,,
8:24.0,S. Ibaka makes free throw 2 of 2,1,97-89,,
8:04.0,,,97-92,3,T. Daniels makes 3-pt shot from 23 ft (assist by M. James)
7:44.0,Turnover by N. Powell (bad pass; steal by A. Len),,97-92,,
7:36.0,,,97-92,,M. James misses 2-pt shot from 3 ft
7:34.0,Defensive rebound by S. Ibaka,,97-92,,
7:23.0,S. Ibaka makes 2-pt shot from 17 ft (assist by F. VanVleet),2,99-92,,
7:03.0,,,99-92,,Shooting foul by C. Miles (drawn by D. House)
7:03.0,,,99-93,1,D. House makes free throw 1 of 2
7:03.0,,,99-93,,T. Ulis enters the game for A. Len
7:03.0,,,99-93,,G. Monroe enters the game for M. James
7:03.0,K. Lowry enters the game for N. Powell,,99-93,,
7:03.0,J. Valanciunas enters the game for J. Poeltl,,99-93,,
7:03.0,,,99-94,1,D. House makes free throw 2 of 2
6:41.0,F. VanVleet misses 2-pt shot at rim,,99-94,,
6:38.0,,,99-94,,Defensive rebound by G. Monroe
6:31.0,,,99-94,,T. Ulis misses 2-pt shot from 12 ft
6:28.0,,,99-94,,Offensive rebound by T. Ulis
6:26.0,,,99-94,,D. House misses 2-pt shot from 17 ft
6:24.0,Defensive rebound by S. Ibaka,,99-94,,
6:02.0,K. Lowry makes 2-pt shot from 5 ft,2,101-94,,
6:02.0,,,101-94,,Phoenix full timeout
6:02.0,,,101-94,,T. Warren enters the game for D. House
6:02.0,,,101-94,,J. Jackson enters the game for T. Daniels
6:02.0,D. DeRozan enters the game for C. Miles,,101-94,,
5:40.0,,,101-94,,Turnover by D. Bender (bad pass)
5:19.0,K. Lowry misses 2-pt shot from 11 ft,,101-94,,
5:17.0,Offensive rebound by S. Ibaka,,101-94,,
5:17.0,S. Ibaka misses 2-pt shot at rim,,101-94,,
5:12.0,,,101-94,,Defensive rebound by T. Ulis
5:11.0,,,101-94,,T. Warren misses 2-pt shot at rim
5:09.0,,,101-94,,Offensive rebound by Team
5:09.0,Personal foul by F. VanVleet (drawn by T. Warren),,101-94,,
5:09.0,,,101-94,,M. Chriss enters the game for D. Bender
5:05.0,,,101-94,,Shooting foul by D. DeRozan (drawn by T. Warren)
5:05.0,,,101-95,1,T. Warren makes free throw 1 of 2
5:05.0,,,101-96,1,T. Warren makes free throw 2 of 2
4:57.0,,,101-96,,Personal foul by T. Warren (drawn by F. VanVleet)
4:57.0,,,101-96,,T. Daniels enters the game for T. Warren
4:48.0,D. DeRozan misses 2-pt shot from 17 ft,,101-96,,
4:45.0,,,101-96,,Defensive rebound by T. Ulis
