time,Memphis,pts.away,score,pts.home,Phoenix
6:34.0,,,12-9,,Defensive rebound by M. Chriss
6:29.0,,,12-9,,J. Jackson misses 2-pt shot from 11 ft
6:26.0,Defensive rebound by T. Evans,,12-9,,
6:22.0,J. Green makes 2-pt shot at rim (assist by M. Gasol),2,14-9,,
6:03.0,,,14-9,,J. Jackson misses 2-pt shot from 19 ft
5:59.0,Defensive rebound by T. Evans,,14-9,,
5:55.0,A. Harrison misses 3-pt shot from 24 ft,,14-9,,
5:50.0,,,14-9,,Defensive rebound by G. Monroe
5:45.0,,,14-9,,T. Ulis misses 2-pt shot from 12 ft
5:44.0,,,14-9,,Offensive rebound by G. Monroe
5:39.0,,,14-9,,T. Warren misses 2-pt shot at rim
5:39.0,,,14-9,,Offensive rebound by G. Monroe
5:35.0,,,14-9,,Turnover by G. Monroe (traveling)
5:35.0,,,14-9,,T. Daniels enters the game for J. Jackson
5:35.0,B. Wright enters the game for D. Brooks,,14-9,,
5:35.0,C. Parsons enters the game for J. Green,,14-9,,
5:20.0,T. Evans makes 3-pt shot from 25 ft,3,17-9,,
5:03.0,,,17-9,,T. Warren misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by B. Wright,,17-9,,
4:51.0,B. Wright makes 2-pt shot from 1 ft (assist by A. Harrison),2,19-9,,
4:33.0,,,19-9,,T. Ulis misses 2-pt shot from 13 ft (block by M. Gasol)
4:28.0,,,19-9,,Offensive rebound by M. Chriss
4:27.0,,,19-9,,T. Daniels misses 2-pt shot from 16 ft
4:27.0,Defensive rebound by T. Evans,,19-9,,
4:23.0,B. Wright makes 2-pt shot at rim (assist by T. Evans),2,21-9,,
4:23.0,Shooting foul by M. Chriss (drawn by B. Wright),,21-9,,
4:23.0,B. Wright misses free throw 1 of 1,,21-9,,
4:23.0,M. Chalmers enters the game for A. Harrison,,21-9,,
4:23.0,D. Davis enters the game for M. Gasol,,21-9,,
4:20.0,,,21-9,,Defensive rebound by G. Monroe
4:07.0,,,21-9,,I. Canaan enters the game for M. Chriss
4:07.0,,,21-9,,D. Bender enters the game for T. Ulis
3:59.0,,,21-9,,D. Bender misses 2-pt shot from 5 ft
3:59.0,,,21-9,,Offensive rebound by Team
3:59.0,Personal foul by D. Davis (drawn by G. Monroe),,21-9,,
3:52.0,,,21-12,3,T. Daniels makes 3-pt shot from 27 ft (assist by I. Canaan)
3:39.0,,,21-12,,Personal foul by T. Daniels (drawn by T. Evans)
3:39.0,T. Evans makes free throw 1 of 2,1,22-12,,
3:39.0,T. Evans makes free throw 2 of 2,1,23-12,,
3:21.0,,,23-14,2,G. Monroe makes 2-pt shot from 1 ft (assist by T. Daniels)
3:06.0,B. Wright misses 2-pt shot at rim,,23-14,,
3:04.0,,,23-14,,Defensive rebound by T. Warren
2:51.0,,,23-14,,D. Bender misses 3-pt shot from 23 ft
2:47.0,,,23-14,,Offensive rebound by T. Warren
2:44.0,,,23-14,,G. Monroe misses 2-pt shot from 3 ft
2:42.0,,,23-14,,Offensive rebound by G. Monroe
2:42.0,,,23-16,2,G. Monroe makes 2-pt shot from 1 ft
2:23.0,C. Parsons makes 2-pt shot from 17 ft,2,25-16,,
2:12.0,,,25-16,,Shooting foul by B. Wright (drawn by D. Bender)
2:12.0,Memphis full timeout,,25-16,,
2:12.0,,,25-16,,A. Len enters the game for G. Monroe
2:12.0,M. Gasol enters the game for T. Evans,,25-16,,
2:12.0,B. McLemore enters the game for B. Wright,,25-16,,
2:12.0,,,25-16,,D. Bender misses free throw 1 of 2
2:12.0,,,25-16,,Offensive rebound by Team
2:12.0,,,25-17,1,D. Bender makes free throw 2 of 2
1:51.0,C. Parsons misses 3-pt shot from 25 ft,,25-17,,
1:49.0,,,25-17,,Defensive rebound by I. Canaan
1:49.0,Personal foul by D. Davis (drawn by I. Canaan),,25-17,,
1:31.0,,,25-19,2,A. Len makes 2-pt shot from 1 ft (assist by I. Canaan)
1:17.0,Turnover by M. Gasol (bad pass; steal by I. Canaan),,25-19,,
1:13.0,,,25-19,,I. Canaan misses 2-pt shot at rim
1:10.0,,,25-19,,Offensive rebound by A. Len
1:08.0,,,25-21,2,T. Warren makes 2-pt shot from 13 ft (assist by T. Daniels)
0:46.0,B. McLemore misses 3-pt shot from 25 ft,,25-21,,
0:43.0,Offensive rebound by M. Gasol,,25-21,,
0:40.0,M. Gasol misses 3-pt shot from 25 ft,,25-21,,
0:37.0,,,25-21,,Defensive rebound by A. Len
0:31.0,,,25-24,3,T. Daniels makes 3-pt shot from 26 ft (assist by T. Warren)
0:11.0,M. Chalmers misses 2-pt shot from 19 ft,,25-24,,
0:08.0,,,25-24,,Defensive rebound by A. Len
0:05.0,Shooting block foul by C. Parsons (drawn by T. Warren),,25-24,,
0:05.0,,,25-25,1,T. Warren makes free throw 1 of 2
0:05.0,,,25-26,1,T. Warren makes free throw 2 of 2
0:01.0,C. Parsons misses 3-pt shot from 28 ft,,25-26,,
0:01.0,Offensive rebound by Team,,25-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-26,,Shooting foul by B. McLemore (drawn by T. Daniels)
11:43.0,,,25-27,1,T. Daniels makes free throw 1 of 3
11:43.0,,,25-28,1,T. Daniels makes free throw 2 of 3
11:43.0,,,25-29,1,T. Daniels makes free throw 3 of 3
11:23.0,Turnover by A. Harrison (bad pass; steal by I. Canaan),,25-29,,
11:15.0,,,25-29,,A. Len misses 2-pt shot from 2 ft (block by M. Gasol)
11:11.0,Defensive rebound by D. Brooks,,25-29,,
11:11.0,Shooting foul by T. Daniels (drawn by B. McLemore),,25-29,,
11:11.0,B. McLemore makes free throw 1 of 2,1,26-29,,
11:11.0,B. McLemore misses free throw 2 of 2,,26-29,,
11:08.0,Offensive rebound by J. Green,,26-29,,
10:54.0,M. Gasol misses 2-pt shot from 21 ft,,26-29,,
10:53.0,Offensive rebound by B. McLemore,,26-29,,
10:52.0,B. McLemore misses 2-pt shot from 1 ft,,26-29,,
10:51.0,Offensive rebound by J. Green,,26-29,,
10:51.0,,,26-29,,Personal foul by D. Bender (drawn by J. Green)
10:45.0,J. Green misses 2-pt shot from 19 ft,,26-29,,
10:42.0,,,26-29,,Defensive rebound by I. Canaan
10:19.0,,,26-29,,D. House misses 3-pt shot from 28 ft
10:14.0,Defensive rebound by J. Green,,26-29,,
10:05.0,M. Gasol makes 2-pt shot from 19 ft (assist by J. Green),2,28-29,,
9:46.0,,,28-31,2,D. House makes 2-pt shot at rim
9:29.0,D. Brooks makes 2-pt shot at rim (assist by M. Gasol),2,30-31,,
9:14.0,,,30-31,,D. House misses 2-pt shot from 1 ft (block by D. Brooks)
9:06.0,Defensive rebound by A. Harrison,,30-31,,
9:04.0,M. Gasol misses 3-pt shot from 25 ft,,30-31,,
9:04.0,,,30-31,,Defensive rebound by A. Len
8:46.0,,,30-34,3,D. Bender makes 3-pt shot from 25 ft (assist by A. Len)
8:23.0,A. Harrison makes 2-pt shot at rim,2,32-34,,
8:11.0,,,32-36,2,A. Len makes 2-pt shot at rim (assist by I. Canaan)
7:51.0,D. Brooks makes 2-pt shot at rim,2,34-36,,
7:41.0,,,34-36,,A. Len misses 2-pt shot from 2 ft (block by M. Gasol)
7:41.0,,,34-36,,Offensive rebound by Team
7:41.0,T. Evans enters the game for B. McLemore,,34-36,,
7:41.0,,,34-36,,Phoenix full timeout
7:41.0,,,34-36,,J. Jackson enters the game for T. Daniels
7:33.0,,,34-36,,D. House misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by A. Harrison,,34-36,,
7:15.0,J. Green misses 3-pt shot from 24 ft,,34-36,,
7:11.0,,,34-36,,Defensive rebound by A. Len
6:55.0,,,34-38,2,A. Len makes 2-pt shot at rim (assist by D. Bender)
6:37.0,T. Evans makes 2-pt shot at rim,2,36-38,,
6:29.0,,,36-38,,A. Len misses 2-pt shot from 2 ft (block by D. Brooks)
6:27.0,Defensive rebound by M. Gasol,,36-38,,
6:22.0,D. Brooks misses 2-pt shot from 1 ft,,36-38,,
6:20.0,Offensive rebound by A. Harrison,,36-38,,
6:18.0,,,36-38,,Personal foul by J. Jackson (drawn by A. Harrison)
6:18.0,,,36-38,,T. Warren enters the game for A. Len
6:18.0,,,36-38,,G. Monroe enters the game for D. House
6:18.0,J. Martin enters the game for J. Green,,36-38,,
6:18.0,C. Parsons enters the game for D. Brooks,,36-38,,
6:10.0,T. Evans misses 2-pt shot from 1 ft,,36-38,,
6:09.0,,,36-38,,Defensive rebound by D. Bender
6:04.0,,,36-38,,J. Jackson misses 2-pt shot from 1 ft
5:59.0,,,36-38,,Offensive rebound by J. Jackson
5:59.0,,,36-40,2,J. Jackson makes 2-pt shot at rim
5:40.0,M. Gasol makes 2-pt shot from 2 ft,2,38-40,,
5:30.0,,,38-40,,Shooting foul by A. Harrison (drawn by I. Canaan)
5:30.0,,,38-41,1,I. Canaan makes free throw 1 of 2
5:30.0,M. Chalmers enters the game for A. Harrison,,38-41,,
5:30.0,,,38-42,1,I. Canaan makes free throw 2 of 2
5:12.0,Shooting foul by G. Monroe (drawn by J. Martin),,38-42,,
5:12.0,J. Martin makes free throw 1 of 2,1,39-42,,
5:12.0,,,39-42,,T. Ulis enters the game for I. Canaan
5:12.0,D. Davis enters the game for M. Gasol,,39-42,,
5:12.0,J. Martin misses free throw 2 of 2,,39-42,,
5:09.0,,,39-42,,Defensive rebound by G. Monroe
4:59.0,,,39-44,2,J. Jackson makes 2-pt shot from 1 ft (assist by G. Monroe)
4:59.0,Shooting block foul by T. Evans (drawn by J. Jackson),,39-44,,
4:59.0,,,39-44,,J. Jackson misses free throw 1 of 1
4:59.0,,,39-44,,Offensive rebound by Team
4:59.0,Loose ball foul by J. Martin (drawn by T. Warren),,39-44,,
4:50.0,,,39-46,2,T. Warren makes 2-pt shot from 1 ft (assist by G. Monroe)
4:50.0,,,39-46,,Shooting foul by C. Parsons (drawn by T. Warren)
4:50.0,,,39-47,1,T. Warren makes free throw 1 of 1
4:29.0,C. Parsons makes 2-pt shot from 8 ft,2,41-47,,
4:10.0,,,41-47,,G. Monroe misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by J. Martin,,41-47,,
4:03.0,M. Chalmers makes 3-pt shot from 24 ft (assist by C. Parsons),3,44-47,,
3:41.0,,,44-47,,Turnover by G. Monroe (bad pass; steal by M. Chalmers)
3:33.0,C. Parsons misses 3-pt shot from 24 ft,,44-47,,
3:30.0,,,44-47,,Defensive rebound by D. Bender
3:25.0,,,44-50,3,J. Jackson makes 3-pt shot from 25 ft (assist by T. Ulis)
3:16.0,Memphis full timeout,,44-50,,
3:16.0,,,44-50,,M. Chriss enters the game for D. Bender
3:16.0,M. Gasol enters the game for D. Davis,,44-50,,
2:59.0,J. Martin misses 2-pt shot from 20 ft,,44-50,,
2:55.0,,,44-50,,Defensive rebound by Team
2:40.0,,,44-53,3,T. Warren makes 3-pt shot from 23 ft (assist by J. Jackson)
2:19.0,M. Chalmers makes 2-pt shot from 11 ft,2,46-53,,
2:03.0,,,46-55,2,T. Warren makes 2-pt shot at rim (assist by G. Monroe)
2:03.0,,,46-55,,Shooting foul by C. Parsons (drawn by T. Warren)
2:03.0,J. Green enters the game for J. Martin,,46-55,,
2:03.0,A. Harrison enters the game for M. Chalmers,,46-55,,
2:03.0,D. Brooks enters the game for C. Parsons,,46-55,,
2:03.0,,,46-56,1,T. Warren makes free throw 1 of 1
1:51.0,A. Harrison makes 2-pt shot from 1 ft (assist by M. Gasol),2,48-56,,
1:51.0,Shooting foul by M. Chriss (drawn by A. Harrison),,48-56,,
1:51.0,,,48-56,,D. Bender enters the game for M. Chriss
1:51.0,A. Harrison makes free throw 1 of 1,1,49-56,,
1:35.0,,,49-56,,G. Monroe misses 2-pt shot from 2 ft
1:33.0,,,49-56,,Offensive rebound by G. Monroe
1:32.0,,,49-58,2,G. Monroe makes 2-pt shot from 1 ft
1:21.0,Turnover by A. Harrison (bad pass),,49-58,,
1:08.0,,,49-60,2,T. Warren makes 2-pt shot at rim (assist by G. Monroe)
0:45.0,M. Gasol misses 2-pt shot from 4 ft,,49-60,,
0:43.0,Offensive rebound by Team,,49-60,,
0:29.0,D. Brooks makes 2-pt shot from 1 ft,2,51-60,,
0:06.0,,,51-60,,Shooting foul by A. Harrison (drawn by T. Warren)
0:06.0,,,51-60,,T. Warren misses free throw 1 of 2
0:06.0,,,51-60,,Offensive rebound by Team
0:06.0,,,51-60,,A. Len enters the game for G. Monroe
0:06.0,,,51-60,,T. Warren misses free throw 2 of 2
0:05.0,Defensive rebound by M. Gasol,,51-60,,
0:00.0,T. Evans misses 3-pt shot from 25 ft,,51-60,,
0:00.0,Offensive rebound by Team,,51-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,51-60,,Shooting foul by T. Evans (drawn by J. Jackson)
11:41.0,,,51-60,,J. Jackson misses free throw 1 of 3
11:41.0,,,51-60,,Offensive rebound by Team
11:41.0,,,51-61,1,J. Jackson makes free throw 2 of 3
11:41.0,,,51-61,,J. Jackson misses free throw 3 of 3
11:38.0,Defensive rebound by M. Gasol,,51-61,,
11:18.0,D. Brooks misses 2-pt shot from 20 ft,,51-61,,
11:13.0,Offensive rebound by J. Green,,51-61,,
11:13.0,J. Green makes 2-pt shot at rim,2,53-61,,
11:09.0,,,53-61,,Shooting foul by D. Brooks (drawn by T. Warren)
11:09.0,,,53-62,1,T. Warren makes free throw 1 of 2
11:09.0,,,53-63,1,T. Warren makes free throw 2 of 2
10:49.0,T. Evans misses 2-pt shot from 21 ft,,53-63,,
10:46.0,,,53-63,,Defensive rebound by G. Monroe
10:41.0,,,53-65,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
10:27.0,J. Green misses 3-pt shot from 25 ft,,53-65,,
10:23.0,Offensive rebound by A. Harrison,,53-65,,
10:16.0,T. Evans makes 2-pt shot from 1 ft,2,55-65,,
10:01.0,,,55-67,2,T. Ulis makes 2-pt shot from 14 ft
9:48.0,M. Gasol makes 2-pt shot from 21 ft (assist by T. Evans),2,57-67,,
9:27.0,,,57-69,2,T. Warren makes 2-pt shot from 13 ft
9:07.0,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans),2,59-69,,
8:52.0,Personal foul by D. Brooks (drawn by G. Monroe),,59-69,,
8:48.0,,,59-69,,Shooting foul by M. Gasol (drawn by T. Warren)
8:48.0,,,59-70,1,T. Warren makes free throw 1 of 2
8:48.0,,,59-71,1,T. Warren makes free throw 2 of 2
8:41.0,,,59-71,,Personal foul by J. Jackson (drawn by T. Evans)
8:32.0,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans),3,62-71,,
8:22.0,,,62-71,,T. Warren misses 2-pt shot from 11 ft
8:16.0,Defensive rebound by J. Green,,62-71,,
8:07.0,D. Brooks makes 2-pt shot from 1 ft,2,64-71,,
7:53.0,,,64-71,,M. Chriss misses 2-pt shot from 2 ft
7:52.0,Defensive rebound by Team,,64-71,,
7:37.0,Shooting foul by T. Warren (drawn by J. Green),,64-71,,
7:37.0,J. Green makes free throw 1 of 2,1,65-71,,
7:37.0,J. Green makes free throw 2 of 2,1,66-71,,
7:37.0,,,66-71,,Phoenix full timeout
7:37.0,,,66-71,,T. Daniels enters the game for J. Jackson
7:37.0,,,66-71,,D. Bender enters the game for M. Chriss
7:22.0,Personal foul by A. Harrison (drawn by T. Daniels),,66-71,,
7:22.0,,,66-72,1,T. Daniels makes free throw 1 of 2
7:22.0,,,66-73,1,T. Daniels makes free throw 2 of 2
7:13.0,M. Gasol misses 3-pt shot from 26 ft,,66-73,,
7:09.0,,,66-73,,Defensive rebound by T. Daniels
6:55.0,,,66-73,,D. Bender misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by M. Gasol,,66-73,,
6:38.0,A. Harrison misses 2-pt shot from 8 ft,,66-73,,
6:36.0,Offensive rebound by M. Gasol,,66-73,,
6:33.0,T. Evans misses 3-pt shot from 26 ft,,66-73,,
6:28.0,,,66-73,,Defensive rebound by G. Monroe
6:22.0,,,66-73,,Turnover by G. Monroe (bad pass)
6:05.0,M. Gasol makes 2-pt shot from 15 ft,2,68-73,,
5:44.0,,,68-73,,G. Monroe misses 2-pt shot from 7 ft
5:42.0,Defensive rebound by M. Gasol,,68-73,,
5:38.0,,,68-73,,Shooting block foul by T. Ulis (drawn by A. Harrison)
5:38.0,A. Harrison makes free throw 1 of 2,1,69-73,,
5:38.0,,,69-73,,A. Len enters the game for T. Ulis
5:38.0,,,69-73,,I. Canaan enters the game for G. Monroe
5:38.0,A. Harrison makes free throw 2 of 2,1,70-73,,
5:38.0,J. Ennis enters the game for D. Brooks,,70-73,,
5:24.0,,,70-73,,D. Bender misses 3-pt shot from 22 ft
5:19.0,Defensive rebound by T. Evans,,70-73,,
5:07.0,Turnover by M. Gasol (bad pass; steal by T. Warren),,70-73,,
4:51.0,,,70-73,,I. Canaan misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by J. Green,,70-73,,
4:44.0,Memphis full timeout,,70-73,,
4:44.0,K. Simmons enters the game for J. Green,,70-73,,
4:44.0,B. Wright enters the game for A. Harrison,,70-73,,
4:36.0,Offensive foul by K. Simmons (drawn by A. Len),,70-73,,
4:36.0,Turnover by K. Simmons (offensive foul),,70-73,,
4:22.0,,,70-75,2,T. Warren makes 2-pt shot from 10 ft
4:01.0,M. Gasol misses 3-pt shot from 26 ft,,70-75,,
3:56.0,Offensive rebound by J. Ennis,,70-75,,
3:49.0,T. Evans makes 2-pt shot at rim,2,72-75,,
3:31.0,,,72-75,,T. Daniels misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by T. Evans,,72-75,,
3:22.0,Turnover by T. Evans (bad pass),,72-75,,
3:08.0,,,72-75,,T. Daniels misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by J. Ennis,,72-75,,
2:57.0,Shooting foul by D. Bender (drawn by T. Evans),,72-75,,
2:57.0,T. Evans makes free throw 1 of 2,1,73-75,,
2:57.0,C. Parsons enters the game for M. Gasol,,73-75,,
2:57.0,T. Evans makes free throw 2 of 2,1,74-75,,
2:37.0,,,74-75,,I. Canaan misses 2-pt shot from 2 ft
2:33.0,Defensive rebound by J. Ennis,,74-75,,
2:31.0,T. Evans makes 2-pt shot from 1 ft,2,76-75,,
2:26.0,,,76-75,,Turnover by T. Daniels (bad pass; steal by K. Simmons)
2:25.0,K. Simmons makes 2-pt shot at rim,2,78-75,,
2:25.0,,,78-75,,Phoenix full timeout
2:25.0,M. Gasol enters the game for T. Evans,,78-75,,
2:04.0,,,78-75,,A. Len misses 2-pt shot from 19 ft
2:01.0,Defensive rebound by J. Ennis,,78-75,,
1:49.0,C. Parsons misses 2-pt shot from 13 ft,,78-75,,
1:47.0,Offensive rebound by Team,,78-75,,
1:47.0,,,78-75,,D. House enters the game for T. Warren
1:43.0,Turnover by J. Ennis (bad pass; steal by T. Daniels),,78-75,,
1:31.0,,,78-77,2,D. House makes 2-pt shot from 20 ft
1:09.0,J. Ennis misses 2-pt shot from 1 ft,,78-77,,
1:08.0,,,78-77,,Defensive rebound by D. House
1:06.0,,,78-77,,Turnover by D. House (bad pass; steal by K. Simmons)
1:02.0,J. Ennis makes 3-pt shot from 22 ft (assist by K. Simmons),3,81-77,,
0:48.0,,,81-77,,Offensive foul by T. Daniels (drawn by K. Simmons)
0:48.0,,,81-77,,Turnover by T. Daniels (offensive foul)
0:31.0,K. Simmons misses 2-pt shot from 8 ft,,81-77,,
0:29.0,,,81-77,,Defensive rebound by D. Bender
0:09.0,,,81-79,2,I. Canaan makes 2-pt shot at rim
0:03.0,M. Gasol misses 3-pt shot from 25 ft,,81-79,,
0:02.0,,,81-79,,Defensive rebound by D. Bender
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,J. Green misses 3-pt shot from 25 ft,,81-79,,
11:35.0,Offensive rebound by Team,,81-79,,
11:35.0,Turnover by Team (shot clock),,81-79,,
11:12.0,,,81-79,,D. House misses 2-pt shot from 7 ft
11:07.0,,,81-79,,Offensive rebound by A. Len
11:03.0,,,81-79,,A. Len misses 2-pt shot from 3 ft (block by C. Parsons)
11:02.0,Defensive rebound by C. Parsons,,81-79,,
10:58.0,J. Ennis misses 2-pt shot from 1 ft,,81-79,,
10:56.0,,,81-79,,Defensive rebound by T. Daniels
10:50.0,,,81-82,3,I. Canaan makes 3-pt shot from 25 ft
10:20.0,J. Green makes 2-pt shot from 12 ft,2,83-82,,
10:02.0,,,83-85,3,I. Canaan makes 3-pt shot from 22 ft (assist by A. Len)
9:51.0,A. Harrison makes 2-pt shot at rim,2,85-85,,
9:33.0,,,85-85,,D. Bender misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by B. Wright,,85-85,,
9:17.0,Turnover by J. Green (bad pass),,85-85,,
9:17.0,T. Evans enters the game for J. Ennis,,85-85,,
9:03.0,Personal foul by A. Harrison (drawn by T. Daniels),,85-85,,
8:57.0,,,85-85,,D. House misses 3-pt shot from 22 ft
8:55.0,Defensive rebound by T. Evans,,85-85,,
8:53.0,Turnover by C. Parsons (offensive goaltending),,85-85,,
8:33.0,,,85-85,,T. Daniels misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by T. Evans,,85-85,,
8:22.0,T. Evans misses 3-pt shot from 25 ft,,85-85,,
8:19.0,,,85-85,,Defensive rebound by D. Bender
8:13.0,,,85-85,,Shooting foul by B. Wright (drawn by A. Len)
8:13.0,,,85-86,1,A. Len makes free throw 1 of 2
8:13.0,,,85-86,,J. Jackson enters the game for T. Daniels
8:13.0,D. Brooks enters the game for C. Parsons,,85-86,,
8:13.0,,,85-87,1,A. Len makes free throw 2 of 2
7:54.0,B. Wright makes 2-pt shot from 6 ft (assist by T. Evans),2,87-87,,
7:41.0,,,87-87,,Turnover by I. Canaan (traveling)
7:27.0,B. Wright makes 2-pt shot at rim (assist by J. Green),2,89-87,,
7:08.0,,,89-90,3,J. Jackson makes 3-pt shot from 25 ft (assist by I. Canaan)
6:53.0,D. Brooks misses 3-pt shot from 24 ft,,89-90,,
6:52.0,,,89-90,,Defensive rebound by Team
6:52.0,,,89-90,,Phoenix full timeout
6:52.0,,,89-90,,T. Ulis enters the game for I. Canaan
6:52.0,M. Gasol enters the game for J. Green,,89-90,,
6:52.0,K. Simmons enters the game for T. Evans,,89-90,,
6:37.0,,,89-90,,D. Bender misses 2-pt shot from 8 ft
6:35.0,Defensive rebound by B. Wright,,89-90,,
6:12.0,D. Brooks makes 3-pt shot from 31 ft (assist by M. Gasol),3,92-90,,
5:53.0,,,92-92,2,D. House makes 2-pt shot from 13 ft
5:35.0,M. Gasol misses 3-pt shot from 25 ft,,92-92,,
5:32.0,,,92-92,,Defensive rebound by D. House
5:08.0,,,92-92,,J. Jackson misses 3-pt shot from 23 ft
5:06.0,Defensive rebound by M. Gasol,,92-92,,
5:05.0,Shooting foul by D. Bender (drawn by A. Harrison),,92-92,,
5:05.0,A. Harrison makes free throw 1 of 2,1,93-92,,
5:05.0,,,93-92,,T. Warren enters the game for A. Len
5:05.0,,,93-92,,G. Monroe enters the game for D. House
5:05.0,,,93-92,,M. Chriss enters the game for D. Bender
5:05.0,A. Harrison misses free throw 2 of 2,,93-92,,
4:59.0,,,93-92,,Defensive rebound by G. Monroe
4:51.0,,,93-92,,T. Warren misses 2-pt shot from 12 ft
4:49.0,Defensive rebound by K. Simmons,,93-92,,
4:36.0,K. Simmons misses 2-pt shot from 1 ft,,93-92,,
4:34.0,,,93-92,,Defensive rebound by J. Jackson
4:31.0,,,93-92,,J. Jackson misses 2-pt shot from 1 ft
4:31.0,,,93-92,,Offensive rebound by T. Warren
4:31.0,Personal foul by D. Brooks (drawn by T. Warren),,93-92,,
4:31.0,T. Evans enters the game for A. Harrison,,93-92,,
4:11.0,,,93-94,2,T. Warren makes 2-pt shot from 20 ft (assist by G. Monroe)
3:45.0,T. Evans makes 2-pt shot at rim,2,95-94,,
3:25.0,,,95-94,,T. Ulis misses 2-pt shot from 18 ft (block by B. Wright)
3:22.0,Defensive rebound by K. Simmons,,95-94,,
3:15.0,T. Evans misses 3-pt shot from 26 ft,,95-94,,
3:12.0,,,95-94,,Defensive rebound by G. Monroe
2:54.0,,,95-94,,M. Chriss misses 3-pt shot from 25 ft
2:51.0,,,95-94,,Offensive rebound by J. Jackson
2:48.0,,,95-94,,T. Ulis misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by B. Wright,,95-94,,
2:43.0,Memphis full timeout,,95-94,,
2:43.0,,,95-94,,I. Canaan enters the game for M. Chriss
2:43.0,,,95-94,,D. Bender enters the game for T. Ulis
2:43.0,A. Harrison enters the game for K. Simmons,,95-94,,
2:25.0,M. Gasol misses 2-pt shot from 3 ft,,95-94,,
2:23.0,Offensive rebound by A. Harrison,,95-94,,
2:15.0,T. Evans misses 2-pt shot from 1 ft,,95-94,,
2:13.0,Offensive rebound by M. Gasol,,95-94,,
2:13.0,M. Gasol misses 2-pt shot from 1 ft,,95-94,,
2:13.0,Offensive rebound by M. Gasol,,95-94,,
