time,Dallas,pts.away,score,pts.home,Oklahoma City
6:46.0,,,7-12,1,A. Roberson makes free throw 2 of 2
6:27.0,H. Barnes makes 2-pt shot from 8 ft (assist by W. Matthews),2,9-12,,
6:12.0,,,9-12,,R. Westbrook misses 2-pt shot from 1 ft (block by S. Mejri)
6:08.0,Defensive rebound by W. Matthews,,9-12,,
6:02.0,Turnover by D. Smith (step out of bounds),,9-12,,
5:50.0,,,9-12,,R. Westbrook misses 2-pt shot from 4 ft
5:44.0,Defensive rebound by Y. Ferrell,,9-12,,
5:32.0,H. Barnes misses 3-pt shot from 22 ft,,9-12,,
5:29.0,,,9-12,,Defensive rebound by A. Roberson
5:22.0,,,9-12,,P. George misses 3-pt shot from 23 ft
5:19.0,Defensive rebound by H. Barnes,,9-12,,
5:12.0,D. Smith misses 2-pt shot from 22 ft,,9-12,,
5:09.0,,,9-12,,Defensive rebound by R. Westbrook
5:01.0,,,9-12,,Shooting foul by H. Barnes (drawn by D. Johnson)
5:01.0,,,9-12,,D. Johnson misses free throw 1 of 2
5:01.0,,,9-12,,Offensive rebound by Team
5:01.0,,,9-12,,A. Abrines enters the game for A. Roberson
5:01.0,,,9-13,1,D. Johnson makes free throw 2 of 2
4:50.0,W. Matthews misses 3-pt shot from 24 ft,,9-13,,
4:48.0,,,9-13,,Defensive rebound by R. Westbrook
4:44.0,,,9-13,,P. George misses 3-pt shot from 22 ft
4:40.0,Defensive rebound by S. Mejri,,9-13,,
4:28.0,Turnover by S. Mejri (bad pass),,9-13,,
4:28.0,,,9-13,,P. Patterson enters the game for D. Johnson
4:10.0,,,9-13,,R. Westbrook misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by Team,,9-13,,
4:07.0,D. Finney-Smith enters the game for D. Smith,,9-13,,
4:07.0,J. Barea enters the game for W. Matthews,,9-13,,
3:56.0,S. Mejri misses 2-pt shot at rim,,9-13,,
3:55.0,,,9-13,,Defensive rebound by R. Westbrook
3:46.0,,,9-15,2,R. Westbrook makes 2-pt shot from 1 ft
3:31.0,H. Barnes misses 2-pt shot from 6 ft,,9-15,,
3:29.0,S. Mejri makes 2-pt shot at rim,2,11-15,,
3:26.0,Offensive rebound by S. Mejri,,11-15,,
3:16.0,,,11-15,,Turnover by P. George (bad pass)
3:06.0,,,11-15,,Personal foul by A. Abrines (drawn by Y. Ferrell)
3:06.0,,,11-15,,R. Felton enters the game for R. Westbrook
2:57.0,D. Finney-Smith makes 3-pt shot from 23 ft (assist by S. Mejri),3,14-15,,
2:44.0,,,14-18,3,P. Patterson makes 3-pt shot from 24 ft (assist by J. Grant)
2:19.0,J. Barea misses 2-pt shot from 5 ft,,14-18,,
2:17.0,,,14-18,,Defensive rebound by J. Grant
2:05.0,,,14-18,,J. Grant misses 2-pt shot from 1 ft
2:03.0,Defensive rebound by S. Mejri,,14-18,,
1:55.0,J. Barea makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,17-18,,
1:35.0,,,17-18,,R. Felton misses 3-pt shot from 24 ft
1:32.0,Defensive rebound by H. Barnes,,17-18,,
1:19.0,Y. Ferrell makes 3-pt shot from 23 ft (assist by J. Barea),3,20-18,,
1:17.0,,,20-18,,Oklahoma City full timeout
1:17.0,,,20-18,,D. Johnson enters the game for J. Grant
1:17.0,,,20-18,,A. Roberson enters the game for P. George
1:17.0,G. Clavell enters the game for Y. Ferrell,,20-18,,
1:05.0,,,20-18,,A. Abrines misses 2-pt shot from 16 ft
1:02.0,Defensive rebound by J. Barea,,20-18,,
0:42.0,Turnover by H. Barnes (lost ball; steal by A. Roberson),,20-18,,
0:31.0,,,20-18,,Turnover by A. Abrines (lost ball; steal by S. Mejri)
0:18.0,J. Barea misses 3-pt shot from 25 ft,,20-18,,
0:16.0,,,20-18,,Defensive rebound by Team
0:03.0,,,20-18,,Turnover by R. Felton (bad pass; steal by J. Barea)
0:01.0,J. Barea misses 2-pt shot from 3 ft,,20-18,,
0:00.0,Offensive rebound by D. Finney-Smith,,20-18,,
0:00.0,D. Finney-Smith misses 2-pt shot at rim,,20-18,,
0:00.0,Offensive rebound by Team,,20-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,G. Clavell misses 2-pt shot from 5 ft,,20-18,,
11:43.0,,,20-18,,Defensive rebound by D. Johnson
11:32.0,,,20-18,,Offensive foul by D. Johnson (drawn by G. Clavell)
11:32.0,,,20-18,,Turnover by D. Johnson (offensive foul)
11:11.0,D. Finney-Smith makes 2-pt shot from 6 ft (assist by D. Powell),2,22-18,,
10:47.0,,,22-18,,A. Roberson misses 3-pt shot from 23 ft
10:45.0,Defensive rebound by J. Barea,,22-18,,
10:37.0,Offensive foul by D. Finney-Smith (drawn by P. Patterson),,22-18,,
10:37.0,Turnover by D. Finney-Smith (offensive foul),,22-18,,
10:37.0,,,22-18,,P. George enters the game for A. Abrines
10:37.0,,,22-18,,J. Huestis enters the game for A. Roberson
10:23.0,,,22-20,2,R. Felton makes 2-pt shot from 10 ft
10:07.0,D. Powell makes 2-pt shot from 1 ft,2,24-20,,
10:07.0,Shooting foul by D. Johnson (drawn by D. Powell),,24-20,,
10:07.0,D. Powell misses free throw 1 of 1,,24-20,,
10:05.0,,,24-20,,Defensive rebound by P. Patterson
9:53.0,,,24-20,,P. George misses 3-pt shot from 26 ft
9:50.0,,,24-20,,Offensive rebound by D. Johnson
9:42.0,,,24-23,3,J. Huestis makes 3-pt shot from 22 ft (assist by P. George)
9:19.0,J. Barea misses 3-pt shot from 24 ft,,24-23,,
9:17.0,,,24-23,,Defensive rebound by P. Patterson
9:13.0,,,24-23,,Turnover by P. George (bad pass)
8:58.0,D. Finney-Smith misses 3-pt shot from 23 ft,,24-23,,
8:55.0,,,24-23,,Defensive rebound by P. George
8:43.0,,,24-25,2,R. Felton makes 2-pt shot from 17 ft
8:39.0,Dallas full timeout,,24-25,,
8:39.0,,,24-25,,R. Westbrook enters the game for R. Felton
8:39.0,W. Matthews enters the game for G. Clavell,,24-25,,
8:39.0,D. Smith enters the game for D. Finney-Smith,,24-25,,
8:29.0,,,24-25,,Personal foul by P. George (drawn by D. Smith)
8:29.0,,,24-25,,J. Grant enters the game for D. Johnson
8:23.0,D. Smith misses 2-pt shot from 4 ft,,24-25,,
8:21.0,,,24-25,,Defensive rebound by J. Grant
8:17.0,,,24-25,,R. Westbrook misses 2-pt shot from 15 ft
8:15.0,Defensive rebound by D. Powell,,24-25,,
8:02.0,,,24-25,,Def 3 sec tech foul by P. Patterson
8:02.0,D. Nowitzki makes technical free throw,1,25-25,,
7:58.0,Turnover by D. Powell (bad pass),,25-25,,
7:46.0,,,25-28,3,P. George makes 3-pt shot from 24 ft (assist by J. Huestis)
7:22.0,W. Matthews misses 3-pt shot from 26 ft,,25-28,,
7:19.0,,,25-28,,Defensive rebound by P. George
7:08.0,,,25-28,,Turnover by R. Westbrook (bad pass; steal by J. Barea)
7:03.0,D. Powell makes 3-pt shot from 22 ft (assist by D. Smith),3,28-28,,
6:39.0,,,28-31,3,J. Huestis makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:22.0,D. Nowitzki makes 2-pt shot from 6 ft (assist by D. Powell),2,30-31,,
6:07.0,Technical foul by D. Nowitzki,,30-31,,
6:07.0,Technical foul by D. Nowitzki,,30-31,,
6:07.0,,,30-32,1,R. Westbrook makes technical free throw
6:07.0,H. Barnes enters the game for J. Barea,,30-32,,
6:07.0,Y. Ferrell enters the game for D. Nowitzki,,30-32,,
6:07.0,,,30-33,1,J. Grant makes flagrant free throw 1 of 2
6:07.0,,,30-34,1,J. Grant makes flagrant free throw 2 of 2
6:01.0,,,30-34,,R. Westbrook misses 2-pt shot from 1 ft (block by D. Powell)
5:56.0,Defensive rebound by W. Matthews,,30-34,,
5:38.0,H. Barnes misses 2-pt shot from 21 ft,,30-34,,
5:36.0,,,30-34,,Defensive rebound by J. Grant
5:21.0,,,30-36,2,P. Patterson makes 2-pt shot from 6 ft (assist by P. George)
5:02.0,D. Smith makes 2-pt shot at rim (assist by W. Matthews),2,32-36,,
4:41.0,,,32-38,2,P. Patterson makes 2-pt shot at rim (assist by R. Westbrook)
4:25.0,Turnover by H. Barnes (bad pass; steal by J. Grant),,32-38,,
4:23.0,,,32-40,2,J. Grant makes 2-pt shot from 6 ft
4:23.0,,,32-40,,Shooting foul by W. Matthews (drawn by J. Grant)
4:23.0,,,32-40,,A. Roberson enters the game for P. Patterson
4:23.0,,,32-40,,J. Grant misses free throw 1 of 1
4:21.0,Defensive rebound by D. Powell,,32-40,,
4:09.0,W. Matthews misses 2-pt shot from 3 ft,,32-40,,
4:07.0,Offensive rebound by H. Barnes,,32-40,,
4:01.0,D. Smith misses 3-pt shot from 25 ft,,32-40,,
4:01.0,,,32-40,,Defensive rebound by Team
3:58.0,,,32-40,,Loose ball foul by J. Grant (drawn by D. Powell)
3:49.0,Y. Ferrell makes 2-pt shot from 2 ft,2,34-40,,
3:35.0,,,34-42,2,J. Grant makes 2-pt shot from 1 ft (assist by P. George)
3:17.0,,,34-42,,Personal foul by J. Huestis (drawn by H. Barnes)
3:05.0,D. Smith misses 2-pt shot from 1 ft (block by J. Huestis),,34-42,,
3:04.0,Offensive rebound by D. Powell,,34-42,,
3:04.0,D. Powell makes 2-pt shot at rim,2,36-42,,
3:04.0,,,36-42,,Oklahoma City full timeout
2:49.0,,,36-42,,Turnover by J. Grant (bad pass; steal by D. Powell)
2:43.0,H. Barnes makes 3-pt shot from 24 ft (assist by D. Smith),3,39-42,,
2:22.0,,,39-42,,P. George misses 2-pt shot from 16 ft
2:20.0,Defensive rebound by W. Matthews,,39-42,,
2:11.0,Y. Ferrell misses 3-pt shot from 25 ft,,39-42,,
2:08.0,,,39-42,,Defensive rebound by A. Roberson
2:02.0,,,39-42,,R. Westbrook misses 2-pt shot from 7 ft
1:57.0,Defensive rebound by H. Barnes,,39-42,,
1:46.0,Turnover by D. Powell (out of bounds lost ball),,39-42,,
1:22.0,,,39-42,,Turnover by Team (shot clock)
1:08.0,D. Smith misses 2-pt shot from 1 ft (block by J. Grant),,39-42,,
1:03.0,,,39-42,,Defensive rebound by A. Roberson
1:02.0,,,39-44,2,R. Westbrook makes 2-pt shot at rim (assist by A. Roberson)
0:41.0,W. Matthews misses 2-pt shot from 1 ft,,39-44,,
0:39.0,,,39-44,,Defensive rebound by A. Roberson
0:28.0,,,39-44,,J. Huestis misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by H. Barnes,,39-44,,
0:07.0,D. Smith makes 3-pt shot from 24 ft,3,42-44,,
0:00.0,,,42-44,,Turnover by R. Westbrook (bad pass; steal by D. Powell)
0:00.0,D. Powell misses 3-pt shot from 53 ft,,42-44,,
0:00.0,Offensive rebound by Team,,42-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,42-44,,Personal foul by D. Johnson (drawn by D. Nowitzki)
11:33.0,D. Smith misses 2-pt shot from 1 ft,,42-44,,
11:29.0,Offensive rebound by D. Smith,,42-44,,
11:29.0,D. Smith makes 2-pt shot at rim,2,44-44,,
11:09.0,,,44-46,2,D. Johnson makes 2-pt shot from 8 ft (assist by A. Roberson)
10:55.0,D. Smith makes 2-pt shot from 1 ft,2,46-46,,
10:37.0,,,46-46,,P. George misses 2-pt shot from 10 ft
10:34.0,Defensive rebound by Y. Ferrell,,46-46,,
10:30.0,D. Smith misses 3-pt shot from 28 ft,,46-46,,
10:28.0,,,46-46,,Defensive rebound by R. Westbrook
10:19.0,,,46-46,,Shooting foul by D. Nowitzki (drawn by P. George)
10:19.0,,,46-47,1,P. George makes free throw 1 of 2
10:19.0,,,46-48,1,P. George makes free throw 2 of 2
10:11.0,,,46-48,,Personal foul by D. Johnson (drawn by D. Nowitzki)
9:59.0,H. Barnes makes 2-pt shot from 21 ft,2,48-48,,
9:43.0,Personal foul by W. Matthews (drawn by P. George),,48-48,,
9:43.0,,,48-48,,J. Huestis enters the game for D. Johnson
9:39.0,,,48-50,2,R. Westbrook makes 2-pt shot from 1 ft
9:17.0,Y. Ferrell misses 2-pt shot at rim,,48-50,,
9:15.0,,,48-50,,Defensive rebound by R. Westbrook
9:10.0,,,48-52,2,P. George makes 2-pt shot at rim
9:09.0,Dallas full timeout,,48-52,,
8:53.0,Turnover by D. Smith (bad pass; steal by J. Huestis),,48-52,,
8:52.0,,,48-52,,Turnover by J. Huestis (bad pass; steal by D. Smith)
8:49.0,Turnover by D. Smith (bad pass),,48-52,,
8:40.0,,,48-52,,R. Westbrook misses 2-pt shot from 1 ft (block by D. Smith)
8:40.0,,,48-52,,Offensive rebound by Team
8:28.0,,,48-54,2,A. Roberson makes 2-pt shot from 2 ft (assist by P. George)
8:10.0,D. Nowitzki misses 3-pt shot from 24 ft,,48-54,,
8:07.0,,,48-54,,Defensive rebound by J. Grant
8:03.0,,,48-54,,Shooting foul by Y. Ferrell (drawn by R. Westbrook)
8:03.0,,,48-54,,R. Westbrook misses free throw 1 of 2
8:03.0,,,48-54,,Offensive rebound by Team
8:03.0,,,48-55,1,R. Westbrook makes free throw 2 of 2
7:48.0,Shooting foul by J. Grant (drawn by D. Smith),,48-55,,
7:48.0,D. Smith makes free throw 1 of 1,1,51-55,,
7:47.0,D. Smith makes 2-pt shot from 20 ft,2,50-55,,
7:40.0,,,51-58,3,R. Westbrook makes 3-pt shot from 24 ft
7:22.0,Turnover by D. Smith (discontinued dribble),,51-58,,
7:12.0,,,51-58,,Turnover by R. Westbrook (bad pass; steal by W. Matthews)
7:05.0,H. Barnes makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,54-58,,
7:05.0,,,54-58,,Oklahoma City full timeout
7:05.0,,,54-58,,P. Patterson enters the game for J. Grant
6:55.0,,,54-61,3,J. Huestis makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:31.0,W. Matthews misses 3-pt shot from 22 ft,,54-61,,
6:29.0,,,54-61,,Defensive rebound by A. Roberson
6:23.0,,,54-61,,Shooting foul by D. Smith (drawn by R. Westbrook)
6:23.0,,,54-62,1,R. Westbrook makes free throw 1 of 2
6:23.0,S. Mejri enters the game for D. Nowitzki,,54-62,,
6:23.0,,,54-63,1,R. Westbrook makes free throw 2 of 2
6:08.0,H. Barnes makes 2-pt shot from 16 ft,2,56-63,,
5:56.0,,,56-63,,J. Huestis misses 3-pt shot from 22 ft
5:54.0,Defensive rebound by H. Barnes,,56-63,,
5:44.0,H. Barnes misses 2-pt shot from 16 ft,,56-63,,
5:42.0,,,56-63,,Defensive rebound by P. George
5:35.0,,,56-63,,P. Patterson misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by H. Barnes,,56-63,,
5:21.0,W. Matthews misses 3-pt shot from 24 ft,,56-63,,
5:21.0,,,56-63,,Defensive rebound by P. George
5:12.0,,,56-66,3,P. George makes 3-pt shot from 26 ft (assist by R. Westbrook)
4:56.0,Turnover by S. Mejri (lost ball; steal by R. Westbrook),,56-66,,
4:52.0,,,56-66,,P. George misses 3-pt shot from 25 ft
4:50.0,,,56-66,,Offensive rebound by P. George
4:39.0,,,56-69,3,R. Westbrook makes 3-pt shot from 24 ft
4:37.0,Dallas full timeout,,56-69,,
4:37.0,,,56-69,,A. Abrines enters the game for A. Roberson
4:37.0,D. Finney-Smith enters the game for D. Smith,,56-69,,
4:37.0,J. Barea enters the game for W. Matthews,,56-69,,
4:31.0,,,56-69,,Personal foul by J. Huestis (drawn by H. Barnes)
4:20.0,Turnover by H. Barnes (traveling),,56-69,,
4:13.0,,,56-69,,Shooting foul by Y. Ferrell (drawn by R. Westbrook)
4:13.0,,,56-70,1,R. Westbrook makes free throw 1 of 2
4:13.0,,,56-71,1,R. Westbrook makes free throw 2 of 2
3:57.0,S. Mejri makes 2-pt shot from 1 ft (assist by J. Barea),2,58-71,,
3:35.0,,,58-74,3,R. Westbrook makes 3-pt shot from 25 ft
3:15.0,Y. Ferrell makes 2-pt shot from 1 ft,2,60-74,,
3:15.0,Shooting foul by J. Huestis (drawn by Y. Ferrell),,60-74,,
3:15.0,,,60-74,,A. Roberson enters the game for P. George
3:15.0,Y. Ferrell makes free throw 1 of 1,1,61-74,,
3:06.0,,,61-74,,R. Westbrook misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by S. Mejri,,61-74,,
2:52.0,J. Barea misses 2-pt shot from 8 ft,,61-74,,
2:50.0,Offensive rebound by S. Mejri,,61-74,,
2:50.0,Shooting foul by J. Huestis (drawn by S. Mejri),,61-74,,
2:50.0,S. Mejri misses free throw 1 of 2,,61-74,,
2:50.0,Offensive rebound by Team,,61-74,,
2:50.0,,,61-74,,R. Felton enters the game for R. Westbrook
2:50.0,,,61-74,,J. Grant enters the game for J. Huestis
2:50.0,S. Mejri misses free throw 2 of 2,,61-74,,
2:48.0,,,61-74,,Defensive rebound by P. Patterson
2:46.0,Personal take foul by J. Barea (drawn by A. Roberson),,61-74,,
2:46.0,,,61-74,,A. Roberson misses free throw 1 of 2
2:46.0,,,61-74,,Offensive rebound by Team
2:46.0,,,61-74,,A. Roberson misses free throw 2 of 2
2:41.0,Defensive rebound by H. Barnes,,61-74,,
2:32.0,D. Finney-Smith misses 3-pt shot from 23 ft,,61-74,,
2:31.0,,,61-74,,Defensive rebound by A. Abrines
2:31.0,,,61-74,,Oklahoma City full timeout
2:31.0,,,61-74,,P. George enters the game for A. Roberson
2:31.0,D. Powell enters the game for S. Mejri,,61-74,,
2:18.0,,,61-74,,P. George misses 2-pt shot from 16 ft
2:14.0,Defensive rebound by H. Barnes,,61-74,,
1:59.0,H. Barnes makes 2-pt shot from 1 ft,2,63-74,,
1:43.0,,,63-74,,R. Felton misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by H. Barnes,,63-74,,
1:29.0,Y. Ferrell misses 2-pt shot from 14 ft,,63-74,,
1:26.0,,,63-74,,Defensive rebound by J. Grant
1:16.0,,,63-74,,Shooting foul by D. Finney-Smith (drawn by P. George)
1:16.0,,,63-75,1,P. George makes free throw 1 of 2
1:16.0,D. Smith enters the game for Y. Ferrell,,63-75,,
1:16.0,,,63-76,1,P. George makes free throw 2 of 2
0:58.0,Turnover by D. Finney-Smith (bad pass; steal by P. George),,63-76,,
0:55.0,,,63-78,2,P. George makes 2-pt shot from 1 ft
0:44.0,,,63-78,,Personal foul by J. Grant (drawn by H. Barnes)
0:44.0,H. Barnes makes free throw 1 of 2,1,64-78,,
0:44.0,H. Barnes makes free throw 2 of 2,1,65-78,,
0:36.0,,,65-81,3,P. George makes 3-pt shot from 25 ft (assist by R. Felton)
0:24.0,,,65-81,,Personal foul by R. Felton (drawn by J. Barea)
0:24.0,J. Barea makes free throw 1 of 2,1,66-81,,
0:24.0,J. Barea makes free throw 2 of 2,1,67-81,,
0:03.0,Personal foul by J. Barea (drawn by P. George),,67-81,,
0:03.0,,,67-82,1,P. George makes free throw 1 of 2
0:03.0,,,67-82,,A. Roberson enters the game for A. Abrines
0:03.0,,,67-83,1,P. George makes free throw 2 of 2
0:00.0,J. Barea misses 3-pt shot from 53 ft,,67-83,,
0:00.0,Offensive rebound by Team,,67-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,67-83,,P. George misses technical free throw
12:00.0,,,67-83,,Offensive rebound by Team
11:49.0,,,67-83,,Shooting foul by D. Nowitzki (drawn by J. Grant)
11:49.0,,,67-84,1,J. Grant makes free throw 1 of 2
11:49.0,,,67-85,1,J. Grant makes free throw 2 of 2
11:37.0,D. Smith misses 3-pt shot from 24 ft,,67-85,,
11:34.0,,,67-85,,Defensive rebound by P. Patterson
11:26.0,,,67-88,3,P. George makes 3-pt shot from 24 ft (assist by J. Grant)
11:24.0,Dallas full timeout,,67-88,,
11:04.0,D. Nowitzki misses 3-pt shot from 24 ft,,67-88,,
11:01.0,Offensive rebound by J. Barea,,67-88,,
11:00.0,J. Barea makes 2-pt shot from 12 ft,2,69-88,,
10:41.0,,,69-88,,Offensive foul by P. George (drawn by W. Matthews)
10:41.0,,,69-88,,Turnover by P. George (offensive foul)
10:23.0,Shooting foul by A. Abrines (drawn by D. Powell),,69-88,,
10:23.0,D. Powell makes free throw 1 of 2,1,70-88,,
10:23.0,D. Powell makes free throw 2 of 2,1,71-88,,
10:11.0,,,71-90,2,R. Felton makes 2-pt shot from 13 ft (assist by P. George)
9:50.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Smith),2,73-90,,
9:38.0,,,73-92,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton)
9:15.0,D. Powell makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,75-92,,
9:02.0,,,75-92,,P. George misses 3-pt shot from 23 ft
8:59.0,Defensive rebound by D. Nowitzki,,75-92,,
8:50.0,D. Nowitzki misses 3-pt shot from 24 ft,,75-92,,
8:44.0,Offensive rebound by W. Matthews,,75-92,,
8:43.0,Turnover by W. Matthews (bad pass; steal by P. George),,75-92,,
8:37.0,,,75-92,,P. Patterson misses 3-pt shot from 25 ft
8:35.0,,,75-92,,Offensive rebound by A. Abrines
8:26.0,,,75-95,3,A. Abrines makes 3-pt shot from 26 ft (assist by R. Felton)
8:24.0,Dallas full timeout,,75-95,,
8:24.0,,,75-95,,R. Westbrook enters the game for J. Grant
8:24.0,,,75-95,,J. Huestis enters the game for A. Abrines
8:24.0,M. Kleber enters the game for D. Powell,,75-95,,
8:24.0,H. Barnes enters the game for D. Nowitzki,,75-95,,
8:06.0,J. Barea makes 2-pt shot from 6 ft,2,77-95,,
7:44.0,,,77-95,,R. Westbrook misses 2-pt shot from 15 ft
7:42.0,Defensive rebound by H. Barnes,,77-95,,
7:29.0,M. Kleber makes 2-pt shot from 1 ft (assist by W. Matthews),2,79-95,,
7:14.0,,,79-97,2,P. George makes 2-pt shot from 7 ft (assist by R. Westbrook)
7:00.0,D. Smith misses 2-pt shot from 15 ft,,79-97,,
6:58.0,Offensive rebound by H. Barnes,,79-97,,
6:56.0,J. Barea misses 3-pt shot from 25 ft,,79-97,,
6:54.0,,,79-97,,Defensive rebound by J. Huestis
6:51.0,Personal take foul by J. Barea (drawn by P. George),,79-97,,
6:51.0,Y. Ferrell enters the game for J. Barea,,79-97,,
6:44.0,,,79-97,,J. Huestis misses 3-pt shot from 22 ft
6:41.0,Defensive rebound by Team,,79-97,,
6:41.0,,,79-97,,Loose ball foul by R. Westbrook (drawn by M. Kleber)
6:29.0,,,79-97,,Personal foul by J. Huestis (drawn by W. Matthews)
6:20.0,H. Barnes makes 2-pt shot from 12 ft,2,81-97,,
6:02.0,,,81-97,,P. George misses 2-pt shot from 14 ft
6:00.0,Defensive rebound by H. Barnes,,81-97,,
5:56.0,Y. Ferrell makes 3-pt shot from 24 ft,3,84-97,,
5:55.0,,,84-97,,Oklahoma City full timeout
5:55.0,,,84-97,,J. Grant enters the game for R. Felton
5:55.0,,,84-97,,A. Roberson enters the game for P. Patterson
5:40.0,,,84-97,,J. Huestis misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by Team,,84-97,,
5:34.0,,,84-97,,Personal foul by P. George (drawn by H. Barnes)
5:25.0,M. Kleber misses 2-pt shot from 1 ft,,84-97,,
5:21.0,Offensive rebound by M. Kleber,,84-97,,
5:21.0,M. Kleber misses 2-pt shot at rim,,84-97,,
5:20.0,,,84-97,,Defensive rebound by P. George
5:10.0,,,84-97,,R. Westbrook misses 2-pt shot from 18 ft
5:10.0,Defensive rebound by D. Smith,,84-97,,
5:03.0,H. Barnes misses 3-pt shot from 24 ft,,84-97,,
5:00.0,,,84-97,,Defensive rebound by J. Grant
4:48.0,,,84-100,3,P. George makes 3-pt shot from 24 ft
4:42.0,,,84-100,,Personal foul by R. Westbrook (drawn by Y. Ferrell)
4:42.0,Y. Ferrell makes free throw 1 of 2,1,85-100,,
4:42.0,Y. Ferrell makes free throw 2 of 2,1,86-100,,
4:31.0,,,86-102,2,P. George makes 2-pt shot from 1 ft
4:14.0,H. Barnes makes 2-pt shot from 19 ft,2,88-102,,
3:58.0,,,88-102,,Offensive charge foul by J. Grant (drawn by W. Matthews)
3:58.0,,,88-102,,Turnover by J. Grant (offensive foul)
3:50.0,D. Smith misses 2-pt shot from 1 ft (block by A. Roberson),,88-102,,
3:50.0,Offensive rebound by Team,,88-102,,
3:47.0,W. Matthews misses 2-pt shot from 18 ft,,88-102,,
3:43.0,Offensive rebound by Y. Ferrell,,88-102,,
3:40.0,Turnover by Y. Ferrell (bad pass; steal by J. Huestis),,88-102,,
3:32.0,,,88-102,,Shooting foul by D. Smith (drawn by R. Westbrook)
3:32.0,,,88-103,1,R. Westbrook makes free throw 1 of 2
3:32.0,,,88-104,1,R. Westbrook makes free throw 2 of 2
