time,Toronto,pts.away,score,pts.home,Washington
7:45.0,Offensive rebound by Team,,63-54,,
7:45.0,S. Ibaka makes free throw 2 of 2,1,64-54,,
7:29.0,,,64-56,2,O. Porter makes 2-pt shot from 2 ft (assist by B. Beal)
7:10.0,S. Ibaka misses 2-pt shot from 13 ft,,64-56,,
7:08.0,,,64-56,,Defensive rebound by M. Gortat
7:00.0,,,64-56,,B. Beal misses 3-pt shot from 26 ft
6:56.0,Defensive rebound by S. Ibaka,,64-56,,
6:49.0,,,64-56,,Personal foul by B. Beal (drawn by S. Ibaka)
6:49.0,S. Ibaka misses free throw 1 of 2,,64-56,,
6:49.0,Offensive rebound by Team,,64-56,,
6:49.0,S. Ibaka makes free throw 2 of 2,1,65-56,,
6:37.0,Personal foul by N. Powell (drawn by B. Beal),,65-56,,
6:29.0,,,65-59,3,T. Satoransky makes 3-pt shot from 25 ft (assist by B. Beal)
6:09.0,D. DeRozan misses 2-pt shot from 2 ft (block by M. Gortat),,65-59,,
6:05.0,,,65-59,,Defensive rebound by M. Morris
6:03.0,,,65-59,,T. Satoransky misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by J. Valanciunas,,65-59,,
5:49.0,S. Ibaka misses 2-pt shot from 16 ft,,65-59,,
5:47.0,,,65-59,,Defensive rebound by Team
5:25.0,,,65-61,2,M. Morris makes 2-pt shot from 13 ft
4:58.0,K. Lowry misses 2-pt shot from 9 ft,,65-61,,
4:56.0,,,65-61,,Defensive rebound by M. Gortat
4:51.0,,,65-63,2,O. Porter makes 2-pt shot from 17 ft
4:49.0,Toronto full timeout,,65-63,,
4:49.0,F. VanVleet enters the game for S. Ibaka,,65-63,,
4:49.0,P. Siakam enters the game for N. Powell,,65-63,,
4:38.0,Shooting foul by T. Satoransky (drawn by K. Lowry),,65-63,,
4:38.0,K. Lowry misses free throw 1 of 2,,65-63,,
4:38.0,Offensive rebound by Team,,65-63,,
4:38.0,K. Lowry makes free throw 2 of 2,1,66-63,,
4:28.0,,,66-63,,M. Gortat misses 2-pt shot from 10 ft
4:25.0,Defensive rebound by K. Lowry,,66-63,,
4:22.0,P. Siakam makes 2-pt shot at rim (assist by K. Lowry),2,68-63,,
4:06.0,,,68-63,,B. Beal misses 2-pt shot from 19 ft
4:02.0,Defensive rebound by F. VanVleet,,68-63,,
3:55.0,Turnover by F. VanVleet (bad pass; steal by M. Morris),,68-63,,
3:52.0,,,68-65,2,T. Satoransky makes 2-pt shot from 1 ft (assist by O. Porter)
3:33.0,F. VanVleet misses 3-pt shot from 23 ft,,68-65,,
3:30.0,,,68-65,,Defensive rebound by M. Gortat
3:19.0,,,68-68,3,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal)
2:57.0,Shooting foul by M. Morris (drawn by J. Valanciunas),,68-68,,
2:57.0,J. Valanciunas makes free throw 1 of 2,1,69-68,,
2:57.0,,,69-68,,T. Frazier enters the game for M. Morris
2:57.0,,,69-68,,M. Scott enters the game for T. Satoransky
2:57.0,C. Miles enters the game for K. Lowry,,69-68,,
2:57.0,J. Valanciunas misses free throw 2 of 2,,69-68,,
2:54.0,,,69-68,,Defensive rebound by M. Gortat
2:36.0,,,69-70,2,O. Porter makes 2-pt shot from 18 ft (assist by T. Frazier)
2:36.0,,,69-70,,Shooting foul by C. Miles (drawn by O. Porter)
2:36.0,J. Poeltl enters the game for J. Valanciunas,,69-70,,
2:36.0,,,69-71,1,O. Porter makes free throw 1 of 1
2:12.0,F. VanVleet misses 3-pt shot from 29 ft,,69-71,,
2:06.0,Offensive rebound by D. DeRozan,,69-71,,
1:58.0,D. DeRozan makes 2-pt shot from 7 ft,2,71-71,,
1:39.0,,,71-71,,B. Beal misses 2-pt shot from 18 ft
1:38.0,,,71-71,,Offensive rebound by O. Porter
1:38.0,Personal foul by F. VanVleet (drawn by O. Porter),,71-71,,
1:38.0,,,71-71,,O. Porter misses free throw 1 of 2
1:38.0,,,71-71,,Offensive rebound by Team
1:38.0,,,71-71,,K. Oubre enters the game for B. Beal
1:38.0,,,71-71,,I. Mahinmi enters the game for M. Gortat
1:38.0,,,71-72,1,O. Porter makes free throw 2 of 2
1:20.0,P. Siakam misses 3-pt shot from 23 ft,,71-72,,
1:16.0,,,71-72,,Defensive rebound by K. Oubre
1:05.0,,,71-72,,Shooting foul by J. Poeltl (drawn by O. Porter)
1:05.0,,,71-73,1,O. Porter makes free throw 1 of 2
1:05.0,,,71-74,1,O. Porter makes free throw 2 of 2
0:53.0,C. Miles makes 3-pt shot from 25 ft (assist by D. DeRozan),3,74-74,,
0:32.0,,,74-74,,M. Scott misses 2-pt shot from 6 ft
0:31.0,,,74-74,,Offensive rebound by I. Mahinmi
0:30.0,,,74-74,,M. Scott misses 2-pt shot from 16 ft
0:29.0,,,74-74,,Offensive rebound by Team
0:29.0,,,74-74,,Turnover by Team (shot clock)
0:09.0,C. Miles makes 3-pt shot from 25 ft (assist by D. DeRozan),3,77-74,,
0:01.0,,,77-74,,K. Oubre misses 3-pt shot from 25 ft (block by F. VanVleet)
0:01.0,,,77-74,,Offensive rebound by I. Mahinmi
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,77-76,2,I. Mahinmi makes 2-pt shot from 8 ft (assist by K. Oubre)
11:13.0,D. Wright misses 3-pt shot from 30 ft,,77-76,,
11:09.0,,,77-76,,Defensive rebound by T. Frazier
11:00.0,Personal foul by F. VanVleet (drawn by T. Frazier),,77-76,,
10:53.0,,,77-76,,O. Porter misses 2-pt shot from 8 ft
10:51.0,Defensive rebound by J. Poeltl,,77-76,,
10:34.0,D. Wright misses 3-pt shot from 25 ft,,77-76,,
10:30.0,,,77-76,,Defensive rebound by K. Oubre
10:20.0,Personal foul by D. Wright,,77-76,,
10:20.0,Technical foul by D. Wright,,77-76,,
10:20.0,,,77-76,,O. Porter misses technical free throw
10:20.0,,,77-76,,Offensive rebound by Team
10:20.0,,,77-76,,B. Beal enters the game for O. Porter
10:14.0,,,77-76,,T. Frazier misses 2-pt shot from 6 ft
10:13.0,Defensive rebound by P. Siakam,,77-76,,
10:03.0,F. VanVleet misses 3-pt shot from 22 ft,,77-76,,
10:00.0,Offensive rebound by Team,,77-76,,
9:59.0,C. Miles makes 3-pt shot from 26 ft (assist by D. Wright),3,80-76,,
9:32.0,,,80-78,2,B. Beal makes 2-pt shot from 14 ft (assist by T. Frazier)
9:19.0,D. Wright misses 3-pt shot from 26 ft,,80-78,,
9:15.0,Offensive rebound by F. VanVleet,,80-78,,
9:13.0,C. Miles misses 3-pt shot from 24 ft,,80-78,,
9:10.0,,,80-78,,Defensive rebound by B. Beal
8:57.0,,,80-78,,I. Mahinmi misses 2-pt shot from 2 ft (block by J. Poeltl)
8:54.0,Defensive rebound by C. Miles,,80-78,,
8:46.0,P. Siakam misses 2-pt shot from 2 ft (block by I. Mahinmi),,80-78,,
8:43.0,Offensive rebound by J. Poeltl,,80-78,,
8:42.0,C. Miles misses 3-pt shot from 24 ft,,80-78,,
8:42.0,,,80-78,,Defensive rebound by Team
8:22.0,,,80-80,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by T. Frazier)
7:59.0,F. VanVleet misses 3-pt shot from 24 ft,,80-80,,
7:57.0,,,80-80,,Defensive rebound by K. Oubre
7:46.0,,,80-80,,K. Oubre misses 3-pt shot from 28 ft
7:43.0,,,80-80,,Offensive rebound by Team
7:43.0,,,80-80,,T. Satoransky enters the game for T. Frazier
7:39.0,,,80-82,2,M. Scott makes 2-pt shot from 16 ft (assist by I. Mahinmi)
7:34.0,Toronto full timeout,,80-82,,
7:34.0,K. Lowry enters the game for D. Wright,,80-82,,
7:12.0,P. Siakam misses 3-pt shot from 24 ft,,80-82,,
7:09.0,Offensive rebound by F. VanVleet,,80-82,,
6:55.0,Offensive foul by K. Lowry (drawn by I. Mahinmi),,80-82,,
6:55.0,Turnover by K. Lowry (offensive foul),,80-82,,
6:40.0,,,80-82,,Loose ball foul by K. Oubre (drawn by P. Siakam)
6:40.0,,,80-82,,Turnover by K. Oubre (turnover)
6:24.0,P. Siakam misses 2-pt shot from 1 ft,,80-82,,
6:23.0,,,80-82,,Defensive rebound by I. Mahinmi
6:14.0,,,80-84,2,B. Beal makes 2-pt shot from 3 ft
6:01.0,C. Miles makes 3-pt shot from 26 ft (assist by F. VanVleet),3,83-84,,
5:41.0,,,83-84,,Turnover by M. Scott (lost ball; steal by P. Siakam)
5:38.0,Shooting foul by B. Beal (drawn by F. VanVleet),,83-84,,
5:38.0,F. VanVleet makes free throw 1 of 2,1,84-84,,
5:38.0,,,84-84,,O. Porter enters the game for I. Mahinmi
5:38.0,,,84-84,,M. Morris enters the game for M. Scott
5:38.0,D. DeRozan enters the game for P. Siakam,,84-84,,
5:38.0,F. VanVleet makes free throw 2 of 2,1,85-84,,
5:26.0,,,85-84,,K. Oubre misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by F. VanVleet,,85-84,,
5:06.0,J. Poeltl makes 2-pt shot at rim (assist by D. DeRozan),2,87-84,,
5:06.0,Shooting foul by M. Morris (drawn by J. Poeltl),,87-84,,
5:06.0,,,87-84,,M. Gortat enters the game for K. Oubre
5:06.0,J. Poeltl misses free throw 1 of 1,,87-84,,
5:01.0,,,87-84,,Defensive rebound by O. Porter
4:52.0,,,87-84,,Shooting foul by K. Lowry (drawn by B. Beal)
4:52.0,,,87-85,1,B. Beal makes free throw 1 of 2
4:52.0,,,87-85,,B. Beal misses free throw 2 of 2
4:49.0,Defensive rebound by D. DeRozan,,87-85,,
4:37.0,C. Miles misses 3-pt shot from 25 ft,,87-85,,
4:33.0,,,87-85,,Defensive rebound by B. Beal
4:21.0,,,87-87,2,T. Satoransky makes 2-pt shot from 7 ft
4:03.0,J. Poeltl makes 2-pt shot from 1 ft (assist by D. DeRozan),2,89-87,,
4:03.0,,,89-87,,Washington full timeout
4:03.0,Technical foul by K. Lowry,,89-87,,
4:03.0,,,89-88,1,B. Beal makes technical free throw
3:54.0,,,89-88,,Turnover by T. Satoransky (bad pass)
3:40.0,D. DeRozan misses 2-pt shot from 4 ft (block by M. Gortat),,89-88,,
3:40.0,Offensive rebound by Team,,89-88,,
3:36.0,C. Miles makes 2-pt shot from 1 ft,2,91-88,,
3:16.0,,,91-88,,M. Gortat misses 2-pt shot from 3 ft (block by J. Poeltl)
3:13.0,Defensive rebound by J. Poeltl,,91-88,,
3:07.0,C. Miles makes 3-pt shot from 24 ft (assist by F. VanVleet),3,94-88,,
3:06.0,,,94-88,,Washington full timeout
3:06.0,,,94-88,,K. Oubre enters the game for M. Gortat
2:48.0,,,94-88,,B. Beal misses 2-pt shot from 18 ft
2:46.0,Defensive rebound by K. Lowry,,94-88,,
