time,LA Clippers,pts.away,score,pts.home,Utah
5:08.0,Shooting foul by J. Ingles (drawn by W. Johnson),,16-22,,
5:08.0,,,16-22,,D. Favors enters the game for R. Gobert
5:08.0,W. Johnson misses free throw 1 of 1,,16-22,,
5:06.0,,,16-22,,Defensive rebound by J. Jerebko
4:54.0,,,16-24,2,J. Ingles makes 2-pt shot from 21 ft
4:42.0,B. Griffin makes 3-pt shot from 24 ft (assist by J. Evans),3,19-24,,
4:26.0,,,19-24,,D. Favors misses 2-pt shot from 1 ft
4:23.0,,,19-24,,Offensive rebound by D. Favors
4:23.0,,,19-26,2,D. Favors makes 2-pt shot at rim
4:16.0,Turnover by L. Williams (bad pass; steal by J. Ingles),,19-26,,
4:09.0,,,19-26,,J. Ingles misses 3-pt shot from 25 ft
4:06.0,,,19-26,,Offensive rebound by J. Jerebko
3:54.0,,,19-26,,R. Rubio misses 2-pt shot from 3 ft (block by T. Wallace)
3:51.0,,,19-26,,Offensive rebound by R. Rubio
3:45.0,,,19-28,2,R. Rubio makes 2-pt shot from 22 ft
3:32.0,Shooting foul by D. Mitchell (drawn by J. Evans),,19-28,,
3:32.0,J. Evans makes free throw 1 of 2,1,20-28,,
3:32.0,,,20-28,,J. Johnson enters the game for J. Ingles
3:32.0,,,20-28,,A. Burks enters the game for J. Jerebko
3:32.0,M. Harrell enters the game for L. Williams,,20-28,,
3:32.0,J. Evans makes free throw 2 of 2,1,21-28,,
3:08.0,,,21-28,,J. Johnson misses 2-pt shot from 11 ft
3:05.0,Defensive rebound by W. Johnson,,21-28,,
2:58.0,W. Johnson makes 3-pt shot from 24 ft (assist by B. Griffin),3,24-28,,
2:56.0,,,24-28,,Utah full timeout
2:56.0,,,24-28,,R. Neto enters the game for R. Rubio
2:33.0,,,24-30,2,A. Burks makes 2-pt shot from 11 ft
2:10.0,B. Griffin misses 2-pt shot from 1 ft,,24-30,,
2:08.0,,,24-30,,Defensive rebound by D. Favors
2:03.0,,,24-30,,A. Burks misses 3-pt shot from 26 ft
1:59.0,,,24-30,,Offensive rebound by R. Neto
1:57.0,,,24-30,,D. Favors misses 2-pt shot from 11 ft
1:57.0,Defensive rebound by W. Johnson,,24-30,,
1:47.0,J. Evans misses 2-pt shot from 9 ft,,24-30,,
1:43.0,,,24-30,,Defensive rebound by D. Favors
1:42.0,Shooting block foul by B. Griffin (drawn by A. Burks),,24-30,,
1:42.0,,,24-31,1,A. Burks makes free throw 1 of 2
1:42.0,S. Thornwell enters the game for T. Wallace,,24-31,,
1:42.0,S. Dekker enters the game for B. Griffin,,24-31,,
1:42.0,,,24-31,,R. O'Neale enters the game for D. Mitchell
1:42.0,,,24-32,1,A. Burks makes free throw 2 of 2
1:26.0,W. Johnson misses 3-pt shot from 22 ft,,24-32,,
1:23.0,,,24-32,,Defensive rebound by R. Neto
1:18.0,Violation by W. Johnson (kicked ball),,24-32,,
1:07.0,,,24-35,3,R. Neto makes 3-pt shot from 25 ft (assist by D. Favors)
0:53.0,W. Johnson makes 3-pt shot from 24 ft,3,27-35,,
0:42.0,,,27-35,,Shooting foul by W. Johnson (drawn by D. Favors)
0:42.0,,,27-36,1,D. Favors makes free throw 1 of 2
0:42.0,,,27-37,1,D. Favors makes free throw 2 of 2
0:32.0,J. Evans misses 2-pt shot from 6 ft,,27-37,,
0:29.0,,,27-37,,Defensive rebound by J. Johnson
0:12.0,,,27-37,,Turnover by A. Burks (bad pass; steal by J. Evans)
0:07.0,S. Dekker makes 2-pt shot from 2 ft (assist by J. Evans),2,29-37,,
0:01.0,,,29-39,2,A. Burks makes 2-pt shot from 4 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,29-41,2,J. Johnson makes 2-pt shot from 20 ft
11:24.0,S. Thornwell makes 2-pt shot from 4 ft,2,31-41,,
11:24.0,Shooting foul by A. Burks (drawn by S. Thornwell),,31-41,,
11:24.0,S. Thornwell makes free throw 1 of 1,1,32-41,,
11:05.0,,,32-41,,Turnover by J. Johnson (lost ball; steal by J. Evans)
11:00.0,J. Evans misses 2-pt shot from 6 ft,,32-41,,
10:58.0,,,32-41,,Defensive rebound by A. Burks
10:45.0,Personal foul by W. Johnson (drawn by J. Johnson),,32-41,,
10:45.0,L. Williams enters the game for W. Johnson,,32-41,,
10:38.0,,,32-44,3,R. O'Neale makes 3-pt shot from 23 ft (assist by R. Neto)
10:28.0,J. Evans misses 2-pt shot from 19 ft,,32-44,,
10:25.0,,,32-44,,Defensive rebound by R. O'Neale
10:18.0,,,32-44,,Turnover by R. O'Neale (lost ball; steal by M. Harrell)
10:14.0,,,32-44,,Personal foul by R. Neto (drawn by J. Evans)
10:14.0,M. Teodosic enters the game for J. Evans,,32-44,,
10:14.0,,,32-44,,R. Rubio enters the game for R. Neto
10:12.0,M. Teodosic makes 2-pt shot from 19 ft (assist by S. Thornwell),2,34-44,,
9:56.0,,,34-44,,Turnover by R. O'Neale (bad pass; steal by M. Harrell)
9:53.0,,,34-44,,Personal block foul by R. Rubio (drawn by M. Harrell)
9:41.0,M. Teodosic misses 3-pt shot from 25 ft,,34-44,,
9:38.0,,,34-44,,Defensive rebound by R. Gobert
9:29.0,,,34-46,2,A. Burks makes 2-pt shot from 8 ft
9:14.0,M. Harrell makes 2-pt shot from 1 ft (assist by M. Teodosic),2,36-46,,
9:14.0,Shooting foul by R. Gobert (drawn by M. Harrell),,36-46,,
9:14.0,M. Harrell misses free throw 1 of 1,,36-46,,
9:11.0,,,36-46,,Defensive rebound by J. Johnson
8:54.0,,,36-48,2,J. Johnson makes 2-pt shot from 15 ft
8:36.0,M. Harrell misses 2-pt shot from 7 ft,,36-48,,
8:33.0,,,36-48,,Defensive rebound by R. Gobert
8:18.0,,,36-48,,A. Burks misses 3-pt shot from 22 ft
8:15.0,,,36-48,,Offensive rebound by R. Rubio
8:11.0,,,36-48,,Shooting foul by S. Dekker (drawn by A. Burks)
8:11.0,,,36-49,1,A. Burks makes free throw 1 of 2
8:11.0,,,36-49,,A. Burks misses free throw 2 of 2
8:09.0,Defensive rebound by M. Harrell,,36-49,,
8:03.0,,,36-49,,Personal foul by R. O'Neale (drawn by L. Williams)
8:03.0,L. Williams makes free throw 1 of 2,1,37-49,,
8:03.0,,,37-49,,D. Mitchell enters the game for J. Johnson
8:03.0,,,37-49,,D. Favors enters the game for R. O'Neale
8:03.0,B. Griffin enters the game for S. Dekker,,37-49,,
8:03.0,T. Wallace enters the game for S. Thornwell,,37-49,,
8:03.0,L. Williams makes free throw 2 of 2,1,38-49,,
7:47.0,,,38-49,,D. Favors misses 2-pt shot from 18 ft
7:45.0,,,38-49,,Offensive rebound by R. Gobert
7:35.0,,,38-51,2,A. Burks makes 2-pt shot from 1 ft (assist by D. Mitchell)
7:16.0,M. Teodosic misses 3-pt shot from 24 ft,,38-51,,
7:14.0,,,38-51,,Defensive rebound by R. Rubio
7:06.0,,,38-53,2,D. Mitchell makes 2-pt shot from 2 ft
7:06.0,LA Clippers full timeout,,38-53,,
6:51.0,B. Griffin makes 2-pt shot from 4 ft,2,40-53,,
6:34.0,,,40-55,2,D. Mitchell makes 2-pt shot from 19 ft
6:26.0,L. Williams makes 2-pt shot from 13 ft,2,42-55,,
6:05.0,,,42-55,,R. Rubio misses 2-pt shot from 2 ft
6:03.0,Defensive rebound by M. Harrell,,42-55,,
5:57.0,B. Griffin misses 3-pt shot from 24 ft,,42-55,,
5:54.0,,,42-55,,Defensive rebound by D. Mitchell
5:51.0,,,42-55,,Shooting foul by B. Griffin (drawn by A. Burks)
5:51.0,,,42-56,1,A. Burks makes free throw 1 of 2
5:51.0,,,42-56,,J. Johnson enters the game for R. Gobert
5:51.0,W. Reed enters the game for M. Harrell,,42-56,,
5:51.0,,,42-57,1,A. Burks makes free throw 2 of 2
5:40.0,L. Williams misses 2-pt shot from 20 ft,,42-57,,
5:37.0,Offensive rebound by W. Reed,,42-57,,
5:36.0,W. Reed makes 2-pt shot from 1 ft,2,44-57,,
5:15.0,,,44-57,,Turnover by D. Favors (lost ball; steal by L. Williams)
5:09.0,Turnover by W. Reed (bad pass),,44-57,,
5:09.0,,,44-57,,J. Ingles enters the game for A. Burks
4:54.0,,,44-59,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Mitchell)
4:43.0,M. Teodosic misses 2-pt shot from 20 ft,,44-59,,
4:39.0,Offensive rebound by L. Williams,,44-59,,
4:35.0,,,44-59,,Personal foul by R. Rubio (drawn by T. Wallace)
4:35.0,T. Wallace makes free throw 1 of 2,1,45-59,,
4:35.0,,,45-59,,R. Neto enters the game for R. Rubio
4:35.0,T. Wallace makes free throw 2 of 2,1,46-59,,
4:25.0,Jump ball: D. Mitchell vs. T. Wallace,,,,Jump ball: D. Mitchell vs. T. Wallace
4:13.0,,,46-59,,Turnover by D. Mitchell (bad pass; steal by L. Williams)
4:09.0,L. Williams makes 2-pt shot from 2 ft,2,48-59,,
4:01.0,,,48-59,,J. Ingles misses 3-pt shot from 22 ft
3:58.0,,,48-59,,Offensive rebound by D. Favors
3:57.0,,,48-61,2,D. Favors makes 2-pt shot from 1 ft
3:45.0,L. Williams misses 3-pt shot from 26 ft,,48-61,,
3:43.0,,,48-61,,Defensive rebound by D. Mitchell
3:28.0,,,48-61,,J. Ingles misses 3-pt shot from 23 ft
3:25.0,Defensive rebound by B. Griffin,,48-61,,
3:22.0,Shooting foul by D. Mitchell (drawn by L. Williams),,48-61,,
3:22.0,L. Williams makes free throw 1 of 2,1,49-61,,
3:22.0,W. Johnson enters the game for M. Teodosic,,49-61,,
3:22.0,L. Williams makes free throw 2 of 2,1,50-61,,
3:01.0,,,50-61,,J. Ingles misses 2-pt shot from 4 ft
2:59.0,,,50-61,,Offensive rebound by J. Ingles
2:58.0,,,50-63,2,J. Ingles makes 2-pt shot from 1 ft
2:44.0,Turnover by W. Reed (lost ball; steal by D. Mitchell),,50-63,,
2:39.0,,,50-63,,D. Mitchell misses 2-pt shot from 2 ft
2:36.0,Defensive rebound by B. Griffin,,50-63,,
2:33.0,W. Johnson misses 3-pt shot from 24 ft,,50-63,,
2:33.0,,,50-63,,Defensive rebound by R. Neto
2:26.0,,,50-65,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Mitchell)
2:13.0,L. Williams misses 2-pt shot from 2 ft,,50-65,,
2:13.0,Offensive rebound by W. Reed,,50-65,,
2:13.0,Shooting foul by D. Favors (drawn by W. Reed),,50-65,,
2:13.0,,,50-65,,Utah full timeout
2:13.0,,,50-65,,R. Gobert enters the game for J. Johnson
2:13.0,W. Reed makes free throw 1 of 2,1,51-65,,
2:13.0,W. Reed makes free throw 2 of 2,1,52-65,,
1:58.0,,,52-67,2,D. Mitchell makes 2-pt shot from 17 ft
1:40.0,,,52-67,,Personal foul by D. Mitchell (drawn by B. Griffin)
1:40.0,B. Griffin makes free throw 1 of 2,1,53-67,,
1:40.0,,,53-67,,A. Burks enters the game for D. Mitchell
1:40.0,B. Griffin makes free throw 2 of 2,1,54-67,,
1:20.0,,,54-69,2,R. Gobert makes 2-pt shot from 4 ft (assist by J. Ingles)
1:20.0,,,54-69,,Shooting foul by W. Reed (drawn by R. Gobert)
1:20.0,,,54-70,1,R. Gobert makes free throw 1 of 1
1:07.0,T. Wallace misses 2-pt shot from 8 ft (block by R. Gobert),,54-70,,
1:04.0,Offensive rebound by T. Wallace,,54-70,,
0:58.0,B. Griffin misses 3-pt shot from 26 ft,,54-70,,
0:55.0,,,54-70,,Defensive rebound by R. Gobert
0:48.0,,,54-73,3,J. Ingles makes 3-pt shot from 25 ft
0:37.0,W. Johnson makes 2-pt shot from 2 ft,2,56-73,,
0:33.0,,,56-76,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Neto)
0:28.0,T. Wallace makes 3-pt shot from 23 ft (assist by L. Williams),3,59-76,,
0:09.0,,,59-76,,Turnover by R. Neto (bad pass; steal by B. Griffin)
0:04.0,W. Johnson misses 3-pt shot from 25 ft,,59-76,,
0:00.0,,,59-76,,Defensive rebound by D. Favors
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,59-78,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Mitchell)
11:26.0,B. Griffin makes 2-pt shot from 15 ft,2,61-78,,
11:13.0,,,61-81,3,D. Mitchell makes 3-pt shot from 25 ft
10:54.0,B. Griffin makes 3-pt shot from 24 ft,3,64-81,,
10:30.0,,,64-81,,D. Mitchell misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by W. Johnson,,64-81,,
10:18.0,Turnover by L. Williams (lost ball; steal by J. Ingles),,64-81,,
10:06.0,,,64-83,2,R. Gobert makes 2-pt shot from 1 ft
9:53.0,W. Johnson makes 3-pt shot from 22 ft (assist by L. Williams),3,67-83,,
9:40.0,,,67-83,,R. Rubio misses 2-pt shot from 16 ft
9:36.0,Defensive rebound by T. Wallace,,67-83,,
9:30.0,B. Griffin misses 3-pt shot from 25 ft,,67-83,,
9:27.0,,,67-83,,Defensive rebound by J. Ingles
9:17.0,,,67-83,,D. Favors misses 2-pt shot from 9 ft (block by W. Johnson)
9:15.0,Defensive rebound by M. Teodosic,,67-83,,
9:09.0,Offensive foul by M. Teodosic (drawn by R. Rubio),,67-83,,
9:09.0,Turnover by M. Teodosic (offensive foul),,67-83,,
9:09.0,,,67-83,,J. Jerebko enters the game for R. Gobert
8:55.0,Personal foul by M. Teodosic (drawn by R. Rubio),,67-83,,
8:49.0,Personal foul by L. Williams (drawn by D. Favors),,67-83,,
8:45.0,,,67-86,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell)
8:29.0,Turnover by T. Wallace (out of bounds lost ball),,67-86,,
8:14.0,,,67-86,,J. Ingles misses 2-pt shot from 2 ft
8:12.0,,,67-86,,Offensive rebound by D. Favors
8:10.0,,,67-88,2,J. Ingles makes 2-pt shot from 2 ft (assist by D. Favors)
8:00.0,T. Wallace misses 3-pt shot from 23 ft,,67-88,,
7:58.0,,,67-88,,Defensive rebound by D. Favors
7:51.0,,,67-88,,Turnover by R. Rubio (bad pass; steal by L. Williams)
7:51.0,,,67-88,,Personal foul by J. Jerebko (drawn by L. Williams)
7:51.0,J. Evans enters the game for T. Wallace,,67-88,,
7:42.0,Shooting foul by D. Favors (drawn by B. Griffin),,67-88,,
7:42.0,B. Griffin makes free throw 1 of 2,1,68-88,,
7:42.0,B. Griffin makes free throw 2 of 2,1,69-88,,
7:26.0,,,69-91,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio)
7:09.0,L. Williams misses 2-pt shot from 4 ft,,69-91,,
7:08.0,,,69-91,,Defensive rebound by D. Favors
6:48.0,,,69-93,2,D. Mitchell makes 2-pt shot from 2 ft
6:48.0,,,69-93,,Shooting foul by J. Evans (drawn by D. Mitchell)
6:48.0,,,69-93,,Utah full timeout
6:48.0,,,69-94,1,D. Mitchell makes free throw 1 of 1
6:36.0,B. Griffin misses 2-pt shot from 2 ft,,69-94,,
6:33.0,,,69-94,,Defensive rebound by R. Rubio
6:33.0,,,69-94,,Turnover by R. Rubio (out of bounds lost ball)
6:27.0,W. Johnson makes 2-pt shot from 20 ft (assist by M. Teodosic),2,71-94,,
6:09.0,,,71-94,,R. Rubio misses 3-pt shot from 23 ft
6:06.0,Defensive rebound by W. Johnson,,71-94,,
6:02.0,L. Williams makes 2-pt shot from 1 ft,2,73-94,,
5:47.0,,,73-94,,J. Ingles misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by B. Griffin,,73-94,,
5:37.0,J. Evans misses 3-pt shot from 23 ft,,73-94,,
5:35.0,,,73-94,,Defensive rebound by J. Ingles
5:28.0,,,73-94,,R. Rubio misses 2-pt shot from 1 ft
5:26.0,Defensive rebound by B. Griffin,,73-94,,
5:18.0,B. Griffin makes 2-pt shot at rim (assist by M. Teodosic),2,75-94,,
5:00.0,,,75-94,,Offensive charge foul by D. Favors (drawn by M. Teodosic)
5:00.0,,,75-94,,Turnover by D. Favors (offensive foul)
5:00.0,,,75-94,,A. Burks enters the game for R. Rubio
5:00.0,T. Wallace enters the game for M. Teodosic,,75-94,,
4:47.0,B. Griffin makes 2-pt shot from 2 ft (assist by L. Williams),2,77-94,,
4:29.0,,,77-94,,Turnover by D. Mitchell (bad pass; steal by L. Williams)
4:28.0,,,77-94,,Personal foul by J. Jerebko (drawn by L. Williams)
4:28.0,,,77-94,,J. Johnson enters the game for J. Jerebko
4:28.0,,,77-94,,R. Gobert enters the game for D. Favors
4:23.0,Turnover by B. Griffin (bad pass; steal by J. Ingles),,77-94,,
4:15.0,,,77-94,,Shooting foul by J. Evans (drawn by D. Mitchell)
4:15.0,,,77-94,,D. Mitchell misses free throw 1 of 2
4:15.0,,,77-94,,Offensive rebound by Team
4:15.0,,,77-95,1,D. Mitchell makes free throw 2 of 2
4:04.0,L. Williams makes 3-pt shot from 25 ft (assist by B. Griffin),3,80-95,,
3:39.0,,,80-95,,Turnover by Team (shot clock)
3:28.0,Shooting foul by R. Gobert (drawn by T. Wallace),,80-95,,
3:28.0,T. Wallace misses free throw 1 of 2,,80-95,,
3:28.0,Offensive rebound by Team,,80-95,,
3:28.0,,,80-95,,R. O'Neale enters the game for J. Ingles
3:28.0,T. Wallace makes free throw 2 of 2,1,81-95,,
3:08.0,,,81-95,,Turnover by J. Johnson (bad pass; steal by W. Johnson)
3:03.0,T. Wallace misses 2-pt shot from 1 ft,,81-95,,
3:00.0,,,81-95,,Defensive rebound by A. Burks
2:53.0,,,81-98,3,R. O'Neale makes 3-pt shot from 24 ft (assist by D. Mitchell)
2:41.0,L. Williams makes 2-pt shot from 8 ft,2,83-98,,
2:41.0,Shooting foul by R. Gobert (drawn by L. Williams),,83-98,,
2:41.0,LA Clippers full timeout,,83-98,,
2:41.0,L. Williams makes free throw 1 of 1,1,84-98,,
2:30.0,,,84-98,,D. Mitchell misses 2-pt shot from 22 ft
2:26.0,Defensive rebound by T. Wallace,,84-98,,
2:20.0,Shooting foul by R. O'Neale (drawn by L. Williams),,84-98,,
2:20.0,L. Williams makes free throw 1 of 2,1,85-98,,
2:20.0,,,85-98,,R. Neto enters the game for R. Gobert
2:20.0,,,85-98,,D. Favors enters the game for D. Mitchell
2:20.0,M. Harrell enters the game for B. Griffin,,85-98,,
2:20.0,L. Williams makes free throw 2 of 2,1,86-98,,
2:02.0,,,86-98,,Turnover by R. O'Neale (bad pass; steal by L. Williams)
2:01.0,Turnover by L. Williams (bad pass; steal by R. O'Neale),,86-98,,
1:59.0,,,86-100,2,R. O'Neale makes 2-pt shot from 2 ft
1:43.0,L. Williams misses 2-pt shot from 1 ft,,86-100,,
1:43.0,,,86-100,,Defensive rebound by A. Burks
1:43.0,Personal foul by M. Harrell (drawn by A. Burks),,86-100,,
1:43.0,,,86-101,1,A. Burks makes free throw 1 of 2
1:43.0,,,86-102,1,A. Burks makes free throw 2 of 2
1:24.0,W. Johnson misses 3-pt shot from 28 ft,,86-102,,
1:20.0,,,86-102,,Defensive rebound by D. Favors
1:11.0,,,86-102,,Turnover by D. Favors (bad pass; steal by L. Williams)
1:08.0,Shooting foul by A. Burks (drawn by W. Johnson),,86-102,,
1:08.0,W. Johnson misses free throw 1 of 2,,86-102,,
1:08.0,Offensive rebound by Team,,86-102,,
1:08.0,M. Teodosic enters the game for L. Williams,,86-102,,
1:08.0,W. Johnson misses free throw 2 of 2,,86-102,,
1:06.0,,,86-102,,Defensive rebound by A. Burks
0:51.0,,,86-102,,D. Favors misses 3-pt shot from 22 ft
0:48.0,Defensive rebound by W. Johnson,,86-102,,
0:38.0,Shooting foul by A. Burks (drawn by M. Harrell),,86-102,,
0:38.0,M. Harrell makes free throw 1 of 2,1,87-102,,
0:38.0,S. Dekker enters the game for W. Johnson,,87-102,,
0:38.0,M. Harrell misses free throw 2 of 2,,87-102,,
0:36.0,,,87-102,,Defensive rebound by A. Burks
0:26.0,,,87-104,2,J. Johnson makes 2-pt shot from 18 ft
0:05.0,M. Teodosic misses 3-pt shot from 28 ft,,87-104,,
0:01.0,,,87-104,,Defensive rebound by A. Burks
0:00.0,,,87-104,,A. Burks misses 3-pt shot from 48 ft
0:00.0,,,87-104,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,M. Teodosic misses 3-pt shot from 25 ft,,87-104,,
11:45.0,,,87-104,,Defensive rebound by D. Favors
11:28.0,,,87-104,,Offensive foul by R. Neto (drawn by J. Evans)
11:28.0,,,87-104,,Turnover by R. Neto (offensive foul)
11:09.0,T. Wallace makes 2-pt shot from 8 ft,2,89-104,,
10:53.0,,,89-104,,R. Neto misses 2-pt shot from 6 ft
10:51.0,Defensive rebound by S. Dekker,,89-104,,
10:48.0,M. Teodosic misses 3-pt shot from 25 ft,,89-104,,
10:48.0,,,89-104,,Defensive rebound by R. O'Neale
10:44.0,Personal foul by M. Teodosic (drawn by R. O'Neale),,89-104,,
10:44.0,,,89-104,,R. Gobert enters the game for D. Favors
10:44.0,L. Williams enters the game for J. Evans,,89-104,,
10:44.0,,,89-104,,J. Ingles enters the game for A. Burks
10:36.0,,,89-104,,Shooting foul by M. Harrell (drawn by R. Gobert)
10:36.0,,,89-104,,R. Gobert misses free throw 1 of 2
10:36.0,,,89-104,,Offensive rebound by Team
10:36.0,,,89-105,1,R. Gobert makes free throw 2 of 2
10:25.0,L. Williams makes 2-pt shot from 2 ft,2,91-105,,
10:01.0,,,91-105,,J. Johnson misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by M. Harrell,,91-105,,
9:51.0,B. Griffin enters the game for S. Dekker,,91-105,,
9:47.0,L. Williams makes 3-pt shot from 28 ft,3,94-105,,
9:31.0,,,94-105,,R. Neto misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by B. Griffin,,94-105,,
9:28.0,Shooting foul by J. Johnson (drawn by M. Harrell),,94-105,,
9:28.0,M. Harrell makes free throw 1 of 2,1,95-105,,
9:28.0,,,95-105,,R. Rubio enters the game for R. O'Neale
9:28.0,,,95-105,,D. Mitchell enters the game for R. Neto
9:28.0,M. Harrell makes free throw 2 of 2,1,96-105,,
9:04.0,,,96-105,,D. Mitchell misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by B. Griffin,,96-105,,
8:53.0,L. Williams misses 3-pt shot from 27 ft,,96-105,,
8:50.0,,,96-105,,Defensive rebound by J. Johnson
8:47.0,Personal foul by T. Wallace (drawn by D. Mitchell),,96-105,,
8:47.0,,,96-105,,D. Favors enters the game for J. Johnson
8:33.0,,,96-105,,R. Rubio misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by Team,,96-105,,
8:33.0,,,96-105,,Loose ball foul by R. Gobert (drawn by M. Teodosic)
8:33.0,,,96-105,,J. Jerebko enters the game for R. Gobert
8:17.0,L. Williams misses 3-pt shot from 27 ft,,96-105,,
8:16.0,,,96-105,,Defensive rebound by J. Jerebko
8:16.0,Personal foul by M. Teodosic (drawn by J. Jerebko),,96-105,,
8:00.0,,,96-107,2,D. Mitchell makes 2-pt shot from 21 ft
7:48.0,Shooting foul by J. Jerebko (drawn by B. Griffin),,96-107,,
7:48.0,B. Griffin makes free throw 1 of 2,1,97-107,,
7:48.0,B. Griffin misses free throw 2 of 2,,97-107,,
7:46.0,,,97-107,,Defensive rebound by J. Jerebko
7:26.0,Personal foul by L. Williams (drawn by R. Rubio),,97-107,,
