time,Charlotte,pts.away,score,pts.home,Milwaukee
7:24.0,J. O'Bryant enters the game for D. Howard,,11-13,,
7:22.0,,,11-16,3,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by K. Middleton)
7:06.0,J. O'Bryant misses 2-pt shot from 15 ft,,11-16,,
7:02.0,,,11-16,,Defensive rebound by E. Bledsoe
7:00.0,,,11-16,,Turnover by E. Bledsoe (bad pass)
7:00.0,,,11-16,,S. Brown enters the game for G. Antetokounmpo
6:43.0,N. Batum makes 2-pt shot from 13 ft,2,13-16,,
6:27.0,,,13-16,,K. Middleton misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by M. Williams,,13-16,,
6:19.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum),2,15-16,,
6:07.0,,,15-16,,Offensive foul by S. Brown (drawn by M. Williams)
6:07.0,,,15-16,,Turnover by S. Brown (offensive foul)
6:07.0,,,15-16,,T. Maker enters the game for J. Henson
6:07.0,J. Lamb enters the game for M. Kidd-Gilchrist,,15-16,,
5:49.0,K. Walker makes 2-pt shot from 1 ft,2,17-16,,
5:43.0,,,17-16,,Shooting foul by J. O'Bryant (drawn by E. Bledsoe)
5:43.0,,,17-16,,E. Bledsoe misses free throw 1 of 2
5:43.0,,,17-16,,Offensive rebound by Team
5:43.0,,,17-17,1,E. Bledsoe makes free throw 2 of 2
5:43.0,,,17-17,,M. Brogdon enters the game for T. Snell
5:21.0,J. O'Bryant misses 2-pt shot from 2 ft,,17-17,,
5:21.0,Offensive rebound by Team,,17-17,,
5:21.0,,,17-17,,Loose ball foul by K. Middleton (drawn by N. Batum)
5:17.0,J. Lamb makes 2-pt shot from 1 ft (assist by N. Batum),2,19-17,,
5:09.0,Def 3 sec tech foul by J. O'Bryant,,19-17,,
5:09.0,,,19-18,1,K. Middleton makes technical free throw
5:09.0,F. Kaminsky enters the game for M. Williams,,19-18,,
5:01.0,,,19-20,2,K. Middleton makes 2-pt shot from 14 ft (assist by M. Brogdon)
4:40.0,Turnover by N. Batum (bad pass; steal by S. Brown),,19-20,,
4:21.0,,,19-20,,E. Bledsoe misses 2-pt shot from 18 ft
4:17.0,Defensive rebound by K. Walker,,19-20,,
4:08.0,J. O'Bryant misses 2-pt shot from 13 ft,,19-20,,
4:03.0,,,19-20,,Defensive rebound by K. Middleton
3:57.0,,,19-22,2,K. Middleton makes 2-pt shot from 11 ft
3:36.0,F. Kaminsky makes 2-pt shot from 5 ft,2,21-22,,
3:19.0,,,21-24,2,S. Brown makes 2-pt shot from 11 ft (assist by E. Bledsoe)
2:59.0,J. O'Bryant misses 2-pt shot from 4 ft,,21-24,,
2:59.0,Offensive rebound by Team,,21-24,,
2:59.0,,,21-24,,Milwaukee full timeout
2:59.0,,,21-24,,G. Antetokounmpo enters the game for K. Middleton
2:59.0,M. Kidd-Gilchrist enters the game for N. Batum,,21-24,,
2:52.0,K. Walker misses 2-pt shot from 2 ft,,21-24,,
2:50.0,Offensive rebound by J. O'Bryant,,21-24,,
2:48.0,J. Lamb misses 3-pt shot from 28 ft,,21-24,,
2:47.0,Offensive rebound by F. Kaminsky,,21-24,,
2:47.0,Shooting foul by S. Brown (drawn by F. Kaminsky),,21-24,,
2:47.0,F. Kaminsky misses free throw 1 of 2,,21-24,,
2:47.0,Offensive rebound by Team,,21-24,,
2:47.0,F. Kaminsky misses free throw 2 of 2,,21-24,,
2:44.0,,,21-24,,Defensive rebound by G. Antetokounmpo
2:29.0,,,21-24,,Turnover by T. Maker (bad pass; steal by K. Walker)
2:20.0,K. Walker makes 2-pt shot from 19 ft,2,23-24,,
2:00.0,,,23-24,,G. Antetokounmpo misses 2-pt shot from 7 ft
1:57.0,Defensive rebound by J. Lamb,,23-24,,
1:41.0,F. Kaminsky misses 3-pt shot from 23 ft,,23-24,,
1:37.0,Offensive rebound by M. Kidd-Gilchrist,,23-24,,
1:35.0,J. O'Bryant misses 2-pt shot from 15 ft,,23-24,,
1:33.0,,,23-24,,Defensive rebound by M. Brogdon
1:31.0,,,23-26,2,E. Bledsoe makes 2-pt shot at rim (assist by M. Brogdon)
1:12.0,K. Walker misses 3-pt shot from 28 ft,,23-26,,
1:09.0,,,23-26,,Defensive rebound by S. Brown
1:00.0,,,23-26,,M. Brogdon misses 2-pt shot from 6 ft
0:58.0,Defensive rebound by J. O'Bryant,,23-26,,
0:55.0,K. Walker misses 2-pt shot from 2 ft (block by M. Brogdon),,23-26,,
0:53.0,,,23-26,,Defensive rebound by Team
0:53.0,,,23-26,,M. Dellavedova enters the game for E. Bledsoe
0:53.0,M. Carter-Williams enters the game for K. Walker,,23-26,,
0:45.0,,,23-26,,M. Dellavedova misses 3-pt shot from 27 ft
0:45.0,Defensive rebound by M. Kidd-Gilchrist,,23-26,,
0:35.0,J. Lamb misses 2-pt shot from 9 ft,,23-26,,
0:32.0,,,23-26,,Defensive rebound by M. Brogdon
0:29.0,,,23-26,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:26.0,Defensive rebound by F. Kaminsky,,23-26,,
0:07.0,J. Lamb misses 2-pt shot from 4 ft,,23-26,,
0:04.0,,,23-26,,Defensive rebound by G. Antetokounmpo
0:00.0,,,23-26,,S. Brown misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
0:00.0,Defensive rebound by M. Kidd-Gilchrist,,23-26,,
0:00.0,M. Kidd-Gilchrist misses 3-pt shot from 83 ft,,23-26,,
0:00.0,Offensive rebound by Team,,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft,,23-26,,
11:40.0,,,23-26,,Defensive rebound by G. Antetokounmpo
11:23.0,,,23-26,,T. Maker misses 3-pt shot from 23 ft
11:23.0,,,23-26,,Offensive rebound by Team
11:23.0,Loose ball foul by M. Kidd-Gilchrist (drawn by G. Antetokounmpo),,23-26,,
11:23.0,M. Monk enters the game for M. Kidd-Gilchrist,,23-26,,
11:08.0,,,23-26,,T. Maker misses 2-pt shot from 12 ft
11:04.0,,,23-26,,Offensive rebound by G. Antetokounmpo
11:01.0,,,23-28,2,G. Antetokounmpo makes 2-pt shot from 3 ft
10:39.0,M. Carter-Williams misses 2-pt shot from 3 ft,,23-28,,
10:37.0,,,23-28,,Defensive rebound by D. Liggins
10:18.0,,,23-28,,Turnover by M. Brogdon (out of bounds lost ball)
9:55.0,F. Kaminsky makes 2-pt shot from 11 ft,2,25-28,,
9:44.0,,,25-30,2,T. Maker makes 2-pt shot at rim (assist by M. Dellavedova)
9:39.0,,,25-30,,Personal foul by D. Liggins (drawn by J. Lamb)
9:27.0,Turnover by J. Lamb (bad pass; steal by D. Liggins),,25-30,,
9:12.0,,,25-30,,M. Dellavedova misses 3-pt shot from 26 ft
9:09.0,Defensive rebound by M. Carter-Williams,,25-30,,
9:04.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by M. Carter-Williams),3,28-30,,
8:46.0,,,28-32,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon)
8:24.0,M. Carter-Williams makes 3-pt shot from 28 ft (assist by F. Kaminsky),2,31-32,,
8:09.0,,,31-32,,Shooting foul by M. Carter-Williams (drawn by G. Antetokounmpo)
8:09.0,,,31-33,1,G. Antetokounmpo makes free throw 1 of 2
8:09.0,,,31-34,1,G. Antetokounmpo makes free throw 2 of 2
7:47.0,F. Kaminsky misses 2-pt shot from 6 ft,,31-34,,
7:42.0,Offensive rebound by M. Williams,,31-34,,
7:42.0,M. Williams makes 2-pt shot at rim,2,33-34,,
7:24.0,,,33-36,2,T. Maker makes 2-pt shot from 15 ft (assist by M. Dellavedova)
7:12.0,,,33-36,,Personal foul by D. Liggins (drawn by J. Lamb)
7:12.0,,,33-36,,J. Henson enters the game for T. Maker
7:12.0,,,33-36,,K. Middleton enters the game for G. Antetokounmpo
7:12.0,N. Batum enters the game for M. Monk,,33-36,,
7:08.0,Shooting foul by D. Liggins (drawn by J. Lamb),,33-36,,
7:08.0,J. Lamb makes free throw 1 of 2,1,35-36,,
7:08.0,J. Lamb makes free throw 2 of 2,1,35-36,,
7:08.0,,,35-36,,T. Snell enters the game for D. Liggins
7:04.0,,,35-36,,M. Brogdon misses 2-pt shot from 1 ft (block by M. Carter-Williams)
7:04.0,Defensive rebound by Team,,35-36,,
6:54.0,Turnover by M. Carter-Williams (bad pass; steal by K. Middleton),,35-36,,
6:45.0,,,35-36,,M. Dellavedova misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by M. Williams,,35-36,,
6:29.0,Shooting foul by T. Snell (drawn by N. Batum),,35-36,,
6:29.0,,,35-36,,Milwaukee full timeout
6:29.0,M. Kidd-Gilchrist enters the game for M. Williams,,35-36,,
6:29.0,K. Walker enters the game for M. Carter-Williams,,35-36,,
6:29.0,N. Batum makes free throw 1 of 2,1,36-36,,
6:29.0,N. Batum makes free throw 2 of 2,1,37-36,,
6:19.0,,,37-38,2,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova)
6:01.0,N. Batum makes 2-pt shot from 19 ft,2,39-38,,
5:48.0,,,39-38,,K. Middleton misses 2-pt shot at rim
5:47.0,Defensive rebound by M. Kidd-Gilchrist,,39-38,,
5:41.0,K. Walker makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,42-38,,
5:24.0,,,42-38,,M. Brogdon misses 3-pt shot from 27 ft
5:21.0,Defensive rebound by N. Batum,,42-38,,
5:19.0,Turnover by N. Batum (bad pass; steal by M. Brogdon),,42-38,,
5:19.0,Personal take foul by F. Kaminsky (drawn by M. Brogdon),,42-38,,
5:19.0,,,42-38,,E. Bledsoe enters the game for M. Dellavedova
5:19.0,J. O'Bryant enters the game for F. Kaminsky,,42-38,,
5:14.0,,,42-40,2,E. Bledsoe makes 2-pt shot at rim (assist by M. Brogdon)
5:14.0,,,42-40,,Shooting foul by K. Walker (drawn by E. Bledsoe)
5:14.0,,,42-41,1,E. Bledsoe makes free throw 1 of 1
4:57.0,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by N. Batum),2,44-41,,
4:41.0,,,44-41,,K. Middleton misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by J. Lamb,,44-41,,
4:34.0,K. Walker makes 3-pt shot from 26 ft (assist by J. Lamb),3,47-41,,
4:18.0,,,47-41,,Turnover by E. Bledsoe (bad pass; steal by J. Lamb)
4:15.0,Turnover by J. Lamb (bad pass),,47-41,,
4:15.0,,,47-41,,G. Antetokounmpo enters the game for M. Brogdon
3:55.0,,,47-41,,K. Middleton misses 2-pt shot from 16 ft (block by K. Walker)
3:55.0,Defensive rebound by K. Walker,,47-41,,
3:55.0,,,47-41,,Personal foul by K. Middleton (drawn by K. Walker)
3:55.0,K. Walker makes free throw 1 of 2,1,48-41,,
3:55.0,K. Walker makes free throw 2 of 2,1,49-41,,
3:55.0,M. Williams enters the game for J. Lamb,,49-41,,
3:31.0,,,49-41,,T. Snell misses 2-pt shot from 2 ft
3:24.0,,,49-41,,Offensive rebound by J. Henson
3:24.0,,,49-43,2,J. Henson makes 2-pt shot at rim
3:14.0,M. Williams makes 2-pt shot from 11 ft (assist by M. Kidd-Gilchrist),2,51-43,,
3:04.0,,,51-43,,G. Antetokounmpo misses 2-pt shot from 5 ft
3:02.0,Defensive rebound by K. Walker,,51-43,,
2:56.0,K. Walker makes 2-pt shot from 1 ft,2,53-43,,
2:44.0,Personal foul by K. Walker (drawn by E. Bledsoe),,53-43,,
2:44.0,Charlotte full timeout,,53-43,,
2:44.0,,,53-44,1,E. Bledsoe makes free throw 1 of 2
2:44.0,,,53-45,1,E. Bledsoe makes free throw 2 of 2
2:28.0,K. Walker misses 3-pt shot from 26 ft,,53-45,,
2:24.0,Offensive rebound by J. O'Bryant,,53-45,,
2:16.0,Shooting foul by J. Henson (drawn by M. Williams),,53-45,,
2:16.0,M. Williams makes free throw 1 of 2,1,54-45,,
2:16.0,M. Williams makes free throw 2 of 2,1,55-45,,
2:16.0,M. Carter-Williams enters the game for K. Walker,,55-45,,
2:03.0,,,55-47,2,K. Middleton makes 2-pt shot from 16 ft (assist by G. Antetokounmpo)
1:42.0,M. Williams misses 2-pt shot from 4 ft,,55-47,,
1:39.0,Offensive rebound by J. O'Bryant,,55-47,,
1:25.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by N. Batum),2,57-47,,
1:08.0,,,57-47,,Shooting foul by N. Batum (drawn by J. Henson)
1:08.0,,,57-48,1,J. Henson makes free throw 1 of 2
1:08.0,,,57-49,1,J. Henson makes free throw 2 of 2
0:47.0,M. Kidd-Gilchrist misses 2-pt shot from 11 ft,,57-49,,
0:44.0,,,57-49,,Defensive rebound by J. Henson
0:35.0,,,57-49,,T. Snell misses 3-pt shot from 24 ft
0:33.0,,,57-49,,Offensive rebound by J. Henson
0:28.0,,,57-49,,E. Bledsoe misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by M. Williams,,57-49,,
0:07.0,M. Williams makes 2-pt shot from 2 ft (assist by J. O'Bryant),2,59-49,,
0:01.0,,,59-51,2,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe)
0:01.0,,,59-51,,Shooting foul by M. Kidd-Gilchrist (drawn by G. Antetokounmpo)
0:01.0,,,59-52,1,G. Antetokounmpo makes free throw 1 of 1
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,F. Kaminsky misses 2-pt shot from 12 ft,,59-52,,
11:36.0,,,59-52,,Defensive rebound by T. Snell
11:16.0,,,59-52,,G. Antetokounmpo misses 3-pt shot from 23 ft
11:13.0,Defensive rebound by M. Williams,,59-52,,
11:08.0,Shooting foul by E. Bledsoe (drawn by M. Williams),,59-52,,
11:08.0,M. Williams makes free throw 1 of 2,1,60-52,,
11:08.0,M. Williams makes free throw 2 of 2,1,61-52,,
10:49.0,,,61-55,3,K. Middleton makes 3-pt shot from 26 ft (assist by E. Bledsoe)
10:35.0,N. Batum misses 3-pt shot from 27 ft,,61-55,,
10:32.0,,,61-55,,Defensive rebound by E. Bledsoe
10:25.0,,,61-55,,E. Bledsoe misses 3-pt shot from 25 ft
10:22.0,,,61-55,,Offensive rebound by J. Henson
10:15.0,,,61-55,,G. Antetokounmpo misses 2-pt shot from 2 ft
10:13.0,Defensive rebound by M. Williams,,61-55,,
10:01.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,61-55,,
9:57.0,,,61-55,,Defensive rebound by J. Henson
9:45.0,,,61-57,2,J. Henson makes 2-pt shot from 2 ft (assist by E. Bledsoe)
9:19.0,K. Walker misses 3-pt shot from 26 ft,,61-57,,
9:16.0,,,61-57,,Defensive rebound by K. Middleton
9:01.0,,,61-59,2,K. Middleton makes 2-pt shot from 12 ft (assist by G. Antetokounmpo)
8:45.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker),3,64-59,,
8:26.0,,,64-59,,Turnover by E. Bledsoe (bad pass; steal by M. Williams)
8:17.0,M. Williams makes 3-pt shot from 27 ft (assist by K. Walker),3,67-59,,
8:15.0,,,67-59,,Milwaukee full timeout
8:06.0,,,67-61,2,E. Bledsoe makes 2-pt shot from 15 ft
7:40.0,N. Batum makes 2-pt shot from 10 ft,2,69-61,,
7:30.0,,,69-61,,G. Antetokounmpo misses 2-pt shot at rim
7:27.0,Defensive rebound by F. Kaminsky,,69-61,,
7:13.0,F. Kaminsky makes 2-pt shot from 14 ft,2,71-61,,
7:02.0,,,71-61,,T. Snell misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by K. Walker,,71-61,,
6:46.0,M. Kidd-Gilchrist misses 2-pt shot from 12 ft,,71-61,,
6:46.0,Offensive rebound by Team,,71-61,,
6:46.0,,,71-61,,Personal foul by E. Bledsoe (drawn by F. Kaminsky)
6:40.0,,,71-61,,Personal foul by G. Antetokounmpo (drawn by M. Williams)
6:32.0,K. Walker makes 2-pt shot at rim,2,73-61,,
6:13.0,,,73-64,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
5:50.0,Shooting foul by G. Antetokounmpo (drawn by F. Kaminsky),,73-64,,
5:50.0,F. Kaminsky makes free throw 1 of 2,1,74-64,,
5:50.0,F. Kaminsky makes free throw 2 of 2,1,75-64,,
5:50.0,,,75-64,,S. Kilpatrick enters the game for J. Henson
5:50.0,J. Lamb enters the game for M. Kidd-Gilchrist,,75-64,,
5:35.0,,,75-67,3,S. Kilpatrick makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
5:13.0,K. Walker misses 3-pt shot from 26 ft,,75-67,,
5:11.0,,,75-67,,Defensive rebound by G. Antetokounmpo
5:07.0,,,75-67,,E. Bledsoe misses 2-pt shot from 5 ft (block by M. Williams)
5:07.0,,,75-67,,Offensive rebound by Team
5:07.0,,,75-67,,M. Brogdon enters the game for T. Snell
5:03.0,,,75-70,3,M. Brogdon makes 3-pt shot from 24 ft (assist by E. Bledsoe)
4:42.0,J. Lamb misses 2-pt shot from 3 ft,,75-70,,
4:41.0,,,75-70,,Defensive rebound by S. Kilpatrick
4:33.0,,,75-72,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:32.0,Charlotte full timeout,,75-72,,
4:19.0,M. Williams misses 3-pt shot from 30 ft,,75-72,,
4:16.0,,,75-72,,Defensive rebound by M. Brogdon
4:05.0,,,75-74,2,M. Brogdon makes 2-pt shot from 14 ft
3:47.0,K. Walker misses 3-pt shot from 26 ft (block by E. Bledsoe),,75-74,,
3:43.0,,,75-74,,Defensive rebound by M. Brogdon
3:38.0,,,75-74,,E. Bledsoe misses 2-pt shot from 2 ft
3:36.0,Defensive rebound by J. Lamb,,75-74,,
3:24.0,F. Kaminsky misses 3-pt shot from 26 ft,,75-74,,
3:21.0,,,75-74,,Defensive rebound by S. Kilpatrick
3:16.0,,,75-76,2,K. Middleton makes 2-pt shot from 1 ft (assist by S. Kilpatrick)
2:57.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum),2,77-76,,
2:36.0,,,77-76,,K. Middleton misses 3-pt shot from 27 ft
2:33.0,Defensive rebound by F. Kaminsky,,77-76,,
2:21.0,K. Walker misses 2-pt shot from 20 ft,,77-76,,
2:16.0,,,77-76,,Defensive rebound by G. Antetokounmpo
2:06.0,,,77-76,,Shooting foul by F. Kaminsky (drawn by G. Antetokounmpo)
2:06.0,,,77-76,,G. Antetokounmpo misses free throw 1 of 2
2:06.0,,,77-76,,Offensive rebound by Team
2:06.0,,,77-77,1,G. Antetokounmpo makes free throw 2 of 2
2:06.0,M. Carter-Williams enters the game for N. Batum,,77-77,,
2:06.0,,,77-77,,M. Dellavedova enters the game for K. Middleton
1:52.0,,,77-77,,Personal foul by M. Brogdon (drawn by M. Williams)
1:52.0,M. Williams makes free throw 1 of 2,1,78-77,,
1:52.0,M. Williams makes free throw 2 of 2,1,79-77,,
1:42.0,,,79-77,,Shooting foul by M. Carter-Williams (drawn by E. Bledsoe)
1:42.0,,,79-77,,E. Bledsoe misses free throw 1 of 2
1:42.0,,,79-77,,Offensive rebound by Team
1:42.0,,,79-78,1,E. Bledsoe makes free throw 2 of 2
1:42.0,M. Kidd-Gilchrist enters the game for M. Williams,,79-78,,
1:25.0,F. Kaminsky misses 2-pt shot from 6 ft,,79-78,,
1:23.0,,,79-78,,Defensive rebound by S. Kilpatrick
1:20.0,,,79-81,3,M. Brogdon makes 3-pt shot from 27 ft (assist by S. Kilpatrick)
0:52.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by E. Bledsoe),,79-81,,
0:50.0,Offensive rebound by F. Kaminsky,,79-81,,
0:50.0,K. Walker makes 3-pt shot from 27 ft (assist by F. Kaminsky),3,82-81,,
0:38.0,,,82-83,2,S. Kilpatrick makes 2-pt shot from 12 ft (assist by E. Bledsoe)
0:18.0,K. Walker makes 3-pt shot from 26 ft,3,85-83,,
0:01.0,,,85-83,,Turnover by E. Bledsoe (bad pass; steal by K. Walker)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,85-83,,K. Middleton misses 2-pt shot from 13 ft
11:38.0,Defensive rebound by M. Kidd-Gilchrist,,85-83,,
11:26.0,F. Kaminsky misses 2-pt shot from 5 ft,,85-83,,
11:24.0,,,85-83,,Defensive rebound by M. Brogdon
11:21.0,,,85-83,,M. Brogdon misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
11:21.0,,,85-83,,Offensive rebound by Team
11:21.0,J. O'Bryant enters the game for K. Walker,,85-83,,
11:21.0,M. Monk enters the game for F. Kaminsky,,85-83,,
11:18.0,,,85-83,,M. Brogdon misses 2-pt shot from 11 ft
11:17.0,Defensive rebound by M. Kidd-Gilchrist,,85-83,,
11:07.0,J. Lamb makes 3-pt shot from 27 ft,3,88-83,,
10:51.0,,,88-85,2,K. Middleton makes 2-pt shot from 6 ft
10:38.0,M. Carter-Williams misses 2-pt shot from 20 ft,,88-85,,
10:34.0,,,88-85,,Defensive rebound by D. Liggins
10:18.0,,,88-85,,K. Middleton misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by M. Carter-Williams,,88-85,,
10:05.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft,,88-85,,
10:03.0,,,88-85,,Defensive rebound by D. Liggins
9:52.0,,,88-87,2,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova)
9:30.0,M. Carter-Williams misses 2-pt shot from 3 ft,,88-87,,
9:27.0,Offensive rebound by J. O'Bryant,,88-87,,
9:26.0,J. O'Bryant misses 2-pt shot from 2 ft (block by K. Middleton),,88-87,,
9:26.0,,,88-87,,Defensive rebound by M. Brogdon
9:25.0,Personal foul by M. Carter-Williams (drawn by M. Brogdon),,88-87,,
9:07.0,,,88-87,,S. Kilpatrick misses 3-pt shot from 22 ft
9:04.0,Defensive rebound by M. Carter-Williams,,88-87,,
8:48.0,J. Lamb misses 3-pt shot from 27 ft,,88-87,,
8:45.0,,,88-87,,Defensive rebound by D. Liggins
8:45.0,,,88-87,,Milwaukee full timeout
8:31.0,,,88-87,,M. Brogdon misses 2-pt shot from 5 ft (block by M. Carter-Williams)
8:28.0,Defensive rebound by J. O'Bryant,,88-87,,
8:15.0,J. O'Bryant makes 3-pt shot from 26 ft (assist by M. Carter-Williams),3,91-87,,
7:49.0,,,91-87,,K. Middleton misses 2-pt shot from 13 ft
7:47.0,Defensive rebound by M. Carter-Williams,,91-87,,
7:31.0,J. Lamb makes 2-pt shot from 19 ft (assist by M. Kidd-Gilchrist),2,93-87,,
7:28.0,,,93-87,,Milwaukee full timeout
7:28.0,,,93-87,,G. Antetokounmpo enters the game for M. Dellavedova
7:28.0,,,93-87,,T. Maker enters the game for S. Kilpatrick
7:28.0,,,93-87,,E. Bledsoe enters the game for D. Liggins
7:10.0,,,93-89,2,K. Middleton makes 2-pt shot from 19 ft (assist by E. Bledsoe)
6:48.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,93-89,,
6:45.0,,,93-89,,Defensive rebound by E. Bledsoe
6:31.0,,,93-89,,G. Antetokounmpo misses 2-pt shot from 5 ft
6:31.0,Defensive rebound by J. O'Bryant,,93-89,,
6:14.0,M. Carter-Williams misses 3-pt shot from 28 ft,,93-89,,
6:10.0,,,93-89,,Defensive rebound by T. Maker
6:02.0,,,93-92,3,K. Middleton makes 3-pt shot from 23 ft (assist by E. Bledsoe)
5:51.0,J. Lamb makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,95-92,,
5:37.0,,,95-94,2,E. Bledsoe makes 2-pt shot from 2 ft
5:37.0,,,95-94,,Shooting foul by J. Lamb (drawn by E. Bledsoe)
5:37.0,M. Williams enters the game for M. Monk,,95-94,,
5:37.0,N. Batum enters the game for J. O'Bryant,,95-94,,
5:37.0,K. Walker enters the game for M. Carter-Williams,,95-94,,
5:37.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,95-94,,
5:37.0,,,95-95,1,E. Bledsoe makes free throw 1 of 1
5:16.0,Turnover by K. Walker (bad pass),,95-95,,
4:50.0,,,95-95,,E. Bledsoe misses 3-pt shot from 27 ft
4:46.0,Defensive rebound by J. Lamb,,95-95,,
4:43.0,K. Walker makes 2-pt shot from 1 ft,2,97-95,,
4:43.0,Shooting foul by M. Brogdon (drawn by K. Walker),,97-95,,
4:43.0,K. Walker misses free throw 1 of 1,,97-95,,
4:38.0,,,97-95,,Defensive rebound by T. Maker
4:20.0,,,97-95,,Shooting foul by N. Batum (drawn by M. Brogdon)
4:20.0,,,97-96,1,M. Brogdon makes free throw 1 of 2
4:20.0,,,97-97,1,M. Brogdon makes free throw 2 of 2
3:54.0,N. Batum makes 3-pt shot from 27 ft,3,100-97,,
3:45.0,Personal foul by M. Williams (drawn by G. Antetokounmpo),,100-97,,
