time,Boston,pts.away,score,pts.home,LA Clippers
8:30.0,,,33-32,2,M. Harrell makes 2-pt shot from 4 ft
8:10.0,T. Rozier makes 2-pt shot from 5 ft,2,35-32,,
8:06.0,,,35-32,,Shooting foul by J. Tatum (drawn by S. Dekker)
8:06.0,,,35-33,1,S. Dekker makes free throw 1 of 2
8:06.0,,,35-34,1,S. Dekker makes free throw 2 of 2
7:54.0,,,35-34,,Personal foul by M. Harrell (drawn by D. Theis)
7:40.0,J. Tatum misses 2-pt shot from 18 ft,,35-34,,
7:37.0,,,35-34,,Defensive rebound by S. Dekker
7:31.0,,,35-34,,S. Dekker misses 2-pt shot from 2 ft
7:28.0,,,35-34,,Offensive rebound by M. Harrell
7:28.0,,,35-34,,M. Harrell misses 2-pt shot at rim
7:28.0,Defensive rebound by T. Rozier,,35-34,,
7:28.0,Shooting foul by S. Thornwell (drawn by T. Rozier),,35-34,,
7:28.0,T. Rozier makes free throw 1 of 2,1,36-34,,
7:28.0,M. Morris enters the game for J. Tatum,,36-34,,
7:28.0,,,36-34,,D. Jordan enters the game for M. Harrell
7:28.0,,,36-34,,B. Griffin enters the game for S. Dekker
7:28.0,T. Rozier makes free throw 2 of 2,1,37-34,,
7:16.0,,,37-34,,L. Williams misses 2-pt shot from 19 ft
7:13.0,Defensive rebound by D. Theis,,37-34,,
7:03.0,T. Rozier makes 2-pt shot from 1 ft,2,39-34,,
7:03.0,,,39-34,,LA Clippers full timeout
7:03.0,,,39-34,,W. Johnson enters the game for S. Thornwell
6:54.0,Personal foul by D. Theis (drawn by B. Griffin),,39-34,,
6:44.0,,,39-34,,B. Griffin misses 2-pt shot from 4 ft (block by D. Theis)
6:40.0,Defensive rebound by D. Theis,,39-34,,
6:29.0,S. Larkin misses 2-pt shot from 13 ft,,39-34,,
6:27.0,,,39-34,,Defensive rebound by B. Griffin
6:17.0,Personal foul by A. Nader (drawn by L. Williams),,39-34,,
6:17.0,,,39-35,1,L. Williams makes free throw 1 of 2
6:17.0,,,39-35,,T. Wallace enters the game for M. Teodosic
6:17.0,K. Irving enters the game for T. Rozier,,39-35,,
6:17.0,,,39-35,,L. Williams misses free throw 2 of 2
6:15.0,Defensive rebound by D. Theis,,39-35,,
6:08.0,M. Morris makes 3-pt shot from 25 ft (assist by S. Larkin),3,42-35,,
5:56.0,,,42-35,,Turnover by T. Wallace (bad pass; steal by M. Morris)
5:51.0,A. Nader makes 3-pt shot from 26 ft (assist by K. Irving),3,45-35,,
5:49.0,,,45-35,,LA Clippers full timeout
5:39.0,Personal foul by D. Theis (drawn by B. Griffin),,45-35,,
5:39.0,,,45-35,,B. Griffin misses free throw 1 of 2
5:39.0,,,45-35,,Offensive rebound by Team
5:39.0,,,45-36,1,B. Griffin makes free throw 2 of 2
5:20.0,Shooting foul by D. Jordan (drawn by M. Morris),,45-36,,
5:20.0,M. Morris makes free throw 1 of 2,1,46-36,,
5:20.0,A. Baynes enters the game for D. Theis,,46-36,,
5:20.0,M. Morris makes free throw 2 of 2,1,47-36,,
5:10.0,,,47-38,2,L. Williams makes 2-pt shot from 1 ft
5:00.0,K. Irving misses 2-pt shot from 5 ft,,47-38,,
5:00.0,,,47-38,,Defensive rebound by Team
5:00.0,Personal foul by A. Baynes (drawn by D. Jordan),,47-38,,
5:00.0,,,47-38,,D. Jordan misses free throw 1 of 2
5:00.0,,,47-38,,Offensive rebound by Team
5:00.0,J. Brown enters the game for A. Nader,,47-38,,
5:00.0,,,47-39,1,D. Jordan makes free throw 2 of 2
4:46.0,M. Morris misses 3-pt shot from 26 ft,,47-39,,
4:44.0,,,47-39,,Defensive rebound by D. Jordan
4:41.0,,,47-41,2,B. Griffin makes 2-pt shot from 1 ft (assist by L. Williams)
4:22.0,M. Morris makes 2-pt shot from 20 ft (assist by K. Irving),2,49-41,,
4:17.0,Personal take foul by J. Brown (drawn by D. Jordan),,49-41,,
4:17.0,,,49-41,,D. Jordan misses free throw 1 of 2
4:17.0,,,49-41,,Offensive rebound by Team
4:17.0,,,49-41,,D. Jordan misses free throw 2 of 2
4:16.0,,,49-41,,Offensive rebound by Team
4:16.0,Loose ball foul by A. Baynes (drawn by B. Griffin),,49-41,,
4:16.0,,,49-42,1,B. Griffin makes free throw 1 of 2
4:16.0,,,49-43,1,B. Griffin makes free throw 2 of 2
4:01.0,Offensive foul by A. Baynes (drawn by D. Jordan),,49-43,,
4:01.0,Turnover by A. Baynes (offensive foul),,49-43,,
3:42.0,,,49-43,,B. Griffin misses 3-pt shot from 25 ft
3:39.0,,,49-43,,Offensive rebound by D. Jordan
3:39.0,Personal foul by M. Morris (drawn by D. Jordan),,49-43,,
3:39.0,,,49-44,1,L. Williams makes technical free throw
3:39.0,,,49-45,1,D. Jordan makes free throw 1 of 2
3:39.0,J. Tatum enters the game for S. Larkin,,49-45,,
3:39.0,,,49-46,1,D. Jordan makes free throw 2 of 2
3:29.0,Shooting foul by T. Wallace (drawn by K. Irving),,49-46,,
3:29.0,K. Irving makes free throw 1 of 3,1,50-46,,
3:29.0,K. Irving makes free throw 2 of 3,1,51-46,,
3:29.0,K. Irving makes free throw 3 of 3,1,52-46,,
3:20.0,,,52-48,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams)
3:08.0,Turnover by J. Tatum (bad pass; steal by W. Johnson),,52-48,,
3:05.0,,,52-48,,Turnover by B. Griffin (bad pass)
3:05.0,Boston full timeout,,52-48,,
2:47.0,J. Brown misses 3-pt shot from 24 ft,,52-48,,
2:43.0,,,52-48,,Defensive rebound by B. Griffin
2:41.0,Shooting block foul by M. Morris (drawn by L. Williams),,52-48,,
2:41.0,,,52-49,1,L. Williams makes free throw 1 of 2
2:41.0,,,52-49,,L. Williams misses free throw 2 of 2
2:38.0,Defensive rebound by A. Baynes,,52-49,,
2:26.0,J. Tatum makes 2-pt shot from 1 ft (assist by J. Brown),2,54-49,,
2:11.0,,,54-51,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams)
1:49.0,M. Morris makes 2-pt shot from 10 ft,2,56-51,,
1:40.0,,,56-51,,L. Williams misses 3-pt shot from 28 ft
1:38.0,Defensive rebound by J. Tatum,,56-51,,
1:28.0,M. Morris misses 3-pt shot from 22 ft,,56-51,,
1:25.0,Offensive rebound by J. Tatum,,56-51,,
1:23.0,J. Tatum misses 2-pt shot from 1 ft,,56-51,,
1:20.0,,,56-51,,Defensive rebound by D. Jordan
1:18.0,,,56-53,2,B. Griffin makes 2-pt shot from 1 ft (assist by D. Jordan)
1:00.0,K. Irving makes 3-pt shot from 25 ft,3,59-53,,
0:41.0,,,59-53,,L. Williams misses 3-pt shot from 26 ft
0:39.0,Defensive rebound by J. Tatum,,59-53,,
0:30.0,J. Tatum makes 3-pt shot from 25 ft (assist by K. Irving),3,62-53,,
0:11.0,,,62-55,2,L. Williams makes 2-pt shot from 19 ft
0:01.0,K. Irving misses 3-pt shot from 25 ft,,62-55,,
0:01.0,Offensive rebound by Team,,62-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Tatum makes 2-pt shot from 1 ft (assist by J. Brown),2,64-55,,
11:35.0,,,64-55,,B. Griffin misses 2-pt shot from 14 ft
11:29.0,Defensive rebound by K. Irving,,64-55,,
11:20.0,A. Baynes makes 2-pt shot from 5 ft (assist by M. Morris),2,66-55,,
11:05.0,,,66-55,,T. Wallace misses 2-pt shot from 5 ft
11:02.0,Defensive rebound by K. Irving,,66-55,,
10:54.0,J. Brown misses 2-pt shot from 8 ft,,66-55,,
10:53.0,,,66-55,,Defensive rebound by Team
10:37.0,,,66-55,,B. Griffin misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by J. Tatum,,66-55,,
10:18.0,J. Tatum misses 2-pt shot from 17 ft,,66-55,,
10:17.0,Offensive rebound by A. Baynes,,66-55,,
10:17.0,A. Baynes makes 2-pt shot at rim,2,68-55,,
10:17.0,,,68-55,,LA Clippers full timeout
9:57.0,,,68-55,,Shooting foul by A. Baynes (drawn by B. Griffin)
9:57.0,,,68-56,1,B. Griffin makes free throw 1 of 2
9:57.0,,,68-57,1,B. Griffin makes free throw 2 of 2
9:36.0,J. Brown misses 3-pt shot from 25 ft,,68-57,,
9:32.0,Offensive rebound by M. Morris,,68-57,,
9:31.0,K. Irving misses 3-pt shot from 26 ft,,68-57,,
9:31.0,,,68-57,,Defensive rebound by Team
9:11.0,,,68-57,,B. Griffin misses 2-pt shot from 15 ft
9:09.0,Defensive rebound by J. Brown,,68-57,,
9:02.0,Turnover by J. Brown (bad pass),,68-57,,
8:53.0,,,68-57,,Turnover by M. Teodosic (traveling)
8:34.0,J. Tatum makes 2-pt shot from 16 ft,2,70-57,,
8:20.0,,,70-60,3,B. Griffin makes 3-pt shot from 25 ft (assist by M. Teodosic)
8:03.0,K. Irving misses 3-pt shot from 27 ft,,70-60,,
8:03.0,,,70-60,,Defensive rebound by Team
8:03.0,Loose ball foul by A. Baynes (drawn by W. Johnson),,70-60,,
8:03.0,,,70-60,,L. Williams enters the game for M. Teodosic
8:03.0,D. Theis enters the game for A. Baynes,,70-60,,
7:47.0,,,70-62,2,B. Griffin makes 2-pt shot from 1 ft (assist by W. Johnson)
7:30.0,J. Tatum misses 2-pt shot from 18 ft,,70-62,,
7:26.0,,,70-62,,Defensive rebound by D. Jordan
7:22.0,,,70-64,2,T. Wallace makes 2-pt shot from 2 ft (assist by L. Williams)
7:09.0,M. Morris misses 3-pt shot from 26 ft,,70-64,,
7:06.0,,,70-64,,Defensive rebound by D. Jordan
7:00.0,,,70-64,,B. Griffin misses 3-pt shot from 26 ft
6:57.0,Defensive rebound by K. Irving,,70-64,,
6:51.0,Turnover by M. Morris (bad pass; steal by W. Johnson),,70-64,,
6:47.0,,,70-66,2,T. Wallace makes 2-pt shot from 1 ft (assist by W. Johnson)
6:33.0,K. Irving makes 2-pt shot from 15 ft,2,72-66,,
6:12.0,,,72-69,3,T. Wallace makes 3-pt shot from 23 ft (assist by W. Johnson)
5:55.0,D. Theis misses 3-pt shot from 26 ft,,72-69,,
5:53.0,,,72-69,,Defensive rebound by W. Johnson
5:48.0,,,72-69,,Turnover by D. Jordan (bad pass)
5:34.0,J. Brown misses 2-pt shot from 3 ft (block by L. Williams),,72-69,,
5:34.0,Offensive rebound by J. Brown,,72-69,,
5:34.0,,,72-69,,Personal foul by L. Williams (drawn by J. Brown)
5:34.0,T. Rozier enters the game for J. Tatum,,72-69,,
5:24.0,M. Morris misses 2-pt shot from 20 ft,,72-69,,
5:20.0,,,72-69,,Defensive rebound by B. Griffin
5:18.0,,,72-69,,T. Wallace misses 2-pt shot from 1 ft
5:18.0,,,72-69,,Offensive rebound by Team
5:18.0,S. Ojeleye enters the game for M. Morris,,72-69,,
5:12.0,,,72-69,,Turnover by L. Williams (bad pass; steal by J. Brown)
5:10.0,,,72-69,,Personal foul by L. Williams (drawn by D. Theis)
5:02.0,K. Irving misses 2-pt shot from 15 ft,,72-69,,
5:00.0,Offensive rebound by D. Theis,,72-69,,
5:00.0,D. Theis misses 2-pt shot at rim,,72-69,,
5:00.0,,,72-69,,Defensive rebound by Team
4:53.0,,,72-69,,L. Williams misses 2-pt shot from 10 ft
4:49.0,Defensive rebound by K. Irving,,72-69,,
4:46.0,K. Irving makes 2-pt shot from 9 ft,2,74-69,,
4:41.0,Personal foul by J. Brown (drawn by L. Williams),,74-69,,
4:30.0,,,74-71,2,T. Wallace makes 2-pt shot from 1 ft (assist by B. Griffin)
4:13.0,J. Brown makes 2-pt shot from 1 ft (assist by K. Irving),2,76-71,,
4:01.0,,,76-71,,L. Williams misses 2-pt shot from 20 ft
3:54.0,,,76-71,,Offensive rebound by D. Jordan
3:54.0,,,76-71,,D. Jordan misses 2-pt shot at rim
3:53.0,Defensive rebound by J. Brown,,76-71,,
3:52.0,J. Brown misses 2-pt shot from 1 ft (block by W. Johnson),,76-71,,
3:49.0,Jump ball: W. Johnson vs. J. Brown (D. Theis gains possession),,,,Jump ball: W. Johnson vs. J. Brown (D. Theis gains possession)
3:49.0,Defensive rebound by Team,,76-71,,
3:44.0,T. Rozier makes 2-pt shot from 17 ft,2,78-71,,
3:34.0,,,78-71,,L. Williams misses 3-pt shot from 23 ft
3:31.0,Defensive rebound by K. Irving,,78-71,,
3:25.0,T. Rozier misses 3-pt shot from 25 ft,,78-71,,
3:20.0,,,78-71,,Defensive rebound by D. Jordan
3:18.0,,,78-71,,Shooting foul by D. Theis (drawn by L. Williams)
3:18.0,,,78-72,1,L. Williams makes free throw 1 of 2
3:18.0,,,78-72,,S. Thornwell enters the game for D. Jordan
3:18.0,,,78-72,,M. Harrell enters the game for W. Johnson
3:18.0,S. Larkin enters the game for K. Irving,,78-72,,
3:18.0,,,78-73,1,L. Williams makes free throw 2 of 2
3:01.0,J. Brown misses 3-pt shot from 25 ft,,78-73,,
2:57.0,Offensive rebound by T. Rozier,,78-73,,
2:55.0,S. Ojeleye makes 3-pt shot from 24 ft (assist by S. Larkin),3,81-73,,
2:39.0,,,81-73,,L. Williams misses 2-pt shot at rim
2:35.0,Defensive rebound by D. Theis,,81-73,,
2:33.0,Shooting foul by S. Thornwell (drawn by J. Brown),,81-73,,
2:33.0,Boston full timeout,,81-73,,
2:33.0,J. Brown misses free throw 1 of 2,,81-73,,
2:33.0,Offensive rebound by Team,,81-73,,
2:33.0,J. Brown makes free throw 2 of 2,1,82-73,,
2:22.0,,,82-73,,Turnover by M. Harrell (bad pass; steal by S. Ojeleye)
2:16.0,Turnover by S. Larkin (lost ball; steal by L. Williams),,82-73,,
2:11.0,,,82-73,,Turnover by L. Williams (bad pass; steal by T. Rozier)
1:58.0,Shooting foul by M. Harrell (drawn by D. Theis),,82-73,,
1:58.0,D. Theis makes free throw 1 of 2,1,83-73,,
1:58.0,,,83-73,,M. Teodosic enters the game for T. Wallace
1:58.0,,,83-73,,S. Dekker enters the game for B. Griffin
1:58.0,D. Theis makes free throw 2 of 2,1,84-73,,
1:47.0,,,84-73,,M. Teodosic misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by D. Theis,,84-73,,
1:34.0,,,84-73,,Personal foul by M. Teodosic (drawn by T. Rozier)
1:34.0,T. Rozier makes free throw 1 of 2,1,85-73,,
1:34.0,T. Rozier makes free throw 2 of 2,1,86-73,,
1:12.0,,,86-73,,M. Teodosic misses 3-pt shot from 25 ft (block by S. Larkin)
1:08.0,Defensive rebound by J. Brown,,86-73,,
1:06.0,Turnover by J. Brown (turnover),,86-73,,
1:06.0,Loose ball foul by J. Brown (drawn by S. Thornwell),,86-73,,
1:06.0,,,86-74,1,S. Thornwell makes free throw 1 of 2
1:06.0,,,86-75,1,S. Thornwell makes free throw 2 of 2
0:42.0,S. Larkin misses 3-pt shot from 25 ft,,86-75,,
0:39.0,Offensive rebound by Team,,86-75,,
0:39.0,,,86-75,,Loose ball foul by M. Harrell (drawn by J. Brown)
0:39.0,J. Brown makes free throw 1 of 2,1,87-75,,
0:39.0,J. Tatum enters the game for D. Theis,,87-75,,
0:39.0,J. Brown makes free throw 2 of 2,1,88-75,,
0:30.0,Personal foul by J. Brown (drawn by L. Williams),,88-75,,
0:30.0,,,88-76,1,L. Williams makes free throw 1 of 2
0:30.0,D. Theis enters the game for J. Brown,,88-76,,
0:30.0,,,88-77,1,L. Williams makes free throw 2 of 2
0:13.0,T. Rozier makes 3-pt shot from 25 ft (assist by S. Larkin),3,91-77,,
0:07.0,,,91-77,,L. Williams misses 3-pt shot from 27 ft
0:04.0,,,91-77,,Offensive rebound by M. Harrell
0:03.0,,,91-77,,Turnover by M. Harrell (bad pass; steal by J. Tatum)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,91-80,3,L. Williams makes 3-pt shot from 25 ft (assist by M. Teodosic)
11:18.0,S. Ojeleye makes 2-pt shot from 3 ft,2,93-80,,
11:13.0,,,93-80,,Turnover by L. Williams (traveling)
10:58.0,S. Larkin misses 3-pt shot from 26 ft,,93-80,,
10:58.0,,,93-80,,Defensive rebound by Team
10:41.0,,,93-82,2,L. Williams makes 2-pt shot from 18 ft (assist by M. Harrell)
10:19.0,S. Ojeleye makes 3-pt shot from 25 ft (assist by S. Larkin),3,96-82,,
9:57.0,,,96-82,,L. Williams misses 2-pt shot from 10 ft
9:55.0,Defensive rebound by D. Theis,,96-82,,
9:47.0,T. Rozier misses 2-pt shot from 3 ft,,96-82,,
9:47.0,,,96-82,,Defensive rebound by Team
9:27.0,,,96-84,2,S. Dekker makes 2-pt shot from 2 ft (assist by M. Teodosic)
9:08.0,D. Theis makes 3-pt shot from 25 ft (assist by T. Rozier),3,99-84,,
8:56.0,,,99-84,,M. Teodosic misses 2-pt shot from 1 ft
8:54.0,Defensive rebound by D. Theis,,99-84,,
8:49.0,Shooting foul by M. Harrell (drawn by J. Tatum),,99-84,,
8:49.0,J. Tatum makes free throw 1 of 2,1,100-84,,
8:49.0,,,100-84,,B. Griffin enters the game for M. Teodosic
8:49.0,,,100-84,,T. Wallace enters the game for S. Dekker
8:49.0,J. Tatum makes free throw 2 of 2,1,101-84,,
8:31.0,,,101-84,,Turnover by S. Thornwell (traveling)
8:11.0,J. Tatum misses 2-pt shot from 19 ft,,101-84,,
8:09.0,,,101-84,,Defensive rebound by T. Wallace
8:07.0,Shooting block foul by S. Larkin (drawn by T. Wallace),,101-84,,
8:07.0,,,101-84,,T. Wallace misses free throw 1 of 2
8:07.0,,,101-84,,Offensive rebound by Team
8:07.0,,,101-84,,W. Johnson enters the game for S. Thornwell
8:07.0,,,101-84,,T. Wallace misses free throw 2 of 2
8:04.0,Defensive rebound by S. Ojeleye,,101-84,,
7:40.0,Turnover by S. Larkin (lost ball; steal by B. Griffin),,101-84,,
