time,Golden State,pts.away,score,pts.home,New York
7:24.0,D. West misses 2-pt shot from 19 ft,,44-47,,
7:22.0,,,44-47,,Defensive rebound by L. Thomas
7:01.0,,,44-47,,K. O'Quinn misses 2-pt shot at rim
7:00.0,,,44-47,,Offensive rebound by K. O'Quinn
7:00.0,,,44-49,2,K. O'Quinn makes 2-pt shot at rim
6:43.0,K. Thompson misses 2-pt shot from 18 ft,,44-49,,
6:41.0,,,44-49,,Defensive rebound by K. O'Quinn
6:28.0,,,44-49,,Turnover by F. Ntilikina (bad pass; steal by S. Livingston)
6:23.0,,,44-49,,Personal foul by F. Ntilikina (drawn by S. Livingston)
6:23.0,,,44-49,,E. Mudiay enters the game for T. Burke
6:23.0,,,44-49,,M. Beasley enters the game for L. Thomas
6:23.0,K. Durant enters the game for A. Iguodala,,44-49,,
6:23.0,S. Curry enters the game for D. Green,,44-49,,
6:12.0,S. Curry misses 3-pt shot from 23 ft,,44-49,,
6:10.0,Offensive rebound by D. West,,44-49,,
6:08.0,D. West makes 2-pt shot from 3 ft,2,46-49,,
5:49.0,,,46-49,,K. O'Quinn misses 2-pt shot from 12 ft
5:47.0,Defensive rebound by K. Durant,,46-49,,
5:44.0,Shooting foul by K. O'Quinn (drawn by D. West),,46-49,,
5:44.0,D. West misses free throw 1 of 2,,46-49,,
5:44.0,Offensive rebound by Team,,46-49,,
5:44.0,,,46-49,,E. Kanter enters the game for K. O'Quinn
5:44.0,D. West makes free throw 2 of 2,1,47-49,,
5:26.0,,,47-51,2,E. Kanter makes 2-pt shot from 9 ft (assist by M. Beasley)
5:07.0,D. West makes 2-pt shot from 13 ft (assist by K. Thompson),2,49-51,,
4:53.0,,,49-51,,E. Kanter misses 2-pt shot from 11 ft
4:51.0,Defensive rebound by K. Durant,,49-51,,
4:46.0,K. Durant makes 3-pt shot from 26 ft,3,52-51,,
4:20.0,,,52-51,,Turnover by T. Williams (bad pass; steal by K. Durant)
4:15.0,K. Durant misses 2-pt shot from 15 ft,,52-51,,
4:13.0,,,52-51,,Defensive rebound by T. Williams
4:09.0,Violation by S. Livingston (kicked ball),,52-51,,
4:09.0,,,52-51,,T. Hardaway enters the game for F. Ntilikina
4:09.0,,,52-51,,T. Burke enters the game for T. Williams
4:09.0,D. Green enters the game for S. Livingston,,52-51,,
4:09.0,A. Iguodala enters the game for D. West,,52-51,,
3:58.0,,,52-51,,T. Burke misses 3-pt shot from 23 ft
3:57.0,,,52-51,,Offensive rebound by E. Kanter
3:56.0,,,52-51,,Offensive charge foul by E. Kanter (drawn by S. Curry)
3:56.0,,,52-51,,Turnover by E. Kanter (offensive foul)
3:36.0,D. Green misses 2-pt shot from 10 ft,,52-51,,
3:34.0,,,52-51,,Defensive rebound by E. Mudiay
3:29.0,,,52-53,2,E. Mudiay makes 2-pt shot from 9 ft
3:15.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,55-53,,
3:06.0,,,55-53,,New York full timeout
2:56.0,,,55-55,2,E. Kanter makes 2-pt shot from 2 ft (assist by T. Hardaway)
2:34.0,K. Durant misses 3-pt shot from 27 ft,,55-55,,
2:32.0,,,55-55,,Defensive rebound by T. Hardaway
2:24.0,,,55-55,,T. Hardaway misses 2-pt shot from 1 ft
2:22.0,,,55-55,,Offensive rebound by E. Kanter
2:22.0,,,55-55,,E. Kanter misses 2-pt shot at rim
2:20.0,Defensive rebound by D. Green,,55-55,,
2:05.0,K. Durant makes 2-pt shot from 15 ft,2,57-55,,
1:44.0,,,57-57,2,E. Mudiay makes 2-pt shot from 1 ft (assist by M. Beasley)
1:36.0,K. Durant makes 2-pt shot from 1 ft,2,59-57,,
1:30.0,,,59-57,,L. Thomas enters the game for M. Beasley
1:17.0,,,59-57,,E. Mudiay misses 2-pt shot from 16 ft
1:15.0,Defensive rebound by K. Durant,,59-57,,
1:01.0,K. Durant misses 2-pt shot from 9 ft,,59-57,,
0:59.0,Offensive rebound by D. Green,,59-57,,
0:59.0,D. Green misses 2-pt shot at rim,,59-57,,
0:57.0,,,59-57,,Defensive rebound by T. Burke
0:52.0,,,59-59,2,T. Burke makes 2-pt shot from 10 ft
0:38.0,K. Thompson makes 2-pt shot from 17 ft (assist by D. Green),2,61-59,,
0:33.0,,,61-61,2,T. Burke makes 2-pt shot from 1 ft
0:17.0,Shooting foul by L. Thomas (drawn by K. Durant),,61-61,,
0:17.0,K. Durant makes free throw 1 of 2,1,62-61,,
0:17.0,K. Durant makes free throw 2 of 2,1,63-61,,
0:08.0,Personal foul by K. Thompson (drawn by T. Burke),,63-61,,
0:01.0,,,63-64,3,L. Thomas makes 3-pt shot from 23 ft (assist by E. Mudiay)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,63-64,,C. Lee misses 3-pt shot from 27 ft
11:43.0,Defensive rebound by J. McGee,,63-64,,
11:19.0,D. Green makes 3-pt shot from 26 ft,3,66-64,,
11:04.0,,,66-64,,E. Kanter misses 2-pt shot from 1 ft (block by D. Green)
11:02.0,Defensive rebound by J. McGee,,66-64,,
10:59.0,S. Curry makes 3-pt shot from 25 ft (assist by J. McGee),3,69-64,,
10:45.0,,,69-64,,L. Thomas misses 2-pt shot from 16 ft
10:44.0,Defensive rebound by K. Thompson,,69-64,,
10:35.0,S. Curry misses 3-pt shot from 25 ft,,69-64,,
10:35.0,,,69-64,,Defensive rebound by E. Kanter
10:28.0,,,69-64,,Turnover by T. Hardaway (bad pass)
10:15.0,Turnover by S. Curry (bad pass; steal by T. Hardaway),,69-64,,
10:13.0,Personal foul by D. Green (drawn by E. Mudiay),,69-64,,
10:07.0,,,69-64,,E. Mudiay misses 2-pt shot from 16 ft
10:05.0,Defensive rebound by S. Curry,,69-64,,
9:58.0,K. Thompson makes 3-pt shot from 22 ft (assist by K. Durant),3,72-64,,
9:57.0,,,72-64,,New York full timeout
9:57.0,,,72-64,,M. Beasley enters the game for L. Thomas
9:42.0,,,72-64,,M. Beasley misses 2-pt shot from 22 ft
9:39.0,Defensive rebound by K. Durant,,72-64,,
9:25.0,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry),2,74-64,,
9:05.0,,,74-64,,M. Beasley misses 2-pt shot from 9 ft
9:04.0,,,74-64,,Offensive rebound by E. Kanter
9:04.0,,,74-64,,E. Kanter misses 2-pt shot at rim
9:03.0,Defensive rebound by K. Durant,,74-64,,
8:56.0,S. Curry misses 2-pt shot at rim (block by E. Mudiay),,74-64,,
8:55.0,,,74-64,,Defensive rebound by Team
8:32.0,,,74-64,,Shooting foul by J. McGee (drawn by T. Hardaway)
8:32.0,,,74-65,1,T. Hardaway makes free throw 1 of 2
8:32.0,,,74-66,1,T. Hardaway makes free throw 2 of 2
8:23.0,Turnover by S. Curry (bad pass; steal by E. Mudiay),,74-66,,
8:19.0,,,74-66,,T. Hardaway misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by D. Green,,74-66,,
8:11.0,Shooting foul by E. Kanter (drawn by D. Green),,74-66,,
8:11.0,D. Green makes free throw 1 of 2,1,75-66,,
8:11.0,D. Green makes free throw 2 of 2,1,76-66,,
7:53.0,,,76-66,,Turnover by M. Beasley (lost ball; steal by D. Green)
7:44.0,K. Thompson makes 3-pt shot from 22 ft (assist by D. Green),3,79-66,,
7:27.0,,,79-66,,F. Ntilikina enters the game for E. Kanter
7:27.0,,,79-66,,K. O'Quinn enters the game for C. Lee
7:25.0,,,79-68,2,E. Mudiay makes 2-pt shot from 20 ft (assist by T. Hardaway)
7:05.0,J. McGee makes 2-pt shot from 11 ft (assist by K. Durant),2,81-68,,
6:46.0,Personal foul by K. Durant (drawn by M. Beasley),,81-68,,
6:46.0,,,81-68,,I. Hicks enters the game for M. Beasley
6:38.0,,,81-68,,T. Hardaway misses 3-pt shot from 23 ft
6:37.0,Defensive rebound by S. Curry,,81-68,,
6:37.0,,,81-68,,Loose ball foul by K. O'Quinn (drawn by S. Curry)
6:25.0,Turnover by K. Thompson (bad pass; steal by I. Hicks),,81-68,,
6:19.0,,,81-68,,E. Mudiay misses 2-pt shot from 5 ft
6:17.0,Defensive rebound by K. Thompson,,81-68,,
6:09.0,S. Curry misses 2-pt shot from 20 ft,,81-68,,
6:08.0,Offensive rebound by J. McGee,,81-68,,
6:08.0,Turnover by K. Durant (out of bounds lost ball),,81-68,,
6:08.0,,,81-68,,T. Burke enters the game for E. Mudiay
5:50.0,,,81-68,,T. Burke misses 2-pt shot from 12 ft
5:48.0,Defensive rebound by K. Durant,,81-68,,
5:39.0,S. Curry makes 2-pt shot from 3 ft (assist by D. Green),2,83-68,,
5:26.0,,,83-71,3,T. Hardaway makes 3-pt shot from 29 ft
5:09.0,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green),2,85-71,,
4:50.0,,,85-71,,F. Ntilikina misses 2-pt shot from 2 ft
4:48.0,,,85-71,,Offensive rebound by F. Ntilikina
4:46.0,,,85-73,2,F. Ntilikina makes 2-pt shot from 2 ft
4:35.0,Golden State full timeout,,85-73,,
4:35.0,Z. Pachulia enters the game for J. McGee,,85-73,,
4:28.0,S. Curry makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,87-73,,
4:06.0,,,87-73,,T. Hardaway misses 3-pt shot from 26 ft (block by K. Durant)
4:04.0,Defensive rebound by S. Curry,,87-73,,
3:59.0,K. Thompson misses 3-pt shot from 25 ft,,87-73,,
3:58.0,,,87-73,,Defensive rebound by K. O'Quinn
3:53.0,,,87-73,,T. Hardaway misses 2-pt shot from 2 ft
3:52.0,,,87-73,,Offensive rebound by I. Hicks
3:52.0,,,87-73,,I. Hicks misses 2-pt shot at rim
3:50.0,,,87-73,,Offensive rebound by I. Hicks
3:46.0,,,87-73,,F. Ntilikina misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by K. Thompson,,87-73,,
3:35.0,S. Curry makes 3-pt shot from 25 ft,3,90-73,,
3:05.0,,,90-75,2,T. Hardaway makes 2-pt shot from 22 ft
3:01.0,Shooting foul by T. Hardaway (drawn by K. Durant),,90-75,,
3:01.0,K. Durant makes free throw 1 of 2,1,91-75,,
3:01.0,,,91-75,,D. Dotson enters the game for T. Hardaway
3:01.0,N. Young enters the game for K. Thompson,,91-75,,
3:01.0,J. Bell enters the game for D. Green,,91-75,,
3:01.0,K. Durant makes free throw 2 of 2,1,92-75,,
2:49.0,,,92-77,2,T. Burke makes 2-pt shot from 7 ft
2:49.0,Violation by J. Bell (def goaltending),,92-77,,
2:31.0,K. Durant misses 2-pt shot from 19 ft,,92-77,,
2:29.0,,,92-77,,Defensive rebound by K. O'Quinn
2:18.0,,,92-77,,Turnover by D. Dotson (bad pass; steal by Z. Pachulia)
2:15.0,Shooting foul by T. Burke (drawn by J. Bell),,92-77,,
2:15.0,J. Bell misses free throw 1 of 2,,92-77,,
2:15.0,Offensive rebound by Team,,92-77,,
2:15.0,J. Bell makes free throw 2 of 2,1,93-77,,
2:00.0,,,93-77,,Turnover by I. Hicks (lost ball; steal by Z. Pachulia)
1:58.0,Shooting foul by F. Ntilikina (drawn by K. Durant),,93-77,,
1:58.0,K. Durant makes free throw 1 of 2,1,94-77,,
1:58.0,K. Durant makes free throw 2 of 2,1,95-77,,
1:45.0,,,95-79,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by F. Ntilikina)
1:37.0,S. Curry makes 3-pt shot from 25 ft,3,98-79,,
1:37.0,Shooting foul by T. Burke (drawn by S. Curry),,98-79,,
1:37.0,A. Iguodala enters the game for K. Durant,,98-79,,
1:37.0,S. Curry makes free throw 1 of 1,1,99-79,,
1:24.0,,,99-79,,Turnover by T. Burke (bad pass)
1:05.0,A. Iguodala makes 3-pt shot from 25 ft (assist by J. Bell),3,102-79,,
0:53.0,Personal foul by N. Young (drawn by T. Burke),,102-79,,
0:41.0,,,102-79,,T. Burke misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by S. Curry,,102-79,,
0:33.0,Turnover by S. Curry (bad pass; steal by T. Burke),,102-79,,
0:26.0,,,102-82,3,T. Burke makes 3-pt shot from 25 ft (assist by D. Dotson)
0:07.0,S. Curry misses 3-pt shot from 26 ft,,102-82,,
0:05.0,Offensive rebound by A. Iguodala,,102-82,,
0:00.0,A. Iguodala misses 2-pt shot from 5 ft,,102-82,,
0:00.0,Offensive rebound by Team,,102-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Green misses 3-pt shot from 23 ft,,102-82,,
11:41.0,,,102-82,,Defensive rebound by F. Ntilikina
11:26.0,,,102-84,2,K. O'Quinn makes 2-pt shot from 20 ft
11:08.0,D. West makes 2-pt shot from 2 ft (assist by K. Thompson),2,104-84,,
10:58.0,,,104-86,2,F. Ntilikina makes 2-pt shot from 22 ft (assist by K. O'Quinn)
10:45.0,Shooting foul by F. Ntilikina (drawn by K. Thompson),,104-86,,
10:45.0,K. Thompson makes free throw 1 of 2,1,105-86,,
10:45.0,K. Thompson makes free throw 2 of 2,1,106-86,,
10:26.0,,,106-86,,Turnover by K. O'Quinn (lost ball; steal by K. Thompson)
10:22.0,Turnover by Q. Cook (step out of bounds),,106-86,,
10:08.0,,,106-88,2,K. O'Quinn makes 2-pt shot from 19 ft (assist by E. Mudiay)
9:54.0,D. West makes 2-pt shot from 1 ft (assist by K. Thompson),2,108-88,,
9:36.0,,,108-88,,F. Ntilikina misses 2-pt shot from 12 ft
9:34.0,Defensive rebound by D. West,,108-88,,
9:33.0,,,108-88,,L. Thomas enters the game for K. O'Quinn
9:27.0,D. West makes 2-pt shot at rim (assist by K. Thompson),2,110-88,,
9:12.0,,,110-88,,T. Burke misses 2-pt shot from 20 ft
9:10.0,Defensive rebound by D. West,,110-88,,
9:01.0,Q. Cook misses 2-pt shot from 10 ft (block by T. Burke),,110-88,,
8:59.0,,,110-88,,Defensive rebound by M. Beasley
8:51.0,,,110-88,,M. Beasley misses 2-pt shot from 2 ft
8:49.0,Defensive rebound by D. West,,110-88,,
8:40.0,A. Iguodala makes 2-pt shot from 1 ft (assist by K. Thompson),2,112-88,,
8:40.0,,,112-88,,New York full timeout
8:40.0,,,112-88,,T. Hardaway enters the game for T. Burke
8:26.0,,,112-88,,F. Ntilikina misses 2-pt shot from 4 ft
8:24.0,,,112-88,,Offensive rebound by E. Mudiay
8:14.0,,,112-88,,L. Thomas misses 3-pt shot from 22 ft
8:12.0,,,112-88,,Offensive rebound by F. Ntilikina
8:12.0,,,112-90,2,F. Ntilikina makes 2-pt shot at rim
7:47.0,K. Thompson misses 2-pt shot from 22 ft,,112-90,,
7:45.0,,,112-90,,Defensive rebound by M. Beasley
7:33.0,,,112-90,,Turnover by M. Beasley (out of bounds lost ball)
7:15.0,A. Iguodala misses 3-pt shot from 25 ft,,112-90,,
7:13.0,,,112-90,,Defensive rebound by M. Beasley
7:03.0,,,112-90,,E. Mudiay misses 2-pt shot from 4 ft
7:01.0,Defensive rebound by Q. Cook,,112-90,,
6:53.0,Shooting foul by T. Hardaway (drawn by A. Iguodala),,112-90,,
6:53.0,A. Iguodala misses free throw 1 of 2,,112-90,,
6:53.0,Offensive rebound by Team,,112-90,,
6:53.0,,,112-90,,T. Williams enters the game for F. Ntilikina
6:53.0,A. Iguodala makes free throw 2 of 2,1,113-90,,
6:43.0,,,113-90,,Shooting foul by D. Green (drawn by T. Hardaway)
6:43.0,,,113-91,1,T. Hardaway makes free throw 1 of 2
6:43.0,O. Casspi enters the game for D. Green,,113-91,,
6:43.0,,,113-92,1,T. Hardaway makes free throw 2 of 2
6:29.0,Shooting foul by T. Williams (drawn by K. Thompson),,113-92,,
6:29.0,K. Thompson makes free throw 1 of 2,1,114-92,,
6:29.0,K. Thompson makes free throw 2 of 2,1,115-92,,
6:17.0,,,115-95,3,L. Thomas makes 3-pt shot from 25 ft (assist by E. Mudiay)
6:00.0,J. Bell enters the game for D. West,,115-95,,
5:53.0,Q. Cook makes 3-pt shot from 26 ft (assist by J. Bell),3,118-95,,
5:35.0,,,118-95,,M. Beasley misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by A. Iguodala,,118-95,,
5:29.0,O. Casspi misses 2-pt shot from 4 ft,,118-95,,
5:27.0,Offensive rebound by O. Casspi,,118-95,,
5:27.0,O. Casspi misses 2-pt shot from 1 ft,,118-95,,
5:26.0,,,118-95,,Defensive rebound by T. Williams
5:18.0,,,118-95,,T. Williams misses 3-pt shot from 22 ft
5:16.0,Defensive rebound by O. Casspi,,118-95,,
5:10.0,Golden State full timeout,,118-95,,
5:10.0,,,118-95,,D. Dotson enters the game for M. Beasley
5:10.0,,,118-95,,I. Hicks enters the game for T. Hardaway
5:10.0,N. Young enters the game for A. Iguodala,,118-95,,
5:10.0,Z. Pachulia enters the game for K. Thompson,,118-95,,
5:05.0,O. Casspi misses 2-pt shot from 1 ft (block by T. Williams),,118-95,,
5:04.0,,,118-95,,Defensive rebound by D. Dotson
4:59.0,,,118-98,3,L. Thomas makes 3-pt shot from 25 ft (assist by D. Dotson)
4:35.0,Q. Cook misses 2-pt shot from 11 ft,,118-98,,
4:33.0,Offensive rebound by J. Bell,,118-98,,
4:32.0,O. Casspi misses 2-pt shot from 1 ft,,118-98,,
4:31.0,Offensive rebound by Z. Pachulia,,118-98,,
4:30.0,Z. Pachulia misses 2-pt shot at rim,,118-98,,
4:30.0,,,118-98,,Defensive rebound by Team
4:15.0,,,118-98,,I. Hicks misses 2-pt shot from 2 ft (block by J. Bell)
4:15.0,,,118-98,,Offensive rebound by Team
4:11.0,Personal foul by O. Casspi (drawn by E. Mudiay),,118-98,,
4:07.0,,,118-98,,D. Dotson misses 2-pt shot from 21 ft
4:06.0,Defensive rebound by Z. Pachulia,,118-98,,
3:58.0,Q. Cook misses 3-pt shot from 24 ft,,118-98,,
3:56.0,,,118-98,,Defensive rebound by I. Hicks
3:51.0,,,118-98,,E. Mudiay misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by Z. Pachulia,,118-98,,
3:33.0,Z. Pachulia makes 2-pt shot from 4 ft (assist by J. Bell),2,120-98,,
3:17.0,,,120-100,2,D. Dotson makes 2-pt shot from 13 ft
2:57.0,Q. Cook misses 2-pt shot at rim,,120-100,,
2:56.0,,,120-100,,Defensive rebound by I. Hicks
2:45.0,,,120-100,,E. Mudiay misses 2-pt shot from 11 ft
2:44.0,Defensive rebound by O. Casspi,,120-100,,
2:36.0,N. Young misses 3-pt shot from 25 ft,,120-100,,
