time,LA Lakers,pts.away,score,pts.home,Houston
10:10.0,,,42-25,,Shooting foul by A. Caruso (drawn by P. Tucker)
10:10.0,,,42-26,1,P. Tucker makes free throw 1 of 2
10:10.0,,,42-26,,P. Tucker misses free throw 2 of 2
10:10.0,Defensive rebound by A. Caruso,,42-26,,
9:53.0,L. Nance makes 2-pt shot from 18 ft (assist by J. Clarkson),2,44-26,,
9:37.0,,,44-26,,Houston full timeout
9:28.0,,,44-26,,Turnover by C. Paul (bad pass; steal by C. Brewer)
9:16.0,C. Brewer makes 2-pt shot at rim (assist by L. Nance),2,46-26,,
9:02.0,,,46-26,,E. Gordon misses 2-pt shot from 1 ft
8:59.0,Defensive rebound by C. Brewer,,46-26,,
8:57.0,Shooting foul by R. Anderson (drawn by C. Brewer),,46-26,,
8:57.0,C. Brewer makes free throw 1 of 2,1,47-26,,
8:57.0,,,47-26,,J. Harden enters the game for R. Anderson
8:57.0,J. Hart enters the game for A. Caruso,,47-26,,
8:57.0,C. Brewer makes free throw 2 of 2,1,48-26,,
8:39.0,,,48-26,,P. Tucker misses 2-pt shot from 1 ft
8:39.0,,,48-26,,Offensive rebound by Team
8:37.0,,,48-29,3,J. Harden makes 3-pt shot from 22 ft (assist by C. Paul)
8:37.0,,,48-29,,Shooting foul by J. Hart (drawn by J. Harden)
8:37.0,,,48-30,1,J. Harden makes free throw 1 of 1
8:14.0,J. Clarkson misses 2-pt shot from 6 ft,,48-30,,
8:11.0,,,48-30,,Defensive rebound by C. Paul
8:09.0,,,48-32,2,C. Paul makes 2-pt shot from 3 ft
8:08.0,LA Lakers full timeout,,48-32,,
8:08.0,J. Randle enters the game for C. Brewer,,48-32,,
8:08.0,L. Ball enters the game for J. Clarkson,,48-32,,
8:08.0,K. Kuzma enters the game for L. Nance,,48-32,,
8:01.0,,,48-32,,Personal foul by T. Ariza (drawn by B. Ingram)
7:44.0,J. Hart makes 3-pt shot from 26 ft (assist by K. Kuzma),3,51-32,,
7:23.0,,,51-34,2,J. Harden makes 2-pt shot from 2 ft
7:03.0,J. Hart misses 3-pt shot from 24 ft,,51-34,,
7:01.0,,,51-34,,Defensive rebound by P. Tucker
6:48.0,,,51-34,,N. Hilario enters the game for E. Gordon
6:42.0,,,51-34,,Shooting foul by L. Ball (drawn by J. Harden)
6:42.0,,,51-35,1,J. Harden makes free throw 1 of 2
6:42.0,,,51-36,1,J. Harden makes free throw 2 of 2
6:33.0,L. Ball misses 2-pt shot from 11 ft,,51-36,,
6:29.0,,,51-36,,Defensive rebound by N. Hilario
6:21.0,,,51-38,2,J. Harden makes 2-pt shot from 4 ft
6:00.0,J. Randle misses 2-pt shot from 17 ft,,51-38,,
5:58.0,,,51-38,,Defensive rebound by P. Tucker
5:44.0,,,51-38,,Turnover by C. Paul (bad pass)
5:33.0,J. Randle makes 2-pt shot at rim (assist by B. Ingram),2,53-38,,
5:15.0,,,53-40,2,J. Harden makes 2-pt shot from 1 ft
5:15.0,,,53-40,,Shooting foul by J. Randle (drawn by J. Harden)
5:15.0,,,53-41,1,J. Harden makes free throw 1 of 1
4:58.0,K. Kuzma makes 3-pt shot from 24 ft (assist by J. Randle),3,56-41,,
4:45.0,,,56-43,2,J. Harden makes 2-pt shot from 1 ft
4:35.0,J. Hart misses 2-pt shot from 4 ft (block by J. Harden),,56-43,,
4:35.0,Offensive rebound by Team,,56-43,,
4:34.0,LA Lakers full timeout,,56-43,,
4:28.0,,,56-43,,E. Gordon enters the game for C. Paul
4:23.0,Turnover by L. Ball (bad pass; steal by T. Ariza),,56-43,,
4:13.0,,,56-46,3,P. Tucker makes 3-pt shot from 23 ft (assist by J. Harden)
3:52.0,L. Ball misses 3-pt shot from 24 ft,,56-46,,
3:51.0,,,56-46,,Defensive rebound by Team
3:38.0,,,56-48,2,J. Harden makes 2-pt shot from 2 ft
3:24.0,L. Ball misses 2-pt shot from 20 ft,,56-48,,
3:22.0,,,56-48,,Defensive rebound by P. Tucker
3:10.0,,,56-51,3,J. Harden makes 3-pt shot from 26 ft
2:50.0,K. Kuzma makes 3-pt shot from 30 ft (assist by B. Ingram),3,59-51,,
2:37.0,,,59-51,,T. Ariza misses 3-pt shot from 23 ft
2:34.0,Defensive rebound by K. Kuzma,,59-51,,
2:24.0,J. Hart misses 3-pt shot from 24 ft,,59-51,,
2:20.0,,,59-51,,Defensive rebound by T. Ariza
2:15.0,Personal foul by B. Ingram (drawn by N. Hilario),,59-51,,
2:15.0,,,59-51,,N. Hilario misses free throw 1 of 2
2:15.0,,,59-51,,Offensive rebound by Team
2:15.0,,,59-52,1,N. Hilario makes free throw 2 of 2
2:02.0,Turnover by B. Ingram (bad pass; steal by E. Gordon),,59-52,,
1:57.0,,,59-52,,P. Tucker misses 3-pt shot from 23 ft
1:55.0,Defensive rebound by J. Randle,,59-52,,
1:50.0,J. Randle makes 2-pt shot at rim,2,61-52,,
1:34.0,,,61-54,2,J. Harden makes 2-pt shot from 1 ft
1:15.0,Offensive foul by J. Randle (drawn by T. Ariza),,61-54,,
1:15.0,Turnover by J. Randle (offensive foul),,61-54,,
0:54.0,,,61-54,,E. Gordon misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by Team,,61-54,,
0:32.0,Turnover by L. Ball (turnover),,61-54,,
0:27.0,Personal foul by J. Hart (drawn by J. Harden),,61-54,,
0:27.0,,,61-55,1,J. Harden makes free throw 1 of 2
0:27.0,,,61-56,1,J. Harden makes free throw 2 of 2
0:11.0,K. Kuzma makes 2-pt shot from 1 ft (assist by L. Ball),2,63-56,,
0:00.0,,,63-59,3,E. Gordon makes 3-pt shot from 24 ft (assist by N. Hilario)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Shooting foul by P. Tucker (drawn by K. Kuzma),,63-59,,
11:42.0,K. Kuzma misses free throw 1 of 3,,63-59,,
11:42.0,Offensive rebound by Team,,63-59,,
11:42.0,K. Kuzma misses free throw 2 of 3,,63-59,,
11:42.0,Offensive rebound by Team,,63-59,,
11:42.0,L. Nance enters the game for A. Bogut,,63-59,,
11:42.0,K. Kuzma makes free throw 3 of 3,1,64-59,,
11:26.0,,,64-59,,C. Paul misses 3-pt shot from 23 ft
11:23.0,Defensive rebound by L. Nance,,64-59,,
11:06.0,B. Ingram misses 2-pt shot from 16 ft,,64-59,,
11:04.0,Offensive rebound by L. Nance,,64-59,,
11:02.0,L. Ball misses 3-pt shot from 24 ft,,64-59,,
10:58.0,,,64-59,,Defensive rebound by T. Ariza
10:49.0,,,64-62,3,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul)
10:36.0,,,64-62,,Personal foul by R. Anderson (drawn by L. Nance)
10:27.0,B. Ingram misses 2-pt shot from 9 ft,,64-62,,
10:25.0,Offensive rebound by B. Ingram,,64-62,,
10:24.0,B. Ingram misses 2-pt shot from 2 ft,,64-62,,
10:24.0,,,64-62,,Defensive rebound by C. Paul
10:20.0,,,64-62,,Shooting foul by L. Nance (drawn by J. Harden)
10:20.0,,,64-62,,J. Harden misses free throw 1 of 2
10:20.0,,,64-62,,Offensive rebound by Team
10:20.0,,,64-62,,J. Harden misses free throw 2 of 2
10:19.0,,,64-62,,Offensive rebound by Team
10:11.0,,,64-62,,R. Anderson misses 3-pt shot from 27 ft
10:07.0,Defensive rebound by J. Hart,,64-62,,
9:55.0,Turnover by L. Ball (bad pass; steal by J. Harden),,64-62,,
9:46.0,Def 3 sec tech foul by K. Kuzma,,64-62,,
9:46.0,,,64-63,1,C. Paul makes technical free throw
9:35.0,,,64-65,2,R. Anderson makes 2-pt shot from 1 ft (assist by J. Harden)
9:12.0,L. Ball misses 3-pt shot from 25 ft,,64-65,,
9:09.0,,,64-65,,Defensive rebound by T. Ariza
8:47.0,,,64-65,,P. Tucker misses 2-pt shot from 2 ft (block by K. Kuzma)
8:47.0,,,64-65,,Offensive rebound by Team
8:47.0,,,64-65,,Turnover by Team (shot clock)
8:41.0,L. Ball makes 2-pt shot at rim,2,66-65,,
8:41.0,Shooting foul by J. Harden (drawn by L. Ball),,66-65,,
8:41.0,L. Ball misses free throw 1 of 1,,66-65,,
8:41.0,,,66-65,,Defensive rebound by T. Ariza
8:21.0,,,66-68,3,P. Tucker makes 3-pt shot from 22 ft (assist by T. Ariza)
8:07.0,K. Kuzma misses 3-pt shot from 25 ft,,66-68,,
7:59.0,Offensive rebound by L. Nance,,66-68,,
7:59.0,L. Nance makes 2-pt shot at rim,2,68-68,,
7:55.0,,,68-68,,J. Harden misses 2-pt shot from 8 ft
7:53.0,Defensive rebound by J. Hart,,68-68,,
7:48.0,L. Ball makes 2-pt shot from 1 ft (assist by J. Hart),2,70-68,,
7:26.0,,,70-68,,T. Ariza misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by J. Hart,,70-68,,
7:17.0,,,70-68,,Personal foul by J. Harden (drawn by L. Nance)
7:08.0,J. Hart misses 2-pt shot from 2 ft,,70-68,,
7:06.0,,,70-68,,Defensive rebound by C. Paul
7:01.0,,,70-68,,T. Ariza misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by L. Ball,,70-68,,
6:51.0,K. Kuzma makes 2-pt shot from 2 ft (assist by L. Ball),2,72-68,,
6:51.0,Shooting foul by P. Tucker (drawn by K. Kuzma),,72-68,,
6:51.0,,,72-68,,Houston full timeout
6:51.0,,,72-68,,E. Gordon enters the game for C. Paul
6:51.0,,,72-68,,N. Hilario enters the game for R. Anderson
6:51.0,K. Kuzma makes free throw 1 of 1,1,73-68,,
6:34.0,,,73-71,3,J. Harden makes 3-pt shot from 25 ft
6:25.0,B. Ingram makes 2-pt shot from 15 ft (assist by L. Ball),2,75-71,,
6:11.0,,,75-74,3,E. Gordon makes 3-pt shot from 25 ft (assist by P. Tucker)
5:56.0,K. Kuzma misses 3-pt shot from 25 ft,,75-74,,
5:52.0,,,75-74,,Defensive rebound by T. Ariza
5:49.0,Personal foul by J. Hart (drawn by J. Harden),,75-74,,
5:40.0,,,75-74,,E. Gordon misses 3-pt shot from 27 ft
5:38.0,,,75-74,,Offensive rebound by P. Tucker
5:26.0,,,75-76,2,E. Gordon makes 2-pt shot from 1 ft (assist by T. Ariza)
5:14.0,L. Ball misses 2-pt shot from 2 ft (block by E. Gordon),,75-76,,
5:14.0,,,75-76,,Defensive rebound by Team
5:14.0,A. Bogut enters the game for J. Hart,,75-76,,
5:14.0,C. Brewer enters the game for L. Nance,,75-76,,
5:00.0,,,75-78,2,J. Harden makes 2-pt shot from 1 ft
4:48.0,L. Ball makes 3-pt shot from 23 ft (assist by K. Kuzma),3,78-78,,
4:35.0,,,78-78,,Turnover by J. Harden (lost ball; steal by B. Ingram)
4:32.0,Shooting foul by E. Gordon (drawn by B. Ingram),,78-78,,
4:32.0,B. Ingram makes free throw 1 of 2,1,79-78,,
4:32.0,B. Ingram makes free throw 2 of 2,1,80-78,,
4:24.0,Personal foul by C. Brewer (drawn by E. Gordon),,80-78,,
4:18.0,,,80-78,,T. Ariza misses 2-pt shot from 1 ft
4:17.0,,,80-78,,Offensive rebound by N. Hilario
4:17.0,,,80-78,,Shooting foul by A. Bogut (drawn by N. Hilario)
4:17.0,,,80-79,1,N. Hilario makes free throw 1 of 2
4:17.0,,,80-79,,N. Hilario misses free throw 2 of 2
4:17.0,Defensive rebound by K. Kuzma,,80-79,,
4:02.0,K. Kuzma misses 2-pt shot from 14 ft,,80-79,,
3:57.0,,,80-79,,Defensive rebound by P. Tucker
3:45.0,,,80-79,,Turnover by J. Harden (lost ball; steal by C. Brewer)
3:43.0,Shooting foul by P. Tucker (drawn by K. Kuzma),,80-79,,
3:43.0,K. Kuzma makes free throw 1 of 2,1,81-79,,
3:43.0,,,81-79,,C. Paul enters the game for P. Tucker
3:43.0,K. Kuzma makes free throw 2 of 2,1,82-79,,
3:36.0,Personal foul by C. Brewer (drawn by J. Harden),,82-79,,
3:36.0,,,82-80,1,J. Harden makes free throw 1 of 2
3:36.0,,,82-81,1,J. Harden makes free throw 2 of 2
3:26.0,B. Ingram misses 3-pt shot from 25 ft,,82-81,,
3:22.0,,,82-81,,Defensive rebound by N. Hilario
3:09.0,,,82-81,,N. Hilario misses 2-pt shot from 3 ft (block by A. Bogut)
3:06.0,Defensive rebound by L. Ball,,82-81,,
3:03.0,K. Kuzma misses 2-pt shot from 1 ft,,82-81,,
2:59.0,Offensive rebound by K. Kuzma,,82-81,,
2:56.0,K. Kuzma makes 3-pt shot from 25 ft (assist by C. Brewer),3,85-81,,
2:44.0,Personal foul by L. Ball (drawn by C. Paul),,85-81,,
2:44.0,LA Lakers full timeout,,85-81,,
2:44.0,,,85-81,,R. Anderson enters the game for N. Hilario
2:44.0,J. Clarkson enters the game for B. Ingram,,85-81,,
2:44.0,L. Nance enters the game for A. Bogut,,85-81,,
2:44.0,,,85-82,1,C. Paul makes free throw 1 of 2
2:44.0,,,85-83,1,C. Paul makes free throw 2 of 2
2:31.0,L. Nance makes 2-pt shot from 1 ft (assist by K. Kuzma),2,87-83,,
2:17.0,,,87-86,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
2:06.0,L. Ball misses 3-pt shot from 25 ft,,87-86,,
2:04.0,,,87-86,,Defensive rebound by R. Anderson
1:50.0,,,87-86,,J. Harden misses 2-pt shot from 7 ft (block by L. Ball)
1:47.0,,,87-86,,Offensive rebound by R. Anderson
1:44.0,,,87-86,,E. Gordon misses 3-pt shot from 25 ft
1:44.0,Defensive rebound by L. Ball,,87-86,,
1:37.0,L. Ball makes 2-pt shot from 20 ft,2,89-86,,
1:11.0,,,89-89,3,C. Paul makes 3-pt shot from 25 ft
0:57.0,J. Clarkson misses 3-pt shot from 24 ft,,89-89,,
0:54.0,Offensive rebound by L. Nance,,89-89,,
0:53.0,J. Clarkson misses 2-pt shot from 13 ft,,89-89,,
0:53.0,Offensive rebound by Team,,89-89,,
0:52.0,,,89-89,,Loose ball foul by R. Anderson (drawn by C. Brewer)
0:52.0,C. Brewer makes free throw 1 of 2,1,90-89,,
0:52.0,,,90-89,,P. Tucker enters the game for T. Ariza
0:52.0,C. Brewer misses free throw 2 of 2,,90-89,,
0:52.0,,,90-89,,Defensive rebound by J. Harden
0:36.0,,,90-89,,C. Paul misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by C. Brewer,,90-89,,
0:30.0,C. Brewer makes 2-pt shot from 3 ft,2,92-89,,
0:30.0,Shooting foul by C. Paul (drawn by C. Brewer),,92-89,,
0:30.0,C. Brewer misses free throw 1 of 1,,92-89,,
0:30.0,,,92-89,,Defensive rebound by J. Harden
0:10.0,,,92-89,,J. Harden misses 2-pt shot at rim
0:08.0,Defensive rebound by L. Ball,,92-89,,
0:05.0,,,92-89,,Shooting block foul by R. Anderson (drawn by C. Brewer)
0:05.0,,,92-89,,Technical foul by R. Anderson
0:05.0,J. Clarkson misses technical free throw,,92-89,,
0:05.0,Offensive rebound by Team,,92-89,,
0:05.0,J. Hart enters the game for L. Nance,,92-89,,
0:05.0,C. Brewer makes free throw 1 of 2,1,93-89,,
0:05.0,C. Brewer makes free throw 2 of 2,1,94-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,94-89,,R. Anderson misses 3-pt shot from 29 ft
11:46.0,Defensive rebound by B. Ingram,,94-89,,
11:36.0,J. Clarkson misses 2-pt shot from 19 ft,,94-89,,
11:29.0,Offensive rebound by L. Nance,,94-89,,
11:29.0,L. Nance makes 2-pt shot at rim,2,96-89,,
11:14.0,,,96-89,,C. Paul misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by K. Kuzma,,96-89,,
11:09.0,,,96-89,,Personal foul by C. Paul (drawn by C. Brewer)
11:09.0,,,96-89,,J. Harden enters the game for C. Paul
10:55.0,J. Clarkson misses 2-pt shot from 13 ft,,96-89,,
10:54.0,,,96-89,,Defensive rebound by Team
10:37.0,,,96-89,,Turnover by T. Ariza (out of bounds lost ball)
10:27.0,B. Ingram misses 2-pt shot from 18 ft,,96-89,,
10:24.0,,,96-89,,Defensive rebound by T. Ariza
10:14.0,,,96-89,,J. Harden misses 2-pt shot at rim
10:14.0,,,96-89,,Offensive rebound by Team
10:04.0,,,96-89,,P. Tucker misses 3-pt shot from 23 ft
10:02.0,Defensive rebound by B. Ingram,,96-89,,
9:57.0,,,96-89,,Shooting block foul by P. Tucker (drawn by B. Ingram)
9:57.0,B. Ingram misses free throw 2 of 2,,96-89,,
9:57.0,,,96-89,,Defensive rebound by P. Tucker
9:57.0,B. Ingram makes free throw 1 of 2,1,97-89,,
9:57.0,,,97-89,,N. Hilario enters the game for R. Anderson
9:57.0,J. Hart enters the game for K. Kuzma,,97-89,,
9:57.0,A. Bogut enters the game for L. Nance,,97-89,,
9:41.0,,,97-92,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
9:18.0,J. Hart misses 2-pt shot from 9 ft,,97-92,,
9:16.0,,,97-92,,Defensive rebound by P. Tucker
9:07.0,,,97-92,,J. Harden misses 2-pt shot from 14 ft
9:02.0,Defensive rebound by B. Ingram,,97-92,,
8:49.0,J. Hart makes 3-pt shot from 25 ft (assist by B. Ingram),3,100-92,,
8:35.0,,,100-95,3,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden)
8:13.0,B. Ingram misses 2-pt shot from 2 ft (block by T. Ariza),,100-95,,
8:11.0,,,100-95,,Defensive rebound by J. Harden
8:11.0,Personal foul by A. Bogut (drawn by J. Harden),,100-95,,
8:05.0,,,100-98,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
8:04.0,LA Lakers full timeout,,100-98,,
7:53.0,Turnover by A. Bogut (bad pass; steal by N. Hilario),,100-98,,
7:50.0,,,100-98,,Shooting foul by A. Bogut (drawn by T. Ariza)
7:50.0,,,100-99,1,T. Ariza makes free throw 1 of 2
7:50.0,,,100-100,1,T. Ariza makes free throw 2 of 2
7:30.0,J. Hart misses 3-pt shot from 25 ft,,100-100,,
7:27.0,,,100-100,,Defensive rebound by T. Ariza
7:18.0,,,100-100,,J. Harden misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by A. Bogut,,100-100,,
7:04.0,C. Brewer makes 2-pt shot from 2 ft,2,102-100,,
6:36.0,,,102-100,,E. Gordon misses 2-pt shot at rim
6:35.0,,,102-100,,Offensive rebound by E. Gordon
6:35.0,,,102-100,,E. Gordon misses 2-pt shot at rim
6:34.0,Defensive rebound by J. Clarkson,,102-100,,
6:22.0,J. Clarkson makes 2-pt shot from 1 ft,2,104-100,,
5:57.0,,,104-100,,E. Gordon misses 3-pt shot from 23 ft
5:54.0,Defensive rebound by J. Hart,,104-100,,
5:54.0,,,104-100,,Personal foul by J. Harden (drawn by J. Hart)
