time,Dallas,pts.away,score,pts.home,San Antonio
5:40.0,J. Barea misses 3-pt shot from 26 ft,,65-67,,
5:37.0,,,65-67,,Defensive rebound by K. Anderson
5:30.0,,,65-67,,K. Anderson misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by S. Mejri,,65-67,,
5:19.0,S. Mejri misses 2-pt shot from 2 ft (block by D. Green),,65-67,,
5:16.0,,,65-67,,Defensive rebound by K. Anderson
5:14.0,,,65-69,2,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Mills)
4:57.0,W. Matthews misses 2-pt shot from 18 ft,,65-69,,
4:57.0,,,65-69,,Defensive rebound by D. Green
4:45.0,,,65-69,,D. Green misses 2-pt shot from 2 ft
4:45.0,Defensive rebound by W. Matthews,,65-69,,
4:31.0,D. Harris misses 2-pt shot from 1 ft,,65-69,,
4:31.0,,,65-69,,Defensive rebound by L. Aldridge
4:23.0,,,65-69,,Shooting foul by W. Matthews (drawn by D. Green)
4:23.0,,,65-70,1,D. Green makes free throw 1 of 2
4:23.0,,,65-70,,M. Ginobili enters the game for K. Anderson
4:23.0,,,65-71,1,D. Green makes free throw 2 of 2
4:13.0,,,65-71,,Personal foul by D. Green (drawn by W. Matthews)
4:05.0,H. Barnes misses 2-pt shot from 1 ft (block by L. Aldridge),,65-71,,
4:00.0,,,65-71,,Defensive rebound by L. Aldridge
3:45.0,,,65-73,2,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Green)
3:45.0,Dallas full timeout,,65-73,,
3:45.0,,,65-73,,B. Forbes enters the game for D. Green
3:45.0,D. Powell enters the game for W. Matthews,,65-73,,
3:45.0,Y. Ferrell enters the game for H. Barnes,,65-73,,
3:45.0,D. Nowitzki enters the game for S. Mejri,,65-73,,
3:29.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris),2,67-73,,
3:10.0,,,67-73,,P. Mills misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by J. Barea,,67-73,,
2:55.0,,,67-73,,Personal foul by P. Mills (drawn by D. Nowitzki)
2:42.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris),3,70-73,,
2:20.0,,,70-73,,P. Mills misses 3-pt shot from 24 ft
2:18.0,Defensive rebound by D. Harris,,70-73,,
2:07.0,Y. Ferrell misses 3-pt shot from 23 ft,,70-73,,
2:04.0,,,70-73,,Defensive rebound by J. Lauvergne
1:56.0,,,70-75,2,M. Ginobili makes 2-pt shot from 11 ft
1:42.0,D. Nowitzki misses 2-pt shot from 19 ft,,70-75,,
1:38.0,,,70-75,,Defensive rebound by P. Mills
1:25.0,,,70-77,2,L. Aldridge makes 2-pt shot from 17 ft (assist by P. Mills)
1:07.0,Shooting foul by J. Lauvergne (drawn by D. Powell),,70-77,,
1:07.0,D. Powell makes free throw 1 of 2,1,71-77,,
1:07.0,,,71-77,,K. Anderson enters the game for L. Aldridge
1:07.0,,,71-77,,P. Gasol enters the game for J. Lauvergne
1:07.0,D. Powell makes free throw 2 of 2,1,72-77,,
0:52.0,Personal foul by Y. Ferrell (drawn by P. Gasol),,72-77,,
0:45.0,,,72-77,,B. Forbes misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by J. Barea,,72-77,,
0:32.0,J. Barea makes 3-pt shot from 26 ft,3,75-77,,
0:08.0,,,75-77,,K. Anderson misses 2-pt shot from 17 ft
0:07.0,Defensive rebound by D. Harris,,75-77,,
0:00.0,D. Nowitzki misses 3-pt shot from 25 ft,,75-77,,
0:00.0,,,75-77,,Defensive rebound by P. Gasol
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,75-77,,Turnover by K. Anderson (bad pass; steal by D. Powell)
11:32.0,J. Barea misses 2-pt shot at rim,,75-77,,
11:28.0,,,75-77,,Defensive rebound by D. Murray
11:20.0,,,75-80,3,B. Forbes makes 3-pt shot from 24 ft (assist by P. Gasol)
10:57.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by J. Barea),2,77-80,,
10:44.0,Personal foul by D. Harris (drawn by M. Ginobili),,77-80,,
10:30.0,,,77-82,2,P. Gasol makes 2-pt shot from 9 ft (assist by K. Anderson)
10:13.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,79-82,,
9:53.0,,,79-82,,M. Ginobili misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by D. Powell,,79-82,,
9:40.0,Shooting foul by B. Forbes (drawn by D. Powell),,79-82,,
9:40.0,D. Powell misses free throw 1 of 2,,79-82,,
9:40.0,Offensive rebound by Team,,79-82,,
9:40.0,,,79-82,,D. Green enters the game for M. Ginobili
9:40.0,D. Powell misses free throw 2 of 2,,79-82,,
9:36.0,,,79-82,,Defensive rebound by K. Anderson
9:23.0,,,79-82,,D. Murray misses 2-pt shot at rim
9:21.0,Defensive rebound by D. Powell,,79-82,,
9:05.0,J. Barea makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,82-82,,
8:42.0,,,82-82,,P. Gasol misses 2-pt shot from 17 ft
8:40.0,Defensive rebound by D. Powell,,82-82,,
8:25.0,Y. Ferrell misses 3-pt shot from 25 ft,,82-82,,
8:23.0,,,82-82,,Defensive rebound by P. Gasol
8:19.0,,,82-85,3,B. Forbes makes 3-pt shot from 27 ft (assist by D. Murray)
8:16.0,Dallas full timeout,,82-85,,
8:16.0,H. Barnes enters the game for Y. Ferrell,,82-85,,
8:16.0,D. Smith enters the game for D. Harris,,82-85,,
8:16.0,W. Matthews enters the game for D. Nowitzki,,82-85,,
7:57.0,J. Barea makes 2-pt shot from 4 ft (assist by D. Powell),2,84-85,,
7:43.0,,,84-85,,B. Forbes misses 3-pt shot from 25 ft
7:37.0,,,84-85,,Offensive rebound by P. Gasol
7:37.0,,,84-87,2,P. Gasol makes 2-pt shot at rim
7:27.0,D. Powell misses 3-pt shot from 24 ft,,84-87,,
7:24.0,,,84-87,,Defensive rebound by D. Murray
7:13.0,,,84-87,,K. Anderson misses 2-pt shot from 20 ft
7:09.0,Defensive rebound by H. Barnes,,84-87,,
6:59.0,D. Smith misses 3-pt shot from 24 ft,,84-87,,
6:56.0,Offensive rebound by J. Barea,,84-87,,
6:45.0,J. Barea misses 2-pt shot from 1 ft,,84-87,,
6:42.0,,,84-87,,Defensive rebound by D. Murray
6:31.0,,,84-89,2,K. Anderson makes 2-pt shot from 1 ft (assist by D. Green)
6:31.0,,,84-89,,Shooting foul by J. Barea (drawn by K. Anderson)
6:31.0,,,84-89,,L. Aldridge enters the game for D. Murray
6:31.0,,,84-89,,P. Mills enters the game for P. Gasol
6:31.0,D. Harris enters the game for J. Barea,,84-89,,
6:31.0,S. Mejri enters the game for D. Powell,,84-89,,
6:31.0,,,84-89,,K. Anderson misses free throw 1 of 1
6:28.0,Defensive rebound by S. Mejri,,84-89,,
6:07.0,W. Matthews makes 2-pt shot from 7 ft,2,86-89,,
5:52.0,,,86-89,,P. Mills misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by W. Matthews,,86-89,,
5:43.0,D. Smith makes 2-pt shot from 1 ft (assist by W. Matthews),2,88-89,,
5:31.0,,,88-89,,L. Aldridge misses 2-pt shot from 19 ft
5:28.0,Defensive rebound by H. Barnes,,88-89,,
5:18.0,W. Matthews misses 3-pt shot from 24 ft,,88-89,,
5:14.0,,,88-89,,Defensive rebound by P. Mills
5:05.0,,,88-92,3,B. Forbes makes 3-pt shot from 25 ft (assist by P. Mills)
4:43.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Smith),3,91-92,,
4:39.0,,,91-92,,San Antonio full timeout
4:39.0,,,91-92,,P. Gasol enters the game for B. Forbes
4:21.0,,,91-94,2,L. Aldridge makes 2-pt shot from 11 ft
4:10.0,D. Smith misses 3-pt shot from 25 ft,,91-94,,
4:08.0,,,91-94,,Defensive rebound by D. Green
3:59.0,,,91-96,2,K. Anderson makes 2-pt shot from 11 ft
3:39.0,D. Harris misses 3-pt shot from 25 ft,,91-96,,
3:36.0,,,91-96,,Defensive rebound by K. Anderson
3:18.0,,,91-96,,Shooting foul by W. Matthews (drawn by P. Gasol)
3:18.0,,,91-97,1,P. Gasol makes free throw 1 of 2
3:18.0,J. Barea enters the game for D. Harris,,91-97,,
3:18.0,D. Nowitzki enters the game for S. Mejri,,91-97,,
3:18.0,,,91-98,1,P. Gasol makes free throw 2 of 2
2:59.0,Turnover by W. Matthews (bad pass; steal by K. Anderson),,91-98,,
2:56.0,,,91-100,2,P. Mills makes 2-pt shot at rim (assist by K. Anderson)
2:56.0,Dallas full timeout,,91-100,,
2:40.0,H. Barnes misses 2-pt shot from 10 ft,,91-100,,
2:37.0,,,91-100,,Defensive rebound by K. Anderson
2:26.0,,,91-102,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Gasol)
2:10.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by J. Barea),2,93-102,,
2:10.0,Shooting foul by L. Aldridge (drawn by D. Nowitzki),,93-102,,
2:10.0,D. Nowitzki makes free throw 1 of 1,1,94-102,,
1:56.0,,,94-102,,L. Aldridge misses 2-pt shot from 4 ft
1:54.0,Defensive rebound by H. Barnes,,94-102,,
1:47.0,Shooting foul by K. Anderson (drawn by H. Barnes),,94-102,,
1:47.0,H. Barnes makes free throw 1 of 2,1,95-102,,
1:47.0,H. Barnes makes free throw 2 of 2,1,96-102,,
1:37.0,Personal foul by H. Barnes (drawn by L. Aldridge),,96-102,,
1:30.0,,,96-105,3,P. Gasol makes 3-pt shot from 25 ft (assist by K. Anderson)
1:30.0,,,96-105,,Shooting foul by D. Nowitzki (drawn by P. Gasol)
1:30.0,,,96-106,1,P. Gasol makes free throw 1 of 1
1:22.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Smith),3,99-106,,
1:18.0,,,99-108,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills)
1:18.0,,,99-108,,Shooting foul by D. Nowitzki (drawn by L. Aldridge)
1:18.0,,,99-109,1,L. Aldridge makes free throw 1 of 1
1:12.0,D. Smith makes 2-pt shot at rim,2,101-109,,
