time,Atlanta,pts.away,score,pts.home,Sacramento
6:56.0,Defensive rebound by D. Dedmon,,11-5,,
6:50.0,I. Taylor makes 2-pt shot from 3 ft,2,13-5,,
6:50.0,,,13-5,,Violation by W. Cauley-Stein (def goaltending)
6:50.0,,,13-5,,Sacramento full timeout
6:50.0,,,13-5,,K. Koufos enters the game for S. Labissiere
6:50.0,T. Dorsey enters the game for D. Lee,,13-5,,
6:32.0,,,13-7,2,B. Bogdanovic makes 2-pt shot from 13 ft
6:07.0,T. Waller-Prince misses 2-pt shot from 2 ft,,13-7,,
6:07.0,,,13-7,,Defensive rebound by Team
6:02.0,,,13-7,,Turnover by D. Fox (bad pass; steal by T. Waller-Prince)
5:58.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by I. Taylor),3,16-7,,
5:37.0,,,16-9,2,D. Fox makes 2-pt shot from 22 ft (assist by B. Bogdanovic)
5:30.0,,,16-9,,Personal foul by D. Fox (drawn by I. Taylor)
5:30.0,,,16-9,,F. Mason enters the game for D. Fox
5:30.0,J. Magette enters the game for D. Dedmon,,16-9,,
5:30.0,T. Cavanaugh enters the game for I. Taylor,,16-9,,
5:30.0,M. Plumlee enters the game for M. Muscala,,16-9,,
5:22.0,T. Dorsey makes 2-pt shot from 2 ft,2,18-9,,
5:02.0,,,18-11,2,B. Bogdanovic makes 2-pt shot from 11 ft (assist by K. Koufos)
4:49.0,M. Plumlee misses 2-pt shot from 3 ft (block by K. Koufos),,18-11,,
4:41.0,,,18-11,,Defensive rebound by K. Koufos
4:37.0,,,18-13,2,B. Bogdanovic makes 2-pt shot from 8 ft
4:24.0,T. Waller-Prince makes 2-pt shot from 5 ft (assist by J. Magette),2,20-13,,
4:03.0,,,20-16,3,J. Jackson makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
4:02.0,Atlanta full timeout,,20-16,,
4:02.0,,,20-16,,B. Hield enters the game for B. Bogdanovic
4:02.0,A. White enters the game for T. Waller-Prince,,20-16,,
3:44.0,Offensive foul by M. Plumlee (drawn by W. Cauley-Stein),,20-16,,
3:44.0,Turnover by M. Plumlee (offensive foul),,20-16,,
3:32.0,,,20-16,,Offensive foul by B. Hield (drawn by T. Dorsey)
3:32.0,,,20-16,,Turnover by B. Hield (offensive foul)
3:10.0,T. Dorsey misses 2-pt shot from 8 ft (block by K. Koufos),,20-16,,
3:08.0,,,20-16,,Defensive rebound by F. Mason
3:08.0,,,20-16,,Offensive charge foul by F. Mason (drawn by J. Magette)
3:08.0,,,20-16,,Turnover by F. Mason (offensive foul)
2:46.0,M. Plumlee makes 2-pt shot from 7 ft,2,22-16,,
2:36.0,Personal foul by J. Magette (drawn by F. Mason),,22-16,,
2:36.0,,,22-16,,S. Labissiere enters the game for W. Cauley-Stein
2:36.0,,,22-16,,V. Carter enters the game for J. Jackson
2:30.0,,,22-18,2,F. Mason makes 2-pt shot from 17 ft
2:16.0,Shooting foul by V. Carter (drawn by A. White),,22-18,,
2:16.0,A. White misses free throw 1 of 2,,22-18,,
2:16.0,Offensive rebound by Team,,22-18,,
2:16.0,A. White misses free throw 2 of 2,,22-18,,
2:11.0,,,22-18,,Defensive rebound by K. Koufos
1:56.0,,,22-18,,B. Hield misses 2-pt shot from 17 ft
1:53.0,Defensive rebound by A. White,,22-18,,
1:45.0,J. Magette makes 3-pt shot from 25 ft (assist by T. Cavanaugh),3,25-18,,
1:32.0,,,25-20,2,F. Mason makes 2-pt shot from 20 ft
1:16.0,M. Plumlee misses 2-pt shot from 3 ft (block by F. Mason),,25-20,,
1:16.0,Offensive rebound by Team,,25-20,,
1:10.0,T. Dorsey misses 2-pt shot from 22 ft,,25-20,,
1:07.0,,,25-20,,Defensive rebound by S. Labissiere
1:02.0,,,25-20,,S. Labissiere misses 2-pt shot from 8 ft
1:01.0,,,25-20,,Offensive rebound by Team
0:56.0,,,25-20,,F. Mason misses 2-pt shot from 19 ft
0:53.0,Defensive rebound by A. White,,25-20,,
0:43.0,T. Cavanaugh misses 3-pt shot from 24 ft,,25-20,,
0:40.0,,,25-20,,Defensive rebound by F. Mason
0:36.0,,,25-23,3,B. Hield makes 3-pt shot from 24 ft (assist by F. Mason)
0:26.0,T. Dorsey makes 3-pt shot from 24 ft (assist by J. Magette),3,28-23,,
0:07.0,Personal foul by T. Dorsey (drawn by K. Koufos),,28-23,,
0:02.0,,,28-25,2,S. Labissiere makes 2-pt shot from 15 ft (assist by F. Mason)
0:00.0,J. Magette misses 3-pt shot from 48 ft,,28-25,,
0:00.0,Offensive rebound by Team,,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,28-27,2,K. Koufos makes 2-pt shot from 9 ft (assist by B. Hield)
11:32.0,A. White misses 3-pt shot from 23 ft,,28-27,,
11:29.0,,,28-27,,Defensive rebound by F. Mason
11:17.0,,,28-27,,S. Labissiere misses 2-pt shot from 12 ft
11:13.0,Defensive rebound by M. Plumlee,,28-27,,
10:56.0,Turnover by M. Plumlee (lost ball; steal by K. Koufos),,28-27,,
10:51.0,,,28-27,,B. Hield misses 2-pt shot from 3 ft
10:49.0,,,28-27,,Offensive rebound by K. Koufos
10:46.0,,,28-30,3,V. Carter makes 3-pt shot from 26 ft (assist by K. Koufos)
10:29.0,A. White makes 3-pt shot from 22 ft (assist by I. Taylor),3,31-30,,
10:07.0,,,31-30,,V. Carter misses 3-pt shot from 26 ft
10:04.0,Defensive rebound by M. Plumlee,,31-30,,
10:02.0,,,31-30,,Personal foul by K. Koufos (drawn by T. Waller-Prince)
10:02.0,M. Muscala enters the game for M. Plumlee,,31-30,,
9:54.0,I. Taylor misses 3-pt shot from 25 ft,,31-30,,
9:51.0,,,31-30,,Defensive rebound by S. Labissiere
9:41.0,,,31-30,,Turnover by B. Hield (lost ball; steal by I. Taylor)
9:37.0,T. Waller-Prince misses 3-pt shot from 24 ft,,31-30,,
9:35.0,,,31-30,,Defensive rebound by V. Carter
9:29.0,,,31-30,,B. Hield misses 2-pt shot from 2 ft
9:27.0,Defensive rebound by T. Dorsey,,31-30,,
9:19.0,Atlanta full timeout,,31-30,,
9:19.0,D. Dedmon enters the game for T. Dorsey,,31-30,,
9:19.0,D. Lee enters the game for A. White,,31-30,,
9:09.0,M. Muscala makes 3-pt shot from 25 ft (assist by D. Lee),3,34-30,,
8:47.0,,,34-30,,S. Labissiere misses 2-pt shot from 8 ft
8:43.0,Defensive rebound by D. Dedmon,,34-30,,
8:27.0,M. Muscala misses 3-pt shot from 24 ft,,34-30,,
8:24.0,,,34-30,,Defensive rebound by S. Labissiere
8:17.0,,,34-30,,S. Labissiere misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by I. Taylor,,34-30,,
7:58.0,T. Waller-Prince misses 3-pt shot from 24 ft,,34-30,,
7:55.0,,,34-30,,Defensive rebound by S. Labissiere
7:49.0,,,34-33,3,S. Labissiere makes 3-pt shot from 25 ft (assist by F. Mason)
7:32.0,I. Taylor makes 2-pt shot from 3 ft,2,36-33,,
7:10.0,,,36-33,,S. Labissiere misses 2-pt shot from 2 ft (block by M. Muscala)
7:06.0,,,36-33,,Offensive rebound by S. Labissiere
7:05.0,,,36-35,2,S. Labissiere makes 2-pt shot from 2 ft
6:56.0,Shooting foul by B. Hield (drawn by D. Lee),,36-35,,
6:56.0,D. Lee makes free throw 1 of 2,1,37-35,,
6:56.0,,,37-35,,B. Caboclo enters the game for K. Koufos
6:56.0,D. Lee makes free throw 2 of 2,1,38-35,,
6:39.0,,,38-35,,S. Labissiere misses 2-pt shot from 1 ft
6:35.0,,,38-35,,Offensive rebound by V. Carter
6:34.0,,,38-37,2,B. Caboclo makes 2-pt shot from 10 ft (assist by V. Carter)
6:12.0,I. Taylor misses 2-pt shot from 13 ft,,38-37,,
6:08.0,,,38-37,,Defensive rebound by F. Mason
6:00.0,,,38-37,,S. Labissiere misses 2-pt shot from 17 ft
5:56.0,Defensive rebound by D. Dedmon,,38-37,,
5:52.0,D. Lee misses 2-pt shot from 5 ft,,38-37,,
5:49.0,,,38-37,,Defensive rebound by S. Labissiere
5:31.0,,,38-37,,S. Labissiere misses 2-pt shot from 7 ft
5:28.0,Defensive rebound by D. Dedmon,,38-37,,
5:11.0,D. Dedmon misses 2-pt shot from 11 ft,,38-37,,
5:09.0,Offensive rebound by Team,,38-37,,
5:09.0,J. Magette enters the game for T. Waller-Prince,,38-37,,
5:09.0,A. White enters the game for I. Taylor,,38-37,,
5:09.0,,,38-37,,D. Fox enters the game for B. Hield
5:02.0,D. Dedmon misses 2-pt shot from 10 ft,,38-37,,
5:00.0,,,38-37,,Defensive rebound by F. Mason
4:50.0,,,38-37,,D. Fox misses 3-pt shot from 24 ft
4:45.0,,,38-37,,Offensive rebound by S. Labissiere
4:38.0,,,38-39,2,F. Mason makes 2-pt shot from 8 ft
4:15.0,M. Muscala misses 3-pt shot from 25 ft,,38-39,,
4:12.0,,,38-39,,Defensive rebound by D. Fox
4:02.0,,,38-39,,F. Mason misses 2-pt shot from 10 ft
4:00.0,Defensive rebound by Team,,38-39,,
4:00.0,T. Dorsey enters the game for D. Lee,,38-39,,
4:00.0,M. Plumlee enters the game for D. Dedmon,,38-39,,
3:49.0,,,38-39,,J. Jackson enters the game for S. Labissiere
3:49.0,T. Cavanaugh enters the game for M. Muscala,,38-39,,
3:36.0,Turnover by Team (shot clock),,38-39,,
3:36.0,,,38-39,,Sacramento full timeout
3:36.0,,,38-39,,B. Bogdanovic enters the game for F. Mason
3:25.0,,,38-41,2,B. Bogdanovic makes 2-pt shot from 15 ft
3:08.0,T. Cavanaugh misses 2-pt shot from 1 ft (block by V. Carter),,38-41,,
3:05.0,,,38-41,,Defensive rebound by D. Fox
3:03.0,,,38-41,,D. Fox misses 2-pt shot from 2 ft
3:01.0,Defensive rebound by A. White,,38-41,,
2:52.0,T. Dorsey misses 3-pt shot from 27 ft,,38-41,,
2:46.0,,,38-41,,Defensive rebound by B. Caboclo
2:35.0,,,38-41,,B. Caboclo misses 2-pt shot from 14 ft
2:31.0,Defensive rebound by J. Magette,,38-41,,
2:09.0,M. Plumlee misses 2-pt shot from 2 ft (block by B. Caboclo),,38-41,,
2:09.0,Offensive rebound by Team,,38-41,,
2:09.0,Turnover by Team (shot clock),,38-41,,
2:09.0,,,38-41,,K. Koufos enters the game for V. Carter
1:56.0,,,38-41,,B. Caboclo misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by J. Magette,,38-41,,
1:45.0,Turnover by J. Magette (bad pass; steal by K. Koufos),,38-41,,
1:43.0,,,38-43,2,J. Jackson makes 2-pt shot from 9 ft
1:43.0,,,38-43,,Shooting foul by T. Dorsey (drawn by J. Jackson)
1:43.0,,,38-44,1,J. Jackson makes free throw 1 of 1
1:34.0,,,38-44,,Personal foul by B. Caboclo (drawn by T. Dorsey)
1:20.0,T. Dorsey makes 3-pt shot from 24 ft,3,41-44,,
1:04.0,,,41-44,,D. Fox misses 2-pt shot from 3 ft
1:02.0,Defensive rebound by M. Plumlee,,41-44,,
0:49.0,T. Dorsey misses 3-pt shot from 25 ft,,41-44,,
0:45.0,,,41-44,,Defensive rebound by B. Bogdanovic
0:43.0,,,41-46,2,K. Koufos makes 2-pt shot from 1 ft (assist by D. Fox)
0:30.0,A. White misses 3-pt shot from 22 ft,,41-46,,
0:27.0,,,41-46,,Defensive rebound by B. Bogdanovic
0:07.0,,,41-49,3,B. Caboclo makes 3-pt shot from 23 ft (assist by D. Fox)
0:00.0,T. Cavanaugh makes 3-pt shot from 24 ft (assist by T. Dorsey),3,44-49,,
0:00.0,,,44-49,,B. Bogdanovic misses 3-pt shot from 64 ft
0:00.0,,,44-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,44-49,,D. Fox misses 2-pt shot from 19 ft
11:44.0,Defensive rebound by M. Muscala,,44-49,,
11:33.0,M. Muscala makes 2-pt shot from 2 ft (assist by T. Waller-Prince),2,46-49,,
11:20.0,,,46-51,2,J. Jackson makes 2-pt shot from 18 ft (assist by W. Cauley-Stein)
11:02.0,D. Lee misses 2-pt shot from 9 ft,,46-51,,
11:00.0,,,46-51,,Defensive rebound by Team
10:50.0,,,46-51,,D. Fox misses 2-pt shot from 10 ft
10:47.0,Defensive rebound by M. Muscala,,46-51,,
10:41.0,D. Lee makes 2-pt shot from 7 ft,2,48-51,,
10:31.0,,,48-51,,Turnover by B. Bogdanovic (bad pass; steal by D. Lee)
10:27.0,Shooting foul by D. Fox (drawn by I. Taylor),,48-51,,
10:27.0,I. Taylor misses free throw 1 of 2,,48-51,,
10:27.0,Offensive rebound by Team,,48-51,,
10:27.0,I. Taylor makes free throw 2 of 2,1,49-51,,
10:17.0,,,49-51,,Shooting foul by D. Lee (drawn by B. Bogdanovic)
10:17.0,,,49-52,1,B. Bogdanovic makes free throw 1 of 2
10:17.0,,,49-53,1,B. Bogdanovic makes free throw 2 of 2
10:03.0,D. Lee misses 2-pt shot from 9 ft,,49-53,,
10:02.0,Offensive rebound by D. Dedmon,,49-53,,
10:02.0,Shooting foul by D. Fox (drawn by D. Dedmon),,49-53,,
10:02.0,D. Dedmon makes free throw 1 of 2,1,50-53,,
10:02.0,D. Dedmon makes free throw 2 of 2,1,51-53,,
9:45.0,,,51-55,2,W. Cauley-Stein makes 2-pt shot from 6 ft
9:32.0,D. Dedmon misses 3-pt shot from 24 ft,,51-55,,
9:29.0,,,51-55,,Defensive rebound by S. Labissiere
9:27.0,,,51-55,,Turnover by S. Labissiere (lost ball; steal by D. Lee)
9:21.0,D. Dedmon makes 3-pt shot from 24 ft (assist by I. Taylor),3,54-55,,
9:07.0,Def 3 sec tech foul by D. Dedmon,,54-55,,
9:07.0,,,54-56,1,B. Bogdanovic makes technical free throw
8:57.0,,,54-59,3,J. Jackson makes 3-pt shot from 24 ft (assist by D. Fox)
8:48.0,M. Muscala makes 3-pt shot from 22 ft (assist by T. Waller-Prince),3,57-59,,
8:33.0,,,57-59,,D. Fox misses 2-pt shot from 6 ft
8:31.0,Defensive rebound by D. Dedmon,,57-59,,
8:27.0,I. Taylor makes 2-pt shot from 1 ft,2,59-59,,
8:06.0,,,59-62,3,J. Jackson makes 3-pt shot from 23 ft (assist by S. Labissiere)
7:44.0,T. Waller-Prince misses 2-pt shot from 1 ft (block by S. Labissiere),,59-62,,
7:42.0,,,59-62,,Defensive rebound by D. Fox
7:37.0,,,59-62,,Turnover by B. Bogdanovic (bad pass; steal by D. Lee)
7:33.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by D. Lee),2,61-62,,
7:33.0,,,61-62,,Sacramento full timeout
7:24.0,,,61-62,,Turnover by S. Labissiere (turnover)
7:06.0,M. Muscala misses 2-pt shot from 8 ft,,61-62,,
7:02.0,,,61-62,,Defensive rebound by D. Fox
6:55.0,,,61-62,,D. Fox misses 2-pt shot from 7 ft
6:50.0,,,61-62,,Offensive rebound by S. Labissiere
6:50.0,,,61-64,2,S. Labissiere makes 2-pt shot at rim
6:41.0,D. Dedmon makes 2-pt shot from 18 ft (assist by T. Waller-Prince),2,63-64,,
6:30.0,,,63-64,,W. Cauley-Stein misses 2-pt shot from 10 ft (block by D. Dedmon)
6:26.0,Defensive rebound by M. Muscala,,63-64,,
6:18.0,Turnover by D. Lee (bad pass),,63-64,,
6:18.0,,,63-64,,K. Koufos enters the game for S. Labissiere
6:18.0,T. Cavanaugh enters the game for M. Muscala,,63-64,,
6:03.0,,,63-64,,W. Cauley-Stein misses 2-pt shot from 18 ft
6:00.0,Defensive rebound by T. Waller-Prince,,63-64,,
5:48.0,D. Lee makes 2-pt shot from 18 ft,2,65-64,,
5:35.0,,,65-64,,D. Fox misses 2-pt shot from 13 ft
5:31.0,Defensive rebound by I. Taylor,,65-64,,
5:28.0,Turnover by I. Taylor (palming),,65-64,,
5:28.0,,,65-64,,B. Hield enters the game for B. Bogdanovic
5:28.0,J. Magette enters the game for D. Lee,,65-64,,
5:28.0,T. Dorsey enters the game for I. Taylor,,65-64,,
5:18.0,Violation by D. Dedmon (kicked ball),,65-64,,
5:18.0,M. Plumlee enters the game for D. Dedmon,,65-64,,
5:12.0,,,65-64,,W. Cauley-Stein misses 2-pt shot from 18 ft
5:06.0,Defensive rebound by T. Waller-Prince,,65-64,,
4:49.0,T. Waller-Prince misses 2-pt shot from 7 ft,,65-64,,
4:47.0,,,65-64,,Defensive rebound by W. Cauley-Stein
4:31.0,,,65-64,,D. Fox misses 2-pt shot from 4 ft
4:28.0,Defensive rebound by T. Waller-Prince,,65-64,,
4:25.0,T. Cavanaugh misses 3-pt shot from 24 ft,,65-64,,
4:16.0,,,65-64,,Defensive rebound by J. Jackson
4:07.0,,,65-66,2,K. Koufos makes 2-pt shot from 9 ft (assist by D. Fox)
3:56.0,Atlanta full timeout,,65-66,,
3:56.0,,,65-66,,F. Mason enters the game for D. Fox
3:56.0,A. White enters the game for T. Waller-Prince,,65-66,,
3:47.0,T. Cavanaugh misses 3-pt shot from 23 ft,,65-66,,
3:43.0,Offensive rebound by T. Cavanaugh,,65-66,,
3:41.0,Turnover by M. Plumlee (bad pass),,65-66,,
3:28.0,,,65-68,2,K. Koufos makes 2-pt shot from 6 ft (assist by W. Cauley-Stein)
3:11.0,J. Magette misses 2-pt shot from 10 ft,,65-68,,
3:07.0,,,65-68,,Defensive rebound by W. Cauley-Stein
3:01.0,,,65-68,,F. Mason misses 2-pt shot from 16 ft
2:58.0,Defensive rebound by T. Dorsey,,65-68,,
2:53.0,T. Cavanaugh misses 3-pt shot from 22 ft,,65-68,,
2:49.0,,,65-68,,Defensive rebound by W. Cauley-Stein
2:43.0,,,65-68,,B. Hield misses 2-pt shot from 1 ft
2:39.0,Defensive rebound by A. White,,65-68,,
2:31.0,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Magette),2,67-68,,
2:13.0,,,67-70,2,J. Jackson makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
2:13.0,,,67-70,,Shooting foul by A. White (drawn by J. Jackson)
2:13.0,,,67-70,,S. Labissiere enters the game for W. Cauley-Stein
2:13.0,,,67-71,1,J. Jackson makes free throw 1 of 1
1:56.0,T. Cavanaugh misses 2-pt shot from 10 ft (block by S. Labissiere),,67-71,,
1:56.0,,,67-71,,Defensive rebound by K. Koufos
1:50.0,,,67-71,,Shooting foul by T. Cavanaugh (drawn by F. Mason)
1:50.0,,,67-72,1,F. Mason makes free throw 1 of 2
1:50.0,,,67-72,,V. Carter enters the game for J. Jackson
1:50.0,,,67-73,1,F. Mason makes free throw 2 of 2
1:37.0,Turnover by T. Dorsey (lost ball; steal by K. Koufos),,67-73,,
1:31.0,,,67-76,3,B. Hield makes 3-pt shot from 24 ft (assist by S. Labissiere)
1:19.0,J. Magette makes 2-pt shot from 15 ft,2,69-76,,
1:06.0,,,69-78,2,K. Koufos makes 2-pt shot from 8 ft (assist by F. Mason)
0:55.0,T. Cavanaugh misses 2-pt shot from 2 ft (block by K. Koufos),,69-78,,
0:55.0,Offensive rebound by Team,,69-78,,
0:46.0,,,69-78,,Personal foul by B. Hield (drawn by T. Dorsey)
0:35.0,Turnover by A. White (lost ball; steal by B. Hield),,69-78,,
0:32.0,,,69-80,2,F. Mason makes 2-pt shot from 1 ft (assist by B. Hield)
0:13.0,J. Magette misses 2-pt shot from 16 ft,,69-80,,
0:09.0,Offensive rebound by T. Cavanaugh,,69-80,,
0:09.0,T. Cavanaugh makes 2-pt shot at rim,2,71-80,,
0:02.0,,,71-80,,F. Mason misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by T. Dorsey,,71-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,D. Dedmon misses 3-pt shot from 23 ft,,71-80,,
11:32.0,,,71-80,,Defensive rebound by K. Koufos
11:17.0,Personal foul by I. Taylor (drawn by F. Mason),,71-80,,
11:09.0,,,71-80,,B. Hield misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by I. Taylor,,71-80,,
10:56.0,T. Dorsey makes 3-pt shot from 22 ft (assist by A. White),3,74-80,,
10:45.0,,,74-80,,K. Koufos misses 2-pt shot from 8 ft
10:44.0,,,74-80,,Offensive rebound by Team
10:44.0,M. Muscala enters the game for M. Plumlee,,74-80,,
10:41.0,,,74-82,2,B. Hield makes 2-pt shot from 5 ft (assist by V. Carter)
10:27.0,I. Taylor makes 2-pt shot at rim,2,76-82,,
10:18.0,,,76-82,,Offensive foul by F. Mason (drawn by I. Taylor)
10:18.0,,,76-82,,Turnover by F. Mason (offensive foul)
10:18.0,D. Lee enters the game for T. Dorsey,,76-82,,
10:03.0,D. Lee misses 3-pt shot from 25 ft,,76-82,,
9:59.0,,,76-82,,Defensive rebound by K. Koufos
9:48.0,,,76-84,2,B. Hield makes 2-pt shot from 11 ft (assist by F. Mason)
9:37.0,Turnover by M. Muscala (lost ball; steal by F. Mason),,76-84,,
9:32.0,,,76-86,2,F. Mason makes 2-pt shot at rim
9:07.0,D. Dedmon misses 2-pt shot from 9 ft,,76-86,,
9:04.0,Offensive rebound by D. Lee,,76-86,,
9:04.0,D. Lee makes 2-pt shot from 2 ft,2,78-86,,
9:04.0,Shooting foul by S. Labissiere (drawn by D. Lee),,78-86,,
9:04.0,D. Lee makes free throw 1 of 1,1,79-86,,
8:44.0,,,79-88,2,B. Hield makes 2-pt shot from 18 ft (assist by S. Labissiere)
8:16.0,I. Taylor makes 2-pt shot from 3 ft,2,81-88,,
8:02.0,,,81-88,,F. Mason misses 3-pt shot from 24 ft
7:57.0,,,81-88,,Offensive rebound by B. Hield
7:57.0,,,81-88,,Sacramento full timeout
7:50.0,,,81-88,,B. Hield misses 3-pt shot from 23 ft
7:46.0,,,81-88,,Offensive rebound by F. Mason
7:30.0,,,81-91,3,V. Carter makes 3-pt shot from 24 ft (assist by F. Mason)
7:14.0,Turnover by D. Dedmon (bad pass; steal by K. Koufos),,81-91,,
6:59.0,,,81-91,,B. Hield misses 2-pt shot from 12 ft
6:50.0,,,81-91,,Offensive rebound by K. Koufos
6:44.0,,,81-91,,K. Koufos misses 2-pt shot from 10 ft
6:44.0,Defensive rebound by D. Dedmon,,81-91,,
6:35.0,M. Muscala misses 3-pt shot from 22 ft,,81-91,,
6:32.0,,,81-91,,Defensive rebound by S. Labissiere
6:15.0,,,81-93,2,K. Koufos makes 2-pt shot from 10 ft (assist by F. Mason)
6:00.0,Shooting foul by K. Koufos (drawn by I. Taylor),,81-93,,
6:00.0,I. Taylor makes free throw 1 of 2,1,82-93,,
6:00.0,,,82-93,,B. Caboclo enters the game for S. Labissiere
6:00.0,T. Dorsey enters the game for A. White,,82-93,,
6:00.0,J. Magette enters the game for D. Lee,,82-93,,
6:00.0,I. Taylor makes free throw 2 of 2,1,83-93,,
5:40.0,,,83-93,,Turnover by F. Mason (bad pass; steal by D. Dedmon)
5:33.0,Shooting foul by K. Koufos (drawn by D. Dedmon),,83-93,,
5:33.0,D. Dedmon misses free throw 1 of 2,,83-93,,
5:33.0,Offensive rebound by Team,,83-93,,
5:33.0,D. Lee enters the game for I. Taylor,,83-93,,
5:33.0,T. Cavanaugh enters the game for M. Muscala,,83-93,,
5:33.0,D. Dedmon makes free throw 2 of 2,1,84-93,,
5:19.0,,,84-93,,B. Hield misses 2-pt shot from 15 ft
5:15.0,,,84-93,,Offensive rebound by K. Koufos
5:11.0,,,84-95,2,F. Mason makes 2-pt shot from 4 ft
4:55.0,T. Dorsey misses 2-pt shot from 7 ft (block by K. Koufos),,84-95,,
4:54.0,Offensive rebound by Team,,84-95,,
4:54.0,D. Dedmon makes 2-pt shot from 5 ft (assist by D. Lee),2,86-95,,
4:54.0,Shooting foul by K. Koufos (drawn by D. Dedmon),,86-95,,
4:54.0,D. Dedmon makes free throw 1 of 1,1,87-95,,
4:39.0,,,87-95,,V. Carter misses 2-pt shot from 22 ft
4:36.0,Defensive rebound by D. Dedmon,,87-95,,
4:26.0,Turnover by D. Lee (lost ball; steal by B. Hield),,87-95,,
4:23.0,,,87-97,2,B. Hield makes 2-pt shot at rim (assist by F. Mason)
4:23.0,Atlanta full timeout,,87-97,,
4:23.0,M. Plumlee enters the game for D. Dedmon,,87-97,,
4:23.0,A. White enters the game for D. Lee,,87-97,,
4:12.0,T. Dorsey misses 2-pt shot from 20 ft,,87-97,,
4:09.0,,,87-97,,Defensive rebound by K. Koufos
3:52.0,,,87-97,,B. Caboclo misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by J. Magette,,87-97,,
3:42.0,A. White makes 3-pt shot from 22 ft (assist by T. Dorsey),3,90-97,,
3:21.0,,,90-99,2,V. Carter makes 2-pt shot from 5 ft
3:09.0,T. Cavanaugh misses 2-pt shot from 10 ft,,90-99,,
