time,Denver,pts.away,score,pts.home,Philadelphia
9:15.0,Offensive rebound by P. Millsap,,11-6,,
9:15.0,Turnover by Team (shot clock),,11-6,,
8:57.0,,,11-6,,J. Embiid misses 2-pt shot from 3 ft
8:55.0,Defensive rebound by P. Millsap,,11-6,,
8:45.0,W. Barton misses 2-pt shot from 1 ft,,11-6,,
8:43.0,Offensive rebound by N. Jokic,,11-6,,
8:41.0,N. Jokic misses 2-pt shot from 4 ft,,11-6,,
8:37.0,Offensive rebound by N. Jokic,,11-6,,
8:37.0,N. Jokic misses 2-pt shot at rim,,11-6,,
8:37.0,Offensive rebound by W. Chandler,,11-6,,
8:35.0,Turnover by P. Millsap (bad pass),,11-6,,
8:22.0,,,11-6,,Turnover by R. Covington (bad pass; steal by N. Jokic)
8:17.0,J. Murray makes 2-pt shot at rim,2,13-6,,
8:03.0,Personal foul by W. Chandler (drawn by B. Simmons),,13-6,,
8:03.0,,,13-6,,M. Belinelli enters the game for R. Covington
8:03.0,,,13-6,,T. McConnell enters the game for J. Redick
7:49.0,,,13-6,,B. Simmons misses 2-pt shot from 8 ft
7:48.0,Defensive rebound by N. Jokic,,13-6,,
7:37.0,W. Chandler misses 3-pt shot from 22 ft,,13-6,,
7:34.0,,,13-6,,Defensive rebound by J. Embiid
7:29.0,,,13-8,2,D. Saric makes 2-pt shot from 15 ft (assist by T. McConnell)
7:04.0,W. Barton misses 2-pt shot from 20 ft,,13-8,,
7:03.0,Offensive rebound by Team,,13-8,,
7:03.0,Turnover by Team (shot clock),,13-8,,
7:03.0,,,13-8,,A. Johnson enters the game for J. Embiid
6:55.0,,,13-10,2,D. Saric makes 2-pt shot from 18 ft (assist by B. Simmons)
6:27.0,J. Murray misses 3-pt shot from 25 ft,,13-10,,
6:26.0,,,13-10,,Defensive rebound by B. Simmons
6:19.0,,,13-13,3,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell)
6:18.0,Denver full timeout,,13-13,,
5:54.0,N. Jokic makes 2-pt shot from 7 ft (assist by J. Murray),2,15-13,,
5:33.0,,,15-15,2,T. McConnell makes 2-pt shot from 2 ft (assist by B. Simmons)
5:20.0,D. Harris enters the game for J. Murray,,15-15,,
5:12.0,N. Jokic misses 2-pt shot from 17 ft,,15-15,,
5:08.0,,,15-15,,Defensive rebound by D. Saric
4:53.0,,,15-15,,Turnover by T. McConnell (traveling)
4:37.0,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic),2,17-15,,
4:28.0,,,17-15,,D. Saric misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by W. Chandler,,17-15,,
4:09.0,W. Barton makes 3-pt shot from 28 ft (assist by N. Jokic),3,20-15,,
3:50.0,,,20-15,,A. Johnson misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by W. Chandler,,20-15,,
3:41.0,N. Jokic misses 2-pt shot from 21 ft,,20-15,,
3:39.0,,,20-15,,Defensive rebound by M. Belinelli
3:33.0,,,20-15,,D. Saric misses 3-pt shot from 22 ft
3:30.0,Defensive rebound by N. Jokic,,20-15,,
3:27.0,Turnover by N. Jokic (lost ball; steal by T. McConnell),,20-15,,
3:20.0,,,20-15,,Turnover by T. McConnell (bad pass; steal by W. Chandler)
3:14.0,D. Harris makes 2-pt shot from 21 ft (assist by W. Chandler),2,22-15,,
2:54.0,,,22-15,,D. Saric misses 2-pt shot from 1 ft
2:54.0,,,22-15,,Offensive rebound by Team
2:54.0,,,22-15,,Turnover by D. Saric (traveling)
2:54.0,,,22-15,,M. Fultz enters the game for A. Johnson
2:54.0,,,22-15,,J. Redick enters the game for D. Saric
2:54.0,,,22-15,,R. Covington enters the game for T. McConnell
2:54.0,,,22-15,,E. Ilyasova enters the game for M. Belinelli
2:54.0,,,22-15,,J. Embiid enters the game for B. Simmons
2:54.0,T. Lyles enters the game for P. Millsap,,22-15,,
2:54.0,M. Plumlee enters the game for W. Barton,,22-15,,
2:54.0,J. Murray enters the game for N. Jokic,,22-15,,
2:44.0,W. Chandler misses 3-pt shot from 27 ft,,22-15,,
2:40.0,,,22-15,,Defensive rebound by E. Ilyasova
2:33.0,,,22-15,,Turnover by M. Fultz (lost ball; steal by J. Murray)
2:27.0,T. Lyles misses 3-pt shot from 26 ft,,22-15,,
2:24.0,,,22-15,,Defensive rebound by J. Embiid
2:11.0,Violation by W. Chandler (kicked ball),,22-15,,
2:11.0,T. Craig enters the game for W. Chandler,,22-15,,
2:09.0,,,22-17,2,J. Redick makes 2-pt shot from 3 ft (assist by R. Covington)
1:59.0,,,22-17,,Personal foul by M. Fultz (drawn by M. Plumlee)
1:55.0,T. Lyles makes 2-pt shot from 1 ft (assist by M. Plumlee),2,24-17,,
1:41.0,,,24-19,2,M. Fultz makes 2-pt shot from 2 ft (assist by J. Embiid)
1:28.0,J. Murray makes 2-pt shot from 7 ft,2,26-19,,
1:17.0,,,26-19,,Shooting foul by D. Harris (drawn by J. Embiid)
1:17.0,,,26-20,1,J. Embiid makes free throw 1 of 2
1:17.0,,,26-21,1,J. Embiid makes free throw 2 of 2
1:01.0,J. Murray misses 2-pt shot from 1 ft (block by E. Ilyasova),,26-21,,
0:58.0,,,26-21,,Defensive rebound by R. Covington
0:55.0,,,26-23,2,E. Ilyasova makes 2-pt shot from 13 ft (assist by M. Fultz)
0:44.0,Turnover by M. Plumlee (out of bounds lost ball),,26-23,,
0:35.0,,,26-23,,M. Fultz misses 2-pt shot from 10 ft
0:32.0,Defensive rebound by T. Craig,,26-23,,
0:27.0,Shooting foul by E. Ilyasova (drawn by D. Harris),,26-23,,
0:27.0,D. Harris makes free throw 1 of 2,1,27-23,,
0:27.0,D. Harris misses free throw 2 of 2,,27-23,,
0:26.0,,,27-23,,Defensive rebound by J. Embiid
0:03.0,,,27-23,,Turnover by J. Redick (turnover)
0:00.0,D. Harris misses 3-pt shot from 34 ft,,27-23,,
0:00.0,Offensive rebound by Team,,27-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,27-23,,Personal foul by J. Embiid (drawn by D. Harris)
11:35.0,J. Murray makes 3-pt shot from 26 ft,3,30-23,,
11:27.0,Personal foul by M. Plumlee (drawn by M. Fultz),,30-23,,
11:27.0,W. Barton enters the game for D. Harris,,30-23,,
11:17.0,,,30-23,,J. Redick misses 2-pt shot from 18 ft
11:14.0,Defensive rebound by T. Craig,,30-23,,
11:03.0,Turnover by M. Plumlee (lost ball; steal by R. Covington),,30-23,,
10:56.0,,,30-26,3,R. Covington makes 3-pt shot from 26 ft (assist by M. Fultz)
10:32.0,Turnover by J. Murray (traveling),,30-26,,
10:20.0,,,30-29,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Fultz)
10:20.0,,,30-29,,Shooting foul by T. Craig (drawn by R. Covington)
10:20.0,,,30-30,1,R. Covington makes free throw 1 of 1
10:10.0,T. Lyles makes 2-pt shot at rim (assist by M. Plumlee),2,32-30,,
9:52.0,,,32-30,,M. Fultz misses 2-pt shot from 12 ft (block by M. Plumlee)
9:49.0,,,32-30,,Offensive rebound by M. Fultz
9:45.0,,,32-30,,M. Fultz misses 2-pt shot from 5 ft (block by J. Murray)
9:42.0,Defensive rebound by T. Craig,,32-30,,
9:30.0,W. Barton makes 2-pt shot from 11 ft (assist by T. Craig),2,34-30,,
9:22.0,,,34-30,,Shooting foul by M. Plumlee (drawn by J. Embiid)
9:22.0,,,34-30,,B. Simmons enters the game for M. Fultz
9:22.0,,,34-30,,J. Embiid misses free throw 1 of 2
9:22.0,,,34-30,,Offensive rebound by Team
9:22.0,,,34-31,1,J. Embiid makes free throw 2 of 2
9:14.0,Offensive foul by M. Plumlee (drawn by E. Ilyasova),,34-31,,
9:14.0,Turnover by M. Plumlee (offensive foul),,34-31,,
9:14.0,N. Jokic enters the game for M. Plumlee,,34-31,,
8:53.0,,,34-33,2,J. Embiid makes 2-pt shot from 4 ft
8:39.0,Shooting foul by J. Embiid (drawn by N. Jokic),,34-33,,
8:39.0,N. Jokic makes free throw 1 of 2,1,35-33,,
8:39.0,,,35-33,,M. Belinelli enters the game for J. Redick
8:39.0,,,35-33,,D. Saric enters the game for E. Ilyasova
8:39.0,W. Chandler enters the game for J. Murray,,35-33,,
8:39.0,N. Jokic misses free throw 2 of 2,,35-33,,
8:37.0,,,35-33,,Defensive rebound by B. Simmons
8:26.0,,,35-33,,Shooting foul by T. Craig (drawn by J. Embiid)
8:26.0,,,35-33,,J. Embiid misses free throw 1 of 2
8:26.0,,,35-33,,Offensive rebound by Team
8:26.0,,,35-34,1,J. Embiid makes free throw 2 of 2
8:13.0,Turnover by W. Chandler (out of bounds lost ball),,35-34,,
8:03.0,,,35-34,,Turnover by M. Belinelli (bad pass; steal by T. Craig)
8:02.0,,,35-34,,Personal foul by M. Belinelli (drawn by T. Craig)
8:02.0,,,35-34,,A. Johnson enters the game for J. Embiid
8:02.0,P. Millsap enters the game for T. Lyles,,35-34,,
7:53.0,,,35-34,,Personal foul by M. Belinelli (drawn by T. Craig)
7:46.0,W. Barton misses 2-pt shot from 4 ft (block by R. Covington),,35-34,,
7:43.0,,,35-34,,Defensive rebound by M. Belinelli
7:29.0,,,35-34,,R. Covington misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by W. Chandler,,35-34,,
7:20.0,W. Barton misses 3-pt shot from 26 ft,,35-34,,
7:17.0,,,35-34,,Defensive rebound by D. Saric
7:15.0,,,35-34,,Turnover by D. Saric (bad pass)
7:02.0,,,35-34,,Personal foul by A. Johnson (drawn by N. Jokic)
7:02.0,N. Jokic makes free throw 1 of 2,1,36-34,,
7:02.0,N. Jokic makes free throw 2 of 2,1,37-34,,
6:56.0,,,37-37,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
6:41.0,Turnover by W. Barton (turnover),,37-37,,
6:41.0,,,37-37,,Philadelphia full timeout
6:31.0,,,37-37,,Turnover by D. Saric (lost ball; steal by P. Millsap)
6:21.0,T. Craig makes 2-pt shot from 2 ft (assist by W. Chandler),2,39-37,,
6:07.0,,,39-39,2,M. Belinelli makes 2-pt shot from 20 ft (assist by A. Johnson)
5:44.0,N. Jokic misses 2-pt shot from 5 ft,,39-39,,
5:44.0,Offensive rebound by Team,,39-39,,
5:44.0,J. Murray enters the game for T. Craig,,39-39,,
5:28.0,W. Barton makes 3-pt shot from 25 ft (assist by P. Millsap),3,42-39,,
5:21.0,,,42-39,,R. Covington misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by J. Murray,,42-39,,
5:14.0,W. Barton makes 3-pt shot from 24 ft (assist by J. Murray),3,45-39,,
4:58.0,,,45-39,,D. Saric misses 2-pt shot from 1 ft
4:57.0,Defensive rebound by P. Millsap,,45-39,,
4:55.0,Shooting foul by R. Covington (drawn by P. Millsap),,45-39,,
4:55.0,P. Millsap makes free throw 1 of 2,1,46-39,,
4:55.0,,,46-39,,J. Embiid enters the game for A. Johnson
4:55.0,,,46-39,,E. Ilyasova enters the game for D. Saric
4:55.0,P. Millsap makes free throw 2 of 2,1,47-39,,
4:41.0,,,47-39,,M. Belinelli misses 2-pt shot from 3 ft
4:39.0,Defensive rebound by P. Millsap,,47-39,,
4:36.0,Turnover by W. Barton (out of bounds lost ball),,47-39,,
4:23.0,,,47-41,2,J. Embiid makes 2-pt shot from 1 ft
4:04.0,P. Millsap makes 2-pt shot from 11 ft,2,49-41,,
3:54.0,,,49-44,3,M. Belinelli makes 3-pt shot from 26 ft (assist by E. Ilyasova)
3:33.0,P. Millsap misses 3-pt shot from 25 ft,,49-44,,
3:32.0,Offensive rebound by Team,,49-44,,
3:32.0,,,49-44,,Loose ball foul by M. Belinelli (drawn by N. Jokic)
3:32.0,N. Jokic makes free throw 1 of 2,1,50-44,,
3:32.0,,,50-44,,J. Redick enters the game for M. Belinelli
3:32.0,,,50-44,,T. McConnell enters the game for R. Covington
3:32.0,N. Jokic makes free throw 2 of 2,1,51-44,,
3:19.0,Personal foul by W. Barton (drawn by B. Simmons),,51-44,,
3:19.0,,,51-44,,B. Simmons misses free throw 1 of 2
3:19.0,,,51-44,,Offensive rebound by Team
3:19.0,,,51-45,1,B. Simmons makes free throw 2 of 2
3:01.0,P. Millsap makes 2-pt shot from 11 ft,2,53-45,,
2:36.0,,,53-45,,B. Simmons misses 2-pt shot from 12 ft
2:36.0,,,53-45,,Offensive rebound by Team
2:36.0,Loose ball foul by J. Murray (drawn by E. Ilyasova),,53-45,,
2:36.0,Denver full timeout,,53-45,,
2:36.0,,,53-45,,E. Ilyasova misses free throw 1 of 2
2:36.0,,,53-45,,Offensive rebound by Team
2:36.0,,,53-45,,E. Ilyasova misses free throw 2 of 2
2:34.0,Defensive rebound by W. Chandler,,53-45,,
2:11.0,J. Murray makes 2-pt shot from 12 ft (assist by W. Chandler),2,55-45,,
1:54.0,,,55-48,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by B. Simmons)
1:36.0,J. Murray misses 3-pt shot from 25 ft,,55-48,,
1:33.0,,,55-48,,Defensive rebound by T. McConnell
1:24.0,,,55-48,,J. Embiid misses 3-pt shot from 23 ft
1:22.0,Defensive rebound by W. Barton,,55-48,,
1:14.0,P. Millsap misses 2-pt shot from 4 ft (block by J. Embiid),,55-48,,
1:10.0,,,55-48,,Defensive rebound by J. Embiid
1:02.0,,,55-48,,Shooting foul by N. Jokic (drawn by J. Embiid)
1:02.0,,,55-49,1,J. Embiid makes free throw 1 of 2
1:02.0,,,55-50,1,J. Embiid makes free throw 2 of 2
0:53.0,Turnover by W. Barton (bad pass; steal by T. McConnell),,55-50,,
0:51.0,,,55-50,,Shooting foul by P. Millsap (drawn by T. McConnell)
0:51.0,,,55-51,1,T. McConnell makes free throw 1 of 2
0:51.0,T. Craig enters the game for N. Jokic,,55-51,,
0:51.0,,,55-51,,T. McConnell misses free throw 2 of 2
0:48.0,Defensive rebound by T. Craig,,55-51,,
0:36.0,P. Millsap makes 2-pt shot from 3 ft (assist by W. Chandler),2,57-51,,
0:36.0,Shooting foul by J. Redick (drawn by P. Millsap),,57-51,,
0:36.0,D. Harris enters the game for W. Barton,,57-51,,
0:36.0,P. Millsap misses free throw 1 of 1,,57-51,,
0:36.0,,,57-51,,Defensive rebound by J. Embiid
0:29.0,,,57-51,,J. Redick misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by W. Chandler,,57-51,,
0:04.0,J. Murray makes 2-pt shot from 19 ft,2,59-51,,
0:00.0,,,59-51,,T. McConnell misses 2-pt shot from 2 ft (block by J. Murray)
0:00.0,Defensive rebound by W. Chandler,,59-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:53.0,Offensive foul by W. Chandler (drawn by J. Redick),,59-51,,
11:53.0,Turnover by W. Chandler (offensive foul),,59-51,,
11:45.0,,,59-51,,B. Simmons misses 2-pt shot from 6 ft
11:40.0,,,59-51,,Offensive rebound by B. Simmons
11:39.0,,,59-51,,B. Simmons misses 2-pt shot from 1 ft
11:39.0,,,59-51,,Offensive rebound by B. Simmons
11:31.0,,,59-54,3,J. Redick makes 3-pt shot from 26 ft (assist by J. Embiid)
11:04.0,J. Murray makes 3-pt shot from 23 ft (assist by W. Chandler),3,62-54,,
10:46.0,,,62-56,2,J. Embiid makes 2-pt shot from 1 ft
10:36.0,J. Murray misses 3-pt shot from 27 ft,,62-56,,
10:34.0,Offensive rebound by N. Jokic,,62-56,,
10:31.0,Turnover by N. Jokic (lost ball; steal by J. Embiid),,62-56,,
10:28.0,,,62-59,3,J. Redick makes 3-pt shot from 26 ft (assist by D. Saric)
10:28.0,Denver full timeout,,62-59,,
10:17.0,N. Jokic makes 2-pt shot from 16 ft (assist by P. Millsap),2,64-59,,
10:04.0,,,64-59,,J. Redick misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by N. Jokic,,64-59,,
9:54.0,N. Jokic misses 3-pt shot from 26 ft,,64-59,,
9:51.0,,,64-59,,Defensive rebound by R. Covington
9:47.0,,,64-61,2,R. Covington makes 2-pt shot at rim (assist by D. Saric)
9:27.0,J. Murray misses 2-pt shot from 1 ft,,64-61,,
9:24.0,,,64-61,,Defensive rebound by J. Embiid
9:21.0,,,64-64,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
8:57.0,J. Murray misses 2-pt shot from 1 ft,,64-64,,
8:55.0,,,64-64,,Defensive rebound by J. Embiid
8:49.0,,,64-64,,Shooting foul by P. Millsap (drawn by J. Redick)
8:49.0,,,64-64,,J. Redick misses free throw 1 of 3
8:49.0,,,64-64,,Offensive rebound by Team
8:49.0,,,64-65,1,J. Redick makes free throw 2 of 3
8:49.0,,,64-66,1,J. Redick makes free throw 3 of 3
8:43.0,,,64-66,,Personal foul by J. Embiid (drawn by N. Jokic)
8:23.0,W. Chandler misses 2-pt shot from 4 ft,,64-66,,
8:21.0,,,64-66,,Defensive rebound by J. Embiid
8:17.0,,,64-68,2,D. Saric makes 2-pt shot from 2 ft (assist by B. Simmons)
8:17.0,,,64-68,,Shooting foul by N. Jokic (drawn by D. Saric)
8:17.0,,,64-69,1,D. Saric makes free throw 1 of 1
7:52.0,P. Millsap misses 2-pt shot from 11 ft (block by J. Embiid),,64-69,,
7:51.0,,,64-69,,Defensive rebound by D. Saric
7:44.0,,,64-71,2,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons)
7:43.0,Denver full timeout,,64-71,,
7:23.0,W. Barton misses 3-pt shot from 28 ft,,64-71,,
7:21.0,,,64-71,,Defensive rebound by Team
7:03.0,,,64-71,,J. Embiid misses 2-pt shot from 8 ft (block by N. Jokic)
7:02.0,,,64-71,,Offensive rebound by J. Embiid
7:02.0,,,64-71,,Offensive charge foul by J. Embiid (drawn by N. Jokic)
7:02.0,,,64-71,,Turnover by J. Embiid (offensive foul)
7:02.0,,,64-71,,A. Johnson enters the game for J. Embiid
6:47.0,J. Murray misses 3-pt shot from 25 ft,,64-71,,
6:43.0,Offensive rebound by P. Millsap,,64-71,,
6:40.0,,,64-71,,Personal foul by B. Simmons (drawn by J. Murray)
6:40.0,,,64-71,,M. Belinelli enters the game for J. Redick
6:22.0,N. Jokic misses 2-pt shot from 11 ft,,64-71,,
6:18.0,,,64-71,,Defensive rebound by B. Simmons
6:11.0,,,64-71,,R. Covington misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by W. Chandler,,64-71,,
5:56.0,W. Chandler makes 2-pt shot from 2 ft (assist by P. Millsap),2,66-71,,
5:55.0,,,66-71,,Philadelphia full timeout
5:55.0,,,66-71,,T. McConnell enters the game for R. Covington
5:41.0,,,66-73,2,M. Belinelli makes 2-pt shot from 11 ft (assist by B. Simmons)
5:14.0,P. Millsap makes 2-pt shot from 9 ft (assist by W. Barton),2,68-73,,
4:56.0,,,68-73,,D. Saric misses 3-pt shot from 26 ft
4:54.0,,,68-73,,Offensive rebound by B. Simmons
4:49.0,,,68-73,,M. Belinelli misses 3-pt shot from 30 ft
4:47.0,,,68-73,,Offensive rebound by Team
4:47.0,,,68-73,,Turnover by A. Johnson (offensive goaltending)
4:47.0,D. Harris enters the game for J. Murray,,68-73,,
4:37.0,P. Millsap makes 2-pt shot from 1 ft (assist by D. Harris),2,70-73,,
4:24.0,,,70-75,2,A. Johnson makes 2-pt shot from 2 ft (assist by B. Simmons)
4:10.0,Shooting foul by D. Saric (drawn by P. Millsap),,70-75,,
4:10.0,P. Millsap makes free throw 1 of 2,1,71-75,,
4:10.0,,,71-75,,E. Ilyasova enters the game for D. Saric
4:10.0,P. Millsap misses free throw 2 of 2,,71-75,,
4:08.0,,,71-75,,Defensive rebound by B. Simmons
3:57.0,,,71-75,,M. Belinelli misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by N. Jokic,,71-75,,
3:47.0,,,71-75,,Personal block foul by E. Ilyasova (drawn by P. Millsap)
3:42.0,D. Harris misses 3-pt shot from 26 ft,,71-75,,
3:37.0,,,71-75,,Defensive rebound by E. Ilyasova
3:33.0,,,71-75,,E. Ilyasova misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by P. Millsap,,71-75,,
3:21.0,,,71-75,,Personal foul by T. McConnell (drawn by P. Millsap)
3:21.0,P. Millsap misses free throw 1 of 2,,71-75,,
3:21.0,Offensive rebound by Team,,71-75,,
3:21.0,,,71-75,,D. Saric enters the game for A. Johnson
3:21.0,,,71-75,,R. Covington enters the game for T. McConnell
3:21.0,,,71-75,,M. Fultz enters the game for B. Simmons
3:21.0,P. Millsap makes free throw 2 of 2,1,72-75,,
3:01.0,,,72-75,,Shooting foul by N. Jokic (drawn by D. Saric)
3:01.0,,,72-76,1,D. Saric makes free throw 1 of 2
3:01.0,T. Craig enters the game for N. Jokic,,72-76,,
3:01.0,,,72-77,1,D. Saric makes free throw 2 of 2
2:47.0,Shooting foul by R. Covington (drawn by W. Chandler),,72-77,,
2:47.0,W. Chandler misses free throw 1 of 2,,72-77,,
2:47.0,Offensive rebound by Team,,72-77,,
2:47.0,J. Murray enters the game for W. Barton,,72-77,,
2:47.0,W. Chandler makes free throw 2 of 2,1,73-77,,
2:37.0,,,73-79,2,M. Belinelli makes 2-pt shot from 1 ft (assist by D. Saric)
2:22.0,,,73-79,,Personal foul by E. Ilyasova (drawn by P. Millsap)
2:22.0,P. Millsap makes free throw 1 of 2,1,74-79,,
2:22.0,P. Millsap misses free throw 2 of 2,,74-79,,
2:20.0,,,74-79,,Defensive rebound by E. Ilyasova
2:10.0,,,74-79,,M. Fultz misses 2-pt shot from 5 ft
2:05.0,,,74-79,,Offensive rebound by E. Ilyasova
2:05.0,,,74-79,,E. Ilyasova misses 2-pt shot at rim
2:02.0,Defensive rebound by P. Millsap,,74-79,,
1:58.0,W. Chandler misses 3-pt shot from 25 ft,,74-79,,
1:56.0,,,74-79,,Defensive rebound by M. Belinelli
1:52.0,,,74-81,2,M. Fultz makes 2-pt shot from 2 ft
1:33.0,P. Millsap misses 2-pt shot from 4 ft (block by E. Ilyasova),,74-81,,
1:31.0,,,74-81,,Defensive rebound by M. Belinelli
1:23.0,,,74-81,,M. Fultz misses 2-pt shot from 1 ft
1:19.0,,,74-81,,Offensive rebound by E. Ilyasova
1:19.0,,,74-83,2,E. Ilyasova makes 2-pt shot at rim
0:58.0,D. Harris misses 2-pt shot from 1 ft,,74-83,,
0:56.0,,,74-83,,Defensive rebound by D. Saric
0:36.0,,,74-85,2,M. Fultz makes 2-pt shot from 1 ft (assist by M. Belinelli)
0:27.0,P. Millsap misses 3-pt shot from 25 ft,,74-85,,
0:24.0,,,74-85,,Defensive rebound by D. Saric
0:01.0,,,74-85,,Turnover by Team (shot clock)
0:01.0,M. Plumlee enters the game for P. Millsap,,74-85,,
0:01.0,D. Harris misses 3-pt shot from 41 ft,,74-85,,
0:01.0,Offensive rebound by Team,,74-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,74-85,,Turnover by J. Embiid (bad pass; steal by J. Murray)
11:39.0,D. Harris misses 2-pt shot from 17 ft,,74-85,,
11:35.0,,,74-85,,Defensive rebound by J. Embiid
11:24.0,,,74-87,2,E. Ilyasova makes 2-pt shot from 13 ft (assist by M. Fultz)
11:08.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Harris),2,76-87,,
10:55.0,Personal foul by J. Murray (drawn by E. Ilyasova),,76-87,,
10:54.0,,,76-89,2,R. Covington makes 2-pt shot at rim (assist by J. Redick)
10:39.0,Turnover by D. Harris (traveling),,76-89,,
10:29.0,,,76-89,,J. Embiid misses 2-pt shot from 2 ft
10:26.0,,,76-89,,Offensive rebound by M. Fultz
10:25.0,,,76-89,,M. Fultz misses 2-pt shot from 1 ft (block by M. Plumlee)
10:25.0,Defensive rebound by Team,,76-89,,
10:21.0,W. Barton makes 2-pt shot from 7 ft,2,78-89,,
10:21.0,Shooting foul by R. Covington (drawn by W. Barton),,78-89,,
10:21.0,W. Barton makes free throw 1 of 1,1,79-89,,
10:10.0,,,79-89,,Turnover by J. Embiid (lost ball; steal by D. Harris)
10:05.0,J. Murray misses 2-pt shot from 1 ft (block by E. Ilyasova),,79-89,,
10:03.0,,,79-89,,Defensive rebound by J. Embiid
10:02.0,Personal foul by D. Harris (drawn by M. Fultz),,79-89,,
9:52.0,,,79-91,2,E. Ilyasova makes 2-pt shot from 3 ft (assist by M. Fultz)
9:39.0,J. Murray misses 2-pt shot from 3 ft,,79-91,,
9:38.0,Offensive rebound by T. Craig,,79-91,,
9:38.0,Shooting foul by J. Embiid (drawn by T. Craig),,79-91,,
9:38.0,T. Craig misses free throw 1 of 2,,79-91,,
9:38.0,Offensive rebound by Team,,79-91,,
9:38.0,,,79-91,,A. Johnson enters the game for J. Embiid
9:38.0,T. Craig misses free throw 2 of 2,,79-91,,
9:38.0,,,79-91,,Defensive rebound by R. Covington
9:24.0,,,79-94,3,J. Redick makes 3-pt shot from 26 ft (assist by M. Fultz)
9:13.0,W. Barton misses 3-pt shot from 25 ft,,79-94,,
9:11.0,Offensive rebound by Team,,79-94,,
9:11.0,,,79-94,,B. Simmons enters the game for M. Fultz
9:11.0,N. Jokic enters the game for T. Craig,,79-94,,
9:11.0,W. Chandler enters the game for M. Plumlee,,79-94,,
8:59.0,N. Jokic misses 2-pt shot from 11 ft,,79-94,,
8:56.0,,,79-94,,Defensive rebound by B. Simmons
8:53.0,,,79-96,2,B. Simmons makes 2-pt shot from 1 ft
8:51.0,Denver full timeout,,79-96,,
8:35.0,N. Jokic misses 2-pt shot from 14 ft (block by B. Simmons),,79-96,,
8:32.0,,,79-96,,Defensive rebound by R. Covington
8:26.0,,,79-96,,Turnover by B. Simmons (lost ball; steal by D. Harris)
