time,Boston,pts.away,score,pts.home,Memphis
2:39.0,,,42-33,,Memphis full timeout
2:39.0,,,42-33,,J. Martin enters the game for J. Green
2:39.0,,,42-33,,M. Gasol enters the game for T. Evans
2:39.0,,,42-33,,M. Chalmers enters the game for D. Davis
2:39.0,A. Horford enters the game for A. Baynes,,42-33,,
2:24.0,,,42-35,2,M. Gasol makes 2-pt shot from 19 ft
2:02.0,Turnover by J. Brown (bad pass),,42-35,,
1:51.0,,,42-37,2,M. Gasol makes 2-pt shot from 17 ft (assist by M. Chalmers)
1:38.0,K. Irving makes 3-pt shot from 25 ft,3,45-37,,
1:23.0,,,45-40,3,D. Brooks makes 3-pt shot from 23 ft (assist by M. Gasol)
1:04.0,K. Irving misses 3-pt shot from 27 ft,,45-40,,
1:00.0,Offensive rebound by J. Tatum,,45-40,,
0:50.0,A. Horford makes 3-pt shot from 26 ft (assist by K. Irving),3,48-40,,
0:30.0,,,48-40,,D. Brooks misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by A. Horford,,48-40,,
0:08.0,Turnover by K. Irving (lost ball; steal by J. Martin),,48-40,,
0:00.0,,,48-40,,M. Gasol misses 2-pt shot from 13 ft
0:00.0,,,48-40,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,48-40,,M. Gasol misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by J. Brown,,48-40,,
11:19.0,A. Horford misses 2-pt shot from 12 ft,,48-40,,
11:17.0,,,48-40,,Defensive rebound by M. Gasol
11:03.0,,,48-40,,D. Brooks misses 2-pt shot from 2 ft (block by J. Tatum)
11:00.0,,,48-40,,Offensive rebound by M. Gasol
10:58.0,,,48-43,3,J. Green makes 3-pt shot from 24 ft (assist by A. Harrison)
10:45.0,K. Irving misses 3-pt shot from 25 ft,,48-43,,
10:42.0,Offensive rebound by J. Tatum,,48-43,,
10:39.0,J. Tatum makes 2-pt shot from 20 ft,2,50-43,,
10:20.0,,,50-46,3,T. Evans makes 3-pt shot from 25 ft (assist by D. Brooks)
10:04.0,J. Brown misses 3-pt shot from 23 ft,,50-46,,
10:03.0,,,50-46,,Defensive rebound by M. Gasol
9:52.0,,,50-48,2,M. Gasol makes 2-pt shot from 9 ft (assist by T. Evans)
9:52.0,,,50-48,,Shooting foul by A. Baynes (drawn by M. Gasol)
9:52.0,M. Smart enters the game for J. Tatum,,50-48,,
9:52.0,,,50-49,1,M. Gasol makes free throw 1 of 1
9:31.0,M. Smart makes 3-pt shot from 23 ft (assist by A. Horford),3,53-49,,
9:14.0,,,53-51,2,A. Harrison makes 2-pt shot from 7 ft
8:52.0,K. Irving misses 2-pt shot from 18 ft,,53-51,,
8:50.0,,,53-51,,Defensive rebound by J. Green
8:45.0,Personal foul by K. Irving (drawn by A. Harrison),,53-51,,
8:27.0,,,53-51,,Turnover by Team (shot clock)
8:14.0,Turnover by J. Brown (bad pass; steal by T. Evans),,53-51,,
7:58.0,,,53-53,2,M. Gasol makes 2-pt shot from 19 ft (assist by A. Harrison)
7:39.0,A. Baynes makes 2-pt shot at rim (assist by K. Irving),2,55-53,,
7:29.0,Personal foul by K. Irving (drawn by A. Harrison),,55-53,,
7:16.0,,,55-55,2,M. Gasol makes 2-pt shot from 10 ft
7:05.0,K. Irving makes 3-pt shot from 25 ft,3,58-55,,
6:51.0,,,58-58,3,M. Gasol makes 3-pt shot from 26 ft (assist by A. Harrison)
6:31.0,,,58-58,,Personal foul by A. Harrison (drawn by K. Irving)
6:31.0,,,58-58,,Memphis full timeout
6:21.0,M. Smart makes 2-pt shot from 11 ft,2,60-58,,
6:01.0,,,60-60,2,J. Green makes 2-pt shot at rim
5:45.0,Shooting foul by J. Green (drawn by M. Smart),,60-60,,
5:45.0,M. Smart makes free throw 2 of 2,1,61-60,,
5:45.0,M. Smart makes free throw 1 of 2,1,62-60,,
5:45.0,,,62-60,,M. Chalmers enters the game for T. Evans
