time,New York,pts.away,score,pts.home,Philadelphia
2:23.0,,,56-59,1,M. Belinelli makes free throw 1 of 2
2:23.0,T. Hardaway enters the game for T. Williams,,56-59,,
2:23.0,,,56-60,1,M. Belinelli makes free throw 2 of 2
2:08.0,T. Hardaway makes 3-pt shot from 24 ft (assist by M. Beasley),3,59-60,,
2:00.0,,,59-60,,J. Redick misses 3-pt shot from 23 ft
1:56.0,Defensive rebound by E. Kanter,,59-60,,
1:49.0,Shooting foul by M. Belinelli (drawn by E. Mudiay),,59-60,,
1:49.0,,,59-60,,Technical foul by J. Redick
1:49.0,E. Mudiay misses technical free throw,,59-60,,
1:49.0,Offensive rebound by Team,,59-60,,
1:49.0,E. Mudiay makes free throw 1 of 2,1,60-60,,
1:49.0,,,60-60,,T. McConnell enters the game for M. Belinelli
1:49.0,E. Mudiay makes free throw 2 of 2,1,61-60,,
1:33.0,,,61-60,,Turnover by D. Saric (traveling)
1:24.0,E. Mudiay misses 2-pt shot from 14 ft,,61-60,,
1:22.0,,,61-60,,Defensive rebound by J. Redick
1:15.0,,,61-62,2,B. Simmons makes 2-pt shot from 3 ft
0:59.0,Turnover by L. Thomas (lost ball; steal by D. Saric),,61-62,,
0:57.0,,,61-64,2,B. Simmons makes 2-pt shot from 1 ft (assist by D. Saric)
0:34.0,Turnover by Team (shot clock),,61-64,,
0:28.0,Personal foul by L. Thomas (drawn by B. Simmons),,61-64,,
0:28.0,,,61-64,,B. Simmons misses free throw 1 of 2
0:28.0,,,61-64,,Offensive rebound by Team
0:28.0,L. Kornet enters the game for E. Kanter,,61-64,,
0:28.0,F. Ntilikina enters the game for L. Thomas,,61-64,,
0:28.0,,,61-64,,R. Holmes enters the game for D. Saric
0:28.0,,,61-64,,B. Simmons misses free throw 2 of 2
0:24.0,,,61-64,,Offensive rebound by E. Ilyasova
0:22.0,,,61-67,3,J. Redick makes 3-pt shot from 27 ft (assist by E. Ilyasova)
0:09.0,E. Mudiay misses 2-pt shot from 2 ft,,61-67,,
0:07.0,,,61-67,,Defensive rebound by E. Ilyasova
0:04.0,,,61-67,,E. Ilyasova misses 2-pt shot from 4 ft
0:03.0,Defensive rebound by Team,,61-67,,
0:03.0,,,61-67,,Loose ball foul by B. Simmons (drawn by M. Beasley)
0:03.0,M. Beasley makes free throw 1 of 2,1,62-67,,
0:03.0,T. Williams enters the game for F. Ntilikina,,62-67,,
0:03.0,M. Beasley misses free throw 2 of 2,,62-67,,
0:02.0,Offensive rebound by Team,,62-67,,
0:02.0,Shooting foul by E. Ilyasova (drawn by T. Hardaway),,62-67,,
0:02.0,T. Hardaway makes free throw 1 of 2,1,63-67,,
0:02.0,T. Hardaway misses free throw 2 of 2,,63-67,,
0:02.0,,,63-67,,Defensive rebound by J. Redick
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,63-69,2,B. Simmons makes 2-pt shot at rim (assist by D. Saric)
11:22.0,T. Burke makes 2-pt shot from 17 ft,2,65-69,,
11:05.0,,,65-71,2,R. Holmes makes 2-pt shot from 8 ft (assist by J. Redick)
10:46.0,M. Beasley makes 2-pt shot from 9 ft (assist by T. Burke),2,67-71,,
10:38.0,,,67-71,,R. Covington misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by E. Kanter,,67-71,,
10:29.0,T. Burke makes 2-pt shot from 16 ft,2,69-71,,
10:13.0,,,69-71,,R. Holmes misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by Team,,69-71,,
9:48.0,E. Kanter misses 2-pt shot from 2 ft,,69-71,,
9:46.0,Offensive rebound by E. Kanter,,69-71,,
9:44.0,Turnover by E. Kanter (lost ball; steal by R. Covington),,69-71,,
9:32.0,,,69-71,,D. Saric misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by T. Hardaway,,69-71,,
9:27.0,M. Beasley misses 2-pt shot from 1 ft,,69-71,,
9:27.0,,,69-71,,Defensive rebound by J. Redick
9:21.0,,,69-73,2,R. Covington makes 2-pt shot from 5 ft
9:21.0,,,69-73,,Shooting foul by T. Hardaway (drawn by R. Covington)
9:21.0,,,69-74,1,R. Covington makes free throw 1 of 1
9:09.0,L. Thomas misses 3-pt shot from 25 ft,,69-74,,
9:05.0,,,69-74,,Defensive rebound by R. Covington
8:58.0,,,69-74,,R. Covington misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by T. Burke,,69-74,,
8:50.0,T. Burke makes 3-pt shot from 23 ft (assist by T. Hardaway),3,72-74,,
8:33.0,,,72-74,,D. Saric misses 2-pt shot from 2 ft (block by M. Beasley)
8:33.0,Defensive rebound by Team,,72-74,,
8:22.0,M. Beasley misses 2-pt shot from 17 ft,,72-74,,
8:18.0,Offensive rebound by T. Hardaway,,72-74,,
8:17.0,T. Hardaway misses 3-pt shot from 25 ft,,72-74,,
8:14.0,Offensive rebound by T. Burke,,72-74,,
8:13.0,T. Burke misses 3-pt shot from 23 ft,,72-74,,
8:09.0,,,72-74,,Defensive rebound by D. Saric
8:07.0,,,72-74,,Shooting foul by E. Kanter (drawn by R. Holmes)
8:07.0,,,72-74,,R. Holmes misses free throw 1 of 2
8:07.0,,,72-74,,Offensive rebound by Team
8:07.0,,,72-75,1,R. Holmes makes free throw 2 of 2
7:53.0,T. Hardaway misses 2-pt shot from 9 ft,,72-75,,
7:51.0,,,72-75,,Defensive rebound by R. Holmes
7:46.0,,,72-75,,Shooting foul by E. Kanter (drawn by D. Saric)
7:46.0,,,72-76,1,D. Saric makes free throw 1 of 2
7:46.0,,,72-76,,M. Belinelli enters the game for J. Redick
7:46.0,,,72-77,1,D. Saric makes free throw 2 of 2
7:35.0,T. Burke misses 3-pt shot from 25 ft,,72-77,,
7:31.0,,,72-77,,Defensive rebound by B. Simmons
7:27.0,,,72-77,,R. Covington misses 3-pt shot from 23 ft
7:24.0,,,72-77,,Offensive rebound by R. Holmes
7:23.0,,,72-79,2,R. Holmes makes 2-pt shot from 6 ft
7:01.0,E. Kanter misses 2-pt shot from 12 ft,,72-79,,
6:58.0,,,72-79,,Defensive rebound by M. Belinelli
6:53.0,,,72-79,,R. Covington misses 3-pt shot from 25 ft
6:50.0,,,72-79,,Offensive rebound by R. Covington
6:49.0,,,72-79,,R. Covington misses 2-pt shot from 13 ft
6:46.0,Defensive rebound by E. Kanter,,72-79,,
6:40.0,L. Thomas misses 2-pt shot from 20 ft,,72-79,,
6:38.0,,,72-79,,Defensive rebound by B. Simmons
6:32.0,,,72-81,2,R. Covington makes 2-pt shot from 1 ft (assist by B. Simmons)
6:32.0,New York full timeout,,72-81,,
6:32.0,,,72-81,,T. McConnell enters the game for R. Holmes
6:32.0,,,72-81,,E. Ilyasova enters the game for R. Covington
6:32.0,L. Kornet enters the game for E. Kanter,,72-81,,
6:15.0,M. Beasley misses 2-pt shot from 9 ft,,72-81,,
6:10.0,,,72-81,,Defensive rebound by T. McConnell
6:02.0,,,72-81,,D. Saric misses 2-pt shot from 12 ft (block by M. Beasley)
6:02.0,,,72-81,,Offensive rebound by Team
5:56.0,Personal foul by T. Hardaway (drawn by M. Belinelli),,72-81,,
5:45.0,,,72-83,2,B. Simmons makes 2-pt shot from 12 ft
5:24.0,T. Hardaway misses 3-pt shot from 25 ft,,72-83,,
5:20.0,,,72-83,,Defensive rebound by E. Ilyasova
5:02.0,,,72-83,,B. Simmons misses 2-pt shot from 10 ft
4:59.0,Defensive rebound by M. Beasley,,72-83,,
4:50.0,M. Beasley makes 2-pt shot from 1 ft (assist by T. Burke),2,74-83,,
4:48.0,,,74-83,,Philadelphia full timeout
4:48.0,F. Ntilikina enters the game for L. Thomas,,74-83,,
4:35.0,,,74-83,,D. Saric misses 2-pt shot from 2 ft
4:32.0,,,74-83,,Offensive rebound by D. Saric
4:32.0,,,74-83,,D. Saric misses 2-pt shot at rim
4:31.0,Defensive rebound by F. Ntilikina,,74-83,,
4:19.0,T. Burke makes 3-pt shot from 23 ft (assist by T. Hardaway),3,77-83,,
3:59.0,,,77-83,,M. Belinelli misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by M. Beasley,,77-83,,
3:52.0,Turnover by M. Beasley (step out of bounds),,77-83,,
3:52.0,,,77-83,,M. Fultz enters the game for B. Simmons
3:42.0,,,77-85,2,D. Saric makes 2-pt shot from 1 ft (assist by M. Fultz)
3:22.0,L. Kornet misses 3-pt shot from 26 ft,,77-85,,
3:18.0,Offensive rebound by T. Hardaway,,77-85,,
3:18.0,T. Hardaway misses 2-pt shot at rim,,77-85,,
3:17.0,,,77-85,,Defensive rebound by M. Belinelli
3:09.0,,,77-88,3,M. Belinelli makes 3-pt shot from 25 ft (assist by M. Fultz)
2:57.0,L. Kornet misses 3-pt shot from 25 ft,,77-88,,
2:54.0,,,77-88,,Defensive rebound by D. Saric
2:47.0,,,77-88,,Shooting foul by L. Kornet (drawn by M. Fultz)
2:47.0,,,77-89,1,M. Fultz makes free throw 1 of 2
2:47.0,,,77-89,,R. Covington enters the game for T. McConnell
2:47.0,,,77-89,,M. Fultz misses free throw 2 of 2
2:46.0,,,77-89,,Offensive rebound by Team
2:42.0,,,77-91,2,D. Saric makes 2-pt shot from 1 ft (assist by M. Fultz)
2:28.0,Turnover by T. Hardaway (bad pass; steal by M. Belinelli),,77-91,,
2:24.0,,,77-91,,M. Fultz misses 2-pt shot from 2 ft
2:20.0,Defensive rebound by F. Ntilikina,,77-91,,
2:18.0,M. Beasley misses 2-pt shot from 7 ft,,77-91,,
2:13.0,,,77-91,,Defensive rebound by M. Fultz
2:09.0,,,77-91,,R. Covington misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by M. Beasley,,77-91,,
1:49.0,M. Beasley makes 2-pt shot from 1 ft (assist by T. Burke),2,79-91,,
1:49.0,Shooting foul by R. Covington (drawn by M. Beasley),,79-91,,
1:49.0,,,79-91,,R. Holmes enters the game for D. Saric
1:49.0,,,79-91,,J. Redick enters the game for M. Belinelli
1:49.0,M. Beasley makes free throw 1 of 1,1,80-91,,
1:38.0,,,80-91,,E. Ilyasova misses 2-pt shot from 7 ft
1:35.0,Defensive rebound by M. Beasley,,80-91,,
1:29.0,Turnover by T. Burke (lost ball; steal by M. Fultz),,80-91,,
1:22.0,,,80-91,,R. Holmes misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by L. Kornet,,80-91,,
1:11.0,T. Burke misses 2-pt shot from 19 ft,,80-91,,
1:07.0,,,80-91,,Defensive rebound by J. Redick
0:48.0,,,80-91,,E. Ilyasova misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by Team,,80-91,,
0:47.0,E. Mudiay enters the game for M. Beasley,,80-91,,
0:47.0,T. Williams enters the game for T. Burke,,80-91,,
0:33.0,F. Ntilikina misses 2-pt shot from 3 ft,,80-91,,
0:30.0,,,80-91,,Defensive rebound by R. Holmes
0:26.0,,,80-91,,M. Fultz misses 2-pt shot from 2 ft
0:26.0,,,80-91,,Offensive rebound by R. Holmes
0:23.0,,,80-93,2,R. Holmes makes 2-pt shot at rim
0:02.0,E. Mudiay misses 2-pt shot from 19 ft,,80-93,,
0:02.0,,,80-93,,Defensive rebound by M. Fultz
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Shooting foul by R. Holmes (drawn by E. Kanter),,80-93,,
11:48.0,E. Kanter misses free throw 1 of 2,,80-93,,
11:48.0,Offensive rebound by Team,,80-93,,
11:48.0,E. Kanter makes free throw 2 of 2,1,81-93,,
11:38.0,,,81-95,2,J. Redick makes 2-pt shot from 22 ft (assist by E. Ilyasova)
11:25.0,E. Kanter misses 2-pt shot from 18 ft,,81-95,,
11:25.0,,,81-95,,Defensive rebound by R. Covington
11:06.0,,,81-95,,E. Ilyasova misses 2-pt shot from 15 ft
11:05.0,Defensive rebound by E. Kanter,,81-95,,
10:51.0,L. Kornet misses 3-pt shot from 25 ft,,81-95,,
10:49.0,Offensive rebound by Team,,81-95,,
10:38.0,L. Kornet makes 2-pt shot from 15 ft (assist by F. Ntilikina),2,83-95,,
10:22.0,Personal foul by E. Mudiay (drawn by J. Redick),,83-95,,
10:14.0,,,83-95,,R. Holmes misses 2-pt shot from 1 ft
10:10.0,Defensive rebound by E. Kanter,,83-95,,
10:05.0,E. Mudiay makes 2-pt shot from 12 ft,2,85-95,,
9:48.0,,,85-95,,J. Redick misses 2-pt shot from 19 ft
9:45.0,Defensive rebound by F. Ntilikina,,85-95,,
9:36.0,F. Ntilikina misses 3-pt shot from 25 ft,,85-95,,
9:31.0,,,85-95,,Defensive rebound by M. Fultz
9:19.0,,,85-95,,M. Fultz misses 2-pt shot from 12 ft
