time,Cleveland,pts.away,score,pts.home,Detroit
6:07.0,T. Thompson makes 2-pt shot from 1 ft (assist by J. Crowder),2,8-10,,
5:54.0,,,8-13,3,R. Bullock makes 3-pt shot from 26 ft (assist by A. Drummond)
5:43.0,L. James makes 2-pt shot from 19 ft,2,10-13,,
5:25.0,,,10-15,2,R. Bullock makes 2-pt shot from 3 ft (assist by A. Drummond)
5:25.0,,,10-15,,Shooting foul by I. Thomas (drawn by R. Bullock)
5:25.0,,,10-15,,R. Bullock misses free throw 1 of 1
5:22.0,Defensive rebound by L. James,,10-15,,
5:12.0,L. James makes 2-pt shot from 17 ft,2,12-15,,
4:56.0,,,12-17,2,I. Smith makes 2-pt shot from 10 ft
4:37.0,J. Crowder makes 3-pt shot from 22 ft (assist by J. Smith),3,15-17,,
4:28.0,Personal foul by I. Thomas (drawn by I. Smith),,15-17,,
4:28.0,,,15-17,,L. Kennard enters the game for R. Bullock
4:19.0,Personal foul by J. Crowder (drawn by A. Tolliver),,15-17,,
4:09.0,,,15-20,3,S. Johnson makes 3-pt shot from 23 ft (assist by I. Smith)
3:52.0,J. Smith misses 3-pt shot from 24 ft,,15-20,,
3:49.0,,,15-20,,Defensive rebound by A. Tolliver
3:36.0,,,15-22,2,A. Drummond makes 2-pt shot from 1 ft (assist by A. Tolliver)
3:17.0,J. Smith makes 2-pt shot from 10 ft,2,17-22,,
3:04.0,,,17-22,,Shooting foul by J. Smith (drawn by A. Tolliver)
3:04.0,,,17-23,1,A. Tolliver makes free throw 1 of 3
3:04.0,,,17-24,1,A. Tolliver makes free throw 2 of 3
3:04.0,,,17-24,,D. Buycks enters the game for A. Drummond
3:04.0,,,17-24,,E. Moreland enters the game for I. Smith
3:04.0,C. Frye enters the game for I. Thomas,,17-24,,
3:04.0,D. Wade enters the game for T. Thompson,,17-24,,
3:04.0,,,17-25,1,A. Tolliver makes free throw 3 of 3
2:53.0,C. Frye misses 3-pt shot from 22 ft,,17-25,,
2:49.0,,,17-25,,Defensive rebound by S. Johnson
2:45.0,,,17-27,2,S. Johnson makes 2-pt shot at rim
2:37.0,J. Smith misses 2-pt shot from 2 ft,,17-27,,
2:36.0,Offensive rebound by J. Smith,,17-27,,
2:35.0,J. Smith misses 2-pt shot from 1 ft (block by S. Johnson),,17-27,,
2:34.0,Offensive rebound by D. Wade,,17-27,,
2:31.0,L. James makes 2-pt shot from 1 ft (assist by D. Wade),2,19-27,,
2:15.0,,,19-29,2,E. Moreland makes 2-pt shot from 3 ft (assist by D. Buycks)
2:07.0,L. James makes 2-pt shot at rim,2,21-29,,
2:00.0,,,21-29,,Detroit full timeout
2:00.0,K. Korver enters the game for J. Smith,,21-29,,
1:47.0,,,21-29,,S. Johnson misses 2-pt shot from 2 ft
1:46.0,,,21-29,,Offensive rebound by S. Johnson
1:44.0,,,21-29,,S. Johnson misses 2-pt shot from 3 ft
1:44.0,,,21-29,,Offensive rebound by S. Johnson
1:42.0,,,21-31,2,S. Johnson makes 2-pt shot from 1 ft
1:26.0,Turnover by C. Frye (bad pass; steal by D. Buycks),,21-31,,
1:23.0,,,21-33,2,D. Buycks makes 2-pt shot from 1 ft (assist by A. Tolliver)
1:13.0,Shooting foul by L. Kennard (drawn by D. Wade),,21-33,,
1:13.0,D. Wade makes free throw 1 of 2,1,22-33,,
1:13.0,D. Wade misses free throw 2 of 2,,22-33,,
1:11.0,,,22-33,,Defensive rebound by E. Moreland
0:59.0,,,22-33,,L. Kennard misses 3-pt shot from 26 ft
0:57.0,Defensive rebound by L. James,,22-33,,
0:48.0,D. Wade makes 2-pt shot from 1 ft,2,24-33,,
0:39.0,,,24-33,,D. Buycks misses 2-pt shot from 12 ft
0:36.0,Defensive rebound by L. James,,24-33,,
0:28.0,L. James misses 2-pt shot from 2 ft,,24-33,,
0:26.0,,,24-33,,Defensive rebound by S. Johnson
0:21.0,,,24-33,,A. Tolliver misses 3-pt shot from 24 ft
0:21.0,Defensive rebound by C. Frye,,24-33,,
0:01.0,C. Frye makes 2-pt shot at rim (assist by L. James),2,26-33,,
0:01.0,Shooting foul by E. Moreland (drawn by C. Frye),,26-33,,
0:01.0,J. Green enters the game for L. James,,26-33,,
0:01.0,C. Frye makes free throw 1 of 1,1,27-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,C. Frye misses 3-pt shot from 26 ft,,27-33,,
11:44.0,,,27-33,,Defensive rebound by L. Kennard
11:30.0,,,27-33,,L. Kennard misses 2-pt shot from 14 ft (block by K. Korver)
11:28.0,,,27-33,,Offensive rebound by Team
11:22.0,,,27-35,2,D. Buycks makes 2-pt shot from 2 ft (assist by A. Drummond)
11:02.0,C. Frye makes 2-pt shot from 3 ft,2,29-35,,
11:02.0,Shooting foul by A. Drummond (drawn by C. Frye),,29-35,,
11:02.0,C. Frye makes free throw 1 of 1,1,30-35,,
10:49.0,,,30-37,2,R. Bullock makes 2-pt shot at rim (assist by A. Drummond)
10:40.0,,,30-37,,Personal foul by A. Drummond (drawn by K. Korver)
10:35.0,D. Wade makes 2-pt shot from 4 ft (assist by K. Korver),2,32-37,,
10:18.0,,,32-37,,L. Kennard misses 2-pt shot from 12 ft
10:15.0,,,32-37,,Offensive rebound by L. Kennard
10:14.0,,,32-39,2,L. Kennard makes 2-pt shot at rim
9:57.0,J. Green misses 2-pt shot from 12 ft,,32-39,,
9:55.0,,,32-39,,Defensive rebound by L. Kennard
9:36.0,,,32-41,2,R. Bullock makes 2-pt shot at rim (assist by A. Drummond)
9:23.0,Shooting foul by R. Bullock (drawn by K. Korver),,32-41,,
9:23.0,K. Korver makes free throw 1 of 2,1,33-41,,
9:23.0,K. Korver makes free throw 2 of 2,1,34-41,,
9:11.0,,,34-41,,Turnover by R. Bullock (bad pass)
9:08.0,Shooting foul by D. Buycks (drawn by D. Wade),,34-41,,
9:08.0,D. Wade misses free throw 1 of 2,,34-41,,
9:08.0,Offensive rebound by Team,,34-41,,
9:08.0,D. Wade misses free throw 2 of 2,,34-41,,
9:06.0,,,34-41,,Defensive rebound by A. Drummond
8:52.0,,,34-41,,H. Ellenson misses 2-pt shot from 6 ft
8:52.0,Defensive rebound by J. Crowder,,34-41,,
8:45.0,Turnover by D. Wade (lost ball; steal by D. Buycks),,34-41,,
8:34.0,,,34-41,,Turnover by D. Buycks (lost ball; steal by K. Korver)
8:30.0,K. Korver makes 2-pt shot at rim (assist by D. Wade),2,36-41,,
8:17.0,Personal foul by J. Green (drawn by R. Bullock),,36-41,,
8:17.0,,,36-41,,I. Smith enters the game for D. Buycks
8:17.0,L. James enters the game for D. Wade,,36-41,,
8:17.0,I. Thomas enters the game for J. Crowder,,36-41,,
8:17.0,,,36-41,,S. Johnson enters the game for L. Kennard
8:02.0,,,36-41,,S. Johnson misses 2-pt shot from 21 ft
8:00.0,,,36-41,,Offensive rebound by A. Drummond
8:00.0,,,36-41,,Turnover by A. Drummond (out of bounds lost ball)
7:53.0,L. James makes 2-pt shot from 2 ft,2,38-41,,
7:49.0,,,38-41,,Detroit full timeout
7:40.0,,,38-44,3,R. Bullock makes 3-pt shot from 24 ft (assist by H. Ellenson)
7:27.0,,,38-44,,Personal foul by I. Smith (drawn by I. Thomas)
7:27.0,I. Thomas misses free throw 1 of 2,,38-44,,
7:27.0,Offensive rebound by Team,,38-44,,
7:27.0,I. Thomas makes free throw 2 of 2,1,39-44,,
7:13.0,,,39-44,,I. Smith misses 2-pt shot from 10 ft
7:10.0,,,39-44,,Offensive rebound by A. Drummond
7:10.0,,,39-44,,A. Drummond misses 2-pt shot at rim
7:10.0,Defensive rebound by Team,,39-44,,
7:10.0,J. Smith enters the game for K. Korver,,39-44,,
7:10.0,T. Thompson enters the game for C. Frye,,39-44,,
7:01.0,J. Green makes 3-pt shot from 23 ft (assist by I. Thomas),3,42-44,,
6:44.0,,,42-46,2,A. Drummond makes 2-pt shot from 2 ft (assist by R. Bullock)
6:32.0,L. James makes 3-pt shot from 23 ft,3,45-46,,
6:11.0,,,45-46,,Turnover by A. Drummond (out of bounds lost ball)
6:01.0,Offensive foul by T. Thompson (drawn by A. Drummond),,45-46,,
6:01.0,Turnover by T. Thompson (offensive foul),,45-46,,
6:01.0,,,45-46,,A. Tolliver enters the game for H. Ellenson
6:01.0,D. Wade enters the game for J. Green,,45-46,,
5:53.0,,,45-46,,Shooting foul by D. Wade (drawn by S. Johnson)
5:53.0,,,45-47,1,S. Johnson makes free throw 1 of 2
5:53.0,,,45-47,,S. Johnson misses free throw 2 of 2
5:51.0,Defensive rebound by T. Thompson,,45-47,,
5:37.0,D. Wade makes 2-pt shot from 1 ft (assist by L. James),2,47-47,,
5:14.0,,,47-49,2,A. Drummond makes 2-pt shot from 1 ft
4:56.0,I. Thomas makes 3-pt shot from 25 ft (assist by D. Wade),3,50-49,,
4:42.0,,,50-49,,S. Johnson misses 2-pt shot from 21 ft
4:38.0,Defensive rebound by T. Thompson,,50-49,,
4:30.0,L. James misses 2-pt shot from 20 ft,,50-49,,
4:30.0,,,50-49,,Defensive rebound by A. Drummond
4:23.0,,,50-51,2,S. Johnson makes 2-pt shot from 1 ft
3:59.0,L. James makes 2-pt shot from 14 ft,2,52-51,,
3:46.0,,,52-51,,I. Smith misses 2-pt shot from 9 ft
3:42.0,Defensive rebound by T. Thompson,,52-51,,
3:37.0,I. Thomas misses 2-pt shot from 2 ft,,52-51,,
3:34.0,,,52-51,,Defensive rebound by I. Smith
3:31.0,,,52-53,2,I. Smith makes 2-pt shot at rim
3:30.0,Cleveland full timeout,,52-53,,
3:13.0,L. James misses 3-pt shot from 26 ft,,52-53,,
3:09.0,,,52-53,,Defensive rebound by R. Bullock
3:07.0,,,52-55,2,I. Smith makes 2-pt shot at rim
3:07.0,,,52-55,,Shooting foul by D. Wade (drawn by I. Smith)
3:07.0,,,52-55,,I. Smith misses free throw 1 of 1
3:04.0,Defensive rebound by T. Thompson,,52-55,,
2:52.0,J. Smith makes 2-pt shot from 1 ft,2,54-55,,
2:45.0,,,54-55,,Offensive charge foul by A. Drummond (drawn by I. Thomas)
2:45.0,,,54-55,,Turnover by A. Drummond (offensive foul)
2:45.0,,,54-55,,E. Moreland enters the game for A. Drummond
2:34.0,,,54-55,,Personal foul by R. Bullock (drawn by L. James)
2:34.0,L. James misses free throw 1 of 2,,54-55,,
2:34.0,Offensive rebound by Team,,54-55,,
2:34.0,L. James makes free throw 2 of 2,1,55-55,,
2:23.0,,,55-57,2,I. Smith makes 2-pt shot from 10 ft
2:14.0,I. Thomas misses 3-pt shot from 26 ft,,55-57,,
2:11.0,,,55-57,,Defensive rebound by E. Moreland
2:02.0,,,55-57,,A. Tolliver misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by D. Wade,,55-57,,
1:54.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,57-57,,
1:32.0,,,57-57,,Shooting foul by L. James (drawn by S. Johnson)
1:32.0,,,57-58,1,S. Johnson makes free throw 1 of 2
1:32.0,,,57-58,,L. Kennard enters the game for R. Bullock
1:32.0,,,57-59,1,S. Johnson makes free throw 2 of 2
1:21.0,Shooting foul by E. Moreland (drawn by I. Thomas),,57-59,,
1:21.0,I. Thomas makes free throw 1 of 2,1,58-59,,
1:21.0,I. Thomas makes free throw 2 of 2,1,59-59,,
1:11.0,,,59-59,,I. Smith misses 2-pt shot from 16 ft
1:08.0,Defensive rebound by D. Wade,,59-59,,
1:02.0,L. James misses 2-pt shot from 6 ft,,59-59,,
1:02.0,Offensive rebound by T. Thompson,,59-59,,
0:59.0,T. Thompson misses 2-pt shot at rim,,59-59,,
0:59.0,Offensive rebound by D. Wade,,59-59,,
0:59.0,D. Wade makes 2-pt shot at rim,2,61-59,,
0:47.0,,,61-59,,I. Smith misses 3-pt shot from 23 ft
0:44.0,Defensive rebound by J. Smith,,61-59,,
0:41.0,,,61-59,,Personal foul by L. Kennard (drawn by I. Thomas)
0:41.0,I. Thomas makes free throw 1 of 2,1,62-59,,
0:41.0,I. Thomas makes free throw 2 of 2,1,63-59,,
0:20.0,,,63-59,,S. Johnson misses 2-pt shot from 6 ft
0:19.0,Defensive rebound by L. James,,63-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,L. James misses 3-pt shot from 23 ft,,63-59,,
11:46.0,Offensive rebound by T. Thompson,,63-59,,
11:45.0,T. Thompson misses 2-pt shot at rim,,63-59,,
11:42.0,,,63-59,,Defensive rebound by A. Drummond
11:30.0,,,63-59,,R. Bullock misses 2-pt shot from 8 ft
11:30.0,,,63-59,,Offensive rebound by Team
11:26.0,,,63-59,,R. Bullock misses 2-pt shot from 19 ft
11:25.0,Defensive rebound by I. Thomas,,63-59,,
11:18.0,,,63-59,,Personal foul by A. Tolliver (drawn by J. Crowder)
11:12.0,I. Thomas misses 2-pt shot from 4 ft,,63-59,,
11:10.0,,,63-59,,Defensive rebound by A. Tolliver
11:04.0,,,63-61,2,A. Tolliver makes 2-pt shot from 2 ft (assist by I. Smith)
11:04.0,,,63-61,,Shooting foul by J. Smith (drawn by A. Tolliver)
11:04.0,,,63-62,1,A. Tolliver makes free throw 1 of 1
10:56.0,,,63-62,,Personal foul by R. Bullock (drawn by J. Crowder)
10:47.0,I. Thomas makes 2-pt shot from 15 ft (assist by L. James),2,65-62,,
10:33.0,,,65-62,,S. Johnson misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by T. Thompson,,65-62,,
10:24.0,L. James misses 2-pt shot from 16 ft,,65-62,,
10:19.0,,,65-62,,Defensive rebound by S. Johnson
10:06.0,,,65-62,,I. Smith misses 2-pt shot at rim
10:03.0,,,65-62,,Offensive rebound by A. Drummond
10:03.0,,,65-64,2,A. Drummond makes 2-pt shot at rim
9:39.0,I. Thomas misses 3-pt shot from 22 ft (block by A. Drummond),,65-64,,
9:39.0,Offensive rebound by Team,,65-64,,
9:38.0,T. Thompson misses 2-pt shot from 18 ft,,65-64,,
9:38.0,,,65-64,,Defensive rebound by R. Bullock
9:21.0,,,65-66,2,S. Johnson makes 2-pt shot from 1 ft (assist by A. Tolliver)
9:04.0,J. Smith misses 2-pt shot from 20 ft,,65-66,,
9:01.0,,,65-66,,Defensive rebound by S. Johnson
8:54.0,,,65-66,,Turnover by S. Johnson (bad pass; steal by J. Smith)
8:42.0,T. Thompson misses 2-pt shot from 4 ft (block by A. Drummond),,65-66,,
8:40.0,,,65-66,,Defensive rebound by A. Drummond
8:36.0,,,65-69,3,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith)
8:12.0,I. Thomas misses 3-pt shot from 25 ft,,65-69,,
8:09.0,,,65-69,,Defensive rebound by A. Drummond
8:04.0,,,65-69,,S. Johnson misses 3-pt shot from 23 ft
8:01.0,Defensive rebound by L. James,,65-69,,
7:51.0,,,65-69,,Personal foul by R. Bullock (drawn by T. Thompson)
7:51.0,,,65-69,,L. Kennard enters the game for R. Bullock
7:47.0,Turnover by I. Thomas (bad pass; steal by S. Johnson),,65-69,,
7:43.0,,,65-71,2,S. Johnson makes 2-pt shot at rim
7:42.0,Cleveland full timeout,,65-71,,
7:31.0,J. Smith misses 3-pt shot from 25 ft,,65-71,,
7:29.0,,,65-71,,Defensive rebound by A. Drummond
7:10.0,,,65-71,,Shooting foul by J. Smith (drawn by A. Drummond)
7:10.0,,,65-71,,A. Drummond misses free throw 1 of 2
7:10.0,,,65-71,,Offensive rebound by Team
7:10.0,,,65-72,1,A. Drummond makes free throw 2 of 2
6:55.0,J. Crowder misses 2-pt shot from 9 ft,,65-72,,
6:54.0,Offensive rebound by Team,,65-72,,
6:54.0,C. Frye enters the game for T. Thompson,,65-72,,
6:54.0,D. Wade enters the game for J. Crowder,,65-72,,
6:50.0,C. Frye makes 3-pt shot from 25 ft (assist by I. Thomas),3,68-72,,
6:36.0,,,68-74,2,L. Kennard makes 2-pt shot from 19 ft
6:22.0,J. Smith misses 2-pt shot from 5 ft,,68-74,,
6:20.0,,,68-74,,Defensive rebound by A. Drummond
6:15.0,,,68-77,3,A. Tolliver makes 3-pt shot from 23 ft (assist by I. Smith)
6:02.0,D. Wade misses 2-pt shot from 15 ft,,68-77,,
5:59.0,,,68-77,,Defensive rebound by A. Drummond
5:51.0,,,68-79,2,A. Drummond makes 2-pt shot from 1 ft (assist by A. Tolliver)
5:32.0,L. James misses 3-pt shot from 27 ft,,68-79,,
5:28.0,Offensive rebound by J. Smith,,68-79,,
5:24.0,L. James makes 3-pt shot from 27 ft (assist by J. Smith),3,71-79,,
5:09.0,,,71-79,,S. Johnson misses 2-pt shot from 3 ft (block by C. Frye)
5:06.0,Defensive rebound by D. Wade,,71-79,,
5:04.0,J. Smith misses 3-pt shot from 22 ft,,71-79,,
5:01.0,,,71-79,,Defensive rebound by A. Tolliver
4:56.0,,,71-81,2,A. Drummond makes 2-pt shot at rim (assist by S. Johnson)
4:56.0,,,71-81,,Shooting foul by L. James (drawn by A. Drummond)
4:56.0,K. Korver enters the game for J. Smith,,71-81,,
4:56.0,,,71-81,,A. Drummond misses free throw 1 of 1
4:53.0,Defensive rebound by C. Frye,,71-81,,
4:44.0,,,71-81,,Personal foul by I. Smith (drawn by C. Frye)
4:44.0,,,71-81,,L. Galloway enters the game for A. Tolliver
4:37.0,L. James makes 2-pt shot from 1 ft (assist by I. Thomas),2,73-81,,
4:16.0,,,73-81,,Shooting foul by I. Thomas (drawn by I. Smith)
4:16.0,,,73-81,,I. Smith misses free throw 1 of 2
4:16.0,,,73-81,,Offensive rebound by Team
4:16.0,J. Green enters the game for I. Thomas,,73-81,,
4:16.0,,,73-82,1,I. Smith makes free throw 2 of 2
4:07.0,C. Frye makes 3-pt shot from 24 ft (assist by K. Korver),3,76-82,,
3:44.0,,,76-82,,I. Smith misses 2-pt shot from 16 ft
3:41.0,Defensive rebound by D. Wade,,76-82,,
3:36.0,D. Wade makes 2-pt shot from 2 ft,2,78-82,,
3:36.0,Shooting foul by I. Smith (drawn by D. Wade),,78-82,,
3:36.0,,,78-82,,D. Buycks enters the game for I. Smith
3:36.0,D. Wade makes free throw 1 of 1,1,79-82,,
3:22.0,,,79-82,,D. Buycks misses 2-pt shot from 6 ft (block by L. James)
3:20.0,Defensive rebound by C. Frye,,79-82,,
3:17.0,K. Korver misses 3-pt shot from 31 ft,,79-82,,
3:13.0,,,79-82,,Defensive rebound by A. Drummond
3:06.0,,,79-82,,Shooting foul by K. Korver (drawn by S. Johnson)
3:06.0,,,79-82,,S. Johnson misses free throw 1 of 2
3:06.0,,,79-82,,Offensive rebound by Team
3:06.0,,,79-83,1,S. Johnson makes free throw 2 of 2
2:56.0,,,79-83,,Personal foul by D. Buycks (drawn by D. Wade)
2:56.0,,,79-83,,Detroit full timeout
2:56.0,D. Wade misses free throw 1 of 2,,79-83,,
2:56.0,Offensive rebound by Team,,79-83,,
2:56.0,D. Wade makes free throw 2 of 2,1,80-83,,
2:38.0,,,80-85,2,S. Johnson makes 2-pt shot from 17 ft
2:17.0,C. Frye misses 3-pt shot from 26 ft,,80-85,,
2:12.0,,,80-85,,Defensive rebound by S. Johnson
2:02.0,Violation by C. Frye (kicked ball),,80-85,,
1:53.0,,,80-87,2,S. Johnson makes 2-pt shot from 21 ft (assist by D. Buycks)
1:38.0,Turnover by D. Wade (out of bounds lost ball),,80-87,,
1:19.0,,,80-89,2,A. Drummond makes 2-pt shot from 10 ft (assist by S. Johnson)
0:54.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,83-89,,
0:45.0,,,83-89,,D. Buycks misses 2-pt shot from 15 ft
0:42.0,Defensive rebound by D. Wade,,83-89,,
0:33.0,Shooting foul by D. Buycks (drawn by J. Green),,83-89,,
0:33.0,J. Green makes free throw 1 of 2,1,84-89,,
0:33.0,J. Green misses free throw 2 of 2,,84-89,,
0:32.0,,,84-89,,Defensive rebound by A. Drummond
0:19.0,,,84-89,,Turnover by L. Kennard (bad pass)
0:00.0,Turnover by L. James (bad pass; steal by L. Galloway),,84-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,84-89,,L. Galloway misses 3-pt shot from 24 ft
11:45.0,,,84-89,,Offensive rebound by Team
11:45.0,Loose ball foul by C. Frye (drawn by H. Ellenson),,84-89,,
11:39.0,,,84-89,,L. Galloway misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by C. Frye,,84-89,,
11:21.0,D. Wade misses 2-pt shot from 12 ft,,84-89,,
11:19.0,,,84-89,,Defensive rebound by H. Ellenson
11:12.0,,,84-92,3,A. Tolliver makes 3-pt shot from 28 ft (assist by H. Ellenson)
10:54.0,J. Green makes 2-pt shot from 2 ft (assist by I. Thomas),2,86-92,,
10:34.0,,,86-94,2,A. Tolliver makes 2-pt shot at rim (assist by L. Kennard)
10:34.0,,,86-94,,Shooting foul by C. Frye (drawn by A. Tolliver)
10:34.0,T. Thompson enters the game for C. Frye,,86-94,,
10:34.0,,,86-95,1,A. Tolliver makes free throw 1 of 1
10:22.0,Shooting foul by L. Kennard (drawn by D. Wade),,86-95,,
10:22.0,D. Wade makes free throw 1 of 2,1,87-95,,
10:22.0,J. Crowder enters the game for J. Green,,87-95,,
10:22.0,D. Wade makes free throw 2 of 2,1,88-95,,
10:12.0,,,88-95,,H. Ellenson misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by J. Crowder,,88-95,,
10:02.0,Shooting foul by D. Buycks (drawn by I. Thomas),,88-95,,
10:02.0,I. Thomas makes free throw 1 of 2,1,89-95,,
10:02.0,I. Thomas makes free throw 2 of 2,1,90-95,,
9:44.0,,,90-97,2,D. Buycks makes 2-pt shot from 20 ft (assist by L. Galloway)
9:34.0,J. Crowder makes 2-pt shot from 20 ft (assist by D. Wade),2,92-97,,
9:11.0,Personal foul by T. Thompson (drawn by L. Galloway),,92-97,,
9:03.0,,,92-97,,Shooting foul by T. Thompson (drawn by D. Buycks)
9:03.0,,,92-98,1,D. Buycks makes free throw 1 of 2
9:03.0,,,92-99,1,D. Buycks makes free throw 2 of 2
8:48.0,Shooting foul by D. Buycks (drawn by I. Thomas),,92-99,,
8:48.0,I. Thomas makes free throw 1 of 3,1,93-99,,
8:48.0,I. Thomas makes free throw 2 of 3,1,94-99,,
8:48.0,I. Thomas makes free throw 3 of 3,1,95-99,,
8:33.0,,,95-102,3,D. Buycks makes 3-pt shot from 25 ft
8:21.0,Turnover by I. Thomas (bad pass; steal by A. Tolliver),,95-102,,
8:12.0,,,95-102,,L. Galloway misses 2-pt shot from 2 ft (block by D. Wade)
8:06.0,Defensive rebound by J. Crowder,,95-102,,
8:05.0,I. Thomas misses 2-pt shot from 18 ft,,95-102,,
8:03.0,,,95-102,,Defensive rebound by L. Kennard
7:50.0,,,95-102,,H. Ellenson misses 3-pt shot from 22 ft
7:50.0,Defensive rebound by Team,,95-102,,
7:50.0,,,95-102,,Loose ball foul by A. Tolliver (drawn by I. Thomas)
7:50.0,,,95-102,,S. Johnson enters the game for L. Kennard
7:50.0,L. James enters the game for I. Thomas,,95-102,,
7:41.0,K. Korver makes 3-pt shot from 26 ft (assist by L. James),3,98-102,,
7:24.0,,,98-102,,Shooting foul by K. Korver (drawn by S. Johnson)
7:24.0,,,98-102,,S. Johnson misses free throw 1 of 2
7:24.0,,,98-102,,Offensive rebound by Team
7:24.0,,,98-102,,R. Bullock enters the game for H. Ellenson
7:24.0,,,98-102,,I. Smith enters the game for L. Galloway
7:24.0,,,98-102,,A. Drummond enters the game for D. Buycks
7:24.0,,,98-103,1,S. Johnson makes free throw 2 of 2
7:08.0,K. Korver makes 3-pt shot from 27 ft (assist by T. Thompson),3,101-103,,
6:55.0,,,101-103,,Offensive charge foul by S. Johnson (drawn by L. James)
6:55.0,,,101-103,,Turnover by S. Johnson (offensive foul)
6:55.0,,,101-103,,Detroit full timeout
6:42.0,L. James misses 3-pt shot from 25 ft,,101-103,,
6:38.0,,,101-103,,Defensive rebound by A. Drummond
6:29.0,,,101-103,,I. Smith misses 2-pt shot at rim
6:29.0,,,101-103,,Offensive rebound by Team
6:29.0,Personal foul by T. Thompson (drawn by A. Drummond),,101-103,,
6:29.0,,,101-103,,A. Drummond misses free throw 1 of 2
6:29.0,,,101-103,,Offensive rebound by Team
6:29.0,I. Thomas enters the game for D. Wade,,101-103,,
