time,Indiana,pts.away,score,pts.home,Boston
0:02.0,,,40-50,2,M. Morris makes 2-pt shot from 18 ft (assist by M. Smart)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,M. Turner misses 2-pt shot at rim,,40-50,,
11:47.0,Offensive rebound by M. Turner,,40-50,,
11:47.0,M. Turner makes 2-pt shot at rim,2,42-50,,
11:30.0,,,42-50,,M. Morris misses 3-pt shot from 26 ft
11:30.0,Defensive rebound by C. Joseph,,42-50,,
11:20.0,T. Young makes 2-pt shot from 2 ft,2,44-50,,
10:59.0,,,44-50,,Turnover by M. Smart (bad pass; steal by V. Oladipo)
10:40.0,Turnover by C. Joseph (bad pass; steal by M. Morris),,44-50,,
10:29.0,,,44-52,2,M. Morris makes 2-pt shot from 10 ft
10:13.0,V. Oladipo misses 3-pt shot from 24 ft,,44-52,,
10:10.0,,,44-52,,Defensive rebound by T. Rozier
9:55.0,,,44-52,,M. Smart misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by M. Turner,,44-52,,
9:39.0,Turnover by C. Joseph (bad pass; steal by J. Tatum),,44-52,,
9:33.0,,,44-52,,Shooting foul by B. Bogdanovic (drawn by J. Tatum)
9:33.0,,,44-53,1,J. Tatum makes free throw 1 of 2
9:33.0,,,44-54,1,J. Tatum makes free throw 2 of 2
9:14.0,B. Bogdanovic makes 3-pt shot from 22 ft (assist by T. Young),3,47-54,,
8:55.0,,,47-54,,A. Baynes misses 3-pt shot from 23 ft
8:55.0,Defensive rebound by M. Turner,,47-54,,
8:47.0,V. Oladipo makes 2-pt shot at rim,2,49-54,,
8:47.0,,,49-54,,Boston full timeout
8:47.0,,,49-54,,G. Monroe enters the game for A. Baynes
8:31.0,,,49-57,3,T. Rozier makes 3-pt shot from 27 ft (assist by M. Morris)
8:09.0,C. Joseph misses 2-pt shot from 5 ft (block by G. Monroe),,49-57,,
8:05.0,Offensive rebound by C. Joseph,,49-57,,
8:04.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by C. Joseph),3,52-57,,
7:44.0,,,52-57,,Turnover by M. Smart (lost ball; steal by V. Oladipo)
7:32.0,C. Joseph makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,55-57,,
7:19.0,Personal foul by T. Young (drawn by M. Morris),,55-57,,
7:19.0,T. Booker enters the game for T. Young,,55-57,,
7:10.0,,,55-57,,M. Morris misses 2-pt shot from 14 ft
7:09.0,Defensive rebound by Team,,55-57,,
7:09.0,,,55-57,,Personal foul by G. Monroe (drawn by T. Booker)
6:50.0,Shooting foul by G. Monroe (drawn by V. Oladipo),,55-57,,
6:50.0,V. Oladipo makes free throw 1 of 2,1,56-57,,
6:50.0,V. Oladipo makes free throw 2 of 2,1,57-57,,
6:39.0,,,57-57,,J. Tatum misses 2-pt shot from 4 ft (block by T. Booker)
6:35.0,Defensive rebound by M. Turner,,57-57,,
6:23.0,V. Oladipo misses 2-pt shot from 15 ft,,57-57,,
6:20.0,,,57-57,,Defensive rebound by J. Tatum
6:14.0,,,57-57,,T. Rozier misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by B. Bogdanovic,,57-57,,
6:06.0,V. Oladipo makes 2-pt shot from 3 ft,2,59-57,,
6:06.0,Shooting foul by M. Morris (drawn by V. Oladipo),,59-57,,
6:06.0,,,59-57,,A. Nader enters the game for J. Tatum
6:06.0,V. Oladipo makes free throw 1 of 1,1,60-57,,
5:48.0,,,60-59,2,G. Monroe makes 2-pt shot at rim (assist by A. Nader)
5:37.0,B. Bogdanovic misses 3-pt shot from 25 ft,,60-59,,
5:35.0,,,60-59,,Defensive rebound by M. Smart
5:29.0,,,60-59,,M. Morris misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by M. Turner,,60-59,,
5:14.0,T. Booker misses 2-pt shot from 17 ft,,60-59,,
5:11.0,,,60-59,,Defensive rebound by A. Nader
5:05.0,,,60-61,2,T. Rozier makes 2-pt shot from 14 ft
4:46.0,C. Joseph misses 2-pt shot from 13 ft,,60-61,,
4:44.0,,,60-61,,Defensive rebound by G. Monroe
4:37.0,,,60-61,,Turnover by M. Morris (traveling)
4:37.0,Indiana full timeout,,60-61,,
4:37.0,G. Robinson enters the game for C. Joseph,,60-61,,
4:37.0,D. Sabonis enters the game for T. Booker,,60-61,,
4:37.0,D. Collison enters the game for B. Bogdanovic,,60-61,,
4:25.0,V. Oladipo makes 2-pt shot at rim,2,62-61,,
4:07.0,,,62-61,,Turnover by G. Monroe (bad pass)
3:51.0,M. Turner makes 3-pt shot from 22 ft (assist by V. Oladipo),3,65-61,,
3:33.0,,,65-61,,Turnover by A. Nader (step out of bounds)
3:33.0,,,65-61,,S. Larkin enters the game for T. Rozier
3:13.0,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo),2,67-61,,
2:58.0,,,67-61,,Turnover by S. Larkin (lost ball; steal by M. Turner)
2:48.0,Turnover by D. Collison (bad pass; steal by M. Smart),,67-61,,
2:44.0,,,67-61,,Shooting foul by M. Turner (drawn by A. Nader)
2:44.0,,,67-62,1,A. Nader makes free throw 1 of 2
2:44.0,,,67-62,,S. Ojeleye enters the game for M. Morris
2:44.0,,,67-63,1,A. Nader makes free throw 2 of 2
2:22.0,D. Sabonis misses 2-pt shot from 21 ft,,67-63,,
2:19.0,,,67-63,,Defensive rebound by A. Nader
2:10.0,,,67-63,,Turnover by M. Smart (bad pass; steal by D. Sabonis)
2:07.0,Turnover by D. Collison (bad pass; steal by S. Larkin),,67-63,,
2:03.0,,,67-66,3,M. Smart makes 3-pt shot from 22 ft (assist by G. Monroe)
1:45.0,M. Turner makes 3-pt shot from 25 ft (assist by D. Collison),3,70-66,,
1:26.0,,,70-68,2,G. Monroe makes 2-pt shot from 21 ft (assist by S. Larkin)
1:05.0,V. Oladipo makes 2-pt shot from 2 ft,2,72-68,,
0:49.0,,,72-70,2,G. Monroe makes 2-pt shot from 7 ft (assist by M. Smart)
0:34.0,V. Oladipo makes 2-pt shot from 2 ft (assist by G. Robinson),2,74-70,,
0:15.0,,,74-70,,M. Smart misses 3-pt shot from 26 ft
0:12.0,Defensive rebound by D. Sabonis,,74-70,,
0:02.0,Turnover by V. Oladipo (bad pass; steal by M. Smart),,74-70,,
0:01.0,,,74-70,,M. Smart misses 3-pt shot from 51 ft
0:01.0,,,74-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,74-70,,D. Theis misses 3-pt shot from 26 ft
11:32.0,Defensive rebound by T. Booker,,74-70,,
11:20.0,G. Robinson makes 3-pt shot from 23 ft (assist by D. Collison),3,77-70,,
11:03.0,,,77-70,,S. Larkin misses 2-pt shot from 18 ft
11:01.0,Defensive rebound by T. Booker,,77-70,,
10:48.0,D. Sabonis makes 2-pt shot from 3 ft (assist by D. Collison),2,79-70,,
10:29.0,,,79-70,,J. Tatum misses 3-pt shot from 25 ft
10:26.0,,,79-70,,Offensive rebound by S. Ojeleye
10:23.0,,,79-70,,Shooting foul by D. Sabonis (drawn by S. Larkin)
10:23.0,,,79-71,1,S. Larkin makes free throw 1 of 2
10:23.0,,,79-71,,T. Rozier enters the game for A. Nader
10:23.0,,,79-72,1,S. Larkin makes free throw 2 of 2
10:07.0,D. Sabonis makes 2-pt shot from 1 ft (assist by T. Booker),2,81-72,,
9:39.0,,,81-72,,T. Rozier misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by D. Sabonis,,81-72,,
9:22.0,L. Stephenson misses 2-pt shot from 2 ft (block by J. Tatum),,81-72,,
9:20.0,,,81-72,,Defensive rebound by D. Theis
9:17.0,,,81-74,2,S. Ojeleye makes 2-pt shot from 2 ft (assist by S. Larkin)
9:17.0,,,81-74,,Shooting foul by T. Booker (drawn by S. Ojeleye)
9:17.0,M. Turner enters the game for D. Sabonis,,81-74,,
9:17.0,,,81-74,,S. Ojeleye misses free throw 1 of 1
9:15.0,Defensive rebound by L. Stephenson,,81-74,,
9:01.0,M. Turner makes 2-pt shot from 17 ft (assist by D. Collison),2,83-74,,
8:37.0,,,83-76,2,J. Tatum makes 2-pt shot from 18 ft (assist by S. Larkin)
8:09.0,G. Robinson misses 3-pt shot from 27 ft,,83-76,,
8:06.0,,,83-76,,Defensive rebound by T. Rozier
8:04.0,,,83-78,2,D. Theis makes 2-pt shot from 1 ft (assist by T. Rozier)
8:04.0,,,83-78,,Shooting foul by G. Robinson (drawn by D. Theis)
8:04.0,Indiana full timeout,,83-78,,
8:04.0,C. Joseph enters the game for L. Stephenson,,83-78,,
8:04.0,B. Bogdanovic enters the game for G. Robinson,,83-78,,
8:04.0,,,83-79,1,D. Theis makes free throw 1 of 1
7:49.0,Turnover by D. Collison (bad pass; steal by S. Larkin),,83-79,,
7:43.0,,,83-79,,S. Larkin misses 3-pt shot from 26 ft
7:40.0,Defensive rebound by M. Turner,,83-79,,
7:24.0,D. Collison misses 2-pt shot from 21 ft,,83-79,,
7:21.0,,,83-79,,Defensive rebound by J. Tatum
7:06.0,,,83-79,,Shooting foul by M. Turner (drawn by J. Tatum)
7:06.0,,,83-80,1,J. Tatum makes free throw 1 of 2
7:06.0,,,83-80,,M. Smart enters the game for S. Larkin
7:06.0,V. Oladipo enters the game for D. Collison,,83-80,,
7:06.0,,,83-81,1,J. Tatum makes free throw 2 of 2
6:52.0,,,83-81,,Personal foul by S. Ojeleye (drawn by C. Joseph)
6:38.0,,,83-81,,Loose ball foul by D. Theis (drawn by T. Booker)
6:38.0,T. Young enters the game for T. Booker,,83-81,,
6:27.0,C. Joseph makes 3-pt shot from 25 ft (assist by V. Oladipo),3,86-81,,
6:10.0,Personal foul by C. Joseph (drawn by M. Smart),,86-81,,
6:10.0,,,86-82,1,M. Smart makes free throw 1 of 2
6:10.0,,,86-82,,M. Morris enters the game for S. Ojeleye
6:10.0,,,86-83,1,M. Smart makes free throw 2 of 2
5:54.0,Turnover by T. Young (bad pass),,86-83,,
5:43.0,,,86-83,,M. Smart misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by C. Joseph,,86-83,,
5:23.0,Turnover by C. Joseph (out of bounds lost ball),,86-83,,
5:02.0,,,86-83,,M. Smart misses 2-pt shot from 8 ft
5:01.0,,,86-83,,Offensive rebound by M. Smart
5:01.0,,,86-83,,Turnover by T. Rozier (bad pass)
5:01.0,Indiana full timeout,,86-83,,
5:00.0,Turnover by T. Young (bad pass; steal by M. Smart),,86-83,,
4:35.0,,,86-83,,J. Tatum misses 2-pt shot from 11 ft (block by V. Oladipo)
4:34.0,Defensive rebound by C. Joseph,,86-83,,
4:12.0,T. Young misses 2-pt shot from 2 ft (block by D. Theis),,86-83,,
4:09.0,,,86-83,,Defensive rebound by M. Morris
4:04.0,,,86-83,,M. Morris misses 3-pt shot from 25 ft
3:59.0,,,86-83,,Offensive rebound by D. Theis
3:43.0,,,86-83,,Turnover by J. Tatum (out of bounds lost ball)
3:27.0,M. Turner makes 2-pt shot from 15 ft (assist by V. Oladipo),2,88-83,,
3:07.0,,,88-83,,T. Rozier misses 3-pt shot from 26 ft
3:04.0,Defensive rebound by C. Joseph,,88-83,,
2:46.0,Shooting foul by J. Tatum (drawn by B. Bogdanovic),,88-83,,
2:46.0,B. Bogdanovic makes free throw 1 of 2,1,89-83,,
2:46.0,B. Bogdanovic makes free throw 2 of 2,1,90-83,,
2:31.0,,,90-86,3,M. Smart makes 3-pt shot from 24 ft (assist by J. Tatum)
2:13.0,V. Oladipo makes 3-pt shot from 25 ft,3,93-86,,
1:58.0,,,93-89,2,M. Smart makes 3-pt shot from 26 ft (assist by D. Theis)
1:39.0,V. Oladipo misses 2-pt shot from 20 ft,,93-89,,
1:36.0,,,93-89,,Defensive rebound by T. Rozier
1:31.0,Personal foul by M. Turner (drawn by J. Tatum),,93-89,,
1:31.0,,,93-89,,J. Tatum misses free throw 1 of 2
1:31.0,,,93-89,,Offensive rebound by Team
1:31.0,,,93-90,1,J. Tatum makes free throw 2 of 2
1:14.0,V. Oladipo makes 2-pt shot from 1 ft,2,95-90,,
1:14.0,,,95-90,,Boston full timeout
1:06.0,,,95-93,3,T. Rozier makes 3-pt shot from 26 ft (assist by M. Smart)
0:49.0,V. Oladipo misses 2-pt shot from 18 ft,,95-93,,
0:47.0,,,95-93,,Defensive rebound by M. Smart
0:36.0,,,95-93,,Shooting foul by B. Bogdanovic (drawn by J. Tatum)
0:36.0,,,95-94,1,J. Tatum makes free throw 1 of 2
0:36.0,,,95-94,,S. Ojeleye enters the game for D. Theis
0:36.0,,,95-95,1,J. Tatum makes free throw 2 of 2
0:36.0,Indiana full timeout,,95-95,,
0:36.0,D. Collison enters the game for T. Young,,95-95,,
0:21.0,M. Turner makes 2-pt shot from 3 ft,2,97-95,,
0:21.0,,,97-95,,Boston full timeout
0:21.0,,,97-95,,D. Theis enters the game for S. Ojeleye
0:21.0,T. Young enters the game for D. Collison,,97-95,,
0:15.0,,,97-95,,T. Rozier misses 2-pt shot from 11 ft
