time,Orlando,pts.away,score,pts.home,Phoenix
5:38.0,E. Fournier makes free throw 1 of 2,1,47-50,,
5:38.0,E. Fournier misses free throw 2 of 2,,47-50,,
5:36.0,,,47-50,,Defensive rebound by A. Len
5:15.0,,,47-50,,D. Booker misses 3-pt shot from 24 ft
5:13.0,,,47-50,,Offensive rebound by A. Len
5:06.0,,,47-50,,M. James misses 2-pt shot from 10 ft
5:01.0,Defensive rebound by E. Payton,,47-50,,
4:58.0,E. Payton misses 2-pt shot from 1 ft,,47-50,,
4:58.0,Offensive rebound by Team,,47-50,,
4:58.0,Turnover by A. Gordon (offensive goaltending),,47-50,,
4:38.0,,,47-50,,A. Len misses 2-pt shot at rim
4:35.0,Defensive rebound by N. Vucevic,,47-50,,
4:31.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,49-50,,
4:30.0,,,49-50,,Phoenix full timeout
4:30.0,,,49-50,,T. Warren enters the game for D. Booker
4:14.0,,,49-52,2,A. Len makes 2-pt shot at rim (assist by J. Jackson)
4:02.0,N. Vucevic misses 3-pt shot from 24 ft,,49-52,,
4:01.0,,,49-52,,Defensive rebound by J. Jackson
3:55.0,,,49-54,2,J. Jackson makes 2-pt shot from 2 ft
3:38.0,E. Fournier misses 3-pt shot from 26 ft,,49-54,,
3:37.0,Offensive rebound by Team,,49-54,,
3:37.0,,,49-54,,Loose ball foul by J. Dudley (drawn by A. Gordon)
3:37.0,A. Gordon misses free throw 1 of 2,,49-54,,
3:37.0,Offensive rebound by Team,,49-54,,
3:37.0,A. Gordon makes free throw 2 of 2,1,50-54,,
3:31.0,,,50-56,2,J. Jackson makes 2-pt shot from 1 ft
3:25.0,Offensive foul by E. Payton (drawn by M. James),,50-56,,
3:25.0,Turnover by E. Payton (offensive foul),,50-56,,
3:25.0,S. Mack enters the game for E. Payton,,50-56,,
3:09.0,,,50-56,,T. Warren misses 2-pt shot from 9 ft
3:06.0,Defensive rebound by J. Simmons,,50-56,,
3:02.0,A. Gordon makes 3-pt shot from 22 ft (assist by E. Fournier),3,53-56,,
2:47.0,,,53-56,,J. Dudley misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by S. Mack,,53-56,,
2:35.0,N. Vucevic makes 3-pt shot from 24 ft (assist by A. Gordon),3,56-56,,
2:08.0,,,56-56,,Shooting foul by A. Gordon (drawn by A. Len)
2:08.0,,,56-56,,A. Len misses free throw 1 of 2
2:08.0,,,56-56,,Offensive rebound by Team
2:08.0,,,56-56,,D. Bender enters the game for J. Dudley
2:08.0,,,56-57,1,A. Len makes free throw 2 of 2
1:53.0,A. Gordon misses 2-pt shot from 1 ft (block by A. Len),,56-57,,
1:50.0,,,56-57,,Defensive rebound by A. Len
1:47.0,,,56-57,,J. Jackson misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by E. Fournier,,56-57,,
1:40.0,Shooting foul by M. James (drawn by N. Vucevic),,56-57,,
1:40.0,N. Vucevic makes free throw 1 of 2,1,57-57,,
1:40.0,N. Vucevic makes free throw 2 of 2,1,58-57,,
1:32.0,,,58-59,2,J. Jackson makes 2-pt shot from 1 ft
1:23.0,N. Vucevic makes 3-pt shot from 25 ft (assist by S. Mack),3,61-59,,
1:11.0,,,61-59,,T. Warren misses 3-pt shot from 23 ft
1:06.0,Defensive rebound by J. Simmons,,61-59,,
1:04.0,E. Fournier makes 2-pt shot from 1 ft (assist by A. Gordon),2,63-59,,
0:53.0,,,63-61,2,T. Warren makes 2-pt shot from 1 ft (assist by A. Len)
0:41.0,E. Fournier misses 3-pt shot from 24 ft,,63-61,,
0:39.0,,,63-61,,Defensive rebound by D. Bender
0:35.0,,,63-61,,J. Jackson misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by A. Gordon,,63-61,,
0:12.0,,,63-61,,Personal foul by M. James (drawn by A. Gordon)
0:12.0,A. Gordon misses free throw 1 of 2,,63-61,,
0:12.0,Offensive rebound by Team,,63-61,,
0:12.0,,,63-61,,D. Booker enters the game for D. Bender
0:12.0,J. Isaac enters the game for S. Mack,,63-61,,
0:12.0,A. Gordon makes free throw 2 of 2,1,64-61,,
0:03.0,,,64-61,,M. James misses 3-pt shot from 27 ft
0:03.0,,,64-61,,Offensive rebound by J. Jackson
0:00.0,,,64-63,2,J. Jackson makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,64-65,2,M. James makes 2-pt shot from 1 ft
11:19.0,E. Fournier misses 2-pt shot from 1 ft (block by M. Chriss),,64-65,,
11:19.0,Offensive rebound by Team,,64-65,,
11:18.0,Shooting foul by M. Chriss (drawn by A. Gordon),,64-65,,
11:18.0,A. Gordon misses free throw 1 of 2,,64-65,,
11:18.0,Offensive rebound by Team,,64-65,,
11:18.0,A. Gordon makes free throw 2 of 2,1,65-65,,
10:57.0,Personal foul by A. Gordon (drawn by M. James),,65-65,,
10:52.0,,,65-65,,A. Len misses 2-pt shot from 2 ft
10:48.0,Defensive rebound by A. Gordon,,65-65,,
10:45.0,Turnover by E. Payton (traveling),,65-65,,
10:28.0,,,65-65,,Turnover by M. Chriss (bad pass)
10:24.0,T. Ross makes 3-pt shot from 24 ft (assist by E. Payton),3,68-65,,
10:00.0,,,68-65,,M. Chriss misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by E. Payton,,68-65,,
9:48.0,E. Payton misses 3-pt shot from 26 ft,,68-65,,
9:45.0,Offensive rebound by T. Ross,,68-65,,
9:42.0,E. Payton makes 2-pt shot at rim,2,70-65,,
9:35.0,,,70-67,2,M. James makes 2-pt shot at rim
9:22.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,72-67,,
9:14.0,,,72-67,,Technical foul by M. Chriss
9:14.0,E. Fournier makes technical free throw,1,73-67,,
9:14.0,,,73-67,,D. Bender enters the game for M. Chriss
8:58.0,,,73-67,,M. James misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by T. Ross,,73-67,,
8:41.0,E. Fournier makes 2-pt shot from 12 ft (assist by N. Vucevic),2,75-67,,
8:41.0,,,75-67,,Phoenix full timeout
8:25.0,,,75-67,,T. Warren misses 2-pt shot from 8 ft
8:23.0,Defensive rebound by A. Gordon,,75-67,,
8:14.0,E. Fournier misses 3-pt shot from 28 ft,,75-67,,
8:11.0,,,75-67,,Defensive rebound by D. Booker
8:05.0,,,75-67,,Turnover by D. Booker (bad pass; steal by A. Gordon)
7:57.0,A. Gordon makes 3-pt shot from 25 ft (assist by E. Fournier),3,78-67,,
7:40.0,,,78-67,,Offensive charge foul by D. Bender (drawn by A. Gordon)
7:40.0,,,78-67,,Turnover by D. Bender (offensive foul)
7:26.0,A. Gordon makes 2-pt shot from 22 ft (assist by E. Payton),2,80-67,,
7:09.0,,,80-67,,D. Booker misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by T. Ross,,80-67,,
6:55.0,Shooting foul by M. James (drawn by E. Fournier),,80-67,,
6:55.0,E. Fournier makes free throw 1 of 2,1,81-67,,
6:55.0,,,81-67,,T. Ulis enters the game for M. James
6:55.0,E. Fournier makes free throw 2 of 2,1,82-67,,
6:50.0,Personal foul by T. Ross (drawn by D. Booker),,82-67,,
6:34.0,,,82-69,2,T. Ulis makes 2-pt shot from 10 ft
6:28.0,Turnover by E. Payton (discontinued dribble),,82-69,,
6:16.0,,,82-69,,D. Booker misses 2-pt shot from 15 ft
6:14.0,Defensive rebound by N. Vucevic,,82-69,,
6:06.0,E. Fournier misses 2-pt shot from 14 ft,,82-69,,
6:03.0,,,82-69,,Defensive rebound by D. Bender
5:55.0,,,82-71,2,D. Bender makes 2-pt shot at rim (assist by T. Ulis)
5:40.0,E. Payton misses 2-pt shot from 10 ft,,82-71,,
5:38.0,,,82-71,,Defensive rebound by D. Bender
5:32.0,,,82-71,,T. Ulis misses 2-pt shot from 16 ft (block by N. Vucevic)
5:31.0,,,82-71,,Offensive rebound by Team
