time,Charlotte,pts.away,score,pts.home,Detroit
6:48.0,,,8-13,,Defensive rebound by T. Harris
6:41.0,,,8-16,3,T. Harris makes 3-pt shot from 26 ft (assist by S. Johnson)
6:33.0,Charlotte full timeout,,8-16,,
6:33.0,F. Kaminsky enters the game for D. Bacon,,8-16,,
6:31.0,Shooting foul by E. Moreland (drawn by J. Lamb),,8-16,,
6:31.0,J. Lamb makes free throw 1 of 2,1,9-16,,
6:31.0,J. Lamb makes free throw 2 of 2,1,10-16,,
6:21.0,,,10-16,,A. Bradley misses 2-pt shot from 16 ft
6:18.0,Defensive rebound by D. Howard,,10-16,,
6:11.0,Shooting foul by A. Bradley (drawn by K. Walker),,10-16,,
6:11.0,K. Walker makes free throw 1 of 2,1,11-16,,
6:11.0,K. Walker makes free throw 2 of 2,1,12-16,,
5:57.0,,,12-18,2,T. Harris makes 2-pt shot from 11 ft
5:37.0,F. Kaminsky misses 3-pt shot from 25 ft,,12-18,,
5:33.0,Offensive rebound by D. Howard,,12-18,,
5:32.0,Shooting foul by T. Harris (drawn by J. Lamb),,12-18,,
5:32.0,J. Lamb makes free throw 1 of 2,1,13-18,,
5:32.0,,,13-18,,J. Leuer enters the game for S. Johnson
5:32.0,J. Lamb makes free throw 2 of 2,1,14-18,,
5:20.0,,,14-21,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson)
5:12.0,,,14-21,,Personal foul by A. Bradley (drawn by K. Walker)
5:12.0,K. Walker makes free throw 1 of 2,1,15-21,,
5:12.0,,,15-21,,I. Smith enters the game for R. Jackson
5:12.0,,,15-21,,L. Galloway enters the game for A. Bradley
5:12.0,K. Walker makes free throw 2 of 2,1,16-21,,
4:55.0,,,16-21,,L. Galloway misses 3-pt shot from 27 ft
4:52.0,Defensive rebound by D. Howard,,16-21,,
4:38.0,J. Lamb makes 2-pt shot from 6 ft,2,18-21,,
4:22.0,,,18-21,,J. Leuer misses 3-pt shot from 23 ft
4:19.0,Defensive rebound by K. Walker,,18-21,,
4:12.0,Turnover by K. Walker (bad pass; steal by E. Moreland),,18-21,,
3:55.0,,,18-23,2,I. Smith makes 2-pt shot from 20 ft
3:35.0,F. Kaminsky misses 3-pt shot from 26 ft,,18-23,,
3:33.0,,,18-23,,Defensive rebound by T. Harris
3:30.0,,,18-25,2,T. Harris makes 2-pt shot from 15 ft
3:00.0,D. Howard makes 2-pt shot from 1 ft,2,20-25,,
2:45.0,,,20-25,,I. Smith misses 2-pt shot from 13 ft
2:43.0,Defensive rebound by F. Kaminsky,,20-25,,
2:37.0,J. Lamb makes 2-pt shot from 5 ft,2,22-25,,
2:28.0,,,22-25,,Detroit full timeout
2:28.0,M. Monk enters the game for M. Williams,,22-25,,
2:28.0,D. Bacon enters the game for J. Lamb,,22-25,,
2:28.0,C. Zeller enters the game for D. Howard,,22-25,,
2:18.0,,,22-25,,T. Harris misses 2-pt shot from 13 ft
2:13.0,Defensive rebound by C. Zeller,,22-25,,
2:07.0,K. Walker misses 2-pt shot from 21 ft,,22-25,,
2:04.0,,,22-25,,Defensive rebound by E. Moreland
1:56.0,,,22-25,,Turnover by I. Smith (step out of bounds)
1:56.0,J. Stone enters the game for K. Walker,,22-25,,
1:38.0,J. Stone makes 3-pt shot from 23 ft (assist by M. Monk),3,25-25,,
1:21.0,,,25-27,2,L. Galloway makes 2-pt shot from 14 ft
1:07.0,Turnover by D. Bacon (bad pass; steal by I. Smith),,25-27,,
1:03.0,,,25-29,2,J. Leuer makes 2-pt shot at rim (assist by I. Smith)
1:03.0,,,25-29,,Shooting foul by J. Stone (drawn by J. Leuer)
1:03.0,,,25-29,,S. Johnson enters the game for E. Moreland
1:03.0,,,25-29,,H. Ellenson enters the game for T. Harris
1:03.0,,,25-29,,J. Leuer misses free throw 1 of 1
0:59.0,Defensive rebound by D. Bacon,,25-29,,
0:41.0,Shooting foul by H. Ellenson (drawn by F. Kaminsky),,25-29,,
0:41.0,F. Kaminsky makes free throw 1 of 2,1,26-29,,
0:41.0,F. Kaminsky makes free throw 2 of 2,1,27-29,,
0:31.0,,,27-29,,H. Ellenson misses 2-pt shot from 15 ft
0:28.0,Defensive rebound by C. Zeller,,27-29,,
0:06.0,Turnover by J. Stone (bad pass; steal by L. Galloway),,27-29,,
0:00.0,,,27-29,,S. Johnson misses 2-pt shot from 22 ft
0:00.0,,,27-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,27-31,2,L. Galloway makes 2-pt shot from 12 ft
11:28.0,M. Monk misses 2-pt shot from 16 ft,,27-31,,
11:25.0,,,27-31,,Defensive rebound by S. Johnson
11:17.0,,,27-33,2,L. Galloway makes 2-pt shot from 8 ft (assist by H. Ellenson)
11:00.0,J. Stone makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,30-33,,
10:43.0,,,30-35,2,H. Ellenson makes 2-pt shot from 1 ft (assist by I. Smith)
10:43.0,,,30-35,,Shooting foul by C. Zeller (drawn by H. Ellenson)
10:43.0,,,30-36,1,H. Ellenson makes free throw 1 of 1
10:30.0,Turnover by M. Monk (lost ball; steal by H. Ellenson),,30-36,,
10:24.0,,,30-38,2,H. Ellenson makes 2-pt shot from 1 ft
10:07.0,Turnover by D. Bacon (bad pass; steal by L. Galloway),,30-38,,
10:02.0,,,30-38,,L. Galloway misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by C. Zeller,,30-38,,
9:56.0,M. Monk misses 3-pt shot from 26 ft,,30-38,,
9:56.0,,,30-38,,Defensive rebound by L. Galloway
9:47.0,,,30-38,,H. Ellenson misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by D. Bacon,,30-38,,
9:34.0,C. Zeller misses 2-pt shot at rim (block by J. Leuer),,30-38,,
9:31.0,,,30-38,,Defensive rebound by H. Ellenson
9:28.0,,,30-38,,Turnover by J. Leuer (lost ball; steal by J. Stone)
9:14.0,M. Monk misses 2-pt shot from 2 ft,,30-38,,
9:12.0,,,30-38,,Defensive rebound by H. Ellenson
9:03.0,,,30-38,,I. Smith misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by C. Zeller,,30-38,,
8:43.0,D. Bacon misses 3-pt shot from 23 ft,,30-38,,
8:39.0,,,30-38,,Defensive rebound by J. Leuer
8:25.0,,,30-38,,S. Johnson misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by C. Zeller,,30-38,,
8:10.0,F. Kaminsky misses 3-pt shot from 25 ft,,30-38,,
8:07.0,,,30-38,,Defensive rebound by L. Galloway
8:04.0,,,30-38,,L. Galloway misses 2-pt shot from 19 ft
8:01.0,Defensive rebound by C. Zeller,,30-38,,
7:48.0,D. Bacon makes 2-pt shot from 1 ft (assist by J. Stone),2,32-38,,
7:40.0,,,32-38,,Detroit full timeout
7:40.0,,,32-38,,A. Drummond enters the game for L. Galloway
7:40.0,,,32-38,,A. Bradley enters the game for I. Smith
7:40.0,,,32-38,,R. Jackson enters the game for J. Leuer
7:40.0,K. Walker enters the game for J. Stone,,32-38,,
7:32.0,,,32-40,2,A. Bradley makes 2-pt shot from 1 ft (assist by A. Drummond)
7:17.0,F. Kaminsky misses 2-pt shot from 8 ft,,32-40,,
7:14.0,,,32-40,,Defensive rebound by A. Drummond
7:04.0,,,32-42,2,A. Bradley makes 2-pt shot from 1 ft (assist by A. Drummond)
6:44.0,Turnover by M. Monk (bad pass; steal by R. Jackson),,32-42,,
6:41.0,,,32-42,,Shooting foul by C. Zeller (drawn by S. Johnson)
6:41.0,,,32-43,1,S. Johnson makes free throw 1 of 2
6:41.0,D. Howard enters the game for F. Kaminsky,,32-43,,
6:41.0,,,32-44,1,S. Johnson makes free throw 2 of 2
6:35.0,Shooting foul by A. Bradley (drawn by K. Walker),,32-44,,
6:35.0,K. Walker misses free throw 1 of 3,,32-44,,
6:35.0,Offensive rebound by Team,,32-44,,
6:35.0,K. Walker makes free throw 2 of 3,1,33-44,,
6:35.0,,,33-44,,L. Galloway enters the game for A. Bradley
6:35.0,K. Walker makes free throw 3 of 3,1,34-44,,
6:14.0,,,34-44,,R. Jackson misses 2-pt shot from 5 ft
6:13.0,Defensive rebound by D. Howard,,34-44,,
6:09.0,D. Bacon misses 3-pt shot from 23 ft,,34-44,,
6:04.0,,,34-44,,Defensive rebound by A. Drummond
5:54.0,,,34-44,,R. Jackson misses 2-pt shot from 6 ft
5:53.0,Defensive rebound by K. Walker,,34-44,,
5:37.0,K. Walker makes 2-pt shot from 15 ft,2,36-44,,
5:24.0,,,36-44,,R. Jackson misses 2-pt shot from 6 ft
5:24.0,Defensive rebound by Team,,36-44,,
5:24.0,,,36-44,,Personal foul by A. Drummond (drawn by K. Walker)
5:24.0,,,36-44,,E. Moreland enters the game for A. Drummond
5:24.0,,,36-44,,T. Harris enters the game for H. Ellenson
5:24.0,J. Lamb enters the game for D. Bacon,,36-44,,
5:10.0,Turnover by K. Walker (bad pass; steal by E. Moreland),,36-44,,
4:57.0,,,36-46,2,T. Harris makes 2-pt shot from 20 ft
4:34.0,J. Lamb misses 2-pt shot from 15 ft,,36-46,,
4:32.0,,,36-46,,Defensive rebound by T. Harris
4:32.0,M. Williams enters the game for C. Zeller,,36-46,,
4:25.0,,,36-46,,Shooting foul by M. Monk (drawn by L. Galloway)
4:25.0,,,36-50,1,L. Galloway makes free throw 1 of 1
4:24.0,,,36-49,3,L. Galloway makes 3-pt shot from 27 ft (assist by T. Harris)
4:08.0,J. Lamb misses 2-pt shot from 15 ft,,36-49,,
4:05.0,,,36-49,,Defensive rebound by T. Harris
3:52.0,,,36-49,,S. Johnson misses 2-pt shot from 16 ft
3:45.0,Defensive rebound by M. Williams,,36-49,,
3:35.0,Shooting foul by E. Moreland (drawn by D. Howard),,36-49,,
3:35.0,D. Howard misses free throw 1 of 2,,36-49,,
3:35.0,Offensive rebound by Team,,36-49,,
3:35.0,T. Graham enters the game for M. Monk,,36-49,,
3:35.0,D. Howard misses free throw 2 of 2,,36-49,,
3:31.0,,,36-49,,Defensive rebound by S. Johnson
3:17.0,,,36-49,,Turnover by L. Galloway (bad pass)
3:04.0,Turnover by K. Walker (turnover),,36-49,,
2:51.0,,,36-49,,R. Jackson misses 3-pt shot from 26 ft
2:47.0,Defensive rebound by T. Graham,,36-49,,
2:32.0,T. Graham makes 3-pt shot from 25 ft (assist by D. Howard),3,39-50,,
2:13.0,,,39-50,,S. Johnson misses 2-pt shot from 8 ft (block by D. Howard)
2:11.0,Defensive rebound by K. Walker,,39-50,,
2:10.0,,,39-50,,Personal foul by R. Jackson (drawn by K. Walker)
2:10.0,Charlotte full timeout,,39-50,,
1:51.0,K. Walker makes 2-pt shot from 18 ft,2,41-50,,
1:22.0,,,41-50,,L. Galloway misses 2-pt shot from 22 ft
1:20.0,Defensive rebound by D. Howard,,41-50,,
1:16.0,D. Howard makes 2-pt shot from 20 ft (assist by K. Walker),2,43-50,,
0:59.0,,,43-53,3,L. Galloway makes 3-pt shot from 22 ft (assist by R. Jackson)
0:47.0,Turnover by J. Lamb (lost ball; steal by E. Moreland),,43-53,,
0:44.0,,,43-55,2,R. Jackson makes 2-pt shot at rim
0:44.0,,,43-55,,Shooting foul by J. Lamb (drawn by R. Jackson)
0:44.0,,,43-56,1,R. Jackson makes free throw 1 of 1
0:28.0,J. Lamb makes 2-pt shot from 4 ft,2,45-56,,
0:07.0,,,45-56,,S. Johnson misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by M. Williams,,45-56,,
0:00.0,K. Walker misses 3-pt shot from 25 ft,,45-56,,
0:00.0,Offensive rebound by Team,,45-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,45-58,2,A. Bradley makes 2-pt shot from 9 ft (assist by A. Drummond)
11:22.0,D. Howard misses 2-pt shot from 16 ft,,45-58,,
11:19.0,,,45-58,,Defensive rebound by A. Drummond
11:18.0,,,45-58,,Turnover by A. Bradley (lost ball; steal by J. Lamb)
11:12.0,M. Williams makes 3-pt shot from 24 ft (assist by D. Bacon),3,48-58,,
10:42.0,,,48-58,,A. Drummond misses 2-pt shot from 13 ft
10:40.0,Defensive rebound by J. Lamb,,48-58,,
10:23.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,51-58,,
10:06.0,,,51-58,,S. Johnson misses 3-pt shot from 24 ft
10:03.0,,,51-58,,Offensive rebound by A. Drummond
10:01.0,,,51-60,2,A. Drummond makes 2-pt shot from 3 ft
9:45.0,D. Bacon makes 3-pt shot from 27 ft (assist by K. Walker),3,54-60,,
9:23.0,,,54-63,3,T. Harris makes 3-pt shot from 23 ft (assist by R. Jackson)
9:21.0,Charlotte full timeout,,54-63,,
9:09.0,M. Williams misses 3-pt shot from 26 ft,,54-63,,
9:06.0,,,54-63,,Defensive rebound by A. Bradley
9:00.0,,,54-63,,S. Johnson misses 2-pt shot from 16 ft
8:56.0,Defensive rebound by J. Lamb,,54-63,,
8:42.0,Turnover by D. Howard (lost ball; steal by A. Drummond),,54-63,,
8:39.0,,,54-65,2,R. Jackson makes 2-pt shot from 3 ft
8:25.0,K. Walker misses 2-pt shot from 2 ft,,54-65,,
8:19.0,Offensive rebound by K. Walker,,54-65,,
8:18.0,K. Walker makes 2-pt shot at rim,2,56-65,,
7:56.0,,,56-67,2,R. Jackson makes 2-pt shot from 8 ft
7:41.0,D. Howard makes 2-pt shot from 3 ft (assist by D. Bacon),2,58-67,,
7:28.0,,,58-69,2,A. Bradley makes 2-pt shot from 20 ft (assist by R. Jackson)
7:10.0,Turnover by D. Howard (turnover),,58-69,,
6:58.0,,,58-69,,A. Drummond misses 2-pt shot from 8 ft
6:56.0,Defensive rebound by D. Howard,,58-69,,
6:52.0,K. Walker misses 2-pt shot from 15 ft,,58-69,,
6:49.0,,,58-69,,Defensive rebound by S. Johnson
6:35.0,,,58-69,,S. Johnson misses 3-pt shot from 28 ft
6:32.0,Defensive rebound by K. Walker,,58-69,,
6:14.0,D. Howard misses 2-pt shot from 7 ft (block by A. Drummond),,58-69,,
6:09.0,,,58-69,,Defensive rebound by A. Drummond
6:04.0,,,58-69,,Shooting foul by D. Bacon (drawn by A. Drummond)
6:04.0,,,58-70,1,A. Drummond makes free throw 1 of 2
6:04.0,F. Kaminsky enters the game for D. Bacon,,58-70,,
6:04.0,,,58-71,1,A. Drummond makes free throw 2 of 2
6:04.0,Violation by K. Walker (lane),,58-71,,
5:42.0,F. Kaminsky makes 2-pt shot from 13 ft,2,60-71,,
5:26.0,,,60-73,2,T. Harris makes 2-pt shot from 17 ft (assist by R. Jackson)
5:11.0,F. Kaminsky misses 2-pt shot from 5 ft (block by A. Drummond),,60-73,,
5:08.0,,,60-73,,Defensive rebound by R. Jackson
5:05.0,,,60-73,,S. Johnson misses 3-pt shot from 25 ft
5:01.0,,,60-73,,Offensive rebound by A. Drummond
4:57.0,,,60-73,,T. Harris misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by J. Lamb,,60-73,,
4:46.0,J. Lamb makes 2-pt shot from 6 ft,2,62-73,,
4:38.0,,,62-73,,Detroit full timeout
4:38.0,,,62-73,,J. Leuer enters the game for R. Jackson
4:38.0,,,62-73,,I. Smith enters the game for S. Johnson
4:25.0,,,62-75,2,I. Smith makes 2-pt shot from 15 ft (assist by T. Harris)
4:09.0,Shooting foul by I. Smith (drawn by M. Williams),,62-75,,
4:09.0,M. Williams makes free throw 1 of 2,1,63-75,,
4:09.0,M. Williams misses free throw 2 of 2,,63-75,,
4:05.0,,,63-75,,Defensive rebound by A. Drummond
3:55.0,,,63-77,2,A. Bradley makes 2-pt shot from 1 ft
3:55.0,,,63-77,,Shooting foul by J. Lamb (drawn by A. Bradley)
3:55.0,M. Monk enters the game for J. Lamb,,63-77,,
3:55.0,C. Zeller enters the game for D. Howard,,63-77,,
3:55.0,,,63-78,1,A. Bradley makes free throw 1 of 1
3:43.0,,,63-78,,Personal foul by I. Smith (drawn by K. Walker)
3:43.0,,,63-78,,H. Ellenson enters the game for A. Drummond
3:43.0,,,63-78,,L. Galloway enters the game for A. Bradley
3:40.0,,,63-78,,Personal foul by I. Smith (drawn by K. Walker)
3:34.0,K. Walker misses 3-pt shot from 26 ft,,63-78,,
3:32.0,,,63-78,,Defensive rebound by T. Harris
3:22.0,,,63-80,2,H. Ellenson makes 2-pt shot from 10 ft
3:06.0,M. Williams misses 2-pt shot from 14 ft,,63-80,,
3:03.0,,,63-80,,Defensive rebound by J. Leuer
2:50.0,,,63-80,,J. Leuer misses 2-pt shot from 8 ft
2:47.0,,,63-80,,Offensive rebound by T. Harris
2:44.0,,,63-80,,T. Harris misses 2-pt shot at rim
2:37.0,Defensive rebound by K. Walker,,63-80,,
2:35.0,K. Walker makes 2-pt shot from 12 ft,2,65-80,,
2:09.0,,,65-80,,I. Smith misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by F. Kaminsky,,65-80,,
1:57.0,F. Kaminsky misses 3-pt shot from 27 ft,,65-80,,
1:54.0,,,65-80,,Defensive rebound by T. Harris
1:47.0,,,65-82,2,J. Leuer makes 2-pt shot at rim (assist by I. Smith)
1:27.0,K. Walker misses 2-pt shot from 4 ft,,65-82,,
1:27.0,,,65-82,,Defensive rebound by J. Leuer
1:27.0,Personal foul by K. Walker (drawn by J. Leuer),,65-82,,
1:27.0,,,65-82,,S. Johnson enters the game for T. Harris
1:27.0,J. Stone enters the game for M. Williams,,65-82,,
1:27.0,T. Graham enters the game for K. Walker,,65-82,,
1:15.0,,,65-82,,H. Ellenson misses 2-pt shot from 16 ft
1:13.0,Defensive rebound by C. Zeller,,65-82,,
1:06.0,Shooting foul by H. Ellenson (drawn by C. Zeller),,65-82,,
1:06.0,C. Zeller makes free throw 1 of 2,1,66-82,,
1:06.0,C. Zeller makes free throw 2 of 2,1,67-82,,
0:49.0,,,67-82,,H. Ellenson misses 2-pt shot from 5 ft
0:47.0,Defensive rebound by J. Stone,,67-82,,
0:45.0,M. Monk makes 3-pt shot from 23 ft (assist by T. Graham),3,70-82,,
0:35.0,,,70-82,,J. Leuer misses 2-pt shot from 15 ft
0:35.0,Defensive rebound by J. Stone,,70-82,,
0:27.0,M. Monk misses 2-pt shot from 19 ft,,70-82,,
0:27.0,,,70-82,,Defensive rebound by I. Smith
0:04.0,,,70-82,,Turnover by I. Smith (lost ball; steal by J. Stone)
0:00.0,J. Stone misses 3-pt shot from 29 ft,,70-82,,
0:00.0,Offensive rebound by Team,,70-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,F. Kaminsky misses 2-pt shot from 8 ft,,70-82,,
11:43.0,Offensive rebound by C. Zeller,,70-82,,
11:41.0,C. Zeller misses 2-pt shot from 1 ft,,70-82,,
11:41.0,,,70-82,,Defensive rebound by H. Ellenson
11:29.0,,,70-82,,H. Ellenson misses 3-pt shot from 23 ft
11:25.0,Defensive rebound by F. Kaminsky,,70-82,,
11:17.0,Turnover by M. Monk (bad pass; steal by L. Galloway),,70-82,,
11:05.0,,,70-85,3,L. Galloway makes 3-pt shot from 25 ft (assist by I. Smith)
10:55.0,,,70-85,,Personal foul by I. Smith (drawn by M. Monk)
10:42.0,Turnover by C. Zeller (bad pass; steal by S. Johnson),,70-85,,
10:42.0,Personal foul by J. Stone (drawn by I. Smith),,70-85,,
10:25.0,,,70-88,3,H. Ellenson makes 3-pt shot from 26 ft (assist by I. Smith)
10:07.0,C. Zeller makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,72-88,,
9:55.0,,,72-88,,I. Smith misses 2-pt shot at rim
9:53.0,Defensive rebound by F. Kaminsky,,72-88,,
9:48.0,M. Monk misses 3-pt shot from 26 ft,,72-88,,
9:48.0,Offensive rebound by Team,,72-88,,
9:46.0,F. Kaminsky misses 3-pt shot from 26 ft,,72-88,,
9:42.0,,,72-88,,Defensive rebound by H. Ellenson
9:29.0,,,72-88,,L. Galloway misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by T. Graham,,72-88,,
9:20.0,C. Zeller makes 2-pt shot from 20 ft (assist by T. Graham),2,74-88,,
9:07.0,,,74-88,,Turnover by I. Smith (out of bounds lost ball)
8:48.0,T. Graham misses 2-pt shot from 6 ft,,74-88,,
8:48.0,Offensive rebound by Team,,74-88,,
8:45.0,Turnover by C. Zeller (lost ball; steal by S. Johnson),,74-88,,
8:30.0,,,74-91,3,H. Ellenson makes 3-pt shot from 26 ft (assist by I. Smith)
8:03.0,T. Graham makes 2-pt shot from 17 ft,2,76-91,,
7:47.0,,,76-91,,I. Smith misses 2-pt shot from 16 ft
7:46.0,Defensive rebound by C. Zeller,,76-91,,
7:37.0,M. Monk misses 3-pt shot from 23 ft,,76-91,,
7:35.0,,,76-91,,Defensive rebound by L. Galloway
7:29.0,,,76-91,,J. Leuer misses 2-pt shot from 15 ft
7:25.0,Defensive rebound by J. Stone,,76-91,,
7:19.0,M. Monk misses 3-pt shot from 23 ft,,76-91,,
7:16.0,,,76-91,,Defensive rebound by L. Galloway
7:09.0,Personal foul by J. Stone (drawn by J. Leuer),,76-91,,
7:09.0,,,76-91,,A. Drummond enters the game for H. Ellenson
7:09.0,,,76-91,,A. Bradley enters the game for L. Galloway
7:09.0,,,76-91,,T. Harris enters the game for J. Leuer
7:09.0,D. Howard enters the game for F. Kaminsky,,76-91,,
7:09.0,K. Walker enters the game for J. Stone,,76-91,,
7:03.0,,,76-91,,I. Smith misses 2-pt shot from 11 ft
6:58.0,Defensive rebound by D. Howard,,76-91,,
6:49.0,K. Walker makes 2-pt shot at rim,2,78-91,,
6:30.0,,,78-91,,S. Johnson misses 2-pt shot from 19 ft
6:29.0,,,78-91,,Offensive rebound by A. Drummond
6:27.0,,,78-91,,A. Drummond misses 2-pt shot from 2 ft
6:27.0,Defensive rebound by D. Howard,,78-91,,
6:17.0,K. Walker makes 3-pt shot from 25 ft,3,81-91,,
6:00.0,,,81-91,,I. Smith misses 2-pt shot from 7 ft
5:56.0,,,81-91,,Offensive rebound by A. Drummond
5:56.0,,,81-93,2,A. Drummond makes 2-pt shot at rim
5:35.0,Turnover by K. Walker (bad pass; steal by S. Johnson),,81-93,,
5:28.0,,,81-93,,Turnover by A. Bradley (bad pass; steal by D. Howard)
5:23.0,M. Monk misses 3-pt shot from 22 ft,,81-93,,
5:20.0,,,81-93,,Defensive rebound by Team
5:20.0,,,81-93,,Detroit full timeout
5:20.0,,,81-93,,R. Jackson enters the game for I. Smith
5:20.0,J. Lamb enters the game for M. Monk,,81-93,,
4:57.0,,,81-93,,T. Harris misses 3-pt shot from 26 ft
4:47.0,,,81-93,,Offensive rebound by A. Drummond
4:47.0,,,81-93,,A. Drummond misses 2-pt shot at rim
4:45.0,Defensive rebound by D. Howard,,81-93,,
4:38.0,C. Zeller makes 2-pt shot from 8 ft (assist by T. Graham),2,83-93,,
4:27.0,Personal foul by D. Howard (drawn by A. Drummond),,83-93,,
4:15.0,,,83-93,,R. Jackson misses 2-pt shot from 9 ft
4:14.0,Defensive rebound by J. Lamb,,83-93,,
4:11.0,,,83-93,,Personal foul by T. Harris (drawn by T. Graham)
4:08.0,Turnover by J. Lamb (turnover),,83-93,,
3:58.0,,,83-93,,Turnover by T. Harris (turnover)
3:48.0,J. Lamb misses 3-pt shot from 25 ft,,83-93,,
3:45.0,,,83-93,,Defensive rebound by A. Drummond
3:39.0,,,83-95,2,R. Jackson makes 2-pt shot from 10 ft
3:23.0,Shooting foul by A. Bradley (drawn by K. Walker),,83-95,,
3:23.0,K. Walker makes free throw 1 of 2,1,84-95,,
3:23.0,K. Walker makes free throw 2 of 2,1,85-95,,
3:06.0,,,85-97,2,A. Drummond makes 2-pt shot from 1 ft (assist by A. Bradley)
2:52.0,T. Graham misses 3-pt shot from 26 ft,,85-97,,
2:49.0,,,85-97,,Defensive rebound by R. Jackson
2:44.0,,,85-97,,T. Harris misses 2-pt shot from 4 ft (block by C. Zeller)
2:44.0,,,85-97,,Offensive rebound by T. Harris
2:36.0,,,85-97,,S. Johnson misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by D. Howard,,85-97,,
2:27.0,Charlotte full timeout,,85-97,,
2:27.0,M. Williams enters the game for C. Zeller,,85-97,,
2:24.0,Shooting foul by S. Johnson (drawn by J. Lamb),,85-97,,
2:24.0,J. Lamb makes free throw 1 of 2,1,86-97,,
2:24.0,J. Lamb makes free throw 2 of 2,1,87-97,,
2:10.0,,,87-97,,A. Drummond misses 2-pt shot from 1 ft
2:09.0,,,87-97,,Offensive rebound by R. Jackson
1:44.0,,,87-97,,S. Johnson misses 2-pt shot from 4 ft
