time,Denver,pts.away,score,pts.home,Utah
8:15.0,,,3-8,2,R. Rubio makes 2-pt shot from 18 ft
7:59.0,N. Jokic makes 2-pt shot from 19 ft (assist by J. Murray),2,5-8,,
7:36.0,,,5-8,,D. Mitchell misses 2-pt shot from 1 ft
7:33.0,Defensive rebound by N. Jokic,,5-8,,
7:23.0,W. Chandler makes 2-pt shot from 1 ft,2,7-8,,
7:16.0,,,7-8,,Utah full timeout
7:16.0,,,7-8,,J. Johnson enters the game for D. Favors
7:05.0,,,7-10,2,J. Johnson makes 2-pt shot from 8 ft
6:46.0,N. Jokic misses 2-pt shot from 2 ft,,7-10,,
6:43.0,,,7-10,,Defensive rebound by J. Ingles
6:39.0,,,7-12,2,D. Mitchell makes 2-pt shot from 9 ft
6:20.0,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic),3,10-12,,
6:03.0,,,10-12,,J. Ingles misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by P. Millsap,,10-12,,
5:56.0,P. Millsap makes 2-pt shot from 4 ft,2,12-12,,
5:56.0,Shooting foul by R. Gobert (drawn by P. Millsap),,12-12,,
5:56.0,,,12-12,,R. Hood enters the game for D. Mitchell
5:56.0,W. Barton enters the game for N. Jokic,,12-12,,
5:56.0,M. Plumlee enters the game for W. Chandler,,12-12,,
5:56.0,P. Millsap makes free throw 1 of 1,1,13-12,,
5:48.0,,,13-12,,J. Johnson misses 3-pt shot from 23 ft
5:43.0,Defensive rebound by W. Barton,,13-12,,
5:40.0,M. Plumlee makes 2-pt shot from 3 ft (assist by W. Barton),2,15-12,,
5:19.0,,,15-14,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
5:08.0,Shooting foul by J. Ingles (drawn by P. Millsap),,15-14,,
5:08.0,P. Millsap makes free throw 1 of 2,1,16-14,,
5:08.0,E. Mudiay enters the game for J. Murray,,16-14,,
5:08.0,P. Millsap makes free throw 2 of 2,1,17-14,,
4:57.0,Personal foul by E. Mudiay (drawn by R. Hood),,17-14,,
4:43.0,,,17-14,,J. Johnson misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by Team,,17-14,,
4:25.0,Offensive foul by P. Millsap (drawn by R. Rubio),,17-14,,
4:25.0,Turnover by P. Millsap (offensive foul),,17-14,,
4:25.0,,,17-14,,A. Burks enters the game for J. Ingles
4:25.0,N. Jokic enters the game for P. Millsap,,17-14,,
4:09.0,,,17-14,,R. Hood misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by N. Jokic,,17-14,,
4:04.0,Turnover by N. Jokic (traveling),,17-14,,
3:43.0,,,17-16,2,A. Burks makes 2-pt shot from 3 ft
3:33.0,W. Barton makes 3-pt shot from 22 ft (assist by G. Harris),3,20-16,,
3:12.0,,,20-16,,R. Hood misses 2-pt shot from 13 ft
3:09.0,Defensive rebound by W. Barton,,20-16,,
3:07.0,Shooting foul by A. Burks (drawn by W. Barton),,20-16,,
3:07.0,W. Barton makes free throw 1 of 2,1,21-16,,
3:07.0,,,21-16,,D. Mitchell enters the game for R. Rubio
3:07.0,W. Chandler enters the game for G. Harris,,21-16,,
3:07.0,W. Barton makes free throw 2 of 2,1,22-16,,
2:48.0,,,22-16,,J. Johnson misses 2-pt shot from 5 ft
2:46.0,Defensive rebound by N. Jokic,,22-16,,
2:34.0,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic),2,24-16,,
2:10.0,,,24-16,,A. Burks misses 2-pt shot from 22 ft
2:06.0,Defensive rebound by M. Plumlee,,24-16,,
1:54.0,,,24-16,,Violation by J. Johnson (kicked ball)
1:54.0,Denver full timeout,,24-16,,
1:54.0,,,24-16,,E. Udoh enters the game for R. Gobert
1:42.0,E. Mudiay misses 2-pt shot from 7 ft (block by E. Udoh),,24-16,,
1:40.0,Offensive rebound by Team,,24-16,,
1:40.0,Turnover by Team (shot clock),,24-16,,
1:21.0,,,24-19,3,R. Hood makes 3-pt shot from 24 ft
1:08.0,N. Jokic misses 2-pt shot from 11 ft,,24-19,,
1:05.0,,,24-19,,Defensive rebound by J. Johnson
0:59.0,,,24-19,,D. Mitchell misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by W. Barton,,24-19,,
0:53.0,W. Barton makes 3-pt shot from 25 ft,3,27-19,,
0:36.0,,,27-21,2,J. Johnson makes 2-pt shot from 10 ft
0:28.0,W. Chandler makes 3-pt shot from 25 ft (assist by N. Jokic),3,30-21,,
0:09.0,Personal foul by M. Plumlee (drawn by D. Mitchell),,30-21,,
0:01.0,,,30-21,,A. Burks misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by N. Jokic,,30-21,,
0:00.0,N. Jokic misses 3-pt shot from 61 ft,,30-21,,
0:00.0,Offensive rebound by Team,,30-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,E. Mudiay misses 2-pt shot from 4 ft,,30-21,,
11:40.0,,,30-21,,Defensive rebound by D. Favors
11:29.0,,,30-21,,Turnover by D. Mitchell (lost ball; steal by W. Barton)
11:25.0,W. Barton makes 2-pt shot from 2 ft,2,32-21,,
11:05.0,,,32-23,2,T. Sefolosha makes 2-pt shot from 3 ft
10:51.0,Turnover by K. Faried (lost ball; steal by A. Burks),,32-23,,
10:46.0,,,32-25,2,A. Burks makes 2-pt shot from 1 ft
10:33.0,N. Jokic makes 2-pt shot from 21 ft (assist by E. Mudiay),2,34-25,,
10:18.0,,,34-25,,D. Favors misses 2-pt shot from 18 ft
10:18.0,Defensive rebound by E. Mudiay,,34-25,,
9:57.0,,,34-25,,Personal foul by D. Favors (drawn by N. Jokic)
9:57.0,,,34-25,,J. Ingles enters the game for A. Burks
9:46.0,W. Barton makes 3-pt shot from 24 ft,3,37-25,,
9:24.0,,,37-28,3,J. Ingles makes 3-pt shot from 22 ft (assist by T. Sefolosha)
9:09.0,E. Mudiay misses 2-pt shot from 14 ft,,37-28,,
9:06.0,,,37-28,,Defensive rebound by J. Ingles
8:52.0,,,37-30,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
8:52.0,Denver full timeout,,37-30,,
8:52.0,P. Millsap enters the game for N. Jokic,,37-30,,
8:32.0,E. Mudiay misses 2-pt shot from 15 ft (block by E. Udoh),,37-30,,
8:32.0,Offensive rebound by K. Faried,,37-30,,
8:32.0,,,37-30,,Personal foul by J. Ingles (drawn by K. Faried)
8:26.0,P. Millsap misses 2-pt shot from 17 ft,,37-30,,
8:24.0,,,37-30,,Defensive rebound by D. Favors
8:18.0,,,37-33,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Mitchell)
7:49.0,P. Millsap misses 3-pt shot from 25 ft,,37-33,,
7:46.0,,,37-33,,Defensive rebound by T. Sefolosha
7:39.0,G. Harris enters the game for J. Hernangomez,,37-33,,
7:34.0,,,37-33,,Turnover by E. Udoh (out of bounds lost ball)
7:17.0,Turnover by P. Millsap (bad pass; steal by J. Ingles),,37-33,,
7:14.0,,,37-33,,R. Gobert enters the game for E. Udoh
7:14.0,J. Murray enters the game for E. Mudiay,,37-33,,
7:12.0,Personal foul by W. Barton (drawn by J. Ingles),,37-33,,
7:12.0,,,37-33,,R. Rubio enters the game for D. Mitchell
6:59.0,,,37-33,,T. Sefolosha misses 2-pt shot from 14 ft
6:56.0,Defensive rebound by P. Millsap,,37-33,,
6:49.0,,,37-33,,Violation by D. Favors (kicked ball)
6:49.0,,,37-33,,R. Hood enters the game for T. Sefolosha
6:43.0,W. Barton makes 2-pt shot from 3 ft,2,39-33,,
6:28.0,,,39-33,,D. Favors misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by G. Harris,,39-33,,
6:15.0,P. Millsap makes 3-pt shot from 25 ft (assist by W. Barton),3,42-33,,
5:58.0,,,42-33,,R. Gobert misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by P. Millsap,,42-33,,
5:53.0,K. Faried makes 2-pt shot from 3 ft (assist by P. Millsap),2,44-33,,
5:51.0,,,44-33,,Utah full timeout
5:51.0,,,44-33,,J. Johnson enters the game for D. Favors
5:51.0,M. Plumlee enters the game for K. Faried,,44-33,,
5:51.0,W. Chandler enters the game for W. Barton,,44-33,,
5:41.0,Def 3 sec tech foul by M. Plumlee,,44-33,,
5:41.0,,,44-34,1,R. Rubio makes technical free throw
5:34.0,,,44-37,3,J. Ingles makes 3-pt shot from 22 ft (assist by R. Rubio)
5:14.0,J. Murray misses 3-pt shot from 25 ft,,44-37,,
5:12.0,,,44-37,,Defensive rebound by R. Gobert
5:06.0,,,44-39,2,R. Gobert makes 2-pt shot from 3 ft (assist by R. Rubio)
5:02.0,Turnover by J. Murray (traveling),,44-39,,
5:02.0,N. Jokic enters the game for M. Plumlee,,44-39,,
4:52.0,,,44-41,2,J. Ingles makes 2-pt shot from 2 ft (assist by R. Rubio)
4:52.0,Denver full timeout,,44-41,,
4:52.0,W. Barton enters the game for J. Murray,,44-41,,
4:39.0,N. Jokic misses 3-pt shot from 25 ft,,44-41,,
4:35.0,Offensive rebound by P. Millsap,,44-41,,
4:32.0,Shooting foul by J. Johnson (drawn by W. Barton),,44-41,,
4:32.0,W. Barton makes free throw 1 of 2,1,45-41,,
4:32.0,W. Barton makes free throw 2 of 2,1,46-41,,
4:07.0,,,46-41,,Turnover by R. Gobert (offensive goaltending)
3:56.0,W. Barton makes 2-pt shot from 12 ft,2,48-41,,
3:39.0,,,48-43,2,R. Rubio makes 2-pt shot from 18 ft (assist by R. Gobert)
3:24.0,N. Jokic makes 3-pt shot from 24 ft (assist by G. Harris),3,51-43,,
3:11.0,,,51-43,,D. Mitchell enters the game for R. Hood
3:01.0,,,51-43,,D. Mitchell misses 3-pt shot from 26 ft
2:58.0,,,51-43,,Offensive rebound by J. Johnson
2:57.0,,,51-43,,J. Johnson misses 2-pt shot from 8 ft
2:57.0,,,51-43,,Offensive rebound by R. Gobert
2:46.0,,,51-45,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
2:31.0,P. Millsap misses 2-pt shot from 8 ft,,51-45,,
2:28.0,,,51-45,,Defensive rebound by J. Johnson
2:25.0,,,51-45,,Turnover by J. Johnson (bad pass; steal by G. Harris)
2:23.0,G. Harris makes 2-pt shot from 1 ft,2,53-45,,
2:17.0,,,53-45,,R. Rubio misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by N. Jokic,,53-45,,
2:08.0,W. Barton misses 2-pt shot from 11 ft,,53-45,,
2:08.0,,,53-45,,Defensive rebound by D. Mitchell
1:56.0,,,53-47,2,D. Mitchell makes 2-pt shot from 2 ft
1:42.0,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic),3,56-47,,
1:20.0,,,56-47,,R. Rubio misses 3-pt shot from 24 ft
1:18.0,Defensive rebound by N. Jokic,,56-47,,
1:02.0,Turnover by W. Barton (traveling),,56-47,,
1:02.0,M. Plumlee enters the game for P. Millsap,,56-47,,
0:51.0,,,56-49,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
0:37.0,M. Plumlee misses 2-pt shot from 8 ft (block by R. Gobert),,56-49,,
0:37.0,Turnover by W. Chandler (lost ball; steal by R. Rubio),,56-49,,
0:31.0,Offensive rebound by W. Chandler,,56-49,,
0:29.0,,,56-49,,D. Mitchell misses 2-pt shot from 2 ft
0:29.0,Defensive rebound by N. Jokic,,56-49,,
0:24.0,W. Chandler makes 2-pt shot from 3 ft (assist by N. Jokic),2,58-49,,
0:04.0,,,58-49,,D. Mitchell misses 2-pt shot from 22 ft
0:00.0,Defensive rebound by W. Barton,,58-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,P. Millsap makes 2-pt shot from 13 ft (assist by J. Murray),2,60-49,,
11:37.0,,,60-49,,Offensive foul by R. Gobert (drawn by J. Murray)
11:37.0,,,60-49,,Turnover by R. Gobert (offensive foul)
11:27.0,P. Millsap misses 3-pt shot from 25 ft,,60-49,,
11:25.0,,,60-49,,Defensive rebound by R. Hood
11:09.0,Jump ball: R. Gobert vs. W. Chandler (N. Jokic gains possession),,,,Jump ball: R. Gobert vs. W. Chandler (N. Jokic gains possession)
11:09.0,,,60-49,,Turnover by R. Gobert (turnover; steal by W. Chandler)
11:00.0,G. Harris misses 2-pt shot from 10 ft,,60-49,,
10:56.0,Offensive rebound by G. Harris,,60-49,,
10:53.0,J. Murray makes 3-pt shot from 24 ft (assist by G. Harris),3,63-49,,
10:32.0,,,63-51,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
10:23.0,,,63-51,,Violation by R. Rubio (kicked ball)
10:11.0,P. Millsap makes 2-pt shot from 6 ft,2,65-51,,
9:56.0,,,65-53,2,D. Favors makes 2-pt shot from 16 ft (assist by R. Rubio)
9:36.0,J. Murray misses 2-pt shot from 12 ft,,65-53,,
9:34.0,,,65-53,,Defensive rebound by R. Hood
9:29.0,,,65-53,,Offensive charge foul by D. Favors (drawn by P. Millsap)
9:29.0,,,65-53,,Turnover by D. Favors (offensive foul)
9:16.0,Turnover by P. Millsap (traveling),,65-53,,
9:03.0,,,65-53,,D. Favors misses 2-pt shot from 9 ft
9:01.0,Defensive rebound by G. Harris,,65-53,,
8:57.0,G. Harris makes 2-pt shot from 8 ft,2,67-53,,
8:57.0,Shooting foul by R. Hood (drawn by G. Harris),,67-53,,
8:57.0,G. Harris makes free throw 1 of 1,1,68-53,,
8:47.0,,,68-53,,Turnover by R. Rubio (bad pass; steal by W. Chandler)
8:42.0,J. Murray misses 3-pt shot from 23 ft,,68-53,,
8:38.0,,,68-53,,Defensive rebound by R. Rubio
8:31.0,,,68-53,,R. Rubio misses 3-pt shot from 22 ft
8:27.0,Defensive rebound by G. Harris,,68-53,,
8:22.0,W. Chandler misses 2-pt shot from 2 ft,,68-53,,
8:21.0,,,68-53,,Defensive rebound by D. Favors
8:14.0,,,68-55,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio)
7:58.0,,,68-55,,Personal foul by D. Favors (drawn by N. Jokic)
7:47.0,Shooting foul by J. Ingles (drawn by J. Murray),,68-55,,
7:47.0,J. Murray makes free throw 1 of 2,1,69-55,,
7:47.0,J. Murray makes free throw 2 of 2,1,70-55,,
7:36.0,,,70-57,2,D. Favors makes 2-pt shot from 13 ft (assist by R. Rubio)
7:22.0,Turnover by P. Millsap (traveling),,70-57,,
7:06.0,Personal foul by J. Murray (drawn by J. Ingles),,70-57,,
6:57.0,,,70-60,3,R. Hood makes 3-pt shot from 25 ft (assist by D. Favors)
6:57.0,Denver full timeout,,70-60,,
6:41.0,J. Murray makes 3-pt shot from 24 ft (assist by W. Chandler),3,73-60,,
6:25.0,,,73-60,,Shooting foul by W. Chandler (drawn by R. Gobert)
6:25.0,,,73-61,1,R. Gobert makes free throw 1 of 2
6:25.0,,,73-62,1,R. Gobert makes free throw 2 of 2
6:13.0,P. Millsap makes 2-pt shot from 2 ft (assist by N. Jokic),2,75-62,,
5:57.0,,,75-64,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
5:40.0,P. Millsap misses 2-pt shot from 2 ft,,75-64,,
5:37.0,,,75-64,,Defensive rebound by R. Gobert
5:19.0,,,75-66,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Favors)
4:57.0,W. Chandler makes 2-pt shot from 20 ft,2,77-66,,
4:39.0,,,77-66,,J. Ingles misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by N. Jokic,,77-66,,
4:29.0,W. Chandler misses 2-pt shot from 13 ft,,77-66,,
4:27.0,,,77-66,,Defensive rebound by J. Ingles
4:21.0,,,77-69,3,R. Rubio makes 3-pt shot from 24 ft (assist by D. Favors)
3:54.0,P. Millsap makes 2-pt shot from 5 ft (assist by N. Jokic),2,79-69,,
3:54.0,,,79-69,,Utah full timeout
3:54.0,,,79-69,,A. Burks enters the game for J. Ingles
3:54.0,,,79-69,,D. Mitchell enters the game for R. Hood
3:54.0,,,79-69,,J. Johnson enters the game for D. Favors
3:54.0,M. Plumlee enters the game for N. Jokic,,79-69,,
3:54.0,E. Mudiay enters the game for W. Chandler,,79-69,,
3:54.0,W. Barton enters the game for J. Murray,,79-69,,
3:45.0,,,79-69,,J. Johnson misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by G. Harris,,79-69,,
3:20.0,G. Harris misses 2-pt shot from 13 ft,,79-69,,
3:19.0,,,79-69,,Defensive rebound by Team
3:19.0,,,79-69,,T. Sefolosha enters the game for R. Rubio
3:05.0,,,79-69,,Turnover by D. Mitchell (traveling)
2:46.0,M. Plumlee makes 2-pt shot at rim (assist by E. Mudiay),2,81-69,,
2:32.0,,,81-69,,A. Burks misses 2-pt shot from 3 ft
2:30.0,,,81-69,,Offensive rebound by J. Johnson
2:21.0,,,81-71,2,A. Burks makes 2-pt shot from 15 ft
2:05.0,P. Millsap misses 3-pt shot from 25 ft,,81-71,,
2:04.0,,,81-71,,Defensive rebound by R. Gobert
1:52.0,,,81-71,,Turnover by D. Mitchell (traveling)
1:52.0,,,81-71,,E. Udoh enters the game for R. Gobert
1:52.0,W. Chandler enters the game for P. Millsap,,81-71,,
1:38.0,W. Barton misses 2-pt shot from 4 ft,,81-71,,
1:38.0,Offensive rebound by Team,,81-71,,
1:38.0,Loose ball foul by M. Plumlee (drawn by D. Mitchell),,81-71,,
1:38.0,Turnover by M. Plumlee (turnover),,81-71,,
1:19.0,,,81-73,2,J. Johnson makes 2-pt shot from 9 ft
1:00.0,E. Mudiay makes 2-pt shot from 2 ft (assist by M. Plumlee),2,83-73,,
0:44.0,,,83-73,,D. Mitchell misses 2-pt shot from 2 ft (block by M. Plumlee)
0:44.0,,,83-73,,Offensive rebound by Team
0:40.0,,,83-73,,Shooting foul by M. Plumlee (drawn by E. Udoh)
0:40.0,,,83-74,1,E. Udoh makes free throw 1 of 2
0:40.0,,,83-75,1,E. Udoh makes free throw 2 of 2
0:31.0,M. Plumlee misses 2-pt shot from 2 ft,,83-75,,
0:28.0,,,83-75,,Defensive rebound by T. Sefolosha
0:22.0,,,83-75,,T. Sefolosha misses 3-pt shot from 24 ft
0:18.0,,,83-75,,Offensive rebound by E. Udoh
0:02.0,,,83-75,,D. Mitchell misses 2-pt shot from 1 ft (block by W. Chandler)
0:02.0,,,83-75,,Offensive rebound by Team
0:00.0,,,83-78,2,J. Johnson makes 3-pt shot from 24 ft (assist by D. Mitchell)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,83-80,2,A. Burks makes 2-pt shot from 1 ft (assist by J. Johnson)
11:29.0,Offensive foul by M. Plumlee (drawn by A. Burks),,83-80,,
11:29.0,Turnover by M. Plumlee (offensive foul),,83-80,,
11:18.0,Denver full timeout,,83-80,,
11:17.0,,,83-82,2,J. Johnson makes 2-pt shot from 2 ft
11:09.0,,,83-82,,Personal foul by D. Mitchell (drawn by W. Barton)
11:00.0,,,83-82,,Personal foul by J. Johnson (drawn by N. Jokic)
10:48.0,W. Chandler misses 2-pt shot from 12 ft,,83-82,,
10:45.0,Offensive rebound by M. Plumlee,,83-82,,
10:44.0,M. Plumlee makes 2-pt shot from 1 ft,2,85-82,,
10:25.0,,,85-82,,Shooting foul by W. Chandler (drawn by J. Johnson)
10:25.0,,,85-83,1,J. Johnson makes free throw 1 of 2
10:25.0,,,85-84,1,J. Johnson makes free throw 2 of 2
10:09.0,N. Jokic misses 2-pt shot from 7 ft,,85-84,,
10:06.0,,,85-84,,Defensive rebound by A. Burks
9:59.0,,,85-87,3,A. Burks makes 3-pt shot from 24 ft
9:41.0,Turnover by N. Jokic (lost ball; steal by J. Johnson),,85-87,,
9:35.0,,,85-89,2,D. Mitchell makes 2-pt shot from 2 ft (assist by T. Sefolosha)
9:28.0,,,85-89,,Personal foul by J. Johnson (drawn by N. Jokic)
9:28.0,,,85-89,,D. Favors enters the game for J. Johnson
9:28.0,P. Millsap enters the game for M. Plumlee,,85-89,,
9:13.0,Turnover by N. Jokic (bad pass),,85-89,,
9:05.0,,,85-92,3,A. Burks makes 3-pt shot from 26 ft (assist by D. Mitchell)
8:52.0,E. Mudiay misses 2-pt shot from 3 ft (block by E. Udoh),,85-92,,
8:50.0,,,85-92,,Defensive rebound by E. Udoh
8:45.0,,,85-94,2,A. Burks makes 2-pt shot from 1 ft (assist by D. Mitchell)
8:45.0,Denver full timeout,,85-94,,
8:45.0,G. Harris enters the game for E. Mudiay,,85-94,,
8:28.0,Shooting foul by D. Favors (drawn by P. Millsap),,85-94,,
8:28.0,P. Millsap misses free throw 1 of 2,,85-94,,
8:28.0,Offensive rebound by Team,,85-94,,
8:28.0,P. Millsap makes free throw 2 of 2,1,86-94,,
8:04.0,,,86-94,,E. Udoh misses 2-pt shot from 10 ft
8:01.0,Defensive rebound by W. Barton,,86-94,,
7:55.0,W. Barton misses 2-pt shot from 9 ft,,86-94,,
7:53.0,Offensive rebound by W. Barton,,86-94,,
7:52.0,Turnover by W. Barton (lost ball; steal by T. Sefolosha),,86-94,,
7:33.0,,,86-94,,Shooting foul by W. Barton (drawn by D. Mitchell)
7:33.0,,,86-95,1,D. Mitchell makes free throw 1 of 2
7:33.0,,,86-95,,R. Gobert enters the game for E. Udoh
7:33.0,M. Plumlee enters the game for N. Jokic,,86-95,,
7:33.0,,,86-96,1,D. Mitchell makes free throw 2 of 2
7:21.0,W. Barton misses 2-pt shot from 4 ft,,86-96,,
7:18.0,,,86-96,,Defensive rebound by R. Gobert
7:03.0,,,86-96,,T. Sefolosha misses 3-pt shot from 22 ft
7:01.0,,,86-96,,Offensive rebound by R. Gobert
7:00.0,,,86-96,,Shooting foul by M. Plumlee (drawn by R. Gobert)
7:00.0,,,86-97,1,R. Gobert makes free throw 1 of 2
7:00.0,,,86-97,,R. Rubio enters the game for A. Burks
7:00.0,,,86-97,,J. Ingles enters the game for D. Mitchell
7:00.0,J. Murray enters the game for W. Chandler,,86-97,,
7:00.0,,,86-98,1,R. Gobert makes free throw 2 of 2
6:44.0,Turnover by G. Harris (step out of bounds),,86-98,,
6:35.0,,,86-98,,Offensive charge foul by R. Gobert (drawn by P. Millsap)
6:35.0,,,86-98,,Turnover by R. Gobert (offensive foul)
6:22.0,W. Barton misses 3-pt shot from 23 ft,,86-98,,
6:19.0,,,86-98,,Defensive rebound by J. Ingles
6:14.0,Personal foul by G. Harris (drawn by R. Rubio),,86-98,,
6:14.0,,,86-98,,Utah full timeout
6:08.0,,,86-98,,Offensive foul by R. Gobert (drawn by W. Barton)
6:08.0,,,86-98,,Turnover by R. Gobert (offensive foul)
5:52.0,Offensive foul by J. Murray (drawn by R. Rubio),,86-98,,
5:52.0,Turnover by J. Murray (offensive foul),,86-98,,
5:52.0,N. Jokic enters the game for M. Plumlee,,86-98,,
5:52.0,W. Chandler enters the game for J. Murray,,86-98,,
5:35.0,,,86-100,2,D. Favors makes 2-pt shot from 15 ft (assist by R. Rubio)
5:24.0,P. Millsap makes 2-pt shot from 18 ft,2,88-100,,
5:09.0,Personal foul by P. Millsap (drawn by R. Rubio),,88-100,,
5:09.0,,,88-100,,R. Rubio misses free throw 1 of 2
5:09.0,,,88-100,,Offensive rebound by Team
5:09.0,,,88-101,1,R. Rubio makes free throw 2 of 2
4:58.0,N. Jokic misses 3-pt shot from 25 ft,,88-101,,
4:53.0,,,88-101,,Defensive rebound by J. Ingles
4:31.0,,,88-101,,R. Rubio misses 2-pt shot from 8 ft (block by W. Barton)
4:28.0,Defensive rebound by P. Millsap,,88-101,,
4:24.0,P. Millsap misses 3-pt shot from 25 ft,,88-101,,
4:21.0,,,88-101,,Defensive rebound by R. Gobert
4:04.0,,,88-101,,D. Favors misses 2-pt shot from 16 ft
3:58.0,,,88-101,,Offensive rebound by R. Gobert
3:58.0,,,88-101,,R. Gobert misses 2-pt shot at rim
3:57.0,Defensive rebound by W. Chandler,,88-101,,
3:47.0,W. Chandler misses 3-pt shot from 25 ft,,88-101,,
3:45.0,,,88-101,,Defensive rebound by R. Rubio
3:44.0,,,88-103,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by R. Rubio)
3:44.0,,,88-103,,Shooting foul by G. Harris (drawn by T. Sefolosha)
3:44.0,,,88-104,1,T. Sefolosha makes free throw 1 of 1
3:40.0,Offensive foul by N. Jokic (drawn by R. Rubio),,88-104,,
3:40.0,Turnover by N. Jokic (offensive foul),,88-104,,
3:40.0,,,88-104,,Utah full timeout
3:18.0,,,88-104,,Turnover by R. Gobert (traveling)
3:10.0,Turnover by W. Barton (bad pass; steal by T. Sefolosha),,88-104,,
2:54.0,,,88-104,,D. Favors misses 2-pt shot from 12 ft
2:51.0,Defensive rebound by N. Jokic,,88-104,,
2:42.0,W. Barton makes 2-pt shot from 18 ft,2,90-104,,
2:16.0,,,90-104,,R. Rubio misses 3-pt shot from 24 ft
2:14.0,Defensive rebound by N. Jokic,,90-104,,
1:58.0,Turnover by P. Millsap (lost ball; steal by D. Favors),,90-104,,
1:55.0,,,90-106,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Favors)
1:39.0,W. Barton misses 2-pt shot from 14 ft,,90-106,,
1:36.0,,,90-106,,Defensive rebound by R. Rubio
1:31.0,,,90-106,,D. Favors misses 2-pt shot from 2 ft
1:31.0,Defensive rebound by N. Jokic,,90-106,,
1:31.0,Denver full timeout,,90-106,,
1:31.0,T. Lyles enters the game for P. Millsap,,90-106,,
1:31.0,E. Mudiay enters the game for W. Barton,,90-106,,
1:31.0,J. Hernangomez enters the game for G. Harris,,90-106,,
1:31.0,J. Murray enters the game for N. Jokic,,90-106,,
1:31.0,M. Beasley enters the game for W. Chandler,,90-106,,
