time,Atlanta,pts.away,score,pts.home,Houston
4:22.0,Defensive rebound by J. Collins,,15-21,,
4:18.0,Turnover by T. Waller-Prince (lost ball; steal by J. Harden),,15-21,,
4:01.0,,,15-24,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
3:59.0,Atlanta full timeout,,15-24,,
3:59.0,,,15-24,,J. Johnson enters the game for P. Tucker
3:59.0,,,15-24,,N. Hilario enters the game for C. Capela
3:59.0,M. Muscala enters the game for D. Dedmon,,15-24,,
3:59.0,J. Magette enters the game for J. Collins,,15-24,,
3:59.0,D. Lee enters the game for I. Taylor,,15-24,,
3:43.0,T. Dorsey misses 3-pt shot from 25 ft,,15-24,,
3:40.0,,,15-24,,Defensive rebound by J. Johnson
3:33.0,,,15-26,2,N. Hilario makes 2-pt shot from 3 ft (assist by J. Harden)
3:12.0,Turnover by J. Magette (lost ball; steal by N. Hilario),,15-26,,
3:07.0,,,15-26,,N. Hilario misses 2-pt shot from 1 ft
3:07.0,,,15-26,,Offensive rebound by G. Green
3:07.0,,,15-28,2,G. Green makes 2-pt shot at rim
3:07.0,Violation by D. Lee (def goaltending),,15-28,,
2:53.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by J. Magette),3,18-28,,
2:40.0,,,18-28,,T. Ariza misses 3-pt shot from 26 ft
2:40.0,Defensive rebound by D. Lee,,18-28,,
2:30.0,D. Lee misses 2-pt shot from 19 ft,,18-28,,
2:30.0,,,18-28,,Defensive rebound by J. Harden
2:19.0,,,18-28,,J. Harden misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by M. Muscala,,18-28,,
2:08.0,T. Waller-Prince misses 3-pt shot from 25 ft,,18-28,,
2:04.0,,,18-28,,Defensive rebound by J. Harden
1:57.0,,,18-28,,Turnover by N. Hilario (lost ball; steal by D. Lee)
1:47.0,T. Waller-Prince misses 2-pt shot from 1 ft,,18-28,,
1:45.0,,,18-28,,Defensive rebound by G. Green
1:40.0,,,18-30,2,J. Harden makes 2-pt shot from 2 ft
1:16.0,M. Muscala misses 2-pt shot from 9 ft,,18-30,,
1:13.0,,,18-30,,Defensive rebound by J. Harden
1:10.0,,,18-33,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Johnson)
0:50.0,J. Magette misses 3-pt shot from 25 ft,,18-33,,
0:47.0,Offensive rebound by M. Muscala,,18-33,,
0:47.0,M. Muscala makes 2-pt shot from 1 ft,2,20-33,,
0:36.0,,,20-33,,G. Green misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by T. Dorsey,,20-33,,
0:19.0,T. Dorsey misses 3-pt shot from 24 ft,,20-33,,
0:15.0,,,20-33,,Defensive rebound by G. Green
0:01.0,,,20-33,,Offensive charge foul by J. Harden (drawn by D. Lee)
0:01.0,,,20-33,,Turnover by J. Harden (offensive foul)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,20-33,,E. Gordon misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by J. Collins,,20-33,,
11:25.0,T. Dorsey makes 3-pt shot from 24 ft (assist by J. Collins),3,23-33,,
11:14.0,,,23-36,3,G. Green makes 3-pt shot from 22 ft (assist by E. Gordon)
11:01.0,,,23-36,,Personal foul by N. Hilario (drawn by T. Dorsey)
10:51.0,J. Magette misses 2-pt shot from 9 ft (block by N. Hilario),,23-36,,
10:48.0,,,23-36,,Defensive rebound by N. Hilario
10:42.0,,,23-36,,Turnover by E. Gordon (traveling)
10:28.0,T. Dorsey misses 3-pt shot from 23 ft,,23-36,,
10:26.0,,,23-36,,Defensive rebound by G. Green
10:13.0,,,23-36,,N. Hilario misses 2-pt shot from 9 ft
10:09.0,Defensive rebound by T. Dorsey,,23-36,,
9:55.0,A. White misses 2-pt shot from 13 ft,,23-36,,
9:52.0,,,23-36,,Defensive rebound by N. Hilario
9:47.0,,,23-36,,J. Johnson misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by J. Collins,,23-36,,
9:29.0,A. White misses 2-pt shot from 2 ft,,23-36,,
9:26.0,,,23-36,,Defensive rebound by J. Johnson
9:22.0,Personal foul by J. Magette (drawn by N. Hilario),,23-36,,
9:22.0,D. Lee enters the game for T. Dorsey,,23-36,,
9:22.0,I. Taylor enters the game for J. Magette,,23-36,,
9:22.0,D. Dedmon enters the game for M. Muscala,,23-36,,
9:10.0,,,23-36,,Turnover by P. Tucker (traveling)
9:00.0,I. Taylor misses 2-pt shot from 12 ft,,23-36,,
8:58.0,,,23-36,,Defensive rebound by J. Johnson
8:48.0,,,23-39,3,P. Tucker makes 3-pt shot from 24 ft (assist by J. Johnson)
8:22.0,A. White misses 3-pt shot from 25 ft (block by E. Gordon),,23-39,,
8:18.0,,,23-39,,Defensive rebound by G. Green
8:16.0,,,23-41,2,G. Green makes 2-pt shot from 2 ft
7:57.0,Turnover by D. Lee (bad pass; steal by E. Gordon),,23-41,,
7:52.0,,,23-44,3,G. Green makes 3-pt shot from 26 ft (assist by E. Gordon)
7:50.0,Atlanta full timeout,,23-44,,
7:50.0,,,23-44,,C. Capela enters the game for N. Hilario
7:50.0,T. Waller-Prince enters the game for A. White,,23-44,,
7:38.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by I. Taylor),2,25-44,,
7:14.0,,,25-44,,J. Johnson misses 2-pt shot from 18 ft
7:11.0,Defensive rebound by D. Lee,,25-44,,
6:50.0,T. Waller-Prince makes 2-pt shot at rim,2,27-44,,
6:43.0,Personal foul by I. Taylor (drawn by E. Gordon),,27-44,,
6:35.0,,,27-47,3,J. Johnson makes 3-pt shot from 24 ft (assist by E. Gordon)
6:15.0,I. Taylor makes 3-pt shot from 25 ft,3,30-47,,
6:03.0,,,30-47,,Shooting foul by D. Lee (drawn by E. Gordon)
6:03.0,,,30-48,1,E. Gordon makes free throw 1 of 2
6:03.0,,,30-48,,J. Harden enters the game for G. Green
6:03.0,A. White enters the game for D. Lee,,30-48,,
6:03.0,M. Muscala enters the game for J. Collins,,30-48,,
6:03.0,,,30-49,1,E. Gordon makes free throw 2 of 2
5:50.0,,,30-49,,Def 3 sec tech foul by J. Harden
5:50.0,T. Waller-Prince makes technical free throw,1,31-49,,
5:44.0,Turnover by D. Dedmon (bad pass; steal by C. Capela),,31-49,,
5:35.0,,,31-52,3,J. Johnson makes 3-pt shot from 25 ft (assist by J. Harden)
5:21.0,Turnover by I. Taylor (out of bounds lost ball),,31-52,,
5:10.0,,,31-55,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
4:55.0,T. Waller-Prince makes 2-pt shot from 8 ft,2,33-55,,
4:39.0,,,33-57,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
4:39.0,Atlanta full timeout,,33-57,,
4:39.0,,,33-57,,T. Ariza enters the game for J. Johnson
4:39.0,T. Dorsey enters the game for A. White,,33-57,,
4:18.0,M. Muscala makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,35-57,,
4:01.0,,,35-57,,Turnover by E. Gordon (bad pass; steal by T. Waller-Prince)
3:57.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,37-57,,
3:47.0,,,37-57,,T. Ariza misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by M. Muscala,,37-57,,
3:31.0,I. Taylor makes 2-pt shot from 1 ft,2,39-57,,
3:11.0,,,39-60,3,P. Tucker makes 3-pt shot from 25 ft (assist by E. Gordon)
2:50.0,T. Cavanaugh enters the game for D. Dedmon,,39-60,,
2:44.0,I. Taylor misses 3-pt shot from 29 ft,,39-60,,
2:41.0,,,39-60,,Defensive rebound by J. Harden
2:36.0,,,39-60,,T. Ariza misses 2-pt shot at rim
2:36.0,,,39-60,,Offensive rebound by C. Capela
2:33.0,,,39-62,2,C. Capela makes 2-pt shot from 7 ft
2:14.0,M. Muscala misses 2-pt shot from 15 ft,,39-62,,
2:12.0,,,39-62,,Defensive rebound by J. Harden
2:08.0,,,39-65,3,P. Tucker makes 3-pt shot from 22 ft (assist by J. Harden)
1:50.0,T. Dorsey misses 2-pt shot from 10 ft,,39-65,,
1:47.0,Offensive rebound by T. Cavanaugh,,39-65,,
1:46.0,T. Cavanaugh misses 2-pt shot from 2 ft,,39-65,,
1:44.0,Offensive rebound by T. Dorsey,,39-65,,
1:42.0,T. Dorsey makes 2-pt shot at rim,2,41-65,,
1:30.0,,,41-65,,T. Ariza misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by I. Taylor,,41-65,,
1:22.0,Shooting foul by J. Harden (drawn by I. Taylor),,41-65,,
1:22.0,I. Taylor misses free throw 1 of 2,,41-65,,
1:22.0,Offensive rebound by Team,,41-65,,
1:22.0,I. Taylor makes free throw 2 of 2,1,42-65,,
1:07.0,,,42-65,,P. Tucker misses 3-pt shot from 22 ft
1:04.0,,,42-65,,Offensive rebound by C. Capela
1:03.0,,,42-65,,J. Harden misses 3-pt shot from 26 ft
0:59.0,Defensive rebound by T. Cavanaugh,,42-65,,
0:49.0,I. Taylor misses 2-pt shot from 15 ft,,42-65,,
0:46.0,,,42-65,,Defensive rebound by E. Gordon
0:42.0,,,42-67,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
0:35.0,T. Waller-Prince makes 3-pt shot from 26 ft,3,45-67,,
0:31.0,,,45-67,,J. Harden misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by T. Waller-Prince,,45-67,,
0:17.0,Turnover by T. Cavanaugh (bad pass),,45-67,,
0:00.0,,,45-67,,J. Harden misses 2-pt shot at rim
0:00.0,,,45-67,,Offensive rebound by C. Capela
0:00.0,,,45-69,2,C. Capela makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,45-69,,J. Harden misses 2-pt shot from 1 ft
11:46.0,Defensive rebound by J. Collins,,45-69,,
11:42.0,D. Dedmon makes 2-pt shot from 2 ft (assist by I. Taylor),2,47-69,,
11:29.0,,,47-69,,T. Ariza misses 3-pt shot from 23 ft
11:27.0,Jump ball: C. Capela vs. J. Collins (P. Tucker gains possession),,,,Jump ball: C. Capela vs. J. Collins (P. Tucker gains possession)
11:27.0,,,47-69,,Offensive rebound by Team
11:18.0,,,47-69,,Turnover by J. Harden (bad pass; steal by I. Taylor)
11:13.0,D. Lee misses 3-pt shot from 25 ft,,47-69,,
11:08.0,,,47-69,,Defensive rebound by C. Capela
11:02.0,,,47-69,,P. Tucker misses 3-pt shot from 22 ft
11:00.0,Defensive rebound by Team,,47-69,,
10:40.0,D. Lee misses 2-pt shot from 4 ft (block by C. Capela),,47-69,,
10:37.0,,,47-69,,Defensive rebound by J. Harden
10:32.0,,,47-72,3,E. Gordon makes 3-pt shot from 24 ft
10:10.0,I. Taylor makes 3-pt shot from 24 ft,3,50-72,,
9:53.0,Personal foul by I. Taylor (drawn by E. Gordon),,50-72,,
9:46.0,,,50-72,,P. Tucker misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by D. Lee,,50-72,,
9:29.0,Turnover by J. Collins (turnover),,50-72,,
9:19.0,,,50-72,,J. Harden misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by D. Dedmon,,50-72,,
9:07.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by I. Taylor),2,52-72,,
8:50.0,,,52-74,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
8:30.0,I. Taylor makes 2-pt shot from 2 ft,2,54-74,,
8:17.0,,,54-74,,E. Gordon misses 3-pt shot from 26 ft
8:14.0,Defensive rebound by D. Lee,,54-74,,
8:09.0,D. Lee misses 3-pt shot from 25 ft,,54-74,,
8:07.0,,,54-74,,Defensive rebound by T. Ariza
8:00.0,,,54-74,,J. Harden misses 3-pt shot from 27 ft
7:57.0,Defensive rebound by J. Collins,,54-74,,
7:53.0,Atlanta full timeout,,54-74,,
7:47.0,Turnover by J. Collins (traveling),,54-74,,
7:34.0,,,54-76,2,J. Harden makes 2-pt shot from 2 ft
7:16.0,Shooting foul by T. Ariza (drawn by T. Waller-Prince),,54-76,,
7:16.0,T. Waller-Prince makes free throw 1 of 2,1,55-76,,
7:16.0,T. Waller-Prince makes free throw 2 of 2,1,56-76,,
7:05.0,Personal foul by D. Dedmon (drawn by P. Tucker),,56-76,,
7:05.0,,,56-76,,G. Green enters the game for P. Tucker
6:51.0,,,56-76,,E. Gordon misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by J. Collins,,56-76,,
6:37.0,Turnover by T. Waller-Prince (bad pass; steal by J. Harden),,56-76,,
6:25.0,,,56-78,2,E. Gordon makes 2-pt shot at rim
6:07.0,J. Collins misses 2-pt shot from 2 ft,,56-78,,
6:05.0,,,56-78,,Defensive rebound by J. Harden
6:02.0,,,56-78,,T. Ariza misses 2-pt shot from 1 ft
6:02.0,Defensive rebound by D. Dedmon,,56-78,,
5:56.0,J. Collins makes 2-pt shot from 1 ft (assist by D. Dedmon),2,58-78,,
5:40.0,,,58-78,,Turnover by C. Capela (offensive goaltending)
5:40.0,,,58-78,,J. Johnson enters the game for E. Gordon
5:40.0,M. Muscala enters the game for J. Collins,,58-78,,
5:30.0,I. Taylor makes 2-pt shot from 2 ft,2,60-78,,
5:08.0,,,60-78,,J. Johnson misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by T. Waller-Prince,,60-78,,
5:01.0,T. Waller-Prince makes 2-pt shot at rim,2,62-78,,
4:49.0,Personal foul by D. Lee (drawn by J. Harden),,62-78,,
4:49.0,T. Dorsey enters the game for D. Lee,,62-78,,
4:33.0,,,62-78,,J. Harden misses 2-pt shot at rim (block by D. Dedmon)
4:33.0,,,62-78,,Offensive rebound by Team
4:32.0,,,62-78,,Turnover by T. Ariza (bad pass; steal by T. Waller-Prince)
4:27.0,D. Dedmon misses 3-pt shot from 23 ft,,62-78,,
4:24.0,,,62-78,,Defensive rebound by T. Ariza
4:08.0,,,62-81,3,J. Harden makes 3-pt shot from 23 ft
3:47.0,D. Dedmon misses 3-pt shot from 23 ft,,62-81,,
3:44.0,Offensive rebound by M. Muscala,,62-81,,
3:42.0,D. Dedmon makes 2-pt shot from 1 ft (assist by M. Muscala),2,64-81,,
3:26.0,Personal foul by I. Taylor (drawn by T. Ariza),,64-81,,
3:26.0,,,64-81,,N. Hilario enters the game for C. Capela
3:26.0,A. White enters the game for D. Dedmon,,64-81,,
3:26.0,J. Magette enters the game for I. Taylor,,64-81,,
3:20.0,,,64-83,2,J. Harden makes 2-pt shot from 1 ft (assist by N. Hilario)
3:02.0,T. Waller-Prince misses 2-pt shot from 1 ft,,64-83,,
2:59.0,Offensive rebound by T. Waller-Prince,,64-83,,
2:58.0,M. Muscala makes 2-pt shot from 2 ft (assist by T. Waller-Prince),2,66-83,,
2:48.0,,,66-83,,T. Ariza misses 2-pt shot from 1 ft
2:46.0,Defensive rebound by M. Muscala,,66-83,,
2:41.0,M. Muscala makes 2-pt shot from 1 ft (assist by J. Magette),2,68-83,,
2:19.0,,,68-85,2,J. Harden makes 2-pt shot from 12 ft
1:56.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by M. Muscala),3,71-85,,
1:42.0,,,71-87,2,G. Green makes 2-pt shot at rim (assist by J. Harden)
1:16.0,J. Magette misses 3-pt shot from 24 ft,,71-87,,
1:10.0,,,71-87,,Defensive rebound by J. Harden
1:08.0,,,71-89,2,J. Harden makes 2-pt shot at rim
0:52.0,,,71-89,,Personal foul by N. Hilario (drawn by A. White)
0:52.0,,,71-89,,Houston full timeout
0:52.0,,,71-89,,E. Gordon enters the game for T. Ariza
0:41.0,T. Dorsey misses 2-pt shot at rim,,71-89,,
0:39.0,,,71-89,,Defensive rebound by J. Harden
0:34.0,Personal foul by J. Magette (drawn by J. Harden),,71-89,,
0:34.0,,,71-90,1,J. Harden makes free throw 1 of 2
0:34.0,,,71-91,1,J. Harden makes free throw 2 of 2
0:28.0,M. Muscala misses 3-pt shot from 28 ft,,71-91,,
0:24.0,,,71-91,,Defensive rebound by G. Green
0:08.0,,,71-94,3,G. Green makes 3-pt shot from 25 ft (assist by J. Harden)
0:00.0,M. Muscala makes 3-pt shot from 27 ft (assist by J. Magette),3,74-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Lee misses 3-pt shot from 23 ft,,74-94,,
11:40.0,Offensive rebound by Team,,74-94,,
11:33.0,,,74-94,,Personal foul by J. Johnson (drawn by M. Muscala)
11:19.0,D. Lee makes 2-pt shot from 2 ft (assist by T. Dorsey),2,76-94,,
10:59.0,,,76-94,,G. Green misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by J. Collins,,76-94,,
10:45.0,J. Magette misses 3-pt shot from 27 ft,,76-94,,
10:42.0,,,76-94,,Defensive rebound by N. Hilario
10:37.0,,,76-94,,P. Tucker misses 3-pt shot from 22 ft
10:34.0,Defensive rebound by J. Magette,,76-94,,
10:23.0,T. Dorsey misses 3-pt shot from 26 ft,,76-94,,
10:21.0,,,76-94,,Defensive rebound by Team
10:21.0,D. Dedmon enters the game for M. Muscala,,76-94,,
10:13.0,,,76-96,2,E. Gordon makes 2-pt shot from 16 ft
9:54.0,J. Collins makes 2-pt shot from 1 ft (assist by D. Lee),2,78-96,,
9:31.0,,,78-96,,G. Green misses 3-pt shot from 22 ft
9:28.0,Defensive rebound by J. Collins,,78-96,,
9:16.0,T. Dorsey misses 2-pt shot at rim,,78-96,,
9:16.0,,,78-96,,Defensive rebound by Team
9:16.0,I. Taylor enters the game for J. Magette,,78-96,,
9:01.0,,,78-98,2,J. Johnson makes 2-pt shot from 10 ft (assist by G. Green)
8:45.0,Shooting foul by N. Hilario (drawn by J. Collins),,78-98,,
8:45.0,J. Collins makes free throw 1 of 2,1,79-98,,
8:45.0,,,79-98,,C. Capela enters the game for N. Hilario
8:45.0,T. Waller-Prince enters the game for D. Lee,,79-98,,
8:45.0,J. Collins makes free throw 2 of 2,1,80-98,,
8:29.0,,,80-98,,P. Tucker misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by T. Dorsey,,80-98,,
8:18.0,T. Waller-Prince misses 3-pt shot from 25 ft,,80-98,,
8:15.0,,,80-98,,Defensive rebound by J. Johnson
8:09.0,,,80-98,,J. Johnson misses 2-pt shot from 8 ft
8:05.0,Defensive rebound by D. Dedmon,,80-98,,
7:58.0,T. Dorsey misses 3-pt shot from 25 ft,,80-98,,
7:52.0,,,80-98,,Defensive rebound by C. Capela
7:45.0,,,80-101,3,G. Green makes 3-pt shot from 25 ft
7:31.0,,,80-101,,Personal foul by P. Tucker (drawn by J. Collins)
7:18.0,I. Taylor misses 3-pt shot from 26 ft,,80-101,,
7:13.0,D. Dedmon misses 2-pt shot from 1 ft,,80-101,,
7:13.0,Offensive rebound by D. Dedmon,,80-101,,
7:13.0,Offensive rebound by D. Dedmon,,80-101,,
7:12.0,D. Dedmon makes 2-pt shot from 1 ft,2,82-101,,
7:04.0,Personal foul by I. Taylor (drawn by E. Gordon),,82-101,,
7:04.0,M. Muscala enters the game for J. Collins,,82-101,,
6:58.0,,,82-103,2,E. Gordon makes 2-pt shot from 1 ft
6:46.0,T. Dorsey makes 3-pt shot from 25 ft (assist by M. Muscala),3,85-103,,
6:39.0,Personal foul by T. Dorsey (drawn by J. Johnson),,85-103,,
6:39.0,,,85-103,,Houston full timeout
6:39.0,,,85-103,,T. Ariza enters the game for P. Tucker
6:29.0,,,85-105,2,E. Gordon makes 2-pt shot from 1 ft (assist by J. Johnson)
6:15.0,Turnover by T. Waller-Prince (bad pass),,85-105,,
5:59.0,,,85-105,,J. Johnson misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by T. Waller-Prince,,85-105,,
5:43.0,I. Taylor makes 2-pt shot from 1 ft,2,87-105,,
5:34.0,,,87-105,,T. Ariza misses 3-pt shot from 23 ft
5:31.0,Defensive rebound by D. Dedmon,,87-105,,
5:28.0,Shooting foul by G. Green (drawn by I. Taylor),,87-105,,
5:28.0,I. Taylor makes free throw 1 of 2,1,88-105,,
5:28.0,,,88-105,,T. Black enters the game for C. Capela
5:28.0,D. Lee enters the game for T. Dorsey,,88-105,,
5:28.0,I. Taylor makes free throw 2 of 2,1,89-105,,
5:08.0,,,89-108,3,G. Green makes 3-pt shot from 25 ft (assist by J. Johnson)
4:48.0,T. Waller-Prince misses 3-pt shot from 25 ft,,89-108,,
4:45.0,,,89-108,,Defensive rebound by T. Black
4:40.0,,,89-108,,E. Gordon misses 3-pt shot from 26 ft
4:37.0,Defensive rebound by D. Lee,,89-108,,
4:26.0,Turnover by M. Muscala (out of bounds lost ball),,89-108,,
4:18.0,,,89-108,,T. Ariza misses 3-pt shot from 23 ft
4:15.0,Defensive rebound by M. Muscala,,89-108,,
4:07.0,D. Lee makes 2-pt shot from 2 ft,2,91-108,,
3:52.0,,,91-108,,T. Ariza misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by D. Dedmon,,91-108,,
3:38.0,I. Taylor misses 2-pt shot from 1 ft,,91-108,,
3:37.0,,,91-108,,Defensive rebound by E. Gordon
3:31.0,,,91-111,3,E. Gordon makes 3-pt shot from 25 ft (assist by G. Green)
3:29.0,Atlanta full timeout,,91-111,,
3:29.0,,,91-111,,Z. Qi enters the game for T. Ariza
3:29.0,,,91-111,,R. Hunter enters the game for E. Gordon
3:29.0,A. White enters the game for T. Waller-Prince,,91-111,,
3:29.0,J. Magette enters the game for D. Dedmon,,91-111,,
3:29.0,T. Cavanaugh enters the game for I. Taylor,,91-111,,
3:29.0,T. Dorsey enters the game for D. Lee,,91-111,,
3:18.0,,,91-111,,Personal foul by T. Black (drawn by M. Muscala)
3:18.0,M. Muscala makes free throw 1 of 2,1,92-111,,
3:18.0,M. Muscala makes free throw 2 of 2,1,93-111,,
3:05.0,,,93-113,2,G. Green makes 2-pt shot at rim (assist by T. Black)
2:47.0,Turnover by T. Dorsey (bad pass; steal by G. Green),,93-113,,
2:42.0,,,93-113,,Turnover by G. Green (bad pass)
2:17.0,T. Dorsey misses 2-pt shot from 22 ft,,93-113,,
2:13.0,,,93-113,,Defensive rebound by T. Black
2:06.0,,,93-113,,Shooting foul by T. Dorsey (drawn by J. Johnson)
2:06.0,,,93-114,1,J. Johnson makes free throw 1 of 2
2:06.0,,,93-114,,J. Johnson misses free throw 2 of 2
1:59.0,,,93-114,,Z. Qi misses 2-pt shot at rim
1:59.0,,,93-114,,Offensive rebound by Z. Qi
1:59.0,,,93-114,,Offensive rebound by Z. Qi
1:59.0,,,93-116,2,Z. Qi makes 2-pt shot at rim
1:44.0,M. Muscala misses 3-pt shot from 25 ft,,93-116,,
1:41.0,,,93-116,,Defensive rebound by G. Green
1:35.0,,,93-118,2,G. Green makes 2-pt shot at rim
1:23.0,T. Dorsey makes 3-pt shot from 25 ft (assist by J. Magette),3,96-118,,
1:13.0,,,96-118,,Turnover by J. Johnson (bad pass; steal by J. Magette)
1:08.0,T. Dorsey makes 3-pt shot from 25 ft (assist by J. Magette),3,99-118,,
1:00.0,Personal foul by J. Magette (drawn by R. Hunter),,99-118,,
0:56.0,,,99-118,,R. Hunter misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by A. White,,99-118,,
0:48.0,M. Muscala misses 3-pt shot from 25 ft,,99-118,,
0:45.0,,,99-118,,Defensive rebound by T. Black
0:36.0,,,99-118,,J. Johnson misses 2-pt shot from 10 ft
0:33.0,Defensive rebound by J. Magette,,99-118,,
0:30.0,A. White misses 3-pt shot from 24 ft,,99-118,,
0:26.0,,,99-118,,Defensive rebound by Z. Qi
0:04.0,,,99-118,,Turnover by Team (shot clock)
