time,Dallas,pts.away,score,pts.home,Toronto
4:11.0,,,17-17,,Defensive rebound by S. Ibaka
3:58.0,,,17-17,,Offensive charge foul by D. Wright (drawn by N. Noel)
3:58.0,,,17-17,,Turnover by D. Wright (offensive foul)
3:58.0,,,17-17,,F. VanVleet enters the game for O. Anunoby
3:58.0,,,17-17,,C. Miles enters the game for J. Valanciunas
3:58.0,,,17-17,,J. Poeltl enters the game for D. Wright
3:58.0,Y. Ferrell enters the game for D. Smith,,17-17,,
3:58.0,J. Barea enters the game for D. Powell,,17-17,,
3:40.0,H. Barnes makes 2-pt shot from 19 ft,2,19-17,,
3:28.0,,,19-20,3,S. Ibaka makes 3-pt shot from 23 ft (assist by J. Poeltl)
3:15.0,J. Barea makes 2-pt shot from 2 ft,2,21-20,,
3:07.0,,,21-20,,Toronto full timeout
3:07.0,,,21-20,,P. Siakam enters the game for S. Ibaka
3:00.0,,,21-22,2,D. DeRozan makes 2-pt shot from 2 ft (assist by F. VanVleet)
2:41.0,H. Barnes misses 2-pt shot from 15 ft,,21-22,,
2:38.0,,,21-22,,Defensive rebound by C. Miles
2:31.0,,,21-24,2,C. Miles makes 2-pt shot from 20 ft
2:09.0,Shooting foul by F. VanVleet (drawn by N. Noel),,21-24,,
2:09.0,N. Noel makes free throw 1 of 2,1,22-24,,
2:09.0,D. Nowitzki enters the game for H. Barnes,,22-24,,
2:09.0,N. Noel makes free throw 2 of 2,1,23-24,,
1:57.0,,,23-24,,Shooting foul by D. Finney-Smith (drawn by D. DeRozan)
1:57.0,,,23-25,1,D. DeRozan makes free throw 1 of 2
1:57.0,D. McDermott enters the game for D. Finney-Smith,,23-25,,
1:57.0,,,23-25,,D. DeRozan misses free throw 2 of 2
1:55.0,Defensive rebound by D. McDermott,,23-25,,
1:41.0,N. Noel makes 2-pt shot at rim (assist by D. McDermott),2,25-25,,
1:28.0,,,25-27,2,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet)
1:11.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea),2,27-27,,
1:03.0,,,27-27,,Shooting foul by Y. Ferrell (drawn by D. DeRozan)
1:03.0,,,27-28,1,D. DeRozan makes free throw 1 of 2
1:03.0,M. Kleber enters the game for N. Noel,,27-28,,
1:03.0,,,27-29,1,D. DeRozan makes free throw 2 of 2
0:55.0,Turnover by J. Barea (bad pass),,27-29,,
0:42.0,,,27-29,,D. DeRozan misses 2-pt shot from 12 ft
0:42.0,Defensive rebound by Team,,27-29,,
0:42.0,,,27-29,,M. Miller enters the game for D. DeRozan
0:32.0,M. Kleber misses 3-pt shot from 26 ft,,27-29,,
0:29.0,,,27-29,,Defensive rebound by P. Siakam
0:08.0,,,27-29,,M. Miller misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by D. Nowitzki,,27-29,,
0:00.0,J. Barea misses 3-pt shot from 27 ft,,27-29,,
0:00.0,Offensive rebound by Team,,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by J. Barea (bad pass; steal by J. Poeltl),,27-29,,
11:30.0,Shooting block foul by M. Kleber (drawn by F. VanVleet),,27-29,,
11:30.0,,,27-29,,F. VanVleet misses free throw 1 of 2
11:30.0,,,27-29,,Offensive rebound by Team
11:30.0,,,27-30,1,F. VanVleet makes free throw 2 of 2
11:20.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by Y. Ferrell),2,29-30,,
11:09.0,,,29-32,2,F. VanVleet makes 2-pt shot from 1 ft
10:57.0,Y. Ferrell misses 2-pt shot from 2 ft (block by J. Poeltl),,29-32,,
10:57.0,Offensive rebound by Team,,29-32,,
10:54.0,Shooting foul by M. Miller (drawn by M. Kleber),,29-32,,
10:54.0,M. Kleber misses free throw 1 of 2,,29-32,,
10:54.0,Offensive rebound by Team,,29-32,,
10:54.0,M. Kleber makes free throw 2 of 2,1,30-32,,
10:43.0,,,30-32,,C. Miles misses 3-pt shot from 26 ft
10:39.0,,,30-32,,Offensive rebound by M. Miller
10:31.0,,,30-34,2,C. Miles makes 2-pt shot from 5 ft (assist by M. Miller)
10:23.0,J. Barea makes 2-pt shot from 11 ft,2,32-34,,
10:07.0,,,32-34,,Offensive charge foul by M. Miller (drawn by Y. Ferrell)
10:07.0,,,32-34,,Turnover by M. Miller (offensive foul)
9:53.0,J. Barea misses 2-pt shot from 11 ft,,32-34,,
9:50.0,,,32-34,,Defensive rebound by J. Poeltl
9:43.0,,,32-34,,M. Miller misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by J. Barea,,32-34,,
9:36.0,J. Barea makes 2-pt shot from 3 ft,2,34-34,,
9:27.0,,,34-34,,C. Miles misses 3-pt shot from 29 ft
9:27.0,Defensive rebound by D. Nowitzki,,34-34,,
9:20.0,,,34-34,,Personal foul by F. VanVleet (drawn by J. Barea)
9:11.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. McDermott),2,36-34,,
9:04.0,,,36-34,,Toronto full timeout
8:58.0,,,36-36,2,C. Miles makes 2-pt shot from 18 ft (assist by P. Siakam)
8:58.0,,,36-36,,Shooting foul by D. McDermott (drawn by C. Miles)
8:58.0,,,36-37,1,C. Miles makes free throw 1 of 1
8:41.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea),2,38-37,,
8:28.0,,,38-39,2,F. VanVleet makes 2-pt shot from 4 ft
8:07.0,J. Barea misses 2-pt shot from 2 ft (block by J. Poeltl),,38-39,,
8:05.0,,,38-39,,Defensive rebound by F. VanVleet
8:03.0,,,38-42,3,M. Miller makes 3-pt shot from 26 ft (assist by F. VanVleet)
8:01.0,Dallas full timeout,,38-42,,
8:01.0,D. Smith enters the game for Y. Ferrell,,38-42,,
7:48.0,D. Smith makes 2-pt shot at rim (assist by D. McDermott),2,40-42,,
7:34.0,,,40-42,,Turnover by M. Miller (bad pass)
7:22.0,D. Smith makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,42-42,,
7:11.0,,,42-42,,F. VanVleet misses 2-pt shot from 10 ft
7:09.0,Defensive rebound by D. Nowitzki,,42-42,,
7:04.0,J. Barea makes 3-pt shot from 24 ft,3,45-42,,
6:41.0,,,45-44,2,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet)
6:33.0,J. Barea makes 3-pt shot from 25 ft,3,48-44,,
6:12.0,,,48-44,,F. VanVleet misses 3-pt shot from 26 ft
6:10.0,Defensive rebound by D. Nowitzki,,48-44,,
6:01.0,D. McDermott makes 3-pt shot from 22 ft (assist by J. Barea),3,51-44,,
5:52.0,,,51-44,,Toronto full timeout
5:52.0,,,51-44,,J. Valanciunas enters the game for C. Miles
5:52.0,,,51-44,,D. Wright enters the game for M. Miller
5:52.0,,,51-44,,D. DeRozan enters the game for F. VanVleet
5:52.0,,,51-44,,S. Ibaka enters the game for J. Poeltl
5:52.0,,,51-44,,O. Anunoby enters the game for P. Siakam
5:52.0,Y. Ferrell enters the game for J. Barea,,51-44,,
5:52.0,D. Finney-Smith enters the game for D. McDermott,,51-44,,
5:52.0,H. Barnes enters the game for D. Nowitzki,,51-44,,
5:52.0,N. Noel enters the game for M. Kleber,,51-44,,
5:32.0,,,51-44,,D. DeRozan misses 2-pt shot from 21 ft
5:29.0,Defensive rebound by H. Barnes,,51-44,,
5:25.0,Y. Ferrell misses 3-pt shot from 25 ft,,51-44,,
5:22.0,,,51-44,,Defensive rebound by S. Ibaka
5:12.0,,,51-44,,O. Anunoby misses 3-pt shot from 22 ft
5:09.0,Defensive rebound by H. Barnes,,51-44,,
5:02.0,Y. Ferrell misses 2-pt shot from 17 ft,,51-44,,
4:59.0,,,51-44,,Defensive rebound by S. Ibaka
4:38.0,,,51-46,2,D. Wright makes 2-pt shot from 9 ft
4:22.0,,,51-46,,Personal foul by S. Ibaka (drawn by H. Barnes)
4:12.0,H. Barnes misses 2-pt shot from 18 ft,,51-46,,
4:09.0,,,51-46,,Defensive rebound by J. Valanciunas
3:59.0,,,51-46,,D. DeRozan misses 2-pt shot from 20 ft
3:55.0,,,51-46,,Offensive rebound by D. Wright
3:55.0,,,51-46,,D. Wright misses 2-pt shot at rim
3:55.0,,,51-46,,Offensive rebound by J. Valanciunas
3:52.0,,,51-48,2,J. Valanciunas makes 2-pt shot at rim
3:44.0,D. Smith makes 2-pt shot from 1 ft (assist by N. Noel),2,53-48,,
3:30.0,,,53-48,,Turnover by D. DeRozan (lost ball; steal by N. Noel)
3:26.0,N. Noel misses 2-pt shot from 1 ft,,53-48,,
3:26.0,,,53-48,,Defensive rebound by Team
3:26.0,Personal foul by D. Finney-Smith (drawn by D. DeRozan),,53-48,,
3:26.0,D. Powell enters the game for D. Finney-Smith,,53-48,,
3:08.0,,,53-48,,D. Wright misses 2-pt shot from 5 ft
3:06.0,,,53-48,,Offensive rebound by J. Valanciunas
3:05.0,,,53-50,2,J. Valanciunas makes 2-pt shot from 1 ft
2:50.0,D. Smith misses 2-pt shot from 18 ft (block by D. Wright),,53-50,,
2:46.0,Offensive rebound by D. Powell,,53-50,,
2:43.0,Y. Ferrell makes 2-pt shot from 2 ft (assist by D. Powell),2,55-50,,
2:32.0,,,55-50,,D. DeRozan misses 2-pt shot from 20 ft
2:32.0,Defensive rebound by D. Powell,,55-50,,
2:16.0,H. Barnes makes 2-pt shot from 3 ft,2,57-50,,
1:57.0,Personal foul by H. Barnes (drawn by D. DeRozan),,57-50,,
1:41.0,,,57-52,2,D. DeRozan makes 2-pt shot from 6 ft (assist by D. Wright)
1:20.0,D. Smith misses 2-pt shot from 21 ft,,57-52,,
1:17.0,Offensive rebound by N. Noel,,57-52,,
1:12.0,Y. Ferrell makes 2-pt shot from 15 ft (assist by N. Noel),2,59-52,,
0:59.0,,,59-52,,D. DeRozan misses 2-pt shot from 4 ft (block by N. Noel)
0:55.0,,,59-52,,Offensive rebound by J. Valanciunas
0:47.0,,,59-54,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
0:34.0,,,59-54,,Personal foul by O. Anunoby (drawn by H. Barnes)
0:29.0,H. Barnes misses 2-pt shot from 20 ft,,59-54,,
0:26.0,,,59-54,,Defensive rebound by O. Anunoby
0:05.0,,,59-54,,D. DeRozan misses 2-pt shot from 14 ft
0:03.0,Defensive rebound by H. Barnes,,59-54,,
0:02.0,,,59-54,,Personal foul by D. DeRozan (drawn by H. Barnes)
0:02.0,H. Barnes makes free throw 1 of 2,1,60-54,,
0:02.0,H. Barnes misses free throw 2 of 2,,60-54,,
0:00.0,,,60-54,,Defensive rebound by J. Valanciunas
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,60-54,,Personal foul by J. Valanciunas (drawn by D. Powell)
11:36.0,D. Smith makes 2-pt shot from 20 ft,2,62-54,,
11:22.0,,,62-54,,Offensive foul by S. Ibaka (drawn by D. Finney-Smith)
11:22.0,,,62-54,,Turnover by S. Ibaka (offensive foul)
11:13.0,,,62-54,,Personal foul by O. Anunoby (drawn by H. Barnes)
11:03.0,D. Finney-Smith makes 2-pt shot at rim (assist by D. Smith),2,64-54,,
11:03.0,Shooting foul by J. Valanciunas (drawn by D. Finney-Smith),,64-54,,
11:03.0,D. Finney-Smith makes free throw 1 of 1,1,65-54,,
10:50.0,,,65-57,3,S. Ibaka makes 3-pt shot from 26 ft (assist by D. DeRozan)
10:36.0,H. Barnes misses 3-pt shot from 25 ft,,65-57,,
10:32.0,,,65-57,,Defensive rebound by S. Ibaka
10:24.0,,,65-57,,D. DeRozan misses 2-pt shot from 3 ft (block by D. Nowitzki)
10:22.0,Defensive rebound by D. Powell,,65-57,,
10:18.0,D. Smith misses 3-pt shot from 26 ft,,65-57,,
10:14.0,,,65-57,,Defensive rebound by S. Ibaka
9:59.0,,,65-57,,Turnover by O. Anunoby (bad pass; steal by D. Smith)
9:50.0,Turnover by D. Smith (bad pass; steal by D. DeRozan),,65-57,,
9:50.0,Personal foul by D. Powell (drawn by D. DeRozan),,65-57,,
9:37.0,,,65-57,,D. Wright misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by H. Barnes,,65-57,,
9:32.0,Turnover by H. Barnes (bad pass; steal by D. Wright),,65-57,,
9:28.0,,,65-57,,D. Wright misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by D. Smith,,65-57,,
9:20.0,D. Powell misses 2-pt shot from 1 ft,,65-57,,
9:20.0,,,65-57,,Defensive rebound by J. Valanciunas
9:14.0,Shooting block foul by D. Powell (drawn by D. DeRozan),,65-57,,
9:14.0,,,65-57,,D. DeRozan misses free throw 1 of 2
9:14.0,,,65-57,,Offensive rebound by Team
9:14.0,,,65-58,1,D. DeRozan makes free throw 2 of 2
9:06.0,H. Barnes makes 2-pt shot from 8 ft,2,67-58,,
8:45.0,,,67-60,2,J. Valanciunas makes 2-pt shot from 4 ft
8:29.0,D. Smith misses 2-pt shot from 3 ft (block by J. Valanciunas),,67-60,,
8:25.0,,,67-60,,Defensive rebound by J. Valanciunas
8:16.0,,,67-60,,D. DeRozan misses 3-pt shot from 25 ft
8:14.0,,,67-60,,Offensive rebound by J. Valanciunas
8:12.0,,,67-62,2,J. Valanciunas makes 2-pt shot from 3 ft
7:48.0,H. Barnes makes 2-pt shot from 6 ft,2,69-62,,
7:33.0,,,69-62,,D. DeRozan misses 2-pt shot from 16 ft
7:30.0,Defensive rebound by D. Powell,,69-62,,
7:27.0,,,69-62,,Personal foul by O. Anunoby (drawn by H. Barnes)
7:27.0,N. Noel enters the game for D. Nowitzki,,69-62,,
7:20.0,Shooting foul by J. Valanciunas (drawn by D. Smith),,69-62,,
7:20.0,D. Smith misses free throw 1 of 2,,69-62,,
7:20.0,Offensive rebound by Team,,69-62,,
7:20.0,D. Smith makes free throw 2 of 2,1,70-62,,
7:08.0,,,70-62,,D. Wright misses 3-pt shot from 25 ft
7:08.0,,,70-62,,Offensive rebound by Team
7:08.0,Loose ball foul by N. Noel (drawn by J. Valanciunas),,70-62,,
6:51.0,,,70-64,2,S. Ibaka makes 2-pt shot from 14 ft (assist by D. DeRozan)
6:34.0,D. Smith misses 2-pt shot from 18 ft,,70-64,,
6:32.0,,,70-64,,Defensive rebound by Team
6:32.0,Personal foul by N. Noel (drawn by J. Valanciunas),,70-64,,
6:32.0,,,70-64,,Toronto full timeout
6:32.0,,,70-64,,C. Miles enters the game for O. Anunoby
6:12.0,,,70-64,,Turnover by J. Valanciunas (lost ball; steal by N. Noel)
6:07.0,H. Barnes makes 2-pt shot from 1 ft (assist by D. Smith),2,72-64,,
5:47.0,,,72-64,,D. Wright misses 2-pt shot from 4 ft (block by N. Noel)
5:45.0,Defensive rebound by D. Smith,,72-64,,
5:42.0,Shooting foul by C. Miles (drawn by D. Powell),,72-64,,
5:42.0,D. Powell makes free throw 1 of 2,1,73-64,,
5:42.0,D. Powell misses free throw 2 of 2,,73-64,,
5:40.0,,,73-64,,Defensive rebound by J. Valanciunas
5:27.0,,,73-64,,C. Miles misses 2-pt shot from 7 ft
5:24.0,Defensive rebound by N. Noel,,73-64,,
5:16.0,D. Smith misses 2-pt shot from 9 ft,,73-64,,
5:16.0,,,73-64,,Defensive rebound by Team
5:03.0,,,73-64,,S. Ibaka misses 3-pt shot from 25 ft
5:01.0,,,73-64,,Offensive rebound by Team
5:01.0,Loose ball foul by N. Noel (drawn by J. Valanciunas),,73-64,,
5:01.0,,,73-65,1,J. Valanciunas makes free throw 1 of 2
5:01.0,,,73-66,1,J. Valanciunas makes free throw 2 of 2
4:46.0,Shooting foul by S. Ibaka (drawn by H. Barnes),,73-66,,
4:46.0,H. Barnes makes free throw 1 of 2,1,74-66,,
4:46.0,H. Barnes makes free throw 2 of 2,1,75-66,,
4:24.0,,,75-66,,J. Valanciunas misses 2-pt shot from 10 ft
4:21.0,Defensive rebound by D. Finney-Smith,,75-66,,
4:15.0,D. Finney-Smith misses 3-pt shot from 26 ft,,75-66,,
4:13.0,,,75-66,,Defensive rebound by J. Valanciunas
4:03.0,,,75-68,2,D. Wright makes 2-pt shot from 1 ft
4:01.0,Dallas full timeout,,75-68,,
3:45.0,H. Barnes makes 2-pt shot from 6 ft,2,77-68,,
3:45.0,Shooting foul by S. Ibaka (drawn by H. Barnes),,77-68,,
3:45.0,,,77-68,,P. Siakam enters the game for S. Ibaka
3:45.0,J. Barea enters the game for D. Smith,,77-68,,
3:45.0,Y. Ferrell enters the game for D. Finney-Smith,,77-68,,
3:45.0,H. Barnes makes free throw 1 of 1,1,78-68,,
3:28.0,,,78-68,,Shooting foul by H. Barnes (drawn by C. Miles)
3:28.0,,,78-69,1,C. Miles makes free throw 1 of 3
3:28.0,,,78-70,1,C. Miles makes free throw 2 of 3
3:28.0,,,78-70,,F. VanVleet enters the game for J. Valanciunas
3:28.0,,,78-70,,J. Poeltl enters the game for D. Wright
3:28.0,,,78-71,1,C. Miles makes free throw 3 of 3
3:09.0,Y. Ferrell misses 2-pt shot from 13 ft,,78-71,,
3:07.0,,,78-71,,Defensive rebound by J. Poeltl
2:59.0,,,78-71,,D. DeRozan misses 2-pt shot from 15 ft
2:56.0,Defensive rebound by D. Powell,,78-71,,
2:46.0,J. Barea makes 2-pt shot from 2 ft,2,80-71,,
2:25.0,,,80-71,,P. Siakam misses 2-pt shot from 5 ft
2:23.0,Defensive rebound by N. Noel,,80-71,,
2:15.0,Turnover by D. Powell (traveling),,80-71,,
2:15.0,D. Nowitzki enters the game for N. Noel,,80-71,,
2:15.0,J. Warney enters the game for D. Powell,,80-71,,
1:59.0,,,80-71,,C. Miles misses 2-pt shot from 15 ft
1:57.0,Defensive rebound by J. Warney,,80-71,,
1:38.0,J. Barea makes 2-pt shot from 10 ft,2,82-71,,
1:29.0,,,82-73,2,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet)
1:18.0,Y. Ferrell makes 2-pt shot from 15 ft (assist by J. Barea),2,84-73,,
1:03.0,,,84-73,,C. Miles misses 2-pt shot from 11 ft
0:59.0,,,84-73,,Offensive rebound by C. Miles
0:58.0,,,84-73,,F. VanVleet misses 3-pt shot from 22 ft
0:55.0,Defensive rebound by J. Warney,,84-73,,
0:53.0,Y. Ferrell misses 3-pt shot from 26 ft,,84-73,,
0:50.0,,,84-73,,Defensive rebound by C. Miles
0:36.0,,,84-76,3,F. VanVleet makes 3-pt shot from 26 ft
0:16.0,H. Barnes misses 2-pt shot from 14 ft,,84-76,,
0:13.0,,,84-76,,Defensive rebound by F. VanVleet
0:00.0,,,84-78,2,D. DeRozan makes 2-pt shot from 17 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,84-78,,C. Miles misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by D. Nowitzki,,84-78,,
11:27.0,D. Nowitzki misses 3-pt shot from 26 ft,,84-78,,
11:26.0,Offensive rebound by Team,,84-78,,
11:26.0,,,84-78,,Loose ball foul by J. Poeltl (drawn by J. Warney)
11:12.0,J. Warney makes 2-pt shot from 1 ft (assist by D. McDermott),2,86-78,,
10:55.0,,,86-81,3,D. Wright makes 3-pt shot from 23 ft (assist by F. VanVleet)
10:39.0,J. Barea makes 2-pt shot from 13 ft,2,88-81,,
10:31.0,Personal foul by Y. Ferrell (drawn by F. VanVleet),,88-81,,
10:24.0,,,88-83,2,D. Wright makes 2-pt shot at rim
10:01.0,Y. Ferrell makes 2-pt shot from 2 ft (assist by J. Barea),2,90-83,,
9:47.0,,,90-83,,Turnover by P. Siakam (bad pass)
9:25.0,Y. Ferrell makes 2-pt shot from 11 ft,2,92-83,,
9:03.0,,,92-83,,D. Wright misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by Y. Ferrell,,92-83,,
8:53.0,J. Barea misses 3-pt shot from 26 ft,,92-83,,
8:50.0,,,92-83,,Defensive rebound by C. Miles
8:43.0,,,92-85,2,P. Siakam makes 2-pt shot from 2 ft
8:20.0,D. McDermott makes 3-pt shot from 26 ft (assist by J. Barea),3,95-85,,
8:08.0,,,95-87,2,P. Siakam makes 2-pt shot from 2 ft (assist by F. VanVleet)
8:08.0,,,95-87,,Shooting foul by D. Nowitzki (drawn by P. Siakam)
8:08.0,,,95-88,1,P. Siakam makes free throw 1 of 1
7:55.0,Y. Ferrell misses 3-pt shot from 28 ft,,95-88,,
7:52.0,,,95-88,,Defensive rebound by C. Miles
7:36.0,Personal foul by J. Barea (drawn by P. Siakam),,95-88,,
7:33.0,,,95-88,,Offensive foul by J. Poeltl (drawn by Y. Ferrell)
7:33.0,,,95-88,,Turnover by J. Poeltl (offensive foul)
7:14.0,Shooting foul by P. Siakam (drawn by J. Warney),,95-88,,
7:14.0,J. Warney makes free throw 1 of 2,1,96-88,,
7:14.0,,,96-88,,D. DeRozan enters the game for C. Miles
7:14.0,,,96-88,,S. Ibaka enters the game for J. Poeltl
7:14.0,J. Warney makes free throw 2 of 2,1,97-88,,
6:58.0,,,97-91,3,F. VanVleet makes 3-pt shot from 23 ft (assist by D. Wright)
6:57.0,Dallas full timeout,,97-91,,
6:57.0,D. Finney-Smith enters the game for J. Barea,,97-91,,
6:57.0,D. Powell enters the game for Y. Ferrell,,97-91,,
6:57.0,H. Barnes enters the game for J. Warney,,97-91,,
6:57.0,D. Smith enters the game for D. Nowitzki,,97-91,,
6:33.0,D. Smith misses 2-pt shot from 14 ft,,97-91,,
6:29.0,Offensive rebound by D. Finney-Smith,,97-91,,
6:29.0,D. Finney-Smith makes 2-pt shot at rim,2,99-91,,
6:18.0,Personal foul by D. McDermott (drawn by P. Siakam),,99-91,,
6:05.0,,,99-93,2,S. Ibaka makes 2-pt shot from 20 ft (assist by F. VanVleet)
5:43.0,H. Barnes makes 2-pt shot from 6 ft,2,101-93,,
5:25.0,Personal foul by D. Smith (drawn by D. DeRozan),,101-93,,
5:25.0,,,101-94,1,D. DeRozan makes free throw 1 of 2
5:25.0,,,101-95,1,D. DeRozan makes free throw 2 of 2
5:02.0,D. Smith misses 3-pt shot from 23 ft,,101-95,,
5:00.0,,,101-95,,Defensive rebound by D. Wright
4:46.0,,,101-95,,S. Ibaka misses 2-pt shot from 9 ft
4:44.0,Defensive rebound by D. Powell,,101-95,,
4:37.0,Turnover by D. Smith (bad pass; steal by D. Wright),,101-95,,
4:32.0,,,101-97,2,D. DeRozan makes 2-pt shot at rim (assist by D. Wright)
4:32.0,Dallas full timeout,,101-97,,
4:32.0,Y. Ferrell enters the game for D. McDermott,,101-97,,
4:32.0,N. Noel enters the game for D. Finney-Smith,,101-97,,
4:12.0,H. Barnes makes 2-pt shot from 11 ft,2,103-97,,
3:52.0,,,103-99,2,P. Siakam makes 2-pt shot from 6 ft
3:27.0,N. Noel misses 2-pt shot from 4 ft (block by F. VanVleet),,103-99,,
3:27.0,Offensive rebound by N. Noel,,103-99,,
3:27.0,Turnover by Team (shot clock),,103-99,,
3:17.0,,,103-101,2,S. Ibaka makes 2-pt shot from 17 ft (assist by D. DeRozan)
2:52.0,D. Powell makes 2-pt shot from 1 ft (assist by H. Barnes),2,105-101,,
2:36.0,,,105-101,,F. VanVleet misses 3-pt shot from 23 ft
2:35.0,,,105-101,,Offensive rebound by P. Siakam
2:35.0,,,105-101,,Shooting foul by N. Noel (drawn by P. Siakam)
2:35.0,,,105-101,,P. Siakam misses free throw 1 of 2
2:35.0,,,105-101,,Offensive rebound by Team
2:35.0,,,105-102,1,P. Siakam makes free throw 2 of 2
2:16.0,Shooting foul by S. Ibaka (drawn by D. Powell),,105-102,,
2:16.0,D. Powell misses free throw 1 of 2,,105-102,,
2:16.0,Offensive rebound by Team,,105-102,,
2:16.0,D. Powell makes free throw 2 of 2,1,106-102,,
2:02.0,,,106-102,,F. VanVleet misses 2-pt shot from 5 ft
2:02.0,Defensive rebound by Team,,106-102,,
1:47.0,Turnover by D. Smith (bad pass; steal by S. Ibaka),,106-102,,
