time,Milwaukee,pts.away,score,pts.home,Minnesota
3:08.0,S. Brown misses 3-pt shot from 22 ft,,55-73,,
3:06.0,,,55-73,,Defensive rebound by J. Butler
3:01.0,,,55-73,,A. Wiggins misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by G. Antetokounmpo,,55-73,,
2:54.0,Shooting foul by J. Butler (drawn by G. Antetokounmpo),,55-73,,
2:54.0,G. Antetokounmpo misses free throw 1 of 2,,55-73,,
2:54.0,Offensive rebound by Team,,55-73,,
2:54.0,,,55-73,,G. Dieng enters the game for J. Teague
2:54.0,,,55-73,,T. Jones enters the game for K. Towns
2:54.0,T. Maker enters the game for J. Henson,,55-73,,
2:54.0,G. Antetokounmpo makes free throw 2 of 2,1,56-73,,
2:30.0,,,56-73,,A. Wiggins misses 2-pt shot from 13 ft
2:29.0,Defensive rebound by G. Antetokounmpo,,56-73,,
2:14.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,58-73,,
1:51.0,,,58-73,,A. Wiggins misses 2-pt shot from 1 ft
1:50.0,Defensive rebound by G. Antetokounmpo,,58-73,,
1:32.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,61-73,,
1:11.0,,,61-75,2,J. Butler makes 2-pt shot from 13 ft
0:57.0,Offensive charge foul by G. Antetokounmpo (drawn by G. Dieng),,61-75,,
0:57.0,Turnover by G. Antetokounmpo (offensive foul),,61-75,,
0:57.0,,,61-75,,N. Bjelica enters the game for A. Wiggins
0:57.0,,,61-75,,J. Crawford enters the game for T. Gibson
0:57.0,M. Plumlee enters the game for K. Middleton,,61-75,,
0:49.0,,,61-77,2,J. Butler makes 2-pt shot from 8 ft
0:41.0,S. Brown misses 3-pt shot from 24 ft,,61-77,,
0:38.0,,,61-77,,Defensive rebound by N. Bjelica
0:29.0,,,61-79,2,T. Jones makes 2-pt shot from 1 ft
0:10.0,Turnover by G. Antetokounmpo (bad pass),,61-79,,
0:01.0,,,61-79,,G. Dieng misses 2-pt shot from 20 ft
0:01.0,,,61-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,T. Maker misses 3-pt shot from 22 ft,,61-79,,
11:46.0,,,61-79,,Defensive rebound by N. Bjelica
11:34.0,,,61-81,2,G. Dieng makes 2-pt shot from 21 ft (assist by T. Jones)
11:18.0,S. Brown misses 3-pt shot from 25 ft,,61-81,,
11:14.0,,,61-81,,Defensive rebound by T. Jones
11:12.0,Personal foul by S. Brown (drawn by J. Butler),,61-81,,
11:04.0,,,61-83,2,J. Butler makes 2-pt shot from 14 ft (assist by J. Crawford)
11:02.0,Milwaukee full timeout,,61-83,,
11:02.0,,,61-83,,M. Georges-Hunt enters the game for J. Butler
11:02.0,T. Snell enters the game for S. Brown,,61-83,,
10:52.0,K. Middleton misses 2-pt shot from 10 ft,,61-83,,
10:50.0,Offensive rebound by T. Maker,,61-83,,
10:50.0,Shooting foul by G. Dieng (drawn by T. Maker),,61-83,,
10:50.0,T. Maker misses free throw 1 of 2,,61-83,,
10:50.0,Offensive rebound by Team,,61-83,,
10:50.0,T. Maker makes free throw 2 of 2,1,62-83,,
10:31.0,,,62-83,,G. Dieng misses 2-pt shot from 10 ft
10:28.0,Defensive rebound by K. Middleton,,62-83,,
10:23.0,S. Kilpatrick misses 3-pt shot from 23 ft,,62-83,,
10:20.0,,,62-83,,Defensive rebound by G. Dieng
10:12.0,,,62-83,,N. Bjelica misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by M. Dellavedova,,62-83,,
10:03.0,K. Middleton makes 2-pt shot from 2 ft,2,64-83,,
10:03.0,,,64-83,,Minnesota full timeout
10:03.0,,,64-83,,A. Wiggins enters the game for M. Georges-Hunt
9:47.0,,,64-83,,T. Jones misses 2-pt shot from 19 ft
9:45.0,,,64-83,,Offensive rebound by Team
9:45.0,Loose ball foul by T. Maker (drawn by G. Dieng),,64-83,,
9:33.0,,,64-85,2,G. Dieng makes 2-pt shot from 15 ft (assist by T. Jones)
9:18.0,K. Middleton misses 3-pt shot from 24 ft,,64-85,,
9:15.0,,,64-85,,Defensive rebound by T. Jones
9:09.0,,,64-87,2,G. Dieng makes 2-pt shot from 1 ft (assist by N. Bjelica)
9:09.0,Milwaukee full timeout,,64-87,,
9:09.0,J. Henson enters the game for T. Maker,,64-87,,
9:09.0,G. Antetokounmpo enters the game for S. Kilpatrick,,64-87,,
8:46.0,K. Middleton misses 3-pt shot from 22 ft,,64-87,,
8:42.0,Offensive rebound by J. Henson,,64-87,,
8:42.0,Shooting foul by T. Jones (drawn by J. Henson),,64-87,,
8:42.0,J. Henson makes free throw 1 of 2,1,65-87,,
8:42.0,,,65-87,,J. Butler enters the game for A. Wiggins
8:42.0,J. Henson makes free throw 2 of 2,1,66-87,,
8:20.0,,,66-87,,J. Crawford misses 3-pt shot from 27 ft
8:16.0,Defensive rebound by G. Antetokounmpo,,66-87,,
8:08.0,J. Henson makes 2-pt shot from 5 ft (assist by G. Antetokounmpo),2,68-87,,
7:51.0,,,68-87,,Turnover by J. Butler (bad pass)
7:51.0,,,68-87,,K. Towns enters the game for G. Dieng
7:41.0,K. Middleton makes 2-pt shot from 1 ft,2,70-87,,
7:20.0,,,70-89,2,J. Crawford makes 2-pt shot from 17 ft
7:05.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson),2,72-89,,
7:05.0,Shooting foul by N. Bjelica (drawn by G. Antetokounmpo),,72-89,,
7:05.0,,,72-89,,J. Teague enters the game for T. Jones
7:05.0,,,72-89,,T. Gibson enters the game for N. Bjelica
7:05.0,S. Brown enters the game for M. Dellavedova,,72-89,,
7:05.0,G. Antetokounmpo misses free throw 1 of 1,,72-89,,
7:03.0,,,72-89,,Defensive rebound by T. Gibson
6:43.0,,,72-89,,T. Gibson misses 2-pt shot from 15 ft
6:40.0,Defensive rebound by S. Brown,,72-89,,
6:30.0,Shooting foul by K. Towns (drawn by G. Antetokounmpo),,72-89,,
6:30.0,G. Antetokounmpo misses free throw 1 of 2,,72-89,,
6:30.0,Offensive rebound by Team,,72-89,,
6:30.0,,,72-89,,A. Wiggins enters the game for J. Crawford
6:30.0,G. Antetokounmpo misses free throw 2 of 2,,72-89,,
6:27.0,,,72-89,,Defensive rebound by K. Towns
6:08.0,,,72-91,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler)
6:01.0,T. Snell misses 3-pt shot from 22 ft,,72-91,,
6:00.0,,,72-91,,Defensive rebound by J. Teague
5:50.0,,,72-91,,T. Gibson misses 2-pt shot from 14 ft
5:45.0,Defensive rebound by G. Antetokounmpo,,72-91,,
5:37.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by T. Gibson),,72-91,,
5:35.0,Offensive rebound by G. Antetokounmpo,,72-91,,
5:30.0,S. Brown makes 2-pt shot at rim (assist by T. Snell),2,74-91,,
5:11.0,,,74-91,,J. Teague misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by T. Snell,,74-91,,
5:05.0,K. Middleton misses 2-pt shot from 5 ft (block by A. Wiggins),,74-91,,
5:05.0,Offensive rebound by Team,,74-91,,
5:05.0,S. Kilpatrick enters the game for G. Antetokounmpo,,74-91,,
4:57.0,Shooting foul by K. Towns (drawn by K. Middleton),,74-91,,
4:57.0,K. Middleton makes free throw 1 of 2,1,75-91,,
4:57.0,K. Middleton makes free throw 2 of 2,1,76-91,,
4:42.0,,,76-93,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler)
4:42.0,,,76-93,,Shooting foul by J. Henson (drawn by K. Towns)
4:42.0,,,76-94,1,K. Towns makes free throw 1 of 1
4:30.0,J. Henson misses 2-pt shot from 4 ft,,76-94,,
4:29.0,Offensive rebound by J. Henson,,76-94,,
4:29.0,Shooting foul by T. Gibson (drawn by J. Henson),,76-94,,
4:29.0,J. Henson makes free throw 1 of 2,1,77-94,,
4:29.0,J. Henson makes free throw 2 of 2,1,78-94,,
4:20.0,,,78-94,,Shooting foul by S. Kilpatrick (drawn by J. Butler)
4:20.0,,,78-95,1,J. Butler makes free throw 1 of 2
4:20.0,,,78-96,1,J. Butler makes free throw 2 of 2
4:12.0,K. Middleton misses 3-pt shot from 26 ft,,78-96,,
4:10.0,Offensive rebound by S. Brown,,78-96,,
4:05.0,T. Snell misses 3-pt shot from 23 ft,,78-96,,
4:02.0,,,78-96,,Defensive rebound by T. Gibson
3:55.0,,,78-99,3,J. Butler makes 3-pt shot from 25 ft (assist by J. Teague)
3:53.0,Milwaukee full timeout,,78-99,,
3:53.0,,,78-99,,J. Crawford enters the game for J. Butler
3:53.0,X. Munford enters the game for T. Snell,,78-99,,
3:53.0,D. Wilson enters the game for K. Middleton,,78-99,,
3:53.0,R. Vaughn enters the game for S. Brown,,78-99,,
3:53.0,M. Plumlee enters the game for J. Henson,,78-99,,
3:31.0,M. Plumlee misses 2-pt shot from 2 ft (block by T. Gibson),,78-99,,
3:29.0,,,78-99,,Defensive rebound by K. Towns
3:16.0,,,78-101,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
3:16.0,,,78-101,,Shooting foul by M. Plumlee (drawn by T. Gibson)
3:16.0,,,78-101,,G. Dieng enters the game for K. Towns
3:16.0,,,78-101,,S. Muhammad enters the game for A. Wiggins
3:16.0,,,78-102,1,T. Gibson makes free throw 1 of 1
3:05.0,X. Munford misses 2-pt shot from 2 ft,,78-102,,
3:00.0,Offensive rebound by D. Wilson,,78-102,,
3:00.0,D. Wilson makes 2-pt shot at rim,2,80-102,,
2:51.0,,,80-104,2,S. Muhammad makes 2-pt shot from 21 ft
2:41.0,R. Vaughn misses 3-pt shot from 25 ft,,80-104,,
2:41.0,Offensive rebound by Team,,80-104,,
2:39.0,,,80-104,,M. Georges-Hunt enters the game for J. Teague
2:39.0,,,80-104,,A. Brooks enters the game for J. Crawford
