time,Washington,pts.away,score,pts.home,Denver
2:20.0,,,21-24,,M. Plumlee misses 2-pt shot from 6 ft
2:20.0,,,21-24,,Offensive rebound by Team
2:20.0,T. Frazier enters the game for J. Wall,,21-24,,
2:15.0,Violation by I. Mahinmi (kicked ball),,21-24,,
2:10.0,,,21-24,,W. Barton misses 3-pt shot from 27 ft
2:05.0,Defensive rebound by M. Scott,,21-24,,
1:58.0,J. Meeks misses 2-pt shot from 20 ft,,21-24,,
1:54.0,,,21-24,,Defensive rebound by E. Mudiay
1:49.0,Personal foul by T. Frazier (drawn by E. Mudiay),,21-24,,
1:49.0,T. Satoransky enters the game for O. Porter,,21-24,,
1:34.0,,,21-24,,G. Harris misses 2-pt shot from 21 ft
1:30.0,Defensive rebound by I. Mahinmi,,21-24,,
1:18.0,T. Satoransky makes 2-pt shot from 5 ft,2,23-24,,
1:08.0,,,23-24,,Shooting foul by I. Mahinmi (drawn by E. Mudiay)
1:08.0,,,23-24,,E. Mudiay misses free throw 1 of 2
1:08.0,,,23-24,,Offensive rebound by Team
1:08.0,,,23-25,1,E. Mudiay makes free throw 2 of 2
0:49.0,,,23-25,,Personal foul by G. Harris (drawn by J. Meeks)
0:43.0,M. Scott misses 3-pt shot from 23 ft,,23-25,,
0:40.0,Offensive rebound by T. Frazier,,23-25,,
0:39.0,T. Satoransky makes 3-pt shot from 25 ft (assist by T. Frazier),3,26-25,,
0:28.0,,,26-27,2,M. Plumlee makes 2-pt shot from 2 ft (assist by W. Chandler)
0:08.0,Turnover by M. Scott (traveling),,26-27,,
0:03.0,,,26-29,2,E. Mudiay makes 2-pt shot from 2 ft
0:00.0,T. Frazier makes 3-pt shot from 33 ft,3,29-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,29-29,,Turnover by N. Jokic (lost ball; steal by I. Mahinmi)
11:37.0,T. Frazier makes 2-pt shot from 9 ft,2,31-29,,
11:37.0,Shooting foul by W. Barton (drawn by T. Frazier),,31-29,,
11:37.0,T. Frazier makes free throw 1 of 1,1,32-29,,
11:26.0,,,32-29,,E. Mudiay misses 2-pt shot from 21 ft
11:22.0,Defensive rebound by T. Satoransky,,32-29,,
11:14.0,Offensive foul by M. Scott (drawn by M. Beasley),,32-29,,
11:14.0,Turnover by M. Scott (offensive foul),,32-29,,
10:50.0,,,32-31,2,K. Faried makes 2-pt shot from 3 ft (assist by M. Beasley)
10:35.0,Offensive foul by I. Mahinmi (drawn by E. Mudiay),,32-31,,
10:35.0,Turnover by I. Mahinmi (offensive foul),,32-31,,
10:24.0,,,32-31,,Turnover by E. Mudiay (bad pass; steal by T. Frazier)
10:14.0,Violation by I. Mahinmi (lane),,32-31,,
9:58.0,,,32-33,2,E. Mudiay makes 2-pt shot from 4 ft
9:49.0,I. Mahinmi misses 2-pt shot from 4 ft,,32-33,,
9:47.0,,,32-33,,Defensive rebound by K. Faried
9:41.0,M. Gortat enters the game for I. Mahinmi,,32-33,,
9:37.0,,,32-33,,Turnover by E. Mudiay (discontinued dribble)
9:27.0,T. Frazier misses 3-pt shot from 25 ft,,32-33,,
9:24.0,,,32-33,,Defensive rebound by N. Jokic
9:19.0,,,32-36,3,M. Beasley makes 3-pt shot from 25 ft (assist by N. Jokic)
9:11.0,Washington full timeout,,32-36,,
9:11.0,B. Beal enters the game for T. Satoransky,,32-36,,
9:00.0,J. Meeks misses 3-pt shot from 25 ft,,32-36,,
8:58.0,,,32-36,,Defensive rebound by E. Mudiay
8:51.0,Personal block foul by M. Scott (drawn by K. Faried),,32-36,,
8:38.0,,,32-36,,Turnover by E. Mudiay (bad pass)
8:30.0,,,32-36,,Personal foul by E. Mudiay (drawn by B. Beal)
8:24.0,B. Beal misses 2-pt shot from 20 ft,,32-36,,
8:21.0,,,32-36,,Defensive rebound by M. Beasley
8:18.0,,,32-36,,W. Barton misses 3-pt shot from 26 ft
8:16.0,,,32-36,,Offensive rebound by K. Faried
8:16.0,,,32-36,,Shooting foul by T. Frazier (drawn by K. Faried)
8:16.0,,,32-37,1,K. Faried makes free throw 1 of 2
8:16.0,,,32-38,1,K. Faried makes free throw 2 of 2
8:03.0,M. Scott misses 2-pt shot from 5 ft,,32-38,,
8:01.0,,,32-38,,Defensive rebound by K. Faried
7:58.0,,,32-40,2,W. Barton makes 2-pt shot from 2 ft (assist by K. Faried)
7:54.0,Washington full timeout,,32-40,,
7:54.0,K. Oubre enters the game for J. Meeks,,32-40,,
7:36.0,M. Gortat makes 2-pt shot from 15 ft (assist by T. Frazier),2,34-40,,
7:21.0,Personal foul by T. Frazier (drawn by W. Barton),,34-40,,
7:21.0,,,34-40,,J. Murray enters the game for E. Mudiay
7:21.0,,,34-40,,M. Plumlee enters the game for N. Jokic
7:07.0,,,34-40,,J. Murray misses 3-pt shot from 27 ft
7:04.0,Defensive rebound by Team,,34-40,,
6:52.0,,,34-40,,Personal foul by M. Beasley (drawn by M. Gortat)
6:52.0,,,34-40,,W. Chandler enters the game for M. Beasley
6:52.0,J. Wall enters the game for T. Frazier,,34-40,,
6:45.0,B. Beal misses 2-pt shot from 17 ft,,34-40,,
6:41.0,,,34-40,,Defensive rebound by J. Murray
6:38.0,Personal foul by M. Gortat (drawn by K. Faried),,34-40,,
6:25.0,,,34-42,2,W. Barton makes 2-pt shot from 3 ft
6:09.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall),2,36-42,,
5:51.0,,,36-44,2,K. Faried makes 2-pt shot from 11 ft
5:40.0,,,36-44,,Personal foul by W. Barton (drawn by B. Beal)
5:40.0,,,36-44,,P. Millsap enters the game for W. Barton
5:40.0,,,36-44,,G. Harris enters the game for K. Faried
5:40.0,O. Porter enters the game for M. Scott,,36-44,,
5:24.0,K. Oubre misses 2-pt shot from 14 ft,,36-44,,
5:21.0,,,36-44,,Defensive rebound by G. Harris
5:16.0,,,36-44,,Turnover by G. Harris (lost ball; steal by O. Porter)
5:11.0,B. Beal makes 2-pt shot from 3 ft (assist by O. Porter),2,38-44,,
5:11.0,,,38-44,,Denver full timeout
5:04.0,,,38-44,,Shooting foul by M. Gortat (drawn by W. Chandler)
5:04.0,,,38-45,1,W. Chandler makes free throw 1 of 2
5:04.0,,,38-46,1,W. Chandler makes free throw 2 of 2
4:51.0,O. Porter makes 2-pt shot from 6 ft (assist by K. Oubre),2,40-46,,
4:31.0,,,40-46,,P. Millsap misses 2-pt shot from 13 ft (block by K. Oubre)
4:28.0,Defensive rebound by O. Porter,,40-46,,
4:23.0,O. Porter makes 2-pt shot from 20 ft (assist by M. Gortat),2,42-46,,
4:00.0,,,42-46,,M. Plumlee misses 2-pt shot from 10 ft
3:57.0,,,42-46,,Offensive rebound by P. Millsap
3:56.0,,,42-48,2,P. Millsap makes 2-pt shot from 5 ft
3:44.0,J. Wall misses 2-pt shot from 4 ft,,42-48,,
3:42.0,,,42-48,,Defensive rebound by J. Murray
3:36.0,,,42-48,,Turnover by W. Chandler (bad pass; steal by O. Porter)
3:36.0,Turnover by O. Porter (bad pass),,42-48,,
3:36.0,,,42-48,,N. Jokic enters the game for M. Plumlee
3:22.0,,,42-48,,Turnover by N. Jokic (bad pass; steal by O. Porter)
3:21.0,Shooting foul by N. Jokic (drawn by J. Wall),,42-48,,
3:21.0,,,42-48,,Denver full timeout
3:21.0,J. Wall misses free throw 1 of 2,,42-48,,
3:21.0,Offensive rebound by Team,,42-48,,
3:21.0,J. Wall makes free throw 2 of 2,1,43-48,,
3:09.0,,,43-48,,Turnover by G. Harris (bad pass; steal by J. Wall)
3:05.0,J. Wall makes 2-pt shot from 2 ft,2,45-48,,
2:53.0,Personal foul by B. Beal (drawn by N. Jokic),,45-48,,
2:53.0,,,45-49,1,N. Jokic makes free throw 1 of 2
2:53.0,,,45-50,1,N. Jokic makes free throw 2 of 2
2:36.0,,,45-50,,Personal foul by G. Harris (drawn by B. Beal)
2:36.0,B. Beal makes free throw 1 of 2,1,46-50,,
2:36.0,B. Beal makes free throw 2 of 2,1,47-50,,
2:28.0,Personal foul by K. Oubre (drawn by W. Chandler),,47-50,,
2:28.0,,,47-51,1,W. Chandler makes free throw 1 of 2
2:28.0,,,47-51,,W. Chandler misses free throw 2 of 2
2:23.0,,,47-51,,Offensive rebound by N. Jokic
2:19.0,,,47-51,,Turnover by N. Jokic (bad pass)
1:58.0,K. Oubre makes 3-pt shot from 23 ft (assist by J. Wall),3,50-51,,
1:49.0,,,50-51,,N. Jokic misses 2-pt shot from 12 ft
1:45.0,Defensive rebound by O. Porter,,50-51,,
1:42.0,Offensive foul by M. Gortat (drawn by N. Jokic),,50-51,,
1:42.0,Turnover by M. Gortat (offensive foul),,50-51,,
1:42.0,I. Mahinmi enters the game for M. Gortat,,50-51,,
1:28.0,,,50-51,,N. Jokic misses 2-pt shot from 20 ft
1:25.0,Defensive rebound by J. Wall,,50-51,,
1:22.0,,,50-51,,Personal foul by G. Harris (drawn by J. Wall)
1:22.0,J. Wall makes free throw 1 of 2,1,51-51,,
1:22.0,,,51-51,,W. Barton enters the game for G. Harris
1:22.0,J. Wall makes free throw 2 of 2,1,52-51,,
1:01.0,,,52-53,2,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray)
0:46.0,O. Porter makes 2-pt shot from 18 ft,2,54-53,,
0:36.0,,,54-55,2,J. Murray makes 2-pt shot from 10 ft
0:30.0,J. Wall misses 3-pt shot from 25 ft,,54-55,,
0:26.0,,,54-55,,Defensive rebound by W. Barton
0:03.0,,,54-55,,W. Barton misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by O. Porter,,54-55,,
0:00.0,B. Beal makes 2-pt shot from 2 ft (assist by O. Porter),2,56-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,56-57,2,P. Millsap makes 2-pt shot from 2 ft (assist by N. Jokic)
11:32.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,58-57,,
11:10.0,,,58-57,,Turnover by N. Jokic (bad pass; steal by K. Oubre)
11:00.0,O. Porter misses 2-pt shot from 21 ft,,58-57,,
10:57.0,Offensive rebound by O. Porter,,58-57,,
10:55.0,B. Beal misses 3-pt shot from 26 ft,,58-57,,
10:51.0,,,58-57,,Defensive rebound by W. Chandler
10:37.0,,,58-57,,Turnover by N. Jokic (bad pass)
10:17.0,O. Porter makes 3-pt shot from 22 ft (assist by J. Wall),3,61-57,,
10:06.0,,,61-57,,Turnover by G. Harris (bad pass; steal by O. Porter)
10:03.0,B. Beal makes 2-pt shot from 3 ft (assist by J. Wall),2,63-57,,
10:03.0,,,63-57,,Denver full timeout
9:45.0,,,63-57,,W. Chandler misses 2-pt shot from 3 ft
9:43.0,Defensive rebound by O. Porter,,63-57,,
9:28.0,Offensive charge foul by J. Wall (drawn by P. Millsap),,63-57,,
9:28.0,Turnover by J. Wall (offensive foul),,63-57,,
9:16.0,,,63-57,,G. Harris misses 2-pt shot from 14 ft
9:12.0,Defensive rebound by M. Gortat,,63-57,,
8:55.0,K. Oubre misses 2-pt shot from 14 ft,,63-57,,
8:53.0,,,63-57,,Defensive rebound by N. Jokic
8:47.0,,,63-59,2,P. Millsap makes 2-pt shot from 3 ft (assist by N. Jokic)
8:41.0,Turnover by M. Gortat (traveling),,63-59,,
8:26.0,,,63-59,,G. Harris misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by K. Oubre,,63-59,,
8:16.0,J. Wall makes 2-pt shot from 2 ft,2,65-59,,
8:16.0,Shooting foul by N. Jokic (drawn by J. Wall),,65-59,,
8:16.0,J. Wall makes free throw 1 of 1,1,66-59,,
8:06.0,,,66-59,,Turnover by G. Harris (traveling)
7:43.0,B. Beal misses 3-pt shot from 27 ft,,66-59,,
7:40.0,Offensive rebound by O. Porter,,66-59,,
7:34.0,B. Beal misses 2-pt shot from 4 ft,,66-59,,
7:31.0,,,66-59,,Defensive rebound by P. Millsap
7:28.0,,,66-59,,Turnover by J. Murray (bad pass)
7:28.0,,,66-59,,Denver full timeout
7:10.0,,,66-59,,Personal block foul by J. Murray (drawn by O. Porter)
6:58.0,M. Gortat misses 2-pt shot from 10 ft,,66-59,,
6:55.0,,,66-59,,Defensive rebound by P. Millsap
6:39.0,,,66-61,2,P. Millsap makes 2-pt shot from 6 ft
6:24.0,Offensive foul by M. Gortat (drawn by G. Harris),,66-61,,
6:24.0,Turnover by M. Gortat (offensive foul),,66-61,,
6:24.0,,,66-61,,W. Barton enters the game for W. Chandler
6:24.0,I. Mahinmi enters the game for M. Gortat,,66-61,,
6:08.0,,,66-61,,P. Millsap misses 2-pt shot from 15 ft
6:06.0,,,66-61,,Offensive rebound by N. Jokic
6:04.0,,,66-61,,G. Harris misses 3-pt shot from 23 ft
6:04.0,Defensive rebound by O. Porter,,66-61,,
5:52.0,J. Wall misses 2-pt shot from 18 ft,,66-61,,
5:49.0,,,66-61,,Defensive rebound by W. Barton
5:45.0,,,66-61,,J. Murray misses 3-pt shot from 26 ft
5:42.0,Defensive rebound by O. Porter,,66-61,,
5:30.0,O. Porter misses 3-pt shot from 26 ft,,66-61,,
5:27.0,,,66-61,,Defensive rebound by N. Jokic
5:24.0,,,66-63,2,P. Millsap makes 2-pt shot from 3 ft (assist by J. Murray)
5:24.0,,,66-63,,Shooting foul by O. Porter (drawn by P. Millsap)
5:24.0,,,66-63,,M. Plumlee enters the game for N. Jokic
5:24.0,,,66-64,1,P. Millsap makes free throw 1 of 1
5:01.0,B. Beal makes 2-pt shot from 4 ft,2,68-64,,
4:52.0,,,68-64,,J. Murray misses 2-pt shot from 7 ft (block by J. Wall)
4:52.0,,,68-64,,Offensive rebound by Team
4:39.0,,,68-64,,J. Murray misses 2-pt shot from 4 ft (block by O. Porter)
4:39.0,,,68-64,,Offensive rebound by Team
4:39.0,J. Meeks enters the game for K. Oubre,,68-64,,
4:21.0,,,68-66,2,M. Plumlee makes 2-pt shot from 8 ft (assist by W. Barton)
4:01.0,I. Mahinmi misses 2-pt shot from 6 ft,,68-66,,
3:59.0,,,68-66,,Defensive rebound by W. Barton
3:54.0,,,68-66,,Turnover by P. Millsap (lost ball; steal by J. Wall)
3:47.0,J. Wall misses 2-pt shot from 2 ft,,68-66,,
3:40.0,Offensive rebound by B. Beal,,68-66,,
3:40.0,B. Beal makes 2-pt shot at rim,2,70-66,,
3:30.0,,,70-66,,Turnover by P. Millsap (traveling)
3:30.0,,,70-66,,W. Chandler enters the game for P. Millsap
3:30.0,,,70-66,,E. Mudiay enters the game for J. Murray
3:30.0,M. Scott enters the game for O. Porter,,70-66,,
3:13.0,Shooting foul by W. Chandler (drawn by J. Wall),,70-66,,
3:13.0,J. Wall makes free throw 1 of 2,1,71-66,,
3:13.0,T. Frazier enters the game for B. Beal,,71-66,,
3:13.0,J. Wall makes free throw 2 of 2,1,72-66,,
2:56.0,,,72-66,,E. Mudiay misses 3-pt shot from 25 ft
2:51.0,,,72-66,,Offensive rebound by M. Plumlee
2:48.0,,,72-69,3,W. Barton makes 3-pt shot from 23 ft (assist by E. Mudiay)
2:27.0,M. Scott misses 3-pt shot from 25 ft,,72-69,,
2:22.0,Offensive rebound by I. Mahinmi,,72-69,,
2:22.0,I. Mahinmi misses 2-pt shot at rim,,72-69,,
2:22.0,Offensive rebound by I. Mahinmi,,72-69,,
2:16.0,I. Mahinmi makes 2-pt shot at rim,2,74-69,,
2:11.0,,,74-71,2,E. Mudiay makes 2-pt shot from 3 ft (assist by G. Harris)
1:59.0,J. Wall misses 3-pt shot from 26 ft,,74-71,,
1:57.0,,,74-71,,Defensive rebound by M. Plumlee
1:52.0,,,74-71,,Shooting foul by I. Mahinmi (drawn by M. Plumlee)
1:52.0,,,74-72,1,M. Plumlee makes free throw 1 of 2
1:52.0,K. Oubre enters the game for J. Wall,,74-72,,
1:52.0,,,74-72,,M. Beasley enters the game for G. Harris
1:52.0,,,74-72,,M. Plumlee misses free throw 2 of 2
1:49.0,Defensive rebound by I. Mahinmi,,74-72,,
1:43.0,J. Meeks misses 3-pt shot from 25 ft,,74-72,,
1:40.0,Offensive rebound by I. Mahinmi,,74-72,,
1:37.0,I. Mahinmi misses 2-pt shot from 4 ft (block by M. Plumlee),,74-72,,
1:37.0,,,74-72,,Defensive rebound by E. Mudiay
1:33.0,,,74-72,,Turnover by E. Mudiay (bad pass; steal by T. Frazier)
1:27.0,T. Frazier makes 2-pt shot from 2 ft,2,76-72,,
1:16.0,,,76-75,3,W. Barton makes 3-pt shot from 23 ft (assist by W. Chandler)
1:06.0,Personal foul by I. Mahinmi (drawn by W. Barton),,76-75,,
1:06.0,Turnover by I. Mahinmi (turnover),,76-75,,
1:06.0,,,76-75,,W. Barton misses free throw 2 of 2
1:06.0,Defensive rebound by K. Oubre,,76-75,,
1:06.0,,,76-75,,W. Barton misses free throw 1 of 2
1:06.0,,,76-75,,Offensive rebound by Team
0:55.0,Turnover by J. Meeks (bad pass; steal by M. Beasley),,76-75,,
0:46.0,,,76-75,,W. Barton misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by I. Mahinmi,,76-75,,
0:34.0,,,76-75,,Personal foul by W. Barton (drawn by T. Frazier)
0:31.0,Turnover by K. Oubre (bad pass; steal by M. Plumlee),,76-75,,
0:31.0,,,76-75,,Turnover by M. Plumlee (bad pass)
0:11.0,Shooting foul by W. Chandler (drawn by T. Frazier),,76-75,,
0:11.0,T. Frazier makes free throw 1 of 2,1,77-75,,
0:11.0,T. Satoransky enters the game for I. Mahinmi,,77-75,,
0:11.0,T. Frazier makes free throw 2 of 2,1,78-75,,
0:00.0,,,78-77,2,W. Barton makes 2-pt shot from 12 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,K. Oubre misses 3-pt shot from 23 ft,,78-77,,
11:44.0,Offensive rebound by I. Mahinmi,,78-77,,
11:43.0,Shooting foul by W. Chandler (drawn by J. Meeks),,78-77,,
11:43.0,J. Meeks makes free throw 1 of 2,1,79-77,,
11:43.0,J. Meeks makes free throw 2 of 2,1,80-77,,
11:29.0,,,80-77,,N. Jokic misses 2-pt shot from 20 ft
11:27.0,Defensive rebound by J. Meeks,,80-77,,
11:05.0,M. Scott makes 2-pt shot from 14 ft,2,82-77,,
10:44.0,,,82-77,,W. Barton misses 2-pt shot from 15 ft
10:42.0,,,82-77,,Offensive rebound by W. Barton
10:40.0,,,82-80,3,E. Mudiay makes 3-pt shot from 23 ft (assist by W. Barton)
10:30.0,,,82-80,,Personal foul by E. Mudiay (drawn by J. Meeks)
10:19.0,M. Scott misses 2-pt shot from 13 ft,,82-80,,
10:16.0,,,82-80,,Defensive rebound by K. Faried
10:04.0,,,82-80,,K. Faried misses 2-pt shot from 8 ft
10:01.0,Defensive rebound by K. Oubre,,82-80,,
9:58.0,J. Meeks misses 3-pt shot from 26 ft,,82-80,,
9:54.0,,,82-80,,Defensive rebound by K. Faried
9:47.0,,,82-80,,W. Barton misses 2-pt shot from 9 ft
9:43.0,Defensive rebound by T. Frazier,,82-80,,
9:39.0,J. Meeks makes 3-pt shot from 26 ft (assist by T. Frazier),3,85-80,,
9:13.0,,,85-80,,E. Mudiay misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by I. Mahinmi,,85-80,,
9:02.0,K. Oubre makes 2-pt shot from 4 ft,2,87-80,,
9:02.0,,,87-80,,Denver full timeout
8:45.0,,,87-82,2,N. Jokic makes 2-pt shot from 15 ft (assist by W. Chandler)
8:27.0,J. Meeks misses 3-pt shot from 23 ft,,87-82,,
8:24.0,,,87-82,,Defensive rebound by K. Faried
8:22.0,Personal foul by T. Frazier (drawn by E. Mudiay),,87-82,,
8:22.0,J. Wall enters the game for T. Frazier,,87-82,,
8:22.0,B. Beal enters the game for J. Meeks,,87-82,,
8:08.0,,,87-82,,Shooting foul by I. Mahinmi (drawn by N. Jokic)
8:08.0,,,87-83,1,N. Jokic makes free throw 1 of 3
8:08.0,,,87-84,1,N. Jokic makes free throw 2 of 3
8:08.0,,,87-85,1,N. Jokic makes free throw 3 of 3
7:55.0,K. Oubre makes 2-pt shot from 13 ft (assist by J. Wall),2,89-85,,
7:44.0,,,89-85,,Shooting foul by J. Wall (drawn by E. Mudiay)
7:44.0,,,89-86,1,E. Mudiay makes free throw 1 of 2
7:44.0,O. Porter enters the game for I. Mahinmi,,89-86,,
7:44.0,M. Gortat enters the game for M. Scott,,89-86,,
7:44.0,,,89-87,1,E. Mudiay makes free throw 2 of 2
7:34.0,K. Oubre makes 3-pt shot from 27 ft (assist by M. Gortat),3,92-87,,
7:34.0,Shooting foul by N. Jokic (drawn by M. Gortat),,92-87,,
7:34.0,M. Gortat makes free throw 1 of 1,1,93-87,,
7:22.0,,,93-87,,Turnover by W. Chandler (lost ball; steal by K. Oubre)
7:19.0,Shooting foul by W. Barton (drawn by K. Oubre),,93-87,,
7:19.0,K. Oubre makes free throw 1 of 2,1,94-87,,
7:19.0,K. Oubre makes free throw 2 of 2,1,95-87,,
7:10.0,Personal foul by O. Porter (drawn by K. Faried),,95-87,,
7:10.0,,,95-87,,P. Millsap enters the game for W. Barton
7:10.0,,,95-87,,G. Harris enters the game for K. Faried
7:00.0,,,95-87,,E. Mudiay misses 2-pt shot from 19 ft
6:54.0,,,95-87,,Offensive rebound by P. Millsap
6:54.0,,,95-89,2,P. Millsap makes 2-pt shot at rim
6:44.0,O. Porter misses 3-pt shot from 24 ft,,95-89,,
6:43.0,Offensive rebound by Team,,95-89,,
6:38.0,Turnover by B. Beal (bad pass),,95-89,,
6:19.0,,,95-89,,P. Millsap misses 2-pt shot from 8 ft
6:15.0,Defensive rebound by B. Beal,,95-89,,
6:10.0,Turnover by J. Wall (bad pass; steal by E. Mudiay),,95-89,,
6:05.0,,,95-92,3,E. Mudiay makes 3-pt shot from 26 ft (assist by G. Harris)
6:03.0,Washington full timeout,,95-92,,
5:48.0,B. Beal makes 2-pt shot from 15 ft (assist by J. Wall),2,97-92,,
5:30.0,,,97-92,,P. Millsap misses 2-pt shot from 6 ft
5:27.0,Defensive rebound by O. Porter,,97-92,,
5:19.0,O. Porter misses 2-pt shot from 20 ft,,97-92,,
5:15.0,,,97-92,,Defensive rebound by G. Harris
5:06.0,,,97-92,,Turnover by E. Mudiay (lost ball; steal by B. Beal)
4:54.0,B. Beal misses 2-pt shot from 17 ft,,97-92,,
4:51.0,,,97-92,,Defensive rebound by P. Millsap
