time,Memphis,pts.away,score,pts.home,Boston
5:50.0,,,10-14,,Defensive rebound by A. Horford
5:49.0,,,10-14,,J. Tatum misses 2-pt shot from 1 ft
5:49.0,Defensive rebound by Team,,10-14,,
5:39.0,D. Brooks makes 2-pt shot from 1 ft (assist by M. Gasol),2,12-14,,
5:24.0,Violation by J. Green (kicked ball),,12-14,,
5:24.0,,,12-14,,M. Morris enters the game for A. Baynes
5:24.0,,,12-14,,M. Smart enters the game for J. Brown
5:24.0,B. McLemore enters the game for J. Martin,,12-14,,
5:10.0,,,12-14,,M. Smart misses 3-pt shot from 26 ft
5:07.0,Defensive rebound by B. McLemore,,12-14,,
4:58.0,Shooting foul by A. Horford (drawn by M. Gasol),,12-14,,
4:58.0,M. Gasol makes free throw 1 of 2,1,13-14,,
4:58.0,I. Rabb enters the game for J. Green,,13-14,,
4:58.0,M. Chalmers enters the game for A. Harrison,,13-14,,
4:58.0,M. Gasol makes free throw 2 of 2,1,14-14,,
4:47.0,,,14-17,3,K. Irving makes 3-pt shot from 26 ft
4:37.0,M. Chalmers makes 2-pt shot from 2 ft,2,16-17,,
4:26.0,,,16-20,3,M. Smart makes 3-pt shot from 25 ft (assist by K. Irving)
4:13.0,D. Brooks makes 2-pt shot from 1 ft (assist by M. Gasol),2,18-20,,
3:53.0,,,18-20,,M. Morris misses 3-pt shot from 22 ft
3:51.0,Defensive rebound by D. Brooks,,18-20,,
3:42.0,M. Gasol misses 2-pt shot from 3 ft,,18-20,,
3:39.0,,,18-20,,Defensive rebound by A. Horford
3:33.0,,,18-20,,Turnover by A. Horford (bad pass; steal by M. Chalmers)
3:15.0,M. Chalmers makes 2-pt shot from 2 ft,2,20-20,,
3:03.0,,,20-23,3,K. Irving makes 3-pt shot from 25 ft (assist by A. Horford)
2:45.0,M. Gasol makes 2-pt shot from 1 ft,2,22-23,,
2:36.0,Personal foul by B. McLemore (drawn by K. Irving),,22-23,,
2:36.0,Memphis full timeout,,22-23,,
2:36.0,,,22-23,,T. Rozier enters the game for J. Tatum
2:36.0,,,22-23,,D. Theis enters the game for A. Horford
2:36.0,D. Davis enters the game for D. Brooks,,22-23,,
2:36.0,A. Harrison enters the game for M. Gasol,,22-23,,
2:27.0,,,22-25,2,K. Irving makes 2-pt shot from 7 ft
2:14.0,Turnover by B. McLemore (traveling),,22-25,,
2:02.0,,,22-27,2,M. Morris makes 2-pt shot from 12 ft (assist by M. Smart)
1:40.0,B. McLemore makes 2-pt shot from 2 ft (assist by M. Chalmers),2,24-27,,
1:23.0,Personal foul by B. McLemore (drawn by M. Morris),,24-27,,
1:23.0,,,24-27,,S. Ojeleye enters the game for K. Irving
1:14.0,,,24-30,3,T. Rozier makes 3-pt shot from 24 ft (assist by M. Morris)
1:00.0,I. Rabb misses 2-pt shot from 4 ft,,24-30,,
1:00.0,,,24-30,,Defensive rebound by D. Theis
0:45.0,,,24-30,,M. Morris misses 2-pt shot from 7 ft
0:45.0,Defensive rebound by D. Davis,,24-30,,
0:27.0,,,24-30,,Personal foul by T. Rozier (drawn by A. Harrison)
0:27.0,A. Harrison misses free throw 1 of 2,,24-30,,
0:27.0,Offensive rebound by Team,,24-30,,
0:27.0,J. Green enters the game for I. Rabb,,24-30,,
0:27.0,A. Harrison misses free throw 2 of 2,,24-30,,
0:27.0,,,24-30,,Defensive rebound by S. Ojeleye
0:09.0,,,24-33,3,T. Rozier makes 3-pt shot from 25 ft (assist by M. Smart)
0:02.0,M. Chalmers misses 3-pt shot from 26 ft,,24-33,,
0:02.0,,,24-33,,Defensive rebound by T. Rozier
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Turnover by J. Martin (bad pass; steal by M. Smart),,24-33,,
11:19.0,,,24-33,,M. Smart misses 3-pt shot from 25 ft
11:19.0,,,24-33,,Offensive rebound by M. Morris
11:18.0,,,24-35,2,M. Morris makes 2-pt shot at rim
10:56.0,D. Davis makes 2-pt shot from 4 ft (assist by M. Chalmers),2,26-35,,
10:41.0,,,26-37,2,D. Theis makes 2-pt shot from 1 ft (assist by M. Smart)
10:20.0,I. Rabb misses 2-pt shot from 2 ft,,26-37,,
10:18.0,,,26-37,,Defensive rebound by M. Morris
10:10.0,,,26-39,2,D. Theis makes 2-pt shot at rim (assist by M. Morris)
9:56.0,M. Chalmers misses 3-pt shot from 25 ft,,26-39,,
9:53.0,,,26-39,,Defensive rebound by D. Theis
9:42.0,,,26-41,2,T. Rozier makes 2-pt shot from 4 ft
9:42.0,,,26-41,,Shooting foul by B. McLemore (drawn by T. Rozier)
9:42.0,D. Brooks enters the game for D. Davis,,26-41,,
9:42.0,J. Green enters the game for B. McLemore,,26-41,,
9:42.0,M. Gasol enters the game for I. Rabb,,26-41,,
9:42.0,,,26-42,1,T. Rozier makes free throw 1 of 1
9:29.0,,,26-42,,Personal foul by T. Rozier (drawn by M. Chalmers)
9:24.0,Turnover by M. Gasol (lost ball; steal by M. Smart),,26-42,,
9:22.0,Personal foul by J. Green (drawn by M. Morris),,26-42,,
9:15.0,Personal foul by J. Martin (drawn by M. Smart),,26-42,,
9:02.0,,,26-42,,Boston full timeout
9:00.0,Personal foul by M. Gasol (drawn by M. Smart),,26-42,,
8:47.0,Personal foul by M. Chalmers (drawn by T. Rozier),,26-42,,
8:47.0,,,26-42,,T. Rozier misses free throw 1 of 2
8:47.0,,,26-42,,Offensive rebound by Team
8:47.0,,,26-43,1,T. Rozier makes free throw 2 of 2
8:41.0,,,26-43,,Personal foul by T. Rozier (drawn by M. Chalmers)
8:34.0,Shooting foul by D. Theis (drawn by M. Gasol),,26-43,,
8:34.0,M. Gasol makes free throw 1 of 2,1,27-43,,
8:34.0,M. Gasol makes free throw 2 of 2,1,28-43,,
8:27.0,,,28-43,,M. Morris misses 3-pt shot from 24 ft
8:25.0,,,28-43,,Offensive rebound by Team
8:23.0,,,28-43,,M. Smart misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by J. Green,,28-43,,
8:06.0,J. Green misses 3-pt shot from 27 ft,,28-43,,
8:04.0,,,28-43,,Defensive rebound by D. Theis
8:04.0,Personal foul by D. Brooks (drawn by D. Theis),,28-43,,
8:04.0,,,28-44,1,D. Theis makes free throw 1 of 2
8:04.0,,,28-45,1,D. Theis makes free throw 2 of 2
8:04.0,A. Harrison enters the game for M. Chalmers,,28-45,,
7:49.0,Turnover by A. Harrison (bad pass; steal by S. Ojeleye),,28-45,,
7:47.0,,,28-47,2,T. Rozier makes 2-pt shot from 1 ft (assist by S. Ojeleye)
7:47.0,Memphis full timeout,,28-47,,
7:47.0,M. Henry enters the game for J. Martin,,28-47,,
7:29.0,M. Henry misses 3-pt shot from 27 ft,,28-47,,
7:23.0,Offensive rebound by M. Henry,,28-47,,
7:16.0,Shooting foul by D. Theis (drawn by A. Harrison),,28-47,,
7:16.0,A. Harrison makes free throw 1 of 2,1,29-47,,
7:16.0,A. Harrison makes free throw 2 of 2,1,30-47,,
7:01.0,,,30-49,2,M. Morris makes 2-pt shot from 2 ft (assist by D. Theis)
6:42.0,J. Green misses 2-pt shot from 19 ft,,30-49,,
6:39.0,,,30-49,,Defensive rebound by S. Ojeleye
6:25.0,Def 3 sec tech foul by A. Harrison,,30-49,,
6:25.0,,,30-50,1,M. Smart makes technical free throw
6:25.0,,,30-50,,K. Irving enters the game for T. Rozier
6:25.0,,,30-50,,J. Brown enters the game for M. Smart
6:13.0,,,30-50,,M. Morris misses 2-pt shot from 8 ft
6:10.0,Defensive rebound by J. Green,,30-50,,
5:57.0,D. Brooks misses 2-pt shot from 22 ft,,30-50,,
5:54.0,,,30-50,,Defensive rebound by M. Morris
5:48.0,,,30-52,2,D. Theis makes 2-pt shot from 1 ft (assist by J. Brown)
5:29.0,,,30-52,,Violation by D. Theis (kicked ball)
5:29.0,J. Martin enters the game for D. Brooks,,30-52,,
5:24.0,J. Green misses 3-pt shot from 24 ft,,30-52,,
5:22.0,,,30-52,,Defensive rebound by M. Morris
5:13.0,,,30-55,3,K. Irving makes 3-pt shot from 28 ft
5:06.0,Memphis full timeout,,30-55,,
4:49.0,Turnover by J. Green (step out of bounds),,30-55,,
4:34.0,,,30-55,,Turnover by S. Ojeleye (traveling)
4:34.0,,,30-55,,A. Horford enters the game for D. Theis
4:23.0,A. Harrison misses 3-pt shot from 22 ft,,30-55,,
4:20.0,,,30-55,,Defensive rebound by M. Morris
4:17.0,,,30-55,,K. Irving misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by J. Martin,,30-55,,
3:56.0,M. Henry misses 3-pt shot from 24 ft,,30-55,,
3:52.0,,,30-55,,Defensive rebound by A. Horford
3:48.0,,,30-55,,J. Brown misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by J. Green,,30-55,,
3:44.0,,,30-55,,Personal foul by K. Irving (drawn by M. Henry)
3:44.0,M. Henry misses free throw 1 of 2,,30-55,,
3:44.0,Offensive rebound by Team,,30-55,,
3:44.0,,,30-55,,J. Tatum enters the game for S. Ojeleye
3:44.0,D. Davis enters the game for A. Harrison,,30-55,,
3:44.0,M. Chalmers enters the game for M. Gasol,,30-55,,
3:44.0,M. Henry makes free throw 2 of 2,1,31-55,,
3:32.0,,,31-55,,A. Horford misses 3-pt shot from 26 ft
3:29.0,,,31-55,,Offensive rebound by A. Horford
3:28.0,,,31-58,3,K. Irving makes 3-pt shot from 22 ft (assist by A. Horford)
3:06.0,J. Martin makes 2-pt shot from 22 ft (assist by M. Henry),2,33-58,,
2:49.0,,,33-58,,Shooting foul by M. Chalmers (drawn by K. Irving)
2:49.0,,,33-59,1,K. Irving makes free throw 1 of 2
2:49.0,,,33-59,,S. Ojeleye enters the game for M. Morris
2:49.0,,,33-60,1,K. Irving makes free throw 2 of 2
2:43.0,,,33-60,,Violation by A. Horford (kicked ball)
2:39.0,Shooting foul by K. Irving (drawn by M. Chalmers),,33-60,,
2:39.0,M. Chalmers makes free throw 1 of 2,1,34-60,,
2:39.0,M. Chalmers makes free throw 2 of 2,1,35-60,,
2:31.0,,,35-60,,K. Irving misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by J. Green,,35-60,,
2:16.0,D. Davis makes 2-pt shot from 16 ft (assist by J. Martin),2,37-60,,
1:54.0,,,37-62,2,K. Irving makes 2-pt shot from 1 ft
1:47.0,M. Chalmers misses 2-pt shot from 14 ft,,37-62,,
1:43.0,,,37-62,,Defensive rebound by K. Irving
1:36.0,,,37-62,,J. Brown misses 3-pt shot from 22 ft
1:33.0,Defensive rebound by J. Green,,37-62,,
1:28.0,D. Davis makes 2-pt shot from 1 ft (assist by J. Martin),2,39-62,,
1:12.0,Personal foul by D. Davis (drawn by A. Horford),,39-62,,
1:12.0,,,39-63,1,A. Horford makes free throw 1 of 2
1:12.0,,,39-63,,M. Smart enters the game for J. Brown
1:12.0,,,39-63,,A. Baynes enters the game for S. Ojeleye
1:12.0,,,39-64,1,A. Horford makes free throw 2 of 2
1:01.0,D. Davis makes 2-pt shot from 12 ft (assist by M. Chalmers),2,41-64,,
0:46.0,,,41-64,,J. Tatum misses 2-pt shot from 11 ft
0:44.0,Defensive rebound by J. Green,,41-64,,
0:36.0,D. Davis misses 2-pt shot from 19 ft,,41-64,,
0:33.0,,,41-64,,Defensive rebound by K. Irving
0:25.0,,,41-64,,Turnover by A. Baynes (turnover)
0:05.0,Turnover by M. Chalmers (turnover),,41-64,,
0:05.0,,,41-64,,M. Morris enters the game for A. Baynes
0:01.0,,,41-67,3,M. Morris makes 3-pt shot from 25 ft (assist by A. Horford)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,A. Harrison makes 2-pt shot from 2 ft,2,43-67,,
11:37.0,Shooting foul by A. Horford (drawn by A. Harrison),,43-67,,
11:37.0,A. Harrison makes free throw 1 of 1,1,44-67,,
11:20.0,,,44-67,,A. Horford misses 2-pt shot from 10 ft
11:17.0,Defensive rebound by A. Harrison,,44-67,,
11:10.0,A. Harrison misses 2-pt shot from 4 ft,,44-67,,
11:06.0,Offensive rebound by J. Green,,44-67,,
11:06.0,J. Green makes 2-pt shot at rim,2,46-67,,
10:59.0,Personal foul by A. Harrison (drawn by K. Irving),,46-67,,
10:52.0,,,46-67,,J. Brown misses 3-pt shot from 28 ft
10:50.0,Defensive rebound by J. Green,,46-67,,
10:46.0,,,46-67,,Personal foul by J. Tatum (drawn by A. Harrison)
10:36.0,J. Green makes 3-pt shot from 24 ft (assist by A. Harrison),3,49-67,,
10:19.0,,,49-69,2,K. Irving makes 2-pt shot from 10 ft
10:04.0,D. Brooks misses 3-pt shot from 26 ft,,49-69,,
10:01.0,,,49-69,,Defensive rebound by K. Irving
9:56.0,,,49-69,,K. Irving misses 3-pt shot from 27 ft
9:56.0,Defensive rebound by M. Gasol,,49-69,,
9:47.0,A. Harrison misses 3-pt shot from 25 ft,,49-69,,
9:44.0,,,49-69,,Defensive rebound by J. Brown
9:28.0,,,49-72,3,J. Tatum makes 3-pt shot from 25 ft (assist by K. Irving)
9:01.0,A. Harrison misses 3-pt shot from 32 ft,,49-72,,
9:01.0,,,49-72,,Defensive rebound by Team
9:01.0,,,49-72,,M. Morris enters the game for J. Tatum
9:01.0,,,49-72,,M. Smart enters the game for J. Brown
8:46.0,,,49-72,,Shooting foul by J. Green (drawn by K. Irving)
8:46.0,,,49-73,1,K. Irving makes free throw 1 of 2
8:46.0,M. Henry enters the game for A. Harrison,,49-73,,
8:46.0,,,49-74,1,K. Irving makes free throw 2 of 2
8:29.0,D. Brooks misses 2-pt shot from 20 ft,,49-74,,
8:26.0,,,49-74,,Defensive rebound by A. Baynes
8:12.0,,,49-76,2,A. Horford makes 2-pt shot from 17 ft (assist by M. Smart)
7:57.0,Shooting foul by A. Baynes (drawn by J. Green),,49-76,,
7:57.0,J. Green makes free throw 1 of 2,1,50-76,,
7:57.0,J. Green makes free throw 2 of 2,1,51-76,,
7:40.0,Personal foul by J. Green (drawn by A. Baynes),,51-76,,
7:32.0,,,51-76,,Shooting foul by J. Green (drawn by A. Horford)
7:32.0,,,51-77,1,A. Horford makes free throw 1 of 2
7:32.0,,,51-77,,A. Horford misses free throw 2 of 2
7:29.0,Defensive rebound by M. Gasol,,51-77,,
7:14.0,M. Henry misses 2-pt shot from 2 ft,,51-77,,
7:11.0,,,51-77,,Defensive rebound by K. Irving
7:05.0,,,51-77,,K. Irving misses 2-pt shot from 2 ft
7:05.0,Defensive rebound by J. Green,,51-77,,
6:57.0,M. Henry makes 3-pt shot from 22 ft (assist by M. Gasol),3,54-77,,
6:47.0,,,54-77,,Boston full timeout
6:43.0,Jump ball: K. Irving vs. M. Gasol (J. Green gains possession),,,,Jump ball: K. Irving vs. M. Gasol (J. Green gains possession)
6:43.0,,,54-77,,Turnover by K. Irving (turnover; steal by M. Gasol)
6:30.0,M. Henry misses 3-pt shot from 26 ft,,54-77,,
6:29.0,,,54-77,,Defensive rebound by Team
6:16.0,Personal foul by J. Martin (drawn by A. Baynes),,54-77,,
6:16.0,,,54-78,1,A. Baynes makes free throw 1 of 2
6:16.0,,,54-78,,A. Baynes misses free throw 2 of 2
6:14.0,Defensive rebound by M. Gasol,,54-78,,
6:07.0,Turnover by J. Martin (bad pass; steal by M. Smart),,54-78,,
6:02.0,,,54-78,,M. Smart misses 2-pt shot from 1 ft
5:59.0,,,54-78,,Offensive rebound by M. Morris
5:58.0,,,54-80,2,M. Morris makes 2-pt shot from 1 ft
5:46.0,J. Green misses 2-pt shot from 1 ft,,54-80,,
5:46.0,,,54-80,,Defensive rebound by A. Horford
5:31.0,,,54-80,,A. Horford misses 2-pt shot from 4 ft (block by M. Gasol)
5:31.0,,,54-80,,Offensive rebound by Team
5:31.0,M. Chalmers enters the game for J. Martin,,54-80,,
5:27.0,,,54-82,2,A. Baynes makes 2-pt shot from 15 ft (assist by M. Smart)
5:13.0,M. Gasol makes 2-pt shot from 11 ft (assist by M. Chalmers),2,56-82,,
4:54.0,,,56-82,,A. Horford misses 2-pt shot from 16 ft
4:52.0,Defensive rebound by M. Gasol,,56-82,,
4:49.0,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol),2,58-82,,
4:21.0,,,58-82,,M. Morris misses 2-pt shot from 3 ft
4:19.0,,,58-82,,Offensive rebound by A. Baynes
4:17.0,,,58-84,2,A. Baynes makes 2-pt shot at rim
4:07.0,Shooting foul by A. Baynes (drawn by D. Brooks),,58-84,,
4:07.0,D. Brooks makes free throw 1 of 2,1,59-84,,
4:07.0,,,59-84,,T. Rozier enters the game for K. Irving
4:07.0,D. Brooks makes free throw 2 of 2,1,60-84,,
3:54.0,,,60-86,2,M. Smart makes 2-pt shot from 1 ft (assist by A. Baynes)
3:47.0,,,60-86,,Personal foul by T. Rozier (drawn by M. Chalmers)
3:47.0,M. Chalmers makes free throw 1 of 2,1,61-86,,
3:47.0,,,61-86,,J. Brown enters the game for A. Baynes
3:47.0,D. Davis enters the game for D. Brooks,,61-86,,
3:47.0,A. Harrison enters the game for M. Gasol,,61-86,,
3:47.0,M. Chalmers makes free throw 2 of 2,1,62-86,,
3:33.0,,,62-86,,A. Horford misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by A. Harrison,,62-86,,
3:17.0,M. Chalmers misses 3-pt shot from 24 ft,,62-86,,
3:14.0,,,62-86,,Defensive rebound by T. Rozier
3:09.0,,,62-86,,T. Rozier misses 3-pt shot from 26 ft
3:04.0,Defensive rebound by A. Harrison,,62-86,,
2:46.0,M. Henry misses 2-pt shot from 18 ft,,62-86,,
2:44.0,,,62-86,,Defensive rebound by T. Rozier
2:39.0,Memphis full timeout,,62-86,,
2:39.0,B. McLemore enters the game for J. Green,,62-86,,
2:39.0,J. Martin enters the game for M. Henry,,62-86,,
2:23.0,,,62-86,,M. Smart misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by A. Harrison,,62-86,,
2:16.0,,,62-86,,Personal foul by M. Smart (drawn by A. Harrison)
2:16.0,A. Harrison misses free throw 1 of 2,,62-86,,
2:16.0,Offensive rebound by Team,,62-86,,
2:16.0,,,62-86,,D. Theis enters the game for A. Horford
2:16.0,A. Harrison misses free throw 2 of 2,,62-86,,
2:13.0,,,62-86,,Defensive rebound by M. Smart
2:00.0,,,62-86,,D. Theis misses 2-pt shot from 3 ft
1:58.0,Defensive rebound by B. McLemore,,62-86,,
1:49.0,D. Davis makes 2-pt shot from 18 ft (assist by A. Harrison),2,64-86,,
1:37.0,Personal foul by M. Chalmers (drawn by M. Smart),,64-86,,
1:37.0,,,64-86,,M. Smart misses free throw 1 of 2
1:37.0,,,64-86,,Offensive rebound by Team
1:37.0,,,64-86,,M. Smart misses free throw 2 of 2
1:36.0,Defensive rebound by A. Harrison,,64-86,,
1:31.0,B. McLemore misses 3-pt shot from 26 ft,,64-86,,
1:26.0,Offensive rebound by J. Martin,,64-86,,
1:26.0,J. Martin misses 2-pt shot from 1 ft,,64-86,,
1:25.0,Offensive rebound by Team,,64-86,,
1:25.0,,,64-86,,Loose ball foul by M. Morris (drawn by J. Martin)
1:25.0,J. Martin makes free throw 1 of 2,1,65-86,,
1:25.0,J. Martin makes free throw 2 of 2,1,66-86,,
1:11.0,,,66-86,,M. Morris misses 3-pt shot from 26 ft
1:10.0,Defensive rebound by Team,,66-86,,
1:10.0,,,66-86,,Personal foul by D. Theis (drawn by M. Chalmers)
1:10.0,M. Chalmers misses free throw 1 of 2,,66-86,,
1:10.0,Offensive rebound by Team,,66-86,,
1:10.0,M. Chalmers makes free throw 2 of 2,1,67-86,,
0:58.0,,,67-86,,J. Brown misses 2-pt shot from 2 ft
0:58.0,,,67-86,,Offensive rebound by J. Brown
0:55.0,,,67-86,,J. Brown misses 2-pt shot from 1 ft (block by D. Davis)
0:55.0,,,67-86,,Offensive rebound by J. Brown
0:49.0,,,67-86,,M. Smart misses 3-pt shot from 27 ft
0:49.0,Defensive rebound by D. Davis,,67-86,,
0:34.0,A. Harrison makes 2-pt shot at rim,2,69-86,,
0:26.0,,,69-86,,T. Rozier misses 3-pt shot from 27 ft
0:22.0,Defensive rebound by D. Davis,,69-86,,
0:04.0,A. Harrison misses 2-pt shot from 4 ft,,69-86,,
0:04.0,,,69-86,,Defensive rebound by Team
0:00.0,,,69-86,,M. Smart misses 3-pt shot from 28 ft
0:00.0,,,69-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,69-88,2,D. Theis makes 2-pt shot from 10 ft (assist by J. Tatum)
11:28.0,D. Davis makes 2-pt shot from 1 ft (assist by A. Harrison),2,71-88,,
11:07.0,,,71-88,,Offensive foul by T. Rozier (drawn by A. Harrison)
11:07.0,,,71-88,,Turnover by T. Rozier (offensive foul)
11:07.0,M. Gasol enters the game for D. Davis,,71-88,,
10:47.0,M. Chalmers misses 2-pt shot from 16 ft,,71-88,,
10:47.0,,,71-88,,Defensive rebound by M. Morris
10:29.0,,,71-88,,D. Theis misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by M. Gasol,,71-88,,
10:17.0,M. Gasol misses 3-pt shot from 26 ft,,71-88,,
10:17.0,,,71-88,,Defensive rebound by J. Tatum
10:09.0,,,71-90,2,J. Tatum makes 2-pt shot from 17 ft
9:54.0,Turnover by M. Chalmers (lost ball; steal by D. Theis),,71-90,,
9:50.0,,,71-92,2,J. Brown makes 2-pt shot from 1 ft
9:50.0,Memphis full timeout,,71-92,,
9:50.0,,,71-92,,S. Larkin enters the game for T. Rozier
9:50.0,D. Brooks enters the game for M. Chalmers,,71-92,,
9:29.0,I. Rabb misses 2-pt shot from 2 ft,,71-92,,
9:26.0,Offensive rebound by B. McLemore,,71-92,,
9:25.0,Shooting foul by D. Theis (drawn by M. Gasol),,71-92,,
9:25.0,M. Gasol makes free throw 1 of 2,1,72-92,,
9:25.0,M. Gasol makes free throw 2 of 2,1,73-92,,
9:14.0,,,73-92,,M. Morris misses 3-pt shot from 25 ft
9:10.0,,,73-92,,Offensive rebound by J. Brown
8:58.0,,,73-92,,M. Morris misses 2-pt shot from 4 ft
8:55.0,,,73-92,,Offensive rebound by D. Theis
8:55.0,,,73-92,,D. Theis misses 2-pt shot at rim
8:55.0,Defensive rebound by Team,,73-92,,
8:55.0,J. Green enters the game for I. Rabb,,73-92,,
8:55.0,J. Martin enters the game for B. McLemore,,73-92,,
8:38.0,D. Brooks misses 3-pt shot from 25 ft,,73-92,,
8:38.0,,,73-92,,Defensive rebound by M. Morris
8:30.0,,,73-94,2,J. Brown makes 2-pt shot at rim
8:11.0,J. Green makes 2-pt shot from 1 ft (assist by J. Martin),2,75-94,,
7:56.0,,,75-96,2,S. Larkin makes 2-pt shot from 20 ft (assist by J. Brown)
7:39.0,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol),3,78-96,,
7:19.0,,,78-96,,J. Brown misses 3-pt shot from 26 ft
7:19.0,Defensive rebound by Team,,78-96,,
7:03.0,Offensive foul by D. Brooks (drawn by S. Larkin),,78-96,,
7:03.0,Turnover by D. Brooks (offensive foul),,78-96,,
6:51.0,,,78-96,,Shooting foul by M. Gasol (drawn by J. Brown)
6:51.0,,,78-97,1,J. Brown makes free throw 1 of 2
6:51.0,,,78-98,1,J. Brown makes free throw 2 of 2
6:41.0,A. Harrison makes 2-pt shot from 1 ft (assist by M. Gasol),2,80-98,,
6:18.0,,,80-98,,J. Tatum misses 2-pt shot from 11 ft
6:15.0,Defensive rebound by M. Gasol,,80-98,,
6:06.0,Shooting foul by S. Larkin (drawn by A. Harrison),,80-98,,
6:06.0,A. Harrison makes free throw 1 of 2,1,81-98,,
6:06.0,A. Harrison misses free throw 2 of 2,,81-98,,
6:04.0,,,81-98,,Defensive rebound by D. Theis
5:41.0,,,81-98,,Turnover by S. Larkin (lost ball; steal by D. Brooks)
5:38.0,J. Martin misses 2-pt shot from 1 ft (block by J. Brown),,81-98,,
5:38.0,Offensive rebound by Team,,81-98,,
5:24.0,M. Gasol misses 2-pt shot from 14 ft,,81-98,,
5:22.0,,,81-98,,Defensive rebound by D. Theis
5:09.0,,,81-98,,M. Morris misses 3-pt shot from 27 ft
5:07.0,Defensive rebound by Team,,81-98,,
4:52.0,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol),2,83-98,,
4:52.0,,,83-98,,Boston full timeout
4:52.0,,,83-98,,T. Rozier enters the game for J. Brown
