time,Houston,pts.away,score,pts.home,LA Clippers
8:24.0,Personal foul by T. Ariza (drawn by L. Williams),,44-34,,
8:14.0,,,44-36,2,B. Griffin makes 2-pt shot from 2 ft (assist by M. Teodosic)
8:04.0,T. Black misses 2-pt shot from 1 ft,,44-36,,
8:02.0,,,44-36,,Defensive rebound by B. Griffin
7:57.0,,,44-36,,B. Griffin misses 2-pt shot from 1 ft
7:57.0,Defensive rebound by Team,,44-36,,
7:52.0,Offensive charge foul by E. Gordon (drawn by M. Teodosic),,44-36,,
7:52.0,Turnover by E. Gordon (offensive foul),,44-36,,
7:52.0,L. Mbah a Moute enters the game for G. Green,,44-36,,
7:40.0,,,44-36,,B. Griffin misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by T. Ariza,,44-36,,
7:30.0,E. Gordon misses 3-pt shot from 23 ft,,44-36,,
7:27.0,,,44-36,,Defensive rebound by W. Johnson
7:21.0,,,44-36,,L. Williams misses 2-pt shot from 13 ft
7:14.0,,,44-36,,Offensive rebound by B. Griffin
7:14.0,,,44-38,2,B. Griffin makes 2-pt shot at rim
7:08.0,Turnover by T. Ariza (lost ball; steal by B. Griffin),,44-38,,
7:03.0,Personal foul by L. Mbah a Moute (drawn by M. Teodosic),,44-38,,
7:03.0,C. Capela enters the game for T. Black,,44-38,,
6:55.0,,,44-38,,B. Griffin misses 2-pt shot from 3 ft (block by C. Capela)
6:55.0,,,44-38,,Offensive rebound by Team
6:55.0,,,44-38,,LA Clippers full timeout
6:48.0,,,44-38,,Turnover by B. Griffin (bad pass; steal by L. Mbah a Moute)
6:41.0,Turnover by E. Gordon (bad pass),,44-38,,
6:28.0,,,44-40,2,T. Wallace makes 2-pt shot from 1 ft (assist by L. Williams)
6:12.0,E. Gordon misses 2-pt shot from 1 ft (block by W. Johnson),,44-40,,
6:09.0,,,44-40,,Defensive rebound by W. Johnson
6:09.0,Personal foul by L. Mbah a Moute (drawn by T. Wallace),,44-40,,
6:09.0,,,44-40,,T. Wallace misses free throw 1 of 2
6:09.0,,,44-40,,Offensive rebound by Team
6:09.0,C. Paul enters the game for E. Gordon,,44-40,,
6:09.0,,,44-41,1,T. Wallace makes free throw 2 of 2
5:54.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,44-41,,
5:50.0,,,44-41,,Defensive rebound by M. Teodosic
5:43.0,,,44-44,3,M. Teodosic makes 3-pt shot from 24 ft (assist by B. Griffin)
5:25.0,C. Paul makes 2-pt shot from 18 ft,2,46-44,,
5:09.0,,,46-44,,L. Williams misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by C. Capela,,46-44,,
4:59.0,Turnover by T. Ariza (lost ball; steal by M. Teodosic),,46-44,,
4:55.0,,,46-46,2,W. Johnson makes 2-pt shot at rim (assist by L. Williams)
4:55.0,,,46-46,,Shooting foul by C. Paul (drawn by W. Johnson)
4:55.0,P. Tucker enters the game for L. Mbah a Moute,,46-46,,
4:55.0,G. Green enters the game for R. Anderson,,46-46,,
4:55.0,,,46-47,1,W. Johnson makes free throw 1 of 1
4:34.0,Turnover by C. Capela (lost ball; steal by T. Wallace),,46-47,,
4:29.0,E. Gordon enters the game for T. Ariza,,46-47,,
4:21.0,,,46-47,,L. Williams misses 2-pt shot from 11 ft
4:18.0,Defensive rebound by P. Tucker,,46-47,,
4:12.0,P. Tucker misses 2-pt shot from 23 ft,,46-47,,
4:10.0,Offensive rebound by C. Capela,,46-47,,
4:08.0,C. Capela misses 2-pt shot from 1 ft,,46-47,,
4:08.0,,,46-47,,Defensive rebound by B. Griffin
4:03.0,,,46-47,,Shooting foul by G. Green (drawn by W. Johnson)
4:03.0,,,46-47,,W. Johnson misses free throw 1 of 2
4:03.0,,,46-47,,Offensive rebound by Team
4:03.0,,,46-48,1,W. Johnson makes free throw 2 of 2
3:47.0,G. Green makes 3-pt shot from 24 ft (assist by C. Paul),3,49-48,,
3:28.0,,,49-48,,B. Griffin misses 2-pt shot from 21 ft
3:26.0,Defensive rebound by P. Tucker,,49-48,,
3:14.0,,,49-48,,Personal foul by B. Griffin (drawn by C. Paul)
3:14.0,,,49-48,,J. Evans enters the game for M. Teodosic
3:14.0,,,49-48,,M. Harrell enters the game for B. Griffin
3:05.0,C. Capela misses 2-pt shot from 1 ft (block by W. Johnson),,49-48,,
3:05.0,Offensive rebound by Team,,49-48,,
3:01.0,C. Paul makes 2-pt shot from 16 ft,2,51-48,,
2:44.0,,,51-50,2,L. Williams makes 2-pt shot from 1 ft
2:33.0,C. Paul makes 2-pt shot at rim,2,53-50,,
2:24.0,,,53-52,2,L. Williams makes 2-pt shot from 13 ft
2:05.0,E. Gordon makes 3-pt shot from 23 ft (assist by G. Green),3,56-52,,
1:55.0,,,56-54,2,L. Williams makes 2-pt shot from 1 ft
1:41.0,Turnover by E. Gordon (lost ball; steal by W. Johnson),,56-54,,
1:35.0,,,56-54,,L. Williams misses 3-pt shot from 27 ft
1:34.0,Defensive rebound by Team,,56-54,,
1:34.0,Houston full timeout,,56-54,,
1:18.0,E. Gordon misses 3-pt shot from 27 ft,,56-54,,
1:15.0,,,56-54,,Defensive rebound by W. Johnson
1:00.0,,,56-57,3,L. Williams makes 3-pt shot from 24 ft (assist by M. Harrell)
0:46.0,G. Green misses 3-pt shot from 24 ft,,56-57,,
0:43.0,Offensive rebound by P. Tucker,,56-57,,
0:29.0,C. Paul misses 3-pt shot from 26 ft,,56-57,,
0:27.0,,,56-57,,Defensive rebound by W. Johnson
0:22.0,,,56-59,2,J. Evans makes 2-pt shot from 7 ft (assist by L. Williams)
0:05.0,,,56-59,,Personal take foul by T. Wallace (drawn by C. Paul)
0:05.0,,,56-59,,S. Thornwell enters the game for J. Evans
0:05.0,,,56-59,,S. Dekker enters the game for L. Williams
0:00.0,G. Green misses 3-pt shot from 22 ft,,56-59,,
0:00.0,Offensive rebound by Team,,56-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Personal foul by R. Anderson (drawn by B. Griffin),,56-59,,
11:41.0,,,56-61,2,B. Griffin makes 2-pt shot from 4 ft
11:25.0,E. Gordon misses 2-pt shot from 8 ft,,56-61,,
11:20.0,Offensive rebound by E. Gordon,,56-61,,
11:20.0,E. Gordon misses 2-pt shot at rim,,56-61,,
11:19.0,,,56-61,,Defensive rebound by W. Reed
11:14.0,Personal block foul by T. Ariza (drawn by T. Wallace),,56-61,,
11:07.0,,,56-61,,Turnover by W. Reed (bad pass)
10:55.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,58-61,,
10:33.0,,,58-64,3,M. Teodosic makes 3-pt shot from 25 ft (assist by T. Wallace)
10:25.0,C. Paul makes 3-pt shot from 26 ft,3,61-64,,
10:05.0,,,61-66,2,T. Wallace makes 2-pt shot from 2 ft (assist by M. Teodosic)
9:47.0,C. Paul misses 3-pt shot from 24 ft,,61-66,,
9:44.0,,,61-66,,Defensive rebound by M. Teodosic
9:40.0,,,61-69,3,L. Williams makes 3-pt shot from 25 ft (assist by M. Teodosic)
9:25.0,E. Gordon misses 2-pt shot from 2 ft,,61-69,,
9:22.0,,,61-69,,Defensive rebound by L. Williams
9:17.0,,,61-69,,T. Wallace misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by E. Gordon,,61-69,,
9:03.0,T. Ariza misses 3-pt shot from 22 ft,,61-69,,
9:01.0,Offensive rebound by C. Capela,,61-69,,
8:59.0,E. Gordon makes 3-pt shot from 25 ft (assist by R. Anderson),3,64-69,,
8:40.0,,,64-72,3,T. Wallace makes 3-pt shot from 23 ft (assist by B. Griffin)
8:22.0,R. Anderson misses 3-pt shot from 24 ft,,64-72,,
8:21.0,,,64-72,,Defensive rebound by Team
8:21.0,P. Tucker enters the game for C. Capela,,64-72,,
8:09.0,,,64-74,2,B. Griffin makes 2-pt shot from 2 ft (assist by M. Teodosic)
7:57.0,Shooting foul by W. Reed (drawn by R. Anderson),,64-74,,
7:57.0,R. Anderson makes free throw 1 of 2,1,65-74,,
7:57.0,,,65-74,,M. Harrell enters the game for W. Reed
7:57.0,R. Anderson makes free throw 2 of 2,1,66-74,,
7:32.0,,,66-76,2,B. Griffin makes 2-pt shot from 10 ft
7:16.0,T. Ariza misses 2-pt shot from 2 ft (block by T. Wallace),,66-76,,
7:16.0,Offensive rebound by Team,,66-76,,
7:12.0,Turnover by C. Paul (lost ball; steal by T. Wallace),,66-76,,
7:08.0,,,66-78,2,B. Griffin makes 2-pt shot from 1 ft (assist by T. Wallace)
7:08.0,,,66-78,,Shooting foul by P. Tucker (drawn by B. Griffin)
7:08.0,L. Mbah a Moute enters the game for C. Paul,,66-78,,
7:08.0,,,66-79,1,B. Griffin makes free throw 1 of 1
6:57.0,R. Anderson makes 3-pt shot from 27 ft (assist by E. Gordon),3,69-79,,
6:36.0,,,69-81,2,B. Griffin makes 2-pt shot from 4 ft (assist by L. Williams)
6:22.0,E. Gordon misses 2-pt shot from 1 ft,,69-81,,
6:22.0,,,69-81,,Defensive rebound by Team
6:22.0,Loose ball foul by R. Anderson (drawn by B. Griffin),,69-81,,
6:22.0,,,69-81,,LA Clippers full timeout
6:09.0,,,69-81,,B. Griffin misses 2-pt shot from 7 ft
6:07.0,Defensive rebound by P. Tucker,,69-81,,
5:52.0,R. Anderson misses 2-pt shot from 4 ft,,69-81,,
5:49.0,Offensive rebound by P. Tucker,,69-81,,
5:48.0,P. Tucker makes 2-pt shot at rim,2,71-81,,
5:41.0,,,71-81,,Offensive charge foul by M. Harrell (drawn by P. Tucker)
5:41.0,,,71-81,,Turnover by M. Harrell (offensive foul)
5:22.0,Turnover by T. Ariza (traveling),,71-81,,
5:22.0,G. Green enters the game for T. Ariza,,71-81,,
5:22.0,,,71-81,,J. Evans enters the game for M. Teodosic
5:11.0,,,71-81,,B. Griffin misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by E. Gordon,,71-81,,
5:03.0,Shooting foul by T. Wallace (drawn by E. Gordon),,71-81,,
5:03.0,E. Gordon makes free throw 1 of 2,1,72-81,,
5:03.0,E. Gordon makes free throw 2 of 2,1,73-81,,
4:51.0,,,73-81,,J. Evans misses 2-pt shot from 1 ft
4:49.0,Defensive rebound by E. Gordon,,73-81,,
4:43.0,E. Gordon makes 3-pt shot from 23 ft (assist by P. Tucker),3,76-81,,
4:42.0,,,76-81,,LA Clippers full timeout
4:32.0,,,76-84,3,L. Williams makes 3-pt shot from 24 ft (assist by B. Griffin)
4:13.0,R. Anderson misses 3-pt shot from 26 ft,,76-84,,
4:10.0,,,76-84,,Defensive rebound by L. Williams
3:58.0,,,76-86,2,T. Wallace makes 2-pt shot from 4 ft (assist by L. Williams)
3:58.0,Technical foul by G. Green,,76-86,,
3:58.0,,,76-87,1,L. Williams makes technical free throw
3:58.0,,,76-87,,W. Johnson enters the game for L. Williams
3:42.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by E. Gordon),2,78-87,,
3:22.0,,,78-89,2,B. Griffin makes 2-pt shot from 3 ft
2:59.0,R. Anderson makes 2-pt shot from 2 ft (assist by L. Mbah a Moute),2,80-89,,
2:38.0,,,80-89,,Turnover by B. Griffin (bad pass; steal by G. Green)
2:32.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by G. Green),2,82-89,,
2:12.0,,,82-91,2,T. Wallace makes 2-pt shot from 4 ft
2:12.0,Houston full timeout,,82-91,,
2:12.0,T. Black enters the game for E. Gordon,,82-91,,
2:12.0,C. Paul enters the game for R. Anderson,,82-91,,
1:53.0,G. Green makes 2-pt shot from 18 ft,2,84-91,,
1:46.0,Personal foul by G. Green (drawn by M. Harrell),,84-91,,
1:46.0,,,84-92,1,M. Harrell makes free throw 1 of 2
1:46.0,,,84-92,,M. Harrell misses free throw 2 of 2
1:43.0,Defensive rebound by L. Mbah a Moute,,84-92,,
1:28.0,G. Green misses 3-pt shot from 24 ft,,84-92,,
1:26.0,,,84-92,,Defensive rebound by J. Evans
1:15.0,,,84-92,,Turnover by T. Wallace (bad pass; steal by G. Green)
1:10.0,C. Paul misses 3-pt shot from 26 ft,,84-92,,
1:05.0,,,84-92,,Defensive rebound by W. Johnson
1:05.0,,,84-92,,Turnover by J. Evans (bad pass)
1:05.0,,,84-92,,S. Dekker enters the game for B. Griffin
0:47.0,Turnover by L. Mbah a Moute (bad pass),,84-92,,
0:28.0,,,84-92,,Turnover by J. Evans (bad pass)
0:28.0,T. Ariza enters the game for P. Tucker,,84-92,,
0:06.0,G. Green misses 2-pt shot from 2 ft,,84-92,,
0:02.0,,,84-92,,Defensive rebound by W. Johnson
0:02.0,,,84-92,,W. Johnson misses 3-pt shot from 26 ft
0:00.0,,,84-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Paul),3,87-92,,
11:21.0,,,87-92,,Turnover by J. Evans (bad pass; steal by T. Ariza)
11:18.0,Shooting foul by L. Williams (drawn by L. Mbah a Moute),,87-92,,
11:18.0,L. Mbah a Moute misses free throw 1 of 2,,87-92,,
11:18.0,Offensive rebound by Team,,87-92,,
11:18.0,,,87-92,,M. Teodosic enters the game for J. Evans
11:18.0,L. Mbah a Moute makes free throw 2 of 2,1,88-92,,
11:00.0,,,88-92,,Shooting foul by T. Black (drawn by L. Williams)
11:00.0,,,88-92,,L. Williams misses free throw 1 of 3
11:00.0,,,88-92,,Offensive rebound by Team
11:00.0,,,88-93,1,L. Williams makes free throw 2 of 3
11:00.0,,,88-94,1,L. Williams makes free throw 3 of 3
10:36.0,C. Paul misses 3-pt shot from 27 ft (block by L. Williams),,88-94,,
10:33.0,,,88-94,,Defensive rebound by M. Harrell
10:30.0,,,88-94,,S. Dekker misses 2-pt shot at rim (block by G. Green)
10:30.0,Defensive rebound by C. Paul,,88-94,,
10:27.0,,,88-94,,Personal take foul by M. Teodosic (drawn by C. Paul)
10:13.0,G. Green misses 2-pt shot from 11 ft,,88-94,,
10:08.0,,,88-94,,Defensive rebound by W. Johnson
9:58.0,,,88-96,2,L. Williams makes 2-pt shot from 7 ft
9:49.0,Turnover by L. Mbah a Moute (bad pass),,88-96,,
9:37.0,,,88-98,2,L. Williams makes 2-pt shot from 22 ft (assist by S. Dekker)
9:35.0,Houston full timeout,,88-98,,
9:35.0,C. Capela enters the game for T. Black,,88-98,,
9:10.0,G. Green misses 3-pt shot from 25 ft,,88-98,,
9:07.0,,,88-98,,Defensive rebound by M. Teodosic
9:00.0,,,88-100,2,M. Harrell makes 2-pt shot from 1 ft (assist by S. Dekker)
8:44.0,T. Ariza makes 3-pt shot from 23 ft (assist by L. Mbah a Moute),3,91-100,,
8:20.0,,,91-100,,M. Teodosic misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by C. Paul,,91-100,,
8:10.0,C. Paul misses 2-pt shot from 1 ft,,91-100,,
8:09.0,,,91-100,,Defensive rebound by W. Johnson
8:05.0,,,91-100,,LA Clippers full timeout
8:05.0,,,91-100,,B. Griffin enters the game for S. Dekker
8:05.0,E. Gordon enters the game for G. Green,,91-100,,
7:57.0,,,91-100,,Shooting foul by E. Gordon (drawn by B. Griffin)
7:57.0,,,91-100,,B. Griffin misses free throw 1 of 2
7:57.0,,,91-100,,Offensive rebound by Team
7:57.0,,,91-101,1,B. Griffin makes free throw 2 of 2
7:46.0,,,91-101,,Personal foul by W. Johnson (drawn by C. Paul)
7:40.0,T. Ariza misses 3-pt shot from 25 ft,,91-101,,
7:37.0,,,91-101,,Defensive rebound by B. Griffin
7:23.0,,,91-101,,M. Harrell misses 2-pt shot from 1 ft (block by C. Paul)
7:21.0,,,91-101,,Offensive rebound by W. Johnson
7:18.0,,,91-103,2,W. Johnson makes 2-pt shot from 16 ft
7:01.0,E. Gordon misses 3-pt shot from 29 ft,,91-103,,
6:58.0,,,91-103,,Defensive rebound by M. Teodosic
6:40.0,,,91-103,,B. Griffin misses 2-pt shot from 2 ft (block by C. Capela)
6:37.0,Defensive rebound by L. Mbah a Moute,,91-103,,
6:36.0,,,91-103,,Personal take foul by M. Teodosic (drawn by T. Ariza)
6:18.0,C. Paul makes 2-pt shot from 16 ft,2,93-103,,
6:00.0,,,93-103,,L. Williams misses 2-pt shot from 10 ft
5:58.0,Defensive rebound by C. Paul,,93-103,,
5:51.0,C. Paul misses 2-pt shot from 9 ft,,93-103,,
5:51.0,Offensive rebound by C. Capela,,93-103,,
5:51.0,C. Capela makes 2-pt shot at rim,2,95-103,,
5:51.0,Shooting foul by L. Williams (drawn by C. Capela),,95-103,,
5:51.0,C. Capela misses free throw 1 of 1,,95-103,,
5:46.0,,,95-103,,Defensive rebound by W. Johnson
5:28.0,,,95-103,,W. Johnson misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by C. Paul,,95-103,,
5:12.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,95-103,,
5:09.0,,,95-103,,Defensive rebound by M. Harrell
4:57.0,,,95-103,,Turnover by M. Teodosic (lost ball; steal by L. Mbah a Moute)
4:50.0,T. Ariza misses 3-pt shot from 23 ft,,95-103,,
4:46.0,,,95-103,,Defensive rebound by M. Harrell
