time,LA Lakers,pts.away,score,pts.home,Minnesota
6:44.0,,,3-18,,A. Wiggins misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by Team,,3-18,,
6:42.0,,,3-18,,Loose ball foul by J. Butler (drawn by C. Brewer)
6:29.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Clarkson),3,6-18,,
6:06.0,,,6-18,,Turnover by J. Butler (bad pass)
5:45.0,A. Caruso misses 2-pt shot at rim,,6-18,,
5:43.0,,,6-18,,Defensive rebound by K. Towns
5:40.0,Shooting block foul by C. Brewer (drawn by T. Jones),,6-18,,
5:40.0,,,6-19,1,T. Jones makes free throw 1 of 2
5:40.0,,,6-20,1,T. Jones makes free throw 2 of 2
5:29.0,Shooting foul by T. Jones (drawn by J. Clarkson),,6-20,,
5:29.0,J. Clarkson makes free throw 1 of 2,1,7-20,,
5:29.0,J. Clarkson misses free throw 2 of 2,,7-20,,
5:27.0,,,7-20,,Defensive rebound by K. Towns
5:21.0,,,7-20,,Turnover by T. Jones (bad pass; steal by C. Brewer)
5:17.0,C. Brewer makes 2-pt shot from 1 ft,2,9-20,,
4:58.0,,,9-22,2,T. Gibson makes 2-pt shot at rim (assist by A. Wiggins)
4:48.0,,,9-22,,Def 3 sec tech foul by K. Towns
4:48.0,J. Clarkson misses technical free throw,,9-22,,
4:48.0,Offensive rebound by Team,,9-22,,
4:46.0,Turnover by C. Brewer (bad pass; steal by A. Wiggins),,9-22,,
4:32.0,,,9-22,,T. Jones misses 3-pt shot from 22 ft
4:30.0,Defensive rebound by Team,,9-22,,
4:30.0,,,9-22,,Loose ball foul by T. Gibson (drawn by L. Nance)
4:30.0,,,9-22,,G. Dieng enters the game for K. Towns
4:08.0,Turnover by L. Nance (turnover),,9-22,,
4:08.0,,,9-22,,N. Bjelica enters the game for T. Gibson
3:57.0,,,9-22,,A. Wiggins misses 2-pt shot from 5 ft
3:54.0,,,9-22,,Offensive rebound by A. Wiggins
3:54.0,,,9-22,,Shooting foul by A. Caruso (drawn by G. Dieng)
3:54.0,,,9-22,,G. Dieng misses free throw 1 of 2
3:54.0,,,9-22,,Offensive rebound by Team
3:54.0,,,9-23,1,G. Dieng makes free throw 2 of 2
3:40.0,C. Brewer misses 3-pt shot from 23 ft,,9-23,,
3:38.0,Offensive rebound by Team,,9-23,,
3:38.0,,,9-23,,J. Crawford enters the game for J. Butler
3:36.0,J. Clarkson makes 2-pt shot from 16 ft (assist by C. Brewer),2,11-23,,
3:14.0,,,11-23,,A. Wiggins misses 2-pt shot from 12 ft
3:11.0,Defensive rebound by L. Nance,,11-23,,
3:01.0,J. Clarkson misses 3-pt shot from 22 ft,,11-23,,
2:57.0,,,11-23,,Defensive rebound by N. Bjelica
2:50.0,,,11-23,,J. Crawford misses 2-pt shot from 17 ft
2:50.0,Defensive rebound by A. Caruso,,11-23,,
2:45.0,,,11-23,,Personal foul by T. Jones (drawn by A. Caruso)
2:45.0,,,11-23,,Minnesota full timeout
2:45.0,,,11-23,,A. Brooks enters the game for T. Jones
2:45.0,A. Caruso misses free throw 1 of 2,,11-23,,
2:45.0,Offensive rebound by Team,,11-23,,
2:45.0,A. Caruso makes free throw 2 of 2,1,12-23,,
2:36.0,,,12-23,,Turnover by A. Brooks (bad pass; steal by A. Caruso)
2:20.0,L. Nance makes 2-pt shot from 8 ft,2,14-23,,
1:55.0,,,14-25,2,J. Crawford makes 2-pt shot from 10 ft
1:37.0,Turnover by A. Caruso (bad pass; steal by A. Wiggins),,14-25,,
1:25.0,,,14-27,2,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford)
1:10.0,Turnover by L. Nance (bad pass),,14-27,,
0:55.0,,,14-29,2,N. Bjelica makes 2-pt shot from 12 ft (assist by J. Crawford)
0:47.0,J. Clarkson makes 2-pt shot from 1 ft,2,16-29,,
0:35.0,,,16-29,,J. Crawford misses 2-pt shot from 18 ft
0:31.0,Defensive rebound by A. Bogut,,16-29,,
0:26.0,Shooting foul by A. Brooks (drawn by C. Brewer),,16-29,,
0:26.0,C. Brewer makes free throw 1 of 2,1,17-29,,
0:26.0,C. Brewer makes free throw 2 of 2,1,18-29,,
0:05.0,,,18-29,,J. Crawford misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by A. Bogut,,18-29,,
0:00.0,Turnover by A. Bogut (bad pass; steal by J. Crawford),,18-29,,
0:00.0,Personal foul by A. Caruso (drawn by J. Crawford),,18-29,,
0:00.0,,,18-30,1,J. Crawford makes free throw 1 of 2
0:00.0,,,18-30,,J. Crawford misses free throw 2 of 2
0:00.0,Defensive rebound by J. Randle,,18-30,,
0:00.0,K. Kuzma enters the game for C. Brewer,,18-30,,
0:00.0,J. Hart enters the game for A. Caruso,,18-30,,
0:00.0,T. Ennis enters the game for J. Clarkson,,18-30,,
0:00.0,J. Randle enters the game for L. Nance,,18-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,K. Kuzma misses 2-pt shot from 2 ft,,18-30,,
11:38.0,,,18-30,,Defensive rebound by G. Dieng
11:30.0,,,18-32,2,K. Towns makes 2-pt shot from 3 ft (assist by N. Bjelica)
11:11.0,J. Randle misses 2-pt shot from 14 ft,,18-32,,
11:11.0,,,18-32,,Defensive rebound by N. Bjelica
10:56.0,,,18-32,,Offensive charge foul by K. Towns (drawn by J. Randle)
10:56.0,,,18-32,,Turnover by K. Towns (offensive foul)
10:46.0,Turnover by J. Hart (bad pass),,18-32,,
10:28.0,,,18-34,2,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford)
10:15.0,T. Ennis misses 3-pt shot from 25 ft,,18-34,,
10:13.0,,,18-34,,Defensive rebound by J. Crawford
10:10.0,,,18-34,,J. Crawford misses 2-pt shot from 20 ft
10:08.0,Defensive rebound by J. Randle,,18-34,,
10:03.0,T. Ennis misses 2-pt shot from 1 ft,,18-34,,
10:02.0,Offensive rebound by J. Randle,,18-34,,
10:00.0,J. Randle makes 2-pt shot from 2 ft,2,20-34,,
9:40.0,,,20-37,3,N. Bjelica makes 3-pt shot from 24 ft (assist by K. Towns)
9:30.0,T. Ennis misses 3-pt shot from 23 ft,,20-37,,
9:28.0,,,20-37,,Defensive rebound by K. Towns
9:25.0,Personal foul by J. Hart (drawn by J. Crawford),,20-37,,
9:18.0,,,20-39,2,K. Towns makes 2-pt shot at rim (assist by J. Crawford)
9:04.0,,,20-39,,Personal foul by N. Bjelica (drawn by J. Randle)
9:04.0,V. Blue enters the game for J. Hart,,20-39,,
8:59.0,B. Ingram makes 2-pt shot from 16 ft,2,22-39,,
8:59.0,Shooting foul by K. Towns (drawn by B. Ingram),,22-39,,
8:59.0,,,22-39,,J. Butler enters the game for K. Towns
8:59.0,B. Ingram makes free throw 1 of 1,1,23-39,,
8:35.0,,,23-39,,A. Brooks misses 3-pt shot from 22 ft
8:30.0,Defensive rebound by B. Ingram,,23-39,,
8:27.0,Turnover by K. Kuzma (traveling),,23-39,,
8:07.0,,,23-39,,J. Butler misses 2-pt shot from 19 ft
8:04.0,Defensive rebound by Team,,23-39,,
8:04.0,J. Hart enters the game for K. Kuzma,,23-39,,
7:49.0,J. Randle misses 2-pt shot from 5 ft,,23-39,,
7:48.0,Offensive rebound by J. Randle,,23-39,,
7:47.0,J. Randle misses 2-pt shot from 3 ft (block by G. Dieng),,23-39,,
7:45.0,Offensive rebound by T. Ennis,,23-39,,
7:43.0,B. Ingram misses 3-pt shot from 25 ft,,23-39,,
7:42.0,,,23-39,,Defensive rebound by N. Bjelica
7:35.0,,,23-39,,Turnover by J. Crawford (bad pass; steal by T. Ennis)
7:33.0,,,23-39,,Personal foul by J. Crawford (drawn by T. Ennis)
7:22.0,Shooting foul by N. Bjelica (drawn by B. Ingram),,23-39,,
7:22.0,B. Ingram makes free throw 1 of 2,1,24-39,,
7:22.0,,,24-39,,T. Gibson enters the game for N. Bjelica
7:22.0,B. Ingram makes free throw 2 of 2,1,25-39,,
7:03.0,,,25-39,,J. Crawford misses 2-pt shot from 17 ft
7:00.0,Defensive rebound by B. Ingram,,25-39,,
6:51.0,B. Ingram misses 3-pt shot from 23 ft,,25-39,,
6:47.0,,,25-39,,Defensive rebound by T. Gibson
6:33.0,,,25-39,,J. Butler misses 2-pt shot from 14 ft
6:30.0,Defensive rebound by J. Randle,,25-39,,
6:23.0,J. Hart misses 2-pt shot from 3 ft,,25-39,,
6:21.0,Offensive rebound by J. Randle,,25-39,,
6:21.0,J. Randle misses 2-pt shot at rim,,25-39,,
6:21.0,Offensive rebound by J. Randle,,25-39,,
6:21.0,Shooting foul by T. Gibson (drawn by J. Randle),,25-39,,
6:21.0,,,25-39,,Minnesota full timeout
6:21.0,J. Randle misses free throw 1 of 2,,25-39,,
6:21.0,Offensive rebound by Team,,25-39,,
6:21.0,,,25-39,,A. Wiggins enters the game for A. Brooks
6:21.0,J. Randle makes free throw 2 of 2,1,26-39,,
6:17.0,Personal foul by T. Ennis (drawn by J. Crawford),,26-39,,
6:00.0,,,26-39,,Turnover by J. Butler (bad pass; steal by J. Hart)
5:59.0,,,26-39,,Personal foul by J. Crawford (drawn by B. Ingram)
5:59.0,B. Ingram misses free throw 1 of 2,,26-39,,
5:59.0,Offensive rebound by Team,,26-39,,
5:59.0,B. Ingram makes free throw 2 of 2,1,27-39,,
5:44.0,,,27-41,2,G. Dieng makes 2-pt shot from 20 ft (assist by J. Butler)
5:22.0,J. Hart makes 2-pt shot from 1 ft,2,29-41,,
5:15.0,,,29-41,,Turnover by J. Crawford (bad pass; steal by T. Ennis)
5:09.0,J. Hart makes 3-pt shot from 25 ft (assist by V. Blue),3,32-41,,
4:52.0,,,32-43,2,J. Butler makes 2-pt shot from 8 ft
4:52.0,,,32-43,,Shooting foul by J. Hart (drawn by J. Butler)
4:52.0,,,32-43,,M. Georges-Hunt enters the game for J. Crawford
4:52.0,,,32-44,1,J. Butler makes free throw 1 of 1
4:42.0,,,32-44,,Personal foul by M. Georges-Hunt (drawn by B. Ingram)
4:42.0,B. Ingram makes free throw 1 of 2,1,33-44,,
4:42.0,B. Ingram makes free throw 2 of 2,1,34-44,,
4:22.0,,,34-44,,Shooting foul by J. Hart (drawn by G. Dieng)
4:22.0,,,34-45,1,G. Dieng makes free throw 1 of 2
4:22.0,C. Brewer enters the game for J. Hart,,34-45,,
4:22.0,,,34-46,1,G. Dieng makes free throw 2 of 2
4:16.0,C. Brewer makes 2-pt shot at rim (assist by T. Ennis),2,36-46,,
4:02.0,,,36-46,,T. Gibson misses 2-pt shot from 1 ft
4:02.0,,,36-46,,Offensive rebound by G. Dieng
3:57.0,,,36-48,2,G. Dieng makes 2-pt shot at rim
3:48.0,Shooting foul by G. Dieng (drawn by V. Blue),,36-48,,
3:48.0,V. Blue misses free throw 1 of 2,,36-48,,
3:48.0,Offensive rebound by Team,,36-48,,
3:48.0,V. Blue makes free throw 2 of 2,1,37-48,,
3:37.0,,,37-48,,A. Wiggins misses 2-pt shot from 12 ft
3:34.0,,,37-48,,Offensive rebound by G. Dieng
3:31.0,,,37-50,2,G. Dieng makes 2-pt shot from 1 ft
3:08.0,V. Blue misses 3-pt shot from 26 ft,,37-50,,
3:05.0,,,37-50,,Defensive rebound by J. Butler
2:59.0,,,37-50,,Turnover by J. Butler (bad pass; steal by C. Brewer)
2:58.0,Turnover by C. Brewer (bad pass; steal by J. Butler),,37-50,,
2:57.0,,,37-50,,Turnover by J. Butler (bad pass)
2:56.0,LA Lakers full timeout,,37-50,,
2:56.0,J. Clarkson enters the game for V. Blue,,37-50,,
2:50.0,T. Ennis makes 3-pt shot from 24 ft (assist by J. Clarkson),3,40-50,,
2:32.0,,,40-50,,A. Wiggins misses 2-pt shot from 8 ft (block by T. Ennis)
2:28.0,Defensive rebound by T. Ennis,,40-50,,
2:28.0,T. Ennis misses 2-pt shot from 2 ft (block by J. Butler),,40-50,,
2:28.0,Offensive rebound by Team,,40-50,,
2:21.0,B. Ingram misses 2-pt shot from 14 ft (block by G. Dieng),,40-50,,
2:21.0,,,40-50,,Defensive rebound by A. Wiggins
2:16.0,,,40-52,2,M. Georges-Hunt makes 2-pt shot from 1 ft (assist by T. Gibson)
2:02.0,Offensive charge foul by C. Brewer (drawn by G. Dieng),,40-52,,
2:02.0,Turnover by C. Brewer (offensive foul),,40-52,,
1:46.0,Personal foul by T. Ennis (drawn by J. Butler),,40-52,,
1:46.0,,,40-53,1,J. Butler makes free throw 1 of 2
1:46.0,K. Kuzma enters the game for T. Ennis,,40-53,,
1:46.0,,,40-54,1,J. Butler makes free throw 2 of 2
1:28.0,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson),2,42-54,,
1:11.0,,,42-54,,J. Butler misses 2-pt shot from 11 ft
1:09.0,Defensive rebound by J. Clarkson,,42-54,,
1:09.0,,,42-54,,Personal foul by J. Butler
1:09.0,,,42-54,,Technical foul by J. Butler
1:09.0,K. Kuzma misses technical free throw,,42-54,,
1:09.0,,,42-54,,Defensive rebound by Team
1:09.0,J. Clarkson makes free throw 1 of 2,1,43-54,,
1:09.0,J. Clarkson makes free throw 2 of 2,1,44-54,,
0:59.0,Personal foul by C. Brewer (drawn by J. Butler),,44-54,,
0:59.0,,,44-55,1,J. Butler makes free throw 1 of 2
0:59.0,,,44-56,1,J. Butler makes free throw 2 of 2
0:50.0,B. Ingram makes 2-pt shot from 14 ft,2,46-56,,
0:36.0,,,46-56,,Shooting foul by K. Kuzma (drawn by A. Wiggins)
0:36.0,,,46-57,1,A. Wiggins makes free throw 1 of 2
0:36.0,,,46-58,1,A. Wiggins makes free throw 2 of 2
0:30.0,Turnover by J. Clarkson (lost ball; steal by J. Butler),,46-58,,
0:30.0,Personal foul by J. Clarkson (drawn by J. Butler),,46-58,,
0:30.0,,,46-59,1,J. Butler makes free throw 1 of 2
0:30.0,,,46-60,1,J. Butler makes free throw 2 of 2
0:11.0,J. Clarkson misses 3-pt shot from 25 ft,,46-60,,
0:08.0,Offensive rebound by J. Randle,,46-60,,
0:07.0,J. Randle makes 2-pt shot at rim,2,48-60,,
0:00.0,,,48-60,,T. Gibson misses 2-pt shot from 12 ft
0:00.0,,,48-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,K. Kuzma makes 3-pt shot from 26 ft (assist by J. Hart),3,51-60,,
11:27.0,,,51-60,,Turnover by J. Butler (bad pass; steal by J. Randle)
11:22.0,J. Randle makes 2-pt shot from 1 ft,2,53-60,,
10:56.0,,,53-62,2,J. Butler makes 2-pt shot at rim
10:40.0,J. Hart makes 3-pt shot from 24 ft (assist by B. Ingram),3,56-62,,
10:18.0,,,56-64,2,K. Towns makes 2-pt shot from 18 ft (assist by J. Butler)
9:59.0,T. Ennis makes 2-pt shot from 2 ft,2,58-64,,
9:41.0,,,58-64,,Shooting foul by T. Ennis (drawn by T. Gibson)
9:41.0,,,58-65,1,T. Gibson makes free throw 1 of 2
9:41.0,,,58-66,1,T. Gibson makes free throw 2 of 2
9:32.0,K. Kuzma makes 3-pt shot from 23 ft (assist by T. Ennis),3,61-66,,
9:14.0,,,61-66,,Shooting foul by K. Kuzma (drawn by J. Butler)
9:14.0,,,61-67,1,J. Butler makes free throw 1 of 2
9:14.0,,,61-68,1,J. Butler makes free throw 2 of 2
9:06.0,B. Ingram misses 2-pt shot from 2 ft,,61-68,,
9:04.0,,,61-68,,Defensive rebound by A. Wiggins
9:04.0,Personal foul by J. Hart (drawn by A. Wiggins),,61-68,,
9:04.0,C. Brewer enters the game for J. Hart,,61-68,,
8:48.0,,,61-68,,A. Wiggins misses 2-pt shot from 18 ft
8:44.0,Defensive rebound by T. Ennis,,61-68,,
8:40.0,C. Brewer misses 3-pt shot from 23 ft,,61-68,,
8:40.0,,,61-68,,Defensive rebound by K. Towns
8:33.0,,,61-68,,T. Jones misses 2-pt shot from 7 ft (block by C. Brewer)
8:33.0,,,61-68,,Offensive rebound by Team
8:31.0,,,61-71,3,K. Towns makes 3-pt shot from 26 ft (assist by J. Butler)
8:05.0,C. Brewer makes 2-pt shot from 1 ft (assist by T. Ennis),2,63-71,,
7:51.0,,,63-73,2,T. Gibson makes 2-pt shot from 6 ft (assist by J. Butler)
7:41.0,B. Ingram makes 2-pt shot from 12 ft (assist by T. Ennis),2,65-73,,
7:27.0,,,65-73,,J. Butler misses 2-pt shot from 15 ft
7:24.0,Defensive rebound by T. Ennis,,65-73,,
7:19.0,K. Kuzma misses 3-pt shot from 25 ft,,65-73,,
7:15.0,,,65-73,,Defensive rebound by T. Gibson
7:10.0,,,65-75,2,A. Wiggins makes 2-pt shot from 8 ft
7:06.0,Shooting foul by T. Gibson (drawn by T. Ennis),,65-75,,
7:06.0,T. Ennis makes free throw 1 of 2,1,66-75,,
7:06.0,T. Ennis makes free throw 2 of 2,1,67-75,,
6:42.0,,,67-75,,T. Gibson misses 2-pt shot from 3 ft (block by B. Ingram)
6:41.0,Defensive rebound by J. Randle,,67-75,,
6:32.0,C. Brewer misses 2-pt shot from 2 ft (block by K. Towns),,67-75,,
6:30.0,,,67-75,,Defensive rebound by A. Wiggins
6:27.0,,,67-78,3,J. Butler makes 3-pt shot from 25 ft (assist by A. Wiggins)
6:21.0,Shooting foul by A. Wiggins (drawn by C. Brewer),,67-78,,
6:21.0,,,67-78,,Minnesota full timeout
6:21.0,C. Brewer makes free throw 1 of 2,1,68-78,,
6:21.0,C. Brewer misses free throw 2 of 2,,68-78,,
6:19.0,,,68-78,,Defensive rebound by K. Towns
6:02.0,,,68-78,,K. Towns misses 2-pt shot from 1 ft
6:00.0,Defensive rebound by K. Kuzma,,68-78,,
5:56.0,J. Randle makes 2-pt shot from 1 ft (assist by K. Kuzma),2,70-78,,
5:34.0,,,70-78,,A. Wiggins misses 3-pt shot from 25 ft
5:29.0,Jump ball: K. Towns vs. J. Randle (T. Jones gains possession),,,,Jump ball: K. Towns vs. J. Randle (T. Jones gains possession)
5:29.0,,,70-78,,Offensive rebound by K. Towns
5:26.0,,,70-78,,A. Wiggins misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by B. Ingram,,70-78,,
5:05.0,B. Ingram makes 2-pt shot from 14 ft,2,72-78,,
4:43.0,,,72-78,,J. Butler misses 2-pt shot from 8 ft
4:39.0,,,72-78,,Offensive rebound by K. Towns
4:39.0,,,72-80,2,K. Towns makes 2-pt shot at rim
4:27.0,Turnover by J. Randle (out of bounds lost ball),,72-80,,
4:16.0,,,72-80,,K. Towns misses 3-pt shot from 26 ft
4:13.0,Defensive rebound by B. Ingram,,72-80,,
4:09.0,T. Ennis misses 3-pt shot from 24 ft,,72-80,,
4:05.0,,,72-80,,Defensive rebound by T. Gibson
3:55.0,,,72-82,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
3:37.0,K. Kuzma misses 2-pt shot from 6 ft (block by A. Wiggins),,72-82,,
3:34.0,,,72-82,,Defensive rebound by K. Towns
3:34.0,,,72-82,,Offensive charge foul by K. Towns (drawn by C. Brewer)
3:34.0,,,72-82,,Turnover by K. Towns (offensive foul)
3:34.0,,,72-82,,G. Dieng enters the game for K. Towns
3:34.0,L. Nance enters the game for J. Randle,,72-82,,
3:20.0,B. Ingram misses 2-pt shot from 15 ft,,72-82,,
3:17.0,,,72-82,,Defensive rebound by G. Dieng
3:01.0,,,72-84,2,A. Wiggins makes 2-pt shot from 2 ft (assist by J. Butler)
2:58.0,LA Lakers full timeout,,72-84,,
2:58.0,J. Clarkson enters the game for K. Kuzma,,72-84,,
2:58.0,A. Caruso enters the game for T. Ennis,,72-84,,
2:58.0,V. Blue enters the game for B. Ingram,,72-84,,
2:47.0,V. Blue misses 3-pt shot from 25 ft,,72-84,,
2:45.0,,,72-84,,Defensive rebound by T. Jones
2:34.0,,,72-86,2,G. Dieng makes 2-pt shot from 21 ft (assist by T. Jones)
2:15.0,J. Clarkson misses 2-pt shot from 13 ft,,72-86,,
2:10.0,Offensive rebound by L. Nance,,72-86,,
2:09.0,Turnover by C. Brewer (lost ball; steal by T. Jones),,72-86,,
1:56.0,,,72-86,,Turnover by J. Butler (bad pass; steal by A. Caruso)
1:56.0,,,72-86,,Personal foul by G. Dieng (drawn by A. Caruso)
1:56.0,,,72-86,,J. Crawford enters the game for J. Butler
1:47.0,L. Nance misses 2-pt shot from 10 ft,,72-86,,
1:46.0,,,72-86,,Defensive rebound by A. Wiggins
1:29.0,,,72-88,2,A. Wiggins makes 2-pt shot at rim
1:19.0,Turnover by A. Caruso (lost ball; steal by T. Jones),,72-88,,
1:12.0,,,72-91,3,T. Jones makes 3-pt shot from 25 ft (assist by A. Wiggins)
1:10.0,LA Lakers full timeout,,72-91,,
1:10.0,,,72-91,,A. Brooks enters the game for T. Jones
0:57.0,L. Nance makes 2-pt shot at rim (assist by J. Clarkson),2,74-91,,
0:36.0,,,74-91,,A. Brooks misses 2-pt shot from 2 ft
0:34.0,Defensive rebound by L. Nance,,74-91,,
0:25.0,L. Nance makes 2-pt shot at rim,2,76-91,,
0:00.0,,,76-91,,J. Crawford misses 3-pt shot from 22 ft
0:00.0,,,76-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,76-91,,G. Dieng misses 2-pt shot from 16 ft
11:39.0,Defensive rebound by L. Nance,,76-91,,
11:18.0,Turnover by L. Nance (bad pass; steal by J. Crawford),,76-91,,
11:06.0,,,76-93,2,J. Butler makes 2-pt shot from 12 ft
10:54.0,Offensive foul by I. Zubac (drawn by J. Crawford),,76-93,,
10:54.0,Turnover by I. Zubac (offensive foul),,76-93,,
10:33.0,,,76-95,2,G. Dieng makes 2-pt shot at rim (assist by A. Brooks)
10:20.0,A. Caruso misses 3-pt shot from 24 ft,,76-95,,
10:16.0,Offensive rebound by I. Zubac,,76-95,,
10:16.0,I. Zubac makes 2-pt shot from 1 ft,2,78-95,,
10:02.0,Personal foul by L. Nance (drawn by N. Bjelica),,78-95,,
10:02.0,,,78-95,,K. Towns enters the game for G. Dieng
9:51.0,,,78-95,,Turnover by A. Brooks (bad pass; steal by J. Clarkson)
9:48.0,,,78-95,,Shooting block foul by A. Brooks (drawn by J. Clarkson)
9:48.0,J. Clarkson makes free throw 1 of 2,1,79-95,,
9:48.0,J. Clarkson misses free throw 2 of 2,,79-95,,
9:45.0,,,79-95,,Defensive rebound by N. Bjelica
9:30.0,,,79-95,,Turnover by J. Butler (bad pass; steal by L. Nance)
9:26.0,J. Clarkson makes 2-pt shot at rim (assist by L. Nance),2,81-95,,
9:25.0,,,81-95,,Minnesota full timeout
9:25.0,,,81-95,,T. Jones enters the game for A. Brooks
9:02.0,,,81-95,,N. Bjelica misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by I. Zubac,,81-95,,
8:45.0,,,81-95,,Personal foul by T. Jones (drawn by A. Caruso)
8:41.0,J. Clarkson makes 3-pt shot from 24 ft (assist by A. Caruso),3,84-95,,
8:27.0,Personal foul by I. Zubac (drawn by K. Towns),,84-95,,
8:27.0,,,84-95,,T. Gibson enters the game for N. Bjelica
8:22.0,,,84-97,2,K. Towns makes 2-pt shot from 13 ft (assist by T. Jones)
8:08.0,J. Clarkson makes 2-pt shot from 6 ft,2,86-97,,
7:54.0,,,86-97,,Shooting foul by A. Caruso (drawn by J. Butler)
7:54.0,,,86-98,1,J. Butler makes free throw 1 of 2
7:54.0,J. Hart enters the game for A. Caruso,,86-98,,
7:54.0,,,86-99,1,J. Butler makes free throw 2 of 2
7:33.0,Turnover by J. Clarkson (bad pass),,86-99,,
7:19.0,,,86-101,2,J. Butler makes 2-pt shot from 7 ft
7:07.0,I. Zubac makes 2-pt shot from 6 ft (assist by V. Blue),2,88-101,,
6:52.0,,,88-101,,Turnover by T. Gibson (lost ball; steal by V. Blue)
6:46.0,Jump ball: J. Crawford vs. V. Blue (K. Towns gains possession),,,,Jump ball: J. Crawford vs. V. Blue (K. Towns gains possession)
6:46.0,Turnover by V. Blue (turnover; steal by J. Crawford),,88-101,,
