time,Denver,pts.away,score,pts.home,Toronto
0:18.0,W. Chandler makes 3-pt shot from 24 ft (assist by N. Jokic),3,107-111,,
0:15.0,Personal take foul by J. Murray (drawn by D. Wright),,107-111,,
0:13.0,Personal take foul by W. Chandler (drawn by F. VanVleet),,107-111,,
0:13.0,,,107-112,1,F. VanVleet makes free throw 1 of 2
0:13.0,,,107-113,1,F. VanVleet makes free throw 2 of 2
0:13.0,Denver full timeout,,107-113,,
0:11.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Chandler),2,110-113,,
0:10.0,,,110-113,,Toronto full timeout
0:10.0,,,110-113,,J. Valanciunas enters the game for J. Poeltl
0:10.0,,,110-113,,C. Miles enters the game for P. Siakam
0:09.0,Personal take foul by P. Millsap (drawn by J. Valanciunas),,110-113,,
0:09.0,,,110-113,,J. Valanciunas misses free throw 1 of 2
0:09.0,,,110-113,,Offensive rebound by Team
0:09.0,,,110-113,,P. Siakam enters the game for C. Miles
0:09.0,,,110-114,1,J. Valanciunas makes free throw 2 of 2
0:05.0,,,110-114,,Personal take foul by F. VanVleet (drawn by W. Barton)
0:05.0,,,110-114,,J. Poeltl enters the game for J. Valanciunas
0:01.0,J. Murray misses 3-pt shot from 25 ft,,110-114,,
0:01.0,,,110-114,,Defensive rebound by K. Lowry
