time,Chicago,pts.away,score,pts.home,Indiana
9:26.0,Chicago full timeout,,28-38,,
9:09.0,J. Grant misses 2-pt shot from 15 ft (block by D. Sabonis),,28-38,,
9:06.0,,,28-38,,Defensive rebound by C. Joseph
9:04.0,,,28-40,2,C. Joseph makes 2-pt shot from 3 ft
8:48.0,N. Mirotic misses 2-pt shot from 7 ft,,28-40,,
8:46.0,,,28-40,,Defensive rebound by D. Sabonis
8:34.0,,,28-40,,D. Sabonis misses 2-pt shot from 4 ft
8:32.0,Defensive rebound by B. Portis,,28-40,,
8:25.0,J. Grant misses 2-pt shot from 7 ft,,28-40,,
8:24.0,Offensive rebound by Team,,28-40,,
8:24.0,,,28-40,,Loose ball foul by L. Stephenson (drawn by B. Portis)
8:10.0,J. Grant misses 2-pt shot from 9 ft,,28-40,,
8:08.0,,,28-40,,Defensive rebound by C. Joseph
7:54.0,,,28-43,3,T. Leaf makes 3-pt shot from 26 ft (assist by C. Joseph)
7:34.0,J. Grant misses 3-pt shot from 26 ft,,28-43,,
7:31.0,,,28-43,,Defensive rebound by D. Sabonis
7:17.0,Personal foul by P. Zipser (drawn by J. Young),,28-43,,
7:17.0,L. Markkanen enters the game for J. Grant,,28-43,,
7:17.0,D. Valentine enters the game for B. Portis,,28-43,,
7:17.0,K. Dunn enters the game for D. Nwaba,,28-43,,
7:17.0,R. Lopez enters the game for N. Mirotic,,28-43,,
7:10.0,,,28-43,,Shooting foul by D. Valentine (drawn by D. Sabonis)
7:10.0,,,28-43,,D. Sabonis misses free throw 1 of 2
7:10.0,,,28-43,,Offensive rebound by Team
7:10.0,,,28-43,,T. Young enters the game for T. Leaf
7:10.0,,,28-44,1,D. Sabonis makes free throw 2 of 2
6:47.0,K. Dunn misses 2-pt shot from 11 ft,,28-44,,
6:45.0,,,28-44,,Defensive rebound by L. Stephenson
6:40.0,,,28-46,2,J. Young makes 2-pt shot at rim
6:40.0,Chicago full timeout,,28-46,,
6:40.0,J. Holiday enters the game for P. Zipser,,28-46,,
6:26.0,L. Markkanen misses 2-pt shot from 18 ft,,28-46,,
6:24.0,,,28-46,,Defensive rebound by C. Joseph
6:16.0,,,28-46,,T. Young misses 2-pt shot from 10 ft
6:12.0,Defensive rebound by D. Valentine,,28-46,,
6:04.0,Turnover by L. Markkanen (bad pass; steal by J. Young),,28-46,,
6:00.0,,,28-48,2,J. Young makes 2-pt shot from 14 ft
5:52.0,D. Valentine makes 2-pt shot from 6 ft (assist by K. Dunn),2,30-48,,
5:32.0,,,30-48,,T. Young misses 2-pt shot from 1 ft (block by R. Lopez)
5:31.0,Defensive rebound by K. Dunn,,30-48,,
5:26.0,J. Holiday makes 2-pt shot from 1 ft (assist by K. Dunn),2,32-48,,
5:26.0,Shooting foul by C. Joseph (drawn by J. Holiday),,32-48,,
5:26.0,,,32-48,,V. Oladipo enters the game for L. Stephenson
5:26.0,J. Holiday makes free throw 1 of 1,1,33-48,,
5:14.0,,,33-50,2,V. Oladipo makes 2-pt shot from 17 ft
4:57.0,J. Holiday misses 3-pt shot from 26 ft,,33-50,,
4:53.0,Offensive rebound by R. Lopez,,33-50,,
4:49.0,D. Valentine misses 3-pt shot from 23 ft,,33-50,,
4:47.0,Offensive rebound by L. Markkanen,,33-50,,
4:44.0,D. Valentine misses 2-pt shot from 1 ft,,33-50,,
4:40.0,,,33-50,,Defensive rebound by T. Young
4:24.0,,,33-50,,C. Joseph misses 2-pt shot from 19 ft (block by J. Holiday)
4:21.0,,,33-50,,Offensive rebound by V. Oladipo
4:20.0,,,33-53,3,D. Sabonis makes 3-pt shot from 27 ft (assist by V. Oladipo)
3:57.0,L. Markkanen misses 3-pt shot from 22 ft,,33-53,,
3:54.0,,,33-53,,Defensive rebound by C. Joseph
3:46.0,,,33-53,,V. Oladipo misses 2-pt shot from 1 ft
3:44.0,Defensive rebound by L. Markkanen,,33-53,,
3:40.0,Turnover by L. Markkanen (bad pass),,33-53,,
3:40.0,,,33-53,,Indiana full timeout
3:40.0,,,33-53,,D. Collison enters the game for J. Young
3:40.0,,,33-53,,D. Wilkins enters the game for C. Joseph
3:40.0,,,33-53,,M. Turner enters the game for D. Sabonis
3:28.0,,,33-55,2,V. Oladipo makes 2-pt shot from 16 ft
3:04.0,J. Holiday misses 3-pt shot from 27 ft,,33-55,,
3:00.0,,,33-55,,Defensive rebound by M. Turner
2:48.0,,,33-55,,T. Young misses 2-pt shot from 13 ft
2:45.0,Defensive rebound by K. Dunn,,33-55,,
2:40.0,K. Dunn makes 2-pt shot from 9 ft,2,35-55,,
2:21.0,,,35-55,,Shooting foul by R. Lopez (drawn by V. Oladipo)
2:21.0,,,35-56,1,V. Oladipo makes free throw 1 of 2
2:21.0,,,35-56,,V. Oladipo misses free throw 2 of 2
2:21.0,Defensive rebound by N. Mirotic,,35-56,,
2:21.0,N. Mirotic enters the game for R. Lopez,,35-56,,
2:14.0,Technical foul by R. Lopez,,35-56,,
2:14.0,,,35-57,1,D. Collison makes technical free throw
2:00.0,D. Valentine misses 2-pt shot from 15 ft,,35-57,,
1:58.0,,,35-57,,Defensive rebound by V. Oladipo
1:39.0,,,35-60,3,D. Wilkins makes 3-pt shot from 23 ft (assist by V. Oladipo)
1:29.0,,,35-60,,Personal foul by D. Collison (drawn by K. Dunn)
1:20.0,Shooting foul by M. Turner (drawn by N. Mirotic),,35-60,,
1:20.0,N. Mirotic makes free throw 1 of 2,1,36-60,,
1:20.0,N. Mirotic makes free throw 2 of 2,1,37-60,,
1:07.0,,,37-62,2,V. Oladipo makes 2-pt shot at rim
0:59.0,K. Dunn misses 3-pt shot from 26 ft,,37-62,,
0:55.0,,,37-62,,Defensive rebound by M. Turner
0:42.0,,,37-64,2,T. Young makes 2-pt shot from 12 ft
0:36.0,Turnover by N. Mirotic (traveling),,37-64,,
0:21.0,,,37-64,,Turnover by M. Turner (turnover)
0:04.0,K. Dunn misses 2-pt shot from 2 ft,,37-64,,
0:03.0,,,37-64,,Defensive rebound by M. Turner
0:03.0,,,37-64,,Turnover by M. Turner (lost ball; steal by D. Valentine)
0:00.0,D. Valentine misses 2-pt shot from 18 ft,,37-64,,
0:00.0,Offensive rebound by Team,,37-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,37-64,,M. Turner misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by D. Valentine,,37-64,,
11:33.0,L. Markkanen makes 2-pt shot from 5 ft (assist by K. Dunn),2,39-64,,
11:13.0,,,39-64,,M. Turner misses 2-pt shot from 20 ft
11:11.0,Defensive rebound by D. Valentine,,39-64,,
11:08.0,D. Valentine makes 3-pt shot from 26 ft,3,42-64,,
10:47.0,,,42-64,,Shooting foul by L. Markkanen (drawn by V. Oladipo)
10:47.0,,,42-65,1,V. Oladipo makes free throw 1 of 2
10:47.0,,,42-66,1,V. Oladipo makes free throw 2 of 2
10:40.0,,,42-66,,Personal foul by M. Turner (drawn by R. Lopez)
10:35.0,K. Dunn misses 2-pt shot from 1 ft,,42-66,,
10:34.0,Offensive rebound by R. Lopez,,42-66,,
10:34.0,,,42-66,,Personal foul by M. Turner (drawn by R. Lopez)
10:23.0,Turnover by J. Holiday (bad pass),,42-66,,
10:02.0,,,42-68,2,V. Oladipo makes 2-pt shot at rim
9:53.0,J. Holiday misses 2-pt shot from 14 ft,,42-68,,
9:50.0,,,42-68,,Defensive rebound by V. Oladipo
9:47.0,,,42-71,3,V. Oladipo makes 3-pt shot from 25 ft
9:32.0,J. Holiday misses 2-pt shot from 1 ft,,42-71,,
9:31.0,Offensive rebound by K. Dunn,,42-71,,
9:28.0,J. Holiday misses 3-pt shot from 23 ft,,42-71,,
9:24.0,,,42-71,,Defensive rebound by M. Turner
9:19.0,,,42-71,,Turnover by V. Oladipo (bad pass)
9:08.0,Turnover by D. Valentine (turnover),,42-71,,
8:52.0,,,42-73,2,T. Young makes 2-pt shot from 1 ft
8:52.0,Chicago full timeout,,42-73,,
8:32.0,R. Lopez makes 2-pt shot from 5 ft,2,44-73,,
8:13.0,,,44-76,3,D. Wilkins makes 3-pt shot from 23 ft
8:01.0,K. Dunn misses 2-pt shot from 11 ft,,44-76,,
7:57.0,,,44-76,,Defensive rebound by D. Wilkins
7:45.0,,,44-76,,Turnover by M. Turner (traveling)
7:38.0,D. Valentine makes 3-pt shot from 28 ft (assist by L. Markkanen),3,47-76,,
7:21.0,,,47-79,3,D. Wilkins makes 3-pt shot from 23 ft (assist by V. Oladipo)
7:02.0,R. Lopez misses 2-pt shot from 8 ft,,47-79,,
7:00.0,,,47-79,,Defensive rebound by D. Wilkins
6:55.0,,,47-81,2,M. Turner makes 2-pt shot from 23 ft (assist by V. Oladipo)
6:43.0,Shooting foul by M. Turner (drawn by R. Lopez),,47-81,,
6:43.0,R. Lopez makes free throw 1 of 2,1,48-81,,
6:43.0,,,48-81,,D. Sabonis enters the game for M. Turner
6:43.0,R. Lopez makes free throw 2 of 2,1,49-81,,
6:24.0,,,49-81,,D. Wilkins misses 2-pt shot from 10 ft
6:21.0,Defensive rebound by D. Valentine,,49-81,,
6:14.0,,,49-81,,Personal foul by D. Sabonis (drawn by K. Dunn)
6:03.0,J. Holiday misses 2-pt shot from 2 ft (block by T. Young),,49-81,,
6:02.0,Offensive rebound by J. Holiday,,49-81,,
6:02.0,J. Holiday misses 2-pt shot from 2 ft,,49-81,,
6:01.0,L. Markkanen misses 2-pt shot from 2 ft,,49-81,,
6:01.0,Offensive rebound by L. Markkanen,,49-81,,
6:00.0,Offensive rebound by L. Markkanen,,49-81,,
6:00.0,Shooting foul by D. Wilkins (drawn by L. Markkanen),,49-81,,
6:00.0,L. Markkanen makes free throw 1 of 2,1,50-81,,
6:00.0,L. Markkanen makes free throw 2 of 2,1,51-81,,
5:39.0,,,51-84,3,D. Collison makes 3-pt shot from 22 ft (assist by D. Wilkins)
5:19.0,K. Dunn misses 3-pt shot from 24 ft,,51-84,,
5:17.0,,,51-84,,Defensive rebound by T. Young
5:08.0,,,51-86,2,T. Young makes 2-pt shot from 1 ft
4:55.0,Turnover by R. Lopez (traveling),,51-86,,
4:55.0,,,51-86,,C. Joseph enters the game for D. Wilkins
4:55.0,D. Nwaba enters the game for R. Lopez,,51-86,,
4:55.0,N. Mirotic enters the game for D. Valentine,,51-86,,
4:41.0,,,51-88,2,D. Sabonis makes 2-pt shot at rim (assist by V. Oladipo)
4:14.0,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Holiday),3,54-88,,
4:03.0,Violation by J. Holiday (kicked ball),,54-88,,
3:53.0,,,54-90,2,D. Sabonis makes 2-pt shot from 18 ft (assist by C. Joseph)
3:38.0,L. Markkanen makes 3-pt shot from 28 ft (assist by K. Dunn),3,57-90,,
3:21.0,,,57-92,2,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison)
3:12.0,L. Markkanen misses 3-pt shot from 26 ft,,57-92,,
3:09.0,,,57-92,,Defensive rebound by V. Oladipo
3:06.0,Personal foul by L. Markkanen (drawn by D. Sabonis),,57-92,,
3:06.0,,,57-92,,Indiana full timeout
3:06.0,P. Zipser enters the game for J. Holiday,,57-92,,
2:55.0,,,57-92,,D. Collison misses 3-pt shot from 25 ft
2:50.0,,,57-92,,Offensive rebound by C. Joseph
2:48.0,,,57-94,2,D. Sabonis makes 2-pt shot at rim (assist by T. Young)
2:26.0,K. Dunn makes 2-pt shot from 14 ft,2,59-94,,
2:10.0,,,59-94,,Shooting foul by D. Nwaba (drawn by D. Sabonis)
2:10.0,,,59-94,,D. Sabonis misses free throw 1 of 2
2:10.0,,,59-94,,Offensive rebound by Team
2:10.0,,,59-94,,L. Stephenson enters the game for V. Oladipo
2:10.0,,,59-94,,T. Leaf enters the game for T. Young
2:10.0,,,59-94,,D. Sabonis misses free throw 2 of 2
2:07.0,Defensive rebound by L. Markkanen,,59-94,,
2:02.0,L. Markkanen misses 3-pt shot from 27 ft,,59-94,,
1:59.0,,,59-94,,Defensive rebound by D. Collison
1:47.0,,,59-94,,Turnover by T. Leaf (bad pass; steal by D. Nwaba)
1:47.0,,,59-94,,Personal take foul by L. Stephenson (drawn by D. Nwaba)
1:47.0,D. Nwaba misses free throw 1 of 2,,59-94,,
1:47.0,Offensive rebound by Team,,59-94,,
1:47.0,B. Portis enters the game for L. Markkanen,,59-94,,
1:47.0,D. Nwaba makes free throw 2 of 2,1,60-94,,
1:24.0,,,60-96,2,C. Joseph makes 2-pt shot from 21 ft (assist by L. Stephenson)
1:14.0,D. Nwaba makes 2-pt shot at rim,2,62-96,,
0:55.0,,,62-98,2,D. Collison makes 2-pt shot from 1 ft
0:49.0,K. Dunn makes 2-pt shot from 14 ft,2,64-98,,
0:35.0,,,64-101,3,T. Leaf makes 3-pt shot from 26 ft (assist by L. Stephenson)
0:24.0,N. Mirotic makes 3-pt shot from 25 ft (assist by B. Portis),3,67-101,,
0:07.0,,,67-101,,L. Stephenson misses 3-pt shot from 23 ft
0:04.0,Defensive rebound by B. Portis,,67-101,,
0:00.0,B. Portis misses 3-pt shot from 28 ft,,67-101,,
0:00.0,Offensive rebound by Team,,67-101,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,B. Portis misses 2-pt shot from 16 ft,,67-101,,
11:39.0,,,67-101,,Defensive rebound by J. Young
11:31.0,,,67-103,2,L. Stephenson makes 2-pt shot from 18 ft
11:13.0,,,67-103,,Personal block foul by D. Sabonis (drawn by P. Zipser)
11:06.0,J. Grant misses 2-pt shot from 19 ft,,67-103,,
11:01.0,,,67-103,,Defensive rebound by C. Joseph
10:49.0,,,67-103,,L. Stephenson misses 2-pt shot from 3 ft
10:47.0,Defensive rebound by B. Portis,,67-103,,
10:37.0,Turnover by P. Zipser (bad pass; steal by C. Joseph),,67-103,,
10:35.0,Personal foul by J. Grant (drawn by J. Young),,67-103,,
10:20.0,,,67-103,,L. Stephenson misses 2-pt shot from 6 ft (block by B. Portis)
10:20.0,,,67-103,,Offensive rebound by Team
10:18.0,,,67-103,,C. Joseph misses 2-pt shot from 17 ft
10:15.0,Defensive rebound by N. Mirotic,,67-103,,
10:08.0,N. Mirotic misses 3-pt shot from 26 ft,,67-103,,
10:05.0,,,67-103,,Defensive rebound by C. Joseph
9:59.0,,,67-103,,C. Joseph misses 2-pt shot from 1 ft (block by B. Portis)
9:59.0,,,67-103,,Offensive rebound by Team
9:56.0,,,67-103,,Turnover by C. Joseph (bad pass)
9:42.0,P. Zipser misses 2-pt shot from 18 ft,,67-103,,
9:37.0,,,67-103,,Defensive rebound by C. Joseph
9:32.0,,,67-103,,Turnover by J. Young (traveling)
9:26.0,,,67-103,,Personal foul by L. Stephenson (drawn by P. Zipser)
9:26.0,Q. Pondexter enters the game for D. Nwaba,,67-103,,
9:16.0,J. Grant misses 2-pt shot from 18 ft,,67-103,,
9:12.0,,,67-103,,Defensive rebound by T. Leaf
8:57.0,,,67-105,2,D. Sabonis makes 2-pt shot from 7 ft (assist by L. Stephenson)
8:39.0,P. Zipser makes 2-pt shot at rim,2,69-105,,
8:15.0,,,69-107,2,T. Leaf makes 2-pt shot from 1 ft (assist by C. Joseph)
7:59.0,B. Portis makes 2-pt shot from 7 ft,2,71-107,,
7:43.0,Personal foul by B. Portis (drawn by D. Sabonis),,71-107,,
7:28.0,,,71-107,,C. Joseph misses 2-pt shot from 10 ft
7:25.0,,,71-107,,Offensive rebound by L. Stephenson
7:20.0,,,71-110,3,C. Joseph makes 3-pt shot from 26 ft (assist by L. Stephenson)
7:02.0,Shooting foul by D. Sabonis (drawn by J. Grant),,71-110,,
7:02.0,J. Grant makes free throw 1 of 2,1,72-110,,
7:02.0,J. Grant makes free throw 2 of 2,1,73-110,,
6:42.0,,,73-112,2,J. Young makes 2-pt shot from 1 ft
6:15.0,Q. Pondexter makes 2-pt shot from 1 ft,2,75-112,,
5:59.0,,,75-112,,Shooting foul by N. Mirotic (drawn by D. Sabonis)
5:59.0,,,75-112,,Indiana full timeout
5:59.0,,,75-112,,D. Wilkins enters the game for C. Joseph
5:59.0,D. Valentine enters the game for N. Mirotic,,75-112,,
5:59.0,,,75-113,1,D. Sabonis makes free throw 1 of 2
5:59.0,,,75-114,1,D. Sabonis makes free throw 2 of 2
5:46.0,J. Grant misses 3-pt shot from 25 ft,,75-114,,
5:40.0,,,75-114,,Defensive rebound by T. Leaf
5:30.0,,,75-116,2,T. Leaf makes 2-pt shot at rim (assist by J. Young)
5:18.0,B. Portis makes 3-pt shot from 26 ft (assist by J. Grant),3,78-116,,
4:59.0,,,78-116,,A. Poythress enters the game for D. Sabonis
4:52.0,,,78-116,,J. Young misses 3-pt shot from 28 ft
4:50.0,,,78-116,,Offensive rebound by L. Stephenson
4:49.0,,,78-118,2,L. Stephenson makes 2-pt shot from 1 ft
4:31.0,,,78-118,,Shooting block foul by A. Poythress (drawn by J. Grant)
4:31.0,J. Grant misses free throw 1 of 2,,78-118,,
4:31.0,Offensive rebound by Team,,78-118,,
4:31.0,J. Grant misses free throw 2 of 2,,78-118,,
4:29.0,,,78-118,,Defensive rebound by L. Stephenson
4:21.0,,,78-118,,Turnover by L. Stephenson (lost ball; steal by D. Valentine)
4:07.0,,,78-118,,Personal foul by A. Poythress (drawn by B. Portis)
4:07.0,B. Portis makes free throw 1 of 2,1,79-118,,
4:07.0,B. Portis misses free throw 2 of 2,,79-118,,
4:05.0,,,79-118,,Defensive rebound by A. Poythress
3:43.0,,,79-118,,D. Wilkins misses 3-pt shot from 27 ft
3:40.0,Defensive rebound by P. Zipser,,79-118,,
3:35.0,B. Portis makes 2-pt shot at rim (assist by D. Valentine),2,81-118,,
3:35.0,Shooting foul by T. Leaf (drawn by B. Portis),,81-118,,
3:35.0,B. Portis makes free throw 1 of 1,1,82-118,,
3:17.0,Personal foul by Q. Pondexter (drawn by T. Leaf),,82-118,,
3:10.0,,,82-121,3,J. Young makes 3-pt shot from 27 ft
2:52.0,P. Zipser makes 2-pt shot at rim,2,84-121,,
2:34.0,,,84-121,,D. Wilkins misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by Team,,84-121,,
2:32.0,,,84-121,,Loose ball foul by L. Stephenson (drawn by B. Portis)
2:32.0,Chicago full timeout,,84-121,,
2:32.0,B. Portis makes free throw 1 of 2,1,85-121,,
2:32.0,B. Portis makes free throw 2 of 2,1,86-121,,
2:17.0,,,86-121,,A. Poythress misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by P. Zipser,,86-121,,
2:02.0,Turnover by P. Zipser (bad pass; steal by J. Young),,86-121,,
2:02.0,Personal foul by P. Zipser (drawn by J. Young),,86-121,,
2:02.0,,,86-122,1,J. Young makes free throw 1 of 2
2:02.0,,,86-123,1,J. Young makes free throw 2 of 2
1:47.0,J. Grant misses 2-pt shot from 6 ft,,86-123,,
1:44.0,,,86-123,,Defensive rebound by T. Leaf
1:26.0,,,86-123,,D. Wilkins misses 3-pt shot from 28 ft
1:23.0,Defensive rebound by Q. Pondexter,,86-123,,
1:16.0,Q. Pondexter misses 2-pt shot from 19 ft,,86-123,,
1:12.0,Offensive rebound by P. Zipser,,86-123,,
1:09.0,J. Grant misses 3-pt shot from 25 ft,,86-123,,
1:06.0,,,86-123,,Defensive rebound by L. Stephenson
1:01.0,,,86-123,,Offensive charge foul by J. Young (drawn by Q. Pondexter)
