time,Philadelphia,pts.away,score,pts.home,Houston
3:52.0,Philadelphia full timeout,,20-16,,
3:52.0,,,20-16,,R. Anderson enters the game for T. Ariza
3:52.0,,,20-16,,N. Hilario enters the game for C. Capela
3:52.0,J. Bayless enters the game for A. Johnson,,20-16,,
3:52.0,D. Saric enters the game for B. Simmons,,20-16,,
3:52.0,J. Embiid enters the game for R. Covington,,20-16,,
3:41.0,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by T. McConnell),3,23-16,,
3:26.0,,,23-18,2,L. Mbah a Moute makes 2-pt shot from 1 ft
3:26.0,,,23-18,,Shooting foul by J. Embiid (drawn by L. Mbah a Moute)
3:26.0,,,23-19,1,L. Mbah a Moute makes free throw 1 of 1
3:18.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by T. McConnell),2,25-19,,
3:18.0,Shooting foul by L. Mbah a Moute (drawn by T. Luwawu-Cabarrot),,25-19,,
3:18.0,T. Luwawu-Cabarrot makes free throw 1 of 1,1,26-19,,
3:07.0,,,26-19,,Shooting foul by T. Luwawu-Cabarrot (drawn by N. Hilario)
3:07.0,,,26-19,,N. Hilario misses free throw 1 of 2
3:07.0,,,26-19,,Offensive rebound by Team
3:07.0,,,26-20,1,N. Hilario makes free throw 2 of 2
2:53.0,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by J. Bayless),3,29-20,,
2:36.0,,,29-23,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by P. Tucker)
2:25.0,J. Embiid misses 3-pt shot from 25 ft,,29-23,,
2:22.0,,,29-23,,Defensive rebound by R. Anderson
2:16.0,,,29-23,,R. Anderson misses 3-pt shot from 27 ft
2:15.0,Defensive rebound by Team,,29-23,,
2:02.0,D. Saric makes 2-pt shot from 20 ft (assist by J. Embiid),2,31-23,,
1:47.0,,,31-23,,Shooting foul by T. McConnell (drawn by J. Harden)
1:47.0,,,31-24,1,J. Harden makes free throw 1 of 2
1:47.0,B. Simmons enters the game for T. McConnell,,31-24,,
1:47.0,,,31-24,,J. Harden misses free throw 2 of 2
1:45.0,Defensive rebound by D. Saric,,31-24,,
1:38.0,,,31-24,,Personal foul by N. Hilario (drawn by J. Embiid)
1:38.0,J. Embiid misses free throw 1 of 2,,31-24,,
1:38.0,Offensive rebound by Team,,31-24,,
1:38.0,J. Embiid makes free throw 2 of 2,1,32-24,,
1:15.0,,,32-26,2,R. Anderson makes 2-pt shot from 21 ft
0:58.0,B. Simmons makes 2-pt shot from 16 ft,2,34-26,,
0:49.0,,,34-26,,Shooting foul by T. Luwawu-Cabarrot (drawn by R. Anderson)
0:49.0,,,34-27,1,R. Anderson makes free throw 1 of 2
0:49.0,,,34-27,,R. Anderson misses free throw 2 of 2
0:48.0,Defensive rebound by B. Simmons,,34-27,,
0:35.0,Shooting foul by L. Mbah a Moute (drawn by J. Embiid),,34-27,,
0:35.0,J. Embiid makes free throw 1 of 2,1,35-27,,
0:35.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,35-27,,
0:35.0,J. Embiid makes free throw 2 of 2,1,36-27,,
0:29.0,,,36-27,,J. Harden misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by J. Embiid,,36-27,,
0:07.0,D. Saric misses 3-pt shot from 24 ft,,36-27,,
0:06.0,Offensive rebound by Team,,36-27,,
0:06.0,,,36-27,,Loose ball foul by N. Hilario (drawn by J. Embiid)
0:06.0,J. Embiid misses free throw 1 of 2,,36-27,,
0:06.0,Offensive rebound by Team,,36-27,,
0:06.0,J. Embiid makes free throw 2 of 2,1,37-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,37-27,,Turnover by R. Anderson (traveling)
11:31.0,J. Bayless makes 3-pt shot from 25 ft (assist by B. Simmons),3,40-27,,
11:14.0,,,40-27,,Turnover by E. Gordon (bad pass; steal by J. Embiid)
11:05.0,J. Anderson misses 3-pt shot from 23 ft,,40-27,,
11:03.0,,,40-27,,Defensive rebound by N. Hilario
10:59.0,,,40-30,3,E. Gordon makes 3-pt shot from 27 ft
10:41.0,J. Embiid makes 2-pt shot from 13 ft (assist by B. Simmons),2,42-30,,
10:25.0,Personal foul by J. Embiid (drawn by E. Gordon),,42-30,,
10:25.0,A. Johnson enters the game for J. Embiid,,42-30,,
10:17.0,,,42-30,,Shooting foul by J. Anderson (drawn by N. Hilario)
10:17.0,,,42-31,1,N. Hilario makes free throw 1 of 2
10:17.0,,,42-32,1,N. Hilario makes free throw 2 of 2
10:08.0,Turnover by B. Simmons (bad pass),,42-32,,
9:54.0,,,42-32,,P. Tucker misses 3-pt shot from 23 ft
9:51.0,Defensive rebound by A. Johnson,,42-32,,
9:43.0,D. Saric misses 2-pt shot from 2 ft (block by N. Hilario),,42-32,,
9:41.0,,,42-32,,Defensive rebound by N. Hilario
9:37.0,,,42-32,,E. Gordon misses 3-pt shot from 26 ft
9:33.0,,,42-32,,Offensive rebound by P. Tucker
9:28.0,Personal foul by J. Anderson (drawn by L. Mbah a Moute),,42-32,,
9:28.0,,,42-32,,C. Capela enters the game for N. Hilario
9:23.0,,,42-32,,Offensive charge foul by E. Gordon (drawn by A. Johnson)
9:23.0,,,42-32,,Turnover by E. Gordon (offensive foul)
9:23.0,R. Covington enters the game for J. Anderson,,42-32,,
9:12.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,44-32,,
9:00.0,,,44-35,3,R. Anderson makes 3-pt shot from 27 ft (assist by E. Gordon)
8:41.0,,,44-35,,T. Ariza enters the game for P. Tucker
8:35.0,Personal foul by A. Johnson (drawn by C. Capela),,44-35,,
8:34.0,A. Johnson misses 2-pt shot from 1 ft (block by C. Capela),,44-35,,
8:34.0,,,44-35,,Defensive rebound by C. Capela
8:18.0,,,44-37,2,E. Gordon makes 2-pt shot from 5 ft
8:11.0,,,44-37,,Personal foul by L. Mbah a Moute (drawn by A. Johnson)
7:57.0,B. Simmons makes 2-pt shot from 16 ft,2,46-37,,
7:47.0,,,46-37,,T. Ariza misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by D. Saric,,46-37,,
7:35.0,Turnover by J. Bayless (lost ball; steal by T. Ariza),,46-37,,
7:28.0,,,46-37,,Turnover by T. Ariza (lost ball; steal by R. Covington)
7:28.0,Philadelphia full timeout,,46-37,,
7:28.0,T. McConnell enters the game for D. Saric,,46-37,,
7:20.0,Shooting foul by L. Mbah a Moute (drawn by B. Simmons),,46-37,,
7:20.0,B. Simmons makes free throw 1 of 2,1,47-37,,
7:20.0,,,47-37,,J. Harden enters the game for L. Mbah a Moute
7:20.0,T. Luwawu-Cabarrot enters the game for J. Bayless,,47-37,,
7:20.0,B. Simmons makes free throw 2 of 2,1,48-37,,
7:12.0,,,48-37,,E. Gordon misses 3-pt shot from 27 ft
7:08.0,Defensive rebound by T. McConnell,,48-37,,
6:59.0,Turnover by R. Covington (step out of bounds),,48-37,,
6:52.0,,,48-37,,Shooting foul by R. Covington (drawn by C. Capela)
6:52.0,,,48-38,1,C. Capela makes free throw 1 of 2
6:52.0,,,48-39,1,C. Capela makes free throw 2 of 2
6:40.0,T. McConnell misses 2-pt shot from 16 ft,,48-39,,
6:37.0,Offensive rebound by A. Johnson,,48-39,,
6:36.0,A. Johnson misses 2-pt shot from 5 ft,,48-39,,
6:36.0,,,48-39,,Defensive rebound by Team
6:36.0,D. Saric enters the game for B. Simmons,,48-39,,
6:25.0,,,48-42,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
6:10.0,R. Covington misses 2-pt shot from 1 ft,,48-42,,
6:04.0,Offensive rebound by A. Johnson,,48-42,,
6:04.0,A. Johnson makes 2-pt shot at rim,2,50-42,,
5:51.0,,,50-42,,Turnover by J. Harden (bad pass; steal by A. Johnson)
5:27.0,D. Saric misses 2-pt shot from 1 ft,,50-42,,
5:20.0,,,50-42,,Defensive rebound by C. Capela
5:14.0,,,50-44,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
4:54.0,T. McConnell misses 2-pt shot from 8 ft,,50-44,,
4:51.0,,,50-44,,Defensive rebound by J. Harden
4:37.0,,,50-47,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
4:25.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by J. Harden),,50-47,,
4:25.0,,,50-47,,Defensive rebound by C. Capela
4:18.0,,,50-49,2,J. Harden makes 2-pt shot from 1 ft
3:59.0,D. Saric makes 3-pt shot from 26 ft (assist by T. McConnell),3,53-49,,
3:48.0,,,53-49,,Shooting foul by A. Johnson (drawn by E. Gordon)
3:48.0,,,53-50,1,E. Gordon makes free throw 1 of 2
3:48.0,,,53-50,,P. Tucker enters the game for C. Capela
3:48.0,B. Simmons enters the game for A. Johnson,,53-50,,
3:48.0,J. Embiid enters the game for T. Luwawu-Cabarrot,,53-50,,
3:48.0,J. Bayless enters the game for T. McConnell,,53-50,,
3:48.0,,,53-51,1,E. Gordon makes free throw 2 of 2
3:31.0,D. Saric makes 3-pt shot from 25 ft (assist by J. Embiid),3,56-51,,
3:13.0,,,56-51,,E. Gordon misses 3-pt shot from 28 ft
3:11.0,Defensive rebound by D. Saric,,56-51,,
2:58.0,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons),2,58-51,,
2:43.0,,,58-51,,E. Gordon misses 3-pt shot from 23 ft
2:41.0,,,58-51,,Offensive rebound by J. Harden
2:40.0,,,58-54,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
2:23.0,B. Simmons misses 2-pt shot from 3 ft,,58-54,,
2:22.0,Offensive rebound by R. Covington,,58-54,,
2:22.0,R. Covington misses 2-pt shot at rim,,58-54,,
2:21.0,,,58-54,,Defensive rebound by T. Ariza
2:13.0,,,58-54,,P. Tucker misses 3-pt shot from 23 ft
2:10.0,Defensive rebound by J. Bayless,,58-54,,
2:07.0,J. Bayless misses 3-pt shot from 25 ft,,58-54,,
2:03.0,Offensive rebound by J. Embiid,,58-54,,
1:53.0,Turnover by J. Embiid (lost ball; steal by P. Tucker),,58-54,,
1:46.0,,,58-54,,R. Anderson misses 3-pt shot from 23 ft
1:44.0,Defensive rebound by B. Simmons,,58-54,,
1:33.0,Offensive foul by J. Embiid (drawn by E. Gordon),,58-54,,
1:33.0,Turnover by J. Embiid (offensive foul),,58-54,,
1:33.0,,,58-54,,Houston full timeout
1:33.0,T. Luwawu-Cabarrot enters the game for J. Embiid,,58-54,,
1:13.0,,,58-54,,J. Harden misses 3-pt shot from 23 ft
1:09.0,,,58-54,,Offensive rebound by T. Ariza
1:08.0,,,58-54,,E. Gordon misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by R. Covington,,58-54,,
0:49.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,58-54,,
0:47.0,,,58-54,,Defensive rebound by P. Tucker
0:24.0,,,58-54,,E. Gordon misses 3-pt shot from 27 ft
0:21.0,Defensive rebound by J. Bayless,,58-54,,
0:03.0,Turnover by B. Simmons (bad pass; steal by E. Gordon),,58-54,,
0:01.0,,,58-56,2,E. Gordon makes 2-pt shot at rim
0:00.0,B. Simmons misses 3-pt shot from 65 ft,,58-56,,
0:00.0,Offensive rebound by Team,,58-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,58-56,,Turnover by J. Harden (bad pass; steal by R. Covington)
11:44.0,R. Covington makes 2-pt shot at rim,2,60-56,,
11:27.0,,,60-58,2,J. Harden makes 2-pt shot from 15 ft
11:06.0,R. Covington misses 3-pt shot from 25 ft,,60-58,,
11:06.0,Offensive rebound by Team,,60-58,,
10:56.0,J. Embiid misses 2-pt shot from 5 ft,,60-58,,
10:53.0,,,60-58,,Defensive rebound by J. Harden
10:49.0,,,60-58,,Shooting foul by B. Simmons (drawn by C. Capela)
10:49.0,,,60-58,,C. Capela misses free throw 1 of 2
10:49.0,,,60-58,,Offensive rebound by Team
10:49.0,,,60-58,,C. Capela misses free throw 2 of 2
10:46.0,Defensive rebound by R. Covington,,60-58,,
10:32.0,J. Embiid makes 2-pt shot from 9 ft,2,62-58,,
10:17.0,Violation by J. Bayless (kicked ball),,62-58,,
10:04.0,,,62-58,,J. Harden misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by R. Covington,,62-58,,
9:53.0,B. Simmons makes 2-pt shot at rim (assist by J. Embiid),2,64-58,,
9:35.0,,,66-60,2,E. Gordon makes 2-pt shot from 1 ft (assist by C. Capela)
9:25.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Embiid),2,66-58,,
9:12.0,,,66-58,,C. Capela misses 2-pt shot from 1 ft
9:10.0,Defensive rebound by B. Simmons,,66-58,,
9:05.0,R. Covington misses 3-pt shot from 25 ft,,66-58,,
9:03.0,,,66-58,,Defensive rebound by Team
9:03.0,T. McConnell enters the game for D. Saric,,66-58,,
8:39.0,,,66-58,,Shooting foul by J. Bayless (drawn by E. Gordon)
8:39.0,,,66-61,1,E. Gordon makes free throw 1 of 2
8:39.0,,,66-62,1,E. Gordon makes free throw 2 of 2
8:15.0,Turnover by Team (shot clock),,66-62,,
8:15.0,A. Johnson enters the game for J. Embiid,,66-62,,
8:04.0,Def 3 sec tech foul by A. Johnson,,66-62,,
8:04.0,,,66-63,1,J. Harden makes technical free throw
7:58.0,,,66-63,,E. Gordon misses 3-pt shot from 22 ft
7:55.0,,,66-63,,Offensive rebound by C. Capela
7:50.0,Jump ball: C. Capela vs. R. Covington (T. Ariza gains possession),,,,Jump ball: C. Capela vs. R. Covington (T. Ariza gains possession)
7:49.0,,,66-63,,T. Ariza misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by A. Johnson,,66-63,,
7:42.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,69-63,,
7:27.0,,,69-65,2,J. Harden makes 2-pt shot from 1 ft
7:20.0,A. Johnson makes 2-pt shot from 6 ft (assist by B. Simmons),2,71-65,,
7:10.0,,,71-67,2,C. Capela makes 2-pt shot from 1 ft (assist by T. Ariza)
7:10.0,,,71-67,,Shooting foul by A. Johnson (drawn by T. Ariza)
7:10.0,,,71-68,1,C. Capela makes free throw 1 of 1
6:46.0,T. McConnell makes 3-pt shot from 23 ft (assist by J. Bayless),3,74-68,,
6:23.0,,,74-68,,Turnover by J. Harden (lost ball; steal by T. McConnell)
6:13.0,Turnover by J. Bayless (bad pass; steal by T. Ariza),,74-68,,
6:09.0,,,74-70,2,T. Ariza makes 2-pt shot from 1 ft
5:55.0,J. Bayless makes 3-pt shot from 25 ft (assist by T. McConnell),3,77-70,,
5:46.0,,,77-70,,J. Harden misses 2-pt shot from 1 ft
5:44.0,,,77-70,,Offensive rebound by C. Capela
5:41.0,,,77-70,,R. Anderson misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by A. Johnson,,77-70,,
5:25.0,A. Johnson misses 2-pt shot from 8 ft,,77-70,,
5:23.0,Offensive rebound by A. Johnson,,77-70,,
5:09.0,Shooting foul by R. Anderson (drawn by B. Simmons),,77-70,,
5:09.0,,,77-70,,Houston full timeout
5:09.0,T. Luwawu-Cabarrot enters the game for J. Bayless,,77-70,,
5:09.0,B. Simmons misses free throw 1 of 2,,77-70,,
5:09.0,Offensive rebound by Team,,77-70,,
5:09.0,B. Simmons misses free throw 2 of 2,,77-70,,
5:09.0,,,77-70,,L. Mbah a Moute enters the game for E. Gordon
5:09.0,,,77-70,,P. Tucker enters the game for C. Capela
5:07.0,Defensive rebound by B. Simmons,,77-70,,
5:02.0,T. McConnell makes 3-pt shot from 25 ft (assist by R. Covington),3,80-70,,
4:36.0,,,80-70,,L. Mbah a Moute misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by A. Johnson,,80-70,,
4:33.0,Turnover by B. Simmons (traveling),,80-70,,
4:33.0,D. Saric enters the game for B. Simmons,,80-70,,
4:22.0,,,80-70,,T. Ariza misses 3-pt shot from 23 ft
4:19.0,Defensive rebound by T. McConnell,,80-70,,
4:07.0,D. Saric makes 2-pt shot from 6 ft,2,82-70,,
3:54.0,,,82-73,3,J. Harden makes 3-pt shot from 25 ft
3:52.0,Philadelphia full timeout,,82-73,,
3:52.0,,,82-73,,N. Hilario enters the game for T. Ariza
3:52.0,J. Bayless enters the game for R. Covington,,82-73,,
3:41.0,Shooting foul by P. Tucker (drawn by T. Luwawu-Cabarrot),,82-73,,
3:41.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,83-73,,
3:41.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,84-73,,
3:24.0,,,84-73,,L. Mbah a Moute misses 2-pt shot from 3 ft
3:21.0,Defensive rebound by A. Johnson,,84-73,,
3:15.0,J. Bayless misses 3-pt shot from 22 ft,,84-73,,
3:13.0,,,84-73,,Defensive rebound by L. Mbah a Moute
3:05.0,,,84-73,,L. Mbah a Moute misses 2-pt shot from 3 ft
3:03.0,Defensive rebound by A. Johnson,,84-73,,
2:48.0,Turnover by D. Saric (lost ball; steal by J. Harden),,84-73,,
2:36.0,,,84-73,,R. Anderson misses 3-pt shot from 28 ft
2:33.0,Defensive rebound by D. Saric,,84-73,,
2:24.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,84-73,,
2:24.0,Offensive rebound by Team,,84-73,,
2:24.0,J. Embiid enters the game for A. Johnson,,84-73,,
2:10.0,J. Embiid makes 2-pt shot at rim (assist by J. Bayless),2,86-73,,
1:57.0,Personal foul by T. Luwawu-Cabarrot (drawn by J. Harden),,86-73,,
1:52.0,,,86-76,3,J. Harden makes 3-pt shot from 26 ft (assist by N. Hilario)
1:27.0,D. Saric misses 2-pt shot from 7 ft,,86-76,,
1:24.0,,,86-76,,Defensive rebound by P. Tucker
1:19.0,,,86-76,,Turnover by J. Harden (lost ball; steal by T. Luwawu-Cabarrot)
1:17.0,,,86-76,,Personal foul by P. Tucker (drawn by T. Luwawu-Cabarrot)
1:01.0,J. Embiid makes 2-pt shot from 1 ft,2,88-76,,
0:48.0,,,88-76,,Shooting foul by J. Embiid (drawn by N. Hilario)
0:48.0,,,88-76,,N. Hilario misses free throw 1 of 2
0:48.0,,,88-76,,Offensive rebound by Team
0:48.0,A. Johnson enters the game for J. Embiid,,88-76,,
0:48.0,,,88-76,,N. Hilario misses free throw 2 of 2
0:46.0,Defensive rebound by D. Saric,,88-76,,
0:36.0,T. McConnell makes 2-pt shot from 8 ft,2,90-76,,
0:29.0,,,90-78,2,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden)
0:29.0,,,90-78,,Shooting foul by T. Luwawu-Cabarrot (drawn by N. Hilario)
0:29.0,,,90-79,1,N. Hilario makes free throw 1 of 1
0:11.0,,,90-79,,Personal foul by P. Tucker (drawn by T. Luwawu-Cabarrot)
0:11.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,91-79,,
0:11.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,92-79,,
0:11.0,R. Covington enters the game for A. Johnson,,92-79,,
0:02.0,,,92-79,,J. Harden misses 3-pt shot from 26 ft
0:02.0,,,92-79,,Offensive rebound by N. Hilario
0:00.0,,,92-79,,Shooting foul by D. Saric (drawn by N. Hilario)
0:00.0,,,92-79,,N. Hilario misses free throw 1 of 2
0:00.0,,,92-79,,Offensive rebound by Team
0:00.0,,,92-80,1,N. Hilario makes free throw 2 of 2
0:00.0,Turnover by R. Covington (bad pass; steal by L. Mbah a Moute),,92-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,92-80,,Personal foul by T. Ariza (drawn by B. Simmons)
11:45.0,Turnover by B. Simmons (bad pass; steal by L. Mbah a Moute),,92-80,,
11:36.0,,,92-83,3,E. Gordon makes 3-pt shot from 24 ft (assist by P. Tucker)
11:19.0,D. Saric misses 3-pt shot from 25 ft,,92-83,,
11:16.0,,,92-83,,Defensive rebound by C. Capela
11:09.0,,,92-83,,T. Ariza misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by A. Johnson,,92-83,,
10:51.0,J. Bayless makes 2-pt shot at rim,2,94-83,,
10:46.0,Violation by B. Simmons (kicked ball),,94-83,,
10:31.0,Personal foul by A. Johnson (drawn by P. Tucker),,94-83,,
10:23.0,,,94-85,2,L. Mbah a Moute makes 2-pt shot from 2 ft
10:23.0,,,94-85,,Shooting foul by J. Bayless (drawn by L. Mbah a Moute)
10:23.0,,,94-86,1,L. Mbah a Moute makes free throw 1 of 1
10:01.0,A. Johnson makes 2-pt shot from 9 ft,2,96-86,,
9:46.0,,,96-86,,P. Tucker misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by B. Simmons,,96-86,,
9:28.0,Turnover by A. Johnson (bad pass),,96-86,,
9:20.0,,,96-89,3,T. Ariza makes 3-pt shot from 25 ft (assist by E. Gordon)
8:55.0,D. Saric misses 3-pt shot from 24 ft,,96-89,,
8:51.0,,,96-89,,Defensive rebound by L. Mbah a Moute
8:49.0,,,96-91,2,L. Mbah a Moute makes 2-pt shot from 1 ft
8:37.0,,,96-91,,Personal foul by P. Tucker (drawn by D. Saric)
8:37.0,T. McConnell enters the game for D. Saric,,96-91,,
8:37.0,R. Covington enters the game for J. Anderson,,96-91,,
8:37.0,J. Embiid enters the game for A. Johnson,,96-91,,
8:23.0,B. Simmons misses 2-pt shot from 13 ft,,96-91,,
8:18.0,,,96-91,,Defensive rebound by C. Capela
8:11.0,,,96-91,,T. Ariza misses 3-pt shot from 22 ft
8:07.0,Defensive rebound by J. Bayless,,96-91,,
8:05.0,Turnover by J. Bayless (lost ball; steal by P. Tucker),,96-91,,
8:00.0,,,96-91,,T. Ariza misses 3-pt shot from 27 ft
7:56.0,Defensive rebound by J. Embiid,,96-91,,
7:50.0,B. Simmons makes 2-pt shot from 6 ft,2,98-91,,
7:37.0,,,98-91,,E. Gordon misses 2-pt shot from 2 ft (block by R. Covington)
7:36.0,Jump ball: E. Gordon vs. R. Covington,,,,Jump ball: E. Gordon vs. R. Covington
7:36.0,,,98-91,,Offensive rebound by Team
7:34.0,,,98-91,,E. Gordon misses 3-pt shot from 26 ft
7:30.0,,,98-91,,Offensive rebound by C. Capela
7:28.0,,,98-93,2,C. Capela makes 2-pt shot from 2 ft
7:15.0,B. Simmons misses 2-pt shot from 1 ft,,98-93,,
7:10.0,Offensive rebound by J. Embiid,,98-93,,
7:09.0,J. Embiid makes 2-pt shot from 1 ft,2,100-93,,
7:07.0,,,100-93,,Houston full timeout
7:07.0,,,100-93,,J. Harden enters the game for L. Mbah a Moute
6:57.0,,,100-93,,J. Harden misses 2-pt shot from 1 ft (block by J. Embiid)
6:57.0,,,100-93,,Offensive rebound by Team
