time,Toronto,pts.away,score,pts.home,Chicago
1:34.0,,,54-51,,Turnover by D. Valentine (bad pass; steal by D. DeRozan)
1:23.0,D. DeRozan makes 2-pt shot at rim,2,56-51,,
1:03.0,,,56-54,3,N. Mirotic makes 3-pt shot from 22 ft (assist by D. Valentine)
0:56.0,S. Ibaka misses 3-pt shot from 25 ft,,56-54,,
0:56.0,,,56-54,,Defensive rebound by Team
0:56.0,,,56-54,,B. Portis enters the game for L. Markkanen
0:50.0,,,56-57,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
0:29.0,N. Powell misses 3-pt shot from 23 ft,,56-57,,
0:29.0,,,56-57,,Defensive rebound by B. Portis
0:10.0,,,56-59,2,J. Grant makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:55.0,,,56-59,,Turnover by D. Valentine (out of bounds lost ball)
11:41.0,S. Ibaka makes 2-pt shot from 4 ft (assist by D. DeRozan),2,58-59,,
11:23.0,,,58-59,,D. Valentine misses 3-pt shot from 26 ft
11:18.0,Defensive rebound by K. Lowry,,58-59,,
11:09.0,O. Anunoby makes 2-pt shot from 2 ft (assist by S. Ibaka),2,60-59,,
11:09.0,Shooting foul by R. Lopez (drawn by O. Anunoby),,60-59,,
11:09.0,O. Anunoby makes free throw 1 of 1,1,61-59,,
10:55.0,,,61-59,,J. Holiday misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by S. Ibaka,,61-59,,
10:47.0,K. Lowry misses 2-pt shot from 8 ft,,61-59,,
10:47.0,,,61-59,,Defensive rebound by J. Holiday
10:36.0,,,61-61,2,D. Valentine makes 2-pt shot from 10 ft
10:17.0,J. Valanciunas misses 2-pt shot from 11 ft,,61-61,,
10:14.0,,,61-61,,Defensive rebound by K. Dunn
10:09.0,,,61-63,2,K. Dunn makes 2-pt shot from 22 ft
9:56.0,D. DeRozan misses 2-pt shot from 6 ft,,61-63,,
9:54.0,,,61-63,,Defensive rebound by L. Markkanen
9:50.0,,,61-63,,J. Holiday misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by J. Valanciunas,,61-63,,
9:35.0,,,61-63,,Personal foul by D. Valentine (drawn by D. DeRozan)
9:26.0,D. DeRozan makes 2-pt shot from 14 ft,2,63-63,,
9:26.0,Shooting foul by K. Dunn (drawn by D. DeRozan),,63-63,,
9:26.0,D. DeRozan makes free throw 1 of 1,1,64-63,,
9:11.0,,,64-63,,Shooting foul by D. DeRozan (drawn by J. Holiday)
9:11.0,,,64-64,1,J. Holiday makes free throw 1 of 3
9:11.0,,,64-65,1,J. Holiday makes free throw 2 of 3
9:11.0,,,64-66,1,J. Holiday makes free throw 3 of 3
8:58.0,O. Anunoby misses 3-pt shot from 25 ft,,64-66,,
8:54.0,,,64-66,,Defensive rebound by K. Dunn
8:45.0,,,64-66,,K. Dunn misses 2-pt shot from 18 ft
8:42.0,Defensive rebound by O. Anunoby,,64-66,,
8:40.0,Turnover by K. Lowry (bad pass),,64-66,,
8:25.0,,,64-66,,K. Dunn misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by D. DeRozan,,64-66,,
8:17.0,D. DeRozan makes 3-pt shot from 25 ft,3,67-66,,
7:58.0,,,67-68,2,J. Holiday makes 2-pt shot from 13 ft (assist by R. Lopez)
7:46.0,D. DeRozan misses 2-pt shot from 17 ft,,67-68,,
7:43.0,,,67-68,,Defensive rebound by L. Markkanen
7:36.0,,,67-70,2,R. Lopez makes 2-pt shot from 15 ft (assist by K. Dunn)
7:18.0,K. Lowry misses 3-pt shot from 23 ft,,67-70,,
7:14.0,,,67-70,,Defensive rebound by K. Dunn
7:14.0,Personal foul by D. DeRozan (drawn by K. Dunn),,67-70,,
7:14.0,D. Wright enters the game for O. Anunoby,,67-70,,
7:06.0,,,67-70,,R. Lopez misses 2-pt shot from 17 ft
7:04.0,Defensive rebound by S. Ibaka,,67-70,,
7:01.0,Shooting foul by K. Dunn (drawn by K. Lowry),,67-70,,
7:01.0,K. Lowry makes free throw 1 of 2,1,68-70,,
7:01.0,,,68-70,,J. Grant enters the game for K. Dunn
7:01.0,K. Lowry makes free throw 2 of 2,1,69-70,,
6:43.0,,,69-70,,D. Valentine misses 2-pt shot from 5 ft (block by J. Valanciunas)
6:43.0,,,69-70,,Offensive rebound by Team
6:43.0,,,69-70,,Chicago full timeout
6:39.0,,,69-70,,R. Lopez misses 2-pt shot from 20 ft
6:36.0,,,69-70,,Offensive rebound by D. Valentine
6:28.0,,,69-70,,J. Grant misses 2-pt shot from 14 ft (block by D. Wright)
6:28.0,,,69-70,,Offensive rebound by J. Holiday
6:20.0,,,69-70,,L. Markkanen misses 2-pt shot from 4 ft (block by S. Ibaka)
6:20.0,,,69-70,,Offensive rebound by L. Markkanen
6:15.0,,,69-72,2,L. Markkanen makes 2-pt shot from 8 ft
6:08.0,Offensive foul by S. Ibaka (drawn by J. Grant),,69-72,,
6:08.0,Turnover by S. Ibaka (offensive foul),,69-72,,
5:54.0,,,69-72,,D. Valentine misses 2-pt shot from 14 ft
5:54.0,Defensive rebound by S. Ibaka,,69-72,,
5:43.0,,,69-72,,Personal foul by D. Valentine (drawn by D. DeRozan)
5:43.0,D. DeRozan makes free throw 1 of 2,1,70-72,,
5:43.0,D. DeRozan makes free throw 2 of 2,1,71-72,,
5:30.0,,,71-72,,Turnover by R. Lopez (turnover)
5:17.0,K. Lowry misses 2-pt shot from 22 ft,,71-72,,
5:15.0,,,71-72,,Defensive rebound by L. Markkanen
5:08.0,,,71-74,2,L. Markkanen makes 2-pt shot from 3 ft
4:56.0,K. Lowry misses 2-pt shot from 20 ft,,71-74,,
4:55.0,,,71-74,,Defensive rebound by J. Holiday
4:52.0,,,71-77,3,D. Valentine makes 3-pt shot from 25 ft (assist by J. Grant)
4:47.0,Toronto full timeout,,71-77,,
4:47.0,,,71-77,,N. Mirotic enters the game for R. Lopez
4:47.0,,,71-77,,D. Nwaba enters the game for D. Valentine
4:47.0,J. Poeltl enters the game for J. Valanciunas,,71-77,,
4:34.0,K. Lowry misses 3-pt shot from 22 ft,,71-77,,
4:30.0,,,71-77,,Defensive rebound by J. Grant
4:18.0,,,71-80,3,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Holiday)
4:01.0,J. Poeltl makes 2-pt shot from 2 ft (assist by K. Lowry),2,73-80,,
3:38.0,,,73-80,,J. Grant misses 2-pt shot from 2 ft (block by S. Ibaka)
3:36.0,Defensive rebound by D. Wright,,73-80,,
3:36.0,Shooting foul by D. Nwaba (drawn by D. DeRozan),,73-80,,
3:36.0,D. DeRozan makes free throw 1 of 2,1,74-80,,
3:36.0,D. DeRozan makes free throw 2 of 2,1,75-80,,
3:29.0,,,75-82,2,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Grant)
3:29.0,,,75-82,,Shooting foul by J. Poeltl (drawn by N. Mirotic)
3:29.0,,,75-82,,N. Mirotic misses free throw 1 of 1
3:26.0,Defensive rebound by S. Ibaka,,75-82,,
3:18.0,D. DeRozan makes 2-pt shot from 17 ft,2,77-82,,
2:54.0,,,77-82,,N. Mirotic misses 2-pt shot from 20 ft
2:52.0,Defensive rebound by S. Ibaka,,77-82,,
2:46.0,D. DeRozan makes 2-pt shot from 5 ft,2,79-82,,
2:46.0,Shooting foul by J. Holiday (drawn by D. DeRozan),,79-82,,
2:46.0,F. VanVleet enters the game for K. Lowry,,79-82,,
2:46.0,C. Miles enters the game for S. Ibaka,,79-82,,
2:46.0,D. DeRozan makes free throw 1 of 1,1,80-82,,
2:29.0,,,80-82,,Turnover by L. Markkanen (lost ball; steal by D. Wright)
2:17.0,D. Wright misses 2-pt shot from 5 ft,,80-82,,
2:15.0,,,80-82,,Defensive rebound by L. Markkanen
1:57.0,,,80-82,,L. Markkanen misses 3-pt shot from 22 ft
1:55.0,Defensive rebound by C. Miles,,80-82,,
1:51.0,D. DeRozan makes 3-pt shot from 25 ft (assist by F. VanVleet),3,83-82,,
1:35.0,Personal foul by C. Miles (drawn by L. Markkanen),,83-82,,
1:35.0,,,83-82,,B. Portis enters the game for L. Markkanen
1:28.0,,,83-82,,N. Mirotic misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by D. Wright,,83-82,,
1:19.0,D. Wright makes 2-pt shot from 1 ft,2,85-82,,
1:04.0,,,85-84,2,J. Grant makes 2-pt shot from 2 ft
0:51.0,D. DeRozan misses 2-pt shot from 15 ft,,85-84,,
0:48.0,,,85-84,,Defensive rebound by D. Nwaba
0:43.0,,,85-84,,B. Portis misses 2-pt shot from 15 ft
0:40.0,Defensive rebound by D. Wright,,85-84,,
0:34.0,F. VanVleet makes 2-pt shot from 2 ft,2,87-84,,
0:30.0,,,87-84,,Shooting foul by J. Poeltl (drawn by J. Grant)
0:30.0,,,87-85,1,J. Grant makes free throw 1 of 2
0:30.0,,,87-85,,J. Grant misses free throw 2 of 2
0:28.0,,,87-85,,Offensive rebound by N. Mirotic
0:28.0,,,87-87,2,N. Mirotic makes 2-pt shot at rim
0:19.0,C. Miles makes 3-pt shot from 27 ft (assist by D. DeRozan),3,90-87,,
0:02.0,,,90-90,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
0:00.0,C. Miles misses 3-pt shot from 43 ft,,90-90,,
0:00.0,Offensive rebound by Team,,90-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,F. VanVleet misses 2-pt shot from 1 ft,,90-90,,
11:34.0,,,90-90,,Defensive rebound by B. Portis
11:16.0,,,90-90,,Shooting foul by P. Siakam (drawn by J. Grant)
11:16.0,,,90-91,1,J. Grant makes free throw 1 of 2
11:16.0,,,90-92,1,J. Grant makes free throw 2 of 2
10:55.0,C. Miles misses 3-pt shot from 25 ft,,90-92,,
10:51.0,,,90-92,,Defensive rebound by N. Mirotic
10:46.0,,,90-92,,D. Nwaba misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by P. Siakam,,90-92,,
10:30.0,D. Wright makes 3-pt shot from 23 ft (assist by J. Poeltl),3,93-92,,
10:13.0,,,93-92,,B. Portis misses 2-pt shot from 21 ft
10:09.0,,,93-92,,Offensive rebound by D. Nwaba
9:57.0,,,93-92,,N. Mirotic misses 2-pt shot from 11 ft
9:56.0,Defensive rebound by D. Wright,,93-92,,
9:56.0,,,93-92,,Personal foul by N. Mirotic (drawn by D. Wright)
9:46.0,C. Miles misses 3-pt shot from 24 ft,,93-92,,
9:42.0,Offensive rebound by P. Siakam,,93-92,,
9:41.0,P. Siakam makes 2-pt shot from 2 ft,2,95-92,,
9:20.0,,,95-92,,N. Mirotic misses 2-pt shot from 11 ft
9:17.0,Defensive rebound by F. VanVleet,,95-92,,
9:03.0,J. Poeltl misses 2-pt shot from 1 ft (block by N. Mirotic),,95-92,,
8:59.0,,,95-92,,Defensive rebound by B. Portis
8:49.0,,,95-92,,B. Portis misses 2-pt shot from 3 ft
8:46.0,Defensive rebound by D. Wright,,95-92,,
8:42.0,D. Wright makes 2-pt shot from 1 ft,2,97-92,,
8:42.0,,,97-92,,Chicago full timeout
8:42.0,,,97-92,,R. Lopez enters the game for J. Grant
8:42.0,,,97-92,,D. Valentine enters the game for B. Portis
8:42.0,,,97-92,,J. Holiday enters the game for D. Nwaba
8:42.0,,,97-92,,K. Dunn enters the game for P. Zipser
8:19.0,,,97-92,,Turnover by K. Dunn (bad pass; steal by D. Wright)
8:13.0,P. Siakam makes 2-pt shot from 2 ft (assist by D. Wright),2,99-92,,
8:00.0,,,99-94,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Lopez)
7:37.0,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam),2,101-94,,
7:26.0,,,101-94,,N. Mirotic misses 3-pt shot from 28 ft
7:23.0,Defensive rebound by D. Wright,,101-94,,
7:11.0,Shooting foul by D. Valentine (drawn by F. VanVleet),,101-94,,
7:11.0,F. VanVleet makes free throw 1 of 2,1,102-94,,
7:11.0,,,102-94,,L. Markkanen enters the game for N. Mirotic
7:11.0,K. Lowry enters the game for C. Miles,,102-94,,
7:11.0,F. VanVleet makes free throw 2 of 2,1,103-94,,
6:48.0,,,103-94,,L. Markkanen misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by D. Wright,,103-94,,
6:39.0,K. Lowry makes 3-pt shot from 24 ft (assist by P. Siakam),3,106-94,,
6:39.0,,,106-94,,Chicago full timeout
6:11.0,,,106-96,2,L. Markkanen makes 2-pt shot from 6 ft (assist by J. Holiday)
5:56.0,K. Lowry misses 3-pt shot from 25 ft,,106-96,,
5:52.0,,,106-96,,Defensive rebound by L. Markkanen
5:46.0,,,106-96,,Shooting foul by K. Lowry (drawn by R. Lopez)
5:46.0,,,106-97,1,R. Lopez makes free throw 1 of 2
5:46.0,S. Ibaka enters the game for F. VanVleet,,106-97,,
5:46.0,D. DeRozan enters the game for P. Siakam,,106-97,,
5:46.0,,,106-98,1,R. Lopez makes free throw 2 of 2
5:30.0,S. Ibaka makes 2-pt shot from 22 ft (assist by D. Wright),2,108-98,,
5:14.0,,,108-98,,L. Markkanen misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by D. DeRozan,,108-98,,
5:03.0,D. DeRozan makes 2-pt shot from 2 ft,2,110-98,,
4:53.0,,,110-98,,Turnover by D. Valentine (lost ball; steal by K. Lowry)
4:35.0,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry),3,113-98,,
4:33.0,,,113-98,,Chicago full timeout
