time,San Antonio,pts.away,score,pts.home,Boston
1:25.0,P. Mills makes 3-pt shot from 23 ft (assist by D. Green),3,49-46,,
1:13.0,,,49-48,2,J. Brown makes 2-pt shot at rim (assist by K. Irving)
1:01.0,P. Mills misses 2-pt shot from 17 ft,,49-48,,
0:58.0,,,49-48,,Defensive rebound by A. Horford
0:49.0,,,49-50,2,M. Smart makes 2-pt shot from 1 ft
0:49.0,,,49-50,,Shooting foul by D. Green (drawn by M. Smart)
0:49.0,,,49-51,1,M. Smart makes free throw 1 of 1
0:41.0,Shooting foul by K. Irving (drawn by L. Aldridge),,49-51,,
0:41.0,L. Aldridge misses free throw 1 of 2,,49-51,,
0:41.0,Offensive rebound by Team,,49-51,,
0:41.0,B. Paul enters the game for R. Gay,,49-51,,
0:41.0,D. Murray enters the game for K. Anderson,,49-51,,
0:41.0,L. Aldridge misses free throw 2 of 2,,49-51,,
0:39.0,,,49-51,,Defensive rebound by A. Horford
0:28.0,,,49-53,2,K. Irving makes 2-pt shot from 4 ft
0:28.0,,,49-53,,Shooting foul by D. Murray (drawn by K. Irving)
0:28.0,,,49-53,,S. Ojeleye enters the game for J. Brown
0:28.0,,,49-53,,T. Rozier enters the game for M. Smart
0:28.0,,,49-54,1,K. Irving makes free throw 1 of 1
0:10.0,D. Murray misses 2-pt shot from 6 ft,,49-54,,
0:08.0,,,49-54,,Defensive rebound by K. Irving
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,49-57,3,K. Irving makes 3-pt shot from 25 ft (assist by J. Tatum)
11:19.0,P. Gasol misses 2-pt shot from 20 ft,,49-57,,
11:16.0,,,49-57,,Defensive rebound by A. Horford
10:53.0,,,49-57,,J. Tatum misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by P. Gasol,,49-57,,
10:43.0,L. Aldridge misses 2-pt shot from 22 ft,,49-57,,
10:40.0,,,49-57,,Defensive rebound by J. Tatum
10:32.0,,,49-59,2,A. Horford makes 2-pt shot from 10 ft
10:04.0,D. Murray makes 2-pt shot from 6 ft (assist by K. Anderson),2,51-59,,
9:55.0,,,51-62,3,K. Irving makes 3-pt shot from 25 ft (assist by J. Brown)
9:33.0,D. Murray misses 2-pt shot from 14 ft,,51-62,,
9:31.0,,,51-62,,Defensive rebound by J. Tatum
9:29.0,,,51-62,,Turnover by J. Tatum (bad pass; steal by D. Green)
9:28.0,,,51-62,,Personal foul by J. Tatum (drawn by D. Green)
9:20.0,Turnover by D. Murray (lost ball; steal by A. Horford),,51-62,,
9:16.0,,,51-64,2,K. Irving makes 2-pt shot at rim (assist by A. Baynes)
9:14.0,San Antonio full timeout,,51-64,,
8:55.0,L. Aldridge misses 2-pt shot from 12 ft,,51-64,,
8:51.0,,,51-64,,Defensive rebound by J. Tatum
8:40.0,,,51-64,,J. Brown misses 3-pt shot from 23 ft
8:37.0,,,51-64,,Offensive rebound by A. Horford
8:34.0,,,51-64,,A. Baynes misses 2-pt shot from 11 ft
8:32.0,Defensive rebound by D. Green,,51-64,,
8:25.0,Turnover by L. Aldridge (turnover),,51-64,,
8:11.0,,,51-64,,K. Irving misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by K. Anderson,,51-64,,
7:59.0,L. Aldridge misses 2-pt shot from 11 ft,,51-64,,
7:58.0,,,51-64,,Defensive rebound by Team
7:58.0,Loose ball foul by L. Aldridge (drawn by A. Horford),,51-64,,
7:42.0,,,51-64,,J. Brown misses 2-pt shot from 7 ft
7:40.0,,,51-64,,Offensive rebound by A. Horford
7:37.0,,,51-64,,J. Brown misses 3-pt shot from 23 ft
7:35.0,Defensive rebound by K. Anderson,,51-64,,
7:27.0,P. Gasol misses 2-pt shot from 16 ft,,51-64,,
7:24.0,Offensive rebound by L. Aldridge,,51-64,,
7:06.0,P. Gasol makes 2-pt shot from 8 ft,2,53-64,,
6:46.0,,,53-66,2,J. Brown makes 2-pt shot at rim (assist by A. Horford)
6:29.0,,,53-66,,Personal foul by A. Horford (drawn by L. Aldridge)
6:29.0,B. Paul enters the game for D. Murray,,53-66,,
6:29.0,P. Mills enters the game for D. Green,,53-66,,
6:29.0,B. Forbes enters the game for P. Gasol,,53-66,,
6:29.0,R. Gay enters the game for K. Anderson,,53-66,,
6:25.0,P. Mills misses 2-pt shot from 19 ft,,53-66,,
6:21.0,,,53-66,,Defensive rebound by J. Tatum
6:07.0,,,53-66,,K. Irving misses 2-pt shot at rim (block by L. Aldridge)
6:07.0,Defensive rebound by Team,,53-66,,
5:42.0,L. Aldridge misses 3-pt shot from 27 ft,,53-66,,
5:40.0,,,53-66,,Defensive rebound by J. Tatum
5:19.0,,,53-66,,J. Tatum misses 2-pt shot from 17 ft
5:17.0,Defensive rebound by R. Gay,,53-66,,
5:14.0,B. Paul makes 3-pt shot from 23 ft,3,56-66,,
5:14.0,Shooting foul by J. Tatum (drawn by B. Paul),,56-66,,
5:14.0,,,56-66,,M. Smart enters the game for J. Tatum
5:14.0,B. Paul makes free throw 1 of 1,1,57-66,,
5:00.0,,,57-66,,Turnover by J. Brown (traveling)
4:43.0,P. Mills misses 2-pt shot from 19 ft,,57-66,,
4:41.0,,,57-66,,Defensive rebound by A. Baynes
4:22.0,,,57-68,2,A. Baynes makes 2-pt shot from 10 ft
4:03.0,P. Mills misses 3-pt shot from 27 ft,,57-68,,
4:00.0,,,57-68,,Defensive rebound by A. Horford
3:58.0,Personal foul by P. Mills (drawn by K. Irving),,57-68,,
3:58.0,,,57-68,,S. Ojeleye enters the game for A. Horford
3:55.0,,,57-68,,Turnover by A. Baynes (bad pass; steal by L. Aldridge)
3:50.0,B. Paul makes 2-pt shot from 2 ft (assist by P. Mills),2,59-68,,
3:37.0,,,59-68,,M. Smart misses 2-pt shot from 1 ft
3:35.0,,,59-68,,Offensive rebound by A. Baynes
3:35.0,,,59-70,2,A. Baynes makes 2-pt shot from 1 ft
3:19.0,,,59-70,,Personal foul by K. Irving (drawn by R. Gay)
3:19.0,,,59-70,,T. Rozier enters the game for K. Irving
3:19.0,P. Gasol enters the game for L. Aldridge,,59-70,,
3:19.0,,,59-70,,D. Theis enters the game for A. Baynes
3:05.0,R. Gay misses 2-pt shot from 16 ft,,59-70,,
3:02.0,,,59-70,,Defensive rebound by T. Rozier
2:59.0,,,59-70,,Shooting foul by P. Mills (drawn by D. Theis)
2:59.0,,,59-70,,Boston full timeout
2:59.0,,,59-71,1,D. Theis makes free throw 1 of 2
2:59.0,,,59-72,1,D. Theis makes free throw 2 of 2
2:47.0,B. Paul misses 3-pt shot from 26 ft,,59-72,,
2:43.0,,,59-72,,Defensive rebound by D. Theis
2:32.0,,,59-72,,D. Theis misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by P. Gasol,,59-72,,
2:17.0,R. Gay makes 2-pt shot from 8 ft,2,61-72,,
2:04.0,,,61-72,,M. Smart misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by P. Gasol,,61-72,,
1:53.0,P. Mills makes 2-pt shot from 2 ft,2,63-72,,
1:38.0,Personal foul by P. Mills (drawn by J. Brown),,63-72,,
1:27.0,,,63-72,,S. Ojeleye misses 3-pt shot from 23 ft
1:23.0,Defensive rebound by P. Mills,,63-72,,
1:19.0,R. Gay makes 3-pt shot from 22 ft (assist by P. Mills),3,66-72,,
1:02.0,,,66-72,,Shooting foul by B. Paul (drawn by J. Brown)
1:02.0,,,66-73,1,J. Brown makes free throw 1 of 2
1:02.0,D. Green enters the game for B. Paul,,66-73,,
1:02.0,,,66-74,1,J. Brown makes free throw 2 of 2
0:42.0,R. Gay misses 2-pt shot from 10 ft,,66-74,,
0:39.0,,,66-74,,Defensive rebound by D. Theis
0:32.0,,,66-77,3,J. Brown makes 3-pt shot from 26 ft (assist by M. Smart)
0:08.0,D. Green misses 3-pt shot from 22 ft,,66-77,,
0:07.0,Offensive rebound by Team,,66-77,,
0:07.0,,,66-77,,Loose ball foul by M. Smart (drawn by P. Gasol)
0:07.0,P. Gasol makes free throw 1 of 2,1,67-77,,
0:07.0,,,67-77,,K. Irving enters the game for D. Theis
0:07.0,,,67-77,,A. Horford enters the game for S. Ojeleye
0:07.0,K. Anderson enters the game for B. Forbes,,67-77,,
0:07.0,B. Paul enters the game for R. Gay,,67-77,,
0:07.0,P. Gasol misses free throw 2 of 2,,67-77,,
0:05.0,,,67-77,,Defensive rebound by A. Horford
0:00.0,,,67-80,3,M. Smart makes 3-pt shot from 25 ft (assist by K. Irving)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,P. Gasol makes 2-pt shot from 3 ft (assist by P. Mills),2,69-80,,
11:29.0,,,69-80,,T. Rozier misses 2-pt shot from 11 ft
11:29.0,,,69-80,,Offensive rebound by T. Rozier
11:18.0,,,69-80,,T. Rozier misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by P. Gasol,,69-80,,
11:12.0,P. Mills misses 3-pt shot from 27 ft,,69-80,,
11:12.0,Offensive rebound by Team,,69-80,,
11:11.0,,,69-80,,Loose ball foul by S. Ojeleye (drawn by R. Gay)
11:01.0,Shooting foul by M. Smart (drawn by D. Green),,69-80,,
11:01.0,D. Green makes free throw 1 of 2,1,70-80,,
11:01.0,D. Murray enters the game for P. Mills,,70-80,,
11:01.0,D. Green misses free throw 2 of 2,,70-80,,
10:59.0,,,70-80,,Defensive rebound by J. Tatum
10:47.0,,,70-82,2,T. Rozier makes 2-pt shot from 16 ft (assist by M. Smart)
10:21.0,D. Green misses 2-pt shot from 5 ft,,70-82,,
10:21.0,P. Gasol misses 2-pt shot from 2 ft,,70-82,,
10:21.0,,,70-82,,Defensive rebound by S. Ojeleye
10:17.0,Defensive rebound by P. Gasol,,70-82,,
10:09.0,,,70-82,,Offensive foul by D. Theis (drawn by B. Paul)
10:09.0,,,70-82,,Turnover by D. Theis (offensive foul)
9:50.0,B. Paul makes 3-pt shot from 27 ft (assist by P. Gasol),3,73-82,,
9:28.0,,,73-85,3,J. Tatum makes 3-pt shot from 26 ft (assist by M. Smart)
9:02.0,R. Gay misses 2-pt shot from 2 ft (block by D. Theis),,73-85,,
9:02.0,Offensive rebound by Team,,73-85,,
9:01.0,Shooting foul by D. Theis (drawn by P. Gasol),,73-85,,
9:01.0,P. Gasol makes free throw 1 of 2,1,74-85,,
9:01.0,K. Anderson enters the game for R. Gay,,74-85,,
9:01.0,P. Gasol misses free throw 2 of 2,,74-85,,
8:58.0,,,74-85,,Defensive rebound by D. Theis
8:46.0,,,74-88,3,T. Rozier makes 3-pt shot from 25 ft (assist by M. Smart)
