time,Oklahoma City,pts.away,score,pts.home,Boston
4:09.0,,,14-11,,Defensive rebound by S. Ojeleye
4:07.0,,,14-11,,Shooting foul by C. Brewer (drawn by S. Ojeleye)
4:07.0,,,14-12,1,S. Ojeleye makes free throw 1 of 2
4:07.0,T. Ferguson enters the game for C. Brewer,,14-12,,
4:07.0,,,14-13,1,S. Ojeleye makes free throw 2 of 2
3:58.0,Shooting foul by M. Morris (drawn by S. Adams),,14-13,,
3:58.0,S. Adams makes free throw 1 of 2,1,15-13,,
3:58.0,S. Adams makes free throw 2 of 2,1,16-13,,
3:43.0,,,16-13,,Turnover by G. Monroe (bad pass; steal by P. George)
3:33.0,P. George misses 2-pt shot from 20 ft,,16-13,,
3:30.0,,,16-13,,Defensive rebound by A. Nader
3:21.0,,,16-13,,Turnover by A. Nader (bad pass)
3:17.0,T. Ferguson misses 2-pt shot from 1 ft (block by G. Monroe),,16-13,,
3:12.0,,,16-13,,Defensive rebound by T. Rozier
3:11.0,,,16-13,,T. Rozier misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by R. Westbrook,,16-13,,
3:01.0,R. Westbrook makes 2-pt shot from 2 ft,2,18-13,,
2:35.0,,,18-13,,A. Nader misses 3-pt shot from 24 ft
2:34.0,,,18-13,,Offensive rebound by Team
2:34.0,,,18-13,,Turnover by Team (shot clock)
2:34.0,P. Patterson enters the game for S. Adams,,18-13,,
2:34.0,Oklahoma City full timeout,,18-13,,
2:24.0,P. George misses 2-pt shot from 3 ft,,18-13,,
2:24.0,Offensive rebound by Team,,18-13,,
2:24.0,,,18-13,,Loose ball foul by T. Rozier (drawn by P. Patterson)
2:24.0,P. Patterson makes free throw 1 of 2,1,19-13,,
2:24.0,R. Felton enters the game for R. Westbrook,,19-13,,
2:24.0,P. Patterson makes free throw 2 of 2,1,20-13,,
2:07.0,,,20-13,,G. Monroe misses 2-pt shot from 6 ft
2:05.0,Defensive rebound by C. Anthony,,20-13,,
2:02.0,P. George makes 2-pt shot from 2 ft (assist by C. Anthony),2,22-13,,
2:02.0,Shooting foul by A. Nader (drawn by P. George),,22-13,,
2:02.0,,,22-13,,J. Tatum enters the game for T. Rozier
2:02.0,,,22-13,,S. Larkin enters the game for M. Morris
2:02.0,J. Grant enters the game for C. Anthony,,22-13,,
2:02.0,P. George makes free throw 1 of 1,1,23-13,,
1:44.0,,,23-13,,J. Tatum misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by P. George,,23-13,,
1:32.0,P. George misses 2-pt shot from 2 ft,,23-13,,
1:31.0,,,23-13,,Defensive rebound by J. Tatum
1:17.0,,,23-16,3,J. Tatum makes 3-pt shot from 22 ft (assist by A. Nader)
1:00.0,P. George makes 3-pt shot from 26 ft (assist by J. Grant),3,26-16,,
0:45.0,,,26-16,,A. Nader misses 3-pt shot from 26 ft
0:43.0,Defensive rebound by P. George,,26-16,,
0:35.0,P. George misses 3-pt shot from 25 ft,,26-16,,
0:34.0,,,26-16,,Defensive rebound by S. Larkin
0:28.0,,,26-18,2,S. Larkin makes 2-pt shot from 14 ft
0:05.0,R. Felton misses 2-pt shot from 12 ft,,26-18,,
0:02.0,,,26-18,,Defensive rebound by S. Ojeleye
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-18,,S. Larkin misses 3-pt shot from 23 ft
11:38.0,,,26-18,,Offensive rebound by S. Ojeleye
11:37.0,,,26-18,,J. Tatum misses 3-pt shot from 24 ft
11:34.0,,,26-18,,Offensive rebound by S. Larkin
11:24.0,,,26-18,,A. Nader misses 2-pt shot from 6 ft
11:23.0,,,26-18,,Offensive rebound by G. Monroe
11:22.0,,,26-20,2,G. Monroe makes 2-pt shot at rim
11:10.0,,,26-20,,Personal foul by A. Nader (drawn by J. Grant)
11:00.0,J. Grant makes 2-pt shot from 3 ft (assist by P. George),2,28-20,,
10:40.0,,,28-20,,A. Nader misses 2-pt shot from 3 ft
10:37.0,Defensive rebound by J. Grant,,28-20,,
10:26.0,T. Ferguson misses 3-pt shot from 22 ft (block by J. Tatum),,28-20,,
10:23.0,,,28-20,,Defensive rebound by A. Nader
10:13.0,,,28-20,,G. Monroe misses 2-pt shot from 7 ft
10:10.0,,,28-20,,Offensive rebound by A. Nader
10:02.0,,,28-20,,J. Tatum misses 2-pt shot from 12 ft
10:01.0,,,28-20,,G. Monroe misses 2-pt shot at rim
10:01.0,,,28-20,,Offensive rebound by G. Monroe
10:00.0,,,28-20,,Offensive rebound by G. Monroe
10:00.0,,,28-22,2,G. Monroe makes 2-pt shot at rim
10:00.0,Oklahoma City full timeout,,28-22,,
10:00.0,,,28-22,,A. Horford enters the game for S. Ojeleye
9:50.0,,,28-22,,Personal foul by J. Tatum (drawn by J. Grant)
9:42.0,P. George misses 2-pt shot from 17 ft,,28-22,,
9:40.0,Offensive rebound by J. Grant,,28-22,,
9:39.0,J. Grant makes 2-pt shot from 2 ft,2,30-22,,
9:20.0,,,30-25,3,A. Nader makes 3-pt shot from 22 ft (assist by J. Tatum)
9:08.0,Turnover by P. George (bad pass; steal by J. Tatum),,30-25,,
9:01.0,,,30-25,,J. Tatum misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by P. George,,30-25,,
8:59.0,Offensive foul by P. George (drawn by S. Larkin),,30-25,,
8:59.0,Turnover by P. George (offensive foul),,30-25,,
8:59.0,A. Abrines enters the game for R. Felton,,30-25,,
8:59.0,R. Westbrook enters the game for P. George,,30-25,,
8:46.0,,,30-25,,G. Monroe misses 2-pt shot from 2 ft (block by J. Grant)
8:45.0,,,30-25,,Offensive rebound by G. Monroe
8:43.0,,,30-25,,Shooting foul by P. Patterson (drawn by G. Monroe)
8:43.0,,,30-26,1,G. Monroe makes free throw 1 of 2
8:43.0,S. Adams enters the game for J. Grant,,30-26,,
8:43.0,C. Brewer enters the game for T. Ferguson,,30-26,,
8:43.0,,,30-27,1,G. Monroe makes free throw 2 of 2
8:26.0,R. Westbrook misses 2-pt shot from 11 ft,,30-27,,
8:24.0,,,30-27,,Defensive rebound by A. Horford
8:16.0,,,30-27,,Turnover by A. Nader (step out of bounds)
8:06.0,A. Abrines misses 2-pt shot from 23 ft,,30-27,,
8:05.0,,,30-27,,Defensive rebound by S. Larkin
7:53.0,,,30-27,,A. Nader misses 3-pt shot from 23 ft
7:52.0,Defensive rebound by S. Adams,,30-27,,
7:49.0,,,30-27,,Violation by J. Tatum (kicked ball)
7:49.0,,,30-27,,S. Ojeleye enters the game for G. Monroe
7:41.0,C. Brewer makes 2-pt shot from 2 ft (assist by R. Westbrook),2,32-27,,
7:21.0,,,32-29,2,J. Tatum makes 2-pt shot from 17 ft (assist by A. Horford)
7:02.0,S. Adams misses 2-pt shot from 8 ft,,32-29,,
7:00.0,,,32-29,,Defensive rebound by Team
6:36.0,,,32-29,,Turnover by Team (shot clock)
6:36.0,C. Anthony enters the game for P. Patterson,,32-29,,
6:28.0,Turnover by R. Westbrook (lost ball; steal by A. Nader),,32-29,,
6:22.0,,,32-29,,Shooting foul by A. Abrines (drawn by J. Tatum)
6:22.0,,,32-30,1,J. Tatum makes free throw 1 of 2
6:22.0,,,32-30,,T. Rozier enters the game for A. Nader
6:22.0,,,32-31,1,J. Tatum makes free throw 2 of 2
6:09.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,34-31,,
5:48.0,,,34-33,2,J. Tatum makes 2-pt shot at rim (assist by A. Horford)
5:28.0,C. Anthony makes 2-pt shot from 11 ft,2,36-33,,
5:09.0,,,36-33,,S. Ojeleye misses 3-pt shot from 22 ft
5:07.0,,,36-33,,Offensive rebound by J. Tatum
5:03.0,,,36-33,,S. Ojeleye misses 3-pt shot from 23 ft
4:59.0,,,36-33,,Offensive rebound by J. Tatum
4:56.0,,,36-33,,Shooting foul by A. Abrines (drawn by T. Rozier)
4:56.0,,,36-33,,T. Rozier misses free throw 1 of 2
4:56.0,,,36-33,,Offensive rebound by Team
4:56.0,,,36-33,,M. Morris enters the game for J. Tatum
4:56.0,P. George enters the game for A. Abrines,,36-33,,
4:56.0,,,36-34,1,T. Rozier makes free throw 2 of 2
4:36.0,C. Anthony misses 2-pt shot from 16 ft,,36-34,,
4:34.0,,,36-34,,Defensive rebound by T. Rozier
4:30.0,,,36-37,3,T. Rozier makes 3-pt shot from 25 ft
4:20.0,P. George misses 3-pt shot from 22 ft,,36-37,,
4:17.0,,,36-37,,Defensive rebound by A. Horford
4:14.0,,,36-37,,Turnover by M. Morris (traveling)
4:02.0,Turnover by R. Westbrook (bad pass; steal by T. Rozier),,36-37,,
3:58.0,,,36-39,2,T. Rozier makes 2-pt shot at rim
3:41.0,C. Brewer misses 3-pt shot from 22 ft,,36-39,,
3:38.0,,,36-39,,Defensive rebound by M. Morris
3:31.0,,,36-41,2,T. Rozier makes 2-pt shot at rim
3:21.0,R. Westbrook makes 2-pt shot at rim,2,38-41,,
3:08.0,,,38-41,,Turnover by A. Horford (bad pass; steal by C. Brewer)
3:05.0,C. Brewer makes 2-pt shot from 1 ft,2,40-41,,
3:05.0,,,40-41,,Boston full timeout
2:52.0,,,40-41,,Turnover by S. Larkin (bad pass; steal by C. Brewer)
2:41.0,P. George makes 3-pt shot from 25 ft (assist by C. Brewer),3,43-41,,
2:16.0,,,43-41,,T. Rozier misses 2-pt shot from 20 ft
2:14.0,Defensive rebound by P. George,,43-41,,
2:01.0,P. George misses 2-pt shot from 20 ft,,43-41,,
1:58.0,,,43-41,,Defensive rebound by S. Ojeleye
1:49.0,,,43-43,2,M. Morris makes 2-pt shot from 18 ft
1:19.0,R. Westbrook makes 3-pt shot from 26 ft (assist by C. Anthony),3,46-43,,
0:53.0,,,46-45,2,M. Morris makes 2-pt shot from 11 ft (assist by S. Larkin)
0:47.0,Turnover by P. George (out of bounds lost ball),,46-45,,
0:47.0,,,46-45,,G. Monroe enters the game for S. Larkin
0:47.0,,,46-45,,J. Tatum enters the game for S. Ojeleye
0:33.0,,,46-45,,Turnover by T. Rozier (lost ball; steal by R. Westbrook)
0:29.0,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook),2,48-45,,
0:13.0,,,48-45,,M. Morris misses 3-pt shot from 25 ft
0:11.0,Defensive rebound by C. Anthony,,48-45,,
0:02.0,Turnover by R. Westbrook (bad pass; steal by M. Morris),,48-45,,
0:00.0,,,48-45,,M. Morris misses 3-pt shot from 26 ft
0:00.0,,,48-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,48-47,2,M. Morris makes 2-pt shot from 22 ft
11:27.0,C. Anthony makes 2-pt shot from 19 ft (assist by R. Westbrook),2,50-47,,
11:15.0,,,50-50,3,A. Horford makes 3-pt shot from 26 ft (assist by J. Tatum)
11:08.0,Turnover by C. Anthony (bad pass; steal by T. Rozier),,50-50,,
11:04.0,,,50-50,,T. Rozier misses 3-pt shot from 22 ft
11:02.0,,,50-50,,Offensive rebound by T. Rozier
11:00.0,,,50-50,,Turnover by T. Rozier (step out of bounds)
10:47.0,R. Westbrook misses 2-pt shot from 12 ft,,50-50,,
10:46.0,Offensive rebound by S. Adams,,50-50,,
10:46.0,Shooting foul by A. Baynes (drawn by S. Adams),,50-50,,
10:46.0,S. Adams makes free throw 1 of 2,1,51-50,,
10:46.0,S. Adams misses free throw 2 of 2,,51-50,,
10:43.0,,,51-50,,Defensive rebound by M. Morris
10:24.0,,,51-52,2,J. Tatum makes 2-pt shot from 2 ft
10:13.0,Shooting foul by J. Tatum (drawn by S. Adams),,51-52,,
10:13.0,S. Adams misses free throw 1 of 2,,51-52,,
10:13.0,Offensive rebound by Team,,51-52,,
10:13.0,S. Adams misses free throw 2 of 2,,51-52,,
10:13.0,,,51-52,,Defensive rebound by A. Baynes
9:53.0,,,51-52,,A. Horford misses 2-pt shot from 2 ft
9:49.0,Defensive rebound by P. George,,51-52,,
9:39.0,C. Anthony misses 3-pt shot from 25 ft,,51-52,,
9:36.0,,,51-52,,Defensive rebound by A. Horford
9:27.0,,,51-52,,Turnover by A. Horford (bad pass; steal by C. Anthony)
9:25.0,Shooting foul by T. Rozier (drawn by R. Westbrook),,51-52,,
9:25.0,R. Westbrook makes free throw 1 of 2,1,52-52,,
9:25.0,R. Westbrook misses free throw 2 of 2,,52-52,,
9:24.0,,,52-52,,Defensive rebound by Team
9:24.0,Loose ball foul by P. George (drawn by A. Horford),,52-52,,
9:06.0,,,52-54,2,A. Horford makes 2-pt shot from 22 ft (assist by T. Rozier)
9:06.0,Oklahoma City full timeout,,52-54,,
8:46.0,C. Brewer misses 2-pt shot from 4 ft,,52-54,,
8:43.0,,,52-54,,Defensive rebound by T. Rozier
8:24.0,,,52-57,3,J. Tatum makes 3-pt shot from 26 ft (assist by T. Rozier)
8:03.0,C. Anthony misses 2-pt shot from 12 ft,,52-57,,
8:01.0,,,52-57,,Defensive rebound by M. Morris
7:55.0,,,52-57,,Offensive foul by A. Baynes (drawn by C. Anthony)
7:55.0,,,52-57,,Turnover by A. Baynes (offensive foul)
7:44.0,P. George misses 3-pt shot from 26 ft,,52-57,,
7:37.0,Offensive rebound by P. George,,52-57,,
7:33.0,R. Westbrook makes 2-pt shot from 1 ft,2,54-57,,
7:33.0,Shooting foul by A. Baynes (drawn by R. Westbrook),,54-57,,
7:33.0,R. Westbrook misses free throw 1 of 1,,54-57,,
7:33.0,Offensive rebound by R. Westbrook,,54-57,,
7:31.0,R. Westbrook misses 2-pt shot from 1 ft,,54-57,,
7:30.0,,,54-57,,Defensive rebound by A. Baynes
7:25.0,,,54-57,,Turnover by T. Rozier (bad pass)
7:15.0,R. Westbrook misses 2-pt shot from 16 ft,,54-57,,
7:13.0,,,54-57,,Defensive rebound by T. Rozier
6:56.0,,,54-57,,T. Rozier misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by P. George,,54-57,,
6:48.0,C. Brewer misses 2-pt shot from 2 ft (block by A. Horford),,54-57,,
6:45.0,,,54-57,,Defensive rebound by A. Baynes
6:32.0,,,54-57,,A. Baynes misses 2-pt shot from 2 ft
6:30.0,Defensive rebound by P. George,,54-57,,
6:21.0,P. George makes 3-pt shot from 25 ft (assist by C. Brewer),3,57-57,,
6:00.0,,,57-57,,Shooting foul by C. Brewer (drawn by J. Tatum)
6:00.0,,,57-58,1,J. Tatum makes free throw 1 of 2
6:00.0,,,57-59,1,J. Tatum makes free throw 2 of 2
5:37.0,C. Brewer misses 3-pt shot from 22 ft,,57-59,,
5:35.0,Offensive rebound by R. Westbrook,,57-59,,
5:34.0,R. Westbrook makes 2-pt shot at rim,2,59-59,,
5:15.0,,,59-59,,A. Horford misses 3-pt shot from 22 ft
5:12.0,Defensive rebound by R. Westbrook,,59-59,,
5:07.0,S. Adams misses 2-pt shot from 1 ft,,59-59,,
5:05.0,,,59-59,,Defensive rebound by A. Baynes
4:54.0,Personal foul by R. Westbrook (drawn by J. Tatum),,59-59,,
4:54.0,,,59-59,,G. Monroe enters the game for J. Tatum
4:54.0,,,59-59,,S. Ojeleye enters the game for A. Baynes
4:47.0,,,59-59,,T. Rozier misses 2-pt shot from 3 ft
4:44.0,Defensive rebound by P. George,,59-59,,
4:25.0,C. Anthony misses 2-pt shot from 16 ft,,59-59,,
4:22.0,,,59-59,,Defensive rebound by G. Monroe
4:15.0,,,59-59,,Turnover by M. Morris (discontinued dribble)
4:07.0,,,59-59,,Personal foul by M. Morris (drawn by C. Brewer)
4:07.0,C. Brewer makes free throw 1 of 2,1,60-59,,
4:07.0,C. Brewer makes free throw 2 of 2,1,61-59,,
3:50.0,,,61-62,3,M. Morris makes 3-pt shot from 25 ft (assist by A. Horford)
3:40.0,P. George makes 3-pt shot from 23 ft (assist by S. Adams),3,64-62,,
3:25.0,,,64-64,2,G. Monroe makes 2-pt shot from 3 ft (assist by A. Horford)
3:15.0,R. Westbrook makes 2-pt shot at rim (assist by S. Adams),2,66-64,,
3:04.0,Personal foul by P. George (drawn by M. Morris),,66-64,,
3:04.0,,,66-64,,Boston full timeout
3:04.0,T. Ferguson enters the game for P. George,,66-64,,
2:58.0,,,66-64,,Offensive foul by G. Monroe (drawn by C. Brewer)
2:58.0,,,66-64,,Turnover by G. Monroe (offensive foul)
2:48.0,R. Westbrook makes 3-pt shot from 24 ft,3,69-64,,
2:32.0,,,69-64,,Loose ball foul by T. Rozier (drawn by R. Westbrook)
2:32.0,,,69-64,,Turnover by T. Rozier (turnover)
2:32.0,R. Westbrook makes free throw 1 of 2,1,70-64,,
2:32.0,,,70-64,,S. Larkin enters the game for A. Horford
2:32.0,R. Westbrook makes free throw 2 of 2,1,71-64,,
2:11.0,R. Felton enters the game for R. Westbrook,,71-64,,
2:11.0,P. Patterson enters the game for S. Adams,,71-64,,
2:08.0,,,71-64,,M. Morris misses 2-pt shot from 18 ft
2:06.0,Defensive rebound by R. Felton,,71-64,,
2:04.0,C. Brewer makes 2-pt shot at rim (assist by R. Felton),2,73-64,,
1:53.0,Personal foul by C. Brewer (drawn by M. Morris),,73-64,,
1:53.0,,,73-65,1,M. Morris makes free throw 1 of 2
1:53.0,,,73-65,,A. Nader enters the game for S. Ojeleye
1:53.0,,,73-66,1,M. Morris makes free throw 2 of 2
1:36.0,Offensive foul by C. Anthony (drawn by S. Larkin),,73-66,,
1:36.0,Turnover by C. Anthony (offensive foul),,73-66,,
1:36.0,,,73-66,,J. Tatum enters the game for M. Morris
1:36.0,J. Grant enters the game for C. Anthony,,73-66,,
1:16.0,,,73-66,,T. Rozier misses 2-pt shot from 5 ft
1:15.0,Defensive rebound by R. Felton,,73-66,,
1:06.0,J. Grant makes 2-pt shot from 1 ft (assist by P. Patterson),2,75-66,,
0:50.0,Personal foul by J. Grant (drawn by G. Monroe),,75-66,,
0:50.0,,,75-67,1,G. Monroe makes free throw 1 of 2
0:50.0,,,75-67,,S. Ojeleye enters the game for T. Rozier
0:50.0,,,75-68,1,G. Monroe makes free throw 2 of 2
0:36.0,Offensive foul by J. Grant (drawn by S. Larkin),,75-68,,
0:36.0,Turnover by J. Grant (offensive foul),,75-68,,
0:28.0,,,75-70,2,S. Larkin makes 2-pt shot from 2 ft
0:05.0,P. Patterson misses 2-pt shot from 8 ft,,75-70,,
0:02.0,,,75-70,,Defensive rebound by G. Monroe
0:00.0,,,75-73,3,S. Larkin makes 3-pt shot from 26 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Grant misses 2-pt shot from 16 ft,,75-73,,
11:44.0,,,75-73,,Defensive rebound by J. Tatum
11:30.0,,,75-73,,S. Ojeleye misses 2-pt shot from 2 ft (block by R. Felton)
11:28.0,Defensive rebound by J. Huestis,,75-73,,
11:11.0,J. Huestis misses 3-pt shot from 23 ft,,75-73,,
11:09.0,,,75-73,,Defensive rebound by J. Tatum
10:59.0,,,75-73,,Turnover by J. Tatum (lost ball; steal by P. Patterson)
10:53.0,R. Felton misses 2-pt shot from 1 ft,,75-73,,
10:50.0,,,75-73,,Defensive rebound by S. Ojeleye
10:37.0,,,75-73,,G. Monroe misses 2-pt shot from 3 ft (block by J. Huestis)
10:37.0,,,75-73,,Offensive rebound by Team
10:37.0,P. George enters the game for T. Ferguson,,75-73,,
10:29.0,,,75-73,,S. Larkin misses 2-pt shot from 21 ft
10:28.0,Defensive rebound by Team,,75-73,,
10:07.0,P. George makes 2-pt shot at rim,2,77-73,,
9:46.0,,,77-73,,S. Larkin misses 2-pt shot from 3 ft (block by P. Patterson)
9:43.0,Defensive rebound by J. Huestis,,77-73,,
9:41.0,J. Grant misses 2-pt shot at rim,,77-73,,
9:40.0,,,77-73,,Defensive rebound by Team
9:28.0,,,77-75,2,S. Larkin makes 2-pt shot from 2 ft (assist by G. Monroe)
9:28.0,,,77-75,,Shooting foul by R. Felton (drawn by S. Larkin)
9:28.0,,,77-76,1,S. Larkin makes free throw 1 of 1
9:17.0,,,77-76,,Personal foul by A. Nader (drawn by J. Grant)
9:17.0,S. Adams enters the game for J. Grant,,77-76,,
9:09.0,R. Felton makes 2-pt shot from 19 ft,2,79-76,,
8:44.0,,,79-76,,S. Ojeleye misses 3-pt shot from 23 ft
8:41.0,Defensive rebound by S. Adams,,79-76,,
8:32.0,Offensive foul by S. Adams (drawn by A. Nader),,79-76,,
8:32.0,Turnover by S. Adams (offensive foul),,79-76,,
8:25.0,Personal foul by R. Felton (drawn by S. Larkin),,79-76,,
8:25.0,R. Westbrook enters the game for R. Felton,,79-76,,
8:15.0,,,79-76,,G. Monroe misses 2-pt shot from 11 ft
8:13.0,Defensive rebound by P. George,,79-76,,
8:02.0,Turnover by P. George (bad pass; steal by G. Monroe),,79-76,,
7:59.0,,,79-78,2,G. Monroe makes 2-pt shot from 1 ft
7:59.0,Violation by J. Huestis (def goaltending),,79-78,,
7:59.0,,,79-78,,Shooting foul by P. George (drawn by G. Monroe)
7:59.0,Oklahoma City full timeout,,79-78,,
7:59.0,,,79-79,1,G. Monroe makes free throw 1 of 1
7:43.0,R. Westbrook makes 2-pt shot from 16 ft,2,81-79,,
7:32.0,Personal foul by J. Huestis (drawn by J. Tatum),,81-79,,
7:32.0,,,81-79,,A. Horford enters the game for G. Monroe
7:32.0,C. Brewer enters the game for J. Huestis,,81-79,,
7:32.0,C. Anthony enters the game for P. Patterson,,81-79,,
7:23.0,,,81-79,,A. Horford misses 2-pt shot from 2 ft (block by C. Brewer)
7:21.0,Defensive rebound by C. Brewer,,81-79,,
7:17.0,Turnover by R. Westbrook (out of bounds lost ball),,81-79,,
7:01.0,,,81-82,3,S. Larkin makes 3-pt shot from 26 ft (assist by A. Horford)
6:45.0,,,81-82,,Personal foul by A. Nader (drawn by C. Brewer)
6:45.0,,,81-82,,T. Rozier enters the game for A. Nader
6:38.0,R. Westbrook misses 2-pt shot from 12 ft,,81-82,,
6:37.0,Offensive rebound by S. Adams,,81-82,,
6:37.0,S. Adams misses 2-pt shot from 1 ft,,81-82,,
6:36.0,,,81-82,,Defensive rebound by T. Rozier
6:12.0,,,81-82,,A. Horford misses 2-pt shot from 22 ft
6:09.0,,,81-82,,Offensive rebound by S. Larkin
5:51.0,,,81-82,,S. Larkin misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by P. George,,81-82,,
5:39.0,C. Brewer misses 3-pt shot from 22 ft,,81-82,,
5:36.0,,,81-82,,Defensive rebound by J. Tatum
5:30.0,,,81-82,,A. Horford misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by C. Brewer,,81-82,,
5:07.0,C. Brewer misses 3-pt shot from 23 ft,,81-82,,
5:06.0,,,81-82,,Defensive rebound by J. Tatum
5:06.0,,,81-82,,Boston full timeout
5:06.0,,,81-82,,M. Morris enters the game for J. Tatum
4:50.0,,,81-82,,M. Morris misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by P. George,,81-82,,
4:26.0,R. Westbrook misses 3-pt shot from 26 ft,,81-82,,
4:24.0,,,81-82,,Defensive rebound by S. Ojeleye
4:13.0,,,81-82,,T. Rozier misses 3-pt shot from 22 ft
4:10.0,Defensive rebound by C. Brewer,,81-82,,
