time,Washington,pts.away,score,pts.home,Toronto
3:02.0,,,50-48,,Defensive rebound by J. Valanciunas
2:55.0,,,50-48,,D. DeRozan misses 2-pt shot from 4 ft
2:53.0,Defensive rebound by M. Morris,,50-48,,
2:50.0,,,50-48,,Personal block foul by D. DeRozan (drawn by J. Wall)
2:50.0,J. Wall makes free throw 1 of 2,1,51-48,,
2:50.0,J. Wall makes free throw 2 of 2,1,52-48,,
2:36.0,,,52-51,3,S. Ibaka makes 3-pt shot from 26 ft (assist by D. DeRozan)
2:18.0,M. Gortat misses 2-pt shot from 4 ft (block by J. Valanciunas),,52-51,,
2:18.0,,,52-51,,Defensive rebound by S. Ibaka
2:18.0,Loose ball foul by M. Gortat (drawn by J. Valanciunas),,52-51,,
2:18.0,M. Scott enters the game for M. Gortat,,52-51,,
2:05.0,,,52-51,,Turnover by K. Lowry (bad pass; steal by B. Beal)
2:00.0,B. Beal misses 2-pt shot from 1 ft,,52-51,,
1:58.0,,,52-51,,Defensive rebound by J. Valanciunas
1:53.0,,,52-51,,O. Anunoby misses 2-pt shot from 1 ft
1:52.0,Defensive rebound by M. Morris,,52-51,,
1:50.0,B. Beal makes 2-pt shot at rim (assist by M. Morris),2,54-51,,
1:29.0,,,54-53,2,O. Anunoby makes 2-pt shot from 1 ft (assist by J. Valanciunas)
1:11.0,M. Morris makes 3-pt shot from 22 ft (assist by J. Wall),3,57-53,,
0:49.0,,,57-55,2,S. Ibaka makes 2-pt shot from 7 ft (assist by D. DeRozan)
0:33.0,J. Wall misses 2-pt shot from 5 ft (block by O. Anunoby),,57-55,,
0:33.0,Offensive rebound by Team,,57-55,,
0:32.0,M. Scott makes 2-pt shot at rim (assist by J. Wall),2,59-55,,
0:29.0,,,59-55,,D. DeRozan misses 3-pt shot from 29 ft
0:26.0,Defensive rebound by M. Morris,,59-55,,
0:04.0,J. Wall misses 3-pt shot from 26 ft,,59-55,,
0:01.0,Offensive rebound by M. Scott,,59-55,,
0:00.0,O. Porter misses 3-pt shot from 22 ft,,59-55,,
0:00.0,Offensive rebound by Team,,59-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,J. Wall misses 3-pt shot from 24 ft,,59-55,,
11:35.0,Offensive rebound by M. Gortat,,59-55,,
11:31.0,J. Wall misses 2-pt shot from 1 ft,,59-55,,
11:30.0,,,59-55,,Defensive rebound by J. Valanciunas
11:25.0,,,59-57,2,D. DeRozan makes 2-pt shot from 6 ft
11:11.0,Offensive foul by B. Beal (drawn by K. Lowry),,59-57,,
11:11.0,Turnover by B. Beal (offensive foul),,59-57,,
11:00.0,,,59-60,3,D. DeRozan makes 3-pt shot from 26 ft (assist by O. Anunoby)
10:38.0,B. Beal makes 2-pt shot from 1 ft (assist by M. Morris),2,61-60,,
10:22.0,,,61-63,3,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan)
9:55.0,M. Morris misses 3-pt shot from 25 ft,,61-63,,
9:52.0,,,61-63,,Defensive rebound by K. Lowry
9:49.0,,,61-66,3,K. Lowry makes 3-pt shot from 25 ft
9:48.0,Washington full timeout,,61-66,,
9:30.0,M. Gortat makes 2-pt shot from 7 ft (assist by M. Morris),2,63-66,,
9:15.0,,,63-68,2,D. DeRozan makes 2-pt shot from 8 ft
9:00.0,Turnover by M. Gortat (turnover),,63-68,,
8:46.0,,,63-68,,Turnover by D. DeRozan (bad pass; steal by O. Porter)
8:33.0,Shooting foul by S. Ibaka (drawn by M. Morris),,63-68,,
8:33.0,M. Morris makes free throw 1 of 2,1,64-68,,
8:33.0,M. Morris makes free throw 2 of 2,1,65-68,,
8:21.0,,,65-70,2,K. Lowry makes 2-pt shot from 1 ft
7:52.0,B. Beal misses 2-pt shot from 10 ft,,65-70,,
7:51.0,,,65-70,,Defensive rebound by J. Valanciunas
7:44.0,,,65-70,,D. DeRozan misses 2-pt shot from 13 ft
7:41.0,Defensive rebound by M. Gortat,,65-70,,
7:37.0,Offensive charge foul by J. Wall (drawn by K. Lowry),,65-70,,
7:37.0,Turnover by J. Wall (offensive foul),,65-70,,
7:29.0,,,65-70,,D. DeRozan misses 2-pt shot from 3 ft (block by O. Porter)
7:26.0,Defensive rebound by O. Porter,,65-70,,
7:08.0,M. Morris makes 2-pt shot from 12 ft,2,67-70,,
6:43.0,,,67-70,,S. Ibaka misses 2-pt shot from 11 ft
6:41.0,Defensive rebound by O. Porter,,67-70,,
6:37.0,B. Beal misses 3-pt shot from 25 ft,,67-70,,
6:34.0,,,67-70,,Defensive rebound by S. Ibaka
6:30.0,,,67-70,,Offensive foul by K. Lowry (drawn by O. Porter)
6:30.0,,,67-70,,Turnover by K. Lowry (offensive foul)
6:12.0,J. Wall makes 3-pt shot from 27 ft (assist by M. Morris),3,70-70,,
5:55.0,,,70-72,2,J. Valanciunas makes 2-pt shot from 1 ft
5:31.0,M. Gortat makes 2-pt shot from 11 ft (assist by J. Wall),2,72-72,,
5:17.0,Personal foul by J. Wall (drawn by O. Anunoby),,72-72,,
5:10.0,,,72-75,3,D. DeRozan makes 3-pt shot from 25 ft
4:55.0,J. Wall misses 2-pt shot from 3 ft,,72-75,,
4:55.0,Offensive rebound by Team,,72-75,,
4:55.0,,,72-75,,Loose ball foul by K. Lowry (drawn by M. Gortat)
4:39.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,75-75,,
4:36.0,,,75-75,,Toronto full timeout
4:36.0,,,75-75,,J. Poeltl enters the game for J. Valanciunas
4:23.0,,,75-77,2,O. Anunoby makes 2-pt shot from 1 ft (assist by D. DeRozan)
3:57.0,M. Morris misses 2-pt shot from 9 ft,,75-77,,
3:54.0,,,75-77,,Defensive rebound by S. Ibaka
3:47.0,,,75-79,2,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Lowry)
3:29.0,J. Wall makes 2-pt shot at rim,2,77-79,,
3:10.0,,,77-79,,Turnover by J. Poeltl (lost ball; steal by J. Wall)
2:49.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,80-79,,
2:31.0,,,80-79,,O. Anunoby misses 3-pt shot from 22 ft
2:29.0,,,80-79,,Offensive rebound by S. Ibaka
2:29.0,,,80-79,,Shooting foul by M. Morris (drawn by S. Ibaka)
2:29.0,,,80-80,1,S. Ibaka makes free throw 1 of 2
2:29.0,,,80-80,,C. Miles enters the game for O. Anunoby
2:29.0,,,80-80,,D. Wright enters the game for K. Lowry
2:29.0,M. Scott enters the game for M. Gortat,,80-80,,
2:29.0,K. Oubre enters the game for O. Porter,,80-80,,
2:29.0,,,80-81,1,S. Ibaka makes free throw 2 of 2
2:17.0,M. Morris makes 2-pt shot from 13 ft (assist by J. Wall),2,82-81,,
1:56.0,,,82-81,,D. DeRozan misses 3-pt shot from 29 ft
1:54.0,Defensive rebound by K. Oubre,,82-81,,
1:54.0,,,82-81,,P. Siakam enters the game for S. Ibaka
1:54.0,T. Satoransky enters the game for J. Wall,,82-81,,
1:42.0,M. Morris misses 2-pt shot from 15 ft,,82-81,,
1:40.0,,,82-81,,Defensive rebound by P. Siakam
1:25.0,,,82-84,3,P. Siakam makes 3-pt shot from 23 ft (assist by D. Wright)
1:11.0,B. Beal makes 3-pt shot from 26 ft,3,85-84,,
0:57.0,,,85-86,2,D. DeRozan makes 2-pt shot from 4 ft
0:54.0,Turnover by M. Scott (bad pass; steal by C. Miles),,85-86,,
0:49.0,,,85-86,,Turnover by J. Poeltl (bad pass; steal by B. Beal)
0:35.0,M. Scott misses 2-pt shot from 5 ft,,85-86,,
0:34.0,,,85-86,,Defensive rebound by P. Siakam
0:27.0,,,85-86,,D. DeRozan misses 2-pt shot from 1 ft
0:25.0,Defensive rebound by K. Oubre,,85-86,,
0:19.0,Offensive charge foul by K. Oubre (drawn by J. Poeltl),,85-86,,
0:19.0,Turnover by K. Oubre (offensive foul),,85-86,,
0:12.0,Personal foul by K. Oubre (drawn by D. DeRozan),,85-86,,
0:03.0,,,85-86,,D. DeRozan misses 2-pt shot from 14 ft
0:01.0,Defensive rebound by M. Morris,,85-86,,
0:00.0,T. Satoransky misses 3-pt shot from 44 ft (block by D. Wright),,85-86,,
0:00.0,Offensive rebound by Team,,85-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,85-86,,K. Lowry misses 2-pt shot from 20 ft
11:43.0,Defensive rebound by K. Oubre,,85-86,,
11:21.0,T. Satoransky misses 2-pt shot from 3 ft,,85-86,,
11:19.0,Offensive rebound by M. Scott,,85-86,,
11:17.0,M. Scott makes 2-pt shot from 1 ft,2,87-86,,
11:00.0,,,87-86,,P. Siakam misses 2-pt shot from 7 ft
10:59.0,Defensive rebound by M. Morris,,87-86,,
10:45.0,M. Scott makes 2-pt shot from 21 ft (assist by M. Morris),2,89-86,,
10:29.0,,,89-88,2,P. Siakam makes 2-pt shot from 1 ft (assist by J. Poeltl)
10:06.0,M. Morris makes 2-pt shot at rim (assist by B. Beal),2,91-88,,
10:02.0,Technical foul by M. Scott (drawn by K. Lowry),,91-88,,
10:02.0,,,91-89,1,K. Lowry makes flagrant free throw 1 of 2
10:02.0,,,91-90,1,K. Lowry makes flagrant free throw 2 of 2
10:02.0,,,91-90,,L. Nogueira enters the game for J. Poeltl
9:54.0,,,91-92,2,D. Wright makes 2-pt shot from 1 ft (assist by K. Lowry)
9:34.0,M. Morris misses 2-pt shot from 1 ft,,91-92,,
9:31.0,,,91-92,,Defensive rebound by K. Lowry
9:27.0,,,91-95,3,C. Miles makes 3-pt shot from 25 ft (assist by K. Lowry)
9:26.0,Washington full timeout,,91-95,,
9:26.0,M. Gortat enters the game for M. Morris,,91-95,,
9:26.0,J. Wall enters the game for T. Satoransky,,91-95,,
9:15.0,K. Oubre makes 3-pt shot from 25 ft (assist by B. Beal),3,94-95,,
8:58.0,,,94-95,,K. Lowry misses 3-pt shot from 25 ft
8:56.0,Defensive rebound by Team,,94-95,,
8:39.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,96-95,,
8:27.0,Personal foul by K. Oubre (drawn by C. Miles),,96-95,,
8:25.0,,,96-95,,C. Miles misses 2-pt shot from 1 ft (block by J. Wall)
8:22.0,Defensive rebound by M. Gortat,,96-95,,
8:15.0,Turnover by M. Scott (bad pass; steal by D. Wright),,96-95,,
7:56.0,,,96-98,3,D. Wright makes 3-pt shot from 25 ft (assist by P. Siakam)
7:27.0,Turnover by Team (shot clock),,96-98,,
7:10.0,,,96-100,2,D. Wright makes 2-pt shot from 2 ft
6:51.0,J. Wall misses 2-pt shot from 15 ft,,96-100,,
6:48.0,,,96-100,,Defensive rebound by P. Siakam
6:38.0,,,96-100,,P. Siakam misses 3-pt shot from 22 ft
6:36.0,Defensive rebound by K. Oubre,,96-100,,
6:34.0,Turnover by K. Oubre (bad pass; steal by D. Wright),,96-100,,
6:28.0,,,96-103,3,C. Miles makes 3-pt shot from 26 ft (assist by L. Nogueira)
6:27.0,Washington full timeout,,96-103,,
6:27.0,,,96-103,,S. Ibaka enters the game for P. Siakam
6:27.0,O. Porter enters the game for K. Oubre,,96-103,,
6:27.0,M. Morris enters the game for M. Scott,,96-103,,
6:09.0,M. Gortat misses 2-pt shot at rim (block by S. Ibaka),,96-103,,
6:09.0,Offensive rebound by Team,,96-103,,
6:05.0,Jump ball: S. Ibaka vs. M. Gortat (J. Wall gains possession),,,,Jump ball: S. Ibaka vs. M. Gortat (J. Wall gains possession)
6:03.0,J. Wall misses 2-pt shot from 6 ft,,96-103,,
6:00.0,,,96-103,,Defensive rebound by S. Ibaka
5:37.0,,,96-105,2,K. Lowry makes 2-pt shot from 5 ft
5:18.0,O. Porter misses 3-pt shot from 27 ft,,96-105,,
5:15.0,,,96-105,,Defensive rebound by C. Miles
4:56.0,,,96-105,,D. Wright misses 2-pt shot from 3 ft
4:54.0,Defensive rebound by M. Morris,,96-105,,
4:52.0,,,96-105,,Personal foul by K. Lowry (drawn by J. Wall)
4:52.0,,,96-105,,Toronto full timeout
4:52.0,,,96-105,,D. DeRozan enters the game for C. Miles
4:41.0,Shooting foul by S. Ibaka (drawn by J. Wall),,96-105,,
4:41.0,J. Wall misses free throw 1 of 2,,96-105,,
4:41.0,Offensive rebound by Team,,96-105,,
4:41.0,,,96-105,,Violation by L. Nogueira (lane)
4:41.0,J. Wall misses free throw 2 of 2,,96-105,,
4:41.0,Offensive rebound by Team,,96-105,,
4:41.0,J. Wall makes free throw 1 of 1,1,97-105,,
4:24.0,,,97-105,,K. Lowry misses 2-pt shot from 2 ft
4:19.0,,,97-105,,Offensive rebound by S. Ibaka
4:19.0,,,97-105,,Shooting foul by M. Morris (drawn by L. Nogueira)
4:19.0,,,97-106,1,L. Nogueira makes free throw 1 of 2
4:19.0,,,97-106,,L. Nogueira misses free throw 2 of 2
4:17.0,Defensive rebound by M. Morris,,97-106,,
4:08.0,Washington full timeout,,97-106,,
4:08.0,M. Scott enters the game for M. Morris,,97-106,,
3:54.0,M. Gortat misses 2-pt shot from 9 ft,,97-106,,
3:50.0,,,97-106,,Defensive rebound by L. Nogueira
3:31.0,,,97-109,3,D. Wright makes 3-pt shot from 25 ft (assist by K. Lowry)
3:17.0,B. Beal makes 2-pt shot from 2 ft,2,99-109,,
2:59.0,,,99-109,,D. DeRozan misses 2-pt shot from 20 ft
2:58.0,Defensive rebound by J. Wall,,99-109,,
2:53.0,,,99-109,,Shooting block foul by D. Wright (drawn by J. Wall)
2:53.0,J. Wall makes free throw 1 of 2,1,100-109,,
2:53.0,M. Morris enters the game for M. Gortat,,100-109,,
2:53.0,J. Wall makes free throw 2 of 2,1,101-109,,
2:38.0,,,101-109,,Turnover by K. Lowry (bad pass; steal by J. Wall)
2:33.0,J. Wall misses 2-pt shot from 2 ft,,101-109,,
2:33.0,,,101-109,,Defensive rebound by Team
2:09.0,,,101-109,,Turnover by D. Wright (lost ball; steal by J. Wall)
2:04.0,J. Wall misses 2-pt shot from 1 ft,,101-109,,
2:03.0,,,101-109,,Defensive rebound by S. Ibaka
1:42.0,,,101-111,2,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Lowry)
1:28.0,B. Beal misses 3-pt shot from 25 ft,,101-111,,
1:26.0,,,101-111,,Defensive rebound by S. Ibaka
1:08.0,,,101-111,,D. DeRozan misses 2-pt shot from 2 ft
1:06.0,Defensive rebound by J. Wall,,101-111,,
0:56.0,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall),2,103-111,,
0:56.0,,,103-111,,Shooting block foul by K. Lowry (drawn by M. Morris)
0:56.0,M. Morris makes free throw 1 of 1,1,104-111,,
0:50.0,,,104-111,,Toronto full timeout
0:50.0,,,104-111,,C. Miles enters the game for L. Nogueira
0:48.0,Personal take foul by O. Porter (drawn by D. DeRozan),,104-111,,
