time,Washington,pts.away,score,pts.home,San Antonio
9:32.0,K. Oubre makes 2-pt shot from 1 ft (assist by O. Porter),2,26-26,,
9:17.0,,,26-28,2,D. Green makes 2-pt shot from 19 ft (assist by T. Parker)
9:07.0,Shooting foul by T. Parker (drawn by R. Sessions),,26-28,,
9:07.0,R. Sessions misses free throw 1 of 2,,26-28,,
9:07.0,Offensive rebound by Team,,26-28,,
9:07.0,,,26-28,,D. Murray enters the game for T. Parker
9:07.0,,,26-28,,L. Aldridge enters the game for R. Gay
9:07.0,R. Sessions makes free throw 2 of 2,1,27-28,,
8:52.0,,,27-30,2,L. Aldridge makes 2-pt shot from 15 ft
8:39.0,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky),3,30-30,,
8:18.0,,,30-30,,Shooting foul by K. Oubre (drawn by K. Anderson)
8:18.0,,,30-30,,K. Anderson misses free throw 1 of 2
8:18.0,,,30-30,,Offensive rebound by Team
8:18.0,,,30-30,,P. Mills enters the game for P. Gasol
8:18.0,,,30-31,1,K. Anderson makes free throw 2 of 2
8:06.0,R. Sessions misses 3-pt shot from 22 ft,,30-31,,
8:04.0,Offensive rebound by Team,,30-31,,
8:03.0,Turnover by K. Oubre (bad pass),,30-31,,
7:44.0,,,30-31,,P. Mills misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by K. Oubre,,30-31,,
7:35.0,K. Oubre makes 2-pt shot at rim,2,32-31,,
7:20.0,,,32-31,,Turnover by K. Anderson (bad pass; steal by R. Sessions)
7:11.0,K. Oubre makes 2-pt shot from 2 ft (assist by R. Sessions),2,34-31,,
7:11.0,,,34-31,,San Antonio full timeout
7:11.0,M. Morris enters the game for R. Sessions,,34-31,,
7:11.0,B. Beal enters the game for I. Mahinmi,,34-31,,
7:00.0,,,34-31,,D. Green misses 3-pt shot from 26 ft
6:52.0,,,34-31,,Offensive rebound by K. Anderson
6:52.0,,,34-33,2,K. Anderson makes 2-pt shot at rim
6:38.0,B. Beal misses 3-pt shot from 24 ft,,34-33,,
6:35.0,,,34-33,,Defensive rebound by L. Aldridge
6:25.0,,,34-33,,D. Green misses 2-pt shot from 4 ft (block by O. Porter)
6:25.0,,,34-33,,Offensive rebound by Team
6:22.0,,,34-33,,L. Aldridge misses 2-pt shot from 12 ft (block by M. Morris)
6:21.0,,,34-33,,Offensive rebound by L. Aldridge
6:17.0,,,34-33,,L. Aldridge misses 3-pt shot from 25 ft
6:12.0,,,34-33,,Offensive rebound by K. Anderson
6:12.0,,,34-35,2,K. Anderson makes 2-pt shot at rim
5:59.0,Shooting foul by K. Anderson (drawn by M. Morris),,34-35,,
5:59.0,M. Morris misses free throw 1 of 2,,34-35,,
5:59.0,Offensive rebound by Team,,34-35,,
5:59.0,M. Morris makes free throw 2 of 2,1,35-35,,
5:45.0,,,35-37,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills)
5:20.0,O. Porter makes 2-pt shot from 19 ft (assist by T. Satoransky),2,37-37,,
5:03.0,,,37-39,2,D. Murray makes 2-pt shot from 2 ft (assist by P. Mills)
5:03.0,,,37-39,,Shooting foul by B. Beal (drawn by D. Murray)
5:03.0,,,37-39,,M. Ginobili enters the game for D. Green
5:03.0,M. Gortat enters the game for T. Satoransky,,37-39,,
5:03.0,,,37-39,,D. Murray misses free throw 1 of 1
5:03.0,Defensive rebound by M. Gortat,,37-39,,
4:50.0,Turnover by M. Morris (lost ball; steal by M. Ginobili),,37-39,,
4:38.0,,,37-39,,P. Mills misses 3-pt shot from 26 ft
4:36.0,,,37-39,,Offensive rebound by L. Aldridge
4:36.0,,,37-41,2,L. Aldridge makes 2-pt shot at rim
4:17.0,O. Porter misses 2-pt shot from 11 ft,,37-41,,
4:16.0,,,37-41,,Defensive rebound by P. Mills
3:59.0,,,37-41,,L. Aldridge misses 2-pt shot from 10 ft
3:56.0,Defensive rebound by Team,,37-41,,
3:40.0,Washington full timeout,,37-41,,
3:40.0,,,37-41,,R. Gay enters the game for K. Anderson
3:37.0,K. Oubre misses 2-pt shot from 1 ft,,37-41,,
3:34.0,,,37-41,,Defensive rebound by D. Murray
3:13.0,,,37-41,,L. Aldridge misses 2-pt shot from 7 ft
3:10.0,Defensive rebound by M. Gortat,,37-41,,
3:09.0,Turnover by K. Oubre (lost ball; steal by P. Mills),,37-41,,
3:09.0,Personal foul by K. Oubre (drawn by P. Mills),,37-41,,
3:09.0,,,37-42,1,P. Mills makes free throw 1 of 2
3:09.0,,,37-43,1,P. Mills makes free throw 2 of 2
2:51.0,Shooting foul by P. Mills (drawn by M. Gortat),,37-43,,
2:51.0,M. Gortat makes free throw 1 of 2,1,38-43,,
2:51.0,T. Satoransky enters the game for M. Morris,,38-43,,
2:51.0,M. Gortat makes free throw 2 of 2,1,39-43,,
2:35.0,,,39-45,2,M. Ginobili makes 2-pt shot from 6 ft
2:16.0,,,39-45,,Personal foul by L. Aldridge (drawn by B. Beal)
2:12.0,B. Beal makes 2-pt shot from 19 ft (assist by K. Oubre),2,41-45,,
1:58.0,,,41-45,,M. Ginobili misses 2-pt shot from 18 ft
1:55.0,Defensive rebound by K. Oubre,,41-45,,
1:52.0,Shooting foul by M. Ginobili (drawn by M. Gortat),,41-45,,
1:52.0,M. Gortat misses free throw 1 of 2,,41-45,,
1:52.0,Offensive rebound by Team,,41-45,,
1:52.0,,,41-45,,T. Parker enters the game for D. Murray
1:52.0,,,41-45,,K. Anderson enters the game for R. Gay
1:52.0,M. Gortat makes free throw 2 of 2,1,42-45,,
1:36.0,,,42-48,3,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills)
1:18.0,B. Beal misses 2-pt shot from 7 ft (block by L. Aldridge),,42-48,,
1:18.0,Offensive rebound by Team,,42-48,,
1:16.0,O. Porter misses 2-pt shot from 16 ft,,42-48,,
1:12.0,,,42-48,,Defensive rebound by T. Parker
0:58.0,,,42-50,2,M. Ginobili makes 2-pt shot from 9 ft
0:41.0,K. Oubre misses 3-pt shot from 23 ft,,42-50,,
0:38.0,,,42-50,,Defensive rebound by L. Aldridge
0:29.0,,,42-50,,L. Aldridge misses 2-pt shot from 1 ft (block by K. Oubre)
0:24.0,Defensive rebound by O. Porter,,42-50,,
0:08.0,M. Gortat makes 2-pt shot from 12 ft (assist by T. Satoransky),2,44-50,,
0:02.0,,,44-50,,P. Mills misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by M. Gortat,,44-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,44-50,,L. Aldridge misses 2-pt shot from 11 ft
11:42.0,Defensive rebound by M. Morris,,44-50,,
11:27.0,Turnover by T. Satoransky (bad pass; steal by P. Mills),,44-50,,
11:26.0,Personal foul by T. Satoransky (drawn by P. Mills),,44-50,,
11:15.0,,,44-50,,Turnover by P. Mills (bad pass; steal by O. Porter)
11:09.0,T. Satoransky misses 2-pt shot from 5 ft,,44-50,,
11:06.0,Offensive rebound by T. Satoransky,,44-50,,
11:06.0,B. Beal makes 2-pt shot from 1 ft (assist by T. Satoransky),2,46-50,,
11:06.0,Shooting foul by K. Anderson (drawn by B. Beal),,46-50,,
11:06.0,B. Beal makes free throw 1 of 1,1,47-50,,
10:41.0,,,47-50,,D. Green misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by M. Gortat,,47-50,,
10:27.0,M. Morris misses 2-pt shot from 11 ft,,47-50,,
10:23.0,,,47-50,,Defensive rebound by D. Murray
10:06.0,,,47-52,2,K. Anderson makes 2-pt shot from 1 ft (assist by D. Murray)
9:51.0,M. Morris makes 2-pt shot at rim (assist by O. Porter),2,49-52,,
9:31.0,,,49-55,3,K. Anderson makes 3-pt shot from 23 ft (assist by L. Aldridge)
9:03.0,Turnover by M. Gortat (traveling),,49-55,,
8:45.0,,,49-55,,L. Aldridge misses 2-pt shot from 10 ft
8:41.0,,,49-55,,Offensive rebound by D. Murray
8:40.0,,,49-55,,P. Mills misses 3-pt shot from 25 ft
8:35.0,,,49-55,,Offensive rebound by D. Murray
8:34.0,,,49-55,,D. Green misses 3-pt shot from 24 ft
8:30.0,,,49-55,,Offensive rebound by D. Murray
8:21.0,,,49-55,,Shooting foul by M. Gortat (drawn by L. Aldridge)
8:21.0,,,49-56,1,L. Aldridge makes free throw 1 of 2
8:21.0,,,49-57,1,L. Aldridge makes free throw 2 of 2
8:08.0,B. Beal makes 3-pt shot from 26 ft (assist by O. Porter),3,52-57,,
7:52.0,,,52-57,,Turnover by K. Anderson (traveling)
7:36.0,Turnover by B. Beal (traveling),,52-57,,
7:18.0,,,52-59,2,L. Aldridge makes 2-pt shot from 9 ft
7:18.0,,,52-59,,Shooting foul by M. Gortat (drawn by L. Aldridge)
7:18.0,Washington full timeout,,52-59,,
7:18.0,,,52-60,1,L. Aldridge makes free throw 1 of 1
7:07.0,T. Satoransky misses 2-pt shot from 11 ft,,52-60,,
7:04.0,,,52-60,,Defensive rebound by L. Aldridge
6:48.0,,,52-63,3,P. Mills makes 3-pt shot from 23 ft (assist by K. Anderson)
6:32.0,Turnover by M. Gortat (bad pass),,52-63,,
6:16.0,,,52-63,,L. Aldridge misses 2-pt shot from 4 ft
6:10.0,,,52-63,,Offensive rebound by D. Murray
6:10.0,,,52-65,2,D. Murray makes 2-pt shot at rim
5:59.0,M. Gortat makes 2-pt shot from 7 ft (assist by O. Porter),2,54-65,,
5:39.0,,,54-67,2,L. Aldridge makes 2-pt shot from 10 ft
5:26.0,O. Porter misses 2-pt shot from 3 ft,,54-67,,
5:23.0,,,54-67,,Defensive rebound by D. Murray
5:05.0,,,54-69,2,L. Aldridge makes 2-pt shot from 14 ft (assist by K. Anderson)
5:05.0,Washington full timeout,,54-69,,
5:05.0,K. Oubre enters the game for M. Gortat,,54-69,,
4:47.0,B. Beal makes 2-pt shot from 17 ft,2,56-69,,
4:23.0,,,56-71,2,D. Green makes 2-pt shot from 2 ft (assist by D. Murray)
4:06.0,K. Oubre misses 2-pt shot from 3 ft (block by D. Green),,56-71,,
4:06.0,Offensive rebound by Team,,56-71,,
4:06.0,,,56-71,,M. Ginobili enters the game for P. Mills
4:06.0,R. Sessions enters the game for T. Satoransky,,56-71,,
4:02.0,O. Porter misses 3-pt shot from 26 ft,,56-71,,
3:58.0,,,56-71,,Defensive rebound by L. Aldridge
3:53.0,,,56-71,,D. Murray misses 2-pt shot from 13 ft
3:48.0,,,56-71,,Offensive rebound by L. Aldridge
3:41.0,,,56-73,2,K. Anderson makes 2-pt shot from 3 ft (assist by M. Ginobili)
3:19.0,R. Sessions misses 3-pt shot from 25 ft,,56-73,,
3:19.0,Offensive rebound by Team,,56-73,,
3:19.0,,,56-73,,Loose ball foul by K. Anderson (drawn by M. Morris)
3:19.0,,,56-73,,T. Parker enters the game for K. Anderson
3:19.0,,,56-73,,R. Gay enters the game for D. Murray
3:19.0,I. Mahinmi enters the game for M. Morris,,56-73,,
3:02.0,K. Oubre misses 3-pt shot from 26 ft,,56-73,,
2:58.0,,,56-73,,Defensive rebound by D. Green
2:53.0,,,56-73,,Offensive foul by D. Green (drawn by B. Beal)
2:53.0,,,56-73,,Turnover by D. Green (offensive foul)
2:40.0,O. Porter misses 3-pt shot from 26 ft,,56-73,,
2:37.0,,,56-73,,Defensive rebound by T. Parker
2:31.0,,,56-73,,M. Ginobili misses 2-pt shot from 14 ft
2:27.0,Defensive rebound by O. Porter,,56-73,,
2:24.0,B. Beal misses 3-pt shot from 26 ft,,56-73,,
2:24.0,,,56-73,,Defensive rebound by Team
2:22.0,,,56-73,,P. Gasol enters the game for L. Aldridge
2:22.0,,,56-73,,San Antonio full timeout
2:10.0,,,56-73,,M. Ginobili misses 2-pt shot from 1 ft
2:07.0,Defensive rebound by K. Oubre,,56-73,,
1:54.0,K. Oubre misses 2-pt shot from 2 ft (block by P. Gasol),,56-73,,
1:50.0,,,56-73,,Defensive rebound by R. Gay
1:39.0,,,56-73,,R. Gay misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by R. Sessions,,56-73,,
1:22.0,K. Oubre makes 2-pt shot from 17 ft (assist by B. Beal),2,58-73,,
1:02.0,,,58-73,,Shooting foul by I. Mahinmi (drawn by P. Gasol)
1:02.0,,,58-74,1,P. Gasol makes free throw 1 of 2
1:02.0,,,58-74,,B. Forbes enters the game for D. Green
1:02.0,T. Frazier enters the game for I. Mahinmi,,58-74,,
1:02.0,,,58-74,,P. Gasol misses free throw 2 of 2
0:58.0,Defensive rebound by T. Frazier,,58-74,,
0:40.0,O. Porter makes 2-pt shot from 9 ft (assist by K. Oubre),2,60-74,,
0:24.0,,,60-77,3,R. Gay makes 3-pt shot from 25 ft (assist by T. Parker)
0:04.0,,,60-77,,Personal foul by T. Parker (drawn by R. Sessions)
0:04.0,,,60-77,,D. Green enters the game for P. Gasol
0:00.0,R. Sessions misses 2-pt shot from 7 ft (block by D. Green),,60-77,,
0:00.0,Offensive rebound by Team,,60-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,T. Frazier misses 2-pt shot from 20 ft,,60-77,,
11:33.0,,,60-77,,Defensive rebound by B. Forbes
11:19.0,,,60-77,,Turnover by R. Gay (bad pass)
11:09.0,O. Porter misses 2-pt shot from 7 ft,,60-77,,
11:05.0,,,60-77,,Defensive rebound by T. Parker
10:58.0,,,60-77,,Shooting foul by I. Mahinmi (drawn by R. Gay)
10:58.0,,,60-77,,R. Gay misses free throw 1 of 2
10:58.0,,,60-77,,Offensive rebound by Team
10:58.0,,,60-78,1,R. Gay makes free throw 2 of 2
10:48.0,R. Sessions misses 2-pt shot from 9 ft,,60-78,,
10:45.0,,,60-78,,Defensive rebound by R. Gay
10:37.0,,,60-78,,Shooting foul by T. Frazier (drawn by R. Gay)
10:37.0,,,60-79,1,R. Gay makes free throw 1 of 2
10:37.0,,,60-80,1,R. Gay makes free throw 2 of 2
10:28.0,I. Mahinmi misses 2-pt shot from 3 ft,,60-80,,
10:25.0,,,60-80,,Defensive rebound by R. Gay
10:17.0,,,60-82,2,B. Forbes makes 2-pt shot from 18 ft (assist by P. Gasol)
9:53.0,K. Oubre misses 2-pt shot from 7 ft (block by R. Gay),,60-82,,
9:49.0,Offensive rebound by K. Oubre,,60-82,,
9:47.0,O. Porter makes 3-pt shot from 26 ft (assist by K. Oubre),3,63-82,,
9:31.0,,,63-84,2,P. Gasol makes 2-pt shot at rim (assist by M. Ginobili)
9:30.0,Washington full timeout,,63-84,,
9:30.0,,,63-84,,P. Mills enters the game for M. Ginobili
9:30.0,T. Satoransky enters the game for O. Porter,,63-84,,
9:17.0,I. Mahinmi makes 2-pt shot from 5 ft (assist by R. Sessions),2,65-84,,
9:17.0,Shooting foul by P. Gasol (drawn by I. Mahinmi),,65-84,,
9:17.0,I. Mahinmi makes free throw 1 of 1,1,66-84,,
9:01.0,,,66-86,2,P. Gasol makes 2-pt shot from 3 ft (assist by T. Parker)
8:48.0,T. Frazier makes 2-pt shot from 13 ft (assist by I. Mahinmi),2,68-86,,
8:38.0,,,68-86,,P. Mills misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by K. Oubre,,68-86,,
8:26.0,K. Oubre makes 3-pt shot from 29 ft (assist by R. Sessions),3,71-86,,
7:56.0,,,71-86,,Turnover by P. Gasol (lost ball; steal by K. Oubre)
7:51.0,T. Frazier misses 3-pt shot from 26 ft,,71-86,,
7:47.0,,,71-86,,Defensive rebound by R. Gay
7:33.0,,,71-86,,D. Murray enters the game for T. Parker
7:33.0,,,71-86,,D. Green enters the game for B. Forbes
7:33.0,Jump ball: R. Gay vs. T. Frazier ( gains possession),,,,Jump ball: R. Gay vs. T. Frazier ( gains possession)
7:33.0,Loose ball foul by I. Mahinmi (drawn by P. Gasol),,71-86,,
7:28.0,,,71-86,,P. Gasol misses 2-pt shot from 3 ft
7:28.0,Defensive rebound by Team,,71-86,,
7:21.0,Turnover by R. Sessions (traveling),,71-86,,
6:56.0,,,71-86,,P. Mills misses 3-pt shot from 23 ft
6:52.0,Defensive rebound by T. Satoransky,,71-86,,
6:49.0,T. Satoransky misses 2-pt shot from 4 ft (block by D. Green),,71-86,,
6:46.0,Offensive rebound by R. Sessions,,71-86,,
6:46.0,K. Oubre makes 3-pt shot from 26 ft (assist by R. Sessions),3,74-86,,
6:46.0,,,74-86,,San Antonio full timeout
6:46.0,,,74-86,,K. Anderson enters the game for P. Gasol
6:46.0,,,74-86,,L. Aldridge enters the game for R. Gay
6:27.0,,,74-86,,Turnover by D. Green (bad pass; steal by I. Mahinmi)
6:20.0,I. Mahinmi misses 2-pt shot from 3 ft,,74-86,,
6:18.0,,,74-86,,Defensive rebound by D. Green
6:11.0,,,74-86,,Turnover by K. Anderson (bad pass; steal by T. Satoransky)
6:03.0,R. Sessions misses 3-pt shot from 26 ft,,74-86,,
5:57.0,,,74-86,,Defensive rebound by D. Murray
5:39.0,,,74-88,2,L. Aldridge makes 2-pt shot from 9 ft
5:20.0,R. Sessions misses 2-pt shot from 2 ft (block by K. Anderson),,74-88,,
5:20.0,Offensive rebound by T. Satoransky,,74-88,,
5:19.0,T. Satoransky misses 2-pt shot at rim,,74-88,,
5:18.0,Offensive rebound by T. Satoransky,,74-88,,
5:17.0,T. Satoransky misses 2-pt shot from 2 ft,,74-88,,
5:16.0,,,74-88,,Defensive rebound by K. Anderson
5:11.0,Personal foul by T. Frazier (drawn by D. Murray),,74-88,,
5:03.0,,,74-91,3,D. Murray makes 3-pt shot from 23 ft (assist by L. Aldridge)
4:47.0,T. Frazier misses 2-pt shot from 15 ft,,74-91,,
4:45.0,,,74-91,,Defensive rebound by D. Murray
4:33.0,,,74-93,2,L. Aldridge makes 2-pt shot from 11 ft
4:12.0,,,74-93,,Personal foul by P. Mills (drawn by R. Sessions)
4:12.0,,,74-93,,J. Lauvergne enters the game for L. Aldridge
4:12.0,J. Smith enters the game for T. Satoransky,,74-93,,
3:58.0,Turnover by Team (shot clock),,74-93,,
3:44.0,,,74-95,2,K. Anderson makes 2-pt shot from 3 ft
3:25.0,I. Mahinmi makes 2-pt shot at rim (assist by T. Frazier),2,76-95,,
3:25.0,,,76-95,,San Antonio full timeout
3:25.0,,,76-95,,B. Forbes enters the game for K. Anderson
3:25.0,,,76-95,,D. Bertans enters the game for P. Mills
3:25.0,,,76-95,,B. Paul enters the game for D. Green
3:09.0,,,76-95,,Turnover by D. Bertans (bad pass; steal by I. Mahinmi)
3:00.0,I. Mahinmi makes 2-pt shot from 6 ft (assist by R. Sessions),2,78-95,,
2:44.0,,,78-95,,Turnover by B. Paul (bad pass; steal by R. Sessions)
2:40.0,Shooting foul by B. Paul (drawn by R. Sessions),,78-95,,
2:40.0,R. Sessions makes free throw 1 of 2,1,79-95,,
2:40.0,,,79-95,,R. Gay enters the game for D. Murray
2:40.0,R. Sessions makes free throw 2 of 2,1,80-95,,
2:25.0,,,80-95,,J. Lauvergne misses 2-pt shot from 6 ft
2:22.0,Defensive rebound by R. Sessions,,80-95,,
2:19.0,K. Oubre makes 3-pt shot from 25 ft (assist by T. Frazier),3,83-95,,
2:17.0,,,83-95,,San Antonio full timeout
1:58.0,,,83-98,3,D. Bertans makes 3-pt shot from 26 ft (assist by B. Forbes)
1:50.0,T. Frazier misses 3-pt shot from 26 ft,,83-98,,
1:50.0,Offensive rebound by I. Mahinmi,,83-98,,
1:42.0,R. Sessions makes 2-pt shot from 1 ft (assist by I. Mahinmi),2,85-98,,
1:34.0,,,85-98,,Turnover by B. Forbes (lost ball; steal by T. Frazier)
1:31.0,,,85-98,,Personal foul by B. Paul (drawn by T. Frazier)
1:17.0,Shooting foul by R. Gay (drawn by I. Mahinmi),,85-98,,
1:17.0,I. Mahinmi makes free throw 1 of 2,1,86-98,,
1:17.0,I. Mahinmi makes free throw 2 of 2,1,87-98,,
