time,San Antonio,pts.away,score,pts.home,Toronto
7:56.0,,,8-6,,O. Anunoby misses 2-pt shot at rim
7:54.0,,,8-6,,Offensive rebound by O. Anunoby
7:54.0,,,8-6,,O. Anunoby misses 2-pt shot at rim
7:54.0,,,8-6,,Offensive rebound by J. Valanciunas
7:52.0,,,8-6,,J. Valanciunas misses 2-pt shot from 1 ft
7:52.0,Defensive rebound by T. Parker,,8-6,,
7:45.0,Turnover by K. Anderson (palming),,8-6,,
7:27.0,,,8-6,,O. Anunoby misses 3-pt shot from 23 ft
7:25.0,Defensive rebound by T. Parker,,8-6,,
7:17.0,L. Aldridge misses 2-pt shot from 21 ft,,8-6,,
7:15.0,,,8-6,,Defensive rebound by J. Valanciunas
7:07.0,,,8-8,2,D. DeRozan makes 2-pt shot from 1 ft
7:07.0,San Antonio full timeout,,8-8,,
6:45.0,T. Parker misses 2-pt shot from 17 ft,,8-8,,
6:44.0,Offensive rebound by Team,,8-8,,
6:33.0,P. Gasol makes 2-pt shot from 5 ft (assist by T. Parker),2,10-8,,
6:16.0,,,10-8,,K. Lowry misses 2-pt shot from 5 ft
6:13.0,Defensive rebound by L. Aldridge,,10-8,,
5:55.0,P. Gasol makes 2-pt shot from 15 ft (assist by D. Green),2,12-8,,
5:38.0,,,12-8,,K. Lowry misses 3-pt shot from 27 ft
5:36.0,Defensive rebound by K. Anderson,,12-8,,
5:24.0,D. Green makes 2-pt shot from 17 ft (assist by L. Aldridge),2,14-8,,
5:07.0,,,14-8,,Turnover by S. Ibaka (traveling)
5:07.0,D. Bertans enters the game for T. Parker,,14-8,,
5:07.0,D. Murray enters the game for L. Aldridge,,14-8,,
5:07.0,P. Mills enters the game for D. Green,,14-8,,
4:54.0,P. Gasol makes 2-pt shot from 15 ft (assist by P. Mills),2,16-8,,
4:42.0,,,16-8,,Toronto full timeout
4:42.0,,,16-8,,C. Miles enters the game for O. Anunoby
4:42.0,,,16-8,,J. Poeltl enters the game for J. Valanciunas
4:27.0,Personal foul by D. Murray (drawn by J. Poeltl),,16-8,,
4:14.0,,,16-10,2,S. Ibaka makes 2-pt shot from 5 ft (assist by D. DeRozan)
3:53.0,P. Mills misses 2-pt shot from 17 ft,,16-10,,
3:51.0,,,16-10,,Defensive rebound by K. Lowry
3:49.0,,,16-10,,Turnover by K. Lowry (lost ball; steal by K. Anderson)
3:36.0,Turnover by D. Murray (lost ball; steal by D. DeRozan),,16-10,,
3:27.0,,,16-13,3,K. Lowry makes 3-pt shot from 26 ft (assist by S. Ibaka)
3:11.0,P. Gasol misses 2-pt shot from 16 ft,,16-13,,
3:11.0,,,16-13,,Defensive rebound by S. Ibaka
3:04.0,,,16-13,,S. Ibaka misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by P. Mills,,16-13,,
2:52.0,,,16-13,,Personal foul by J. Poeltl (drawn by P. Gasol)
2:52.0,D. Green enters the game for K. Anderson,,16-13,,
2:52.0,,,16-13,,D. Wright enters the game for K. Lowry
2:46.0,P. Gasol misses 2-pt shot from 2 ft,,16-13,,
2:44.0,,,16-13,,Defensive rebound by Team
2:44.0,Loose ball foul by P. Gasol (drawn by D. DeRozan),,16-13,,
2:44.0,L. Aldridge enters the game for P. Gasol,,16-13,,
2:30.0,,,16-15,2,D. DeRozan makes 2-pt shot from 9 ft
2:18.0,,,16-15,,P. Siakam enters the game for S. Ibaka
2:06.0,L. Aldridge misses 2-pt shot from 14 ft,,16-15,,
2:03.0,,,16-15,,Defensive rebound by D. DeRozan
1:56.0,,,16-15,,C. Miles misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by D. Green,,16-15,,
1:35.0,L. Aldridge misses 2-pt shot from 7 ft,,16-15,,
1:32.0,,,16-15,,Defensive rebound by C. Miles
1:21.0,,,16-15,,D. Wright misses 2-pt shot from 5 ft
1:18.0,,,16-15,,Offensive rebound by P. Siakam
1:16.0,,,16-17,2,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam)
1:16.0,Violation by D. Bertans (def goaltending),,16-17,,
0:57.0,D. Murray misses 2-pt shot from 12 ft,,16-17,,
0:55.0,,,16-17,,Defensive rebound by C. Miles
0:36.0,,,16-17,,D. DeRozan misses 2-pt shot from 14 ft
0:32.0,Defensive rebound by D. Murray,,16-17,,
0:28.0,D. Bertans misses 3-pt shot from 26 ft,,16-17,,
0:24.0,Offensive rebound by D. Murray,,16-17,,
0:07.0,D. Murray misses 2-pt shot from 4 ft,,16-17,,
0:06.0,Offensive rebound by L. Aldridge,,16-17,,
0:06.0,L. Aldridge makes 2-pt shot from 1 ft,2,18-17,,
0:02.0,Personal block foul by D. Bertans (drawn by D. DeRozan),,18-17,,
0:00.0,,,18-17,,J. Poeltl misses 2-pt shot from 2 ft (block by D. Green)
0:00.0,,,18-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,L. Aldridge misses 2-pt shot from 5 ft,,18-17,,
11:40.0,Offensive rebound by D. Murray,,18-17,,
11:38.0,Turnover by B. Forbes (traveling),,18-17,,
11:38.0,T. Parker enters the game for D. Murray,,18-17,,
11:20.0,,,18-20,3,C. Miles makes 3-pt shot from 25 ft (assist by D. Wright)
11:04.0,P. Mills makes 2-pt shot from 2 ft,2,20-20,,
10:56.0,,,20-20,,C. Miles misses 2-pt shot from 10 ft
10:54.0,Defensive rebound by P. Mills,,20-20,,
10:41.0,P. Mills misses 2-pt shot from 21 ft,,20-20,,
10:39.0,,,20-20,,Defensive rebound by N. Powell
10:29.0,,,20-20,,Turnover by N. Powell (bad pass)
10:18.0,P. Mills misses 3-pt shot from 26 ft,,20-20,,
10:15.0,,,20-20,,Defensive rebound by D. Wright
10:08.0,,,20-22,2,D. Wright makes 2-pt shot from 3 ft
9:53.0,T. Parker misses 2-pt shot from 9 ft,,20-22,,
9:51.0,,,20-22,,Defensive rebound by D. Wright
9:41.0,,,20-22,,N. Powell misses 2-pt shot from 16 ft
9:38.0,Defensive rebound by L. Aldridge,,20-22,,
9:23.0,L. Aldridge misses 2-pt shot from 3 ft,,20-22,,
9:21.0,Offensive rebound by L. Aldridge,,20-22,,
9:05.0,P. Mills makes 2-pt shot from 3 ft,2,22-22,,
8:54.0,Personal foul by D. Bertans (drawn by P. Siakam),,22-22,,
8:54.0,P. Gasol enters the game for D. Bertans,,22-22,,
8:49.0,,,22-25,3,D. Wright makes 3-pt shot from 25 ft
8:29.0,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge),3,25-25,,
8:13.0,,,25-28,3,P. Siakam makes 3-pt shot from 26 ft (assist by N. Powell)
7:58.0,Shooting foul by J. Poeltl (drawn by P. Mills),,25-28,,
7:58.0,P. Mills makes free throw 1 of 2,1,26-28,,
7:58.0,P. Mills makes free throw 2 of 2,1,27-28,,
7:45.0,,,27-28,,Turnover by D. Wright (bad pass; steal by T. Parker)
7:32.0,Shooting foul by N. Powell (drawn by B. Forbes),,27-28,,
7:32.0,B. Forbes makes free throw 1 of 3,1,28-28,,
7:32.0,B. Forbes makes free throw 2 of 3,1,29-28,,
7:32.0,,,29-28,,K. Lowry enters the game for C. Miles
7:32.0,K. Anderson enters the game for P. Mills,,29-28,,
7:32.0,B. Forbes misses free throw 3 of 3,,29-28,,
7:30.0,,,29-28,,Defensive rebound by P. Siakam
7:15.0,,,29-28,,D. Wright misses 2-pt shot from 2 ft
7:14.0,,,29-28,,Offensive rebound by J. Poeltl
7:14.0,,,29-28,,Shooting foul by L. Aldridge (drawn by J. Poeltl)
7:14.0,,,29-28,,J. Poeltl misses free throw 1 of 2
7:14.0,,,29-28,,Offensive rebound by Team
7:14.0,D. Bertans enters the game for L. Aldridge,,29-28,,
7:14.0,,,29-29,1,J. Poeltl makes free throw 2 of 2
6:57.0,P. Gasol makes 2-pt shot at rim (assist by B. Forbes),2,31-29,,
6:48.0,,,31-31,2,N. Powell makes 2-pt shot from 11 ft
6:33.0,Turnover by T. Parker (lost ball; steal by D. Wright),,31-31,,
6:23.0,,,31-31,,Turnover by P. Siakam (lost ball; steal by P. Gasol)
6:02.0,D. Bertans makes 2-pt shot from 20 ft (assist by T. Parker),2,33-31,,
5:54.0,,,33-31,,Toronto full timeout
5:54.0,,,33-31,,D. DeRozan enters the game for N. Powell
5:54.0,,,33-31,,S. Ibaka enters the game for J. Poeltl
5:54.0,,,33-31,,J. Valanciunas enters the game for P. Siakam
5:54.0,D. Murray enters the game for T. Parker,,33-31,,
5:42.0,,,33-33,2,K. Lowry makes 2-pt shot from 1 ft
5:34.0,,,33-33,,Personal foul by K. Lowry (drawn by D. Murray)
5:25.0,Turnover by D. Murray (bad pass; steal by J. Valanciunas),,33-33,,
5:15.0,,,33-35,2,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Lowry)
5:15.0,San Antonio full timeout,,33-35,,
5:15.0,,,33-35,,O. Anunoby enters the game for D. Wright
5:01.0,B. Forbes makes 2-pt shot from 16 ft (assist by P. Gasol),2,35-35,,
4:35.0,,,35-35,,Turnover by D. DeRozan (bad pass; steal by D. Bertans)
4:26.0,D. Bertans misses 3-pt shot from 28 ft,,35-35,,
4:22.0,Offensive rebound by K. Anderson,,35-35,,
4:15.0,D. Murray misses 2-pt shot from 13 ft,,35-35,,
4:12.0,,,35-35,,Defensive rebound by S. Ibaka
4:04.0,,,35-35,,S. Ibaka misses 2-pt shot from 12 ft
4:04.0,Defensive rebound by Team,,35-35,,
4:04.0,,,35-35,,Loose ball foul by J. Valanciunas (drawn by P. Gasol)
3:40.0,K. Anderson misses 2-pt shot from 4 ft,,35-35,,
3:38.0,Offensive rebound by K. Anderson,,35-35,,
3:34.0,K. Anderson misses 2-pt shot from 2 ft,,35-35,,
3:34.0,,,35-35,,Defensive rebound by D. DeRozan
3:34.0,,,35-35,,S. Ibaka misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by D. Murray,,35-35,,
3:34.0,Shooting foul by S. Ibaka (drawn by D. Murray),,35-35,,
3:34.0,D. Murray makes free throw 1 of 2,1,36-35,,
3:34.0,L. Aldridge enters the game for K. Anderson,,36-35,,
3:34.0,P. Mills enters the game for B. Forbes,,36-35,,
3:34.0,D. Green enters the game for D. Bertans,,36-35,,
3:34.0,D. Murray makes free throw 2 of 2,1,37-35,,
3:15.0,,,37-37,2,D. DeRozan makes 2-pt shot from 18 ft
2:54.0,L. Aldridge misses 2-pt shot from 14 ft,,37-37,,
2:52.0,,,37-37,,Defensive rebound by O. Anunoby
2:34.0,,,37-40,3,K. Lowry makes 3-pt shot from 27 ft (assist by D. DeRozan)
2:09.0,L. Aldridge misses 2-pt shot from 1 ft,,37-40,,
2:05.0,,,37-40,,Defensive rebound by J. Valanciunas
2:03.0,,,37-40,,K. Lowry misses 3-pt shot from 26 ft
2:03.0,,,37-40,,Offensive rebound by O. Anunoby
1:58.0,,,37-40,,O. Anunoby misses 2-pt shot from 1 ft (block by D. Green)
1:58.0,Defensive rebound by P. Mills,,37-40,,
1:49.0,D. Green misses 2-pt shot from 5 ft,,37-40,,
1:47.0,,,37-40,,Defensive rebound by J. Valanciunas
1:45.0,,,37-40,,O. Anunoby misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by L. Aldridge,,37-40,,
1:35.0,D. Green misses 3-pt shot from 26 ft,,37-40,,
1:32.0,,,37-40,,Defensive rebound by S. Ibaka
1:15.0,,,37-42,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
0:49.0,L. Aldridge misses 2-pt shot from 4 ft,,37-42,,
0:48.0,,,37-42,,Defensive rebound by S. Ibaka
0:48.0,T. Parker enters the game for D. Murray,,37-42,,
0:31.0,,,37-42,,K. Lowry misses 2-pt shot from 11 ft
0:28.0,Defensive rebound by P. Gasol,,37-42,,
0:06.0,D. Green misses 3-pt shot from 33 ft,,37-42,,
0:04.0,,,37-42,,Defensive rebound by Team
0:04.0,,,37-42,,C. Miles enters the game for O. Anunoby
0:00.0,,,37-44,2,D. DeRozan makes 2-pt shot from 11 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,T. Parker misses 2-pt shot from 18 ft,,37-44,,
11:32.0,,,37-44,,Defensive rebound by J. Valanciunas
11:28.0,,,37-44,,Shooting foul by T. Parker (drawn by K. Lowry)
11:28.0,,,37-44,,K. Lowry misses free throw 1 of 3
11:28.0,,,37-44,,Offensive rebound by Team
11:28.0,,,37-45,1,K. Lowry makes free throw 2 of 3
11:28.0,,,37-46,1,K. Lowry makes free throw 3 of 3
11:16.0,D. Green misses 2-pt shot from 18 ft,,37-46,,
11:13.0,,,37-46,,Defensive rebound by O. Anunoby
11:08.0,,,37-46,,S. Ibaka misses 2-pt shot from 12 ft
11:05.0,Defensive rebound by L. Aldridge,,37-46,,
11:00.0,T. Parker misses 2-pt shot from 2 ft,,37-46,,
11:00.0,,,37-46,,Defensive rebound by Team
10:42.0,,,37-46,,D. DeRozan misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by K. Anderson,,37-46,,
10:31.0,Turnover by P. Gasol (bad pass; steal by O. Anunoby),,37-46,,
10:14.0,,,37-48,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
10:14.0,San Antonio full timeout,,37-48,,
9:58.0,L. Aldridge misses 2-pt shot from 19 ft,,37-48,,
9:53.0,,,37-48,,Defensive rebound by K. Lowry
9:42.0,,,37-50,2,D. DeRozan makes 2-pt shot from 20 ft (assist by S. Ibaka)
9:26.0,K. Anderson misses 2-pt shot from 10 ft,,37-50,,
9:24.0,,,37-50,,Defensive rebound by S. Ibaka
9:14.0,,,37-50,,S. Ibaka misses 3-pt shot from 26 ft
9:11.0,,,37-50,,Offensive rebound by J. Valanciunas
9:07.0,,,37-50,,O. Anunoby misses 2-pt shot from 1 ft (block by K. Anderson)
9:04.0,Defensive rebound by D. Green,,37-50,,
9:04.0,,,37-50,,Personal foul by D. DeRozan (drawn by D. Green)
8:56.0,T. Parker misses 2-pt shot from 17 ft,,37-50,,
8:54.0,,,37-50,,Defensive rebound by D. DeRozan
8:43.0,,,37-50,,K. Lowry misses 3-pt shot from 27 ft
8:40.0,Defensive rebound by P. Gasol,,37-50,,
8:30.0,T. Parker misses 2-pt shot from 11 ft,,37-50,,
8:28.0,Offensive rebound by L. Aldridge,,37-50,,
8:28.0,Shooting foul by K. Lowry (drawn by L. Aldridge),,37-50,,
8:28.0,L. Aldridge makes free throw 1 of 2,1,38-50,,
8:28.0,D. Murray enters the game for T. Parker,,38-50,,
8:28.0,L. Aldridge makes free throw 2 of 2,1,39-50,,
8:08.0,,,39-52,2,J. Valanciunas makes 2-pt shot from 7 ft
7:48.0,L. Aldridge makes 2-pt shot from 5 ft,2,41-52,,
7:48.0,Shooting foul by D. DeRozan (drawn by L. Aldridge),,41-52,,
7:48.0,L. Aldridge misses free throw 1 of 1,,41-52,,
7:45.0,,,41-52,,Defensive rebound by J. Valanciunas
7:33.0,,,41-54,2,D. DeRozan makes 2-pt shot from 11 ft
7:33.0,,,41-54,,Shooting foul by D. Murray (drawn by D. DeRozan)
7:33.0,J. Lauvergne enters the game for P. Gasol,,41-54,,
7:33.0,,,41-55,1,D. DeRozan makes free throw 1 of 1
7:10.0,D. Green makes 2-pt shot from 1 ft,2,43-55,,
6:57.0,,,43-55,,O. Anunoby misses 3-pt shot from 22 ft
6:56.0,Defensive rebound by D. Green,,43-55,,
6:53.0,Turnover by D. Green (bad pass),,43-55,,
6:53.0,P. Mills enters the game for D. Green,,43-55,,
6:33.0,,,43-55,,Turnover by J. Valanciunas (lost ball; steal by K. Anderson)
6:21.0,K. Anderson makes 3-pt shot from 22 ft (assist by D. Murray),3,46-55,,
6:06.0,,,46-57,2,K. Lowry makes 2-pt shot from 1 ft
5:42.0,L. Aldridge misses 3-pt shot from 26 ft,,46-57,,
5:39.0,Offensive rebound by K. Anderson,,46-57,,
5:29.0,K. Anderson makes 2-pt shot at rim,2,48-57,,
5:22.0,,,48-57,,Toronto full timeout
5:22.0,,,48-57,,C. Miles enters the game for O. Anunoby
5:11.0,,,48-59,2,J. Valanciunas makes 2-pt shot from 10 ft
4:57.0,,,48-59,,Personal foul by D. DeRozan (drawn by D. Murray)
4:50.0,Turnover by P. Mills (bad pass; steal by K. Lowry),,48-59,,
4:39.0,,,48-59,,C. Miles misses 3-pt shot from 23 ft
4:36.0,Defensive rebound by L. Aldridge,,48-59,,
4:25.0,P. Mills misses 3-pt shot from 26 ft,,48-59,,
4:21.0,,,48-59,,Defensive rebound by D. DeRozan
4:01.0,,,48-59,,C. Miles misses 2-pt shot from 3 ft (block by K. Anderson)
3:58.0,Defensive rebound by K. Anderson,,48-59,,
3:55.0,D. Murray makes 2-pt shot at rim (assist by K. Anderson),2,50-59,,
3:39.0,,,50-59,,D. DeRozan misses 2-pt shot from 7 ft
3:36.0,Defensive rebound by K. Anderson,,50-59,,
3:27.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by K. Anderson),2,52-59,,
3:02.0,,,52-61,2,J. Valanciunas makes 2-pt shot from 5 ft
2:44.0,L. Aldridge misses 2-pt shot from 14 ft,,52-61,,
2:41.0,,,52-61,,Defensive rebound by K. Lowry
2:37.0,,,52-61,,K. Lowry misses 3-pt shot from 27 ft
2:35.0,Defensive rebound by P. Mills,,52-61,,
2:25.0,Shooting foul by S. Ibaka (drawn by L. Aldridge),,52-61,,
2:25.0,L. Aldridge makes free throw 1 of 2,1,53-61,,
2:25.0,,,53-61,,P. Siakam enters the game for K. Lowry
2:25.0,,,53-61,,J. Poeltl enters the game for S. Ibaka
2:25.0,,,53-61,,D. Wright enters the game for J. Valanciunas
2:25.0,P. Gasol enters the game for K. Anderson,,53-61,,
2:25.0,B. Forbes enters the game for J. Lauvergne,,53-61,,
2:25.0,L. Aldridge makes free throw 2 of 2,1,54-61,,
2:15.0,,,54-61,,D. DeRozan misses 2-pt shot from 17 ft
2:12.0,Defensive rebound by P. Gasol,,54-61,,
2:02.0,L. Aldridge makes 2-pt shot at rim (assist by P. Gasol),2,56-61,,
1:50.0,,,56-61,,D. Wright misses 2-pt shot from 2 ft
1:49.0,Defensive rebound by D. Murray,,56-61,,
1:45.0,D. Murray misses 2-pt shot from 2 ft,,56-61,,
1:40.0,Offensive rebound by L. Aldridge,,56-61,,
1:40.0,L. Aldridge makes 2-pt shot at rim,2,58-61,,
1:28.0,,,58-61,,D. DeRozan misses 2-pt shot from 4 ft
1:26.0,Defensive rebound by P. Gasol,,58-61,,
1:22.0,P. Mills misses 3-pt shot from 27 ft,,58-61,,
1:18.0,Offensive rebound by L. Aldridge,,58-61,,
1:17.0,L. Aldridge makes 2-pt shot from 1 ft,2,60-61,,
1:09.0,,,60-61,,Toronto full timeout
1:09.0,,,60-61,,N. Powell enters the game for D. DeRozan
0:54.0,,,60-61,,P. Siakam misses 2-pt shot from 2 ft (block by L. Aldridge)
0:54.0,,,60-61,,Offensive rebound by Team
0:51.0,,,60-61,,Turnover by Team (shot clock)
0:38.0,Turnover by D. Murray (bad pass; steal by C. Miles),,60-61,,
0:36.0,,,60-63,2,C. Miles makes 2-pt shot from 1 ft
0:14.0,P. Gasol misses 2-pt shot from 2 ft,,60-63,,
0:12.0,,,60-63,,Defensive rebound by P. Siakam
0:03.0,Personal take foul by P. Mills (drawn by N. Powell),,60-63,,
0:01.0,,,60-63,,N. Powell misses 2-pt shot from 18 ft
0:01.0,Defensive rebound by L. Aldridge,,60-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,60-63,,C. Miles misses 3-pt shot from 26 ft
11:45.0,Defensive rebound by B. Forbes,,60-63,,
11:36.0,D. Murray makes 2-pt shot at rim (assist by P. Gasol),2,62-63,,
11:11.0,,,62-63,,Shooting foul by P. Gasol (drawn by C. Miles)
11:11.0,,,62-63,,C. Miles misses free throw 1 of 2
11:11.0,,,62-63,,Offensive rebound by Team
11:11.0,,,62-64,1,C. Miles makes free throw 2 of 2
10:59.0,P. Gasol misses 2-pt shot from 2 ft,,62-64,,
10:55.0,Offensive rebound by D. Murray,,62-64,,
10:55.0,D. Murray misses 2-pt shot at rim,,62-64,,
10:54.0,,,62-64,,Defensive rebound by P. Siakam
10:41.0,,,62-64,,P. Siakam misses 2-pt shot from 3 ft
10:39.0,Defensive rebound by D. Bertans,,62-64,,
10:27.0,,,62-64,,Personal foul by J. Poeltl (drawn by P. Gasol)
10:13.0,D. Green misses 2-pt shot from 3 ft,,62-64,,
10:09.0,,,62-64,,Defensive rebound by C. Miles
9:55.0,,,62-67,3,P. Siakam makes 3-pt shot from 26 ft (assist by D. Wright)
9:32.0,D. Green misses 2-pt shot from 6 ft,,62-67,,
9:30.0,,,62-67,,Defensive rebound by J. Poeltl
9:15.0,,,62-67,,P. Siakam misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by D. Green,,62-67,,
9:10.0,D. Bertans makes 2-pt shot from 1 ft (assist by D. Green),2,64-67,,
8:50.0,,,64-67,,D. Wright misses 2-pt shot from 3 ft
8:50.0,Defensive rebound by Team,,64-67,,
8:36.0,D. Murray misses 2-pt shot from 1 ft,,64-67,,
8:34.0,,,64-67,,Defensive rebound by J. Poeltl
8:29.0,,,64-67,,N. Powell misses 2-pt shot from 3 ft
8:27.0,Defensive rebound by D. Green,,64-67,,
8:24.0,San Antonio full timeout,,64-67,,
8:24.0,,,64-67,,K. Lowry enters the game for N. Powell
8:24.0,P. Mills enters the game for D. Murray,,64-67,,
8:12.0,D. Bertans misses 3-pt shot from 25 ft,,64-67,,
8:09.0,,,64-67,,Defensive rebound by C. Miles
7:59.0,,,64-67,,J. Poeltl misses 2-pt shot from 9 ft
7:54.0,Defensive rebound by P. Gasol,,64-67,,
7:48.0,Turnover by P. Mills (lost ball; steal by P. Siakam),,64-67,,
7:41.0,,,64-70,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. Wright)
7:23.0,Shooting foul by K. Lowry (drawn by P. Mills),,64-70,,
7:23.0,P. Mills makes free throw 1 of 2,1,65-70,,
7:23.0,,,65-70,,D. DeRozan enters the game for J. Poeltl
7:23.0,,,65-70,,J. Valanciunas enters the game for D. Wright
7:23.0,L. Aldridge enters the game for D. Green,,65-70,,
7:23.0,K. Anderson enters the game for P. Gasol,,65-70,,
7:23.0,P. Mills makes free throw 2 of 2,1,66-70,,
6:59.0,,,66-70,,K. Lowry misses 2-pt shot from 3 ft (block by L. Aldridge)
6:57.0,Defensive rebound by K. Anderson,,66-70,,
6:53.0,B. Forbes makes 3-pt shot from 23 ft (assist by D. Bertans),3,69-70,,
6:34.0,,,69-70,,P. Siakam misses 3-pt shot from 26 ft
6:31.0,Defensive rebound by K. Anderson,,69-70,,
6:22.0,P. Mills misses 3-pt shot from 26 ft,,69-70,,
6:17.0,,,69-70,,Defensive rebound by D. DeRozan
6:07.0,,,69-72,2,D. DeRozan makes 2-pt shot from 13 ft
5:51.0,L. Aldridge misses 2-pt shot from 15 ft,,69-72,,
5:48.0,,,69-72,,Defensive rebound by P. Siakam
5:39.0,,,69-72,,D. DeRozan misses 2-pt shot from 11 ft
5:35.0,Defensive rebound by D. Bertans,,69-72,,
5:22.0,L. Aldridge misses 2-pt shot from 6 ft,,69-72,,
5:20.0,,,69-72,,Defensive rebound by P. Siakam
5:11.0,,,69-74,2,K. Lowry makes 2-pt shot from 14 ft
5:09.0,San Antonio full timeout,,69-74,,
5:09.0,,,69-74,,S. Ibaka enters the game for C. Miles
5:09.0,,,69-74,,D. Wright enters the game for P. Siakam
5:00.0,Turnover by K. Anderson (step out of bounds),,69-74,,
4:41.0,,,69-74,,Turnover by D. Wright (lost ball; steal by D. Bertans)
4:34.0,,,69-74,,Personal foul by S. Ibaka (drawn by D. Bertans)
4:34.0,P. Gasol enters the game for D. Bertans,,69-74,,
4:28.0,P. Mills makes 2-pt shot from 21 ft,2,71-74,,
4:13.0,,,71-74,,D. DeRozan misses 2-pt shot from 14 ft (block by K. Anderson)
4:11.0,Defensive rebound by K. Anderson,,71-74,,
4:09.0,P. Mills misses 3-pt shot from 25 ft,,71-74,,
4:09.0,Offensive rebound by K. Anderson,,71-74,,
4:05.0,P. Mills misses 3-pt shot from 25 ft,,71-74,,
4:05.0,,,71-74,,Defensive rebound by J. Valanciunas
3:54.0,,,71-74,,Shooting foul by B. Forbes (drawn by K. Lowry)
3:54.0,,,71-75,1,K. Lowry makes free throw 1 of 2
3:54.0,D. Green enters the game for B. Forbes,,71-75,,
3:54.0,,,71-76,1,K. Lowry makes free throw 2 of 2
3:32.0,L. Aldridge misses 2-pt shot from 14 ft,,71-76,,
3:30.0,,,71-76,,Defensive rebound by S. Ibaka
3:23.0,,,71-76,,K. Lowry misses 3-pt shot from 25 ft
3:20.0,,,71-76,,Offensive rebound by J. Valanciunas
3:19.0,,,71-76,,Toronto full timeout
3:19.0,D. Murray enters the game for D. Green,,71-76,,
3:08.0,,,71-78,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by D. DeRozan)
2:47.0,P. Mills misses 3-pt shot from 24 ft,,71-78,,
2:43.0,,,71-78,,Defensive rebound by D. DeRozan
2:39.0,,,71-80,2,D. DeRozan makes 2-pt shot at rim
