time,Indiana,pts.away,score,pts.home,Miami
5:58.0,,,13-17,2,D. Waiters makes 2-pt shot from 2 ft
5:43.0,T. Young makes 2-pt shot from 6 ft (assist by D. Collison),2,15-17,,
5:25.0,,,15-19,2,J. Mickey makes 2-pt shot from 3 ft (assist by G. Dragic)
5:16.0,D. Collison misses 2-pt shot from 4 ft,,15-19,,
5:13.0,Offensive rebound by V. Oladipo,,15-19,,
5:10.0,D. Collison makes 3-pt shot from 22 ft (assist by V. Oladipo),3,18-19,,
5:01.0,,,18-19,,Miami full timeout
5:01.0,,,18-19,,T. Johnson enters the game for J. Richardson
5:01.0,,,18-19,,K. Olynyk enters the game for J. Mickey
5:01.0,L. Stephenson enters the game for B. Bogdanovic,,18-19,,
5:01.0,A. Jefferson enters the game for D. Sabonis,,18-19,,
4:46.0,,,18-22,3,G. Dragic makes 3-pt shot from 25 ft
4:25.0,D. Collison misses 2-pt shot from 16 ft,,18-22,,
4:24.0,Offensive rebound by Team,,18-22,,
4:12.0,A. Jefferson makes 2-pt shot from 11 ft (assist by V. Oladipo),2,20-22,,
3:53.0,,,20-24,2,T. Johnson makes 2-pt shot from 16 ft (assist by K. Olynyk)
3:33.0,T. Young misses 2-pt shot from 7 ft,,20-24,,
3:30.0,T. Young makes 2-pt shot from 2 ft,2,22-24,,
3:27.0,Offensive rebound by T. Young,,22-24,,
3:05.0,,,22-24,,T. Johnson misses 2-pt shot from 16 ft
3:03.0,Defensive rebound by A. Jefferson,,22-24,,
2:50.0,A. Jefferson makes 2-pt shot from 3 ft (assist by D. Collison),2,24-24,,
2:50.0,Shooting foul by G. Dragic (drawn by A. Jefferson),,24-24,,
2:50.0,Indiana full timeout,,24-24,,
2:50.0,,,24-24,,J. Winslow enters the game for J. Johnson
2:50.0,C. Joseph enters the game for D. Collison,,24-24,,
2:50.0,A. Jefferson makes free throw 1 of 1,1,25-24,,
2:31.0,,,25-24,,G. Dragic misses 2-pt shot from 13 ft
2:24.0,Defensive rebound by L. Stephenson,,25-24,,
2:15.0,,,25-24,,Personal foul by G. Dragic (drawn by V. Oladipo)
2:15.0,V. Oladipo makes free throw 1 of 2,1,26-24,,
2:15.0,,,26-24,,J. Richardson enters the game for G. Dragic
2:15.0,T. Leaf enters the game for T. Young,,26-24,,
2:15.0,V. Oladipo makes free throw 2 of 2,1,27-24,,
1:58.0,,,27-24,,T. Johnson misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by T. Leaf,,27-24,,
1:48.0,,,27-24,,W. Ellington enters the game for D. Waiters
1:48.0,D. Wilkins enters the game for V. Oladipo,,27-24,,
1:34.0,A. Jefferson makes 2-pt shot from 14 ft,2,29-24,,
1:20.0,,,29-26,2,J. Winslow makes 2-pt shot from 11 ft
1:05.0,L. Stephenson misses 2-pt shot from 19 ft,,29-26,,
1:03.0,,,29-26,,Defensive rebound by K. Olynyk
0:55.0,,,29-26,,Turnover by K. Olynyk (bad pass; steal by L. Stephenson)
0:44.0,C. Joseph misses 2-pt shot from 1 ft (block by T. Johnson),,29-26,,
0:44.0,Offensive rebound by Team,,29-26,,
0:37.0,C. Joseph makes 2-pt shot from 20 ft,2,31-26,,
0:20.0,,,31-26,,W. Ellington misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by A. Jefferson,,31-26,,
0:01.0,A. Jefferson misses 3-pt shot from 20 ft,,31-26,,
0:00.0,,,31-26,,Defensive rebound by W. Ellington
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,31-28,2,J. Winslow makes 2-pt shot from 1 ft (assist by J. Richardson)
11:22.0,D. Sabonis misses 2-pt shot from 7 ft,,31-28,,
11:19.0,,,31-28,,Defensive rebound by K. Olynyk
11:14.0,,,31-30,2,W. Ellington makes 2-pt shot from 1 ft (assist by K. Olynyk)
11:00.0,C. Joseph misses 2-pt shot from 19 ft,,31-30,,
10:57.0,,,31-30,,Defensive rebound by J. Richardson
10:52.0,,,31-33,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson)
10:35.0,L. Stephenson makes 2-pt shot from 15 ft,2,33-33,,
10:30.0,Personal foul by L. Stephenson (drawn by J. Richardson),,33-33,,
10:21.0,,,33-33,,Turnover by T. Johnson (bad pass; steal by C. Joseph)
10:08.0,Offensive charge foul by L. Stephenson (drawn by K. Olynyk),,33-33,,
10:08.0,Turnover by L. Stephenson (offensive foul),,33-33,,
9:48.0,,,33-33,,K. Olynyk misses 2-pt shot from 4 ft
9:44.0,,,33-33,,Offensive rebound by K. Olynyk
9:41.0,,,33-35,2,K. Olynyk makes 2-pt shot from 1 ft
9:23.0,C. Joseph makes 2-pt shot from 17 ft,2,35-35,,
9:14.0,,,35-35,,Turnover by J. Richardson (traveling)
8:50.0,Jump ball: J. Winslow vs. C. Joseph (J. Richardson gains possession),,,,Jump ball: J. Winslow vs. C. Joseph (J. Richardson gains possession)
8:50.0,Turnover by C. Joseph (turnover; steal by J. Winslow),,35-35,,
8:41.0,,,35-35,,K. Olynyk misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by T. Leaf,,35-35,,
8:28.0,Offensive charge foul by D. Sabonis (drawn by K. Olynyk),,35-35,,
8:28.0,Turnover by D. Sabonis (offensive foul),,35-35,,
8:19.0,Personal foul by C. Joseph (drawn by K. Olynyk),,35-35,,
8:19.0,Turnover by C. Joseph (turnover),,35-35,,
8:19.0,B. Bogdanovic enters the game for D. Wilkins,,35-35,,
8:11.0,,,35-37,2,J. Winslow makes 2-pt shot from 12 ft (assist by K. Olynyk)
7:53.0,T. Leaf makes 3-pt shot from 23 ft (assist by D. Sabonis),3,38-37,,
7:42.0,,,38-37,,W. Ellington misses 3-pt shot from 22 ft
7:39.0,,,38-37,,Offensive rebound by J. Richardson
7:32.0,,,38-37,,W. Ellington misses 2-pt shot from 2 ft (block by D. Sabonis)
7:30.0,Defensive rebound by D. Sabonis,,38-37,,
7:25.0,,,38-37,,Def 3 sec tech foul by T. Johnson
7:25.0,B. Bogdanovic makes technical free throw,1,39-37,,
7:18.0,Offensive foul by D. Sabonis (drawn by K. Olynyk),,39-37,,
7:18.0,Turnover by D. Sabonis (offensive foul),,39-37,,
7:08.0,,,39-37,,T. Johnson misses 2-pt shot from 4 ft
7:08.0,,,39-37,,Offensive rebound by Team
7:08.0,Loose ball foul by D. Sabonis (drawn by J. Richardson),,39-37,,
7:08.0,A. Jefferson enters the game for D. Sabonis,,39-37,,
6:57.0,,,39-40,3,K. Olynyk makes 3-pt shot from 26 ft (assist by T. Johnson)
6:36.0,A. Jefferson misses 2-pt shot from 5 ft,,39-40,,
6:33.0,,,39-40,,Defensive rebound by J. Winslow
6:30.0,,,39-40,,T. Johnson misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by A. Jefferson,,39-40,,
6:16.0,A. Jefferson misses 2-pt shot at rim,,39-40,,
6:14.0,,,39-40,,Defensive rebound by J. Winslow
6:09.0,,,39-43,3,J. Richardson makes 3-pt shot from 23 ft (assist by W. Ellington)
6:09.0,Indiana full timeout,,39-43,,
6:09.0,,,39-43,,G. Dragic enters the game for J. Richardson
6:09.0,,,39-43,,D. Waiters enters the game for W. Ellington
6:09.0,T. Young enters the game for L. Stephenson,,39-43,,
6:09.0,D. Collison enters the game for C. Joseph,,39-43,,
6:09.0,V. Oladipo enters the game for T. Leaf,,39-43,,
5:55.0,A. Jefferson misses 2-pt shot from 1 ft (block by J. Winslow),,39-43,,
5:51.0,,,39-43,,Defensive rebound by J. Winslow
5:47.0,,,39-45,2,G. Dragic makes 2-pt shot from 1 ft (assist by T. Johnson)
5:38.0,Turnover by V. Oladipo (lost ball; steal by K. Olynyk),,39-45,,
5:34.0,,,39-48,3,K. Olynyk makes 3-pt shot from 25 ft
5:13.0,Turnover by D. Collison (bad pass; steal by D. Waiters),,39-48,,
5:13.0,Personal foul by A. Jefferson (drawn by D. Waiters),,39-48,,
5:13.0,,,39-48,,J. Johnson enters the game for J. Winslow
4:49.0,,,39-50,2,K. Olynyk makes 2-pt shot from 21 ft (assist by J. Johnson)
4:29.0,T. Young makes 2-pt shot at rim,2,41-50,,
4:20.0,,,41-52,2,G. Dragic makes 2-pt shot from 2 ft
4:12.0,,,41-52,,Violation by J. Johnson (kicked ball)
4:12.0,,,41-52,,J. Richardson enters the game for T. Johnson
4:02.0,,,41-52,,Personal foul by J. Richardson (drawn by B. Bogdanovic)
3:45.0,A. Jefferson makes 2-pt shot from 3 ft (assist by D. Collison),2,43-52,,
3:41.0,,,43-52,,K. Olynyk misses 2-pt shot from 1 ft
3:38.0,Defensive rebound by A. Jefferson,,43-52,,
3:31.0,B. Bogdanovic makes 2-pt shot from 10 ft,2,45-52,,
3:27.0,,,45-52,,Miami full timeout
3:27.0,,,45-52,,J. Winslow enters the game for K. Olynyk
3:27.0,D. Wilkins enters the game for A. Jefferson,,45-52,,
3:18.0,,,45-52,,J. Johnson misses 3-pt shot from 23 ft
3:13.0,Defensive rebound by V. Oladipo,,45-52,,
3:01.0,T. Young misses 2-pt shot from 8 ft (block by J. Johnson),,45-52,,
2:57.0,,,45-52,,Defensive rebound by J. Richardson
2:52.0,,,45-54,2,G. Dragic makes 2-pt shot from 2 ft
2:43.0,T. Young misses 3-pt shot from 24 ft,,45-54,,
2:41.0,,,45-54,,Defensive rebound by J. Richardson
2:39.0,,,45-56,2,D. Waiters makes 2-pt shot from 2 ft
2:39.0,,,45-56,,Shooting foul by D. Wilkins (drawn by D. Waiters)
2:39.0,,,45-56,,D. Waiters misses free throw 1 of 1
2:36.0,Defensive rebound by D. Wilkins,,45-56,,
2:25.0,T. Young misses 2-pt shot from 2 ft,,45-56,,
2:23.0,,,45-56,,Defensive rebound by D. Waiters
2:18.0,,,45-58,2,D. Waiters makes 2-pt shot from 2 ft
1:59.0,V. Oladipo makes 2-pt shot from 1 ft,2,47-58,,
1:41.0,Def 3 sec tech foul by D. Wilkins,,47-58,,
1:41.0,,,47-59,1,G. Dragic makes technical free throw
1:41.0,,,47-59,,T. Johnson enters the game for J. Richardson
1:26.0,,,47-61,2,T. Johnson makes 2-pt shot at rim (assist by J. Johnson)
1:05.0,D. Collison makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,50-61,,
0:50.0,,,50-61,,J. Johnson misses 3-pt shot from 25 ft
0:47.0,,,50-61,,Offensive rebound by G. Dragic
0:43.0,,,50-61,,G. Dragic misses 2-pt shot from 4 ft (block by D. Collison)
0:43.0,,,50-61,,Offensive rebound by J. Winslow
0:35.0,,,50-61,,D. Waiters misses 2-pt shot from 4 ft
0:34.0,,,50-63,2,J. Johnson makes 2-pt shot at rim
0:32.0,,,50-63,,Offensive rebound by J. Johnson
0:12.0,D. Collison misses 2-pt shot from 15 ft,,50-63,,
0:10.0,,,50-63,,Defensive rebound by T. Johnson
0:00.0,,,50-63,,D. Waiters misses 3-pt shot from 25 ft
0:00.0,,,50-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,64-80,2,G. Dragic makes 2-pt shot from 2 ft (assist by J. Johnson)
11:23.0,V. Oladipo misses 2-pt shot from 16 ft,,64-80,,
11:23.0,,,64-80,,Defensive rebound by J. Richardson
11:12.0,,,64-80,3,J. Richardson makes 3-pt shot from 28 ft (assist by D. Waiters)
11:02.0,,,64-80,,Personal foul by D. Waiters (drawn by V. Oladipo)
10:47.0,T. Young makes 2-pt shot from 20 ft,2,64-80,,
10:27.0,,,64-80,,Turnover by G. Dragic (lost ball; steal by V. Oladipo)
10:22.0,D. Collison makes 2-pt shot from 1 ft (assist by V. Oladipo),2,64-80,,
10:07.0,,,64-80,3,J. Johnson makes 3-pt shot from 27 ft (assist by D. Waiters)
9:54.0,V. Oladipo misses 3-pt shot from 26 ft,,64-80,,
9:52.0,,,64-80,,Defensive rebound by G. Dragic
9:35.0,,,64-80,,J. Richardson misses 2-pt shot from 20 ft
9:35.0,Defensive rebound by Team,,64-80,,
9:25.0,D. Sabonis makes 2-pt shot from 2 ft (assist by D. Collison),2,64-80,,
9:14.0,,,64-80,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson)
9:01.0,V. Oladipo makes 2-pt shot from 5 ft,2,64-80,,
8:49.0,,,64-80,3,D. Waiters makes 3-pt shot from 26 ft (assist by J. Johnson)
8:37.0,Shooting foul by D. Waiters (drawn by V. Oladipo),,64-80,,
8:37.0,V. Oladipo makes free throw 1 of 2,1,64-80,,
8:37.0,V. Oladipo makes free throw 2 of 2,1,64-80,,
8:29.0,,,64-80,2,J. Mickey makes 2-pt shot from 2 ft (assist by G. Dragic)
8:29.0,,,64-80,,Shooting foul by B. Bogdanovic (drawn by J. Mickey)
8:29.0,,,64-80,,J. Mickey misses free throw 1 of 1
8:29.0,Defensive rebound by T. Young,,64-80,,
8:25.0,Indiana full timeout,,64-80,,
8:18.0,V. Oladipo makes 2-pt shot from 1 ft,2,64-80,,
8:02.0,,,64-80,2,J. Mickey makes 2-pt shot from 2 ft (assist by J. Richardson)
7:55.0,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo),2,64-80,,
7:22.0,,,64-80,,J. Johnson misses 2-pt shot from 17 ft
7:06.0,Defensive rebound by D. Sabonis,,64-80,,
7:00.0,V. Oladipo misses 2-pt shot from 20 ft,,64-80,,
6:55.0,,,64-80,,Defensive rebound by J. Johnson
6:50.0,,,64-80,,D. Waiters misses 3-pt shot from 26 ft
6:43.0,Defensive rebound by T. Young,,64-80,,
6:36.0,D. Sabonis misses 3-pt shot from 26 ft,,64-80,,
6:33.0,,,64-80,,Defensive rebound by J. Johnson
6:27.0,,,64-80,,Shooting foul by D. Collison (drawn by G. Dragic)
6:27.0,,,64-81,1,G. Dragic makes free throw 1 of 2
6:27.0,C. Joseph enters the game for B. Bogdanovic,,64-81,,
6:27.0,,,64-82,1,G. Dragic makes free throw 2 of 2
6:17.0,,,64-82,,Personal foul by J. Mickey (drawn by D. Sabonis)
6:08.0,T. Young misses 2-pt shot from 6 ft,,64-82,,
6:03.0,,,64-82,,Defensive rebound by J. Mickey
5:43.0,,,64-84,2,J. Johnson makes 2-pt shot from 3 ft
5:29.0,V. Oladipo makes 2-pt shot from 2 ft,2,66-84,,
5:29.0,Personal foul by T. Young (drawn by G. Dragic),,66-84,,
5:29.0,,,66-84,,K. Olynyk enters the game for J. Richardson
5:29.0,,,66-84,,T. Johnson enters the game for J. Mickey
5:29.0,A. Jefferson enters the game for D. Sabonis,,66-84,,
5:22.0,Personal foul by V. Oladipo (drawn by D. Waiters),,66-84,,
5:09.0,,,66-87,3,G. Dragic makes 3-pt shot from 25 ft (assist by K. Olynyk)
4:58.0,V. Oladipo misses 2-pt shot from 19 ft,,66-87,,
4:53.0,,,66-87,,Defensive rebound by K. Olynyk
4:47.0,,,66-87,,J. Johnson misses 3-pt shot from 22 ft
4:43.0,Defensive rebound by A. Jefferson,,66-87,,
4:32.0,Shooting foul by T. Johnson (drawn by D. Collison),,66-87,,
4:32.0,D. Collison makes free throw 1 of 2,1,67-87,,
4:32.0,,,67-87,,J. Winslow enters the game for J. Johnson
4:32.0,T. Leaf enters the game for T. Young,,67-87,,
4:32.0,D. Collison makes free throw 2 of 2,1,68-87,,
4:19.0,,,68-87,,Turnover by K. Olynyk (bad pass; steal by C. Joseph)
4:04.0,V. Oladipo misses 3-pt shot from 25 ft,,68-87,,
4:01.0,,,68-87,,Defensive rebound by K. Olynyk
3:59.0,,,68-87,,J. Winslow misses 2-pt shot from 3 ft (block by V. Oladipo)
3:56.0,,,68-87,,Offensive rebound by Team
3:50.0,,,68-87,,D. Waiters misses 2-pt shot from 14 ft
3:46.0,Defensive rebound by D. Collison,,68-87,,
3:40.0,,,68-87,,Personal foul by K. Olynyk (drawn by C. Joseph)
3:40.0,C. Joseph misses free throw 2 of 2,,68-87,,
3:40.0,,,68-87,,Defensive rebound by T. Johnson
3:40.0,C. Joseph misses free throw 1 of 2,,68-87,,
3:40.0,Offensive rebound by Team,,68-87,,
3:36.0,,,68-87,,Miami full timeout
3:30.0,,,68-87,,K. Olynyk misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by A. Jefferson,,68-87,,
3:03.0,C. Joseph misses 2-pt shot from 22 ft,,68-87,,
2:59.0,,,68-87,,Defensive rebound by J. Winslow
2:55.0,,,68-87,,Shooting foul by T. Leaf (drawn by D. Waiters)
2:55.0,,,68-87,,D. Waiters misses free throw 1 of 2
2:55.0,,,68-87,,Offensive rebound by Team
2:55.0,,,68-88,1,D. Waiters makes free throw 2 of 2
2:30.0,C. Joseph misses 2-pt shot from 1 ft,,68-88,,
2:30.0,Offensive rebound by A. Jefferson,,68-88,,
2:30.0,Shooting foul by T. Johnson (drawn by A. Jefferson),,68-88,,
2:30.0,A. Jefferson makes free throw 1 of 2,1,69-88,,
2:30.0,A. Jefferson misses free throw 2 of 2,,69-88,,
2:27.0,,,69-88,,Defensive rebound by K. Olynyk
2:19.0,,,69-88,,J. Winslow misses 2-pt shot from 4 ft
2:19.0,Defensive rebound by Team,,69-88,,
2:01.0,A. Jefferson makes 2-pt shot from 4 ft (assist by V. Oladipo),2,71-88,,
1:51.0,,,71-88,,G. Dragic misses 2-pt shot from 9 ft
1:48.0,Defensive rebound by T. Leaf,,71-88,,
1:44.0,V. Oladipo makes 3-pt shot from 24 ft,3,74-88,,
1:27.0,,,74-88,,D. Waiters misses 2-pt shot from 2 ft (block by A. Jefferson)
1:27.0,,,74-88,,Offensive rebound by Team
1:27.0,,,74-88,,J. Richardson enters the game for G. Dragic
1:27.0,,,74-88,,W. Ellington enters the game for D. Waiters
1:14.0,,,74-91,3,K. Olynyk makes 3-pt shot from 25 ft
1:08.0,V. Oladipo misses 2-pt shot from 1 ft,,74-91,,
1:08.0,Offensive rebound by Team,,74-91,,
1:08.0,L. Stephenson enters the game for D. Collison,,74-91,,
1:03.0,V. Oladipo misses 2-pt shot from 2 ft (block by K. Olynyk),,74-91,,
0:58.0,,,74-91,,Defensive rebound by W. Ellington
0:58.0,,,74-91,,Turnover by W. Ellington (bad pass; steal by V. Oladipo)
0:41.0,C. Joseph misses 2-pt shot from 1 ft (block by T. Johnson),,74-91,,
0:41.0,Offensive rebound by A. Jefferson,,74-91,,
0:38.0,A. Jefferson makes 2-pt shot from 3 ft,2,76-91,,
0:31.0,,,76-91,,Turnover by J. Winslow (bad pass)
0:20.0,L. Stephenson misses 2-pt shot from 2 ft,,76-91,,
0:18.0,Offensive rebound by L. Stephenson,,76-91,,
0:15.0,V. Oladipo misses 3-pt shot from 25 ft,,76-91,,
0:13.0,,,76-91,,Defensive rebound by T. Johnson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,L. Stephenson makes 2-pt shot from 1 ft,2,78-91,,
11:52.0,Shooting foul by K. Olynyk (drawn by L. Stephenson),,78-91,,
11:52.0,L. Stephenson misses free throw 1 of 1,,78-91,,
11:48.0,,,78-91,,Defensive rebound by J. Richardson
11:28.0,,,78-91,,J. Winslow misses 2-pt shot from 17 ft
11:24.0,Defensive rebound by D. Sabonis,,78-91,,
11:18.0,Shooting foul by J. Winslow (drawn by D. Sabonis),,78-91,,
11:18.0,D. Sabonis makes free throw 1 of 2,1,79-91,,
11:18.0,D. Sabonis makes free throw 2 of 2,1,80-91,,
11:05.0,,,80-91,,W. Ellington misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by D. Sabonis,,80-91,,
10:58.0,Turnover by L. Stephenson (lost ball; steal by K. Olynyk),,80-91,,
10:51.0,,,80-91,,J. Winslow misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by C. Joseph,,80-91,,
10:42.0,T. Leaf makes 2-pt shot from 2 ft (assist by D. Wilkins),2,82-91,,
10:19.0,,,82-94,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. Richardson)
10:08.0,Turnover by T. Leaf (bad pass; steal by W. Ellington),,82-94,,
10:00.0,,,82-94,,T. Johnson misses 3-pt shot from 23 ft
9:59.0,Defensive rebound by Team,,82-94,,
9:51.0,D. Sabonis makes 2-pt shot from 15 ft (assist by L. Stephenson),2,84-94,,
9:24.0,,,84-96,2,T. Johnson makes 2-pt shot from 11 ft
9:10.0,L. Stephenson misses 3-pt shot from 25 ft,,84-96,,
9:07.0,,,84-96,,Defensive rebound by K. Olynyk
9:03.0,,,84-96,,J. Winslow misses 3-pt shot from 23 ft
8:58.0,Defensive rebound by C. Joseph,,84-96,,
8:43.0,L. Stephenson misses 2-pt shot from 18 ft,,84-96,,
8:39.0,,,84-96,,Defensive rebound by K. Olynyk
8:32.0,Personal foul by L. Stephenson (drawn by K. Olynyk),,84-96,,
8:32.0,V. Oladipo enters the game for D. Wilkins,,84-96,,
8:23.0,,,84-96,,Turnover by W. Ellington (out of bounds lost ball)
8:02.0,L. Stephenson misses 2-pt shot from 15 ft,,84-96,,
7:57.0,Offensive rebound by D. Sabonis,,84-96,,
7:54.0,T. Leaf misses 3-pt shot from 26 ft,,84-96,,
7:53.0,Offensive rebound by D. Sabonis,,84-96,,
7:53.0,D. Sabonis makes 2-pt shot from 2 ft,2,86-96,,
7:53.0,Shooting foul by K. Olynyk (drawn by D. Sabonis),,86-96,,
7:53.0,,,86-96,,J. Johnson enters the game for K. Olynyk
7:53.0,D. Sabonis misses free throw 1 of 1,,86-96,,
7:50.0,,,86-96,,Defensive rebound by W. Ellington
7:47.0,,,86-96,,Miami full timeout
7:47.0,T. Young enters the game for T. Leaf,,86-96,,
7:32.0,,,86-99,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson)
7:12.0,L. Stephenson misses 2-pt shot at rim,,86-99,,
7:09.0,Offensive rebound by T. Young,,86-99,,
7:07.0,L. Stephenson misses 3-pt shot from 23 ft,,86-99,,
7:03.0,,,86-99,,Defensive rebound by J. Winslow
6:54.0,,,86-99,,W. Ellington misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by D. Sabonis,,86-99,,
6:39.0,V. Oladipo makes 2-pt shot from 21 ft,2,88-99,,
6:18.0,,,88-102,3,J. Richardson makes 3-pt shot from 26 ft (assist by J. Johnson)
6:05.0,C. Joseph misses 2-pt shot from 1 ft,,88-102,,
6:00.0,Offensive rebound by T. Young,,88-102,,
5:58.0,T. Young makes 2-pt shot from 2 ft,2,90-102,,
5:45.0,,,90-102,,Turnover by J. Johnson (lost ball; steal by D. Sabonis)
5:42.0,,,90-102,,Personal foul by T. Johnson (drawn by V. Oladipo)
5:42.0,Indiana full timeout,,90-102,,
5:42.0,,,90-102,,G. Dragic enters the game for W. Ellington
5:42.0,,,90-102,,D. Waiters enters the game for T. Johnson
5:42.0,D. Collison enters the game for L. Stephenson,,90-102,,
5:31.0,V. Oladipo misses 2-pt shot from 4 ft (block by J. Johnson),,90-102,,
5:27.0,,,90-102,,Defensive rebound by G. Dragic
5:23.0,Jump ball: G. Dragic vs. V. Oladipo (C. Joseph gains possession),,,,Jump ball: G. Dragic vs. V. Oladipo (C. Joseph gains possession)
5:23.0,,,90-102,,Turnover by G. Dragic (turnover; steal by V. Oladipo)
5:15.0,V. Oladipo makes 3-pt shot from 26 ft (assist by D. Sabonis),3,93-102,,
4:54.0,,,93-102,,J. Richardson misses 2-pt shot from 17 ft
4:50.0,Defensive rebound by T. Young,,93-102,,
4:47.0,D. Collison misses 3-pt shot from 25 ft,,93-102,,
4:46.0,Offensive rebound by Team,,93-102,,
4:46.0,,,93-102,,K. Olynyk enters the game for J. Winslow
4:36.0,C. Joseph makes 2-pt shot from 1 ft,2,95-102,,
