time,Charlotte,pts.away,score,pts.home,Oklahoma City
8:22.0,K. Walker makes free throw 3 of 3,1,14-7,,
8:11.0,,,14-7,,R. Westbrook misses 2-pt shot from 9 ft
8:09.0,Defensive rebound by M. Kidd-Gilchrist,,14-7,,
8:01.0,M. Williams makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist),3,17-7,,
7:45.0,,,17-7,,Oklahoma City full timeout
7:32.0,,,17-7,,C. Anthony misses 2-pt shot from 19 ft
7:29.0,Defensive rebound by M. Williams,,17-7,,
7:15.0,D. Howard makes 2-pt shot from 16 ft,2,19-7,,
7:01.0,,,19-9,2,C. Anthony makes 2-pt shot from 15 ft (assist by R. Westbrook)
6:44.0,Offensive charge foul by J. Lamb (drawn by A. Abrines),,19-9,,
6:44.0,Turnover by J. Lamb (offensive foul),,19-9,,
6:30.0,,,19-12,3,P. George makes 3-pt shot from 22 ft
6:14.0,Turnover by D. Howard (lost ball; steal by R. Westbrook),,19-12,,
6:09.0,,,19-12,,R. Westbrook misses 2-pt shot at rim
6:06.0,,,19-12,,Offensive rebound by S. Adams
6:06.0,,,19-14,2,S. Adams makes 2-pt shot from 1 ft
5:56.0,K. Walker makes 3-pt shot from 25 ft,3,22-14,,
5:47.0,,,22-14,,R. Westbrook misses 2-pt shot from 18 ft
5:47.0,Defensive rebound by Team,,22-14,,
5:47.0,,,22-14,,Loose ball foul by S. Adams (drawn by M. Kidd-Gilchrist)
5:47.0,D. Bacon enters the game for J. Lamb,,22-14,,
5:34.0,K. Walker misses 2-pt shot from 17 ft,,22-14,,
5:31.0,,,22-14,,Defensive rebound by S. Adams
5:22.0,,,22-17,3,P. George makes 3-pt shot from 24 ft (assist by S. Adams)
5:01.0,D. Howard misses 2-pt shot from 21 ft,,22-17,,
4:57.0,Offensive rebound by M. Williams,,22-17,,
4:55.0,Turnover by M. Williams (bad pass; steal by R. Westbrook),,22-17,,
4:46.0,,,22-17,,A. Abrines misses 3-pt shot from 22 ft
4:44.0,Defensive rebound by Team,,22-17,,
4:44.0,T. Graham enters the game for M. Williams,,22-17,,
4:28.0,D. Howard misses 2-pt shot from 2 ft (block by S. Adams),,22-17,,
4:25.0,,,22-17,,Defensive rebound by S. Adams
4:21.0,,,22-20,3,A. Abrines makes 3-pt shot from 22 ft (assist by C. Anthony)
4:10.0,Charlotte full timeout,,22-20,,
3:58.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist),2,24-20,,
3:42.0,,,24-22,2,R. Westbrook makes 2-pt shot at rim
3:31.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by C. Anthony),,24-22,,
3:28.0,Offensive rebound by T. Graham,,24-22,,
3:27.0,T. Graham makes 2-pt shot at rim,2,26-22,,
3:16.0,,,26-22,,P. George misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by K. Walker,,26-22,,
3:10.0,D. Bacon makes 2-pt shot at rim (assist by K. Walker),2,28-22,,
2:58.0,,,28-24,2,P. George makes 2-pt shot from 14 ft (assist by R. Westbrook)
2:46.0,,,28-24,,R. Felton enters the game for R. Westbrook
2:46.0,,,28-24,,J. Grant enters the game for P. George
2:46.0,F. Kaminsky enters the game for D. Howard,,28-24,,
2:37.0,T. Graham makes 3-pt shot from 25 ft (assist by K. Walker),3,31-24,,
2:21.0,,,31-24,,A. Abrines misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by T. Graham,,31-24,,
2:09.0,F. Kaminsky makes 2-pt shot from 16 ft (assist by M. Kidd-Gilchrist),2,33-24,,
1:46.0,,,33-24,,Turnover by R. Felton (lost ball; steal by M. Kidd-Gilchrist)
1:44.0,Shooting foul by A. Abrines (drawn by M. Kidd-Gilchrist),,33-24,,
1:44.0,M. Kidd-Gilchrist misses free throw 1 of 2,,33-24,,
1:44.0,Offensive rebound by Team,,33-24,,
1:44.0,,,33-24,,J. Huestis enters the game for C. Anthony
1:44.0,,,33-24,,P. Patterson enters the game for S. Adams
1:44.0,M. Carter-Williams enters the game for K. Walker,,33-24,,
1:44.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,34-24,,
1:32.0,,,34-24,,A. Abrines misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by F. Kaminsky,,34-24,,
1:21.0,F. Kaminsky misses 2-pt shot from 6 ft,,34-24,,
1:18.0,,,34-24,,Defensive rebound by J. Grant
1:10.0,,,34-24,,R. Felton misses 2-pt shot from 5 ft (block by F. Kaminsky)
1:10.0,,,34-24,,Offensive rebound by Team
1:10.0,M. Monk enters the game for M. Kidd-Gilchrist,,34-24,,
1:03.0,,,34-24,,Shooting foul by F. Kaminsky (drawn by A. Abrines)
1:03.0,,,34-25,1,A. Abrines makes free throw 1 of 2
1:03.0,,,34-26,1,A. Abrines makes free throw 2 of 2
0:46.0,F. Kaminsky misses 2-pt shot from 10 ft,,34-26,,
0:45.0,,,34-26,,Defensive rebound by J. Huestis
0:33.0,,,34-26,,A. Abrines misses 2-pt shot from 5 ft
0:31.0,Defensive rebound by D. Bacon,,34-26,,
0:19.0,D. Bacon misses 2-pt shot from 16 ft,,34-26,,
0:17.0,,,34-26,,Defensive rebound by R. Felton
0:02.0,,,34-26,,R. Felton misses 2-pt shot from 14 ft
0:02.0,Defensive rebound by M. Carter-Williams,,34-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,34-26,,R. Felton misses 2-pt shot from 13 ft
11:38.0,Defensive rebound by F. Kaminsky,,34-26,,
11:27.0,M. Monk misses 2-pt shot from 19 ft,,34-26,,
11:20.0,,,34-26,,Defensive rebound by J. Grant
11:09.0,Personal foul by J. O'Bryant (drawn by J. Grant),,34-26,,
11:07.0,Personal foul by M. Carter-Williams (drawn by R. Felton),,34-26,,
11:04.0,,,34-26,,Turnover by J. Huestis (bad pass)
11:02.0,M. Monk misses 2-pt shot from 16 ft,,34-26,,
11:00.0,,,34-26,,Defensive rebound by J. Grant
10:50.0,,,34-28,2,T. Ferguson makes 2-pt shot from 18 ft
10:24.0,F. Kaminsky misses 3-pt shot from 25 ft,,34-28,,
10:20.0,,,34-28,,Defensive rebound by P. Patterson
10:13.0,,,34-28,,J. Grant misses 2-pt shot from 6 ft
10:11.0,Defensive rebound by J. O'Bryant,,34-28,,
10:04.0,M. Carter-Williams misses 2-pt shot from 5 ft,,34-28,,
10:03.0,Offensive rebound by M. Carter-Williams,,34-28,,
10:01.0,F. Kaminsky misses 3-pt shot from 24 ft,,34-28,,
9:58.0,,,34-28,,Defensive rebound by P. Patterson
9:50.0,,,34-28,,Shooting foul by J. O'Bryant (drawn by J. Grant)
9:50.0,,,34-29,1,J. Grant makes free throw 1 of 2
9:50.0,,,34-29,,P. George enters the game for J. Huestis
9:50.0,,,34-30,1,J. Grant makes free throw 2 of 2
9:35.0,M. Monk misses 3-pt shot from 25 ft,,34-30,,
9:31.0,,,34-30,,Defensive rebound by P. George
9:22.0,,,34-30,,Turnover by P. George (bad pass; steal by F. Kaminsky)
9:19.0,Shooting foul by R. Felton (drawn by F. Kaminsky),,34-30,,
9:19.0,F. Kaminsky misses free throw 1 of 2,,34-30,,
9:19.0,Offensive rebound by Team,,34-30,,
9:19.0,F. Kaminsky makes free throw 2 of 2,1,35-30,,
9:09.0,,,35-30,,P. George misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by M. Carter-Williams,,35-30,,
8:57.0,Turnover by M. Carter-Williams (bad pass; steal by P. Patterson),,35-30,,
8:55.0,,,35-30,,Turnover by J. Grant (lost ball; steal by M. Carter-Williams)
8:51.0,M. Monk makes 2-pt shot at rim (assist by M. Carter-Williams),2,37-30,,
8:35.0,,,37-30,,R. Felton misses 2-pt shot from 22 ft
8:35.0,Defensive rebound by F. Kaminsky,,37-30,,
8:26.0,Turnover by M. Carter-Williams (bad pass),,37-30,,
8:26.0,,,37-30,,R. Westbrook enters the game for R. Felton
8:08.0,,,37-32,2,P. George makes 2-pt shot at rim
7:54.0,J. O'Bryant misses 3-pt shot from 24 ft,,37-32,,
7:52.0,,,37-32,,Defensive rebound by R. Westbrook
7:50.0,Personal foul by M. Carter-Williams (drawn by R. Westbrook),,37-32,,
7:50.0,M. Williams enters the game for J. O'Bryant,,37-32,,
7:42.0,,,37-34,2,P. George makes 2-pt shot from 1 ft
7:42.0,,,37-34,,Shooting foul by T. Graham (drawn by P. George)
7:42.0,,,37-35,1,P. George makes free throw 1 of 1
7:17.0,F. Kaminsky makes 2-pt shot from 17 ft,2,39-35,,
7:00.0,,,39-35,,Turnover by R. Westbrook (bad pass; steal by M. Carter-Williams)
7:00.0,Turnover by T. Graham (bad pass),,39-35,,
7:00.0,,,39-35,,C. Anthony enters the game for J. Grant
6:42.0,,,39-35,,R. Westbrook misses 2-pt shot from 8 ft
6:39.0,Defensive rebound by F. Kaminsky,,39-35,,
6:25.0,F. Kaminsky misses 2-pt shot from 16 ft,,39-35,,
6:23.0,,,39-35,,Defensive rebound by P. George
6:20.0,,,39-35,,Turnover by P. George (bad pass)
6:20.0,,,39-35,,Oklahoma City full timeout
6:20.0,,,39-35,,S. Adams enters the game for P. Patterson
6:20.0,D. Howard enters the game for M. Monk,,39-35,,
6:20.0,M. Kidd-Gilchrist enters the game for M. Carter-Williams,,39-35,,
6:20.0,K. Walker enters the game for F. Kaminsky,,39-35,,
6:10.0,Turnover by K. Walker (bad pass),,39-35,,
6:00.0,,,39-35,,P. George misses 2-pt shot from 18 ft
5:56.0,Defensive rebound by D. Howard,,39-35,,
5:45.0,M. Williams misses 3-pt shot from 25 ft,,39-35,,
5:42.0,,,39-35,,Defensive rebound by S. Adams
5:38.0,,,39-37,2,R. Westbrook makes 2-pt shot at rim
5:38.0,,,39-37,,Shooting foul by D. Howard (drawn by R. Westbrook)
5:38.0,,,39-37,,A. Abrines enters the game for T. Ferguson
5:38.0,J. Lamb enters the game for T. Graham,,39-37,,
5:38.0,,,39-38,1,R. Westbrook makes free throw 1 of 1
5:16.0,J. Lamb misses 2-pt shot from 9 ft,,39-38,,
5:16.0,,,39-38,,Defensive rebound by Team
5:16.0,Personal foul by D. Howard (drawn by A. Abrines),,39-38,,
5:16.0,,,39-39,1,A. Abrines makes free throw 1 of 2
5:16.0,,,39-40,1,A. Abrines makes free throw 2 of 2
5:02.0,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by M. Williams),2,41-40,,
4:48.0,,,41-40,,C. Anthony misses 2-pt shot from 15 ft
4:47.0,,,41-40,,Offensive rebound by Team
4:46.0,Loose ball foul by D. Howard (drawn by S. Adams),,41-40,,
4:46.0,,,41-40,,S. Adams misses free throw 1 of 2
4:46.0,,,41-40,,Offensive rebound by Team
4:46.0,,,41-41,1,S. Adams makes free throw 2 of 2
4:30.0,K. Walker misses 3-pt shot from 25 ft,,41-41,,
4:30.0,,,41-41,,Defensive rebound by P. George
4:15.0,,,41-43,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
3:59.0,,,41-43,,Personal foul by S. Adams (drawn by D. Howard)
3:54.0,Turnover by K. Walker (bad pass),,41-43,,
3:35.0,,,41-43,,C. Anthony misses 2-pt shot from 2 ft (block by D. Howard)
3:32.0,Defensive rebound by J. Lamb,,41-43,,
3:31.0,,,41-43,,Personal foul by P. George (drawn by D. Howard)
3:17.0,J. Lamb makes 2-pt shot from 14 ft,2,43-43,,
3:01.0,,,43-46,3,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook)
2:47.0,J. Lamb misses 3-pt shot from 25 ft,,43-46,,
2:45.0,Offensive rebound by D. Howard,,43-46,,
2:45.0,Shooting foul by S. Adams (drawn by D. Howard),,43-46,,
2:45.0,Charlotte full timeout,,43-46,,
2:45.0,,,43-46,,Technical foul by C. Anthony
2:45.0,K. Walker makes free throw 1 of 1,1,44-46,,
2:45.0,,,44-46,,N. Collison enters the game for S. Adams
2:45.0,D. Howard makes free throw 1 of 2,1,45-46,,
2:45.0,D. Howard misses free throw 2 of 2,,45-46,,
2:42.0,,,45-46,,Defensive rebound by N. Collison
2:34.0,,,45-48,2,R. Westbrook makes 2-pt shot at rim
2:20.0,Shooting foul by N. Collison (drawn by D. Howard),,45-48,,
2:20.0,D. Howard misses free throw 1 of 2,,45-48,,
2:20.0,Offensive rebound by Team,,45-48,,
2:20.0,D. Howard makes free throw 2 of 2,1,46-48,,
2:06.0,,,46-48,,P. George misses 2-pt shot from 19 ft
2:04.0,Defensive rebound by Team,,46-48,,
2:04.0,,,46-48,,Loose ball foul by R. Westbrook (drawn by D. Howard)
2:04.0,D. Howard makes free throw 1 of 2,1,47-48,,
2:04.0,D. Howard makes free throw 2 of 2,1,48-48,,
1:53.0,,,48-50,2,C. Anthony makes 2-pt shot from 20 ft (assist by R. Westbrook)
1:30.0,D. Howard makes 2-pt shot from 3 ft,2,50-50,,
1:07.0,,,50-50,,P. George misses 2-pt shot from 18 ft
1:04.0,Defensive rebound by D. Howard,,50-50,,
0:57.0,M. Kidd-Gilchrist makes 2-pt shot from 5 ft (assist by K. Walker),2,52-50,,
0:57.0,Shooting foul by N. Collison (drawn by M. Kidd-Gilchrist),,52-50,,
0:57.0,M. Kidd-Gilchrist misses free throw 1 of 1,,52-50,,
0:57.0,,,52-50,,Defensive rebound by R. Westbrook
0:57.0,,,52-50,,J. Grant enters the game for N. Collison
0:57.0,T. Graham enters the game for J. Lamb,,52-50,,
0:57.0,F. Kaminsky enters the game for D. Howard,,52-50,,
0:48.0,,,52-50,,Shooting foul by M. Kidd-Gilchrist (drawn by R. Westbrook)
0:48.0,,,52-51,1,R. Westbrook makes free throw 1 of 2
0:48.0,,,52-52,1,R. Westbrook makes free throw 2 of 2
0:32.0,T. Graham misses 2-pt shot from 7 ft,,52-52,,
0:25.0,,,52-52,,Defensive rebound by J. Grant
0:24.0,,,52-52,,A. Abrines misses 3-pt shot from 23 ft
0:21.0,Defensive rebound by M. Williams,,52-52,,
0:00.0,K. Walker misses 2-pt shot from 14 ft,,52-52,,
0:00.0,Offensive rebound by Team,,52-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Offensive rebound by M. Kidd-Gilchrist,,52-52,,
11:50.0,J. Lamb misses 3-pt shot from 23 ft,,52-52,,
11:50.0,Offensive rebound by J. Lamb,,52-52,,
11:24.0,J. Lamb misses 2-pt shot from 11 ft,,52-52,,
11:24.0,,,52-52,,Defensive rebound by P. George
11:12.0,,,52-54,2,C. Anthony makes 2-pt shot from 17 ft
10:54.0,M. Williams makes 3-pt shot from 22 ft (assist by K. Walker),3,55-54,,
10:28.0,,,55-56,2,P. George makes 2-pt shot at rim
10:02.0,D. Howard makes 2-pt shot from 1 ft,2,57-56,,
9:50.0,,,57-56,,C. Anthony misses 3-pt shot from 26 ft
9:46.0,Defensive rebound by M. Kidd-Gilchrist,,57-56,,
9:38.0,J. Lamb misses 2-pt shot from 9 ft,,57-56,,
9:34.0,,,57-56,,Defensive rebound by C. Anthony
9:20.0,,,57-56,,R. Westbrook misses 2-pt shot from 19 ft
9:17.0,Defensive rebound by D. Howard,,57-56,,
9:06.0,M. Williams misses 2-pt shot from 3 ft,,57-56,,
9:01.0,,,57-56,,Defensive rebound by Team
8:41.0,,,57-56,,Turnover by C. Anthony (bad pass)
8:30.0,K. Walker makes 3-pt shot from 26 ft (assist by D. Howard),3,60-56,,
8:16.0,,,60-58,2,S. Adams makes 2-pt shot from 6 ft (assist by P. George)
7:59.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams),2,62-58,,
7:56.0,,,62-58,,Oklahoma City full timeout
7:44.0,,,62-58,,R. Westbrook misses 2-pt shot from 17 ft
7:41.0,Defensive rebound by J. Lamb,,62-58,,
7:28.0,M. Williams misses 2-pt shot from 3 ft,,62-58,,
7:25.0,,,62-58,,Defensive rebound by S. Adams
7:22.0,,,62-60,2,R. Westbrook makes 2-pt shot from 2 ft
6:59.0,J. Lamb makes 3-pt shot from 27 ft,3,65-60,,
6:44.0,,,65-60,,P. George misses 2-pt shot from 23 ft
6:40.0,,,65-60,,Offensive rebound by S. Adams
6:39.0,,,65-62,2,S. Adams makes 2-pt shot from 1 ft
6:25.0,Shooting foul by P. George (drawn by M. Williams),,65-62,,
6:25.0,M. Williams misses free throw 1 of 2,,65-62,,
6:25.0,Offensive rebound by Team,,65-62,,
6:25.0,M. Williams makes free throw 2 of 2,1,66-62,,
6:16.0,,,66-62,,Shooting foul by D. Howard (drawn by A. Abrines)
6:16.0,,,66-63,1,A. Abrines makes free throw 1 of 2
6:16.0,,,66-64,1,A. Abrines makes free throw 2 of 2
6:03.0,J. Lamb misses 3-pt shot from 22 ft,,66-64,,
6:00.0,,,66-64,,Defensive rebound by S. Adams
5:56.0,,,66-66,2,R. Westbrook makes 2-pt shot from 1 ft
5:35.0,M. Williams makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,69-66,,
5:18.0,,,69-66,,C. Anthony misses 3-pt shot from 25 ft
5:12.0,,,69-66,,Offensive rebound by S. Adams
5:12.0,,,69-66,,S. Adams misses 2-pt shot at rim
5:10.0,Defensive rebound by D. Howard,,69-66,,
5:08.0,K. Walker misses 2-pt shot from 20 ft,,69-66,,
5:02.0,Offensive rebound by J. Lamb,,69-66,,
5:01.0,J. Lamb makes 2-pt shot at rim,2,71-66,,
4:56.0,,,71-66,,R. Westbrook misses 3-pt shot from 26 ft
4:52.0,Defensive rebound by D. Howard,,71-66,,
4:49.0,M. Williams makes 3-pt shot from 25 ft,3,74-66,,
4:48.0,,,74-66,,Oklahoma City full timeout
4:48.0,,,74-66,,J. Grant enters the game for P. George
4:35.0,,,74-66,,Turnover by A. Abrines (bad pass; steal by M. Kidd-Gilchrist)
4:28.0,M. Kidd-Gilchrist makes 2-pt shot from 12 ft,2,76-66,,
4:05.0,,,76-66,,C. Anthony misses 2-pt shot from 3 ft
4:05.0,,,76-66,,Offensive rebound by Team
4:02.0,,,76-66,,R. Westbrook misses 2-pt shot from 20 ft
3:58.0,Defensive rebound by M. Williams,,76-66,,
3:48.0,Shooting foul by A. Abrines (drawn by M. Williams),,76-66,,
3:48.0,M. Williams makes free throw 1 of 3,1,77-66,,
3:48.0,M. Williams makes free throw 2 of 3,1,78-66,,
3:48.0,,,78-66,,J. Huestis enters the game for S. Adams
3:48.0,F. Kaminsky enters the game for D. Howard,,78-66,,
3:48.0,M. Williams makes free throw 3 of 3,1,79-66,,
3:39.0,,,79-66,,Shooting foul by M. Williams (drawn by R. Westbrook)
3:39.0,,,79-67,1,R. Westbrook makes free throw 1 of 2
3:39.0,T. Graham enters the game for M. Williams,,79-67,,
3:39.0,,,79-68,1,R. Westbrook makes free throw 2 of 2
3:27.0,T. Graham makes 3-pt shot from 22 ft (assist by F. Kaminsky),3,82-68,,
3:27.0,Shooting foul by A. Abrines (drawn by T. Graham),,82-68,,
3:27.0,,,82-68,,T. Ferguson enters the game for A. Abrines
3:27.0,T. Graham makes free throw 1 of 1,1,83-68,,
3:13.0,,,83-68,,Turnover by C. Anthony (out of bounds lost ball)
3:03.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker),3,86-68,,
3:02.0,,,86-68,,Oklahoma City full timeout
2:53.0,,,86-68,,R. Westbrook misses 2-pt shot from 2 ft
2:49.0,,,86-68,,Offensive rebound by J. Grant
2:49.0,,,86-68,,J. Grant misses 2-pt shot at rim
2:47.0,Defensive rebound by J. Lamb,,86-68,,
2:41.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft,2,88-68,,
2:31.0,,,88-70,2,R. Westbrook makes 2-pt shot from 2 ft
2:15.0,J. Lamb misses 2-pt shot from 9 ft,,88-70,,
2:13.0,,,88-70,,Defensive rebound by J. Huestis
2:09.0,,,88-70,,Shooting foul by T. Graham (drawn by R. Westbrook)
2:09.0,,,88-71,1,R. Westbrook makes free throw 1 of 2
2:09.0,M. Carter-Williams enters the game for M. Kidd-Gilchrist,,88-71,,
2:09.0,,,88-72,1,R. Westbrook makes free throw 2 of 2
1:46.0,K. Walker makes 2-pt shot from 17 ft,2,90-72,,
1:37.0,,,90-72,,Shooting foul by F. Kaminsky (drawn by R. Westbrook)
1:37.0,,,90-73,1,R. Westbrook makes free throw 1 of 2
1:37.0,,,90-73,,R. Felton enters the game for T. Ferguson
1:37.0,,,90-74,1,R. Westbrook makes free throw 2 of 2
1:20.0,K. Walker makes 2-pt shot from 16 ft (assist by F. Kaminsky),2,92-74,,
1:02.0,Jump ball: J. Grant vs. T. Graham (R. Westbrook gains possession),,,,Jump ball: J. Grant vs. T. Graham (R. Westbrook gains possession)
0:56.0,,,92-74,,R. Felton misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by M. Carter-Williams,,92-74,,
0:46.0,K. Walker misses 2-pt shot from 16 ft,,92-74,,
0:42.0,,,92-74,,Defensive rebound by C. Anthony
0:40.0,,,92-74,,P. Patterson enters the game for C. Anthony
0:30.0,,,92-74,,P. Patterson misses 2-pt shot from 3 ft
0:28.0,Defensive rebound by F. Kaminsky,,92-74,,
0:09.0,K. Walker misses 3-pt shot from 24 ft,,92-74,,
0:05.0,,,92-74,,Defensive rebound by J. Grant
0:01.0,,,92-74,,P. Patterson misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by M. Carter-Williams,,92-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Lamb makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,94-74,,
11:34.0,,,94-77,3,P. Patterson makes 3-pt shot from 24 ft (assist by R. Felton)
11:07.0,J. Lamb misses 3-pt shot from 25 ft,,94-77,,
11:03.0,,,94-77,,Defensive rebound by P. Patterson
10:50.0,,,94-77,,R. Felton misses 3-pt shot from 26 ft
10:47.0,,,94-77,,Offensive rebound by T. Ferguson
10:35.0,,,94-80,3,J. Huestis makes 3-pt shot from 25 ft (assist by R. Felton)
10:17.0,J. Lamb makes 2-pt shot from 15 ft (assist by K. Walker),2,96-80,,
10:00.0,,,96-80,,R. Felton misses 2-pt shot from 3 ft
9:56.0,,,96-80,,Offensive rebound by J. Huestis
9:56.0,,,96-82,2,J. Huestis makes 2-pt shot at rim
9:32.0,J. Lamb misses 2-pt shot from 22 ft,,96-82,,
9:30.0,,,96-82,,Defensive rebound by P. Patterson
9:13.0,,,96-82,,R. Felton misses 2-pt shot from 2 ft
9:11.0,,,96-82,,Offensive rebound by J. Grant
9:05.0,,,96-82,,T. Ferguson misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by K. Walker,,96-82,,
8:53.0,T. Graham makes 3-pt shot from 24 ft (assist by K. Walker),3,99-82,,
8:32.0,,,99-82,,Turnover by J. Huestis (bad pass; steal by F. Kaminsky)
8:29.0,Shooting foul by R. Felton (drawn by M. Carter-Williams),,99-82,,
8:29.0,M. Carter-Williams misses free throw 1 of 2,,99-82,,
8:29.0,Offensive rebound by Team,,99-82,,
8:29.0,,,99-82,,P. George enters the game for T. Ferguson
8:29.0,D. Bacon enters the game for J. Lamb,,99-82,,
8:29.0,M. Williams enters the game for K. Walker,,99-82,,
8:29.0,M. Carter-Williams makes free throw 2 of 2,1,100-82,,
8:20.0,,,100-82,,Shooting foul by T. Graham (drawn by P. Patterson)
8:20.0,,,100-83,1,P. Patterson makes free throw 1 of 2
8:20.0,,,100-84,1,P. Patterson makes free throw 2 of 2
8:08.0,Offensive charge foul by M. Carter-Williams (drawn by J. Grant),,100-84,,
8:08.0,Turnover by M. Carter-Williams (offensive foul),,100-84,,
7:56.0,,,100-84,,P. George misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by M. Carter-Williams,,100-84,,
7:45.0,M. Williams makes 2-pt shot at rim (assist by T. Graham),2,102-84,,
7:23.0,,,102-84,,J. Huestis misses 3-pt shot from 24 ft
7:21.0,,,102-84,,Offensive rebound by P. George
7:20.0,,,102-84,,Offensive foul by P. George (drawn by F. Kaminsky)
7:20.0,,,102-84,,Turnover by P. George (offensive foul)
7:20.0,,,102-84,,S. Adams enters the game for J. Grant
7:20.0,,,102-84,,R. Westbrook enters the game for J. Huestis
7:20.0,D. Howard enters the game for T. Graham,,102-84,,
7:20.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,102-84,,
7:09.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,104-84,,
7:09.0,Shooting foul by R. Westbrook (drawn by D. Howard),,104-84,,
7:09.0,D. Howard makes free throw 1 of 1,1,105-84,,
6:54.0,,,105-87,3,R. Felton makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:42.0,Turnover by M. Carter-Williams (bad pass),,105-87,,
6:42.0,,,105-87,,Oklahoma City full timeout
6:42.0,,,105-87,,C. Anthony enters the game for P. Patterson
6:42.0,K. Walker enters the game for D. Bacon,,105-87,,
6:42.0,J. Lamb enters the game for M. Carter-Williams,,105-87,,
6:30.0,,,105-87,,R. Westbrook misses 2-pt shot from 6 ft (block by D. Howard)
6:26.0,,,105-87,,Offensive rebound by S. Adams
6:25.0,,,105-89,2,S. Adams makes 2-pt shot from 1 ft
6:08.0,Turnover by K. Walker (bad pass; steal by P. George),,105-89,,
6:07.0,,,105-91,2,P. George makes 2-pt shot from 1 ft (assist by R. Felton)
6:07.0,,,105-91,,Shooting foul by J. Lamb (drawn by P. George)
6:07.0,,,105-92,1,P. George makes free throw 1 of 1
