time,Sacramento,pts.away,score,pts.home,Dallas
4:32.0,,,32-40,,Personal foul by D. Finney-Smith (drawn by G. Temple)
4:32.0,,,32-40,,J. Barea enters the game for D. Finney-Smith
4:32.0,W. Cauley-Stein enters the game for G. Temple,,32-40,,
4:32.0,Z. Randolph enters the game for K. Koufos,,32-40,,
4:24.0,D. Fox misses 2-pt shot from 19 ft,,32-40,,
4:24.0,Offensive rebound by W. Cauley-Stein,,32-40,,
4:11.0,Z. Randolph misses 2-pt shot from 7 ft (block by N. Noel),,32-40,,
4:09.0,Offensive rebound by G. Hill,,32-40,,
4:07.0,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by G. Hill),2,34-40,,
3:51.0,Personal block foul by W. Cauley-Stein (drawn by H. Barnes),,34-40,,
3:51.0,,,34-40,,Dallas full timeout
3:47.0,Personal foul by V. Carter (drawn by N. Noel),,34-40,,
3:38.0,,,34-40,,H. Barnes misses 2-pt shot from 1 ft
3:36.0,,,34-40,,Offensive rebound by N. Noel
3:34.0,,,34-42,2,N. Noel makes 2-pt shot from 2 ft
3:18.0,G. Hill makes 2-pt shot from 21 ft (assist by D. Fox),2,36-42,,
3:07.0,Personal foul by D. Fox (drawn by Y. Ferrell),,36-42,,
3:07.0,,,36-43,1,Y. Ferrell makes free throw 1 of 2
3:07.0,B. Hield enters the game for D. Fox,,36-43,,
3:07.0,,,36-43,,Y. Ferrell misses free throw 2 of 2
3:05.0,Defensive rebound by W. Cauley-Stein,,36-43,,
2:47.0,V. Carter misses 2-pt shot from 8 ft,,36-43,,
2:43.0,,,36-43,,Defensive rebound by N. Noel
2:33.0,,,36-43,,H. Barnes misses 2-pt shot from 6 ft
2:30.0,Defensive rebound by V. Carter,,36-43,,
2:26.0,B. Hield makes 2-pt shot from 20 ft,2,38-43,,
2:13.0,Personal foul by W. Cauley-Stein (drawn by H. Barnes),,38-43,,
2:13.0,,,38-44,1,H. Barnes makes free throw 1 of 2
2:13.0,,,38-44,,D. Nowitzki enters the game for J. Barea
2:13.0,G. Temple enters the game for V. Carter,,38-44,,
2:13.0,,,38-44,,H. Barnes misses free throw 2 of 2
2:11.0,Defensive rebound by W. Cauley-Stein,,38-44,,
1:59.0,W. Cauley-Stein makes 2-pt shot from 2 ft,2,40-44,,
1:40.0,,,40-44,,Turnover by W. Matthews (bad pass)
1:33.0,,,40-44,,Personal block foul by Y. Ferrell (drawn by G. Hill)
1:27.0,,,40-44,,Def 3 sec tech foul by D. Nowitzki
1:27.0,B. Hield makes technical free throw,1,41-44,,
1:14.0,B. Hield misses 3-pt shot from 29 ft,,41-44,,
1:13.0,Offensive rebound by Z. Randolph,,41-44,,
1:13.0,Turnover by Team (shot clock),,41-44,,
0:59.0,,,41-44,,Shooting foul by G. Hill (drawn by Y. Ferrell)
0:59.0,,,41-45,1,Y. Ferrell makes free throw 1 of 2
0:59.0,,,41-46,1,Y. Ferrell makes free throw 2 of 2
0:50.0,G. Hill misses 2-pt shot from 12 ft,,41-46,,
0:47.0,Offensive rebound by W. Cauley-Stein,,41-46,,
0:46.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,41-46,,
0:46.0,Offensive rebound by W. Cauley-Stein,,41-46,,
0:37.0,Z. Randolph makes 2-pt shot from 3 ft,2,43-46,,
0:33.0,,,43-46,,Y. Ferrell misses 3-pt shot from 28 ft
0:30.0,Defensive rebound by W. Cauley-Stein,,43-46,,
0:18.0,Turnover by G. Hill (lost ball; steal by N. Noel),,43-46,,
0:11.0,,,43-46,,Turnover by N. Noel (lost ball; steal by G. Hill)
0:01.0,G. Hill makes 3-pt shot from 25 ft,3,46-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,46-46,,D. Nowitzki misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by Z. Randolph,,46-46,,
11:18.0,B. Hield misses 2-pt shot from 17 ft (block by W. Matthews),,46-46,,
11:14.0,,,46-46,,Defensive rebound by N. Noel
11:08.0,,,46-48,2,J. Barea makes 2-pt shot from 1 ft
10:53.0,,,46-48,,Personal foul by H. Barnes (drawn by J. Jackson)
10:44.0,W. Cauley-Stein makes 2-pt shot from 18 ft,2,48-48,,
10:28.0,,,48-48,,H. Barnes misses 2-pt shot from 14 ft
10:25.0,Defensive rebound by W. Cauley-Stein,,48-48,,
10:15.0,G. Hill makes 2-pt shot from 4 ft,2,50-48,,
10:02.0,,,50-51,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea)
9:46.0,Z. Randolph makes 3-pt shot from 25 ft (assist by G. Hill),3,53-51,,
9:38.0,Personal block foul by W. Cauley-Stein (drawn by D. Nowitzki),,53-51,,
9:24.0,,,53-51,,H. Barnes misses 2-pt shot from 17 ft
9:21.0,Defensive rebound by Z. Randolph,,53-51,,
9:16.0,G. Hill makes 2-pt shot from 18 ft,2,55-51,,
9:01.0,,,55-54,3,J. Barea makes 3-pt shot from 25 ft
8:40.0,Z. Randolph misses 2-pt shot from 1 ft,,55-54,,
8:38.0,Offensive rebound by J. Jackson,,55-54,,
8:30.0,Z. Randolph makes 2-pt shot from 3 ft (assist by B. Hield),2,57-54,,
8:14.0,,,57-56,2,H. Barnes makes 2-pt shot from 13 ft (assist by J. Barea)
7:48.0,Turnover by J. Jackson (bad pass; steal by W. Matthews),,57-56,,
7:39.0,,,57-56,,Shooting foul by B. Hield (drawn by N. Noel)
7:39.0,,,57-56,,N. Noel misses free throw 1 of 2
7:39.0,,,57-56,,Offensive rebound by Team
7:39.0,,,57-57,1,N. Noel makes free throw 2 of 2
7:27.0,G. Hill makes 3-pt shot from 24 ft,3,60-57,,
7:13.0,,,60-57,,J. Barea misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by Z. Randolph,,60-57,,
6:58.0,,,60-57,,Def 3 sec tech foul by W. Matthews
6:58.0,,,60-57,,Dallas full timeout
6:58.0,,,60-57,,D. Powell enters the game for D. Nowitzki
6:58.0,,,60-57,,Y. Ferrell enters the game for J. Barea
6:58.0,B. Hield makes technical free throw,1,61-57,,
6:48.0,Z. Randolph misses 2-pt shot from 10 ft,,61-57,,
6:45.0,,,61-57,,Defensive rebound by Y. Ferrell
6:31.0,,,61-57,,W. Matthews misses 3-pt shot from 26 ft
6:25.0,,,61-57,,Offensive rebound by D. Powell
6:25.0,,,61-57,,D. Powell misses 2-pt shot at rim
6:24.0,Defensive rebound by B. Hield,,61-57,,
6:20.0,Z. Randolph misses 3-pt shot from 25 ft,,61-57,,
6:17.0,,,61-57,,Defensive rebound by Team
5:58.0,,,61-57,,Y. Ferrell misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
5:58.0,Defensive rebound by G. Hill,,61-57,,
5:45.0,B. Hield makes 3-pt shot from 25 ft (assist by Z. Randolph),3,64-57,,
5:27.0,,,64-57,,W. Matthews misses 3-pt shot from 26 ft
5:24.0,Defensive rebound by J. Jackson,,64-57,,
5:03.0,Z. Randolph misses 2-pt shot from 9 ft,,64-57,,
5:00.0,,,64-57,,Defensive rebound by D. Powell
4:45.0,,,64-57,,Shooting foul by J. Jackson (drawn by H. Barnes)
4:45.0,,,64-58,1,H. Barnes makes free throw 1 of 2
4:45.0,,,64-58,,H. Barnes misses free throw 2 of 2
4:42.0,Defensive rebound by B. Hield,,64-58,,
4:27.0,Shooting foul by N. Noel (drawn by B. Hield),,64-58,,
4:27.0,B. Hield makes free throw 1 of 2,1,65-58,,
4:27.0,B. Hield makes free throw 2 of 2,1,66-58,,
4:09.0,,,66-58,,W. Matthews misses 3-pt shot from 22 ft
4:04.0,Defensive rebound by J. Jackson,,66-58,,
3:45.0,B. Hield misses 2-pt shot from 12 ft,,66-58,,
3:44.0,Offensive rebound by Team,,66-58,,
3:44.0,Sacramento full timeout,,66-58,,
3:44.0,,,66-58,,S. Mejri enters the game for N. Noel
3:35.0,Turnover by Z. Randolph (lost ball; steal by Y. Ferrell),,66-58,,
3:31.0,,,66-58,,Turnover by Y. Ferrell (bad pass)
3:08.0,B. Hield misses 3-pt shot from 25 ft,,66-58,,
3:03.0,,,66-58,,Defensive rebound by H. Barnes
2:56.0,,,66-58,,Turnover by S. Mejri (step out of bounds)
2:35.0,J. Jackson misses 3-pt shot from 22 ft,,66-58,,
2:31.0,,,66-58,,Defensive rebound by W. Matthews
2:25.0,,,66-58,,Turnover by Y. Ferrell (lost ball; steal by Z. Randolph)
2:15.0,J. Jackson misses 3-pt shot from 23 ft,,66-58,,
2:12.0,Offensive rebound by Z. Randolph,,66-58,,
2:12.0,Shooting foul by D. Powell (drawn by Z. Randolph),,66-58,,
2:12.0,Z. Randolph misses free throw 1 of 2,,66-58,,
2:12.0,Offensive rebound by Team,,66-58,,
2:12.0,,,66-58,,D. Nowitzki enters the game for D. Powell
2:12.0,,,66-58,,D. Finney-Smith enters the game for W. Matthews
2:12.0,,,66-58,,J. Barea enters the game for H. Barnes
2:12.0,D. Fox enters the game for B. Hield,,66-58,,
2:12.0,G. Temple enters the game for J. Jackson,,66-58,,
2:12.0,Z. Randolph makes free throw 2 of 2,1,67-58,,
2:03.0,,,67-58,,D. Nowitzki misses 2-pt shot from 16 ft
2:00.0,Defensive rebound by G. Hill,,67-58,,
1:44.0,W. Cauley-Stein misses 2-pt shot from 7 ft (block by S. Mejri),,67-58,,
1:40.0,,,67-58,,Defensive rebound by S. Mejri
1:33.0,,,67-60,2,Y. Ferrell makes 2-pt shot from 16 ft
1:12.0,G. Temple makes 2-pt shot from 18 ft (assist by W. Cauley-Stein),2,69-60,,
0:59.0,,,69-60,,D. Nowitzki misses 2-pt shot from 18 ft
0:56.0,Defensive rebound by W. Cauley-Stein,,69-60,,
0:45.0,,,69-60,,Personal block foul by Y. Ferrell (drawn by G. Hill)
0:42.0,G. Hill misses 2-pt shot from 20 ft,,69-60,,
0:39.0,,,69-60,,Defensive rebound by Y. Ferrell
0:31.0,,,69-60,,J. Barea misses 2-pt shot from 4 ft
0:29.0,Defensive rebound by G. Hill,,69-60,,
0:10.0,,,69-60,,H. Barnes enters the game for D. Nowitzki
0:10.0,V. Carter enters the game for Z. Randolph,,69-60,,
0:10.0,B. Hield enters the game for D. Fox,,69-60,,
0:08.0,B. Hield makes 2-pt shot from 23 ft (assist by G. Temple),2,71-60,,
0:01.0,,,71-60,,Turnover by H. Barnes (lost ball; steal by G. Temple)
0:01.0,W. Cauley-Stein misses 3-pt shot from 57 ft,,71-60,,
0:01.0,Offensive rebound by Team,,71-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Turnover by K. Koufos (lost ball; steal by J. Barea),,71-60,,
11:36.0,,,71-60,,Shooting foul by V. Carter (drawn by H. Barnes)
11:36.0,,,71-61,1,H. Barnes makes free throw 1 of 2
11:36.0,,,71-62,1,H. Barnes makes free throw 2 of 2
11:28.0,D. Fox misses 2-pt shot from 7 ft,,71-62,,
11:23.0,,,71-62,,Defensive rebound by G. Clavell
11:16.0,,,71-64,2,J. Barea makes 2-pt shot from 6 ft
11:11.0,B. Hield misses 3-pt shot from 26 ft,,71-64,,
11:08.0,,,71-64,,Defensive rebound by Team
10:58.0,,,71-66,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
10:36.0,V. Carter misses 2-pt shot from 7 ft,,71-66,,
10:31.0,Offensive rebound by K. Koufos,,71-66,,
10:31.0,K. Koufos misses 2-pt shot at rim,,71-66,,
10:31.0,,,71-66,,Defensive rebound by D. Nowitzki
10:26.0,,,71-69,3,D. Finney-Smith makes 3-pt shot from 22 ft (assist by J. Barea)
10:25.0,Sacramento full timeout,,71-69,,
10:25.0,S. Labissiere enters the game for B. Hield,,71-69,,
10:10.0,S. Labissiere misses 2-pt shot from 9 ft,,71-69,,
10:07.0,,,71-69,,Defensive rebound by H. Barnes
9:53.0,,,71-69,,G. Clavell misses 3-pt shot from 26 ft
9:49.0,Defensive rebound by D. Fox,,71-69,,
9:44.0,D. Fox misses 2-pt shot from 3 ft,,71-69,,
9:42.0,,,71-69,,Defensive rebound by D. Nowitzki
9:38.0,,,71-72,3,H. Barnes makes 3-pt shot from 26 ft (assist by J. Barea)
9:15.0,Turnover by S. Labissiere (traveling),,71-72,,
8:56.0,,,71-72,,J. Barea misses 2-pt shot from 3 ft
8:55.0,Defensive rebound by S. Labissiere,,71-72,,
8:46.0,S. Labissiere makes 2-pt shot from 18 ft (assist by D. Fox),2,73-72,,
8:24.0,,,73-72,,H. Barnes misses 2-pt shot from 3 ft
8:22.0,Defensive rebound by V. Carter,,73-72,,
8:09.0,K. Koufos misses 2-pt shot from 6 ft,,73-72,,
8:06.0,,,73-72,,Defensive rebound by H. Barnes
7:58.0,Personal foul by K. Koufos (drawn by H. Barnes),,73-72,,
7:47.0,,,73-72,,J. Barea misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by S. Labissiere,,73-72,,
7:35.0,D. Fox makes 2-pt shot from 13 ft,2,75-72,,
7:10.0,,,75-72,,J. Barea misses 2-pt shot from 2 ft
7:08.0,Defensive rebound by S. Labissiere,,75-72,,
6:59.0,Turnover by G. Temple (traveling),,75-72,,
6:47.0,Personal foul by D. Fox (drawn by J. Barea),,75-72,,
6:47.0,,,75-72,,W. Matthews enters the game for G. Clavell
6:47.0,,,75-72,,N. Noel enters the game for D. Nowitzki
6:47.0,,,75-72,,Y. Ferrell enters the game for J. Barea
6:34.0,,,75-74,2,H. Barnes makes 2-pt shot from 2 ft
6:20.0,D. Fox misses 2-pt shot from 8 ft,,75-74,,
6:17.0,,,75-74,,Defensive rebound by N. Noel
6:12.0,,,75-74,,H. Barnes misses 3-pt shot from 26 ft
6:09.0,Defensive rebound by K. Koufos,,75-74,,
