time,Phoenix,pts.away,score,pts.home,New Orleans
9:10.0,,,44-32,,Defensive rebound by Team
9:10.0,Loose ball foul by J. Jackson (drawn by A. Davis),,44-32,,
8:59.0,,,44-32,,A. Davis misses 2-pt shot from 15 ft
8:59.0,Defensive rebound by T. Daniels,,44-32,,
8:44.0,D. Bender makes 3-pt shot from 25 ft (assist by D. Booker),3,47-32,,
8:28.0,,,47-35,3,I. Clark makes 3-pt shot from 23 ft (assist by J. Holiday)
8:03.0,Turnover by D. Booker (lost ball; steal by J. Holiday),,47-35,,
7:56.0,,,47-35,,I. Clark misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by D. Booker,,47-35,,
7:49.0,Shooting foul by D. Miller (drawn by D. Booker),,47-35,,
7:49.0,D. Booker misses free throw 1 of 2,,47-35,,
7:49.0,Offensive rebound by Team,,47-35,,
7:49.0,D. Booker makes free throw 2 of 2,1,48-35,,
7:40.0,,,48-35,,Turnover by I. Clark (bad pass; steal by T. Daniels)
7:33.0,D. Booker misses 3-pt shot from 26 ft,,48-35,,
7:26.0,Offensive rebound by J. Jackson,,48-35,,
7:26.0,J. Jackson makes 2-pt shot at rim,2,50-35,,
7:24.0,,,50-35,,J. Holiday misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by J. Jackson,,50-35,,
7:22.0,,,50-35,,Personal foul by E. Moore (drawn by J. Jackson)
7:22.0,J. Jackson makes free throw 1 of 2,1,51-35,,
7:22.0,E. Payton enters the game for D. Booker,,51-35,,
7:22.0,J. Jackson makes free throw 2 of 2,1,52-35,,
7:17.0,,,52-35,,I. Clark misses 3-pt shot from 23 ft
7:13.0,Defensive rebound by J. Jackson,,52-35,,
7:05.0,T. Warren misses 2-pt shot from 22 ft,,52-35,,
7:02.0,,,52-35,,Defensive rebound by A. Davis
6:55.0,,,52-37,2,J. Holiday makes 2-pt shot at rim
6:33.0,,,52-37,,R. Rondo enters the game for I. Clark
6:33.0,,,52-37,,Technical foul by A. Davis
6:33.0,T. Warren makes technical free throw,1,53-37,,
6:24.0,J. Jackson misses 2-pt shot from 22 ft,,53-37,,
6:21.0,,,53-37,,Defensive rebound by R. Rondo
6:19.0,,,53-39,2,A. Davis makes 2-pt shot at rim (assist by E. Moore)
6:05.0,T. Warren makes 2-pt shot from 2 ft (assist by E. Payton),2,55-39,,
5:44.0,,,55-41,2,J. Holiday makes 2-pt shot at rim (assist by R. Rondo)
5:26.0,Offensive charge foul by E. Payton (drawn by A. Davis),,55-41,,
5:26.0,Turnover by E. Payton (offensive foul),,55-41,,
5:18.0,,,55-41,,Shooting foul by J. Jackson (drawn by A. Davis)
5:18.0,,,55-41,,A. Davis misses free throw 1 of 2
5:18.0,,,55-41,,Offensive rebound by Team
5:18.0,D. Booker enters the game for J. Jackson,,55-41,,
5:18.0,,,55-42,1,A. Davis makes free throw 2 of 2
5:03.0,D. Booker misses 2-pt shot from 12 ft,,55-42,,
4:59.0,,,55-42,,Defensive rebound by E. Moore
4:54.0,,,55-42,,Shooting foul by D. Bender (drawn by A. Davis)
4:54.0,,,55-43,1,A. Davis makes free throw 1 of 2
4:54.0,,,55-44,1,A. Davis makes free throw 2 of 2
4:44.0,,,55-44,,Away from play foul by R. Rondo (drawn by D. Booker)
4:44.0,D. Booker makes free throw 1 of 2,1,56-44,,
4:44.0,D. Booker makes free throw 2 of 2,1,57-44,,
4:36.0,,,57-44,,A. Davis misses 2-pt shot from 14 ft
4:31.0,Defensive rebound by D. Booker,,57-44,,
4:23.0,D. Bender misses 3-pt shot from 26 ft,,57-44,,
4:19.0,,,57-44,,Defensive rebound by E. Moore
4:13.0,,,57-44,,Shooting foul by D. Bender (drawn by E. Moore)
4:13.0,,,57-44,,E. Moore misses free throw 1 of 2
4:13.0,,,57-44,,Offensive rebound by Team
4:13.0,,,57-44,,N. Mirotic enters the game for D. Miller
4:13.0,A. Len enters the game for D. Bender,,57-44,,
4:13.0,,,57-45,1,E. Moore makes free throw 2 of 2
3:54.0,T. Warren misses 2-pt shot from 11 ft (block by J. Holiday),,57-45,,
3:49.0,,,57-45,,Defensive rebound by A. Davis
3:44.0,,,57-45,,N. Mirotic misses 2-pt shot from 6 ft
3:44.0,Defensive rebound by E. Payton,,57-45,,
3:41.0,T. Warren misses 2-pt shot from 1 ft (block by A. Davis),,57-45,,
3:41.0,,,57-45,,Defensive rebound by Team
3:41.0,,,57-45,,Turnover by J. Holiday (turnover)
3:24.0,D. Booker makes 2-pt shot at rim,2,59-45,,
3:18.0,,,59-48,3,E. Moore makes 3-pt shot from 23 ft (assist by R. Rondo)
3:01.0,A. Len misses 2-pt shot from 11 ft,,59-48,,
3:01.0,,,59-48,,Defensive rebound by N. Mirotic
2:53.0,,,59-50,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
2:53.0,Phoenix full timeout,,59-50,,
2:30.0,T. Daniels misses 3-pt shot from 26 ft,,59-50,,
2:27.0,,,59-50,,Defensive rebound by J. Holiday
2:20.0,,,59-50,,E. Moore misses 2-pt shot from 4 ft
2:16.0,,,59-50,,Offensive rebound by A. Davis
2:16.0,,,59-52,2,A. Davis makes 2-pt shot at rim
1:59.0,E. Payton misses 2-pt shot from 6 ft,,59-52,,
1:56.0,,,59-52,,Defensive rebound by N. Mirotic
1:42.0,,,59-52,,N. Mirotic misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by A. Len,,59-52,,
1:31.0,D. Booker misses 2-pt shot from 2 ft (block by A. Davis),,59-52,,
1:31.0,,,59-52,,Defensive rebound by N. Mirotic
1:19.0,,,59-52,,E. Moore misses 3-pt shot from 23 ft
1:16.0,Defensive rebound by E. Payton,,59-52,,
1:14.0,D. Booker makes 3-pt shot from 24 ft (assist by E. Payton),3,62-52,,
1:14.0,Shooting foul by J. Holiday (drawn by D. Booker),,62-52,,
1:14.0,D. Booker makes free throw 1 of 1,1,63-52,,
1:09.0,,,63-54,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
0:54.0,D. Booker misses 2-pt shot from 16 ft,,63-54,,
0:54.0,,,63-54,,Defensive rebound by A. Davis
0:50.0,Personal foul by T. Warren (drawn by R. Rondo),,63-54,,
0:50.0,,,63-55,1,R. Rondo makes free throw 1 of 2
0:50.0,,,63-56,1,R. Rondo makes free throw 2 of 2
0:35.0,E. Payton misses 2-pt shot from 3 ft,,63-56,,
0:33.0,,,63-56,,Defensive rebound by J. Holiday
0:18.0,,,63-58,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
0:02.0,Shooting foul by R. Rondo (drawn by D. Booker),,63-58,,
0:02.0,D. Booker makes free throw 1 of 2,1,64-58,,
0:02.0,D. Booker makes free throw 2 of 2,1,65-58,,
0:00.0,,,65-58,,Turnover by R. Rondo (bad pass)
0:00.0,Turnover by D. Booker (bad pass; steal by A. Davis),,65-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,65-58,,Personal foul by R. Rondo (drawn by D. Booker)
11:37.0,Turnover by A. Len (lost ball; steal by E. Okafor),,65-58,,
11:37.0,Personal foul by A. Len (drawn by E. Okafor),,65-58,,
11:23.0,,,65-60,2,J. Holiday makes 2-pt shot from 13 ft
11:23.0,,,65-60,,Shooting foul by A. Len (drawn by J. Holiday)
11:23.0,,,65-60,,J. Holiday misses free throw 1 of 1
11:18.0,Defensive rebound by D. Bender,,65-60,,
11:14.0,E. Payton makes 2-pt shot from 2 ft,2,67-60,,
10:59.0,,,67-62,2,A. Davis makes 2-pt shot from 8 ft
10:46.0,D. Bender misses 2-pt shot from 6 ft (block by A. Davis),,67-62,,
10:46.0,Offensive rebound by D. Bender,,67-62,,
10:40.0,E. Payton makes 2-pt shot from 3 ft (assist by D. Bender),2,69-62,,
10:32.0,,,69-64,2,E. Okafor makes 2-pt shot at rim (assist by A. Davis)
10:32.0,,,69-64,,Shooting foul by A. Len (drawn by E. Okafor)
10:32.0,M. Chriss enters the game for A. Len,,69-64,,
10:32.0,,,69-64,,E. Okafor misses free throw 1 of 1
10:29.0,Defensive rebound by M. Chriss,,69-64,,
10:20.0,E. Payton misses 2-pt shot from 1 ft,,69-64,,
10:20.0,,,69-64,,Defensive rebound by E. Okafor
10:12.0,,,69-64,,Turnover by R. Rondo (bad pass)
9:58.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Bender),2,71-64,,
9:49.0,,,71-64,,A. Davis misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by M. Chriss,,71-64,,
9:41.0,D. Bender misses 3-pt shot from 22 ft,,71-64,,
9:37.0,,,71-64,,Defensive rebound by E. Okafor
9:33.0,,,71-66,2,J. Holiday makes 2-pt shot from 3 ft
9:33.0,,,71-66,,Shooting foul by D. Booker (drawn by J. Holiday)
9:33.0,,,71-67,1,J. Holiday makes free throw 1 of 1
9:18.0,E. Payton misses 3-pt shot from 23 ft,,71-67,,
9:15.0,,,71-67,,Defensive rebound by E. Okafor
9:09.0,Personal foul by M. Chriss (drawn by A. Davis),,71-67,,
9:09.0,,,71-68,1,A. Davis makes free throw 1 of 2
9:09.0,,,71-69,1,A. Davis makes free throw 2 of 2
8:52.0,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker),3,74-69,,
8:42.0,,,74-71,2,A. Davis makes 2-pt shot from 21 ft (assist by R. Rondo)
8:19.0,T. Warren misses 2-pt shot from 1 ft,,74-71,,
8:17.0,,,74-71,,Defensive rebound by A. Davis
8:10.0,,,74-73,2,J. Holiday makes 2-pt shot from 3 ft (assist by R. Rondo)
8:00.0,,,74-73,,Personal foul by J. Holiday (drawn by D. Booker)
7:58.0,Turnover by D. Bender (traveling),,74-73,,
7:36.0,,,74-73,,R. Rondo misses 3-pt shot from 23 ft
7:32.0,Defensive rebound by D. Bender,,74-73,,
7:22.0,D. Booker misses 3-pt shot from 26 ft,,74-73,,
7:18.0,,,74-73,,Defensive rebound by R. Rondo
7:18.0,,,74-73,,Shooting foul by D. Booker (drawn by A. Davis)
7:18.0,,,74-74,1,A. Davis makes free throw 1 of 2
7:18.0,,,74-74,,I. Clark enters the game for E. Moore
7:18.0,,,74-75,1,A. Davis makes free throw 2 of 2
7:10.0,D. Booker makes 2-pt shot from 15 ft (assist by D. Bender),2,76-75,,
6:56.0,,,76-77,2,A. Davis makes 2-pt shot from 16 ft
6:39.0,D. Booker misses 3-pt shot from 27 ft,,76-77,,
6:34.0,Offensive rebound by M. Chriss,,76-77,,
6:33.0,D. Bender misses 3-pt shot from 25 ft,,76-77,,
6:30.0,,,76-77,,Defensive rebound by R. Rondo
6:19.0,,,76-77,,A. Davis misses 2-pt shot from 7 ft
6:19.0,Defensive rebound by T. Warren,,76-77,,
6:01.0,D. Booker misses 3-pt shot from 27 ft,,76-77,,
5:56.0,Offensive rebound by E. Payton,,76-77,,
5:49.0,T. Warren makes 2-pt shot from 1 ft,2,78-77,,
5:37.0,Away from play foul by D. Booker (drawn by A. Davis),,78-77,,
5:37.0,,,78-77,,New Orleans full timeout
5:37.0,,,78-77,,D. Miller enters the game for J. Holiday
5:37.0,J. Jackson enters the game for D. Booker,,78-77,,
5:37.0,,,78-78,1,A. Davis makes free throw 1 of 2
5:37.0,,,78-79,1,A. Davis makes free throw 2 of 2
5:25.0,T. Warren makes 2-pt shot from 16 ft (assist by D. Bender),2,80-79,,
5:10.0,,,80-79,,Shooting foul by D. Bender (drawn by E. Okafor)
5:10.0,,,80-80,1,E. Okafor makes free throw 1 of 2
5:10.0,,,80-80,,N. Mirotic enters the game for A. Davis
5:10.0,,,80-81,1,E. Okafor makes free throw 2 of 2
4:57.0,Turnover by E. Payton (bad pass; steal by D. Miller),,80-81,,
4:53.0,,,80-81,,I. Clark misses 2-pt shot from 2 ft (block by M. Chriss)
4:53.0,,,80-81,,Offensive rebound by Team
4:50.0,,,80-81,,Turnover by R. Rondo (bad pass; steal by T. Warren)
4:45.0,J. Jackson misses 2-pt shot at rim (block by E. Okafor),,80-81,,
4:42.0,Offensive rebound by E. Payton,,80-81,,
4:39.0,E. Payton misses 2-pt shot from 3 ft,,80-81,,
4:36.0,Offensive rebound by E. Payton,,80-81,,
4:34.0,M. Chriss misses 3-pt shot from 22 ft,,80-81,,
4:34.0,,,80-81,,Defensive rebound by Team
4:20.0,,,80-81,,Shooting foul by D. Bender (drawn by E. Okafor)
4:20.0,,,80-82,1,E. Okafor makes free throw 1 of 2
4:20.0,A. Len enters the game for D. Bender,,80-82,,
4:20.0,,,80-83,1,E. Okafor makes free throw 2 of 2
4:01.0,,,80-83,,Personal foul by E. Okafor (drawn by E. Payton)
3:57.0,T. Warren misses 2-pt shot from 17 ft,,80-83,,
3:54.0,,,80-83,,Defensive rebound by R. Rondo
3:50.0,,,80-86,3,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Rondo)
3:26.0,Turnover by E. Payton (bad pass; steal by N. Mirotic),,80-86,,
3:20.0,,,80-86,,Turnover by R. Rondo (bad pass; steal by T. Warren)
3:18.0,Shooting foul by E. Okafor (drawn by T. Warren),,80-86,,
3:18.0,T. Warren makes free throw 1 of 2,1,81-86,,
3:18.0,,,81-86,,J. Holiday enters the game for R. Rondo
3:18.0,D. Booker enters the game for M. Chriss,,81-86,,
3:18.0,T. Daniels enters the game for E. Payton,,81-86,,
3:18.0,T. Warren makes free throw 2 of 2,1,82-86,,
3:04.0,,,82-88,2,E. Okafor makes 2-pt shot from 16 ft (assist by D. Miller)
2:42.0,T. Warren misses 2-pt shot from 4 ft,,82-88,,
2:39.0,,,82-88,,Defensive rebound by E. Okafor
2:31.0,,,82-88,,N. Mirotic misses 2-pt shot from 14 ft
2:26.0,Defensive rebound by T. Daniels,,82-88,,
2:15.0,J. Jackson misses 2-pt shot from 10 ft,,82-88,,
2:15.0,,,82-88,,Defensive rebound by D. Miller
2:00.0,,,82-91,3,I. Clark makes 3-pt shot from 22 ft (assist by J. Holiday)
1:58.0,Phoenix full timeout,,82-91,,
1:38.0,D. Booker makes 2-pt shot from 2 ft,2,84-91,,
1:22.0,,,84-91,,Turnover by I. Clark (bad pass; steal by T. Daniels)
1:15.0,D. Booker makes 2-pt shot from 22 ft (assist by T. Daniels),2,86-91,,
1:03.0,,,86-94,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Holiday)
0:51.0,,,86-94,,Personal foul by J. Holiday (drawn by D. Booker)
0:51.0,D. Booker misses free throw 1 of 2,,86-94,,
0:51.0,Offensive rebound by Team,,86-94,,
0:51.0,,,86-94,,R. Rondo enters the game for J. Holiday
0:51.0,D. Booker makes free throw 2 of 2,1,87-94,,
0:42.0,,,87-94,,N. Mirotic misses 3-pt shot from 26 ft (block by T. Warren)
0:42.0,Defensive rebound by D. Booker,,87-94,,
0:37.0,T. Warren misses 2-pt shot from 1 ft,,87-94,,
0:36.0,J. Jackson misses 2-pt shot at rim,,87-94,,
0:36.0,Offensive rebound by J. Jackson,,87-94,,
0:36.0,Offensive rebound by J. Jackson,,87-94,,
0:34.0,J. Jackson misses 2-pt shot at rim,,87-94,,
0:34.0,Offensive rebound by J. Jackson,,87-94,,
0:34.0,J. Jackson makes 2-pt shot at rim,2,89-94,,
0:26.0,,,89-96,2,R. Rondo makes 2-pt shot from 4 ft
0:03.0,J. Jackson misses 3-pt shot from 25 ft,,89-96,,
0:03.0,,,89-96,,Defensive rebound by D. Miller
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,89-98,2,E. Moore makes 2-pt shot from 9 ft (assist by R. Rondo)
11:30.0,Shooting foul by A. Davis (drawn by J. Jackson),,89-98,,
11:30.0,J. Jackson misses free throw 1 of 2,,89-98,,
11:30.0,Offensive rebound by Team,,89-98,,
11:30.0,J. Jackson makes free throw 2 of 2,1,90-98,,
11:17.0,,,90-98,,N. Mirotic misses 3-pt shot from 23 ft
11:14.0,Defensive rebound by D. Booker,,90-98,,
11:07.0,D. Booker misses 2-pt shot from 18 ft,,90-98,,
11:03.0,Offensive rebound by J. Jackson,,90-98,,
11:03.0,J. Jackson makes 2-pt shot at rim,2,92-98,,
10:47.0,,,92-100,2,A. Davis makes 2-pt shot from 9 ft
10:26.0,J. Jackson makes 2-pt shot from 2 ft,2,94-100,,
10:14.0,,,94-100,,R. Rondo misses 2-pt shot from 20 ft
10:11.0,Defensive rebound by J. Jackson,,94-100,,
10:06.0,J. Jackson misses 2-pt shot from 10 ft,,94-100,,
10:03.0,,,94-100,,Defensive rebound by N. Mirotic
9:53.0,,,94-100,,R. Rondo misses 2-pt shot from 2 ft
9:49.0,,,94-100,,Offensive rebound by A. Davis
9:49.0,,,94-102,2,A. Davis makes 2-pt shot at rim
9:29.0,M. Chriss misses 2-pt shot from 1 ft (block by A. Davis),,94-102,,
9:27.0,,,94-102,,Defensive rebound by I. Clark
9:27.0,Personal foul by T. Daniels (drawn by I. Clark),,94-102,,
9:27.0,,,94-102,,D. Miller enters the game for N. Mirotic
9:27.0,D. Bender enters the game for T. Daniels,,94-102,,
9:20.0,,,94-102,,A. Davis misses 2-pt shot from 13 ft
9:20.0,,,94-102,,Offensive rebound by Team
9:20.0,Loose ball foul by D. Bender (drawn by D. Miller),,94-102,,
9:20.0,T. Warren enters the game for D. Bender,,94-102,,
9:12.0,,,94-102,,Turnover by D. Miller (bad pass; steal by E. Payton)
9:09.0,Shooting foul by D. Miller (drawn by J. Jackson),,94-102,,
9:09.0,J. Jackson makes free throw 1 of 2,1,95-102,,
9:09.0,J. Jackson misses free throw 2 of 2,,95-102,,
9:06.0,,,95-102,,Defensive rebound by E. Moore
8:55.0,,,95-102,,D. Miller misses 3-pt shot from 26 ft
8:52.0,,,95-102,,Offensive rebound by A. Davis
8:52.0,,,95-104,2,A. Davis makes 2-pt shot from 2 ft
8:52.0,,,95-104,,Shooting foul by M. Chriss (drawn by A. Davis)
8:52.0,,,95-105,1,A. Davis makes free throw 1 of 1
8:47.0,Offensive foul by M. Chriss (drawn by E. Moore),,95-105,,
