time,Utah,pts.away,score,pts.home,Chicago
1:54.0,,,40-45,2,J. Holiday makes 2-pt shot from 18 ft (assist by R. Lopez)
1:35.0,Turnover by R. Rubio (lost ball; steal by K. Dunn),,40-45,,
1:33.0,Personal foul by J. Jerebko (drawn by D. Valentine),,40-45,,
1:33.0,,,40-46,1,D. Valentine makes free throw 1 of 2
1:33.0,T. Sefolosha enters the game for R. Rubio,,40-46,,
1:33.0,D. Mitchell enters the game for J. Jerebko,,40-46,,
1:33.0,,,40-47,1,D. Valentine makes free throw 2 of 2
1:13.0,R. Hood makes 3-pt shot from 25 ft (assist by D. Mitchell),3,43-47,,
1:01.0,,,43-47,,K. Dunn misses 2-pt shot from 18 ft
0:58.0,Defensive rebound by R. Hood,,43-47,,
0:38.0,Shooting foul by J. Holiday (drawn by R. Hood),,43-47,,
0:38.0,R. Hood makes free throw 1 of 2,1,44-47,,
0:38.0,,,44-47,,J. Grant enters the game for K. Dunn
0:38.0,R. Hood makes free throw 2 of 2,1,45-47,,
0:30.0,,,45-47,,D. Valentine misses 2-pt shot from 21 ft
0:27.0,Defensive rebound by R. Gobert,,45-47,,
0:09.0,J. Ingles makes 3-pt shot from 24 ft (assist by R. Hood),3,48-47,,
0:01.0,,,48-49,2,J. Grant makes 2-pt shot from 20 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Ingles misses 2-pt shot from 4 ft,,48-49,,
11:46.0,Offensive rebound by Team,,48-49,,
11:46.0,,,48-49,,Personal foul by D. Valentine (drawn by R. Gobert)
11:40.0,D. Mitchell makes 2-pt shot from 8 ft,2,50-49,,
11:26.0,,,50-51,2,R. Lopez makes 2-pt shot from 9 ft (assist by K. Dunn)
11:11.0,Turnover by J. Ingles (bad pass; steal by N. Mirotic),,50-51,,
11:04.0,,,50-51,,D. Valentine misses 2-pt shot from 20 ft
10:59.0,Defensive rebound by D. Mitchell,,50-51,,
10:55.0,D. Mitchell makes 2-pt shot at rim,2,52-51,,
10:36.0,,,52-51,,R. Lopez misses 2-pt shot from 15 ft
10:36.0,Defensive rebound by R. Gobert,,52-51,,
10:24.0,R. Rubio makes 2-pt shot from 1 ft,2,54-51,,
10:08.0,,,54-53,2,R. Lopez makes 2-pt shot from 1 ft (assist by D. Valentine)
9:46.0,R. Rubio misses 3-pt shot from 25 ft,,54-53,,
9:44.0,,,54-53,,Defensive rebound by J. Holiday
9:40.0,,,54-55,2,K. Dunn makes 2-pt shot from 18 ft
9:28.0,,,54-55,,Personal foul by K. Dunn (drawn by R. Rubio)
9:20.0,D. Mitchell misses 2-pt shot from 21 ft,,54-55,,
9:17.0,,,54-55,,Defensive rebound by D. Valentine
9:01.0,,,54-55,,Turnover by R. Lopez (bad pass; steal by D. Mitchell)
8:57.0,,,54-55,,Technical foul by Team
8:57.0,R. Rubio makes technical free throw,1,55-55,,
8:42.0,D. Mitchell makes 2-pt shot from 17 ft (assist by R. Rubio),2,57-55,,
8:37.0,,,57-55,,K. Dunn misses 2-pt shot from 14 ft
8:37.0,Defensive rebound by J. Ingles,,57-55,,
8:26.0,Turnover by J. Ingles (bad pass; steal by J. Holiday),,57-55,,
8:26.0,Personal take foul by D. Mitchell (drawn by J. Holiday),,57-55,,
8:17.0,,,57-58,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Lopez)
8:01.0,R. Rubio makes 2-pt shot from 21 ft,2,59-58,,
7:43.0,,,59-58,,J. Holiday misses 2-pt shot from 16 ft
7:40.0,Defensive rebound by J. Ingles,,59-58,,
7:35.0,D. Mitchell makes 2-pt shot from 17 ft,2,61-58,,
7:24.0,Personal foul by R. Rubio (drawn by R. Lopez),,61-58,,
7:24.0,J. Jerebko enters the game for D. Favors,,61-58,,
7:15.0,,,61-58,,N. Mirotic misses 2-pt shot from 1 ft (block by R. Gobert)
7:10.0,Defensive rebound by J. Ingles,,61-58,,
7:06.0,J. Jerebko makes 2-pt shot from 1 ft (assist by D. Mitchell),2,63-58,,
7:06.0,,,63-58,,Chicago full timeout
6:56.0,,,63-58,,R. Lopez misses 2-pt shot from 7 ft
6:53.0,Defensive rebound by R. Rubio,,63-58,,
6:47.0,,,63-58,,Personal foul by J. Holiday (drawn by D. Mitchell)
6:38.0,R. Rubio misses 3-pt shot from 25 ft,,63-58,,
6:33.0,,,63-58,,Defensive rebound by J. Holiday
6:29.0,,,63-58,,J. Holiday misses 2-pt shot from 16 ft
6:26.0,Defensive rebound by R. Rubio,,63-58,,
6:19.0,R. Rubio misses 2-pt shot from 19 ft,,63-58,,
6:14.0,,,63-58,,Defensive rebound by N. Mirotic
6:04.0,,,63-58,,K. Dunn misses 2-pt shot from 5 ft
6:04.0,Defensive rebound by R. Rubio,,63-58,,
5:50.0,Turnover by R. Rubio (bad pass; steal by K. Dunn),,63-58,,
5:45.0,,,63-58,,Turnover by D. Valentine (bad pass; steal by D. Mitchell)
5:38.0,J. Jerebko misses 2-pt shot from 4 ft,,63-58,,
5:36.0,,,63-58,,Defensive rebound by N. Mirotic
5:25.0,,,63-58,,R. Lopez misses 2-pt shot from 3 ft (block by R. Gobert)
5:25.0,Defensive rebound by J. Ingles,,63-58,,
5:12.0,D. Mitchell makes 2-pt shot from 2 ft (assist by R. Gobert),2,65-58,,
5:07.0,,,65-58,,Shooting foul by J. Ingles (drawn by J. Holiday)
5:07.0,,,65-59,1,J. Holiday makes free throw 1 of 2
5:07.0,,,65-59,,D. Nwaba enters the game for D. Valentine
5:07.0,D. Favors enters the game for R. Rubio,,65-59,,
5:07.0,R. Hood enters the game for R. Gobert,,65-59,,
5:07.0,,,65-60,1,J. Holiday makes free throw 2 of 2
4:52.0,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles),2,67-60,,
4:43.0,Personal foul by J. Jerebko (drawn by N. Mirotic),,67-60,,
4:37.0,,,67-62,2,N. Mirotic makes 2-pt shot from 13 ft
4:19.0,J. Jerebko misses 3-pt shot from 25 ft,,67-62,,
4:16.0,,,67-62,,Defensive rebound by K. Dunn
4:10.0,,,67-62,,K. Dunn misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by R. Hood,,67-62,,
3:59.0,D. Mitchell misses 3-pt shot from 25 ft,,67-62,,
3:56.0,,,67-62,,Defensive rebound by K. Dunn
3:50.0,,,67-62,,K. Dunn misses 2-pt shot from 3 ft
3:48.0,,,67-62,,Offensive rebound by N. Mirotic
3:47.0,,,67-64,2,N. Mirotic makes 2-pt shot from 1 ft
3:47.0,Utah full timeout,,67-64,,
3:47.0,,,67-64,,B. Portis enters the game for R. Lopez
3:47.0,A. Burks enters the game for J. Ingles,,67-64,,
3:23.0,Turnover by R. Hood (bad pass; steal by N. Mirotic),,67-64,,
3:19.0,,,67-67,3,N. Mirotic makes 3-pt shot from 24 ft
2:59.0,A. Burks misses 2-pt shot from 8 ft,,67-67,,
2:56.0,,,67-67,,Defensive rebound by B. Portis
2:50.0,,,67-67,,Shooting foul by R. Hood (drawn by N. Mirotic)
2:50.0,,,67-68,1,N. Mirotic makes free throw 1 of 2
2:50.0,,,67-69,1,N. Mirotic makes free throw 2 of 2
2:40.0,D. Mitchell misses 3-pt shot from 26 ft,,67-69,,
2:35.0,,,67-69,,Defensive rebound by J. Holiday
2:23.0,,,67-71,2,N. Mirotic makes 2-pt shot from 1 ft
2:06.0,D. Favors misses 2-pt shot from 20 ft,,67-71,,
2:06.0,,,67-71,,Defensive rebound by Team
2:06.0,Personal foul by J. Jerebko (drawn by J. Holiday),,67-71,,
2:06.0,,,67-72,1,J. Holiday makes free throw 1 of 2
2:06.0,,,67-72,,J. Grant enters the game for K. Dunn
2:06.0,T. Sefolosha enters the game for J. Jerebko,,67-72,,
2:06.0,,,67-72,,J. Holiday misses free throw 2 of 2
2:03.0,Defensive rebound by D. Favors,,67-72,,
1:43.0,D. Mitchell makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,69-72,,
1:30.0,,,69-74,2,N. Mirotic makes 2-pt shot from 1 ft (assist by B. Portis)
1:21.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by D. Mitchell),3,72-74,,
1:05.0,,,72-74,,B. Portis misses 3-pt shot from 24 ft
1:03.0,Defensive rebound by D. Mitchell,,72-74,,
1:03.0,,,72-74,,Personal foul by N. Mirotic (drawn by D. Mitchell)
1:03.0,,,72-74,,P. Zipser enters the game for J. Holiday
0:51.0,R. Hood misses 2-pt shot from 18 ft,,72-74,,
0:47.0,,,72-74,,Defensive rebound by D. Nwaba
0:30.0,,,72-74,,N. Mirotic misses 2-pt shot from 13 ft
0:28.0,Defensive rebound by D. Mitchell,,72-74,,
0:19.0,A. Burks makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,74-74,,
0:01.0,,,74-77,3,J. Grant makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,74-79,2,B. Portis makes 2-pt shot from 2 ft
11:47.0,,,74-79,,Shooting foul by D. Favors (drawn by B. Portis)
11:47.0,,,74-79,,B. Portis misses free throw 1 of 1
11:42.0,Defensive rebound by D. Favors,,74-79,,
11:26.0,A. Burks makes 2-pt shot at rim (assist by R. Hood),2,76-79,,
11:03.0,,,76-79,,P. Zipser misses 3-pt shot from 26 ft
11:00.0,Defensive rebound by A. Burks,,76-79,,
10:50.0,T. Sefolosha misses 3-pt shot from 23 ft,,76-79,,
10:45.0,,,76-79,,Defensive rebound by B. Portis
10:40.0,,,76-79,,D. Nwaba misses 2-pt shot from 2 ft
10:38.0,Defensive rebound by D. Favors,,76-79,,
10:34.0,R. Hood makes 3-pt shot from 25 ft (assist by R. Rubio),3,79-79,,
10:08.0,Jump ball: P. Zipser vs. R. Rubio,,,,Jump ball: P. Zipser vs. R. Rubio
10:06.0,,,79-82,3,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant)
9:43.0,,,79-82,,Personal foul by P. Zipser (drawn by D. Favors)
9:43.0,,,79-82,,R. Lopez enters the game for P. Zipser
9:43.0,R. Gobert enters the game for R. Hood,,79-82,,
9:43.0,D. Mitchell enters the game for D. Favors,,79-82,,
9:36.0,R. Rubio misses 2-pt shot from 17 ft,,79-82,,
9:32.0,,,79-82,,Defensive rebound by B. Portis
9:25.0,,,79-84,2,J. Grant makes 2-pt shot from 16 ft
9:13.0,A. Burks misses 3-pt shot from 25 ft,,79-84,,
9:13.0,,,79-84,,Defensive rebound by D. Nwaba
9:03.0,,,79-84,,J. Grant misses 2-pt shot from 12 ft
8:59.0,,,79-84,,Offensive rebound by D. Nwaba
8:57.0,,,79-86,2,B. Portis makes 2-pt shot from 4 ft (assist by D. Nwaba)
8:50.0,Utah full timeout,,79-86,,
8:42.0,D. Mitchell misses 2-pt shot from 14 ft,,79-86,,
8:40.0,Offensive rebound by Team,,79-86,,
8:40.0,J. Ingles enters the game for R. Rubio,,79-86,,
8:24.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,81-86,,
8:07.0,,,81-86,,R. Lopez misses 2-pt shot from 6 ft
8:07.0,,,81-86,,Offensive rebound by B. Portis
8:03.0,,,81-86,,B. Portis misses 2-pt shot at rim
8:02.0,,,81-86,,Offensive rebound by R. Lopez
7:58.0,,,81-86,,J. Grant misses 3-pt shot from 24 ft
7:58.0,,,81-86,,Offensive rebound by B. Portis
7:55.0,,,81-88,2,B. Portis makes 2-pt shot from 1 ft
7:46.0,D. Mitchell makes 2-pt shot from 1 ft,2,83-88,,
7:30.0,,,83-88,,R. Lopez misses 2-pt shot from 3 ft (block by R. Gobert)
7:30.0,Defensive rebound by J. Ingles,,83-88,,
7:20.0,A. Burks makes 2-pt shot from 2 ft (assist by T. Sefolosha),2,85-88,,
7:20.0,,,85-88,,Chicago full timeout
7:20.0,,,85-88,,K. Dunn enters the game for J. Grant
7:20.0,J. Jerebko enters the game for T. Sefolosha,,85-88,,
7:00.0,,,85-88,,K. Dunn misses 2-pt shot from 12 ft
6:55.0,Defensive rebound by A. Burks,,85-88,,
6:38.0,D. Mitchell misses 3-pt shot from 22 ft,,85-88,,
6:35.0,Offensive rebound by R. Gobert,,85-88,,
6:32.0,R. Gobert misses 2-pt shot from 8 ft,,85-88,,
6:29.0,,,85-88,,Defensive rebound by B. Portis
6:23.0,,,85-90,2,R. Lopez makes 2-pt shot from 4 ft (assist by K. Dunn)
6:09.0,,,85-90,,Personal foul by K. Dunn (drawn by D. Mitchell)
6:09.0,,,85-90,,N. Mirotic enters the game for B. Portis
5:57.0,A. Burks misses 2-pt shot from 2 ft,,85-90,,
5:53.0,Offensive rebound by R. Gobert,,85-90,,
5:53.0,R. Gobert misses 2-pt shot at rim,,85-90,,
5:51.0,,,85-90,,Defensive rebound by D. Nwaba
5:45.0,,,85-90,,K. Dunn misses 2-pt shot from 11 ft
5:42.0,Defensive rebound by J. Ingles,,85-90,,
5:32.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell),3,88-90,,
5:16.0,,,88-90,,Turnover by R. Lopez (offensive goaltending)
5:16.0,R. Hood enters the game for A. Burks,,88-90,,
5:16.0,D. Favors enters the game for R. Gobert,,88-90,,
4:58.0,D. Mitchell makes 2-pt shot from 2 ft,2,90-90,,
4:42.0,,,90-92,2,N. Mirotic makes 2-pt shot from 13 ft (assist by R. Lopez)
4:23.0,J. Ingles misses 3-pt shot from 23 ft,,90-92,,
4:18.0,,,90-92,,Defensive rebound by K. Dunn
4:05.0,,,90-94,2,D. Valentine makes 2-pt shot from 3 ft (assist by K. Dunn)
4:05.0,Utah full timeout,,90-94,,
4:05.0,A. Burks enters the game for J. Jerebko,,90-94,,
3:41.0,J. Ingles misses 2-pt shot from 2 ft (block by R. Lopez),,90-94,,
3:41.0,Offensive rebound by Team,,90-94,,
3:41.0,Turnover by Team (shot clock),,90-94,,
3:29.0,,,90-94,,K. Dunn misses 2-pt shot at rim
3:27.0,Defensive rebound by A. Burks,,90-94,,
3:10.0,A. Burks makes 2-pt shot from 1 ft,2,92-94,,
2:49.0,,,92-96,2,D. Valentine makes 2-pt shot from 2 ft (assist by K. Dunn)
2:32.0,D. Mitchell makes 2-pt shot at rim (assist by R. Hood),2,94-96,,
2:11.0,,,94-96,,N. Mirotic misses 2-pt shot from 11 ft (block by D. Mitchell)
2:11.0,,,94-96,,Offensive rebound by N. Mirotic
