time,Golden State,pts.away,score,pts.home,Cleveland
5:44.0,K. Durant makes free throw 1 of 2,1,43-43,,
5:44.0,A. Iguodala enters the game for K. Thompson,,43-43,,
5:44.0,K. Durant makes free throw 2 of 2,1,44-43,,
5:32.0,,,44-43,,J. Green misses 2-pt shot from 3 ft (block by D. Green)
5:29.0,Defensive rebound by J. Bell,,44-43,,
5:10.0,S. Curry misses 2-pt shot from 19 ft,,44-43,,
5:09.0,Offensive rebound by Team,,44-43,,
5:09.0,Turnover by Team (shot clock),,44-43,,
5:09.0,,,44-43,,G. Hill enters the game for L. Nance
5:09.0,,,44-43,,K. Love enters the game for K. Korver
5:09.0,,,44-43,,T. Thompson enters the game for J. Green
4:58.0,,,44-43,,J. Smith misses 2-pt shot from 3 ft (block by S. Curry)
4:58.0,,,44-43,,Offensive rebound by Team
4:58.0,J. McGee enters the game for J. Bell,,44-43,,
4:51.0,,,44-43,,Offensive foul by L. James (drawn by A. Iguodala)
4:51.0,,,44-43,,Turnover by L. James (offensive foul)
4:36.0,A. Iguodala makes 3-pt shot from 25 ft (assist by D. Green),3,47-43,,
4:15.0,,,47-43,,K. Love misses 2-pt shot from 18 ft
4:13.0,Defensive rebound by K. Durant,,47-43,,
4:06.0,S. Curry makes 2-pt shot from 1 ft,2,49-43,,
3:54.0,,,49-46,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
3:39.0,S. Curry misses 2-pt shot from 22 ft,,49-46,,
3:36.0,,,49-46,,Defensive rebound by T. Thompson
3:26.0,Personal foul by A. Iguodala (drawn by L. James),,49-46,,
3:26.0,,,49-46,,L. James misses free throw 1 of 2
3:26.0,,,49-46,,Offensive rebound by Team
3:26.0,,,49-47,1,L. James makes free throw 2 of 2
3:12.0,S. Curry makes 3-pt shot from 28 ft,3,52-47,,
3:00.0,Personal foul by S. Curry (drawn by G. Hill),,52-47,,
3:00.0,,,52-47,,G. Hill misses free throw 1 of 2
3:00.0,,,52-47,,Offensive rebound by Team
3:00.0,,,52-47,,G. Hill misses free throw 2 of 2
2:58.0,Defensive rebound by K. Durant,,52-47,,
2:50.0,,,52-47,,Personal foul by G. Hill (drawn by J. McGee)
2:50.0,Golden State full timeout,,52-47,,
2:37.0,K. Durant misses 3-pt shot from 30 ft,,52-47,,
2:33.0,,,52-47,,Defensive rebound by J. Smith
2:29.0,,,52-47,,K. Love misses 2-pt shot from 20 ft
2:25.0,Defensive rebound by S. Curry,,52-47,,
2:14.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,54-47,,
1:50.0,,,54-49,2,T. Thompson makes 2-pt shot from 8 ft (assist by K. Love)
1:37.0,J. McGee makes 2-pt shot from 1 ft (assist by K. Durant),2,56-49,,
1:20.0,,,56-52,3,J. Smith makes 3-pt shot from 22 ft (assist by L. James)
1:07.0,A. Iguodala misses 2-pt shot at rim (block by T. Thompson),,56-52,,
1:07.0,Offensive rebound by Team,,56-52,,
1:07.0,,,56-52,,J. Green enters the game for G. Hill
1:01.0,Jump ball: T. Thompson vs. J. McGee (D. Green gains possession),,,,Jump ball: T. Thompson vs. J. McGee (D. Green gains possession)
1:01.0,,,56-52,,Personal foul by J. Green (drawn by K. Durant)
1:01.0,K. Durant makes free throw 1 of 2,1,57-52,,
1:01.0,S. Livingston enters the game for S. Curry,,57-52,,
1:01.0,K. Durant makes free throw 2 of 2,1,58-52,,
0:46.0,,,58-52,,Turnover by L. James (bad pass)
0:34.0,D. Green misses 3-pt shot from 23 ft,,58-52,,
0:31.0,,,58-52,,Defensive rebound by L. James
0:20.0,,,58-52,,J. Smith misses 3-pt shot from 24 ft (block by J. McGee)
0:16.0,Defensive rebound by K. Durant,,58-52,,
0:15.0,Golden State full timeout,,58-52,,
0:15.0,,,58-52,,R. Hood enters the game for K. Love
0:15.0,,,58-52,,L. Nance enters the game for J. Smith
