time,San Antonio,pts.away,score,pts.home,Utah
3:54.0,,,66-63,,Defensive rebound by A. Burks
3:49.0,,,66-63,,J. Crowder misses 3-pt shot from 24 ft
3:45.0,Defensive rebound by M. Ginobili,,66-63,,
3:38.0,Turnover by M. Ginobili (bad pass; steal by J. Crowder),,66-63,,
3:34.0,,,66-63,,Shooting foul by M. Ginobili (drawn by R. Gobert)
3:34.0,,,66-63,,R. Gobert misses free throw 1 of 2
3:34.0,,,66-63,,Offensive rebound by Team
3:34.0,San Antonio full timeout,,66-63,,
3:34.0,T. Parker enters the game for K. Anderson,,66-63,,
3:34.0,D. Green enters the game for D. Murray,,66-63,,
3:34.0,,,66-63,,R. Gobert misses free throw 2 of 2
3:32.0,Defensive rebound by T. Parker,,66-63,,
3:17.0,,,66-63,,Personal foul by R. Neto (drawn by T. Parker)
3:17.0,T. Parker misses free throw 1 of 2,,66-63,,
3:17.0,Offensive rebound by Team,,66-63,,
3:17.0,,,66-63,,E. Udoh enters the game for R. Gobert
3:17.0,J. Lauvergne enters the game for P. Gasol,,66-63,,
3:17.0,T. Parker makes free throw 2 of 2,1,67-63,,
2:57.0,,,67-63,,Shooting foul by P. Mills (drawn by J. Crowder)
2:57.0,,,67-64,1,J. Crowder makes free throw 1 of 2
2:57.0,,,67-65,1,J. Crowder makes free throw 2 of 2
2:43.0,,,67-65,,Personal foul by E. Udoh (drawn by M. Ginobili)
2:43.0,M. Ginobili misses free throw 1 of 2,,67-65,,
2:43.0,Offensive rebound by Team,,67-65,,
2:43.0,M. Ginobili makes free throw 2 of 2,1,68-65,,
2:30.0,,,68-68,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Ingles)
2:17.0,San Antonio full timeout,,68-68,,
2:08.0,M. Ginobili makes 3-pt shot from 25 ft (assist by J. Lauvergne),3,71-68,,
2:02.0,,,71-68,,Offensive foul by J. Crowder (drawn by M. Ginobili)
2:02.0,,,71-68,,Turnover by J. Crowder (offensive foul)
1:49.0,,,71-68,,Personal foul by R. Neto (drawn by T. Parker)
1:49.0,T. Parker makes free throw 1 of 2,1,72-68,,
1:49.0,,,72-68,,R. O'Neale enters the game for J. Ingles
1:49.0,T. Parker misses free throw 2 of 2,,72-68,,
1:47.0,,,72-68,,Defensive rebound by J. Crowder
1:31.0,,,72-68,,Turnover by J. Crowder (bad pass; steal by M. Ginobili)
1:25.0,M. Ginobili misses 3-pt shot from 26 ft,,72-68,,
1:20.0,,,72-68,,Defensive rebound by E. Udoh
1:16.0,Personal foul by D. Green (drawn by R. O'Neale),,72-68,,
1:16.0,,,72-69,1,R. O'Neale makes free throw 1 of 2
1:16.0,,,72-69,,D. Favors enters the game for E. Udoh
1:16.0,,,72-69,,D. Mitchell enters the game for J. Crowder
1:16.0,,,72-69,,R. O'Neale misses free throw 2 of 2
1:11.0,Defensive rebound by J. Lauvergne,,72-69,,
1:05.0,Turnover by T. Parker (traveling),,72-69,,
0:45.0,,,72-69,,D. Mitchell misses 2-pt shot from 6 ft
0:42.0,,,72-69,,Offensive rebound by D. Favors
0:42.0,Jump ball: D. Favors vs. D. Green (R. Neto gains possession),,,,Jump ball: D. Favors vs. D. Green (R. Neto gains possession)
0:33.0,,,72-69,,R. O'Neale misses 3-pt shot from 23 ft
0:33.0,Defensive rebound by Team,,72-69,,
0:15.0,D. Green makes 3-pt shot from 22 ft (assist by J. Lauvergne),3,75-69,,
0:02.0,,,75-69,,D. Mitchell misses 2-pt shot from 6 ft (block by D. Green)
0:02.0,Defensive rebound by J. Lauvergne,,75-69,,
0:02.0,,,75-69,,Personal foul by D. Favors (drawn by J. Lauvergne)
0:02.0,J. Lauvergne makes free throw 1 of 2,1,76-69,,
0:02.0,K. Anderson enters the game for P. Mills,,76-69,,
0:02.0,J. Lauvergne makes free throw 2 of 2,1,77-69,,
0:00.0,,,77-69,,R. Neto misses 3-pt shot from 59 ft
0:00.0,,,77-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,T. Parker misses 2-pt shot from 11 ft,,77-69,,
11:36.0,,,77-69,,Defensive rebound by J. Ingles
11:22.0,,,77-69,,Turnover by J. Ingles (bad pass; steal by M. Ginobili)
11:11.0,,,77-69,,Personal foul by J. Ingles (drawn by P. Mills)
11:11.0,,,77-69,,J. Crowder enters the game for R. Neto
11:04.0,Shooting foul by D. Mitchell (drawn by D. Green),,77-69,,
11:04.0,D. Green makes free throw 1 of 2,1,78-69,,
11:04.0,K. Anderson enters the game for P. Mills,,78-69,,
11:04.0,D. Green makes free throw 2 of 2,1,79-69,,
10:54.0,Personal foul by K. Anderson (drawn by J. Ingles),,79-69,,
10:40.0,,,79-69,,R. O'Neale misses 2-pt shot from 11 ft
10:36.0,Defensive rebound by J. Lauvergne,,79-69,,
10:30.0,T. Parker misses 2-pt shot from 20 ft,,79-69,,
10:26.0,Offensive rebound by D. Green,,79-69,,
10:22.0,Turnover by J. Lauvergne (bad pass),,79-69,,
10:13.0,,,79-69,,Shooting foul by J. Lauvergne (drawn by J. Crowder)
10:13.0,,,79-69,,J. Crowder misses free throw 1 of 2
10:13.0,,,79-69,,Offensive rebound by Team
10:13.0,,,79-70,1,J. Crowder makes free throw 2 of 2
10:01.0,K. Anderson makes 2-pt shot from 12 ft,2,81-70,,
10:01.0,Shooting foul by J. Crowder (drawn by K. Anderson),,81-70,,
10:01.0,P. Gasol enters the game for T. Parker,,81-70,,
10:01.0,D. Murray enters the game for J. Lauvergne,,81-70,,
10:01.0,K. Anderson misses free throw 1 of 1,,81-70,,
10:00.0,,,81-70,,Defensive rebound by Team
9:50.0,Personal foul by D. Green (drawn by J. Ingles),,81-70,,
9:50.0,B. Forbes enters the game for D. Green,,81-70,,
9:46.0,,,81-70,,D. Mitchell misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by M. Ginobili,,81-70,,
9:29.0,B. Forbes makes 2-pt shot from 18 ft,2,83-70,,
9:05.0,,,83-70,,R. Gobert misses 2-pt shot from 2 ft (block by P. Gasol)
9:05.0,,,83-70,,Offensive rebound by R. O'Neale
9:05.0,,,83-72,2,R. O'Neale makes 2-pt shot from 2 ft
9:05.0,,,83-72,,Shooting foul by D. Murray (drawn by R. O'Neale)
9:05.0,,,83-73,1,R. O'Neale makes free throw 1 of 1
8:54.0,P. Gasol makes 2-pt shot from 17 ft (assist by M. Ginobili),2,85-73,,
8:39.0,,,85-73,,D. Mitchell misses 2-pt shot from 4 ft
8:36.0,Defensive rebound by D. Murray,,85-73,,
8:25.0,K. Anderson misses 2-pt shot from 4 ft,,85-73,,
8:25.0,,,85-73,,Defensive rebound by Team
8:25.0,D. Bertans enters the game for M. Ginobili,,85-73,,
8:15.0,,,85-75,2,D. Mitchell makes 2-pt shot from 16 ft
8:13.0,San Antonio full timeout,,85-75,,
8:04.0,B. Forbes misses 3-pt shot from 25 ft,,85-75,,
8:00.0,,,85-75,,Defensive rebound by D. Mitchell
7:44.0,,,85-77,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Mitchell)
7:20.0,D. Bertans misses 2-pt shot from 1 ft,,85-77,,
7:19.0,,,85-77,,Defensive rebound by R. Gobert
7:12.0,,,85-77,,D. Mitchell misses 2-pt shot from 4 ft (block by D. Bertans)
7:12.0,,,85-77,,Offensive rebound by Team
7:12.0,,,85-77,,R. Neto enters the game for R. O'Neale
7:12.0,P. Mills enters the game for B. Forbes,,85-77,,
7:05.0,,,85-79,2,R. Gobert makes 2-pt shot from 20 ft (assist by J. Ingles)
6:49.0,P. Mills misses 3-pt shot from 25 ft,,85-79,,
6:47.0,,,85-79,,Defensive rebound by D. Mitchell
6:34.0,,,85-79,,R. Gobert misses 2-pt shot from 18 ft
6:34.0,Defensive rebound by Team,,85-79,,
6:23.0,,,85-79,,Personal foul by R. Neto (drawn by P. Mills)
6:23.0,,,85-79,,D. Favors enters the game for R. Gobert
6:11.0,K. Anderson misses 3-pt shot from 22 ft,,85-79,,
6:07.0,,,85-79,,Defensive rebound by D. Favors
5:59.0,,,85-79,,D. Mitchell misses 2-pt shot from 8 ft
5:54.0,,,85-79,,Offensive rebound by D. Favors
5:54.0,,,85-81,2,D. Favors makes 2-pt shot at rim
5:41.0,D. Murray misses 2-pt shot from 11 ft,,85-81,,
