time,Miami,pts.away,score,pts.home,Golden State
2:10.0,K. Olynyk makes free throw 1 of 1,1,21-15,,
2:00.0,,,21-15,,S. Curry misses 2-pt shot from 10 ft
1:55.0,Defensive rebound by W. Ellington,,21-15,,
1:51.0,Turnover by J. Richardson (step out of bounds),,21-15,,
1:33.0,,,21-17,2,J. Bell makes 2-pt shot at rim (assist by A. Iguodala)
1:27.0,Turnover by J. Johnson (bad pass),,21-17,,
1:03.0,,,21-17,,S. Curry misses 3-pt shot from 26 ft (block by J. Richardson)
0:57.0,Defensive rebound by J. Johnson,,21-17,,
0:55.0,W. Ellington misses 3-pt shot from 25 ft,,21-17,,
0:50.0,,,21-17,,Defensive rebound by S. Curry
0:47.0,,,21-17,,D. Green misses 3-pt shot from 26 ft
0:41.0,Defensive rebound by K. Olynyk,,21-17,,
0:41.0,Turnover by K. Olynyk (step out of bounds),,21-17,,
0:31.0,,,21-17,,S. Livingston misses 2-pt shot at rim
0:30.0,,,21-17,,Offensive rebound by S. Livingston
0:30.0,,,21-19,2,S. Livingston makes 2-pt shot at rim
0:30.0,,,21-19,,Shooting foul by T. Johnson (drawn by S. Livingston)
0:30.0,,,21-20,1,S. Livingston makes free throw 1 of 1
0:11.0,T. Johnson misses 2-pt shot from 2 ft,,21-20,,
0:09.0,,,21-20,,Defensive rebound by S. Livingston
0:03.0,,,21-22,2,S. Curry makes 2-pt shot from 3 ft
0:00.0,J. Richardson misses 3-pt shot from 53 ft,,21-22,,
0:00.0,Offensive rebound by Team,,21-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,21-22,,Offensive charge foul by K. Looney (drawn by T. Johnson)
11:52.0,,,21-22,,Turnover by K. Looney (offensive foul)
11:37.0,J. Richardson makes 2-pt shot from 11 ft (assist by K. Olynyk),2,23-22,,
11:27.0,,,23-22,,Turnover by D. Green (lost ball; steal by J. Johnson)
11:22.0,J. Richardson misses 3-pt shot from 23 ft,,23-22,,
11:20.0,,,23-22,,Defensive rebound by Team
11:05.0,,,23-24,2,K. Thompson makes 2-pt shot from 6 ft (assist by A. Iguodala)
10:50.0,Turnover by T. Johnson (bad pass),,23-24,,
10:38.0,,,23-24,,Turnover by K. Thompson (lost ball; steal by J. Richardson)
10:24.0,Turnover by J. Richardson (lost ball; steal by K. Thompson),,23-24,,
10:15.0,,,23-24,,P. McCaw enters the game for S. Livingston
10:04.0,,,23-24,,D. Green misses 2-pt shot from 1 ft
9:59.0,Defensive rebound by T. Johnson,,23-24,,
9:39.0,J. Johnson misses 2-pt shot from 1 ft,,23-24,,
9:34.0,,,23-24,,Defensive rebound by K. Thompson
9:23.0,,,23-24,,P. McCaw misses 2-pt shot from 22 ft
9:17.0,Defensive rebound by J. Johnson,,23-24,,
9:06.0,J. Richardson makes 2-pt shot from 18 ft,2,25-24,,
8:45.0,,,25-24,,D. Green misses 2-pt shot from 6 ft
8:42.0,,,25-24,,Offensive rebound by K. Looney
8:36.0,,,25-24,,K. Thompson misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by Team,,25-24,,
8:35.0,,,25-24,,Loose ball foul by D. Green (drawn by J. Johnson)
8:35.0,,,25-24,,K. Durant enters the game for D. Green
8:35.0,J. Winslow enters the game for J. Richardson,,25-24,,
8:35.0,G. Dragic enters the game for T. Johnson,,25-24,,
8:26.0,W. Ellington misses 3-pt shot from 25 ft,,25-24,,
8:17.0,,,25-24,,Defensive rebound by K. Thompson
8:16.0,,,25-24,,Shooting foul by J. Winslow (drawn by K. Durant)
8:16.0,,,25-25,1,K. Durant makes free throw 1 of 2
8:16.0,,,25-26,1,K. Durant makes free throw 2 of 2
7:54.0,G. Dragic makes 2-pt shot from 9 ft (assist by J. Johnson),2,27-26,,
7:33.0,,,27-26,,A. Iguodala misses 2-pt shot from 9 ft
7:31.0,,,27-26,,Offensive rebound by P. McCaw
7:31.0,,,27-28,2,P. McCaw makes 2-pt shot at rim
7:04.0,J. Johnson misses 3-pt shot from 22 ft,,27-28,,
7:03.0,Offensive rebound by Team,,27-28,,
7:03.0,Turnover by Team (shot clock),,27-28,,
6:54.0,Personal foul by J. Johnson (drawn by K. Durant),,27-28,,
6:54.0,,,27-28,,Golden State full timeout
6:54.0,,,27-28,,S. Livingston enters the game for A. Iguodala
6:52.0,,,27-28,,Turnover by P. McCaw (lost ball; steal by J. Johnson)
6:28.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Winslow),3,30-28,,
6:07.0,,,30-28,,Shooting foul by K. Olynyk (drawn by K. Looney)
6:07.0,,,30-28,,K. Looney misses free throw 1 of 2
6:07.0,,,30-28,,Offensive rebound by Team
6:07.0,,,30-28,,S. Curry enters the game for K. Thompson
6:07.0,H. Whiteside enters the game for K. Olynyk,,30-28,,
6:07.0,T. Johnson enters the game for J. Johnson,,30-28,,
6:07.0,,,30-29,1,K. Looney makes free throw 2 of 2
5:53.0,H. Whiteside makes 2-pt shot from 5 ft (assist by G. Dragic),2,32-29,,
5:43.0,,,32-29,,S. Curry misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by G. Dragic,,32-29,,
5:35.0,Turnover by G. Dragic (lost ball; steal by S. Livingston),,32-29,,
5:31.0,,,32-31,2,P. McCaw makes 2-pt shot from 2 ft (assist by S. Curry)
5:19.0,,,32-31,,Personal foul by P. McCaw (drawn by W. Ellington)
5:12.0,G. Dragic misses 2-pt shot from 17 ft,,32-31,,
5:09.0,Offensive rebound by Team,,32-31,,
5:02.0,W. Ellington misses 3-pt shot from 22 ft,,32-31,,
4:59.0,,,32-31,,Defensive rebound by K. Durant
4:54.0,,,32-33,2,K. Looney makes 2-pt shot from 1 ft (assist by K. Durant)
4:42.0,H. Whiteside misses 2-pt shot from 12 ft,,32-33,,
4:38.0,,,32-33,,Defensive rebound by K. Durant
4:31.0,,,32-33,,S. Curry misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by J. Winslow,,32-33,,
4:20.0,J. Winslow misses 2-pt shot from 3 ft (block by K. Durant),,32-33,,
4:18.0,Offensive rebound by H. Whiteside,,32-33,,
4:17.0,H. Whiteside misses 2-pt shot from 4 ft (block by K. Looney),,32-33,,
4:17.0,Offensive rebound by H. Whiteside,,32-33,,
4:15.0,H. Whiteside misses 2-pt shot from 2 ft (block by K. Durant),,32-33,,
4:15.0,,,32-33,,Defensive rebound by K. Looney
4:15.0,,,32-34,1,S. Curry makes technical free throw
4:15.0,,,32-34,,D. Green enters the game for K. Looney
3:57.0,,,32-34,,Turnover by K. Durant (bad pass; steal by J. Winslow)
3:57.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Winslow),2,34-34,,
3:57.0,Shooting foul by D. Green (drawn by G. Dragic),,34-34,,
3:57.0,J. Richardson enters the game for W. Ellington,,34-34,,
3:57.0,,,34-34,,K. Thompson enters the game for P. McCaw
3:57.0,,,34-34,,A. Iguodala enters the game for S. Livingston
3:57.0,G. Dragic misses free throw 1 of 1,,34-34,,
3:49.0,,,34-34,,Defensive rebound by D. Green
3:44.0,,,34-34,,K. Thompson misses 3-pt shot from 26 ft
3:36.0,Defensive rebound by H. Whiteside,,34-34,,
3:33.0,H. Whiteside misses 2-pt shot from 10 ft,,34-34,,
3:28.0,,,34-34,,Defensive rebound by S. Curry
3:24.0,,,34-34,,K. Thompson misses 2-pt shot from 5 ft
3:18.0,,,34-34,,Offensive rebound by D. Green
3:18.0,,,34-36,2,D. Green makes 2-pt shot at rim
3:17.0,Miami full timeout,,34-36,,
3:10.0,J. Winslow misses 2-pt shot from 13 ft,,34-36,,
3:07.0,,,34-36,,Defensive rebound by K. Durant
3:03.0,,,34-36,,K. Durant misses 2-pt shot from 15 ft
2:57.0,Defensive rebound by J. Winslow,,34-36,,
2:48.0,H. Whiteside misses 2-pt shot from 2 ft (block by K. Durant),,34-36,,
2:48.0,,,34-36,,Defensive rebound by Team
2:31.0,,,34-39,3,D. Green makes 3-pt shot from 25 ft (assist by K. Durant)
2:10.0,G. Dragic misses 2-pt shot from 19 ft,,34-39,,
2:05.0,,,34-39,,Defensive rebound by D. Green
2:02.0,,,34-42,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
1:48.0,T. Johnson misses 2-pt shot from 21 ft,,34-42,,
1:44.0,,,34-42,,Defensive rebound by A. Iguodala
1:39.0,,,34-42,,K. Durant misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by J. Winslow,,34-42,,
1:28.0,G. Dragic makes 2-pt shot from 14 ft,2,36-42,,
1:19.0,Personal foul by G. Dragic (drawn by D. Green),,36-42,,
1:19.0,J. Johnson enters the game for J. Winslow,,36-42,,
1:17.0,Personal foul by J. Johnson (drawn by K. Durant),,36-42,,
1:17.0,,,36-43,1,K. Durant makes free throw 1 of 2
1:17.0,J. Winslow enters the game for G. Dragic,,36-43,,
1:17.0,W. Ellington enters the game for J. Johnson,,36-43,,
1:17.0,,,36-44,1,K. Durant makes free throw 2 of 2
1:07.0,,,36-44,,Personal foul by D. Green (drawn by J. Richardson)
1:07.0,,,36-44,,K. Looney enters the game for D. Green
0:59.0,J. Richardson misses 2-pt shot from 10 ft,,36-44,,
0:54.0,,,36-44,,Defensive rebound by K. Thompson
0:49.0,,,36-44,,Shooting foul by J. Richardson (drawn by K. Durant)
0:49.0,,,36-45,1,K. Durant makes free throw 1 of 2
0:49.0,,,36-46,1,K. Durant makes free throw 2 of 2
0:36.0,Turnover by W. Ellington (bad pass; steal by A. Iguodala),,36-46,,
0:32.0,,,36-48,2,K. Durant makes 2-pt shot from 1 ft (assist by A. Iguodala)
0:11.0,Shooting foul by S. Curry (drawn by H. Whiteside),,36-48,,
0:11.0,H. Whiteside makes free throw 1 of 2,1,37-48,,
0:11.0,,,37-48,,N. Young enters the game for K. Looney
0:11.0,O. White enters the game for J. Richardson,,37-48,,
0:11.0,H. Whiteside misses free throw 2 of 2,,37-48,,
0:09.0,,,37-48,,Defensive rebound by K. Durant
0:02.0,,,37-50,2,K. Durant makes 2-pt shot from 14 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Violation by O. White (kicked ball),,37-50,,
11:35.0,,,37-50,,K. Thompson misses 2-pt shot from 13 ft
11:32.0,Defensive rebound by G. Dragic,,37-50,,
11:28.0,J. Winslow misses 2-pt shot from 2 ft (block by D. Green),,37-50,,
11:21.0,,,37-50,,Defensive rebound by Z. Pachulia
11:19.0,,,37-50,,Shooting foul by J. Winslow (drawn by Z. Pachulia)
11:19.0,,,37-51,1,Z. Pachulia makes free throw 1 of 2
11:19.0,,,37-52,1,Z. Pachulia makes free throw 2 of 2
11:05.0,Offensive charge foul by H. Whiteside (drawn by K. Durant),,37-52,,
11:05.0,Turnover by H. Whiteside (offensive foul),,37-52,,
11:01.0,,,37-54,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry)
11:01.0,Violation by H. Whiteside (def goaltending),,37-54,,
10:47.0,G. Dragic makes 2-pt shot from 2 ft,2,39-54,,
10:47.0,Shooting foul by K. Thompson (drawn by G. Dragic),,39-54,,
10:47.0,B. Adebayo enters the game for H. Whiteside,,39-54,,
10:47.0,G. Dragic makes free throw 1 of 1,1,40-54,,
10:36.0,,,40-54,,Offensive charge foul by D. Green (drawn by G. Dragic)
10:36.0,,,40-54,,Turnover by D. Green (offensive foul)
10:36.0,,,40-54,,J. Bell enters the game for D. Green
10:25.0,G. Dragic misses 2-pt shot from 4 ft,,40-54,,
10:18.0,,,40-54,,Defensive rebound by K. Durant
10:16.0,,,40-57,3,K. Thompson makes 3-pt shot from 27 ft (assist by K. Durant)
10:03.0,J. Johnson enters the game for O. White,,40-57,,
10:01.0,Jump ball: Z. Pachulia vs. J. Richardson (K. Thompson gains possession),,,,Jump ball: Z. Pachulia vs. J. Richardson (K. Thompson gains possession)
10:01.0,Turnover by J. Richardson (turnover; steal by Z. Pachulia),,40-57,,
9:55.0,,,40-60,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Thompson)
9:55.0,Miami full timeout,,40-60,,
9:49.0,Turnover by Team (shot clock),,40-60,,
9:22.0,,,40-60,,Z. Pachulia misses 2-pt shot from 6 ft
9:16.0,Defensive rebound by B. Adebayo,,40-60,,
9:12.0,G. Dragic makes 2-pt shot from 16 ft,2,42-60,,
9:12.0,Shooting foul by S. Curry (drawn by G. Dragic),,42-60,,
9:12.0,G. Dragic makes free throw 1 of 1,1,43-60,,
8:58.0,,,43-60,,Z. Pachulia misses 2-pt shot from 1 ft
8:56.0,Defensive rebound by B. Adebayo,,43-60,,
8:50.0,J. Johnson misses 3-pt shot from 22 ft,,43-60,,
8:45.0,,,43-60,,Defensive rebound by J. Bell
8:35.0,,,43-60,,K. Thompson misses 2-pt shot from 2 ft (block by J. Richardson)
8:31.0,,,43-60,,Offensive rebound by K. Thompson
8:29.0,,,43-60,,K. Durant misses 2-pt shot from 11 ft
8:27.0,,,43-60,,Offensive rebound by Z. Pachulia
8:27.0,,,43-60,,Turnover by Team (shot clock)
8:14.0,J. Winslow makes 2-pt shot from 8 ft (assist by G. Dragic),2,45-60,,
7:59.0,,,45-60,,S. Curry misses 2-pt shot from 2 ft (block by B. Adebayo)
7:54.0,Defensive rebound by B. Adebayo,,45-60,,
7:52.0,G. Dragic misses 2-pt shot from 1 ft,,45-60,,
7:51.0,Offensive rebound by J. Johnson,,45-60,,
7:51.0,J. Johnson makes 2-pt shot at rim,2,47-60,,
7:51.0,,,47-60,,Golden State full timeout
7:51.0,,,47-60,,O. Casspi enters the game for Z. Pachulia
7:41.0,,,47-60,,K. Durant misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by Team,,47-60,,
7:18.0,J. Johnson makes 3-pt shot from 24 ft (assist by J. Winslow),3,50-60,,
7:06.0,,,50-60,,Turnover by O. Casspi (bad pass; steal by J. Richardson)
6:51.0,G. Dragic misses 3-pt shot from 26 ft,,50-60,,
6:49.0,,,50-60,,Defensive rebound by S. Curry
6:45.0,,,50-63,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
6:28.0,Turnover by J. Richardson (bad pass; steal by K. Durant),,50-63,,
6:25.0,,,50-63,,Shooting foul by J. Winslow (drawn by K. Durant)
6:25.0,,,50-64,1,K. Durant makes free throw 1 of 2
6:25.0,T. Johnson enters the game for J. Richardson,,50-64,,
6:25.0,,,50-65,1,K. Durant makes free throw 2 of 2
6:02.0,Turnover by J. Johnson (bad pass; steal by S. Curry),,50-65,,
5:56.0,,,50-65,,O. Casspi misses 2-pt shot from 4 ft
5:52.0,Defensive rebound by J. Winslow,,50-65,,
5:46.0,J. Winslow makes 2-pt shot from 3 ft,2,52-65,,
5:34.0,,,52-67,2,S. Curry makes 2-pt shot from 15 ft
5:11.0,J. Johnson misses 3-pt shot from 25 ft,,52-67,,
5:07.0,Offensive rebound by B. Adebayo,,52-67,,
4:56.0,J. Johnson makes 2-pt shot from 7 ft,2,54-67,,
4:42.0,,,54-67,,S. Curry misses 3-pt shot from 25 ft
4:39.0,,,54-67,,Offensive rebound by K. Thompson
4:33.0,,,54-67,,Turnover by J. Bell (lost ball; steal by B. Adebayo)
4:27.0,T. Johnson misses 3-pt shot from 26 ft (block by J. Bell),,54-67,,
4:22.0,,,54-67,,Defensive rebound by O. Casspi
4:15.0,,,54-69,2,O. Casspi makes 2-pt shot from 1 ft (assist by K. Durant)
3:54.0,G. Dragic misses 2-pt shot from 1 ft,,54-69,,
3:50.0,,,54-69,,Defensive rebound by O. Casspi
3:48.0,,,54-69,,S. Curry misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by T. Johnson,,54-69,,
3:33.0,J. Winslow misses 2-pt shot from 9 ft,,54-69,,
3:27.0,Offensive rebound by B. Adebayo,,54-69,,
3:27.0,Turnover by B. Adebayo (turnover),,54-69,,
3:27.0,,,54-69,,A. Iguodala enters the game for J. Bell
3:27.0,,,54-69,,S. Livingston enters the game for K. Thompson
3:27.0,J. Richardson enters the game for G. Dragic,,54-69,,
3:27.0,W. Ellington enters the game for J. Winslow,,54-69,,
3:11.0,,,54-71,2,S. Livingston makes 2-pt shot from 13 ft
3:10.0,Miami full timeout,,54-71,,
2:54.0,W. Ellington misses 3-pt shot from 26 ft,,54-71,,
2:51.0,,,54-71,,Defensive rebound by O. Casspi
2:43.0,,,54-71,,S. Livingston misses 2-pt shot from 3 ft
2:38.0,Defensive rebound by J. Johnson,,54-71,,
2:36.0,Turnover by J. Richardson (bad pass; steal by S. Livingston),,54-71,,
2:21.0,,,54-71,,S. Curry misses 2-pt shot from 3 ft (block by B. Adebayo)
2:21.0,,,54-71,,Offensive rebound by Team
2:21.0,,,54-71,,K. Looney enters the game for K. Durant
2:15.0,,,54-71,,Shooting foul by T. Johnson (drawn by S. Curry)
2:15.0,,,54-72,1,S. Curry makes free throw 1 of 2
2:15.0,,,54-73,1,S. Curry makes free throw 2 of 2
1:59.0,J. Johnson misses 2-pt shot from 6 ft,,54-73,,
1:52.0,,,54-73,,Defensive rebound by S. Livingston
1:50.0,,,54-73,,Turnover by A. Iguodala (bad pass; steal by J. Richardson)
1:41.0,,,54-73,,Personal foul by O. Casspi (drawn by J. Johnson)
1:30.0,W. Ellington misses 3-pt shot from 25 ft,,54-73,,
1:24.0,,,54-73,,Defensive rebound by O. Casspi
1:19.0,,,54-73,,S. Livingston misses 2-pt shot from 7 ft
1:16.0,Defensive rebound by J. Johnson,,54-73,,
1:09.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Johnson),2,56-73,,
1:09.0,Shooting foul by S. Livingston (drawn by B. Adebayo),,56-73,,
1:09.0,B. Adebayo makes free throw 1 of 1,1,57-73,,
0:52.0,,,57-75,2,S. Curry makes 2-pt shot from 12 ft
0:34.0,T. Johnson misses 2-pt shot from 16 ft,,57-75,,
0:30.0,,,57-75,,Defensive rebound by S. Curry
0:15.0,,,57-75,,S. Curry misses 3-pt shot from 24 ft
0:11.0,Defensive rebound by B. Adebayo,,57-75,,
0:01.0,J. Johnson misses 3-pt shot from 25 ft,,57-75,,
0:01.0,Offensive rebound by Team,,57-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,K. Olynyk misses 2-pt shot from 12 ft (block by K. Looney),,57-75,,
11:36.0,Turnover by Team (shot clock),,57-75,,
11:35.0,Offensive rebound by Team,,57-75,,
11:19.0,,,57-75,,S. Livingston misses 2-pt shot from 11 ft
11:13.0,Defensive rebound by K. Olynyk,,57-75,,
11:07.0,T. Johnson misses 2-pt shot from 14 ft,,57-75,,
11:02.0,,,57-75,,Defensive rebound by S. Livingston
10:56.0,,,57-75,,K. Thompson misses 2-pt shot from 18 ft
10:51.0,Defensive rebound by K. Olynyk,,57-75,,
10:44.0,T. Johnson misses 2-pt shot from 12 ft (block by K. Looney),,57-75,,
10:39.0,Offensive rebound by T. Johnson,,57-75,,
10:33.0,J. Richardson misses 3-pt shot from 24 ft,,57-75,,
10:31.0,,,57-75,,Defensive rebound by D. Green
10:30.0,,,57-78,3,D. Green makes 3-pt shot from 24 ft
10:06.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Johnson),3,60-78,,
9:47.0,,,60-80,2,A. Iguodala makes 2-pt shot from 6 ft (assist by S. Livingston)
9:25.0,W. Ellington misses 2-pt shot from 10 ft,,60-80,,
9:24.0,,,60-80,,Defensive rebound by Team
9:24.0,Loose ball foul by K. Olynyk (drawn by D. Green),,60-80,,
9:24.0,,,60-80,,P. McCaw enters the game for S. Livingston
9:12.0,,,60-80,,K. Thompson misses 2-pt shot from 17 ft
9:08.0,Defensive rebound by T. Johnson,,60-80,,
8:53.0,Shooting foul by K. Looney (drawn by J. Johnson),,60-80,,
8:53.0,J. Johnson makes free throw 1 of 2,1,61-80,,
8:53.0,J. Johnson makes free throw 2 of 2,1,62-80,,
8:40.0,,,62-80,,P. McCaw misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by Team,,62-80,,
8:40.0,,,62-80,,Loose ball foul by K. Looney (drawn by T. Johnson)
8:40.0,G. Dragic enters the game for T. Johnson,,62-80,,
8:27.0,K. Olynyk makes 2-pt shot from 1 ft (assist by G. Dragic),2,64-80,,
8:17.0,,,64-80,,P. McCaw misses 2-pt shot from 22 ft
8:13.0,Defensive rebound by K. Olynyk,,64-80,,
8:09.0,Shooting foul by K. Looney (drawn by K. Olynyk),,64-80,,
8:09.0,K. Olynyk makes free throw 1 of 2,1,65-80,,
8:09.0,,,65-80,,K. Durant enters the game for K. Looney
8:09.0,K. Olynyk makes free throw 2 of 2,1,66-80,,
