time,Boston,pts.away,score,pts.home,Portland
1:43.0,,,19-26,2,A. Aminu makes 2-pt shot from 9 ft
1:25.0,Turnover by G. Monroe (turnover),,19-26,,
1:25.0,,,19-26,,Portland full timeout
1:25.0,,,19-26,,Z. Collins enters the game for A. Aminu
1:25.0,G. Yabusele enters the game for T. Rozier,,19-26,,
1:25.0,J. Tatum enters the game for A. Horford,,19-26,,
1:08.0,,,19-26,,E. Turner misses 2-pt shot from 16 ft
1:05.0,Defensive rebound by G. Monroe,,19-26,,
0:47.0,G. Yabusele makes 2-pt shot at rim (assist by G. Monroe),2,21-26,,
0:35.0,,,21-26,,D. Lillard misses 2-pt shot from 19 ft
0:30.0,Defensive rebound by A. Nader,,21-26,,
0:23.0,G. Monroe makes 2-pt shot from 6 ft (assist by S. Larkin),2,23-26,,
0:06.0,Personal foul by S. Larkin (drawn by D. Lillard),,23-26,,
0:06.0,,,23-26,,C. McCollum enters the game for E. Davis
0:06.0,T. Rozier enters the game for A. Nader,,23-26,,
0:00.0,,,23-26,,Z. Collins misses 3-pt shot from 26 ft
0:00.0,,,23-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,G. Monroe makes 2-pt shot from 1 ft,2,25-26,,
11:27.0,,,25-26,,C. McCollum misses 2-pt shot from 1 ft (block by G. Monroe)
11:27.0,,,25-26,,Offensive rebound by E. Davis
11:27.0,,,25-26,,Shooting foul by G. Yabusele (drawn by E. Davis)
11:27.0,,,25-27,1,E. Davis makes free throw 1 of 2
11:27.0,,,25-28,1,E. Davis makes free throw 2 of 2
11:03.0,S. Larkin misses 2-pt shot from 2 ft,,25-28,,
11:00.0,,,25-28,,Defensive rebound by C. McCollum
10:57.0,,,25-30,2,E. Turner makes 2-pt shot from 11 ft (assist by C. McCollum)
10:38.0,G. Monroe misses 2-pt shot from 1 ft,,25-30,,
10:37.0,,,25-30,,Defensive rebound by E. Davis
10:28.0,,,25-30,,Turnover by P. Connaughton (lost ball; steal by A. Nader)
10:25.0,A. Nader misses 2-pt shot from 1 ft (block by Z. Collins),,25-30,,
10:25.0,Offensive rebound by Team,,25-30,,
10:18.0,J. Tatum misses 2-pt shot from 9 ft,,25-30,,
10:16.0,,,25-30,,Defensive rebound by C. McCollum
10:03.0,Personal foul by G. Yabusele (drawn by E. Davis),,25-30,,
10:03.0,A. Baynes enters the game for G. Monroe,,25-30,,
9:50.0,,,25-30,,Z. Collins misses 2-pt shot from 12 ft
9:48.0,Defensive rebound by S. Larkin,,25-30,,
9:41.0,A. Baynes misses 2-pt shot from 11 ft,,25-30,,
9:39.0,,,25-30,,Defensive rebound by Z. Collins
9:31.0,,,25-30,,P. Connaughton misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by A. Baynes,,25-30,,
9:14.0,A. Baynes misses 2-pt shot from 2 ft (block by E. Davis),,25-30,,
9:11.0,,,25-30,,Defensive rebound by C. McCollum
9:05.0,,,25-33,3,C. McCollum makes 3-pt shot from 25 ft
8:46.0,A. Nader misses 2-pt shot from 11 ft,,25-33,,
8:44.0,Offensive rebound by A. Baynes,,25-33,,
8:44.0,A. Baynes makes 2-pt shot from 1 ft,2,27-33,,
8:44.0,Shooting foul by E. Davis (drawn by A. Baynes),,27-33,,
8:44.0,M. Morris enters the game for A. Nader,,27-33,,
8:44.0,A. Baynes makes free throw 1 of 1,1,28-33,,
8:32.0,,,28-35,2,C. McCollum makes 2-pt shot from 13 ft
8:17.0,,,28-35,,Personal foul by Z. Collins (drawn by G. Yabusele)
8:09.0,Shooting foul by P. Connaughton (drawn by J. Tatum),,28-35,,
8:09.0,J. Tatum misses free throw 1 of 2,,28-35,,
8:09.0,Offensive rebound by Team,,28-35,,
8:09.0,J. Tatum makes free throw 2 of 2,1,29-35,,
7:57.0,,,29-35,,P. Connaughton misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by A. Baynes,,29-35,,
7:42.0,,,29-35,,Personal foul by E. Turner (drawn by M. Morris)
7:33.0,Turnover by J. Tatum (lost ball; steal by C. McCollum),,29-35,,
7:28.0,,,29-35,,E. Turner misses 2-pt shot at rim
7:25.0,,,29-35,,Offensive rebound by Z. Collins
7:23.0,,,29-35,,P. Connaughton misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by A. Baynes,,29-35,,
7:10.0,Turnover by G. Yabusele (traveling),,29-35,,
7:10.0,,,29-35,,Portland full timeout
7:10.0,,,29-35,,M. Harkless enters the game for E. Turner
7:10.0,T. Rozier enters the game for S. Larkin,,29-35,,
6:56.0,,,29-35,,Z. Collins misses 3-pt shot from 24 ft
6:54.0,,,29-35,,Offensive rebound by E. Davis
6:52.0,,,29-35,,C. McCollum misses 3-pt shot from 25 ft
6:49.0,Defensive rebound by J. Tatum,,29-35,,
6:36.0,G. Yabusele makes 3-pt shot from 24 ft (assist by J. Tatum),3,32-35,,
6:20.0,,,32-37,2,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum)
6:06.0,G. Yabusele misses 3-pt shot from 24 ft,,32-37,,
6:02.0,,,32-37,,Defensive rebound by E. Davis
5:50.0,Shooting block foul by A. Baynes (drawn by M. Harkless),,32-37,,
5:50.0,,,32-37,,M. Harkless misses free throw 1 of 2
5:50.0,,,32-37,,Offensive rebound by Team
5:50.0,,,32-37,,J. Nurkic enters the game for C. McCollum
5:50.0,,,32-37,,D. Lillard enters the game for E. Davis
5:50.0,,,32-37,,A. Aminu enters the game for Z. Collins
5:50.0,G. Monroe enters the game for J. Tatum,,32-37,,
5:50.0,A. Horford enters the game for G. Yabusele,,32-37,,
5:50.0,S. Larkin enters the game for A. Baynes,,32-37,,
5:50.0,,,32-38,1,M. Harkless makes free throw 2 of 2
5:37.0,T. Rozier misses 2-pt shot from 9 ft,,32-38,,
5:35.0,Offensive rebound by G. Monroe,,32-38,,
5:33.0,G. Monroe misses 2-pt shot from 2 ft (block by A. Aminu),,32-38,,
5:32.0,,,32-38,,Defensive rebound by P. Connaughton
5:23.0,,,32-38,,D. Lillard misses 2-pt shot from 1 ft
5:22.0,Defensive rebound by G. Monroe,,32-38,,
5:10.0,M. Morris misses 2-pt shot from 11 ft,,32-38,,
5:08.0,,,32-38,,Defensive rebound by M. Harkless
4:58.0,,,32-40,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
4:40.0,M. Morris makes 3-pt shot from 24 ft (assist by S. Larkin),3,35-40,,
4:40.0,Shooting foul by M. Harkless (drawn by M. Morris),,35-40,,
4:40.0,M. Morris makes free throw 1 of 1,1,36-40,,
4:25.0,,,36-40,,Turnover by A. Aminu (lost ball; steal by S. Larkin)
4:12.0,M. Morris makes 2-pt shot from 18 ft (assist by G. Monroe),2,38-40,,
3:48.0,,,38-42,2,A. Aminu makes 2-pt shot at rim
3:38.0,A. Horford makes 2-pt shot from 1 ft (assist by G. Monroe),2,40-42,,
3:22.0,,,40-42,,M. Harkless misses 3-pt shot from 22 ft
3:20.0,Defensive rebound by G. Monroe,,40-42,,
3:11.0,Turnover by G. Monroe (lost ball; steal by J. Nurkic),,40-42,,
3:08.0,,,40-42,,Turnover by J. Nurkic (bad pass)
2:58.0,M. Morris makes 2-pt shot from 1 ft (assist by G. Monroe),2,42-42,,
2:41.0,,,42-42,,D. Lillard misses 2-pt shot from 1 ft (block by G. Monroe)
2:39.0,Defensive rebound by S. Larkin,,42-42,,
2:34.0,M. Morris misses 3-pt shot from 22 ft,,42-42,,
2:34.0,Offensive rebound by G. Monroe,,42-42,,
2:30.0,Turnover by G. Monroe (lost ball; steal by A. Aminu),,42-42,,
2:25.0,,,42-44,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
2:22.0,Boston full timeout,,42-44,,
2:22.0,,,42-44,,C. McCollum enters the game for P. Connaughton
2:09.0,T. Rozier misses 3-pt shot from 25 ft,,42-44,,
2:06.0,,,42-44,,Defensive rebound by J. Nurkic
1:57.0,,,42-46,2,A. Aminu makes 2-pt shot from 6 ft (assist by D. Lillard)
1:42.0,J. Tatum enters the game for G. Monroe,,42-46,,
1:33.0,A. Horford misses 2-pt shot from 17 ft,,42-46,,
1:30.0,,,42-46,,Defensive rebound by A. Aminu
1:24.0,,,42-46,,A. Aminu misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by J. Tatum,,42-46,,
1:18.0,Shooting foul by M. Harkless (drawn by J. Tatum),,42-46,,
1:18.0,J. Tatum makes free throw 1 of 2,1,43-46,,
1:18.0,J. Tatum makes free throw 2 of 2,1,44-46,,
1:06.0,,,44-46,,Turnover by D. Lillard (bad pass; steal by J. Tatum)
1:05.0,Offensive charge foul by J. Tatum (drawn by D. Lillard),,44-46,,
1:05.0,Turnover by J. Tatum (bad pass),,44-46,,
0:59.0,,,44-48,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
0:46.0,A. Horford makes 3-pt shot from 24 ft (assist by S. Larkin),3,47-48,,
0:36.0,,,47-50,2,D. Lillard makes 2-pt shot from 1 ft
0:27.0,T. Rozier misses 2-pt shot from 1 ft,,47-50,,
0:25.0,,,47-50,,Defensive rebound by A. Aminu
0:08.0,,,47-52,2,D. Lillard makes 2-pt shot from 5 ft
0:00.0,J. Tatum misses 2-pt shot from 1 ft,,47-52,,
0:00.0,,,47-52,,Defensive rebound by A. Aminu
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Turnover by J. Tatum (bad pass; steal by A. Aminu),,47-52,,
11:41.0,Loose ball foul by A. Baynes (drawn by A. Aminu),,47-52,,
11:26.0,,,47-52,,J. Nurkic misses 2-pt shot from 3 ft
11:25.0,Defensive rebound by A. Baynes,,47-52,,
11:14.0,T. Rozier makes 2-pt shot from 20 ft,2,49-52,,
10:53.0,,,49-52,,D. Lillard misses 3-pt shot from 28 ft
10:51.0,,,49-52,,Offensive rebound by J. Nurkic
10:51.0,Personal foul by J. Tatum (drawn by J. Nurkic),,49-52,,
10:45.0,,,49-52,,C. McCollum misses 2-pt shot from 2 ft
10:42.0,,,49-52,,Offensive rebound by C. McCollum
10:36.0,,,49-52,,C. McCollum misses 3-pt shot from 24 ft
10:35.0,,,49-52,,Offensive rebound by M. Harkless
10:35.0,,,49-52,,M. Harkless misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by A. Baynes,,49-52,,
10:35.0,Boston full timeout,,49-52,,
10:22.0,T. Rozier misses 2-pt shot from 16 ft,,49-52,,
10:18.0,,,49-52,,Defensive rebound by J. Nurkic
10:11.0,,,49-55,3,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard)
9:44.0,J. Tatum misses 2-pt shot from 17 ft,,49-55,,
9:42.0,,,49-55,,Defensive rebound by A. Aminu
9:22.0,,,49-57,2,A. Aminu makes 2-pt shot from 21 ft
9:03.0,,,49-57,,Shooting block foul by M. Harkless (drawn by M. Morris)
9:03.0,M. Morris makes free throw 1 of 2,1,50-57,,
9:03.0,M. Morris makes free throw 2 of 2,1,51-57,,
8:49.0,,,51-59,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
8:30.0,,,51-59,,Personal foul by A. Aminu (drawn by T. Rozier)
8:23.0,A. Baynes makes 2-pt shot from 15 ft (assist by J. Tatum),2,53-59,,
8:05.0,,,53-62,3,D. Lillard makes 3-pt shot from 26 ft
7:53.0,,,53-62,,Violation by J. Nurkic (kicked ball)
7:48.0,A. Baynes misses 2-pt shot from 20 ft,,53-62,,
7:44.0,,,53-62,,Defensive rebound by C. McCollum
7:38.0,,,53-64,2,C. McCollum makes 2-pt shot at rim
7:25.0,A. Baynes makes 2-pt shot from 5 ft (assist by A. Horford),2,55-64,,
7:12.0,,,55-64,,D. Lillard misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by A. Baynes,,55-64,,
6:59.0,M. Morris makes 2-pt shot from 1 ft (assist by A. Baynes),2,57-64,,
6:43.0,Personal foul by A. Baynes (drawn by D. Lillard),,57-64,,
6:43.0,S. Larkin enters the game for J. Tatum,,57-64,,
6:43.0,S. Ojeleye enters the game for A. Horford,,57-64,,
6:37.0,,,57-66,2,C. McCollum makes 2-pt shot from 2 ft
6:19.0,Shooting foul by M. Harkless (drawn by M. Morris),,57-66,,
6:19.0,M. Morris makes free throw 1 of 2,1,58-66,,
6:19.0,,,58-66,,E. Turner enters the game for M. Harkless
6:19.0,A. Horford enters the game for S. Ojeleye,,58-66,,
6:19.0,M. Morris makes free throw 2 of 2,1,59-66,,
6:03.0,,,59-68,2,C. McCollum makes 2-pt shot from 15 ft (assist by E. Turner)
5:34.0,A. Baynes misses 3-pt shot from 23 ft,,59-68,,
5:32.0,,,59-68,,Defensive rebound by A. Aminu
5:25.0,,,59-68,,C. McCollum misses 2-pt shot from 16 ft
5:24.0,Defensive rebound by A. Baynes,,59-68,,
5:08.0,T. Rozier misses 3-pt shot from 23 ft,,59-68,,
5:06.0,,,59-68,,Defensive rebound by J. Nurkic
4:54.0,,,59-70,2,D. Lillard makes 2-pt shot at rim
4:26.0,Turnover by A. Horford (lost ball; steal by A. Aminu),,59-70,,
4:19.0,,,59-70,,C. McCollum misses 2-pt shot from 13 ft
4:17.0,Defensive rebound by T. Rozier,,59-70,,
4:08.0,T. Rozier misses 2-pt shot from 1 ft,,59-70,,
4:06.0,,,59-70,,Defensive rebound by J. Nurkic
3:57.0,,,59-70,,Shooting foul by A. Baynes (drawn by J. Nurkic)
3:57.0,,,59-70,,J. Nurkic misses free throw 1 of 2
3:57.0,,,59-70,,Offensive rebound by Team
3:57.0,,,59-70,,Z. Collins enters the game for A. Aminu
3:57.0,,,59-70,,P. Connaughton enters the game for E. Turner
3:57.0,G. Yabusele enters the game for T. Rozier,,59-70,,
3:57.0,S. Ojeleye enters the game for A. Baynes,,59-70,,
3:57.0,G. Monroe enters the game for A. Horford,,59-70,,
3:57.0,,,59-70,,E. Turner enters the game for C. McCollum
3:57.0,,,59-71,1,J. Nurkic makes free throw 2 of 2
3:39.0,M. Morris misses 2-pt shot from 9 ft (block by E. Turner),,59-71,,
3:36.0,,,59-71,,Defensive rebound by Z. Collins
3:36.0,,,59-71,,Portland full timeout
3:36.0,,,59-71,,E. Davis enters the game for J. Nurkic
3:23.0,,,59-71,,P. Connaughton misses 2-pt shot from 8 ft
3:19.0,Defensive rebound by G. Monroe,,59-71,,
2:58.0,G. Monroe misses 2-pt shot from 11 ft,,59-71,,
2:54.0,Offensive rebound by M. Morris,,59-71,,
2:53.0,M. Morris makes 2-pt shot at rim,2,61-71,,
2:41.0,,,61-71,,Offensive foul by P. Connaughton (drawn by S. Larkin)
2:41.0,,,61-71,,Turnover by P. Connaughton (offensive foul)
2:22.0,S. Larkin misses 2-pt shot from 10 ft,,61-71,,
2:21.0,,,61-71,,Defensive rebound by P. Connaughton
2:13.0,Personal foul by G. Yabusele (drawn by D. Lillard),,61-71,,
2:13.0,,,61-72,1,D. Lillard makes free throw 1 of 2
2:13.0,,,61-73,1,D. Lillard makes free throw 2 of 2
1:57.0,G. Monroe makes 2-pt shot from 5 ft,2,63-73,,
1:39.0,,,63-73,,P. Connaughton misses 3-pt shot from 23 ft
1:36.0,Defensive rebound by G. Yabusele,,63-73,,
1:30.0,Shooting foul by E. Turner (drawn by M. Morris),,63-73,,
1:30.0,M. Morris makes free throw 1 of 2,1,64-73,,
1:30.0,M. Morris makes free throw 2 of 2,1,65-73,,
1:15.0,,,65-73,,Shooting foul by M. Morris (drawn by E. Turner)
1:15.0,,,65-74,1,E. Turner makes free throw 1 of 2
1:15.0,J. Tatum enters the game for M. Morris,,65-74,,
1:15.0,,,65-75,1,E. Turner makes free throw 2 of 2
0:59.0,G. Monroe misses 2-pt shot at rim,,65-75,,
0:58.0,,,65-75,,Defensive rebound by Z. Collins
0:49.0,,,65-77,2,D. Lillard makes 2-pt shot from 1 ft
0:29.0,G. Monroe misses 2-pt shot from 4 ft,,65-77,,
0:28.0,Offensive rebound by G. Yabusele,,65-77,,
0:23.0,S. Larkin misses 2-pt shot from 3 ft,,65-77,,
0:20.0,Offensive rebound by G. Monroe,,65-77,,
0:19.0,G. Monroe makes 2-pt shot from 1 ft,2,67-77,,
0:02.0,,,67-77,,D. Lillard misses 2-pt shot from 19 ft
0:02.0,Defensive rebound by S. Ojeleye,,67-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,67-79,2,P. Connaughton makes 2-pt shot from 1 ft (assist by C. McCollum)
11:27.0,J. Tatum makes 2-pt shot from 18 ft (assist by S. Larkin),2,69-79,,
11:09.0,,,69-79,,Turnover by Z. Collins (bad pass)
11:00.0,S. Larkin makes 3-pt shot from 25 ft,3,72-79,,
10:43.0,,,72-81,2,E. Turner makes 2-pt shot from 1 ft
10:29.0,S. Larkin makes 2-pt shot from 7 ft,2,74-81,,
10:14.0,,,74-81,,E. Davis misses 2-pt shot from 3 ft
10:14.0,Defensive rebound by G. Monroe,,74-81,,
10:04.0,J. Tatum makes 2-pt shot from 9 ft,2,76-81,,
9:47.0,,,76-81,,P. Connaughton misses 3-pt shot from 23 ft
9:45.0,Defensive rebound by J. Tatum,,76-81,,
9:39.0,Shooting foul by Z. Collins (drawn by J. Tatum),,76-81,,
9:39.0,J. Tatum makes free throw 1 of 2,1,77-81,,
9:39.0,J. Tatum makes free throw 2 of 2,1,78-81,,
9:25.0,,,78-83,2,C. McCollum makes 2-pt shot from 17 ft
9:11.0,S. Larkin makes 2-pt shot from 18 ft,2,80-83,,
9:10.0,,,80-83,,Portland full timeout
8:57.0,,,80-83,,C. McCollum misses 2-pt shot from 15 ft
8:56.0,Defensive rebound by G. Yabusele,,80-83,,
8:42.0,Shooting foul by Z. Collins (drawn by S. Larkin),,80-83,,
8:42.0,S. Larkin makes free throw 1 of 2,1,81-83,,
8:42.0,,,81-83,,D. Lillard enters the game for E. Turner
8:42.0,S. Larkin makes free throw 2 of 2,1,82-83,,
8:18.0,,,82-83,,C. McCollum misses 2-pt shot from 15 ft
8:18.0,,,82-83,,Offensive rebound by P. Connaughton
8:18.0,,,82-83,,Shooting foul by J. Tatum (drawn by P. Connaughton)
8:18.0,,,82-83,,P. Connaughton misses free throw 1 of 2
8:18.0,,,82-83,,Offensive rebound by Team
8:18.0,,,82-84,1,P. Connaughton makes free throw 2 of 2
8:07.0,,,82-84,,Violation by C. McCollum (kicked ball)
7:55.0,G. Yabusele misses 3-pt shot from 25 ft,,82-84,,
7:54.0,Offensive rebound by J. Tatum,,82-84,,
7:54.0,,,82-84,,Personal foul by P. Connaughton (drawn by J. Tatum)
7:54.0,,,82-84,,J. Nurkic enters the game for E. Davis
7:54.0,,,82-84,,A. Aminu enters the game for Z. Collins
7:54.0,A. Horford enters the game for J. Tatum,,82-84,,
7:54.0,T. Rozier enters the game for G. Monroe,,82-84,,
7:45.0,S. Ojeleye misses 2-pt shot from 10 ft,,82-84,,
7:43.0,,,82-84,,Defensive rebound by J. Nurkic
7:27.0,,,82-84,,J. Nurkic misses 2-pt shot from 2 ft
7:25.0,Defensive rebound by S. Larkin,,82-84,,
7:20.0,Turnover by S. Larkin (lost ball; steal by C. McCollum),,82-84,,
7:16.0,,,82-84,,P. Connaughton misses 3-pt shot from 25 ft
7:12.0,,,82-84,,Offensive rebound by D. Lillard
7:07.0,,,82-84,,D. Lillard misses 3-pt shot from 27 ft
7:04.0,,,82-84,,Offensive rebound by D. Lillard
6:54.0,Personal foul by T. Rozier (drawn by D. Lillard),,82-84,,
6:54.0,,,82-84,,M. Harkless enters the game for P. Connaughton
6:54.0,M. Morris enters the game for G. Yabusele,,82-84,,
6:41.0,,,82-84,,A. Aminu misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by M. Morris,,82-84,,
6:30.0,M. Morris makes 3-pt shot from 25 ft (assist by T. Rozier),3,85-84,,
6:11.0,,,85-84,,D. Lillard misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by S. Ojeleye,,85-84,,
6:01.0,S. Larkin misses 2-pt shot at rim,,85-84,,
5:59.0,,,85-84,,Defensive rebound by J. Nurkic
5:54.0,,,85-86,2,C. McCollum makes 2-pt shot from 1 ft
5:36.0,,,85-86,,Personal foul by D. Lillard (drawn by A. Horford)
5:36.0,J. Tatum enters the game for S. Larkin,,85-86,,
5:25.0,Shooting foul by J. Nurkic (drawn by T. Rozier),,85-86,,
5:25.0,T. Rozier makes free throw 1 of 2,1,86-86,,
5:25.0,T. Rozier makes free throw 2 of 2,1,87-86,,
5:05.0,,,87-88,2,C. McCollum makes 2-pt shot from 3 ft
5:05.0,,,87-88,,Shooting foul by M. Morris (drawn by C. McCollum)
5:05.0,,,87-89,1,C. McCollum makes free throw 1 of 1
4:49.0,T. Rozier misses 2-pt shot from 1 ft,,87-89,,
4:46.0,,,87-89,,Defensive rebound by A. Aminu
4:39.0,,,87-91,2,C. McCollum makes 2-pt shot from 2 ft
4:39.0,Boston full timeout,,87-91,,
4:39.0,S. Larkin enters the game for S. Ojeleye,,87-91,,
4:25.0,A. Horford makes 3-pt shot from 24 ft (assist by S. Larkin),3,90-91,,
4:02.0,,,90-91,,M. Harkless misses 2-pt shot from 3 ft
4:01.0,,,90-91,,Offensive rebound by Team
3:57.0,,,90-91,,J. Nurkic misses 2-pt shot from 2 ft (block by A. Horford)
3:54.0,Defensive rebound by J. Tatum,,90-91,,
3:48.0,Shooting foul by J. Nurkic (drawn by A. Horford),,90-91,,
3:48.0,A. Horford misses free throw 1 of 2,,90-91,,
3:48.0,Offensive rebound by Team,,90-91,,
3:48.0,,,90-91,,E. Turner enters the game for J. Nurkic
3:48.0,A. Horford makes free throw 2 of 2,1,91-91,,
3:28.0,,,91-91,,E. Turner misses 3-pt shot from 23 ft
3:25.0,,,91-91,,Offensive rebound by A. Aminu
3:20.0,,,91-94,3,D. Lillard makes 3-pt shot from 23 ft (assist by A. Aminu)
3:12.0,Boston full timeout,,91-94,,
3:03.0,T. Rozier makes 3-pt shot from 22 ft (assist by J. Tatum),3,94-94,,
2:42.0,,,94-94,,A. Aminu misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by T. Rozier,,94-94,,
2:28.0,,,94-94,,Violation by A. Aminu (kicked ball)
2:18.0,J. Tatum misses 2-pt shot from 21 ft,,94-94,,
2:15.0,,,94-94,,Defensive rebound by D. Lillard
2:08.0,,,94-94,,Turnover by D. Lillard (bad pass; steal by T. Rozier)
2:07.0,,,94-94,,Personal take foul by D. Lillard (drawn by T. Rozier)
2:07.0,T. Rozier makes free throw 1 of 2,1,95-94,,
2:07.0,T. Rozier makes free throw 2 of 2,1,96-94,,
1:52.0,,,96-94,,D. Lillard misses 2-pt shot from 2 ft (block by A. Horford)
1:52.0,,,96-94,,Offensive rebound by Team
