time,Sacramento,pts.away,score,pts.home,Portland
3:21.0,,,18-15,,Defensive rebound by M. Leonard
3:14.0,,,18-17,2,D. Lillard makes 2-pt shot from 1 ft
3:06.0,Sacramento full timeout,,18-17,,
3:06.0,F. Mason enters the game for D. Fox,,18-17,,
2:55.0,Turnover by W. Cauley-Stein (bad pass; steal by D. Lillard),,18-17,,
2:43.0,,,18-17,,Turnover by D. Lillard (bad pass; steal by W. Cauley-Stein)
2:40.0,Turnover by F. Mason (out of bounds lost ball),,18-17,,
2:40.0,K. Koufos enters the game for Z. Randolph,,18-17,,
2:23.0,,,18-17,,Turnover by E. Davis (out of bounds lost ball)
2:08.0,G. Hill misses 2-pt shot from 17 ft,,18-17,,
2:04.0,Offensive rebound by W. Cauley-Stein,,18-17,,
2:02.0,F. Mason misses 2-pt shot from 1 ft,,18-17,,
1:59.0,Offensive rebound by F. Mason,,18-17,,
1:59.0,F. Mason makes 2-pt shot at rim,2,20-17,,
1:47.0,,,20-17,,D. Lillard misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by W. Cauley-Stein,,20-17,,
1:34.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,20-17,,
1:32.0,,,20-17,,Defensive rebound by E. Turner
1:17.0,,,20-17,,Shooting foul by G. Hill (drawn by E. Turner)
1:17.0,,,20-18,1,E. Turner makes free throw 1 of 2
1:17.0,,,20-18,,C. McCollum enters the game for D. Lillard
1:17.0,,,20-19,1,E. Turner makes free throw 2 of 2
1:03.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,20-19,,
1:02.0,,,20-19,,Defensive rebound by E. Turner
0:47.0,,,20-19,,C. McCollum misses 2-pt shot from 16 ft (block by G. Hill)
0:44.0,Defensive rebound by W. Cauley-Stein,,20-19,,
0:36.0,Turnover by F. Mason (bad pass),,20-19,,
0:31.0,,,20-19,,C. McCollum misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
0:28.0,Defensive rebound by W. Cauley-Stein,,20-19,,
0:24.0,Turnover by G. Hill (lost ball; steal by C. McCollum),,20-19,,
0:21.0,,,20-21,2,E. Turner makes 2-pt shot from 1 ft (assist by C. McCollum)
0:08.0,,,20-21,,Personal foul by E. Turner (drawn by G. Hill)
0:04.0,B. Bogdanovic misses 2-pt shot from 19 ft,,20-21,,
0:00.0,,,20-21,,Defensive rebound by C. McCollum
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,B. Bogdanovic makes 3-pt shot from 22 ft (assist by F. Mason),3,23-21,,
11:31.0,,,23-24,3,M. Leonard makes 3-pt shot from 24 ft (assist by E. Turner)
11:20.0,F. Mason misses 2-pt shot from 15 ft,,23-24,,
11:17.0,,,23-24,,Defensive rebound by E. Davis
11:09.0,,,23-24,,E. Turner misses 2-pt shot from 17 ft
11:06.0,Defensive rebound by B. Bogdanovic,,23-24,,
11:01.0,B. Bogdanovic misses 2-pt shot from 8 ft,,23-24,,
10:58.0,,,23-24,,Defensive rebound by E. Davis
10:49.0,,,23-24,,M. Leonard misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by K. Koufos,,23-24,,
10:42.0,,,23-24,,Personal foul by C. McCollum (drawn by F. Mason)
10:42.0,,,23-24,,S. Napier enters the game for P. Connaughton
10:29.0,F. Mason misses 2-pt shot from 2 ft,,23-24,,
10:27.0,,,23-24,,Defensive rebound by M. Leonard
10:15.0,,,23-26,2,M. Leonard makes 2-pt shot from 15 ft (assist by C. McCollum)
9:50.0,F. Mason makes 2-pt shot from 7 ft,2,25-26,,
9:40.0,Personal foul by F. Mason (drawn by E. Turner),,25-26,,
9:29.0,,,25-28,2,S. Napier makes 2-pt shot at rim
9:22.0,Offensive charge foul by F. Mason (drawn by S. Napier),,25-28,,
9:22.0,Turnover by F. Mason (offensive foul),,25-28,,
9:02.0,,,25-28,,C. McCollum misses 2-pt shot from 5 ft
9:00.0,Defensive rebound by W. Cauley-Stein,,25-28,,
8:57.0,F. Mason makes 2-pt shot at rim (assist by K. Koufos),2,27-28,,
8:57.0,Shooting foul by C. McCollum (drawn by F. Mason),,27-28,,
8:57.0,F. Mason makes free throw 1 of 1,1,28-28,,
8:42.0,,,28-28,,Turnover by C. McCollum (bad pass; steal by W. Cauley-Stein)
8:26.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by K. Koufos),3,31-28,,
8:05.0,,,31-30,2,C. McCollum makes 2-pt shot from 1 ft
7:43.0,W. Cauley-Stein misses 2-pt shot from 5 ft,,31-30,,
7:40.0,,,31-30,,Defensive rebound by E. Davis
7:31.0,Personal foul by K. Koufos (drawn by E. Davis),,31-30,,
7:26.0,,,31-30,,C. McCollum misses 3-pt shot from 22 ft
7:23.0,Defensive rebound by K. Koufos,,31-30,,
7:19.0,F. Mason misses 3-pt shot from 25 ft,,31-30,,
7:19.0,,,31-30,,Defensive rebound by E. Turner
7:01.0,,,31-30,,M. Leonard misses 2-pt shot from 16 ft
6:59.0,Defensive rebound by K. Koufos,,31-30,,
6:49.0,W. Cauley-Stein misses 2-pt shot from 4 ft (block by E. Davis),,31-30,,
6:46.0,,,31-30,,Defensive rebound by E. Davis
6:46.0,,,31-30,,Shooting foul by B. Bogdanovic (drawn by C. McCollum)
6:46.0,,,31-30,,Portland full timeout
6:46.0,,,31-30,,D. Lillard enters the game for E. Turner
6:46.0,,,31-30,,J. Nurkic enters the game for M. Leonard
6:46.0,,,31-30,,N. Vonleh enters the game for E. Davis
6:46.0,G. Temple enters the game for B. Bogdanovic,,31-30,,
6:46.0,D. Fox enters the game for F. Mason,,31-30,,
6:46.0,,,31-31,1,C. McCollum makes free throw 1 of 2
6:46.0,,,31-32,1,C. McCollum makes free throw 2 of 2
6:36.0,D. Fox makes 2-pt shot from 16 ft,2,33-32,,
6:24.0,Personal foul by M. Richardson (drawn by S. Napier),,33-32,,
6:24.0,,,33-32,,P. Connaughton enters the game for C. McCollum
6:15.0,,,33-32,,J. Nurkic misses 2-pt shot from 6 ft
6:13.0,Defensive rebound by K. Koufos,,33-32,,
6:03.0,Offensive foul by D. Fox (drawn by S. Napier),,33-32,,
6:03.0,Turnover by D. Fox (offensive foul),,33-32,,
5:55.0,,,33-35,3,S. Napier makes 3-pt shot from 24 ft (assist by J. Nurkic)
5:42.0,Turnover by G. Temple (bad pass),,33-35,,
5:36.0,Personal foul by K. Koufos (drawn by P. Connaughton),,33-35,,
5:36.0,,,33-36,1,P. Connaughton makes free throw 1 of 2
5:36.0,,,33-37,1,P. Connaughton makes free throw 2 of 2
5:12.0,G. Temple misses 2-pt shot from 6 ft,,33-37,,
5:10.0,,,33-37,,Defensive rebound by J. Nurkic
5:01.0,,,33-37,,Offensive foul by J. Nurkic (drawn by G. Temple)
5:01.0,,,33-37,,Turnover by J. Nurkic (offensive foul)
5:01.0,Z. Randolph enters the game for M. Richardson,,33-37,,
5:01.0,G. Hill enters the game for K. Koufos,,33-37,,
4:49.0,W. Cauley-Stein makes 2-pt shot from 12 ft (assist by G. Hill),2,35-37,,
4:25.0,,,35-37,,J. Nurkic misses 2-pt shot from 16 ft
4:23.0,Defensive rebound by D. Fox,,35-37,,
4:10.0,Turnover by Z. Randolph (bad pass; steal by P. Connaughton),,35-37,,
4:04.0,,,35-39,2,S. Napier makes 2-pt shot from 17 ft
3:57.0,Sacramento full timeout,,35-39,,
3:47.0,G. Temple misses 2-pt shot from 2 ft,,35-39,,
3:45.0,,,35-39,,Defensive rebound by P. Connaughton
3:36.0,,,35-39,,Turnover by J. Nurkic (lost ball; steal by D. Fox)
3:31.0,G. Temple misses 2-pt shot from 1 ft (block by P. Connaughton),,35-39,,
3:31.0,Offensive rebound by W. Cauley-Stein,,35-39,,
3:31.0,,,35-39,,Personal foul by D. Lillard (drawn by W. Cauley-Stein)
3:23.0,G. Temple misses 2-pt shot from 16 ft,,35-39,,
3:21.0,,,35-39,,Defensive rebound by N. Vonleh
3:10.0,,,35-42,3,P. Connaughton makes 3-pt shot from 26 ft (assist by N. Vonleh)
2:48.0,Z. Randolph misses 2-pt shot from 6 ft,,35-42,,
2:44.0,Offensive rebound by Z. Randolph,,35-42,,
2:44.0,,,35-42,,Personal foul by S. Napier (drawn by D. Fox)
2:44.0,,,35-42,,C. McCollum enters the game for S. Napier
2:44.0,K. Koufos enters the game for W. Cauley-Stein,,35-42,,
2:31.0,Shooting foul by N. Vonleh (drawn by Z. Randolph),,35-42,,
2:31.0,Z. Randolph misses free throw 1 of 2,,35-42,,
2:31.0,Offensive rebound by Team,,35-42,,
2:31.0,,,35-42,,M. Leonard enters the game for N. Vonleh
2:31.0,Z. Randolph makes free throw 2 of 2,1,36-42,,
2:14.0,,,36-42,,D. Lillard misses 3-pt shot from 27 ft
2:11.0,,,36-42,,Offensive rebound by J. Nurkic
2:10.0,,,36-44,2,J. Nurkic makes 2-pt shot at rim
1:50.0,Z. Randolph makes 2-pt shot from 19 ft,2,38-44,,
1:34.0,,,38-46,2,J. Nurkic makes 2-pt shot from 3 ft
1:18.0,D. Fox misses 2-pt shot from 15 ft,,38-46,,
1:16.0,,,38-46,,Defensive rebound by J. Nurkic
1:05.0,,,38-49,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
0:42.0,Z. Randolph makes 3-pt shot from 22 ft (assist by D. Fox),3,41-49,,
0:34.0,Personal foul by Z. Randolph (drawn by D. Lillard),,41-49,,
0:34.0,,,41-50,1,D. Lillard makes free throw 1 of 2
0:34.0,,,41-50,,S. Napier enters the game for C. McCollum
0:34.0,,,41-51,1,D. Lillard makes free throw 2 of 2
0:28.0,D. Fox misses 2-pt shot from 1 ft (block by J. Nurkic),,41-51,,
0:26.0,,,41-51,,Defensive rebound by S. Napier
0:07.0,,,41-53,2,D. Lillard makes 2-pt shot at rim
0:00.0,Z. Randolph misses 3-pt shot from 33 ft,,41-53,,
0:00.0,Offensive rebound by Team,,41-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,S. Labissiere misses 2-pt shot from 19 ft,,41-53,,
11:40.0,,,41-53,,Defensive rebound by N. Vonleh
11:35.0,Personal foul by S. Labissiere (drawn by N. Vonleh),,41-53,,
11:26.0,,,41-55,2,C. McCollum makes 2-pt shot from 14 ft (assist by D. Lillard)
11:06.0,G. Temple misses 2-pt shot from 3 ft,,41-55,,
11:03.0,Offensive rebound by S. Labissiere,,41-55,,
11:02.0,S. Labissiere misses 2-pt shot from 6 ft,,41-55,,
11:01.0,Offensive rebound by Team,,41-55,,
10:53.0,S. Labissiere misses 2-pt shot from 1 ft (block by J. Nurkic),,41-55,,
10:53.0,,,41-55,,Defensive rebound by Team
10:53.0,Loose ball foul by S. Labissiere (drawn by J. Nurkic),,41-55,,
10:49.0,,,41-55,,Offensive foul by J. Nurkic (drawn by D. Fox)
10:49.0,,,41-55,,Turnover by J. Nurkic (offensive foul)
10:32.0,Z. Randolph misses 2-pt shot from 18 ft,,41-55,,
10:31.0,,,41-55,,Defensive rebound by J. Nurkic
10:24.0,,,41-57,2,N. Vonleh makes 2-pt shot from 1 ft (assist by D. Lillard)
10:24.0,Sacramento full timeout,,41-57,,
10:07.0,Z. Randolph misses 2-pt shot from 5 ft,,41-57,,
10:05.0,,,41-57,,Defensive rebound by N. Vonleh
10:01.0,,,41-57,,Shooting foul by S. Labissiere (drawn by J. Nurkic)
10:01.0,,,41-58,1,J. Nurkic makes free throw 1 of 2
10:01.0,,,41-59,1,J. Nurkic makes free throw 2 of 2
9:43.0,Turnover by G. Temple (lost ball; steal by C. McCollum),,41-59,,
9:40.0,Personal foul by G. Temple (drawn by J. Nurkic),,41-59,,
9:33.0,,,41-62,3,C. McCollum makes 3-pt shot from 24 ft (assist by M. Harkless)
9:10.0,G. Temple misses 2-pt shot from 13 ft,,41-62,,
9:09.0,,,41-62,,Defensive rebound by J. Nurkic
9:00.0,,,41-62,,Turnover by M. Harkless (bad pass)
9:00.0,W. Cauley-Stein enters the game for S. Labissiere,,41-62,,
8:38.0,G. Hill misses 2-pt shot from 2 ft (block by J. Nurkic),,41-62,,
8:38.0,Offensive rebound by Z. Randolph,,41-62,,
8:38.0,Z. Randolph makes 2-pt shot at rim,2,43-62,,
8:38.0,Shooting foul by N. Vonleh (drawn by Z. Randolph),,43-62,,
8:38.0,Z. Randolph makes free throw 1 of 1,1,44-62,,
8:24.0,,,44-62,,Turnover by J. Nurkic (bad pass; steal by W. Cauley-Stein)
8:18.0,G. Hill misses 2-pt shot from 4 ft,,44-62,,
8:18.0,Offensive rebound by Team,,44-62,,
8:04.0,Turnover by W. Cauley-Stein (bad pass; steal by M. Harkless),,44-62,,
8:02.0,Personal foul by D. Fox (drawn by D. Lillard),,44-62,,
8:02.0,,,44-62,,D. Lillard misses free throw 1 of 2
8:02.0,,,44-62,,Offensive rebound by Team
8:02.0,,,44-63,1,D. Lillard makes free throw 2 of 2
7:51.0,D. Fox makes 3-pt shot from 23 ft (assist by G. Temple),3,47-63,,
7:33.0,,,47-63,,Turnover by D. Lillard (bad pass; steal by G. Hill)
7:22.0,W. Cauley-Stein makes 2-pt shot from 12 ft,2,49-63,,
7:06.0,Personal foul by G. Temple (drawn by J. Nurkic),,49-63,,
7:06.0,,,49-63,,Technical foul by J. Nurkic
7:06.0,G. Hill misses technical free throw,,49-63,,
7:06.0,,,49-63,,Defensive rebound by Team
7:06.0,,,49-63,,J. Nurkic misses free throw 1 of 2
7:06.0,,,49-63,,Offensive rebound by Team
7:06.0,B. Bogdanovic enters the game for D. Fox,,49-63,,
7:06.0,,,49-63,,J. Nurkic misses free throw 2 of 2
7:04.0,Defensive rebound by W. Cauley-Stein,,49-63,,
6:56.0,G. Hill makes 2-pt shot from 16 ft,2,51-63,,
6:56.0,,,51-63,,Portland full timeout
6:36.0,,,51-65,2,C. McCollum makes 2-pt shot at rim
6:17.0,G. Temple misses 3-pt shot from 23 ft,,51-65,,
6:16.0,,,51-65,,Defensive rebound by Team
6:02.0,,,51-67,2,J. Nurkic makes 2-pt shot from 6 ft
5:40.0,G. Hill misses 2-pt shot from 17 ft,,51-67,,
5:34.0,Offensive rebound by Z. Randolph,,51-67,,
5:34.0,Z. Randolph makes 2-pt shot at rim,2,53-67,,
5:14.0,,,53-69,2,D. Lillard makes 2-pt shot from 6 ft
5:03.0,G. Hill misses 2-pt shot from 13 ft,,53-69,,
5:02.0,,,53-69,,Defensive rebound by D. Lillard
4:54.0,,,53-72,3,D. Lillard makes 3-pt shot from 25 ft
4:34.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,55-72,,
4:34.0,Shooting foul by J. Nurkic (drawn by W. Cauley-Stein),,55-72,,
4:34.0,,,55-72,,E. Turner enters the game for M. Harkless
4:34.0,K. Koufos enters the game for G. Temple,,55-72,,
4:34.0,F. Mason enters the game for Z. Randolph,,55-72,,
4:34.0,,,55-72,,P. Connaughton enters the game for J. Nurkic
4:34.0,W. Cauley-Stein makes free throw 1 of 1,1,56-72,,
4:34.0,,,56-72,,E. Davis enters the game for C. McCollum
4:17.0,Personal foul by W. Cauley-Stein (drawn by D. Lillard),,56-72,,
4:17.0,,,56-73,1,D. Lillard makes free throw 1 of 2
4:17.0,,,56-74,1,D. Lillard makes free throw 2 of 2
4:17.0,,,56-74,,M. Leonard enters the game for N. Vonleh
4:05.0,W. Cauley-Stein misses 2-pt shot from 14 ft,,56-74,,
4:02.0,,,56-74,,Defensive rebound by M. Leonard
3:53.0,,,56-74,,D. Lillard misses 2-pt shot from 12 ft
3:49.0,,,56-74,,Offensive rebound by D. Lillard
3:49.0,,,56-74,,D. Lillard misses 2-pt shot at rim
3:49.0,Defensive rebound by K. Koufos,,56-74,,
3:47.0,B. Bogdanovic misses 3-pt shot from 25 ft,,56-74,,
3:43.0,,,56-74,,Defensive rebound by E. Turner
3:28.0,,,56-74,,D. Lillard misses 3-pt shot from 23 ft
3:28.0,Defensive rebound by Team,,56-74,,
3:28.0,,,56-74,,Loose ball foul by E. Davis (drawn by W. Cauley-Stein)
3:28.0,M. Richardson enters the game for G. Hill,,56-74,,
3:17.0,B. Bogdanovic misses 3-pt shot from 25 ft,,56-74,,
3:13.0,,,56-74,,Defensive rebound by E. Davis
3:02.0,,,56-74,,M. Leonard misses 2-pt shot from 10 ft
2:59.0,Defensive rebound by M. Richardson,,56-74,,
2:48.0,M. Richardson misses 3-pt shot from 23 ft,,56-74,,
2:46.0,,,56-74,,Defensive rebound by E. Davis
2:41.0,,,56-76,2,D. Lillard makes 2-pt shot from 2 ft
2:40.0,Sacramento full timeout,,56-76,,
2:31.0,,,56-76,,Personal foul by E. Davis (drawn by W. Cauley-Stein)
2:23.0,B. Bogdanovic misses 2-pt shot from 14 ft (block by P. Connaughton),,56-76,,
2:20.0,,,56-76,,Defensive rebound by M. Leonard
2:05.0,,,56-76,,E. Turner misses 2-pt shot from 18 ft
1:58.0,,,56-76,,Offensive rebound by E. Davis
1:58.0,,,56-78,2,E. Davis makes 2-pt shot at rim
1:52.0,K. Koufos makes 2-pt shot from 5 ft (assist by F. Mason),2,58-78,,
1:29.0,,,58-78,,M. Leonard misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by F. Mason,,58-78,,
1:19.0,F. Mason makes 2-pt shot from 11 ft,2,60-78,,
0:58.0,Personal foul by M. Richardson (drawn by E. Turner),,60-78,,
0:58.0,,,60-79,1,E. Turner makes free throw 1 of 2
0:58.0,,,60-79,,C. McCollum enters the game for D. Lillard
0:58.0,,,60-80,1,E. Turner makes free throw 2 of 2
0:43.0,B. Bogdanovic makes 2-pt shot from 3 ft,2,62-80,,
0:38.0,,,62-80,,P. Connaughton misses 2-pt shot from 16 ft
0:35.0,Defensive rebound by W. Cauley-Stein,,62-80,,
0:26.0,Shooting foul by C. McCollum (drawn by F. Mason),,62-80,,
0:26.0,F. Mason makes free throw 1 of 2,1,63-80,,
0:26.0,F. Mason misses free throw 2 of 2,,63-80,,
0:24.0,,,63-80,,Defensive rebound by M. Leonard
0:03.0,,,63-80,,Turnover by E. Turner (palming)
0:03.0,,,63-80,,S. Napier enters the game for C. McCollum
0:00.0,B. Bogdanovic misses 3-pt shot from 22 ft,,63-80,,
0:00.0,Offensive rebound by Team,,63-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,63-80,,Turnover by S. Napier (out of bounds lost ball)
11:40.0,B. Bogdanovic makes 2-pt shot from 18 ft,2,65-80,,
11:21.0,,,65-80,,S. Napier misses 2-pt shot from 2 ft
11:19.0,Defensive rebound by K. Koufos,,65-80,,
11:03.0,Shooting foul by M. Leonard (drawn by W. Cauley-Stein),,65-80,,
11:03.0,W. Cauley-Stein makes free throw 1 of 2,1,66-80,,
11:03.0,W. Cauley-Stein makes free throw 2 of 2,1,67-80,,
10:40.0,Personal foul by M. Richardson (drawn by S. Napier),,67-80,,
10:40.0,,,67-80,,Turnover by Team (turnover)
10:26.0,M. Richardson misses 2-pt shot from 2 ft,,67-80,,
10:24.0,,,67-80,,Defensive rebound by M. Leonard
10:18.0,,,67-80,,Turnover by E. Turner (lost ball; steal by M. Richardson)
10:15.0,Shooting foul by M. Leonard (drawn by M. Richardson),,67-80,,
10:15.0,M. Richardson misses free throw 1 of 2,,67-80,,
10:15.0,Offensive rebound by Team,,67-80,,
10:15.0,,,67-80,,P. Connaughton enters the game for E. Turner
10:15.0,M. Richardson makes free throw 2 of 2,1,68-80,,
9:53.0,,,68-83,3,M. Leonard makes 3-pt shot from 22 ft (assist by E. Davis)
9:26.0,Turnover by W. Cauley-Stein (lost ball; steal by S. Napier),,68-83,,
9:20.0,,,68-83,,C. McCollum misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by W. Cauley-Stein,,68-83,,
9:04.0,B. Bogdanovic misses 3-pt shot from 24 ft,,68-83,,
9:04.0,,,68-83,,Defensive rebound by M. Leonard
8:41.0,,,68-85,2,S. Napier makes 2-pt shot from 14 ft
8:27.0,W. Cauley-Stein makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,71-85,,
8:05.0,,,71-88,3,C. McCollum makes 3-pt shot from 24 ft (assist by P. Connaughton)
7:51.0,F. Mason misses 2-pt shot from 9 ft,,71-88,,
7:47.0,Offensive rebound by K. Koufos,,71-88,,
7:47.0,K. Koufos makes 2-pt shot at rim,2,73-88,,
7:23.0,,,73-90,2,S. Napier makes 2-pt shot from 20 ft
7:02.0,Shooting foul by M. Leonard (drawn by W. Cauley-Stein),,73-90,,
7:02.0,,,73-90,,Portland full timeout
7:02.0,,,73-90,,D. Lillard enters the game for P. Connaughton
7:02.0,D. Fox enters the game for M. Richardson,,73-90,,
7:02.0,W. Cauley-Stein makes free throw 1 of 2,1,74-90,,
7:02.0,W. Cauley-Stein makes free throw 2 of 2,1,75-90,,
6:51.0,,,75-93,3,M. Leonard makes 3-pt shot from 25 ft (assist by S. Napier)
6:34.0,,,75-93,,Personal foul by E. Davis (drawn by W. Cauley-Stein)
6:34.0,G. Hill enters the game for F. Mason,,75-93,,
6:34.0,G. Temple enters the game for K. Koufos,,75-93,,
6:22.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,77-93,,
6:08.0,Personal foul by G. Hill (drawn by M. Leonard),,77-93,,
6:08.0,,,77-93,,M. Harkless enters the game for M. Leonard
6:01.0,,,77-95,2,D. Lillard makes 2-pt shot from 18 ft
5:45.0,W. Cauley-Stein misses 2-pt shot from 20 ft,,77-95,,
5:40.0,,,77-95,,Defensive rebound by S. Napier
5:31.0,,,77-95,,C. McCollum misses 2-pt shot from 1 ft
5:31.0,Defensive rebound by Team,,77-95,,
5:21.0,B. Bogdanovic misses 2-pt shot from 19 ft,,77-95,,
5:17.0,,,77-95,,Defensive rebound by M. Harkless
4:59.0,,,77-97,2,D. Lillard makes 2-pt shot from 13 ft
4:43.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,79-97,,
4:25.0,,,79-97,,D. Lillard misses 3-pt shot from 28 ft
4:21.0,Defensive rebound by G. Hill,,79-97,,
4:13.0,W. Cauley-Stein misses 2-pt shot from 20 ft,,79-97,,
4:11.0,,,79-97,,Defensive rebound by E. Davis
4:10.0,,,79-97,,Portland full timeout
4:10.0,,,79-97,,J. Nurkic enters the game for E. Davis
3:50.0,,,79-97,,J. Nurkic misses 2-pt shot from 8 ft
3:47.0,,,79-97,,Offensive rebound by S. Napier
3:29.0,,,79-97,,Turnover by S. Napier (lost ball; steal by G. Temple)
3:25.0,D. Fox makes 2-pt shot from 1 ft (assist by G. Temple),2,81-97,,
3:04.0,,,81-99,2,C. McCollum makes 2-pt shot from 1 ft (assist by J. Nurkic)
3:04.0,,,81-99,,Shooting foul by G. Temple (drawn by C. McCollum)
3:04.0,,,81-100,1,C. McCollum makes free throw 1 of 1
