time,Charlotte,pts.away,score,pts.home,Houston
6:37.0,,,10-11,2,J. Harden makes 2-pt shot from 13 ft
6:21.0,M. Williams makes 2-pt shot from 8 ft (assist by K. Walker),2,12-11,,
6:13.0,,,12-11,,R. Anderson misses 2-pt shot from 1 ft
6:10.0,Defensive rebound by M. Kidd-Gilchrist,,12-11,,
6:07.0,K. Walker makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,15-11,,
6:07.0,,,15-11,,Houston full timeout
6:07.0,,,15-11,,L. Mbah a Moute enters the game for T. Ariza
6:07.0,,,15-11,,E. Gordon enters the game for C. Paul
6:07.0,,,15-11,,P. Tucker enters the game for R. Anderson
5:48.0,,,15-11,,J. Harden misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by M. Williams,,15-11,,
5:39.0,Shooting foul by J. Harden (drawn by D. Howard),,15-11,,
5:39.0,D. Howard misses free throw 1 of 2,,15-11,,
5:39.0,Offensive rebound by Team,,15-11,,
5:39.0,,,15-11,,N. Hilario enters the game for C. Capela
5:39.0,D. Howard misses free throw 2 of 2,,15-11,,
5:36.0,,,15-11,,Defensive rebound by N. Hilario
5:30.0,,,15-11,,E. Gordon misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by M. Kidd-Gilchrist,,15-11,,
5:16.0,Shooting foul by P. Tucker (drawn by M. Kidd-Gilchrist),,15-11,,
5:16.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,16-11,,
5:16.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,17-11,,
5:04.0,,,17-13,2,J. Harden makes 2-pt shot at rim
4:43.0,D. Howard makes 2-pt shot from 6 ft,2,19-13,,
4:34.0,Def 3 sec tech foul by D. Howard,,19-13,,
4:34.0,,,19-14,1,J. Harden makes technical free throw
4:34.0,F. Kaminsky enters the game for M. Williams,,19-14,,
4:34.0,J. Lamb enters the game for N. Batum,,19-14,,
4:15.0,,,19-16,2,N. Hilario makes 2-pt shot from 13 ft (assist by J. Harden)
4:01.0,K. Walker misses 3-pt shot from 25 ft,,19-16,,
3:57.0,,,19-16,,Defensive rebound by L. Mbah a Moute
3:55.0,,,19-18,2,E. Gordon makes 2-pt shot from 1 ft (assist by L. Mbah a Moute)
3:45.0,D. Howard misses 2-pt shot from 15 ft,,19-18,,
3:42.0,Offensive rebound by M. Kidd-Gilchrist,,19-18,,
3:40.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,21-18,,
3:23.0,,,21-21,3,P. Tucker makes 3-pt shot from 24 ft (assist by J. Harden)
3:05.0,D. Howard misses 2-pt shot from 2 ft,,21-21,,
3:04.0,,,21-21,,Defensive rebound by J. Harden
2:59.0,,,21-21,,J. Harden misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by D. Howard,,21-21,,
2:48.0,Turnover by K. Walker (lost ball; steal by J. Harden),,21-21,,
2:45.0,,,21-23,2,J. Harden makes 2-pt shot from 5 ft
2:45.0,,,21-23,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Harden)
2:45.0,Charlotte full timeout,,21-23,,
2:45.0,M. Carter-Williams enters the game for D. Howard,,21-23,,
2:45.0,M. Monk enters the game for M. Kidd-Gilchrist,,21-23,,
2:45.0,T. Graham enters the game for K. Walker,,21-23,,
2:45.0,,,21-24,1,J. Harden makes free throw 1 of 1
2:25.0,T. Graham makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,23-24,,
2:18.0,Personal foul by M. Monk (drawn by E. Gordon),,23-24,,
2:18.0,,,23-24,,C. Paul enters the game for J. Harden
2:07.0,,,23-26,2,P. Tucker makes 2-pt shot from 21 ft (assist by C. Paul)
1:46.0,J. Lamb misses 2-pt shot from 10 ft,,23-26,,
1:44.0,,,23-26,,Defensive rebound by N. Hilario
1:40.0,,,23-29,3,E. Gordon makes 3-pt shot from 25 ft (assist by C. Paul)
1:17.0,F. Kaminsky misses 3-pt shot from 24 ft,,23-29,,
1:13.0,,,23-29,,Defensive rebound by P. Tucker
1:03.0,,,23-29,,E. Gordon misses 3-pt shot from 25 ft (block by T. Graham)
0:57.0,Defensive rebound by M. Carter-Williams,,23-29,,
0:53.0,Offensive charge foul by T. Graham (drawn by C. Paul),,23-29,,
0:53.0,Turnover by T. Graham (offensive foul),,23-29,,
0:44.0,,,23-32,3,C. Paul makes 3-pt shot from 25 ft
0:31.0,M. Carter-Williams misses 2-pt shot from 1 ft,,23-32,,
0:29.0,,,23-32,,Defensive rebound by N. Hilario
0:24.0,,,23-32,,Shooting foul by M. Monk (drawn by C. Paul)
0:24.0,,,23-33,1,C. Paul makes free throw 1 of 3
0:24.0,,,23-34,1,C. Paul makes free throw 2 of 3
0:24.0,,,23-35,1,C. Paul makes free throw 3 of 3
0:04.0,M. Carter-Williams misses 2-pt shot from 1 ft,,23-35,,
0:03.0,,,23-35,,Defensive rebound by C. Paul
0:00.0,,,23-38,3,C. Paul makes 3-pt shot from 27 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,23-39,1,C. Paul makes technical free throw
11:49.0,,,23-39,,Shooting foul by J. O'Bryant (drawn by E. Gordon)
11:49.0,,,23-39,,E. Gordon misses free throw 1 of 2
11:49.0,,,23-39,,Offensive rebound by Team
11:49.0,,,23-40,1,E. Gordon makes free throw 2 of 2
11:32.0,F. Kaminsky misses 2-pt shot from 1 ft,,23-40,,
11:30.0,,,23-40,,Defensive rebound by T. Ariza
11:26.0,,,23-43,3,R. Anderson makes 3-pt shot from 26 ft (assist by C. Paul)
11:10.0,J. Lamb misses 3-pt shot from 25 ft,,23-43,,
11:08.0,,,23-43,,Defensive rebound by T. Ariza
11:01.0,,,23-43,,Turnover by C. Paul (bad pass)
11:01.0,K. Walker enters the game for M. Carter-Williams,,23-43,,
10:45.0,J. O'Bryant misses 3-pt shot from 25 ft,,23-43,,
10:41.0,,,23-43,,Defensive rebound by C. Paul
10:36.0,,,23-46,3,C. Paul makes 3-pt shot from 25 ft (assist by R. Anderson)
10:17.0,J. Lamb misses 2-pt shot from 14 ft,,23-46,,
10:14.0,,,23-46,,Defensive rebound by N. Hilario
10:00.0,,,23-46,,C. Paul misses 3-pt shot from 25 ft
9:56.0,,,23-46,,Offensive rebound by R. Anderson
9:53.0,,,23-49,3,E. Gordon makes 3-pt shot from 26 ft (assist by R. Anderson)
9:44.0,Charlotte full timeout,,23-49,,
9:44.0,D. Howard enters the game for J. O'Bryant,,23-49,,
9:44.0,N. Batum enters the game for T. Graham,,23-49,,
9:44.0,M. Williams enters the game for F. Kaminsky,,23-49,,
9:36.0,Shooting foul by N. Hilario (drawn by J. Lamb),,23-49,,
9:36.0,J. Lamb makes free throw 1 of 2,1,24-49,,
9:36.0,J. Lamb makes free throw 2 of 2,1,25-49,,
9:21.0,,,25-49,,R. Anderson misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by N. Batum,,25-49,,
9:10.0,Turnover by J. Lamb (bad pass; steal by T. Ariza),,25-49,,
9:00.0,,,25-49,,Shooting foul by J. Lamb (drawn by N. Hilario)
9:00.0,,,25-50,1,N. Hilario makes free throw 1 of 2
9:00.0,,,25-50,,N. Hilario misses free throw 2 of 2
8:58.0,Defensive rebound by N. Batum,,25-50,,
8:44.0,Turnover by D. Howard (traveling),,25-50,,
8:44.0,,,25-50,,C. Capela enters the game for N. Hilario
8:29.0,,,25-50,,Shooting foul by D. Howard (drawn by C. Capela)
8:29.0,,,25-50,,C. Capela misses free throw 1 of 2
8:29.0,,,25-50,,Offensive rebound by Team
8:29.0,,,25-50,,C. Capela misses free throw 2 of 2
8:27.0,Defensive rebound by M. Williams,,25-50,,
8:08.0,K. Walker makes 2-pt shot from 17 ft,2,27-50,,
7:51.0,,,27-50,,R. Anderson misses 2-pt shot from 3 ft (block by D. Howard)
7:49.0,Defensive rebound by N. Batum,,27-50,,
7:45.0,Turnover by M. Williams (lost ball; steal by E. Gordon),,27-50,,
7:39.0,,,27-50,,E. Gordon misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by K. Walker,,27-50,,
7:34.0,M. Williams misses 2-pt shot from 1 ft (block by C. Capela),,27-50,,
7:34.0,Offensive rebound by D. Howard,,27-50,,
7:30.0,D. Howard makes 2-pt shot at rim,2,29-50,,
7:17.0,,,29-50,,E. Gordon misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by N. Batum,,29-50,,
7:12.0,K. Walker misses 2-pt shot from 3 ft (block by C. Capela),,29-50,,
7:12.0,,,29-50,,Defensive rebound by R. Anderson
7:07.0,,,29-52,2,T. Ariza makes 2-pt shot from 1 ft (assist by C. Paul)
6:44.0,Turnover by D. Howard (lost ball; steal by C. Paul),,29-52,,
6:39.0,,,29-54,2,C. Capela makes 2-pt shot at rim (assist by C. Paul)
6:39.0,Charlotte full timeout,,29-54,,
6:39.0,,,29-54,,J. Harden enters the game for E. Gordon
6:39.0,M. Kidd-Gilchrist enters the game for J. Lamb,,29-54,,
6:23.0,M. Kidd-Gilchrist makes 2-pt shot from 11 ft,2,31-54,,
6:03.0,,,31-54,,J. Harden misses 2-pt shot from 11 ft
5:58.0,Defensive rebound by M. Kidd-Gilchrist,,31-54,,
5:55.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,33-54,,
5:43.0,,,33-57,3,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul)
5:26.0,D. Howard makes 2-pt shot from 7 ft,2,35-57,,
5:00.0,,,35-59,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
4:40.0,D. Howard makes 2-pt shot from 3 ft,2,37-59,,
4:25.0,,,37-61,2,C. Paul makes 2-pt shot from 4 ft
4:06.0,,,37-61,,L. Mbah a Moute enters the game for T. Ariza
4:06.0,,,37-61,,P. Tucker enters the game for C. Paul
4:06.0,,,37-61,,E. Gordon enters the game for R. Anderson
3:56.0,Turnover by N. Batum (bad pass),,37-61,,
3:36.0,,,37-61,,J. Harden misses 2-pt shot from 2 ft (block by M. Williams)
3:34.0,Defensive rebound by M. Kidd-Gilchrist,,37-61,,
3:31.0,N. Batum misses 3-pt shot from 25 ft,,37-61,,
3:31.0,Offensive rebound by D. Howard,,37-61,,
3:29.0,Shooting foul by P. Tucker (drawn by D. Howard),,37-61,,
3:29.0,D. Howard makes free throw 1 of 2,1,38-61,,
3:29.0,D. Howard misses free throw 2 of 2,,38-61,,
3:29.0,,,38-61,,Defensive rebound by P. Tucker
3:18.0,,,38-61,,Turnover by C. Capela (bad pass)
3:10.0,M. Williams misses 3-pt shot from 24 ft,,38-61,,
3:07.0,,,38-61,,Defensive rebound by J. Harden
3:01.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Harden),,38-61,,
2:55.0,,,38-61,,J. Harden misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by M. Williams,,38-61,,
2:47.0,K. Walker makes 2-pt shot at rim (assist by M. Williams),2,40-61,,
2:47.0,Shooting foul by L. Mbah a Moute (drawn by K. Walker),,40-61,,
2:47.0,K. Walker makes free throw 1 of 1,1,41-61,,
2:35.0,,,41-61,,E. Gordon misses 2-pt shot from 2 ft
2:33.0,Defensive rebound by D. Howard,,41-61,,
2:20.0,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by K. Walker),2,43-61,,
2:07.0,,,43-61,,L. Mbah a Moute misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by D. Howard,,43-61,,
1:58.0,Shooting foul by E. Gordon (drawn by K. Walker),,43-61,,
1:58.0,K. Walker misses free throw 1 of 2,,43-61,,
1:58.0,Offensive rebound by Team,,43-61,,
1:58.0,,,43-61,,C. Paul enters the game for C. Capela
1:58.0,M. Carter-Williams enters the game for M. Kidd-Gilchrist,,43-61,,
1:58.0,K. Walker misses free throw 2 of 2,,43-61,,
1:58.0,,,43-61,,Defensive rebound by J. Harden
1:39.0,,,43-63,2,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Harden)
1:30.0,,,43-63,,Personal take foul by E. Gordon (drawn by M. Williams)
1:30.0,,,43-63,,Houston full timeout
1:30.0,,,43-63,,T. Ariza enters the game for L. Mbah a Moute
1:30.0,M. Williams makes free throw 1 of 2,1,44-63,,
1:30.0,M. Williams makes free throw 2 of 2,1,45-63,,
1:21.0,,,45-63,,P. Tucker misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by D. Howard,,45-63,,
1:03.0,N. Batum misses 3-pt shot from 24 ft,,45-63,,
1:01.0,Offensive rebound by Team,,45-63,,
1:01.0,,,45-63,,Loose ball foul by C. Paul (drawn by D. Howard)
1:01.0,D. Howard makes free throw 1 of 2,1,46-63,,
1:01.0,D. Howard makes free throw 2 of 2,1,47-63,,
0:50.0,,,47-63,,J. Harden misses 2-pt shot from 17 ft
0:47.0,Defensive rebound by D. Howard,,47-63,,
0:32.0,K. Walker misses 3-pt shot from 24 ft,,47-63,,
0:28.0,,,47-63,,Defensive rebound by J. Harden
0:26.0,,,47-63,,Turnover by J. Harden (bad pass; steal by K. Walker)
0:05.0,K. Walker misses 3-pt shot from 24 ft,,47-63,,
0:04.0,Offensive rebound by D. Howard,,47-63,,
0:02.0,Shooting foul by C. Paul (drawn by D. Howard),,47-63,,
0:02.0,D. Howard makes free throw 1 of 2,1,48-63,,
0:02.0,D. Howard makes free throw 2 of 2,1,49-63,,
0:01.0,,,49-63,,Turnover by J. Harden (bad pass; steal by K. Walker)
0:00.0,K. Walker misses 3-pt shot from 44 ft,,49-63,,
0:00.0,Offensive rebound by Team,,49-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,49-63,,J. Harden misses 2-pt shot from 3 ft
11:44.0,Defensive rebound by M. Kidd-Gilchrist,,49-63,,
11:39.0,Turnover by D. Howard (out of bounds lost ball),,49-63,,
11:31.0,,,49-63,,Turnover by C. Paul (out of bounds lost ball)
11:21.0,M. Williams misses 3-pt shot from 24 ft,,49-63,,
11:16.0,,,49-63,,Defensive rebound by C. Capela
11:01.0,,,49-65,2,J. Harden makes 2-pt shot at rim
10:40.0,D. Howard misses 2-pt shot from 7 ft (block by C. Capela),,49-65,,
10:39.0,,,49-65,,Defensive rebound by C. Capela
10:33.0,,,49-65,,R. Anderson misses 3-pt shot from 26 ft
10:33.0,Defensive rebound by N. Batum,,49-65,,
10:25.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,51-65,,
10:07.0,,,51-65,,T. Ariza misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by M. Kidd-Gilchrist,,51-65,,
9:57.0,M. Williams misses 2-pt shot from 7 ft,,51-65,,
9:55.0,,,51-65,,Defensive rebound by C. Capela
9:53.0,Violation by M. Kidd-Gilchrist (kicked ball),,51-65,,
9:39.0,,,51-67,2,C. Paul makes 2-pt shot from 10 ft
9:17.0,D. Howard misses 2-pt shot from 3 ft,,51-67,,
9:16.0,,,51-67,,Defensive rebound by R. Anderson
9:10.0,,,51-70,3,J. Harden makes 3-pt shot from 26 ft (assist by C. Paul)
8:52.0,K. Walker misses 2-pt shot from 11 ft,,51-70,,
8:51.0,Offensive rebound by D. Howard,,51-70,,
8:50.0,D. Howard misses 2-pt shot from 1 ft (block by J. Harden),,51-70,,
8:50.0,Offensive rebound by D. Howard,,51-70,,
8:50.0,,,51-70,,Personal foul by J. Harden (drawn by D. Howard)
8:43.0,K. Walker misses 3-pt shot from 27 ft,,51-70,,
8:39.0,,,51-70,,Defensive rebound by C. Capela
8:23.0,,,51-72,2,J. Harden makes 2-pt shot at rim
8:05.0,D. Howard makes 2-pt shot from 7 ft,2,53-72,,
7:52.0,,,53-72,,C. Paul misses 2-pt shot from 5 ft
7:51.0,Defensive rebound by Team,,53-72,,
7:33.0,D. Howard makes 2-pt shot from 1 ft,2,55-72,,
7:11.0,,,55-74,2,R. Anderson makes 2-pt shot from 22 ft (assist by J. Harden)
6:50.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by K. Walker),2,57-74,,
6:26.0,,,57-74,,J. Harden misses 2-pt shot from 1 ft
6:25.0,,,57-74,,Offensive rebound by C. Capela
6:25.0,,,57-76,2,C. Capela makes 2-pt shot at rim
6:25.0,,,57-76,,Shooting foul by M. Kidd-Gilchrist (drawn by C. Capela)
6:25.0,,,57-76,,Houston full timeout
6:25.0,,,57-76,,E. Gordon enters the game for C. Paul
6:25.0,J. Lamb enters the game for N. Batum,,57-76,,
6:25.0,,,57-76,,C. Capela misses free throw 1 of 1
6:25.0,Defensive rebound by M. Kidd-Gilchrist,,57-76,,
6:02.0,D. Howard misses 2-pt shot from 5 ft,,57-76,,
6:02.0,,,57-76,,Defensive rebound by R. Anderson
5:47.0,,,57-79,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
5:19.0,J. Lamb makes 2-pt shot from 4 ft,2,59-79,,
5:02.0,,,59-79,,R. Anderson misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by D. Howard,,59-79,,
4:51.0,K. Walker makes 2-pt shot from 19 ft,2,61-79,,
4:33.0,,,61-79,,Turnover by J. Harden (bad pass)
4:33.0,,,61-79,,N. Hilario enters the game for C. Capela
4:33.0,,,61-79,,P. Tucker enters the game for R. Anderson
4:15.0,M. Kidd-Gilchrist misses 2-pt shot from 15 ft,,61-79,,
4:13.0,Offensive rebound by D. Howard,,61-79,,
4:13.0,Shooting foul by P. Tucker (drawn by D. Howard),,61-79,,
4:13.0,D. Howard makes free throw 1 of 2,1,62-79,,
4:13.0,T. Graham enters the game for M. Williams,,62-79,,
4:13.0,D. Howard makes free throw 2 of 2,1,63-79,,
4:03.0,,,63-79,,E. Gordon misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by K. Walker,,63-79,,
3:54.0,Offensive foul by D. Howard (drawn by J. Harden),,63-79,,
3:54.0,Turnover by D. Howard (offensive foul),,63-79,,
3:41.0,,,63-79,,T. Ariza misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by T. Graham,,63-79,,
3:30.0,Shooting foul by N. Hilario (drawn by J. Lamb),,63-79,,
3:30.0,J. Lamb makes free throw 1 of 2,1,64-79,,
3:30.0,F. Kaminsky enters the game for D. Howard,,64-79,,
3:30.0,J. Lamb makes free throw 2 of 2,1,65-79,,
3:12.0,,,65-82,3,J. Harden makes 3-pt shot from 25 ft (assist by P. Tucker)
2:47.0,J. Lamb misses 2-pt shot from 17 ft,,65-82,,
2:44.0,,,65-82,,Defensive rebound by P. Tucker
2:36.0,,,65-82,,J. Harden misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by T. Graham,,65-82,,
2:14.0,F. Kaminsky misses 2-pt shot from 16 ft,,65-82,,
2:11.0,,,65-82,,Defensive rebound by P. Tucker
2:02.0,,,65-85,3,E. Gordon makes 3-pt shot from 26 ft (assist by N. Hilario)
1:52.0,Charlotte full timeout,,65-85,,
1:52.0,,,65-85,,C. Paul enters the game for J. Harden
1:52.0,N. Batum enters the game for M. Kidd-Gilchrist,,65-85,,
1:41.0,J. Lamb makes 2-pt shot from 15 ft,2,67-85,,
1:24.0,,,67-88,3,E. Gordon makes 3-pt shot from 25 ft (assist by C. Paul)
0:56.0,K. Walker misses 2-pt shot from 14 ft,,67-88,,
0:54.0,,,67-88,,Defensive rebound by C. Paul
0:50.0,,,67-88,,T. Ariza misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by K. Walker,,67-88,,
0:33.0,F. Kaminsky makes 2-pt shot from 9 ft (assist by N. Batum),2,69-88,,
0:24.0,,,69-91,3,C. Paul makes 3-pt shot from 26 ft
0:01.0,F. Kaminsky misses 3-pt shot from 25 ft,,69-91,,
0:01.0,Offensive rebound by Team,,69-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,J. Lamb misses 2-pt shot from 16 ft,,69-91,,
11:46.0,,,69-91,,Defensive rebound by C. Paul
11:42.0,,,69-91,,E. Gordon misses 3-pt shot from 25 ft
11:38.0,,,69-91,,Offensive rebound by C. Paul
11:37.0,,,69-91,,R. Anderson misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by M. Carter-Williams,,69-91,,
11:19.0,F. Kaminsky makes 2-pt shot from 11 ft (assist by N. Batum),2,71-91,,
10:54.0,,,71-91,,C. Paul misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by J. Lamb,,71-91,,
10:42.0,F. Kaminsky makes 2-pt shot from 7 ft (assist by N. Batum),2,73-91,,
10:20.0,,,73-91,,Shooting foul by T. Graham (drawn by E. Gordon)
10:20.0,,,73-92,1,E. Gordon makes free throw 1 of 2
10:20.0,,,73-93,1,E. Gordon makes free throw 2 of 2
10:02.0,N. Batum misses 3-pt shot from 25 ft,,73-93,,
9:59.0,,,73-93,,Defensive rebound by R. Anderson
9:52.0,,,73-95,2,N. Hilario makes 2-pt shot from 17 ft (assist by C. Paul)
9:29.0,F. Kaminsky makes 2-pt shot from 8 ft,2,75-95,,
9:18.0,,,75-95,,Turnover by C. Paul (bad pass; steal by N. Batum)
9:12.0,T. Graham misses 3-pt shot from 23 ft,,75-95,,
9:08.0,,,75-95,,Defensive rebound by N. Hilario
9:03.0,Violation by F. Kaminsky (kicked ball),,75-95,,
9:03.0,D. Howard enters the game for T. Graham,,75-95,,
8:57.0,,,75-97,2,C. Paul makes 2-pt shot from 13 ft
8:47.0,,,75-97,,Personal foul by E. Gordon (drawn by M. Carter-Williams)
8:45.0,Shooting foul by C. Paul (drawn by J. Lamb),,75-97,,
8:45.0,J. Lamb misses free throw 1 of 2,,75-97,,
8:45.0,Offensive rebound by Team,,75-97,,
8:45.0,J. Lamb makes free throw 2 of 2,1,76-97,,
8:33.0,,,76-97,,N. Hilario misses 2-pt shot from 5 ft (block by D. Howard)
8:31.0,,,76-97,,Offensive rebound by N. Hilario
8:27.0,,,76-100,3,C. Paul makes 3-pt shot from 22 ft
7:57.0,N. Batum makes 2-pt shot from 1 ft,2,78-100,,
7:45.0,,,78-100,,Turnover by E. Gordon (turnover)
7:34.0,N. Batum makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,81-100,,
7:09.0,,,81-100,,Shooting foul by D. Howard (drawn by C. Paul)
7:09.0,,,81-101,1,C. Paul makes free throw 1 of 2
7:09.0,,,81-101,,T. Ariza enters the game for E. Gordon
7:09.0,,,81-101,,J. Harden enters the game for N. Hilario
7:09.0,,,81-102,1,C. Paul makes free throw 2 of 2
7:02.0,N. Batum misses 3-pt shot from 25 ft,,81-102,,
6:59.0,,,81-102,,Defensive rebound by C. Paul
6:52.0,,,81-102,,C. Paul misses 3-pt shot from 24 ft
6:51.0,,,81-102,,Offensive rebound by Team
6:51.0,Loose ball foul by F. Kaminsky (drawn by R. Anderson),,81-102,,
6:51.0,,,81-102,,Houston full timeout
6:51.0,,,81-102,,C. Capela enters the game for P. Tucker
6:51.0,M. Kidd-Gilchrist enters the game for J. Lamb,,81-102,,
6:51.0,K. Walker enters the game for M. Carter-Williams,,81-102,,
6:51.0,M. Williams enters the game for F. Kaminsky,,81-102,,
6:41.0,,,81-102,,Turnover by C. Capela (bad pass)
6:25.0,D. Howard misses 2-pt shot from 6 ft,,81-102,,
6:22.0,,,81-102,,Defensive rebound by C. Capela
6:13.0,,,81-102,,C. Paul misses 2-pt shot from 8 ft
6:12.0,Defensive rebound by D. Howard,,81-102,,
6:04.0,K. Walker misses 2-pt shot from 1 ft,,81-102,,
6:02.0,,,81-102,,Defensive rebound by C. Capela
5:47.0,,,81-102,,J. Harden misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by D. Howard,,81-102,,
5:29.0,D. Howard misses 2-pt shot from 7 ft,,81-102,,
5:27.0,,,81-102,,Defensive rebound by T. Ariza
5:22.0,Personal foul by D. Howard (drawn by J. Harden),,81-102,,
5:04.0,,,81-102,,C. Paul misses 2-pt shot from 13 ft
5:01.0,Defensive rebound by K. Walker,,81-102,,
4:57.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,81-102,,
4:55.0,,,81-102,,Defensive rebound by T. Ariza
4:50.0,,,81-104,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
4:30.0,N. Batum misses 2-pt shot from 13 ft,,81-104,,
4:27.0,Offensive rebound by M. Kidd-Gilchrist,,81-104,,
4:27.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,83-104,,
4:24.0,,,83-104,,T. Ariza misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by M. Kidd-Gilchrist,,83-104,,
4:11.0,N. Batum makes 2-pt shot from 14 ft (assist by D. Howard),2,85-104,,
