time,Detroit,pts.away,score,pts.home,Dallas
7:48.0,,,9-4,,S. Mejri enters the game for D. Nowitzki
7:46.0,R. Bullock makes 2-pt shot from 15 ft (assist by R. Jackson),2,11-4,,
7:44.0,,,11-4,,Dallas full timeout
7:29.0,,,11-6,2,D. Smith makes 2-pt shot from 1 ft
7:14.0,T. Harris makes 2-pt shot from 12 ft (assist by R. Jackson),2,13-6,,
7:02.0,,,13-6,,W. Matthews misses 3-pt shot from 26 ft
6:59.0,Defensive rebound by A. Drummond,,13-6,,
6:44.0,A. Drummond misses 2-pt shot from 5 ft (block by S. Mejri),,13-6,,
6:42.0,,,13-6,,Defensive rebound by D. Smith
6:24.0,,,13-6,,Turnover by H. Barnes (traveling)
6:24.0,,,13-6,,Y. Ferrell enters the game for D. Smith
6:08.0,A. Drummond makes 2-pt shot from 3 ft (assist by A. Tolliver),2,15-6,,
6:08.0,,,15-6,,Violation by S. Mejri (def goaltending)
5:47.0,,,15-6,,Shooting foul by T. Harris (drawn by H. Barnes)
5:47.0,,,15-7,1,H. Barnes makes free throw 1 of 2
5:47.0,S. Johnson enters the game for A. Tolliver,,15-7,,
5:47.0,,,15-8,1,H. Barnes makes free throw 2 of 2
5:36.0,R. Jackson misses 2-pt shot from 18 ft,,15-8,,
5:33.0,,,15-8,,Defensive rebound by M. Kleber
5:21.0,,,15-8,,Y. Ferrell misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by R. Jackson,,15-8,,
5:12.0,T. Harris makes 2-pt shot from 14 ft (assist by R. Jackson),2,17-8,,
4:44.0,,,17-11,3,H. Barnes makes 3-pt shot from 26 ft (assist by Y. Ferrell)
4:24.0,R. Jackson misses 3-pt shot from 25 ft,,17-11,,
4:21.0,,,17-11,,Defensive rebound by S. Mejri
4:09.0,,,17-11,,Turnover by H. Barnes (bad pass; steal by T. Harris)
4:02.0,T. Harris misses 3-pt shot from 24 ft,,17-11,,
4:00.0,,,17-11,,Defensive rebound by H. Barnes
3:40.0,,,17-11,,M. Kleber misses 2-pt shot from 1 ft (block by A. Drummond)
3:37.0,,,17-11,,Offensive rebound by M. Kleber
3:35.0,,,17-11,,W. Matthews misses 3-pt shot from 27 ft
3:35.0,,,17-11,,Offensive rebound by S. Mejri
3:34.0,,,17-11,,Shooting foul by A. Drummond (drawn by S. Mejri)
3:34.0,,,17-11,,S. Mejri misses free throw 1 of 2
3:34.0,,,17-11,,Offensive rebound by Team
3:34.0,,,17-11,,D. Harris enters the game for W. Matthews
3:34.0,I. Smith enters the game for R. Jackson,,17-11,,
3:34.0,L. Kennard enters the game for R. Bullock,,17-11,,
3:34.0,,,17-12,1,S. Mejri makes free throw 2 of 2
3:21.0,Shooting foul by S. Mejri (drawn by A. Drummond),,17-12,,
3:21.0,A. Drummond misses free throw 1 of 2,,17-12,,
3:21.0,Offensive rebound by Team,,17-12,,
3:21.0,A. Drummond makes free throw 2 of 2,1,18-12,,
3:07.0,,,18-14,2,M. Kleber makes 2-pt shot at rim (assist by D. Harris)
2:48.0,T. Harris makes 2-pt shot from 2 ft (assist by I. Smith),2,20-14,,
2:22.0,,,20-14,,M. Kleber misses 2-pt shot from 2 ft
2:20.0,Defensive rebound by I. Smith,,20-14,,
2:16.0,S. Johnson makes 3-pt shot from 24 ft (assist by I. Smith),3,23-14,,
1:55.0,,,23-16,2,S. Mejri makes 2-pt shot from 1 ft (assist by D. Harris)
1:47.0,Detroit full timeout,,23-16,,
1:47.0,,,23-16,,D. Nowitzki enters the game for H. Barnes
1:47.0,,,23-16,,J. Barea enters the game for M. Kleber
1:47.0,,,23-16,,D. Powell enters the game for S. Mejri
1:47.0,E. Moreland enters the game for A. Drummond,,23-16,,
1:37.0,I. Smith makes 2-pt shot from 16 ft,2,25-16,,
1:21.0,Personal block foul by S. Johnson (drawn by D. Harris),,25-16,,
1:21.0,L. Galloway enters the game for S. Johnson,,25-16,,
1:12.0,,,25-18,2,D. Harris makes 2-pt shot from 2 ft (assist by J. Barea)
1:12.0,,,25-18,,Shooting foul by E. Moreland (drawn by D. Harris)
1:12.0,,,25-19,1,D. Harris makes free throw 1 of 1
0:54.0,T. Harris misses 3-pt shot from 23 ft,,25-19,,
0:51.0,,,25-19,,Defensive rebound by J. Barea
0:44.0,,,25-19,,Offensive charge foul by D. Harris (drawn by E. Moreland)
0:44.0,,,25-19,,Turnover by D. Harris (offensive foul)
0:35.0,Turnover by I. Smith (bad pass; steal by Y. Ferrell),,25-19,,
0:28.0,,,25-19,,D. Powell misses 2-pt shot from 2 ft
0:26.0,Defensive rebound by T. Harris,,25-19,,
0:21.0,T. Harris misses 2-pt shot from 9 ft,,25-19,,
0:17.0,,,25-19,,Defensive rebound by J. Barea
0:02.0,,,25-22,3,D. Nowitzki makes 3-pt shot from 26 ft (assist by J. Barea)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal block foul by E. Moreland (drawn by D. Powell),,25-22,,
11:33.0,,,25-24,2,D. Harris makes 2-pt shot from 2 ft
11:21.0,A. Tolliver makes 2-pt shot at rim (assist by I. Smith),2,27-24,,
11:21.0,Shooting foul by D. Harris (drawn by A. Tolliver),,27-24,,
11:21.0,,,27-24,,K. Collinsworth enters the game for D. Harris
11:21.0,A. Tolliver makes free throw 1 of 1,1,28-24,,
10:57.0,,,28-26,2,J. Barea makes 2-pt shot from 3 ft
10:39.0,I. Smith misses 2-pt shot from 7 ft,,28-26,,
10:38.0,,,28-26,,Defensive rebound by Team
10:38.0,Loose ball foul by E. Moreland (drawn by D. Nowitzki),,28-26,,
10:26.0,,,28-29,3,Y. Ferrell makes 3-pt shot from 27 ft (assist by D. Nowitzki)
10:17.0,Detroit full timeout,,28-29,,
10:17.0,A. Drummond enters the game for E. Moreland,,28-29,,
10:05.0,A. Tolliver makes 3-pt shot from 24 ft (assist by L. Galloway),3,31-29,,
9:46.0,,,31-29,,D. Nowitzki misses 3-pt shot from 22 ft
9:43.0,Defensive rebound by A. Drummond,,31-29,,
9:38.0,A. Tolliver makes 3-pt shot from 23 ft (assist by L. Kennard),3,34-29,,
9:18.0,,,34-31,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by J. Barea)
9:04.0,L. Kennard misses 3-pt shot from 22 ft,,34-31,,
9:01.0,,,34-31,,Defensive rebound by D. Nowitzki
8:47.0,,,34-31,,Shooting foul by L. Galloway (drawn by D. Nowitzki)
8:47.0,,,34-32,1,D. Nowitzki makes free throw 1 of 2
8:47.0,,,34-33,1,D. Nowitzki makes free throw 2 of 2
8:29.0,L. Galloway misses 3-pt shot from 25 ft,,34-33,,
8:25.0,,,34-33,,Defensive rebound by Team
8:13.0,,,34-33,,D. Nowitzki misses 2-pt shot from 18 ft
8:06.0,Defensive rebound by L. Galloway,,34-33,,
8:02.0,I. Smith makes 2-pt shot from 1 ft,2,36-33,,
7:52.0,,,36-35,2,J. Barea makes 2-pt shot from 1 ft
7:32.0,A. Drummond makes 2-pt shot from 3 ft,2,38-35,,
7:20.0,,,38-38,3,K. Collinsworth makes 3-pt shot from 26 ft (assist by J. Barea)
6:57.0,Turnover by I. Smith (lost ball; steal by Y. Ferrell),,38-38,,
6:49.0,,,38-38,,D. Nowitzki misses 3-pt shot from 27 ft
6:47.0,Defensive rebound by A. Drummond,,38-38,,
6:41.0,L. Kennard makes 3-pt shot from 23 ft (assist by A. Tolliver),3,41-38,,
6:35.0,,,41-38,,Dallas full timeout
6:35.0,,,41-38,,D. Harris enters the game for D. Powell
6:35.0,,,41-38,,H. Barnes enters the game for K. Collinsworth
6:35.0,,,41-38,,S. Mejri enters the game for Y. Ferrell
6:35.0,,,41-38,,W. Matthews enters the game for D. Nowitzki
6:35.0,S. Johnson enters the game for L. Kennard,,41-38,,
6:35.0,R. Bullock enters the game for L. Galloway,,41-38,,
6:35.0,R. Jackson enters the game for I. Smith,,41-38,,
6:19.0,,,41-41,3,J. Barea makes 3-pt shot from 25 ft (assist by H. Barnes)
5:59.0,Turnover by A. Drummond (lost ball; steal by D. Harris),,41-41,,
5:54.0,,,41-43,2,J. Barea makes 2-pt shot from 2 ft (assist by D. Harris)
5:32.0,,,41-43,,D. Smith enters the game for J. Barea
5:32.0,T. Harris enters the game for A. Tolliver,,41-43,,
5:30.0,T. Harris misses 2-pt shot from 16 ft,,41-43,,
5:25.0,,,41-43,,Defensive rebound by H. Barnes
5:12.0,,,41-45,2,H. Barnes makes 2-pt shot from 1 ft
4:53.0,R. Bullock makes 2-pt shot from 1 ft (assist by A. Drummond),2,43-45,,
4:53.0,,,43-45,,Violation by S. Mejri (def goaltending)
4:38.0,,,43-45,,Shooting foul by A. Drummond (drawn by D. Smith)
4:38.0,,,43-46,1,D. Smith makes free throw 1 of 2
4:38.0,,,43-46,,D. Smith misses free throw 2 of 2
4:36.0,Defensive rebound by A. Drummond,,43-46,,
4:27.0,R. Bullock misses 2-pt shot from 1 ft (block by S. Mejri),,43-46,,
4:24.0,Offensive rebound by A. Drummond,,43-46,,
4:22.0,A. Drummond makes 2-pt shot at rim,2,45-46,,
4:08.0,,,45-48,2,D. Smith makes 2-pt shot from 21 ft
3:50.0,Shooting foul by S. Mejri (drawn by S. Johnson),,45-48,,
3:50.0,S. Johnson makes free throw 1 of 2,1,46-48,,
3:50.0,S. Johnson makes free throw 2 of 2,1,47-48,,
3:34.0,,,47-48,,Shooting foul by A. Drummond (drawn by S. Mejri)
3:34.0,,,47-48,,S. Mejri misses free throw 1 of 2
3:34.0,,,47-48,,Offensive rebound by Team
3:34.0,B. Marjanovic enters the game for A. Drummond,,47-48,,
3:34.0,,,47-48,,S. Mejri misses free throw 2 of 2
3:31.0,Defensive rebound by T. Harris,,47-48,,
3:21.0,Offensive foul by B. Marjanovic (drawn by S. Mejri),,47-48,,
3:21.0,Turnover by B. Marjanovic (offensive foul),,47-48,,
3:21.0,,,47-48,,D. Nowitzki enters the game for S. Mejri
3:13.0,,,47-48,,D. Smith misses 2-pt shot from 1 ft
3:10.0,Defensive rebound by B. Marjanovic,,47-48,,
3:07.0,S. Johnson makes 2-pt shot at rim (assist by R. Jackson),2,49-48,,
3:06.0,,,49-48,,Dallas full timeout
3:06.0,A. Tolliver enters the game for B. Marjanovic,,49-48,,
2:45.0,,,49-50,2,W. Matthews makes 2-pt shot from 2 ft (assist by D. Smith)
2:25.0,S. Johnson misses 2-pt shot from 22 ft,,49-50,,
2:22.0,,,49-50,,Defensive rebound by W. Matthews
2:06.0,Shooting block foul by A. Tolliver (drawn by H. Barnes),,49-50,,
2:06.0,,,49-51,1,H. Barnes makes free throw 1 of 2
2:06.0,,,49-51,,M. Kleber enters the game for D. Harris
2:06.0,,,49-52,1,H. Barnes makes free throw 2 of 2
1:53.0,T. Harris misses 2-pt shot from 1 ft (block by M. Kleber),,49-52,,
1:51.0,,,49-52,,Defensive rebound by D. Smith
1:50.0,,,49-52,,Shooting foul by S. Johnson (drawn by D. Smith)
1:50.0,B. Marjanovic enters the game for S. Johnson,,49-52,,
1:50.0,,,49-53,1,D. Smith makes free throw 1 of 2
1:50.0,,,49-53,,J. Barea enters the game for M. Kleber
1:50.0,,,49-54,1,D. Smith makes free throw 2 of 2
1:39.0,R. Bullock misses 3-pt shot from 25 ft,,49-54,,
1:35.0,,,49-54,,Defensive rebound by H. Barnes
1:26.0,,,49-56,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Smith)
1:10.0,,,49-56,,Personal foul by W. Matthews (drawn by T. Harris)
1:06.0,Offensive charge foul by R. Jackson (drawn by J. Barea),,49-56,,
1:06.0,Turnover by R. Jackson (offensive foul),,49-56,,
1:06.0,S. Johnson enters the game for B. Marjanovic,,49-56,,
1:06.0,,,49-56,,M. Kleber enters the game for J. Barea
1:06.0,B. Marjanovic enters the game for S. Johnson,,49-56,,
0:52.0,,,49-59,3,H. Barnes makes 3-pt shot from 22 ft (assist by D. Smith)
0:39.0,R. Jackson makes 2-pt shot from 2 ft,2,51-59,,
0:32.0,,,51-62,3,D. Smith makes 3-pt shot from 25 ft
0:19.0,,,51-62,,Personal foul by D. Smith (drawn by B. Marjanovic)
0:19.0,B. Marjanovic makes free throw 1 of 2,1,52-62,,
0:19.0,,,52-62,,J. Barea enters the game for M. Kleber
0:19.0,B. Marjanovic makes free throw 2 of 2,1,53-62,,
0:08.0,,,53-64,2,D. Smith makes 2-pt shot from 19 ft
0:08.0,,,53-64,,Shooting foul by R. Jackson (drawn by D. Smith)
0:08.0,,,53-64,,M. Kleber enters the game for D. Nowitzki
0:08.0,,,53-64,,Y. Ferrell enters the game for J. Barea
0:08.0,,,53-65,1,D. Smith makes free throw 1 of 1
0:00.0,A. Tolliver misses 3-pt shot from 26 ft,,53-65,,
0:00.0,Offensive rebound by Team,,53-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,53-65,,Turnover by M. Kleber (bad pass; steal by T. Harris)
11:39.0,T. Harris misses 2-pt shot from 11 ft,,53-65,,
11:30.0,Offensive rebound by A. Drummond,,53-65,,
11:30.0,A. Drummond makes 2-pt shot at rim,2,55-65,,
11:22.0,,,55-65,,H. Barnes misses 2-pt shot from 17 ft
11:19.0,Defensive rebound by A. Tolliver,,55-65,,
11:14.0,Turnover by T. Harris (lost ball; steal by H. Barnes),,55-65,,
11:00.0,,,55-65,,D. Nowitzki misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by A. Drummond,,55-65,,
10:52.0,T. Harris misses 3-pt shot from 25 ft,,55-65,,
10:49.0,,,55-65,,Defensive rebound by M. Kleber
10:31.0,,,55-65,,W. Matthews misses 3-pt shot from 26 ft
10:28.0,Defensive rebound by A. Drummond,,55-65,,
10:11.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Bullock),2,57-65,,
9:57.0,,,57-65,,D. Smith misses 2-pt shot from 18 ft
9:56.0,Defensive rebound by T. Harris,,57-65,,
9:56.0,,,57-65,,Technical foul by D. Smith
9:56.0,,,57-65,,Dallas full timeout
9:56.0,T. Harris makes technical free throw,1,58-65,,
9:42.0,R. Jackson misses 2-pt shot from 1 ft,,58-65,,
9:40.0,,,58-65,,Defensive rebound by D. Nowitzki
9:33.0,,,58-65,,Turnover by D. Smith (bad pass)
9:09.0,R. Jackson misses 3-pt shot from 26 ft,,58-65,,
9:07.0,,,58-65,,Defensive rebound by D. Nowitzki
8:48.0,,,58-65,,H. Barnes misses 2-pt shot from 3 ft
8:45.0,Defensive rebound by A. Drummond,,58-65,,
8:43.0,R. Jackson misses 3-pt shot from 27 ft,,58-65,,
8:39.0,,,58-65,,Defensive rebound by M. Kleber
8:24.0,,,58-67,2,W. Matthews makes 2-pt shot from 4 ft
8:07.0,Shooting foul by M. Kleber (drawn by A. Tolliver),,58-67,,
8:07.0,A. Tolliver makes free throw 1 of 3,1,59-67,,
8:07.0,A. Tolliver makes free throw 2 of 3,1,60-67,,
8:07.0,A. Tolliver makes free throw 3 of 3,1,61-67,,
7:48.0,,,61-67,,H. Barnes misses 2-pt shot from 6 ft
7:44.0,Defensive rebound by R. Jackson,,61-67,,
7:35.0,T. Harris misses 2-pt shot from 14 ft,,61-67,,
7:32.0,,,61-67,,Defensive rebound by D. Smith
7:25.0,,,61-67,,Y. Ferrell enters the game for D. Smith
7:25.0,,,61-67,,S. Mejri enters the game for D. Nowitzki
7:24.0,Jump ball: A. Drummond vs.,,,,Jump ball: A. Drummond vs.
7:24.0,,,61-67,,D. Harris enters the game for M. Kleber
7:14.0,,,61-70,3,W. Matthews makes 3-pt shot from 22 ft (assist by Y. Ferrell)
7:02.0,Offensive foul by A. Drummond (drawn by Y. Ferrell),,61-70,,
7:02.0,Turnover by A. Drummond (offensive foul),,61-70,,
7:02.0,S. Johnson enters the game for A. Drummond,,61-70,,
7:02.0,E. Moreland enters the game for A. Tolliver,,61-70,,
6:50.0,,,61-73,3,Y. Ferrell makes 3-pt shot from 24 ft (assist by S. Mejri)
6:47.0,Detroit full timeout,,61-73,,
6:23.0,R. Jackson misses 2-pt shot from 22 ft,,61-73,,
6:20.0,,,61-73,,Defensive rebound by S. Mejri
6:04.0,,,61-73,,Turnover by W. Matthews (out of bounds lost ball)
6:04.0,I. Smith enters the game for R. Jackson,,61-73,,
5:47.0,R. Bullock misses 2-pt shot from 2 ft (block by S. Mejri),,61-73,,
5:43.0,,,61-73,,Defensive rebound by Y. Ferrell
5:23.0,,,61-73,,H. Barnes misses 3-pt shot from 23 ft
5:22.0,Defensive rebound by Team,,61-73,,
5:22.0,,,61-73,,Loose ball foul by S. Mejri (drawn by T. Harris)
5:06.0,R. Bullock misses 3-pt shot from 25 ft,,61-73,,
5:02.0,,,61-73,,Defensive rebound by H. Barnes
4:50.0,,,61-76,3,W. Matthews makes 3-pt shot from 29 ft (assist by H. Barnes)
4:31.0,T. Harris misses 2-pt shot from 19 ft,,61-76,,
4:28.0,,,61-76,,Defensive rebound by H. Barnes
4:13.0,,,61-78,2,D. Harris makes 2-pt shot from 1 ft
3:56.0,S. Johnson makes 2-pt shot from 15 ft (assist by E. Moreland),2,63-78,,
3:29.0,,,63-78,,W. Matthews misses 2-pt shot from 19 ft
3:26.0,Defensive rebound by E. Moreland,,63-78,,
3:13.0,S. Johnson misses 2-pt shot from 1 ft (block by S. Mejri),,63-78,,
3:10.0,,,63-78,,Defensive rebound by H. Barnes
2:56.0,,,63-81,3,Y. Ferrell makes 3-pt shot from 27 ft
2:46.0,Detroit full timeout,,63-81,,
2:46.0,,,63-81,,J. Barea enters the game for D. Harris
2:46.0,L. Galloway enters the game for R. Bullock,,63-81,,
2:30.0,Turnover by I. Smith (lost ball; steal by J. Barea),,63-81,,
2:15.0,,,63-81,,Turnover by Y. Ferrell (out of bounds lost ball)
2:04.0,Shooting foul by S. Mejri (drawn by T. Harris),,63-81,,
2:04.0,T. Harris makes free throw 1 of 2,1,64-81,,
2:04.0,T. Harris misses free throw 2 of 2,,64-81,,
2:01.0,,,64-81,,Defensive rebound by Y. Ferrell
1:49.0,,,64-81,,W. Matthews misses 2-pt shot from 10 ft
1:47.0,,,64-81,,Offensive rebound by S. Mejri
1:47.0,,,64-81,,S. Mejri misses 2-pt shot at rim
1:45.0,,,64-81,,Offensive rebound by S. Mejri
1:44.0,,,64-83,2,S. Mejri makes 2-pt shot from 1 ft
1:25.0,I. Smith misses 2-pt shot from 20 ft,,64-83,,
1:25.0,,,64-83,,Defensive rebound by H. Barnes
1:15.0,Shooting block foul by E. Moreland (drawn by H. Barnes),,64-83,,
1:15.0,,,64-84,1,H. Barnes makes free throw 1 of 2
1:15.0,,,64-84,,D. Powell enters the game for S. Mejri
1:15.0,A. Tolliver enters the game for T. Harris,,64-84,,
1:15.0,,,64-85,1,H. Barnes makes free throw 2 of 2
1:03.0,I. Smith makes 2-pt shot from 1 ft,2,66-85,,
0:44.0,,,66-87,2,H. Barnes makes 2-pt shot from 2 ft
0:34.0,I. Smith misses 2-pt shot from 6 ft,,66-87,,
0:31.0,,,66-87,,Defensive rebound by W. Matthews
0:07.0,,,66-89,2,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea)
0:01.0,,,66-89,,Personal foul by D. Powell (drawn by I. Smith)
0:01.0,,,66-89,,D. Harris enters the game for J. Barea
0:01.0,B. Marjanovic enters the game for E. Moreland,,66-89,,
0:01.0,,,66-89,,M. Kleber enters the game for D. Powell
0:00.0,L. Galloway misses 3-pt shot from 28 ft (block by D. Harris),,66-89,,
0:00.0,Offensive rebound by Team,,66-89,,
0:00.0,,,66-89,,J. Barea enters the game for W. Matthews
0:00.0,,,66-89,,D. Powell enters the game for H. Barnes
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,B. Marjanovic misses 2-pt shot from 6 ft,,66-89,,
11:45.0,Offensive rebound by L. Galloway,,66-89,,
11:41.0,B. Marjanovic misses 2-pt shot from 18 ft,,66-89,,
11:40.0,,,66-89,,Defensive rebound by Y. Ferrell
11:26.0,,,66-89,,J. Barea misses 2-pt shot from 18 ft
11:23.0,Defensive rebound by I. Smith,,66-89,,
11:19.0,I. Smith makes 2-pt shot from 1 ft,2,68-89,,
11:19.0,Shooting foul by Y. Ferrell (drawn by I. Smith),,68-89,,
11:19.0,I. Smith makes free throw 1 of 1,1,69-89,,
10:57.0,,,69-92,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea)
10:36.0,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith),3,72-92,,
10:17.0,,,72-92,,D. Harris misses 3-pt shot from 26 ft
10:13.0,Defensive rebound by I. Smith,,72-92,,
10:08.0,A. Tolliver misses 3-pt shot from 26 ft,,72-92,,
10:05.0,,,72-92,,Defensive rebound by J. Barea
9:46.0,,,72-94,2,D. Powell makes 2-pt shot from 14 ft (assist by J. Barea)
9:37.0,,,72-94,,Personal foul by Y. Ferrell (drawn by I. Smith)
9:27.0,L. Galloway misses 3-pt shot from 26 ft,,72-94,,
9:27.0,Offensive rebound by S. Johnson,,72-94,,
9:27.0,,,72-94,,Shooting block foul by D. Harris (drawn by S. Johnson)
9:27.0,S. Johnson makes free throw 1 of 2,1,73-94,,
9:27.0,S. Johnson makes free throw 2 of 2,1,74-94,,
9:15.0,,,74-94,,Shooting foul by A. Tolliver (drawn by D. Powell)
9:15.0,,,74-95,1,D. Powell makes free throw 1 of 2
9:15.0,,,74-96,1,D. Powell makes free throw 2 of 2
8:57.0,L. Galloway misses 2-pt shot from 18 ft,,74-96,,
8:57.0,,,74-96,,Defensive rebound by Y. Ferrell
8:45.0,,,74-96,,Turnover by D. Harris (bad pass)
8:36.0,B. Marjanovic misses 2-pt shot from 7 ft,,74-96,,
8:36.0,,,74-96,,Defensive rebound by D. Powell
8:15.0,,,74-96,,Turnover by D. Powell (lost ball; steal by S. Johnson)
8:06.0,,,74-96,,Personal foul by D. Powell (drawn by B. Marjanovic)
8:06.0,,,74-96,,K. Collinsworth enters the game for D. Harris
8:06.0,L. Kennard enters the game for L. Galloway,,74-96,,
7:53.0,S. Johnson misses 3-pt shot from 25 ft,,74-96,,
7:50.0,,,74-96,,Defensive rebound by Team
7:37.0,,,74-96,,Turnover by J. Barea (lost ball; steal by L. Kennard)
7:27.0,I. Smith makes 2-pt shot from 1 ft,2,76-96,,
7:26.0,,,76-96,,Dallas full timeout
7:09.0,,,76-96,,Turnover by K. Collinsworth (bad pass)
6:51.0,I. Smith makes 2-pt shot from 3 ft,2,78-96,,
6:38.0,,,78-98,2,J. Barea makes 2-pt shot from 5 ft
6:24.0,Turnover by B. Marjanovic (bad pass; steal by K. Collinsworth),,78-98,,
6:16.0,,,78-100,2,Y. Ferrell makes 2-pt shot from 9 ft
6:14.0,Detroit full timeout,,78-100,,
6:00.0,L. Kennard makes 2-pt shot from 14 ft (assist by B. Marjanovic),2,80-100,,
5:45.0,,,80-100,,Y. Ferrell misses 3-pt shot from 23 ft
5:42.0,Defensive rebound by S. Johnson,,80-100,,
5:35.0,B. Marjanovic misses 2-pt shot from 4 ft (block by D. Nowitzki),,80-100,,
5:35.0,,,80-100,,Defensive rebound by Team
5:22.0,Personal foul by A. Tolliver (drawn by J. Barea),,80-100,,
5:22.0,,,80-100,,H. Barnes enters the game for D. Nowitzki
5:22.0,,,80-100,,D. Smith enters the game for J. Barea
5:10.0,,,80-102,2,H. Barnes makes 2-pt shot from 21 ft
4:41.0,Turnover by Team (shot clock),,80-102,,
4:27.0,,,80-102,,K. Collinsworth misses 2-pt shot from 2 ft (block by L. Kennard)
4:24.0,Defensive rebound by I. Smith,,80-102,,
4:19.0,I. Smith makes 2-pt shot from 1 ft,2,82-102,,
3:58.0,,,82-102,,H. Barnes misses 2-pt shot from 7 ft
3:55.0,Defensive rebound by B. Marjanovic,,82-102,,
3:52.0,Turnover by A. Tolliver (out of bounds lost ball),,82-102,,
3:52.0,L. Galloway enters the game for I. Smith,,82-102,,
3:52.0,H. Ellenson enters the game for A. Tolliver,,82-102,,
3:38.0,,,82-104,2,D. Smith makes 2-pt shot from 1 ft
3:22.0,,,82-104,,Personal foul by D. Powell (drawn by B. Marjanovic)
3:22.0,B. Marjanovic makes free throw 1 of 2,1,83-104,,
3:22.0,B. Marjanovic makes free throw 2 of 2,1,84-104,,
3:10.0,,,84-107,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith)
3:06.0,Detroit full timeout,,84-107,,
3:06.0,,,84-107,,M. Kleber enters the game for H. Barnes
2:47.0,H. Ellenson misses 2-pt shot from 7 ft,,84-107,,
2:44.0,,,84-107,,Defensive rebound by K. Collinsworth
2:34.0,,,84-107,,Turnover by D. Powell (bad pass)
2:16.0,L. Kennard misses 2-pt shot from 6 ft,,84-107,,
2:09.0,Offensive rebound by H. Ellenson,,84-107,,
2:09.0,H. Ellenson makes 2-pt shot at rim,2,86-107,,
1:56.0,,,86-110,3,D. Powell makes 3-pt shot from 26 ft (assist by D. Smith)
1:46.0,Offensive foul by B. Marjanovic (drawn by D. Powell),,86-110,,
1:46.0,Turnover by B. Marjanovic (offensive foul),,86-110,,
1:34.0,,,86-110,,M. Kleber misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by L. Galloway,,86-110,,
1:30.0,,,86-110,,Personal block foul by D. Smith (drawn by L. Galloway)
1:30.0,L. Galloway makes free throw 1 of 2,1,87-110,,
1:30.0,L. Galloway makes free throw 2 of 2,1,88-110,,
1:09.0,,,88-110,,Y. Ferrell misses 2-pt shot from 7 ft
1:06.0,Defensive rebound by B. Marjanovic,,88-110,,
1:00.0,,,88-110,,Shooting block foul by D. Smith (drawn by S. Johnson)
