time,Cleveland,pts.away,score,pts.home,Memphis
6:52.0,,,6-16,,D. Brooks misses free throw 2 of 2
6:49.0,Defensive rebound by C. Osman,,6-16,,
6:32.0,L. James misses 2-pt shot from 22 ft,,6-16,,
6:30.0,,,6-16,,Defensive rebound by D. Brooks
6:24.0,,,6-18,2,J. Martin makes 2-pt shot at rim (assist by T. Evans)
6:13.0,G. Hill makes 2-pt shot from 15 ft,2,8-18,,
5:59.0,,,8-18,,D. Brooks misses 2-pt shot from 6 ft
5:57.0,Defensive rebound by L. James,,8-18,,
5:47.0,G. Hill misses 3-pt shot from 25 ft,,8-18,,
5:44.0,,,8-18,,Defensive rebound by Team
5:30.0,,,8-20,2,D. Brooks makes 2-pt shot at rim (assist by T. Evans)
5:14.0,Shooting foul by M. Chalmers (drawn by G. Hill),,8-20,,
5:14.0,G. Hill makes free throw 1 of 2,1,9-20,,
5:14.0,,,9-20,,B. McLemore enters the game for T. Evans
5:14.0,L. Nance enters the game for J. Smith,,9-20,,
5:14.0,R. Hood enters the game for T. Thompson,,9-20,,
5:14.0,G. Hill makes free throw 2 of 2,1,10-20,,
4:57.0,,,10-23,3,B. McLemore makes 3-pt shot from 25 ft (assist by M. Gasol)
4:35.0,C. Osman makes 2-pt shot from 15 ft,2,12-23,,
4:25.0,Personal foul by L. Nance (drawn by M. Gasol),,12-23,,
4:25.0,J. Clarkson enters the game for C. Osman,,12-23,,
4:16.0,,,12-23,,M. Gasol misses 2-pt shot from 11 ft
4:13.0,Defensive rebound by L. James,,12-23,,
4:08.0,G. Hill makes 2-pt shot from 1 ft (assist by L. James),2,14-23,,
3:54.0,,,14-23,,Turnover by M. Chalmers (bad pass; steal by G. Hill)
3:50.0,L. James makes 2-pt shot from 1 ft (assist by G. Hill),2,16-23,,
3:50.0,,,16-23,,Memphis full timeout
3:50.0,,,16-23,,A. Harrison enters the game for D. Brooks
3:27.0,,,16-25,2,M. Chalmers makes 2-pt shot at rim
3:06.0,J. Clarkson misses 3-pt shot from 24 ft,,16-25,,
3:04.0,Offensive rebound by L. Nance,,16-25,,
3:02.0,L. Nance misses 2-pt shot from 1 ft,,16-25,,
2:59.0,,,16-25,,Defensive rebound by M. Gasol
2:57.0,Personal foul by L. Nance (drawn by M. Gasol),,16-25,,
2:49.0,Personal foul by R. Hood (drawn by M. Chalmers),,16-25,,
2:49.0,,,16-25,,D. Davis enters the game for M. Gasol
2:42.0,,,16-25,,M. Chalmers misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by L. James,,16-25,,
2:31.0,J. Clarkson makes 2-pt shot from 17 ft,2,18-25,,
2:13.0,,,18-25,,Turnover by J. Martin (lost ball; steal by L. James)
2:03.0,Turnover by J. Clarkson (lost ball; steal by M. Chalmers),,18-25,,
1:59.0,,,18-27,2,M. Chalmers makes 2-pt shot from 1 ft
1:49.0,R. Hood makes 2-pt shot from 12 ft,2,20-27,,
1:35.0,,,20-27,,A. Harrison misses 2-pt shot at rim (block by G. Hill)
1:35.0,,,20-27,,Offensive rebound by Team
1:35.0,J. Green enters the game for L. James,,20-27,,
1:35.0,,,20-27,,Offensive foul by M. Chalmers (drawn by J. Clarkson)
1:35.0,,,20-27,,Turnover by M. Chalmers (offensive foul)
1:20.0,J. Clarkson misses 2-pt shot from 6 ft,,20-27,,
1:16.0,Offensive rebound by L. Nance,,20-27,,
1:16.0,L. Nance misses 2-pt shot at rim,,20-27,,
1:16.0,,,20-27,,Defensive rebound by J. Martin
1:07.0,,,20-27,,A. Harrison misses 2-pt shot from 15 ft
1:04.0,Defensive rebound by J. Green,,20-27,,
0:58.0,G. Hill misses 3-pt shot from 22 ft,,20-27,,
0:58.0,Offensive rebound by L. Nance,,20-27,,
0:43.0,R. Hood misses 3-pt shot from 26 ft,,20-27,,
0:43.0,,,20-27,,Defensive rebound by D. Davis
0:33.0,,,20-27,,Turnover by M. Chalmers (bad pass; steal by L. Nance)
0:27.0,Turnover by G. Hill (lost ball; steal by M. Chalmers),,20-27,,
0:04.0,,,20-27,,A. Harrison misses 2-pt shot from 2 ft (block by J. Clarkson)
0:04.0,,,20-27,,Offensive rebound by Team
0:04.0,,,20-27,,Turnover by Team (shot clock)
0:04.0,K. Korver enters the game for G. Hill,,20-27,,
0:03.0,,,20-27,,Personal take foul by J. Martin (drawn by J. Green)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,R. Hood misses 2-pt shot from 14 ft,,20-27,,
11:45.0,,,20-27,,Defensive rebound by D. Davis
11:25.0,,,20-27,,J. Martin misses 2-pt shot from 15 ft
11:22.0,Defensive rebound by R. Hood,,20-27,,
11:02.0,R. Hood makes 2-pt shot from 6 ft,2,22-27,,
10:51.0,Def 3 sec tech foul by J. Green,,22-27,,
10:51.0,,,22-27,,M. Chalmers misses technical free throw
10:51.0,,,22-27,,Offensive rebound by Team
10:51.0,,,22-27,,J. Green enters the game for J. Martin
10:36.0,,,22-29,2,D. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
10:17.0,J. Clarkson misses 3-pt shot from 26 ft,,22-29,,
10:14.0,Offensive rebound by J. Green,,22-29,,
10:14.0,J. Green makes 2-pt shot at rim,2,24-29,,
9:57.0,,,24-32,3,T. Evans makes 3-pt shot from 25 ft
9:44.0,J. Clarkson misses 2-pt shot from 5 ft,,24-32,,
9:41.0,,,24-32,,Defensive rebound by J. Green
9:33.0,Personal foul by J. Clarkson (drawn by A. Harrison),,24-32,,
9:33.0,,,24-32,,D. Brooks enters the game for M. Chalmers
9:33.0,L. James enters the game for J. Clarkson,,24-32,,
9:21.0,,,24-32,,T. Evans misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by L. James,,24-32,,
9:14.0,K. Korver makes 3-pt shot from 26 ft (assist by L. James),3,27-32,,
8:50.0,,,27-32,,T. Evans misses 2-pt shot from 8 ft
8:47.0,Defensive rebound by J. Green,,27-32,,
8:40.0,K. Korver misses 3-pt shot from 24 ft,,27-32,,
8:36.0,,,27-32,,Defensive rebound by J. Green
8:30.0,,,27-34,2,A. Harrison makes 2-pt shot from 22 ft
8:11.0,J. Green makes 2-pt shot from 20 ft (assist by L. James),2,29-34,,
8:04.0,Personal foul by R. Hood (drawn by A. Harrison),,29-34,,
7:55.0,,,29-34,,D. Brooks misses 3-pt shot from 25 ft
7:51.0,,,29-34,,Offensive rebound by T. Evans
7:42.0,,,29-36,2,A. Harrison makes 2-pt shot from 19 ft (assist by T. Evans)
7:30.0,L. Nance makes 2-pt shot at rim (assist by L. James),2,31-36,,
7:08.0,,,31-36,,Offensive foul by D. Brooks (drawn by K. Korver)
7:08.0,,,31-36,,Turnover by D. Brooks (offensive foul)
7:01.0,L. Nance makes 2-pt shot from 1 ft (assist by L. James),2,33-36,,
6:45.0,,,33-36,,T. Evans misses 2-pt shot from 3 ft
6:42.0,Defensive rebound by L. James,,33-36,,
6:39.0,L. Nance misses 2-pt shot from 4 ft (block by J. Green),,33-36,,
6:35.0,,,33-36,,Defensive rebound by D. Brooks
6:33.0,,,33-38,2,J. Green makes 2-pt shot at rim (assist by D. Davis)
6:22.0,L. James makes 2-pt shot at rim (assist by J. Green),2,35-38,,
6:02.0,,,35-38,,Turnover by T. Evans (bad pass; steal by L. Nance)
5:59.0,Turnover by L. Nance (bad pass; steal by D. Brooks),,35-38,,
5:59.0,,,35-38,,Shooting foul by L. Nance (drawn by D. Brooks)
5:59.0,,,35-38,,Memphis full timeout
5:59.0,,,35-38,,M. Gasol enters the game for A. Harrison
5:59.0,,,35-38,,M. Chalmers enters the game for D. Davis
5:59.0,G. Hill enters the game for L. Nance,,35-38,,
5:59.0,,,35-39,1,D. Brooks makes free throw 1 of 2
5:59.0,,,35-40,1,D. Brooks makes free throw 2 of 2
5:46.0,J. Green misses 2-pt shot from 1 ft,,35-40,,
5:43.0,,,35-40,,Defensive rebound by M. Chalmers
5:36.0,,,35-40,,D. Brooks misses 3-pt shot from 26 ft
5:33.0,Defensive rebound by L. James,,35-40,,
5:29.0,R. Hood makes 3-pt shot from 23 ft (assist by L. James),3,38-40,,
5:11.0,,,38-43,3,J. Green makes 3-pt shot from 26 ft (assist by D. Brooks)
4:55.0,J. Green misses 3-pt shot from 26 ft,,38-43,,
4:52.0,,,38-43,,Defensive rebound by J. Green
4:50.0,,,38-43,,Offensive foul by M. Gasol (drawn by J. Green)
4:50.0,,,38-43,,Turnover by M. Gasol (offensive foul)
4:50.0,,,38-43,,B. McLemore enters the game for D. Brooks
4:50.0,J. Smith enters the game for L. James,,38-43,,
4:42.0,Shooting foul by M. Chalmers (drawn by K. Korver),,38-43,,
4:42.0,K. Korver makes free throw 1 of 3,1,39-43,,
4:42.0,K. Korver makes free throw 2 of 3,1,40-43,,
4:42.0,,,40-43,,J. Martin enters the game for M. Chalmers
4:42.0,K. Korver makes free throw 3 of 3,1,41-43,,
4:22.0,,,41-43,,M. Gasol misses 2-pt shot from 9 ft
4:22.0,,,41-43,,Offensive rebound by Team
4:22.0,Loose ball foul by J. Smith (drawn by J. Green),,41-43,,
4:09.0,,,41-43,,B. McLemore misses 2-pt shot from 1 ft
4:05.0,,,41-43,,Offensive rebound by J. Green
4:03.0,,,41-43,,M. Gasol misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by Team,,41-43,,
4:02.0,,,41-43,,Loose ball foul by J. Green (drawn by J. Smith)
3:55.0,Offensive foul by K. Korver (drawn by B. McLemore),,41-43,,
3:55.0,Turnover by K. Korver (offensive foul),,41-43,,
3:38.0,,,41-46,3,J. Martin makes 3-pt shot from 22 ft (assist by B. McLemore)
3:22.0,R. Hood makes 3-pt shot from 25 ft (assist by J. Smith),3,44-46,,
3:11.0,,,44-48,2,B. McLemore makes 2-pt shot at rim (assist by T. Evans)
3:03.0,J. Smith misses 3-pt shot from 24 ft,,44-48,,
2:59.0,,,44-48,,Defensive rebound by M. Gasol
2:51.0,,,44-48,,Shooting foul by J. Smith (drawn by M. Gasol)
2:51.0,Cleveland full timeout,,44-48,,
2:51.0,,,44-48,,A. Harrison enters the game for J. Green
2:51.0,T. Thompson enters the game for R. Hood,,44-48,,
2:51.0,C. Osman enters the game for K. Korver,,44-48,,
2:51.0,L. James enters the game for J. Green,,44-48,,
2:51.0,,,44-48,,M. Gasol misses free throw 1 of 2
2:51.0,,,44-48,,Offensive rebound by Team
2:51.0,,,44-49,1,M. Gasol makes free throw 2 of 2
2:38.0,G. Hill makes 2-pt shot from 11 ft,2,46-49,,
2:18.0,,,46-49,,M. Gasol misses 2-pt shot from 2 ft (block by T. Thompson)
2:18.0,Defensive rebound by T. Thompson,,46-49,,
2:18.0,,,46-49,,Personal foul by M. Gasol (drawn by T. Thompson)
2:08.0,L. James misses 2-pt shot from 7 ft,,46-49,,
2:05.0,,,46-49,,Defensive rebound by J. Martin
1:51.0,,,46-49,,T. Evans misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by T. Thompson,,46-49,,
1:40.0,G. Hill misses 2-pt shot at rim,,46-49,,
1:38.0,,,46-49,,Defensive rebound by M. Gasol
1:37.0,,,46-49,,Turnover by M. Gasol (bad pass; steal by J. Smith)
1:31.0,G. Hill makes 3-pt shot from 22 ft (assist by L. James),3,49-49,,
1:07.0,,,49-49,,Turnover by Team (shot clock)
1:07.0,,,49-49,,D. Brooks enters the game for T. Evans
0:47.0,,,49-49,,Personal foul by J. Martin (drawn by L. James)
0:34.0,J. Smith makes 3-pt shot from 25 ft,3,52-49,,
0:25.0,,,52-49,,A. Harrison misses 2-pt shot from 2 ft (block by G. Hill)
0:22.0,Defensive rebound by L. James,,52-49,,
0:20.0,L. James misses 2-pt shot from 1 ft (block by B. McLemore),,52-49,,
0:20.0,Offensive rebound by Team,,52-49,,
0:04.0,Shooting foul by J. Martin (drawn by L. James),,52-49,,
0:04.0,L. James makes free throw 1 of 2,1,53-49,,
0:04.0,J. Green enters the game for J. Smith,,53-49,,
0:04.0,L. James makes free throw 2 of 2,1,54-49,,
0:00.0,,,54-49,,A. Harrison misses 3-pt shot from 31 ft
0:00.0,,,54-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,54-49,,Personal foul by A. Harrison (drawn by G. Hill)
11:42.0,,,54-49,,Personal foul by A. Harrison (drawn by G. Hill)
11:28.0,G. Hill misses 3-pt shot from 23 ft,,54-49,,
11:26.0,,,54-49,,Defensive rebound by J. Green
11:11.0,,,54-49,,Turnover by T. Evans (bad pass; steal by C. Osman)
11:06.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,56-49,,
10:49.0,,,56-52,3,M. Gasol makes 3-pt shot from 26 ft (assist by A. Harrison)
10:35.0,Turnover by J. Smith (lost ball; steal by T. Evans),,56-52,,
10:16.0,,,56-52,,D. Brooks misses 2-pt shot from 19 ft
10:13.0,Defensive rebound by C. Osman,,56-52,,
10:09.0,T. Thompson misses 2-pt shot from 1 ft (block by M. Gasol),,56-52,,
10:09.0,,,56-52,,Defensive rebound by Team
9:48.0,,,56-55,3,T. Evans makes 3-pt shot from 25 ft (assist by M. Gasol)
9:31.0,L. James misses 2-pt shot from 17 ft,,56-55,,
9:28.0,,,56-55,,Defensive rebound by M. Gasol
9:19.0,,,56-57,2,T. Evans makes 2-pt shot at rim
9:19.0,,,56-57,,Shooting foul by T. Thompson (drawn by T. Evans)
9:19.0,,,56-58,1,T. Evans makes free throw 1 of 1
9:14.0,,,56-58,,Personal foul by J. Green (drawn by C. Osman)
9:14.0,,,56-58,,Technical foul by T. Evans
9:14.0,G. Hill makes technical free throw,1,57-58,,
9:03.0,C. Osman misses 3-pt shot from 25 ft,,57-58,,
9:01.0,Offensive rebound by G. Hill,,57-58,,
9:01.0,Turnover by G. Hill (bad pass),,57-58,,
8:57.0,Personal foul by J. Smith (drawn by A. Harrison),,57-58,,
8:51.0,Personal foul by C. Osman (drawn by T. Evans),,57-58,,
8:42.0,,,57-60,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans)
8:24.0,J. Smith misses 2-pt shot from 16 ft,,57-60,,
8:22.0,,,57-60,,Defensive rebound by M. Gasol
8:21.0,,,57-60,,Turnover by M. Gasol (bad pass; steal by J. Smith)
8:19.0,J. Smith misses 3-pt shot from 25 ft,,57-60,,
8:19.0,Offensive rebound by Team,,57-60,,
8:19.0,,,57-60,,Loose ball foul by M. Gasol (drawn by T. Thompson)
8:11.0,,,57-60,,Personal foul by J. Green (drawn by J. Smith)
8:11.0,J. Smith makes free throw 1 of 2,1,58-60,,
8:11.0,,,58-60,,J. Martin enters the game for J. Green
8:11.0,J. Smith makes free throw 2 of 2,1,59-60,,
8:07.0,Personal foul by J. Smith (drawn by D. Brooks),,59-60,,
8:07.0,R. Hood enters the game for J. Smith,,59-60,,
7:53.0,,,59-60,,Turnover by D. Brooks (bad pass)
7:53.0,,,59-60,,Loose ball foul by J. Martin (drawn by G. Hill)
7:53.0,G. Hill makes free throw 1 of 2,1,60-60,,
7:53.0,,,60-60,,M. Chalmers enters the game for J. Martin
7:53.0,G. Hill makes free throw 2 of 2,1,61-60,,
7:36.0,,,61-60,,M. Chalmers misses 3-pt shot from 22 ft
7:32.0,Defensive rebound by L. James,,61-60,,
7:28.0,C. Osman makes 2-pt shot at rim (assist by L. James),2,63-60,,
7:07.0,,,63-60,,M. Chalmers misses 2-pt shot from 10 ft
7:03.0,Defensive rebound by L. James,,63-60,,
6:59.0,T. Thompson makes 2-pt shot from 1 ft (assist by C. Osman),2,65-60,,
6:58.0,,,65-60,,Memphis full timeout
6:58.0,,,65-60,,J. Green enters the game for A. Harrison
6:41.0,,,65-60,,D. Brooks misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by T. Thompson,,65-60,,
6:34.0,L. James misses 2-pt shot from 1 ft,,65-60,,
6:30.0,,,65-60,,Defensive rebound by J. Green
6:24.0,,,65-60,,Turnover by M. Gasol (turnover)
6:12.0,R. Hood misses 2-pt shot from 14 ft,,65-60,,
6:09.0,,,65-60,,Defensive rebound by J. Green
6:02.0,,,65-63,3,T. Evans makes 3-pt shot from 25 ft
5:45.0,Offensive foul by T. Thompson (drawn by M. Chalmers),,65-63,,
5:45.0,Turnover by T. Thompson (offensive foul),,65-63,,
5:45.0,,,65-63,,B. McLemore enters the game for J. Green
5:32.0,,,65-63,,M. Gasol misses 2-pt shot from 3 ft (block by C. Osman)
5:28.0,Defensive rebound by C. Osman,,65-63,,
5:28.0,Offensive foul by T. Thompson (drawn by M. Chalmers),,65-63,,
5:28.0,Turnover by T. Thompson (offensive foul),,65-63,,
5:28.0,,,65-63,,Technical foul by M. Gasol
5:28.0,G. Hill makes technical free throw,1,66-63,,
5:17.0,,,66-63,,Shooting foul by T. Thompson (drawn by M. Gasol)
5:17.0,,,66-64,1,M. Gasol makes free throw 1 of 2
5:17.0,L. Nance enters the game for T. Thompson,,66-64,,
5:17.0,,,66-65,1,M. Gasol makes free throw 2 of 2
5:05.0,L. James makes 2-pt shot from 1 ft,2,68-65,,
4:55.0,,,68-65,,Turnover by M. Gasol (lost ball; steal by R. Hood)
4:37.0,C. Osman makes 3-pt shot from 25 ft (assist by L. James),3,71-65,,
4:18.0,,,71-67,2,T. Evans makes 2-pt shot from 1 ft
3:56.0,C. Osman makes 3-pt shot from 25 ft (assist by L. James),3,74-67,,
3:31.0,,,74-67,,T. Evans misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by L. Nance,,74-67,,
3:13.0,R. Hood misses 3-pt shot from 25 ft,,74-67,,
3:11.0,Offensive rebound by Team,,74-67,,
3:11.0,,,74-67,,Loose ball foul by M. Chalmers (drawn by L. Nance)
3:11.0,L. Nance makes free throw 1 of 2,1,75-67,,
3:11.0,,,75-67,,A. Harrison enters the game for T. Evans
3:11.0,,,75-67,,J. Martin enters the game for D. Brooks
3:11.0,L. Nance makes free throw 2 of 2,1,76-67,,
3:06.0,Personal foul by G. Hill (drawn by A. Harrison),,76-67,,
3:06.0,,,76-68,1,A. Harrison makes free throw 1 of 2
3:06.0,,,76-69,1,A. Harrison makes free throw 2 of 2
2:53.0,Shooting foul by A. Harrison (drawn by G. Hill),,76-69,,
2:53.0,Cleveland full timeout,,76-69,,
2:53.0,J. Clarkson enters the game for C. Osman,,76-69,,
2:53.0,G. Hill makes free throw 1 of 2,1,77-69,,
2:53.0,G. Hill misses free throw 2 of 2,,77-69,,
2:51.0,,,77-69,,Defensive rebound by J. Martin
2:36.0,,,77-69,,M. Chalmers misses 2-pt shot from 12 ft
2:33.0,Defensive rebound by L. James,,77-69,,
2:31.0,J. Clarkson misses 3-pt shot from 25 ft,,77-69,,
2:28.0,Offensive rebound by G. Hill,,77-69,,
2:28.0,G. Hill misses 2-pt shot at rim,,77-69,,
2:28.0,,,77-69,,Defensive rebound by Team
2:16.0,,,77-69,,A. Harrison misses 3-pt shot from 27 ft
2:12.0,,,77-69,,Offensive rebound by J. Martin
1:59.0,,,77-71,2,M. Gasol makes 2-pt shot from 13 ft
1:39.0,L. Nance misses 2-pt shot from 17 ft,,77-71,,
1:36.0,,,77-71,,Defensive rebound by B. McLemore
1:15.0,,,77-71,,B. McLemore misses 2-pt shot from 21 ft
1:12.0,Defensive rebound by R. Hood,,77-71,,
1:07.0,J. Clarkson makes 3-pt shot from 23 ft (assist by L. James),3,80-71,,
0:45.0,,,80-71,,A. Harrison misses 2-pt shot at rim
0:43.0,Defensive rebound by L. James,,80-71,,
0:37.0,J. Clarkson makes 3-pt shot from 23 ft (assist by R. Hood),3,83-71,,
0:23.0,,,83-71,,M. Chalmers misses 2-pt shot from 22 ft
0:18.0,Defensive rebound by R. Hood,,83-71,,
0:16.0,L. James makes 2-pt shot from 1 ft (assist by R. Hood),2,85-71,,
0:03.0,,,85-71,,M. Chalmers misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by L. James,,85-71,,
0:00.0,L. James misses 3-pt shot from 38 ft,,85-71,,
0:00.0,Offensive rebound by Team,,85-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,85-71,,Turnover by M. Chalmers (step out of bounds)
11:34.0,R. Hood misses 2-pt shot from 7 ft,,85-71,,
11:32.0,,,85-71,,Defensive rebound by T. Evans
11:30.0,,,85-71,,Turnover by T. Evans (bad pass)
11:16.0,L. Nance makes 2-pt shot from 12 ft (assist by J. Clarkson),2,87-71,,
11:01.0,,,87-71,,J. Martin misses 2-pt shot at rim
10:59.0,Defensive rebound by J. Green,,87-71,,
10:53.0,R. Hood misses 3-pt shot from 22 ft,,87-71,,
10:50.0,,,87-71,,Defensive rebound by T. Evans
10:44.0,,,87-73,2,D. Davis makes 2-pt shot at rim (assist by T. Evans)
10:39.0,Turnover by J. Clarkson (lost ball; steal by B. McLemore),,87-73,,
10:34.0,,,87-73,,B. McLemore misses 2-pt shot from 1 ft
10:30.0,Defensive rebound by K. Korver,,87-73,,
10:30.0,J. Clarkson misses 2-pt shot from 1 ft (block by D. Davis),,87-73,,
10:30.0,Offensive rebound by Team,,87-73,,
10:30.0,Technical foul by J. Clarkson,,87-73,,
10:30.0,,,87-74,1,T. Evans makes technical free throw
10:23.0,,,87-74,,Personal foul by J. Martin (drawn by J. Green)
10:23.0,,,87-74,,J. Green enters the game for J. Martin
10:23.0,,,87-74,,D. Brooks enters the game for M. Chalmers
10:16.0,R. Hood misses 2-pt shot at rim,,87-74,,
10:16.0,,,87-74,,Defensive rebound by Team
10:16.0,Loose ball foul by L. Nance (drawn by D. Davis),,87-74,,
10:06.0,,,87-74,,J. Green misses 3-pt shot from 22 ft
10:02.0,Defensive rebound by L. Nance,,87-74,,
9:59.0,Shooting foul by D. Brooks (drawn by J. Green),,87-74,,
9:59.0,J. Green makes free throw 1 of 2,1,88-74,,
9:59.0,J. Green makes free throw 2 of 2,1,89-74,,
9:59.0,L. James enters the game for R. Hood,,89-74,,
9:53.0,Personal foul by K. Korver (drawn by D. Brooks),,89-74,,
9:43.0,,,89-74,,T. Evans misses 2-pt shot from 20 ft
9:43.0,Defensive rebound by Team,,89-74,,
9:43.0,,,89-74,,Loose ball foul by B. McLemore (drawn by J. Clarkson)
9:34.0,Turnover by J. Clarkson (turnover),,89-74,,
9:34.0,Loose ball foul by J. Green (drawn by J. Green),,89-74,,
9:27.0,,,89-74,,B. McLemore misses 2-pt shot from 18 ft
9:23.0,,,89-74,,Offensive rebound by J. Green
9:23.0,,,89-74,,J. Green misses 2-pt shot at rim
9:23.0,,,89-74,,Offensive rebound by J. Green
9:23.0,,,89-74,,Shooting foul by J. Green (drawn by J. Green)
9:23.0,,,89-75,1,J. Green makes free throw 1 of 2
9:23.0,,,89-76,1,J. Green makes free throw 2 of 2
9:06.0,Turnover by L. James (lost ball; steal by T. Evans),,89-76,,
8:59.0,,,89-76,,J. Green misses 3-pt shot from 22 ft
8:56.0,Defensive rebound by J. Clarkson,,89-76,,
8:52.0,J. Clarkson makes 2-pt shot from 2 ft,2,91-76,,
8:33.0,,,91-76,,D. Brooks misses 2-pt shot at rim (block by L. Nance)
8:29.0,Defensive rebound by K. Korver,,91-76,,
8:25.0,J. Green misses 2-pt shot from 19 ft,,91-76,,
8:22.0,,,91-76,,Defensive rebound by D. Davis
8:17.0,,,91-78,2,D. Davis makes 2-pt shot at rim (assist by T. Evans)
8:16.0,Cleveland full timeout,,91-78,,
8:02.0,J. Green misses 2-pt shot from 11 ft,,91-78,,
7:58.0,,,91-78,,Defensive rebound by T. Evans
7:48.0,,,91-78,,Turnover by B. McLemore (bad pass; steal by L. Nance)
7:45.0,J. Clarkson makes 2-pt shot from 1 ft (assist by L. Nance),2,93-78,,
7:44.0,,,93-78,,Memphis full timeout
7:44.0,,,93-78,,A. Harrison enters the game for T. Evans
7:44.0,G. Hill enters the game for J. Green,,93-78,,
7:31.0,,,93-78,,Turnover by J. Green (lost ball; steal by K. Korver)
7:16.0,L. James misses 2-pt shot from 6 ft,,93-78,,
7:13.0,Offensive rebound by L. Nance,,93-78,,
7:13.0,L. Nance makes 2-pt shot at rim,2,95-78,,
6:50.0,,,95-78,,J. Green misses 2-pt shot from 1 ft (block by G. Hill)
6:47.0,Defensive rebound by L. Nance,,95-78,,
6:37.0,,,95-78,,Personal foul by J. Green (drawn by J. Clarkson)
6:37.0,,,95-78,,M. Gasol enters the game for D. Davis
6:24.0,L. James makes 2-pt shot from 1 ft,2,97-78,,
5:57.0,,,97-78,,A. Harrison misses 2-pt shot from 16 ft
5:54.0,Defensive rebound by J. Clarkson,,97-78,,
5:46.0,J. Clarkson misses 3-pt shot from 25 ft,,97-78,,
5:42.0,,,97-78,,Defensive rebound by D. Brooks
5:38.0,,,97-78,,M. Gasol misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by J. Clarkson,,97-78,,
5:31.0,L. Nance makes 2-pt shot from 1 ft (assist by J. Clarkson),2,99-78,,
