time,San Antonio,pts.away,score,pts.home,Detroit
3:53.0,Personal foul by K. Anderson (drawn by L. Kennard),,69-85,,
3:53.0,J. Lauvergne enters the game for L. Aldridge,,69-85,,
3:45.0,,,69-88,3,R. Bullock makes 3-pt shot from 24 ft (assist by T. Harris)
3:17.0,K. Anderson makes 2-pt shot from 8 ft,2,71-88,,
2:58.0,,,71-88,,I. Smith misses 2-pt shot from 7 ft
2:57.0,Defensive rebound by D. Murray,,71-88,,
2:52.0,K. Anderson misses 3-pt shot from 23 ft,,71-88,,
2:48.0,,,71-88,,Defensive rebound by I. Smith
2:37.0,Personal foul by K. Anderson (drawn by T. Harris),,71-88,,
2:31.0,,,71-88,,I. Smith misses 2-pt shot from 11 ft (block by D. Murray)
2:29.0,Defensive rebound by D. Murray,,71-88,,
2:20.0,D. Murray makes 2-pt shot from 2 ft (assist by J. Lauvergne),2,73-88,,
2:04.0,Personal foul by B. Paul (drawn by I. Smith),,73-88,,
2:04.0,,,73-89,1,I. Smith makes free throw 1 of 2
2:04.0,,,73-89,,A. Tolliver enters the game for T. Harris
2:04.0,,,73-90,1,I. Smith makes free throw 2 of 2
1:58.0,D. Murray makes 2-pt shot from 1 ft,2,75-90,,
1:51.0,Personal foul by D. Murray (drawn by I. Smith),,75-90,,
1:51.0,,,75-91,1,I. Smith makes free throw 1 of 2
1:51.0,D. Bertans enters the game for K. Anderson,,75-91,,
1:51.0,,,75-92,1,I. Smith makes free throw 2 of 2
1:42.0,Turnover by D. Murray (lost ball; steal by A. Tolliver),,75-92,,
1:30.0,,,75-92,,R. Bullock misses 3-pt shot from 22 ft
1:28.0,,,75-92,,Offensive rebound by A. Drummond
1:28.0,,,75-92,,Shooting foul by J. Lauvergne (drawn by A. Drummond)
1:28.0,,,75-93,1,A. Drummond makes free throw 1 of 2
1:28.0,,,75-93,,D. Buycks enters the game for L. Kennard
1:28.0,,,75-93,,L. Montero enters the game for I. Smith
1:28.0,,,75-93,,L. Galloway enters the game for R. Bullock
1:28.0,,,75-93,,A. Drummond misses free throw 2 of 2
1:26.0,Defensive rebound by J. Lauvergne,,75-93,,
1:18.0,B. Forbes misses 2-pt shot from 13 ft,,75-93,,
1:15.0,,,75-93,,Defensive rebound by A. Tolliver
1:08.0,,,75-93,,Turnover by L. Montero (step out of bounds)
1:08.0,,,75-93,,H. Ellenson enters the game for A. Drummond
0:56.0,B. Forbes makes 2-pt shot from 1 ft (assist by J. Lauvergne),2,77-93,,
0:46.0,,,77-93,,H. Ellenson misses 2-pt shot from 18 ft
