time,Milwaukee,pts.away,score,pts.home,LA Lakers
5:12.0,,,22-23,2,B. Lopez makes 2-pt shot from 4 ft (assist by B. Ingram)
4:57.0,E. Bledsoe makes 3-pt shot from 26 ft (assist by K. Middleton),3,25-23,,
4:39.0,,,25-23,,Turnover by B. Ingram (bad pass; steal by K. Middleton)
4:33.0,J. Parker makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,27-23,,
4:32.0,,,27-23,,LA Lakers full timeout
4:32.0,,,27-23,,A. Caruso enters the game for B. Ingram
4:32.0,J. Terry enters the game for T. Snell,,27-23,,
4:32.0,M. Plumlee enters the game for T. Zeller,,27-23,,
4:22.0,,,27-25,2,B. Lopez makes 2-pt shot at rim
4:22.0,,,27-25,,Shooting foul by M. Plumlee (drawn by B. Lopez)
4:22.0,,,27-26,1,B. Lopez makes free throw 1 of 1
4:07.0,E. Bledsoe makes 2-pt shot from 3 ft (assist by J. Parker),2,29-26,,
3:59.0,Personal foul by J. Parker (drawn by J. Randle),,29-26,,
3:59.0,,,29-26,,J. Hart enters the game for J. Randle
3:59.0,B. Jennings enters the game for E. Bledsoe,,29-26,,
3:54.0,,,29-26,,Turnover by A. Caruso (bad pass; steal by J. Terry)
3:30.0,K. Middleton misses 2-pt shot from 3 ft,,29-26,,
3:28.0,,,29-26,,Defensive rebound by K. Caldwell-Pope
3:24.0,,,29-28,2,J. Hart makes 2-pt shot at rim (assist by K. Caldwell-Pope)
3:09.0,,,29-28,,I. Zubac enters the game for B. Lopez
3:00.0,J. Parker misses 3-pt shot from 24 ft,,29-28,,
2:57.0,,,29-28,,Defensive rebound by J. Hart
2:55.0,Violation by K. Middleton (kicked ball),,29-28,,
2:46.0,,,29-28,,I. Zubac misses 2-pt shot from 1 ft
2:43.0,,,29-28,,Offensive rebound by Team
2:36.0,,,29-30,2,J. Hart makes 2-pt shot from 1 ft
2:20.0,J. Terry misses 3-pt shot from 26 ft,,29-30,,
2:17.0,,,29-30,,Defensive rebound by K. Kuzma
2:11.0,,,29-30,,J. Hart misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by B. Jennings,,29-30,,
1:56.0,K. Middleton makes 2-pt shot from 5 ft,2,31-30,,
1:56.0,Shooting foul by A. Caruso (drawn by K. Middleton),,31-30,,
1:56.0,,,31-30,,T. Ennis enters the game for K. Caldwell-Pope
1:56.0,K. Middleton makes free throw 1 of 1,1,32-30,,
1:43.0,,,32-30,,Turnover by T. Ennis (bad pass; steal by K. Middleton)
1:40.0,K. Middleton makes 2-pt shot from 1 ft (assist by J. Terry),2,34-30,,
1:40.0,Shooting foul by K. Kuzma (drawn by K. Middleton),,34-30,,
1:40.0,K. Middleton makes free throw 1 of 1,1,35-30,,
1:23.0,,,35-32,2,T. Ennis makes 2-pt shot from 7 ft
1:04.0,B. Jennings misses 2-pt shot from 18 ft,,35-32,,
1:02.0,,,35-32,,Defensive rebound by J. Hart
0:56.0,,,35-32,,J. Hart misses 3-pt shot from 27 ft
0:52.0,Defensive rebound by B. Jennings,,35-32,,
0:46.0,K. Middleton misses 3-pt shot from 26 ft,,35-32,,
0:42.0,Offensive rebound by J. Parker,,35-32,,
0:38.0,J. Parker makes 2-pt shot from 2 ft,2,37-32,,
0:25.0,,,37-34,2,K. Kuzma makes 2-pt shot from 3 ft (assist by T. Ennis)
0:03.0,K. Middleton makes 2-pt shot from 5 ft,2,39-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Parker misses 2-pt shot from 3 ft,,39-34,,
11:37.0,,,39-34,,Defensive rebound by J. Randle
11:32.0,,,39-34,,J. Randle misses 2-pt shot from 3 ft
11:30.0,Defensive rebound by G. Antetokounmpo,,39-34,,
11:29.0,,,39-34,,Personal foul by T. Ennis (drawn by G. Antetokounmpo)
11:18.0,J. Parker misses 2-pt shot from 16 ft,,39-34,,
11:15.0,,,39-34,,Defensive rebound by J. Hart
10:58.0,,,39-34,,J. Randle misses 2-pt shot from 7 ft
10:55.0,Defensive rebound by J. Terry,,39-34,,
10:54.0,,,39-34,,Personal block foul by A. Caruso (drawn by G. Antetokounmpo)
10:50.0,Shooting foul by A. Caruso (drawn by B. Jennings),,39-34,,
10:50.0,B. Jennings makes free throw 1 of 2,1,40-34,,
10:50.0,B. Jennings makes free throw 2 of 2,1,41-34,,
10:37.0,,,41-34,,C. Frye misses 3-pt shot from 26 ft
10:35.0,Defensive rebound by M. Plumlee,,41-34,,
10:28.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,43-34,,
10:14.0,,,43-36,2,T. Ennis makes 2-pt shot from 2 ft
10:06.0,Turnover by B. Jennings (out of bounds lost ball),,43-36,,
10:05.0,Violation by B. Jennings (kicked ball),,43-36,,
9:45.0,,,43-36,,Shooting foul by M. Plumlee (drawn by J. Randle)
9:45.0,,,43-37,1,J. Randle makes free throw 1 of 2
9:45.0,S. Muhammad enters the game for M. Plumlee,,43-37,,
9:45.0,,,43-38,1,J. Randle makes free throw 2 of 2
9:35.0,Offensive foul by B. Jennings (drawn by A. Caruso),,43-38,,
9:35.0,Turnover by B. Jennings (offensive foul),,43-38,,
9:19.0,,,43-38,,T. Ennis misses 3-pt shot from 24 ft
9:17.0,,,43-38,,Offensive rebound by J. Randle
9:17.0,,,43-38,,Shooting foul by G. Antetokounmpo (drawn by J. Randle)
9:17.0,,,43-39,1,J. Randle makes free throw 1 of 2
9:17.0,,,43-40,1,J. Randle makes free throw 2 of 2
9:00.0,S. Muhammad makes 2-pt shot from 1 ft,2,45-40,,
8:50.0,,,45-40,,Turnover by J. Randle (lost ball; steal by B. Jennings)
8:43.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by J. Randle),,45-40,,
8:42.0,Offensive rebound by G. Antetokounmpo,,45-40,,
8:42.0,Shooting foul by J. Randle (drawn by G. Antetokounmpo),,45-40,,
8:42.0,G. Antetokounmpo misses free throw 1 of 2,,45-40,,
8:42.0,Offensive rebound by Team,,45-40,,
8:42.0,,,45-40,,K. Caldwell-Pope enters the game for A. Caruso
8:42.0,G. Antetokounmpo makes free throw 2 of 2,1,46-40,,
8:19.0,,,46-40,,K. Caldwell-Pope misses 3-pt shot from 22 ft
8:17.0,Defensive rebound by G. Antetokounmpo,,46-40,,
8:08.0,J. Parker makes 2-pt shot from 1 ft (assist by J. Terry),2,48-40,,
7:59.0,,,48-40,,Turnover by T. Ennis (bad pass; steal by B. Jennings)
7:59.0,,,48-40,,Personal foul by C. Frye (drawn by G. Antetokounmpo)
7:59.0,G. Antetokounmpo makes free throw 1 of 2,1,49-40,,
7:59.0,S. Brown enters the game for B. Jennings,,49-40,,
7:59.0,,,49-40,,Violation by C. Frye (lane)
7:59.0,G. Antetokounmpo makes free throw 2 of 2,1,50-40,,
7:45.0,,,50-42,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by C. Frye)
7:32.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,50-42,,
7:28.0,,,50-42,,Defensive rebound by K. Caldwell-Pope
7:23.0,,,50-42,,K. Caldwell-Pope misses 3-pt shot from 27 ft
7:19.0,,,50-42,,Offensive rebound by J. Hart
7:18.0,Personal foul by S. Brown (drawn by J. Randle),,50-42,,
7:18.0,,,50-42,,K. Kuzma enters the game for J. Hart
7:18.0,,,50-42,,B. Lopez enters the game for C. Frye
7:18.0,T. Zeller enters the game for J. Terry,,50-42,,
7:08.0,,,50-44,2,B. Lopez makes 2-pt shot from 13 ft
6:53.0,S. Muhammad misses 3-pt shot from 26 ft,,50-44,,
6:51.0,,,50-44,,Defensive rebound by K. Kuzma
6:44.0,,,50-44,,K. Kuzma misses 2-pt shot from 1 ft
6:41.0,Defensive rebound by G. Antetokounmpo,,50-44,,
6:29.0,S. Muhammad makes 2-pt shot from 2 ft (assist by J. Parker),2,52-44,,
6:18.0,,,52-44,,T. Ennis misses 2-pt shot from 2 ft
6:16.0,Defensive rebound by T. Zeller,,52-44,,
6:16.0,Turnover by T. Zeller (lost ball; steal by K. Caldwell-Pope),,52-44,,
6:12.0,,,52-46,2,B. Lopez makes 2-pt shot from 2 ft (assist by T. Ennis)
6:00.0,Shooting foul by K. Caldwell-Pope (drawn by S. Brown),,52-46,,
6:00.0,,,52-46,,LA Lakers full timeout
6:00.0,,,52-46,,B. Ingram enters the game for T. Ennis
6:00.0,S. Brown makes free throw 1 of 2,1,53-46,,
6:00.0,S. Brown makes free throw 2 of 2,1,54-46,,
5:43.0,,,54-46,,K. Caldwell-Pope misses 2-pt shot from 2 ft
5:41.0,Defensive rebound by T. Zeller,,54-46,,
5:39.0,Turnover by G. Antetokounmpo (bad pass),,54-46,,
5:26.0,,,54-46,,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by T. Zeller)
5:22.0,Defensive rebound by S. Muhammad,,54-46,,
5:19.0,S. Brown misses 3-pt shot from 27 ft,,54-46,,
5:14.0,,,54-46,,Defensive rebound by B. Lopez
5:05.0,,,54-46,,B. Lopez misses 3-pt shot from 25 ft
5:02.0,,,54-46,,Offensive rebound by K. Caldwell-Pope
5:00.0,,,54-48,2,B. Lopez makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
4:38.0,S. Muhammad makes 2-pt shot from 3 ft,2,56-48,,
4:14.0,,,56-50,2,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle)
3:55.0,J. Parker misses 2-pt shot from 17 ft,,56-50,,
3:50.0,,,56-50,,Defensive rebound by J. Randle
3:48.0,Personal foul by G. Antetokounmpo (drawn by J. Randle),,56-50,,
3:48.0,K. Middleton enters the game for S. Muhammad,,56-50,,
3:48.0,E. Bledsoe enters the game for S. Brown,,56-50,,
3:41.0,,,56-50,,K. Caldwell-Pope misses 3-pt shot from 27 ft
3:38.0,Defensive rebound by G. Antetokounmpo,,56-50,,
3:28.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,59-50,,
3:13.0,,,59-50,,J. Randle misses 2-pt shot from 2 ft
3:05.0,,,59-50,,Offensive rebound by J. Randle
3:05.0,,,59-50,,J. Randle misses 2-pt shot at rim
3:05.0,,,59-50,,Offensive rebound by K. Kuzma
3:04.0,,,59-52,2,K. Kuzma makes 2-pt shot at rim
3:04.0,T. Snell enters the game for J. Parker,,59-52,,
2:45.0,T. Snell makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,62-52,,
2:26.0,,,62-52,,B. Lopez misses 2-pt shot from 7 ft
2:23.0,Defensive rebound by G. Antetokounmpo,,62-52,,
2:22.0,Shooting foul by B. Lopez (drawn by G. Antetokounmpo),,62-52,,
2:22.0,Milwaukee full timeout,,62-52,,
2:22.0,,,62-52,,Technical foul by K. Caldwell-Pope
2:22.0,,,62-52,,J. Hart enters the game for K. Caldwell-Pope
2:22.0,K. Middleton makes technical free throw,1,63-52,,
2:22.0,,,63-52,,Technical foul by K. Caldwell-Pope
2:22.0,K. Middleton makes technical free throw,1,64-52,,
2:22.0,G. Antetokounmpo makes free throw 1 of 2,1,65-52,,
2:22.0,G. Antetokounmpo makes free throw 2 of 2,1,66-52,,
2:03.0,,,66-52,,B. Ingram misses 2-pt shot from 4 ft (block by T. Zeller)
2:00.0,Defensive rebound by T. Snell,,66-52,,
1:57.0,E. Bledsoe misses 2-pt shot from 3 ft,,66-52,,
1:52.0,Offensive rebound by G. Antetokounmpo,,66-52,,
1:51.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,66-52,,
1:51.0,,,66-52,,Defensive rebound by J. Hart
1:51.0,Personal foul by K. Middleton (drawn by J. Randle),,66-52,,
1:51.0,,,66-52,,J. Randle misses free throw 1 of 2
1:51.0,,,66-52,,Offensive rebound by Team
1:51.0,,,66-53,1,J. Randle makes free throw 2 of 2
1:33.0,K. Middleton misses 2-pt shot from 18 ft,,66-53,,
1:30.0,,,66-53,,Defensive rebound by B. Ingram
1:23.0,,,66-55,2,B. Lopez makes 2-pt shot from 2 ft (assist by B. Ingram)
1:18.0,Shooting foul by J. Hart (drawn by G. Antetokounmpo),,66-55,,
1:18.0,G. Antetokounmpo makes free throw 1 of 2,1,67-55,,
1:18.0,G. Antetokounmpo makes free throw 2 of 2,1,68-55,,
1:03.0,,,68-55,,B. Lopez misses 3-pt shot from 24 ft
0:59.0,,,68-55,,Offensive rebound by K. Kuzma
0:55.0,,,68-57,2,K. Kuzma makes 2-pt shot from 12 ft
0:41.0,E. Bledsoe misses 3-pt shot from 26 ft,,68-57,,
0:34.0,Offensive rebound by G. Antetokounmpo,,68-57,,
0:34.0,G. Antetokounmpo misses 2-pt shot at rim,,68-57,,
0:34.0,,,68-57,,Defensive rebound by J. Hart
0:29.0,,,68-57,,K. Kuzma misses 3-pt shot from 27 ft
0:27.0,,,68-57,,Offensive rebound by J. Randle
0:26.0,,,68-57,,J. Randle misses 2-pt shot from 2 ft
0:26.0,,,68-57,,Offensive rebound by J. Hart
0:01.0,,,68-57,,Turnover by B. Ingram (bad pass; steal by E. Bledsoe)
0:00.0,E. Bledsoe misses 3-pt shot from 41 ft,,68-57,,
0:00.0,Offensive rebound by Team,,68-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,E. Bledsoe makes 3-pt shot from 26 ft (assist by T. Zeller),3,71-57,,
11:28.0,,,71-57,,B. Ingram misses 2-pt shot from 2 ft
11:25.0,Defensive rebound by K. Middleton,,71-57,,
11:22.0,K. Middleton makes 2-pt shot from 2 ft,2,73-57,,
11:22.0,,,73-57,,LA Lakers full timeout
11:09.0,,,73-59,2,K. Kuzma makes 2-pt shot from 4 ft (assist by B. Lopez)
10:48.0,E. Bledsoe misses 2-pt shot from 3 ft (block by B. Lopez),,73-59,,
10:48.0,Offensive rebound by Team,,73-59,,
10:44.0,K. Middleton makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,75-59,,
10:26.0,,,75-62,3,B. Ingram makes 3-pt shot from 25 ft (assist by K. Kuzma)
10:02.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,75-62,,
10:00.0,,,75-62,,Defensive rebound by B. Ingram
9:53.0,,,75-64,2,B. Ingram makes 2-pt shot from 19 ft
9:30.0,K. Middleton misses 2-pt shot from 13 ft,,75-64,,
9:28.0,,,75-64,,Defensive rebound by J. Hart
9:25.0,Personal foul by T. Snell (drawn by B. Lopez),,75-64,,
9:19.0,,,75-64,,B. Lopez misses 2-pt shot from 14 ft
9:19.0,Defensive rebound by Team,,75-64,,
9:10.0,Turnover by K. Middleton (bad pass),,75-64,,
8:50.0,,,75-66,2,B. Lopez makes 2-pt shot from 6 ft (assist by K. Kuzma)
8:30.0,K. Middleton misses 3-pt shot from 22 ft,,75-66,,
8:27.0,,,75-66,,Defensive rebound by K. Kuzma
8:21.0,,,75-66,,Turnover by K. Kuzma (lost ball; steal by E. Bledsoe)
8:18.0,Shooting foul by J. Randle (drawn by G. Antetokounmpo),,75-66,,
8:18.0,G. Antetokounmpo makes free throw 1 of 2,1,76-66,,
8:18.0,G. Antetokounmpo misses free throw 2 of 2,,76-66,,
8:16.0,,,76-66,,Defensive rebound by K. Kuzma
8:02.0,Personal foul by K. Middleton (drawn by B. Ingram),,76-66,,
7:53.0,,,76-66,,B. Lopez misses 2-pt shot from 12 ft
7:51.0,Defensive rebound by G. Antetokounmpo,,76-66,,
7:49.0,,,76-66,,Personal foul by B. Ingram (drawn by G. Antetokounmpo)
7:42.0,,,76-66,,Personal foul by B. Ingram (drawn by G. Antetokounmpo)
7:33.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,79-66,,
7:15.0,Personal foul by G. Antetokounmpo (drawn by J. Randle),,79-66,,
7:03.0,,,79-68,2,K. Kuzma makes 2-pt shot from 15 ft
6:46.0,Turnover by T. Zeller (turnover),,79-68,,
6:26.0,,,79-68,,Turnover by B. Ingram (bad pass; steal by E. Bledsoe)
6:23.0,J. Parker enters the game for G. Antetokounmpo,,79-68,,
6:06.0,E. Bledsoe makes 2-pt shot from 1 ft,2,81-68,,
5:55.0,,,81-68,,Turnover by B. Ingram (bad pass)
5:55.0,,,81-68,,A. Caruso enters the game for B. Ingram
5:47.0,K. Middleton makes 2-pt shot from 15 ft (assist by E. Bledsoe),2,83-68,,
5:34.0,,,83-71,3,J. Hart makes 3-pt shot from 24 ft (assist by B. Lopez)
5:23.0,E. Bledsoe makes 3-pt shot from 27 ft,3,86-71,,
5:07.0,,,86-73,2,K. Kuzma makes 2-pt shot from 2 ft (assist by A. Caruso)
4:58.0,,,86-73,,Personal foul by K. Kuzma (drawn by E. Bledsoe)
4:58.0,B. Jennings enters the game for E. Bledsoe,,86-73,,
4:58.0,J. Terry enters the game for T. Snell,,86-73,,
4:40.0,J. Parker misses 3-pt shot from 24 ft,,86-73,,
4:37.0,,,86-73,,Defensive rebound by A. Caruso
4:32.0,,,86-73,,K. Kuzma misses 3-pt shot from 27 ft
4:30.0,Defensive rebound by J. Parker,,86-73,,
4:29.0,Shooting foul by A. Caruso (drawn by K. Middleton),,86-73,,
4:29.0,K. Middleton makes free throw 1 of 2,1,87-73,,
4:29.0,K. Middleton makes free throw 2 of 2,1,88-73,,
4:18.0,Personal foul by J. Parker (drawn by J. Randle),,88-73,,
4:10.0,,,88-73,,Offensive foul by J. Randle (drawn by J. Parker)
4:10.0,,,88-73,,Turnover by J. Randle (offensive foul)
4:10.0,,,88-73,,C. Frye enters the game for B. Lopez
3:59.0,K. Middleton makes 3-pt shot from 24 ft (assist by T. Zeller),3,91-73,,
3:46.0,,,91-75,2,J. Randle makes 2-pt shot from 4 ft (assist by A. Caruso)
3:37.0,B. Jennings misses 2-pt shot from 14 ft,,91-75,,
3:37.0,,,91-75,,Defensive rebound by Team
3:19.0,,,91-75,,J. Hart misses 2-pt shot from 2 ft
3:16.0,Defensive rebound by B. Jennings,,91-75,,
2:57.0,J. Parker makes 2-pt shot from 2 ft (assist by B. Jennings),2,93-75,,
2:43.0,,,93-75,,C. Frye misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by T. Zeller,,93-75,,
2:36.0,B. Jennings misses 3-pt shot from 25 ft,,93-75,,
2:32.0,,,93-75,,Defensive rebound by K. Kuzma
2:27.0,,,93-75,,Turnover by J. Hart (bad pass; steal by J. Parker)
2:08.0,T. Zeller makes 2-pt shot from 12 ft (assist by B. Jennings),2,95-75,,
2:08.0,,,95-75,,LA Lakers full timeout
2:08.0,,,95-75,,T. Ennis enters the game for K. Kuzma
2:08.0,,,95-75,,I. Zubac enters the game for J. Randle
2:08.0,S. Muhammad enters the game for K. Middleton,,95-75,,
2:08.0,G. Antetokounmpo enters the game for T. Zeller,,95-75,,
1:46.0,,,95-75,,I. Zubac misses 2-pt shot from 5 ft
1:44.0,,,95-75,,Offensive rebound by I. Zubac
1:42.0,Personal foul by B. Jennings (drawn by I. Zubac),,95-75,,
1:42.0,,,95-76,1,I. Zubac makes free throw 1 of 2
1:42.0,,,95-77,1,I. Zubac makes free throw 2 of 2
1:27.0,J. Parker misses 3-pt shot from 27 ft,,95-77,,
1:23.0,,,95-77,,Defensive rebound by C. Frye
1:16.0,,,95-79,2,A. Caruso makes 2-pt shot from 2 ft
0:57.0,S. Muhammad makes 2-pt shot from 2 ft,2,97-79,,
0:46.0,,,97-79,,C. Frye misses 2-pt shot from 19 ft
0:43.0,,,97-79,,Offensive rebound by I. Zubac
0:43.0,,,97-79,,I. Zubac misses 2-pt shot at rim
0:42.0,Defensive rebound by G. Antetokounmpo,,97-79,,
0:39.0,J. Terry misses 3-pt shot from 25 ft,,97-79,,
0:36.0,,,97-79,,Defensive rebound by A. Caruso
0:31.0,,,97-79,,Shooting foul by S. Muhammad (drawn by J. Hart)
0:31.0,,,97-80,1,J. Hart makes free throw 1 of 2
0:31.0,,,97-81,1,J. Hart makes free throw 2 of 2
0:07.0,S. Muhammad misses 2-pt shot from 22 ft,,97-81,,
0:05.0,,,97-81,,Defensive rebound by J. Hart
0:01.0,,,97-83,2,I. Zubac makes 2-pt shot from 2 ft (assist by A. Caruso)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,97-85,2,I. Zubac makes 2-pt shot from 2 ft (assist by A. Caruso)
11:28.0,S. Muhammad misses 2-pt shot from 15 ft,,97-85,,
11:26.0,,,97-85,,Defensive rebound by K. Kuzma
11:13.0,,,97-85,,K. Kuzma misses 3-pt shot from 23 ft
11:10.0,Defensive rebound by J. Parker,,97-85,,
10:55.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Caruso),,97-85,,
10:50.0,,,97-87,2,I. Zubac makes 2-pt shot from 2 ft (assist by A. Caruso)
10:29.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,97-87,,
10:27.0,,,97-87,,Defensive rebound by I. Zubac
10:17.0,,,97-89,2,I. Zubac makes 2-pt shot from 2 ft (assist by K. Kuzma)
10:17.0,Milwaukee full timeout,,97-89,,
10:17.0,E. Bledsoe enters the game for B. Jennings,,97-89,,
10:17.0,K. Middleton enters the game for S. Muhammad,,97-89,,
10:04.0,Turnover by K. Middleton (bad pass; steal by K. Kuzma),,97-89,,
9:59.0,,,97-89,,T. Ennis misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
9:55.0,,,97-89,,Offensive rebound by T. Ennis
9:53.0,,,97-92,3,A. Caruso makes 3-pt shot from 27 ft (assist by T. Ennis)
9:24.0,E. Bledsoe misses 3-pt shot from 25 ft,,97-92,,
9:24.0,,,97-92,,Defensive rebound by A. Caruso
9:05.0,,,97-92,,Turnover by K. Kuzma (bad pass; steal by J. Terry)
9:03.0,T. Zeller enters the game for J. Parker,,97-92,,
8:59.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,99-92,,
8:53.0,,,99-94,2,K. Kuzma makes 2-pt shot from 2 ft (assist by T. Ennis)
8:53.0,,,99-94,,Shooting foul by G. Antetokounmpo (drawn by K. Kuzma)
8:53.0,,,99-95,1,K. Kuzma makes free throw 1 of 1
8:36.0,G. Antetokounmpo makes 2-pt shot from 13 ft,2,101-95,,
8:20.0,,,101-98,3,K. Kuzma makes 3-pt shot from 27 ft (assist by C. Frye)
8:00.0,,,101-98,,Shooting block foul by K. Kuzma (drawn by G. Antetokounmpo)
8:00.0,G. Antetokounmpo makes free throw 1 of 2,1,102-98,,
8:00.0,G. Antetokounmpo misses free throw 2 of 2,,102-98,,
7:57.0,,,102-98,,Defensive rebound by C. Frye
7:48.0,,,102-98,,A. Caruso misses 2-pt shot from 2 ft
7:48.0,,,102-98,,Offensive rebound by I. Zubac
7:48.0,,,102-100,2,I. Zubac makes 2-pt shot at rim
7:48.0,,,102-100,,Shooting foul by K. Middleton (drawn by I. Zubac)
7:48.0,T. Snell enters the game for J. Terry,,102-100,,
7:48.0,,,102-100,,I. Zubac misses free throw 1 of 1
7:46.0,Defensive rebound by K. Middleton,,102-100,,
7:32.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by K. Middleton),2,104-100,,
7:14.0,,,104-100,,K. Kuzma misses 3-pt shot from 26 ft
7:12.0,Defensive rebound by T. Zeller,,104-100,,
6:57.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,104-100,,
6:54.0,,,104-100,,Defensive rebound by I. Zubac
6:52.0,,,104-100,,Shooting foul by T. Zeller (drawn by I. Zubac)
6:52.0,,,104-101,1,I. Zubac makes free throw 1 of 2
6:52.0,,,104-101,,J. Hart enters the game for T. Ennis
6:52.0,,,104-102,1,I. Zubac makes free throw 2 of 2
6:38.0,T. Zeller misses 2-pt shot from 1 ft,,104-102,,
6:35.0,,,104-102,,Defensive rebound by C. Frye
6:25.0,,,104-104,2,I. Zubac makes 2-pt shot from 1 ft (assist by K. Kuzma)
6:25.0,Milwaukee full timeout,,104-104,,
6:25.0,J. Terry enters the game for T. Zeller,,104-104,,
6:12.0,K. Middleton misses 2-pt shot from 10 ft,,104-104,,
6:06.0,Offensive rebound by G. Antetokounmpo,,104-104,,
