time,LA Lakers,pts.away,score,pts.home,Brooklyn
6:36.0,J. Hart makes free throw 2 of 2,1,96-87,,
6:13.0,,,96-87,,D. Russell misses 2-pt shot from 9 ft
6:10.0,Defensive rebound by B. Ingram,,96-87,,
6:02.0,J. Clarkson misses 2-pt shot from 6 ft,,96-87,,
5:58.0,Offensive rebound by J. Clarkson,,96-87,,
5:58.0,J. Clarkson misses 2-pt shot at rim,,96-87,,
5:58.0,,,96-87,,Defensive rebound by S. Dinwiddie
5:53.0,,,96-90,3,D. Russell makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
5:32.0,Turnover by J. Clarkson (bad pass; steal by J. Allen),,96-90,,
5:18.0,,,96-92,2,J. Allen makes 2-pt shot at rim (assist by D. Russell)
5:15.0,LA Lakers full timeout,,96-92,,
5:15.0,B. Lopez enters the game for K. Kuzma,,96-92,,
5:15.0,J. Randle enters the game for L. Nance,,96-92,,
5:05.0,B. Lopez misses 2-pt shot from 4 ft (block by J. Allen),,96-92,,
5:04.0,Offensive rebound by Team,,96-92,,
4:50.0,J. Clarkson misses 3-pt shot from 23 ft,,96-92,,
