time,Miami,pts.away,score,pts.home,Phoenix
6:57.0,,,17-6,2,D. Booker makes 2-pt shot from 6 ft
6:37.0,Turnover by H. Whiteside (bad pass),,17-6,,
6:30.0,,,17-6,,Shooting foul by J. Richardson (drawn by D. Booker)
6:30.0,,,17-7,1,D. Booker makes free throw 1 of 2
6:30.0,W. Ellington enters the game for J. Richardson,,17-7,,
6:30.0,,,17-8,1,D. Booker makes free throw 2 of 2
6:24.0,G. Dragic misses 2-pt shot from 2 ft,,17-8,,
6:21.0,Offensive rebound by J. Winslow,,17-8,,
6:11.0,D. Waiters misses 2-pt shot from 4 ft,,17-8,,
6:09.0,,,17-8,,Defensive rebound by J. Dudley
6:03.0,,,17-8,,Shooting foul by H. Whiteside (drawn by T. Warren)
6:03.0,,,17-9,1,T. Warren makes free throw 1 of 2
6:03.0,J. Johnson enters the game for D. Waiters,,17-9,,
6:03.0,,,17-10,1,T. Warren makes free throw 2 of 2
5:38.0,G. Dragic makes 3-pt shot from 22 ft (assist by J. Winslow),3,20-10,,
5:31.0,,,20-10,,D. Booker misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by J. Winslow,,20-10,,
5:11.0,Turnover by J. Winslow (bad pass; steal by J. Dudley),,20-10,,
5:10.0,,,20-10,,Turnover by J. Dudley (bad pass)
5:10.0,,,20-10,,T. Ulis enters the game for M. James
5:07.0,G. Dragic makes 2-pt shot from 7 ft (assist by J. Winslow),2,22-10,,
5:01.0,,,22-10,,Turnover by T. Ulis (discontinued dribble)
4:45.0,Shooting foul by D. Bender (drawn by H. Whiteside),,22-10,,
4:45.0,H. Whiteside makes free throw 1 of 2,1,23-10,,
4:45.0,H. Whiteside makes free throw 2 of 2,1,24-10,,
4:26.0,,,24-10,,T. Warren misses 2-pt shot from 10 ft
4:22.0,Defensive rebound by J. Johnson,,24-10,,
4:02.0,H. Whiteside misses 2-pt shot from 19 ft,,24-10,,
4:00.0,,,24-10,,Defensive rebound by D. Booker
3:55.0,,,24-10,,D. Bender misses 3-pt shot from 22 ft
3:52.0,,,24-10,,Offensive rebound by J. Dudley
3:50.0,,,24-12,2,J. Dudley makes 2-pt shot from 1 ft
3:37.0,Miami full timeout,,24-12,,
3:37.0,,,24-12,,J. Jackson enters the game for T. Warren
3:27.0,Turnover by H. Whiteside (turnover),,24-12,,
3:11.0,,,24-12,,Shooting foul by H. Whiteside (drawn by D. Bender)
3:11.0,,,24-13,1,D. Bender makes free throw 1 of 2
3:11.0,K. Olynyk enters the game for H. Whiteside,,24-13,,
3:11.0,,,24-13,,D. Bender misses free throw 2 of 2
3:09.0,Defensive rebound by K. Olynyk,,24-13,,
2:56.0,J. Johnson makes 2-pt shot at rim,2,26-13,,
2:44.0,,,26-16,3,J. Dudley makes 3-pt shot from 24 ft (assist by T. Ulis)
2:28.0,J. Johnson makes 3-pt shot from 22 ft (assist by K. Olynyk),3,29-16,,
2:15.0,,,29-18,2,D. Bender makes 2-pt shot from 3 ft (assist by J. Dudley)
2:02.0,Shooting foul by T. Ulis (drawn by G. Dragic),,29-18,,
2:02.0,G. Dragic makes free throw 1 of 2,1,30-18,,
2:02.0,D. Waiters enters the game for J. Winslow,,30-18,,
2:02.0,G. Dragic makes free throw 2 of 2,1,31-18,,
1:57.0,,,31-18,,Shooting foul by G. Dragic (drawn by J. Jackson)
1:57.0,,,31-19,1,J. Jackson makes free throw 1 of 2
1:57.0,,,31-19,,J. Jackson misses free throw 2 of 2
1:55.0,Defensive rebound by J. Johnson,,31-19,,
1:44.0,Turnover by D. Waiters (traveling),,31-19,,
1:29.0,,,31-19,,J. Jackson misses 2-pt shot from 19 ft
1:26.0,Defensive rebound by D. Waiters,,31-19,,
1:19.0,Turnover by K. Olynyk (bad pass; steal by D. Booker),,31-19,,
1:16.0,,,31-21,2,D. Booker makes 2-pt shot from 1 ft
1:03.0,,,31-21,,Personal foul by D. Booker (drawn by D. Waiters)
1:03.0,D. Waiters makes free throw 1 of 2,1,32-21,,
1:03.0,,,32-21,,T. Daniels enters the game for D. Booker
1:03.0,D. Waiters makes free throw 2 of 2,1,33-21,,
0:54.0,,,33-21,,T. Ulis misses 2-pt shot from 12 ft
0:51.0,Defensive rebound by G. Dragic,,33-21,,
0:44.0,G. Dragic misses 3-pt shot from 23 ft,,33-21,,
0:42.0,,,33-21,,Defensive rebound by J. Dudley
0:36.0,,,33-24,3,T. Daniels makes 3-pt shot from 23 ft (assist by T. Ulis)
0:19.0,J. Johnson makes 3-pt shot from 24 ft (assist by D. Waiters),3,36-24,,
0:02.0,,,36-27,3,J. Dudley makes 3-pt shot from 22 ft (assist by J. Jackson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,36-27,,D. Bender misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by W. Ellington,,36-27,,
11:21.0,D. Waiters misses 3-pt shot from 26 ft,,36-27,,
11:17.0,,,36-27,,Defensive rebound by D. Bender
11:11.0,,,36-27,,T. Ulis misses 2-pt shot at rim
11:08.0,Defensive rebound by K. Olynyk,,36-27,,
11:01.0,Turnover by J. Johnson (bad pass),,36-27,,
10:52.0,,,36-29,2,T. Ulis makes 2-pt shot from 9 ft
10:39.0,W. Ellington makes 3-pt shot from 23 ft (assist by J. Johnson),3,39-29,,
10:26.0,,,39-29,,Turnover by J. Jackson (traveling)
10:13.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson),3,42-29,,
9:59.0,,,42-29,,Turnover by J. Jackson (bad pass; steal by J. Johnson)
9:55.0,,,42-29,,Personal foul by J. Jackson (drawn by D. Waiters)
9:54.0,,,42-29,,Personal block foul by J. Jackson (drawn by D. Waiters)
9:51.0,Turnover by D. Waiters (bad pass; steal by T. Daniels),,42-29,,
9:46.0,,,42-29,,Shooting foul by D. Waiters (drawn by J. Dudley)
9:46.0,,,42-30,1,J. Dudley makes free throw 1 of 2
9:46.0,,,42-30,,T. Warren enters the game for J. Jackson
9:46.0,,,42-31,1,J. Dudley makes free throw 2 of 2
9:32.0,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Johnson),3,45-31,,
9:19.0,,,45-31,,J. Dudley misses 2-pt shot from 21 ft
9:16.0,Defensive rebound by K. Olynyk,,45-31,,
9:08.0,D. Waiters makes 2-pt shot from 1 ft,2,47-31,,
9:07.0,,,47-31,,Phoenix full timeout
9:07.0,,,47-31,,M. James enters the game for T. Ulis
9:07.0,,,47-31,,A. Len enters the game for D. Bender
8:55.0,,,47-31,,T. Warren misses 2-pt shot from 11 ft
8:52.0,Defensive rebound by J. Johnson,,47-31,,
8:46.0,D. Waiters misses 2-pt shot from 6 ft,,47-31,,
8:44.0,,,47-31,,Defensive rebound by A. Len
8:39.0,,,47-33,2,T. Warren makes 2-pt shot from 3 ft (assist by M. James)
8:15.0,J. Johnson misses 3-pt shot from 25 ft,,47-33,,
8:13.0,,,47-33,,Defensive rebound by M. James
7:58.0,,,47-36,3,M. James makes 3-pt shot from 26 ft
7:39.0,W. Ellington misses 3-pt shot from 25 ft,,47-36,,
7:38.0,,,47-36,,Defensive rebound by J. Dudley
7:34.0,,,47-39,3,T. Daniels makes 3-pt shot from 23 ft (assist by T. Warren)
7:26.0,Miami full timeout,,47-39,,
7:26.0,G. Dragic enters the game for D. Waiters,,47-39,,
7:26.0,J. Winslow enters the game for J. Johnson,,47-39,,
7:17.0,Shooting foul by A. Len (drawn by K. Olynyk),,47-39,,
7:17.0,K. Olynyk misses free throw 1 of 2,,47-39,,
7:17.0,Offensive rebound by Team,,47-39,,
7:17.0,,,47-39,,M. Chriss enters the game for A. Len
7:17.0,K. Olynyk makes free throw 2 of 2,1,48-39,,
7:03.0,,,48-42,3,T. Daniels makes 3-pt shot from 25 ft (assist by J. Dudley)
6:48.0,K. Olynyk makes 2-pt shot from 2 ft,2,50-42,,
6:28.0,,,50-42,,M. James misses 2-pt shot from 20 ft
6:25.0,Defensive rebound by G. Dragic,,50-42,,
6:13.0,K. Olynyk misses 3-pt shot from 25 ft,,50-42,,
6:08.0,Offensive rebound by J. Richardson,,50-42,,
6:02.0,,,50-42,,Personal foul by M. James (drawn by G. Dragic)
6:02.0,,,50-42,,D. Bender enters the game for J. Dudley
6:02.0,,,50-42,,D. Booker enters the game for T. Warren
6:02.0,H. Whiteside enters the game for K. Olynyk,,50-42,,
5:53.0,Turnover by G. Dragic (bad pass; steal by M. Chriss),,50-42,,
5:47.0,,,50-44,2,D. Bender makes 2-pt shot from 1 ft (assist by D. Booker)
5:31.0,G. Dragic makes 2-pt shot from 2 ft,2,52-44,,
5:16.0,,,52-44,,M. Chriss misses 2-pt shot from 4 ft
5:13.0,Defensive rebound by J. Winslow,,52-44,,
5:09.0,J. Winslow makes 2-pt shot from 2 ft,2,54-44,,
4:56.0,,,54-44,,M. James misses 2-pt shot from 3 ft (block by H. Whiteside)
4:56.0,Defensive rebound by G. Dragic,,54-44,,
4:56.0,,,54-44,,Personal foul by M. Chriss (drawn by G. Dragic)
4:56.0,G. Dragic makes free throw 1 of 2,1,55-44,,
4:56.0,G. Dragic makes free throw 2 of 2,1,56-44,,
4:51.0,,,56-46,2,D. Booker makes 2-pt shot from 12 ft
4:39.0,J. Richardson makes 2-pt shot from 17 ft (assist by J. Winslow),2,58-46,,
4:32.0,,,58-48,2,D. Booker makes 2-pt shot from 6 ft (assist by M. James)
4:14.0,J. Winslow misses 3-pt shot from 26 ft,,58-48,,
4:10.0,Offensive rebound by G. Dragic,,58-48,,
4:09.0,Shooting foul by T. Daniels (drawn by H. Whiteside),,58-48,,
4:09.0,H. Whiteside misses free throw 1 of 2,,58-48,,
4:09.0,Offensive rebound by Team,,58-48,,
4:09.0,H. Whiteside misses free throw 2 of 2,,58-48,,
4:07.0,,,58-48,,Defensive rebound by M. Chriss
4:02.0,,,58-51,3,M. Chriss makes 3-pt shot from 26 ft (assist by D. Booker)
3:44.0,G. Dragic makes 2-pt shot from 1 ft,2,60-51,,
3:31.0,,,60-51,,M. Chriss misses 3-pt shot from 26 ft
3:28.0,Defensive rebound by Team,,60-51,,
3:14.0,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic),2,62-51,,
3:03.0,,,62-51,,D. Booker misses 2-pt shot from 12 ft
3:00.0,Defensive rebound by H. Whiteside,,62-51,,
2:45.0,W. Ellington misses 3-pt shot from 24 ft,,62-51,,
2:42.0,,,62-51,,Defensive rebound by M. Chriss
2:23.0,,,62-54,3,D. Booker makes 3-pt shot from 26 ft (assist by D. Bender)
2:04.0,J. Winslow misses 2-pt shot from 8 ft,,62-54,,
2:02.0,,,62-54,,Defensive rebound by M. Chriss
1:59.0,,,62-54,,D. Booker misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by W. Ellington,,62-54,,
1:45.0,,,62-54,,Personal foul by T. Daniels (drawn by W. Ellington)
1:45.0,W. Ellington makes free throw 1 of 2,1,63-54,,
1:45.0,D. Waiters enters the game for J. Richardson,,63-54,,
1:45.0,J. Johnson enters the game for H. Whiteside,,63-54,,
1:45.0,W. Ellington misses free throw 2 of 2,,63-54,,
1:43.0,,,63-54,,Defensive rebound by M. Chriss
1:34.0,,,63-54,,T. Daniels misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by J. Johnson,,63-54,,
1:10.0,J. Winslow makes 3-pt shot from 25 ft (assist by G. Dragic),3,66-54,,
0:53.0,,,66-54,,M. James misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by J. Winslow,,66-54,,
0:33.0,G. Dragic misses 2-pt shot from 8 ft,,66-54,,
0:30.0,Offensive rebound by J. Johnson,,66-54,,
0:11.0,D. Waiters makes 3-pt shot from 25 ft,3,69-54,,
0:00.0,,,69-54,,D. Booker misses 2-pt shot from 9 ft
0:00.0,Defensive rebound by J. Winslow,,69-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,69-56,2,T. Warren makes 2-pt shot from 10 ft (assist by M. James)
11:19.0,J. Winslow misses 2-pt shot from 4 ft,,69-56,,
11:17.0,,,69-56,,Defensive rebound by M. Chriss
11:14.0,,,69-59,3,M. Chriss makes 3-pt shot from 24 ft (assist by D. Booker)
10:59.0,Turnover by J. Richardson (step out of bounds),,69-59,,
10:45.0,,,69-59,,T. Warren misses 2-pt shot from 10 ft
10:45.0,Defensive rebound by G. Dragic,,69-59,,
10:39.0,G. Dragic makes 2-pt shot from 2 ft,2,71-59,,
10:30.0,,,71-61,2,M. James makes 2-pt shot from 6 ft
10:15.0,Shooting foul by M. Chriss (drawn by J. Winslow),,71-61,,
10:15.0,J. Winslow makes free throw 1 of 2,1,72-61,,
10:15.0,J. Winslow makes free throw 2 of 2,1,73-61,,
9:56.0,,,73-61,,T. Warren misses 2-pt shot from 7 ft
9:53.0,Defensive rebound by H. Whiteside,,73-61,,
9:44.0,H. Whiteside makes 2-pt shot from 4 ft (assist by G. Dragic),2,75-61,,
9:31.0,,,75-61,,M. Chriss misses 2-pt shot from 5 ft (block by H. Whiteside)
9:31.0,Defensive rebound by G. Dragic,,75-61,,
9:24.0,J. Richardson misses 3-pt shot from 23 ft,,75-61,,
9:21.0,Offensive rebound by G. Dragic,,75-61,,
9:08.0,D. Waiters misses 2-pt shot from 17 ft,,75-61,,
9:01.0,,,75-61,,Defensive rebound by M. James
9:01.0,,,75-61,,Shooting foul by D. Waiters (drawn by M. James)
9:01.0,,,75-62,1,M. James makes free throw 1 of 2
9:01.0,,,75-63,1,M. James makes free throw 2 of 2
8:46.0,Shooting foul by M. James (drawn by G. Dragic),,75-63,,
8:46.0,G. Dragic makes free throw 1 of 2,1,76-63,,
8:46.0,G. Dragic makes free throw 2 of 2,1,77-63,,
8:34.0,,,77-66,3,M. James makes 3-pt shot from 23 ft
8:22.0,G. Dragic makes 2-pt shot from 16 ft,2,79-66,,
8:00.0,,,79-69,3,M. Chriss makes 3-pt shot from 22 ft (assist by D. Booker)
7:41.0,J. Winslow misses 3-pt shot from 24 ft,,79-69,,
7:39.0,,,79-69,,Defensive rebound by A. Len
7:31.0,,,79-69,,M. James misses 2-pt shot from 15 ft
7:28.0,Defensive rebound by H. Whiteside,,79-69,,
7:09.0,D. Waiters makes 2-pt shot at rim,2,81-69,,
7:00.0,Personal foul by J. Richardson (drawn by D. Booker),,81-69,,
6:48.0,,,81-69,,M. Chriss misses 3-pt shot from 25 ft
6:44.0,,,81-69,,Offensive rebound by T. Warren
6:43.0,,,81-71,2,T. Warren makes 2-pt shot from 2 ft
6:31.0,H. Whiteside misses 2-pt shot from 15 ft,,81-71,,
6:27.0,,,81-71,,Defensive rebound by M. James
6:20.0,,,81-71,,M. James misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by Team,,81-71,,
6:19.0,,,81-71,,Loose ball foul by A. Len (drawn by H. Whiteside)
6:19.0,,,81-71,,Phoenix full timeout
6:19.0,,,81-71,,D. Bender enters the game for A. Len
6:19.0,W. Ellington enters the game for D. Waiters,,81-71,,
6:19.0,J. Johnson enters the game for J. Richardson,,81-71,,
6:06.0,,,81-71,,Personal foul by D. Booker (drawn by H. Whiteside)
6:02.0,Shooting foul by M. Chriss (drawn by H. Whiteside),,81-71,,
6:02.0,H. Whiteside misses free throw 1 of 2,,81-71,,
6:02.0,Offensive rebound by Team,,81-71,,
6:02.0,H. Whiteside misses free throw 2 of 2,,81-71,,
5:58.0,Offensive rebound by J. Winslow,,81-71,,
5:50.0,W. Ellington makes 3-pt shot from 29 ft (assist by H. Whiteside),3,84-71,,
5:31.0,,,84-73,2,D. Booker makes 2-pt shot from 3 ft
5:14.0,H. Whiteside misses 2-pt shot from 6 ft,,84-73,,
5:12.0,,,84-73,,Defensive rebound by Team
5:12.0,,,84-73,,J. Dudley enters the game for M. Chriss
4:54.0,,,84-73,,D. Booker misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by H. Whiteside,,84-73,,
4:40.0,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic),2,86-73,,
4:24.0,,,86-75,2,D. Booker makes 2-pt shot from 3 ft
3:53.0,Turnover by Team (shot clock),,86-75,,
3:45.0,,,86-75,,D. Booker misses 2-pt shot from 4 ft
3:42.0,,,86-75,,Offensive rebound by T. Warren
3:41.0,,,86-75,,T. Warren misses 2-pt shot from 2 ft
3:39.0,,,86-77,2,T. Warren makes 2-pt shot at rim
3:39.0,Miami full timeout,,86-77,,
3:39.0,K. Olynyk enters the game for H. Whiteside,,86-77,,
3:38.0,,,86-77,,Defensive rebound by T. Warren
3:26.0,,,86-77,,Personal foul by M. James (drawn by G. Dragic)
3:26.0,G. Dragic makes free throw 1 of 2,1,87-77,,
3:26.0,G. Dragic makes free throw 2 of 2,1,88-77,,
3:12.0,,,88-79,2,M. James makes 2-pt shot from 3 ft
2:54.0,G. Dragic misses 3-pt shot from 25 ft,,88-79,,
2:50.0,Offensive rebound by K. Olynyk,,88-79,,
2:46.0,G. Dragic misses 3-pt shot from 25 ft,,88-79,,
2:43.0,,,88-79,,Defensive rebound by D. Booker
2:39.0,,,88-81,2,D. Booker makes 2-pt shot at rim
2:39.0,,,88-81,,Shooting foul by J. Johnson (drawn by D. Booker)
2:39.0,,,88-81,,T. Ulis enters the game for M. James
2:39.0,,,88-81,,D. Booker misses free throw 1 of 1
2:37.0,Defensive rebound by K. Olynyk,,88-81,,
2:26.0,G. Dragic makes 2-pt shot from 4 ft (assist by J. Johnson),2,90-81,,
2:18.0,D. Waiters enters the game for G. Dragic,,90-81,,
2:13.0,,,90-83,2,T. Warren makes 2-pt shot from 9 ft (assist by J. Dudley)
2:03.0,Offensive foul by D. Waiters (drawn by J. Dudley),,90-83,,
2:03.0,Turnover by D. Waiters (offensive foul),,90-83,,
1:52.0,,,90-83,,T. Warren misses 2-pt shot from 11 ft
1:50.0,Defensive rebound by W. Ellington,,90-83,,
1:33.0,D. Waiters makes 2-pt shot from 21 ft,2,92-83,,
1:20.0,,,92-86,3,J. Dudley makes 3-pt shot from 25 ft (assist by D. Booker)
0:56.0,J. Johnson misses 3-pt shot from 22 ft,,92-86,,
0:54.0,Offensive rebound by K. Olynyk,,92-86,,
0:52.0,K. Olynyk makes 2-pt shot from 1 ft,2,94-86,,
0:43.0,,,94-86,,Shooting foul by J. Winslow (drawn by T. Warren)
0:43.0,,,94-86,,T. Warren misses free throw 1 of 2
0:43.0,,,94-86,,Offensive rebound by Team
0:43.0,J. Richardson enters the game for J. Winslow,,94-86,,
0:43.0,,,94-86,,T. Warren misses free throw 2 of 2
0:41.0,Defensive rebound by J. Johnson,,94-86,,
0:34.0,D. Waiters misses 2-pt shot from 5 ft (block by T. Warren),,94-86,,
0:30.0,,,94-86,,Defensive rebound by J. Dudley
0:28.0,,,94-86,,D. Booker misses 2-pt shot from 15 ft
0:25.0,Defensive rebound by J. Johnson,,94-86,,
0:10.0,Offensive foul by D. Waiters (drawn by J. Dudley),,94-86,,
0:10.0,Turnover by D. Waiters (offensive foul),,94-86,,
0:10.0,,,94-86,,J. Jackson enters the game for T. Warren
0:10.0,J. Winslow enters the game for D. Waiters,,94-86,,
0:00.0,,,94-86,,T. Ulis misses 3-pt shot from 25 ft
0:00.0,,,94-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,W. Ellington makes 3-pt shot from 26 ft (assist by K. Olynyk),3,97-86,,
11:23.0,,,97-86,,T. Ulis misses 2-pt shot from 9 ft
11:20.0,Defensive rebound by J. Richardson,,97-86,,
11:09.0,K. Olynyk makes 2-pt shot from 2 ft,2,99-86,,
10:58.0,,,99-86,,J. Dudley misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by D. Waiters,,99-86,,
10:47.0,D. Waiters misses 3-pt shot from 25 ft,,99-86,,
10:44.0,,,99-86,,Defensive rebound by J. Jackson
10:37.0,,,99-86,,Turnover by J. Jackson (out of bounds lost ball)
10:19.0,W. Ellington misses 3-pt shot from 26 ft,,99-86,,
10:17.0,,,99-86,,Defensive rebound by T. Daniels
10:03.0,,,99-86,,Turnover by T. Ulis (bad pass; steal by J. Johnson)
9:55.0,J. Johnson makes 2-pt shot from 1 ft (assist by J. Richardson),2,101-86,,
9:54.0,,,101-86,,Phoenix full timeout
9:29.0,,,101-86,,T. Daniels misses 3-pt shot from 22 ft
9:27.0,Defensive rebound by K. Olynyk,,101-86,,
9:14.0,Offensive charge foul by D. Waiters (drawn by J. Dudley),,101-86,,
9:14.0,Turnover by D. Waiters (offensive foul),,101-86,,
9:14.0,G. Dragic enters the game for D. Waiters,,101-86,,
9:07.0,Personal foul by J. Richardson (drawn by T. Daniels),,101-86,,
9:02.0,,,101-88,2,T. Ulis makes 2-pt shot from 16 ft (assist by J. Dudley)
8:38.0,W. Ellington misses 3-pt shot from 26 ft,,101-88,,
8:35.0,Offensive rebound by K. Olynyk,,101-88,,
8:25.0,W. Ellington misses 3-pt shot from 24 ft,,101-88,,
8:22.0,,,101-88,,Defensive rebound by D. Bender
8:18.0,,,101-88,,T. Ulis misses 2-pt shot from 9 ft
8:18.0,,,101-88,,Offensive rebound by Team
8:18.0,Loose ball foul by K. Olynyk (drawn by J. Dudley),,101-88,,
8:18.0,,,101-88,,D. Booker enters the game for D. Bender
8:05.0,,,101-88,,J. Jackson misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by J. Richardson,,101-88,,
7:53.0,J. Johnson makes 2-pt shot from 1 ft,2,103-88,,
7:53.0,Shooting foul by J. Dudley (drawn by J. Johnson),,103-88,,
7:53.0,J. Johnson makes free throw 1 of 1,1,104-88,,
7:52.0,,,104-88,,A. Len enters the game for J. Dudley
7:52.0,,,104-88,,M. Chriss enters the game for J. Jackson
7:52.0,,,104-88,,T. Warren enters the game for T. Daniels
7:46.0,Personal foul by J. Richardson (drawn by M. Chriss),,104-88,,
7:46.0,J. Winslow enters the game for J. Richardson,,104-88,,
7:40.0,,,104-88,,D. Booker misses 3-pt shot from 23 ft
7:30.0,,,104-88,,Offensive rebound by A. Len
7:30.0,,,104-90,2,A. Len makes 2-pt shot at rim
7:27.0,,,104-90,,Personal foul by M. Chriss (drawn by G. Dragic)
7:20.0,J. Winslow makes 2-pt shot from 3 ft,2,106-90,,
7:10.0,Personal foul by J. Johnson (drawn by D. Booker),,106-90,,
6:59.0,,,106-92,2,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis)
6:59.0,,,106-92,,Shooting foul by W. Ellington (drawn by T. Warren)
6:59.0,,,106-92,,T. Warren misses free throw 1 of 1
6:56.0,Defensive rebound by K. Olynyk,,106-92,,
6:45.0,G. Dragic misses 2-pt shot from 12 ft,,106-92,,
6:42.0,,,106-92,,Defensive rebound by M. Chriss
6:38.0,Personal foul by G. Dragic (drawn by D. Booker),,106-92,,
6:38.0,,,106-93,1,D. Booker makes free throw 1 of 2
6:38.0,H. Whiteside enters the game for K. Olynyk,,106-93,,
6:38.0,,,106-94,1,D. Booker makes free throw 2 of 2
6:23.0,,,106-94,,Personal foul by T. Ulis (drawn by G. Dragic)
6:10.0,G. Dragic misses 2-pt shot from 2 ft,,106-94,,
6:04.0,Offensive rebound by H. Whiteside,,106-94,,
6:04.0,H. Whiteside makes 2-pt shot at rim,2,108-94,,
5:49.0,,,108-94,,Shooting foul by J. Johnson (drawn by D. Booker)
5:49.0,,,108-95,1,D. Booker makes free throw 1 of 2
5:49.0,,,108-95,,M. James enters the game for T. Ulis
5:49.0,,,108-96,1,D. Booker makes free throw 2 of 2
5:38.0,G. Dragic misses 2-pt shot from 1 ft (block by M. Chriss),,108-96,,
5:36.0,,,108-96,,Defensive rebound by D. Booker
5:35.0,Miami full timeout,,108-96,,
5:34.0,,,108-98,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
5:23.0,J. Winslow misses 2-pt shot from 5 ft,,108-98,,
5:23.0,,,108-98,,Defensive rebound by M. Chriss
5:12.0,,,108-100,2,A. Len makes 2-pt shot at rim (assist by M. Chriss)
4:45.0,G. Dragic misses 3-pt shot from 26 ft,,108-100,,
4:45.0,,,108-100,,Defensive rebound by M. Chriss
4:33.0,,,108-100,,T. Warren misses 2-pt shot from 10 ft
4:31.0,Defensive rebound by H. Whiteside,,108-100,,
4:11.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,110-100,,
3:58.0,,,110-100,,Shooting foul by G. Dragic (drawn by M. James)
3:58.0,,,110-101,1,M. James makes free throw 1 of 2
3:58.0,J. Richardson enters the game for W. Ellington,,110-101,,
3:58.0,,,110-102,1,M. James makes free throw 2 of 2
