time,Boston,pts.away,score,pts.home,Oklahoma City
8:53.0,,,47-60,,Oklahoma City full timeout
8:53.0,M. Morris makes free throw 1 of 1,1,48-60,,
8:38.0,,,48-62,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
8:22.0,Shooting foul by S. Adams (drawn by J. Brown),,48-62,,
8:22.0,J. Brown misses free throw 1 of 2,,48-62,,
8:22.0,Offensive rebound by Team,,48-62,,
8:22.0,J. Brown misses free throw 2 of 2,,48-62,,
8:20.0,,,48-62,,Defensive rebound by R. Westbrook
8:04.0,,,48-62,,C. Anthony misses 2-pt shot from 10 ft
8:01.0,Defensive rebound by J. Brown,,48-62,,
7:57.0,Shooting foul by R. Westbrook (drawn by J. Brown),,48-62,,
7:57.0,J. Brown makes free throw 1 of 2,1,49-62,,
7:57.0,M. Smart enters the game for J. Tatum,,49-62,,
7:57.0,J. Brown makes free throw 2 of 2,1,50-62,,
7:47.0,,,50-62,,R. Westbrook misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by J. Brown,,50-62,,
7:35.0,J. Brown misses 3-pt shot from 25 ft,,50-62,,
7:34.0,,,50-62,,Defensive rebound by P. George
7:23.0,,,50-62,,P. George misses 2-pt shot from 17 ft
7:19.0,Defensive rebound by Team,,50-62,,
7:03.0,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford),2,52-62,,
6:52.0,,,52-62,,Shooting foul by A. Horford (drawn by P. George)
6:52.0,,,52-62,,P. George misses free throw 1 of 2
6:52.0,,,52-62,,Offensive rebound by Team
6:52.0,,,52-63,1,P. George makes free throw 2 of 2
6:52.0,,,52-63,,Loose ball foul by S. Adams (drawn by J. Brown)
6:52.0,J. Brown misses free throw 1 of 2,,52-63,,
6:52.0,Offensive rebound by Team,,52-63,,
6:52.0,J. Brown makes free throw 2 of 2,1,53-63,,
6:52.0,,,53-63,,Violation by C. Anthony (lane)
6:41.0,,,53-63,,Turnover by R. Westbrook (bad pass; steal by M. Smart)
6:35.0,M. Morris misses 3-pt shot from 25 ft,,53-63,,
6:32.0,,,53-63,,Defensive rebound by P. George
6:20.0,,,53-63,,C. Anthony misses 2-pt shot from 15 ft
6:19.0,,,53-63,,Offensive rebound by Team
6:19.0,Loose ball foul by J. Brown (drawn by S. Adams),,53-63,,
6:13.0,Personal foul by M. Morris (drawn by C. Anthony),,53-63,,
6:00.0,,,53-63,,C. Anthony misses 2-pt shot from 6 ft
5:58.0,Defensive rebound by J. Brown,,53-63,,
5:53.0,J. Brown misses 2-pt shot from 1 ft,,53-63,,
5:51.0,Offensive rebound by A. Horford,,53-63,,
5:49.0,M. Morris misses 3-pt shot from 25 ft,,53-63,,
5:46.0,,,53-63,,Defensive rebound by P. George
5:39.0,,,53-63,,C. Anthony misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by J. Brown,,53-63,,
5:22.0,Turnover by A. Horford (bad pass; steal by S. Adams),,53-63,,
5:20.0,,,53-65,2,P. George makes 2-pt shot from 1 ft (assist by C. Anthony)
4:58.0,J. Brown makes 3-pt shot from 22 ft (assist by A. Horford),3,56-65,,
4:39.0,,,56-65,,R. Westbrook misses 2-pt shot from 15 ft
4:35.0,,,56-65,,C. Anthony misses 2-pt shot at rim
4:33.0,,,56-65,,Offensive rebound by C. Anthony
4:32.0,Defensive rebound by M. Smart,,56-65,,
4:29.0,K. Irving makes 3-pt shot from 23 ft (assist by J. Brown),3,59-65,,
4:28.0,,,59-65,,Oklahoma City full timeout
4:28.0,,,59-65,,J. Grant enters the game for C. Anthony
4:28.0,A. Baynes enters the game for M. Morris,,59-65,,
4:12.0,,,59-65,,P. George misses 2-pt shot from 16 ft
4:08.0,Defensive rebound by K. Irving,,59-65,,
3:50.0,K. Irving misses 2-pt shot from 12 ft,,59-65,,
3:45.0,,,59-65,,Defensive rebound by P. George
3:38.0,,,59-65,,J. Grant misses 3-pt shot from 23 ft
3:33.0,Defensive rebound by A. Horford,,59-65,,
3:10.0,A. Baynes misses 2-pt shot from 11 ft (block by A. Roberson),,59-65,,
3:07.0,,,59-65,,Defensive rebound by S. Adams
3:04.0,,,59-67,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
2:57.0,K. Irving makes 2-pt shot from 1 ft,2,61-67,,
2:41.0,,,61-67,,R. Westbrook misses 2-pt shot from 15 ft
2:37.0,Defensive rebound by J. Brown,,61-67,,
2:22.0,K. Irving makes 2-pt shot from 19 ft (assist by M. Smart),2,63-67,,
1:56.0,,,63-67,,J. Grant misses 2-pt shot from 1 ft
1:56.0,Defensive rebound by J. Brown,,63-67,,
1:47.0,K. Irving makes 2-pt shot at rim,2,65-67,,
1:29.0,,,65-67,,Shooting foul by A. Baynes (drawn by S. Adams)
1:29.0,,,65-67,,S. Adams misses free throw 1 of 2
1:29.0,,,65-67,,Offensive rebound by Team
1:29.0,,,65-67,,A. Abrines enters the game for R. Westbrook
1:29.0,,,65-67,,R. Felton enters the game for A. Roberson
1:29.0,T. Rozier enters the game for K. Irving,,65-67,,
1:29.0,J. Tatum enters the game for A. Horford,,65-67,,
1:29.0,,,65-68,1,S. Adams makes free throw 2 of 2
1:10.0,A. Baynes misses 2-pt shot from 5 ft,,65-68,,
1:08.0,Offensive rebound by M. Smart,,65-68,,
1:08.0,Shooting foul by A. Abrines (drawn by M. Smart),,65-68,,
1:08.0,M. Smart makes free throw 1 of 2,1,66-68,,
1:08.0,,,66-68,,C. Anthony enters the game for S. Adams
1:08.0,M. Smart makes free throw 2 of 2,1,67-68,,
0:53.0,,,67-71,3,R. Felton makes 3-pt shot from 24 ft (assist by P. George)
0:33.0,T. Rozier misses 3-pt shot from 24 ft,,67-71,,
0:30.0,,,67-71,,Defensive rebound by C. Anthony
0:23.0,,,67-71,,Turnover by R. Felton (bad pass)
0:01.0,M. Smart misses 2-pt shot from 5 ft,,67-71,,
0:01.0,,,67-71,,Defensive rebound by C. Anthony
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,67-71,,C. Anthony misses 2-pt shot from 1 ft (block by A. Baynes)
11:35.0,Defensive rebound by J. Tatum,,67-71,,
11:29.0,T. Rozier misses 2-pt shot from 1 ft (block by A. Abrines),,67-71,,
11:25.0,,,67-71,,Defensive rebound by A. Abrines
11:16.0,,,67-73,2,J. Grant makes 2-pt shot from 13 ft (assist by R. Felton)
11:16.0,,,67-73,,Shooting foul by A. Baynes (drawn by J. Grant)
11:16.0,,,67-73,,J. Grant misses free throw 1 of 1
11:14.0,Defensive rebound by A. Baynes,,67-73,,
10:59.0,J. Tatum misses 2-pt shot from 1 ft,,67-73,,
10:58.0,,,67-73,,Defensive rebound by C. Anthony
10:47.0,,,67-73,,R. Felton misses 2-pt shot from 16 ft
10:43.0,Defensive rebound by A. Baynes,,67-73,,
10:38.0,T. Rozier makes 3-pt shot from 25 ft (assist by M. Smart),3,70-73,,
10:13.0,,,70-73,,C. Anthony misses 2-pt shot from 8 ft
10:11.0,Defensive rebound by A. Baynes,,70-73,,
10:01.0,T. Rozier misses 3-pt shot from 23 ft,,70-73,,
9:58.0,,,70-73,,Defensive rebound by J. Grant
9:49.0,,,70-73,,R. Felton misses 2-pt shot at rim
9:47.0,Defensive rebound by A. Baynes,,70-73,,
9:30.0,A. Baynes makes 2-pt shot at rim (assist by J. Tatum),2,72-73,,
9:10.0,,,72-73,,A. Abrines misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by A. Baynes,,72-73,,
8:52.0,Turnover by J. Tatum (turnover),,72-73,,
8:52.0,,,72-73,,A. Roberson enters the game for A. Abrines
8:38.0,,,72-75,2,J. Grant makes 2-pt shot from 1 ft
8:20.0,M. Smart misses 3-pt shot from 25 ft,,72-75,,
8:17.0,Offensive rebound by M. Smart,,72-75,,
8:16.0,M. Smart misses 2-pt shot from 4 ft,,72-75,,
8:14.0,,,72-75,,Defensive rebound by C. Anthony
7:57.0,,,72-75,,R. Felton misses 2-pt shot from 15 ft
7:55.0,,,72-75,,Offensive rebound by C. Anthony
7:55.0,,,72-77,2,C. Anthony makes 2-pt shot at rim
7:33.0,J. Tatum misses 2-pt shot from 2 ft,,72-77,,
7:31.0,,,72-77,,Defensive rebound by P. Patterson
7:27.0,,,72-77,,C. Anthony misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by J. Tatum,,72-77,,
7:21.0,Boston full timeout,,72-77,,
7:21.0,,,72-77,,P. George enters the game for C. Anthony
7:21.0,,,72-77,,R. Westbrook enters the game for A. Roberson
7:21.0,K. Irving enters the game for M. Smart,,72-77,,
7:21.0,A. Horford enters the game for A. Baynes,,72-77,,
7:05.0,K. Irving makes 2-pt shot from 6 ft,2,74-77,,
6:47.0,,,74-79,2,R. Westbrook makes 2-pt shot at rim
6:32.0,A. Horford makes 2-pt shot from 19 ft (assist by K. Irving),2,76-79,,
6:16.0,,,76-79,,R. Westbrook misses 2-pt shot at rim
6:14.0,Defensive rebound by A. Horford,,76-79,,
5:56.0,S. Ojeleye makes 3-pt shot from 23 ft (assist by T. Rozier),3,79-79,,
5:31.0,,,79-79,,R. Westbrook misses 3-pt shot from 24 ft
5:28.0,,,79-79,,Offensive rebound by P. George
5:20.0,,,79-79,,Turnover by R. Westbrook (lost ball; steal by S. Ojeleye)
5:20.0,,,79-79,,S. Adams enters the game for J. Grant
5:16.0,Jump ball: R. Westbrook vs. S. Ojeleye (T. Rozier gains possession),,,,Jump ball: R. Westbrook vs. S. Ojeleye (T. Rozier gains possession)
4:52.0,A. Horford makes 3-pt shot from 22 ft (assist by K. Irving),3,82-79,,
4:33.0,,,82-81,2,P. George makes 2-pt shot from 1 ft
4:17.0,K. Irving makes 3-pt shot from 25 ft (assist by A. Horford),3,85-81,,
4:17.0,Shooting foul by R. Westbrook (drawn by K. Irving),,85-81,,
4:17.0,J. Brown enters the game for J. Tatum,,85-81,,
4:17.0,K. Irving misses free throw 1 of 1,,85-81,,
4:14.0,Offensive rebound by K. Irving,,85-81,,
4:13.0,K. Irving makes 2-pt shot from 1 ft,2,87-81,,
4:13.0,,,87-81,,Oklahoma City full timeout
4:13.0,,,87-81,,A. Roberson enters the game for R. Felton
4:13.0,,,87-81,,C. Anthony enters the game for P. Patterson
4:00.0,,,87-83,2,P. George makes 2-pt shot at rim (assist by R. Westbrook)
3:42.0,K. Irving misses 2-pt shot from 1 ft,,87-83,,
3:40.0,,,87-83,,Defensive rebound by A. Roberson
3:30.0,,,87-83,,C. Anthony misses 3-pt shot from 22 ft
3:25.0,Defensive rebound by J. Brown,,87-83,,
3:03.0,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving),3,90-83,,
2:43.0,,,90-86,3,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook)
2:17.0,K. Irving makes 2-pt shot from 1 ft,2,92-86,,
2:08.0,,,92-89,3,R. Westbrook makes 3-pt shot from 24 ft
1:48.0,K. Irving misses 3-pt shot from 26 ft,,92-89,,
1:45.0,,,92-89,,Defensive rebound by P. George
1:33.0,,,92-89,,Shooting foul by T. Rozier (drawn by P. George)
1:33.0,,,92-90,1,P. George makes free throw 1 of 2
1:33.0,M. Smart enters the game for T. Rozier,,92-90,,
1:33.0,M. Morris enters the game for S. Ojeleye,,92-90,,
1:33.0,,,92-91,1,P. George makes free throw 2 of 2
1:13.0,A. Horford makes 3-pt shot from 22 ft (assist by M. Smart),3,95-91,,
1:03.0,,,95-91,,R. Westbrook misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by A. Horford,,95-91,,
0:41.0,A. Horford makes 2-pt shot from 17 ft (assist by K. Irving),2,97-91,,
0:41.0,,,97-91,,Oklahoma City full timeout
