time,New York,pts.away,score,pts.home,Memphis
5:27.0,Turnover by J. Jack (lost ball; steal by D. Brooks),,14-15,,
5:21.0,,,14-17,2,T. Evans makes 2-pt shot at rim
5:11.0,Shooting foul by J. Martin (drawn by K. Porzingis),,14-17,,
5:11.0,K. Porzingis makes free throw 1 of 2,1,15-17,,
5:11.0,,,15-17,,W. Selden enters the game for T. Evans
5:11.0,,,15-17,,J. Ennis enters the game for D. Davis
5:11.0,,,15-17,,J. Green enters the game for D. Brooks
5:11.0,T. Hardaway enters the game for C. Lee,,15-17,,
5:11.0,D. McDermott enters the game for L. Thomas,,15-17,,
5:11.0,K. Porzingis makes free throw 2 of 2,1,16-17,,
4:58.0,,,16-17,,J. Martin misses 2-pt shot from 19 ft
4:54.0,Defensive rebound by K. Porzingis,,16-17,,
4:47.0,K. Porzingis makes 2-pt shot from 3 ft (assist by J. Jack),2,18-17,,
4:25.0,,,18-17,,J. Green misses 2-pt shot from 14 ft
4:22.0,Defensive rebound by T. Hardaway,,18-17,,
4:18.0,,,18-17,,Personal foul by J. Green (drawn by K. Porzingis)
4:18.0,,,18-17,,I. Rabb enters the game for J. Green
4:18.0,F. Ntilikina enters the game for J. Jack,,18-17,,
4:14.0,K. Porzingis makes 2-pt shot from 16 ft (assist by F. Ntilikina),2,20-17,,
3:53.0,,,20-20,3,W. Selden makes 3-pt shot from 23 ft (assist by J. Ennis)
3:31.0,T. Hardaway misses 3-pt shot from 26 ft,,20-20,,
3:27.0,,,20-20,,Defensive rebound by M. Chalmers
3:22.0,,,20-22,2,J. Martin makes 2-pt shot at rim
3:06.0,E. Kanter makes 2-pt shot at rim (assist by F. Ntilikina),2,22-22,,
2:58.0,,,22-22,,Shooting foul by F. Ntilikina (drawn by M. Chalmers)
2:58.0,New York full timeout,,22-22,,
2:58.0,M. Beasley enters the game for K. Porzingis,,22-22,,
2:58.0,,,22-23,1,M. Chalmers makes free throw 1 of 2
2:58.0,,,22-24,1,M. Chalmers makes free throw 2 of 2
2:47.0,Turnover by E. Kanter (bad pass),,22-24,,
2:36.0,,,22-26,2,I. Rabb makes 2-pt shot from 6 ft (assist by J. Ennis)
2:36.0,,,22-26,,Shooting foul by M. Beasley (drawn by I. Rabb)
2:36.0,,,22-26,,I. Rabb misses free throw 1 of 1
2:34.0,Defensive rebound by E. Kanter,,22-26,,
2:23.0,E. Kanter makes 2-pt shot at rim,2,24-26,,
2:09.0,,,24-26,,J. Martin misses 2-pt shot from 1 ft
2:06.0,,,24-26,,Offensive rebound by J. Martin
2:05.0,,,24-28,2,J. Martin makes 2-pt shot at rim
1:48.0,D. McDermott misses 2-pt shot from 5 ft,,24-28,,
1:48.0,Offensive rebound by Team,,24-28,,
1:48.0,,,24-28,,Loose ball foul by W. Selden (drawn by E. Kanter)
1:48.0,E. Kanter makes free throw 1 of 2,1,25-28,,
1:48.0,E. Kanter makes free throw 2 of 2,1,26-28,,
1:27.0,,,26-28,,W. Selden misses 2-pt shot from 10 ft
1:24.0,Defensive rebound by M. Beasley,,26-28,,
1:15.0,D. McDermott misses 3-pt shot from 25 ft,,26-28,,
1:13.0,,,26-28,,Defensive rebound by J. Ennis
1:07.0,,,26-30,2,J. Ennis makes 2-pt shot from 22 ft
0:46.0,M. Beasley makes 2-pt shot from 2 ft,2,28-30,,
0:26.0,,,28-30,,Turnover by M. Chalmers (bad pass)
0:08.0,T. Hardaway makes 3-pt shot from 26 ft (assist by D. McDermott),3,31-30,,
0:02.0,,,31-30,,Shooting foul by M. Beasley (drawn by M. Chalmers)
0:02.0,,,31-31,1,M. Chalmers makes free throw 1 of 2
0:02.0,,,31-32,1,M. Chalmers makes free throw 2 of 2
0:00.0,F. Ntilikina misses 3-pt shot from 32 ft,,31-32,,
0:00.0,Offensive rebound by Team,,31-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,31-34,2,D. Davis makes 2-pt shot at rim (assist by J. Martin)
11:39.0,Offensive foul by K. O'Quinn (drawn by W. Selden),,31-34,,
11:39.0,Turnover by K. O'Quinn (offensive foul),,31-34,,
11:24.0,,,31-36,2,J. Martin makes 2-pt shot from 1 ft (assist by J. Ennis)
11:14.0,T. Hardaway misses 3-pt shot from 25 ft,,31-36,,
11:11.0,,,31-36,,Defensive rebound by J. Ennis
11:07.0,,,31-36,,Offensive foul by D. Davis (drawn by T. Hardaway)
11:07.0,,,31-36,,Turnover by D. Davis (offensive foul)
10:54.0,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,33-36,,
10:35.0,,,33-38,2,D. Davis makes 2-pt shot from 1 ft (assist by W. Selden)
10:15.0,Turnover by F. Ntilikina (bad pass; steal by J. Martin),,33-38,,
10:06.0,,,33-38,,A. Harrison misses 2-pt shot at rim
10:04.0,Defensive rebound by F. Ntilikina,,33-38,,
10:02.0,T. Hardaway makes 2-pt shot at rim (assist by F. Ntilikina),2,35-38,,
9:35.0,,,35-40,2,J. Martin makes 2-pt shot from 1 ft
9:35.0,Violation by K. O'Quinn (def goaltending),,35-40,,
9:21.0,T. Hardaway makes 2-pt shot from 2 ft (assist by F. Ntilikina),2,37-40,,
8:55.0,,,37-40,,J. Ennis misses 2-pt shot from 22 ft
8:51.0,Defensive rebound by K. O'Quinn,,37-40,,
8:49.0,,,37-40,,D. Brooks enters the game for W. Selden
8:49.0,,,37-40,,T. Evans enters the game for J. Ennis
8:49.0,C. Lee enters the game for T. Hardaway,,37-40,,
8:44.0,Turnover by D. McDermott (lost ball; steal by D. Brooks),,37-40,,
8:38.0,,,37-40,,A. Harrison misses 2-pt shot from 1 ft
8:35.0,Defensive rebound by F. Ntilikina,,37-40,,
8:19.0,M. Beasley makes 2-pt shot from 12 ft,2,39-40,,
8:13.0,,,39-40,,Memphis full timeout
8:03.0,,,39-43,3,D. Brooks makes 3-pt shot from 25 ft (assist by T. Evans)
7:41.0,F. Ntilikina misses 3-pt shot from 25 ft,,39-43,,
7:41.0,Offensive rebound by K. O'Quinn,,39-43,,
7:34.0,C. Lee misses 3-pt shot from 25 ft,,39-43,,
7:31.0,,,39-43,,Defensive rebound by D. Davis
7:10.0,,,39-43,,J. Martin misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by K. O'Quinn,,39-43,,
6:57.0,K. O'Quinn misses 2-pt shot from 17 ft,,39-43,,
6:54.0,,,39-43,,Defensive rebound by T. Evans
6:46.0,,,39-45,2,T. Evans makes 2-pt shot from 1 ft
6:32.0,,,39-45,,J. Green enters the game for J. Martin
6:32.0,K. Porzingis enters the game for M. Beasley,,39-45,,
6:32.0,E. Kanter enters the game for K. O'Quinn,,39-45,,
6:32.0,L. Thomas enters the game for D. McDermott,,39-45,,
6:20.0,K. Porzingis makes 2-pt shot from 6 ft (assist by F. Ntilikina),2,41-45,,
6:06.0,,,41-45,,Turnover by D. Davis (bad pass; steal by C. Lee)
5:55.0,F. Ntilikina misses 2-pt shot from 15 ft,,41-45,,
5:51.0,,,41-45,,Defensive rebound by A. Harrison
5:42.0,,,41-45,,T. Evans misses 3-pt shot from 26 ft
5:38.0,,,41-45,,Offensive rebound by J. Green
5:34.0,,,41-45,,D. Brooks misses 2-pt shot from 3 ft (block by E. Kanter)
5:32.0,,,41-45,,Offensive rebound by D. Brooks
5:29.0,,,41-45,,J. Green misses 3-pt shot from 22 ft
5:29.0,,,41-45,,Offensive rebound by Team
5:28.0,,,41-45,,I. Rabb enters the game for D. Davis
5:28.0,J. Jack enters the game for F. Ntilikina,,41-45,,
5:18.0,,,41-47,2,T. Evans makes 2-pt shot from 21 ft
5:05.0,Shooting foul by D. Brooks (drawn by C. Lee),,41-47,,
5:05.0,C. Lee makes free throw 1 of 2,1,42-47,,
5:05.0,C. Lee makes free throw 2 of 2,1,43-47,,
4:51.0,Personal foul by L. Thomas (drawn by T. Evans),,43-47,,
4:40.0,,,43-49,2,J. Green makes 2-pt shot from 20 ft (assist by A. Harrison)
4:17.0,E. Kanter makes 2-pt shot from 7 ft (assist by J. Jack),2,45-49,,
3:56.0,,,45-49,,Shooting foul by K. Porzingis (drawn by J. Green)
3:56.0,,,45-50,1,J. Green makes free throw 1 of 2
3:56.0,,,45-50,,M. Chalmers enters the game for A. Harrison
3:56.0,T. Hardaway enters the game for L. Thomas,,45-50,,
3:56.0,,,45-51,1,J. Green makes free throw 2 of 2
3:41.0,E. Kanter misses 2-pt shot from 1 ft (block by I. Rabb),,45-51,,
3:38.0,,,45-51,,Defensive rebound by I. Rabb
3:35.0,,,45-51,,Shooting foul by T. Hardaway (drawn by J. Green)
3:35.0,,,45-52,1,J. Green makes free throw 1 of 2
3:35.0,,,45-52,,J. Green misses free throw 2 of 2
3:33.0,Defensive rebound by E. Kanter,,45-52,,
3:29.0,T. Hardaway makes 2-pt shot at rim (assist by J. Jack),2,47-52,,
3:03.0,,,47-54,2,T. Evans makes 2-pt shot from 21 ft
2:47.0,Shooting foul by T. Evans (drawn by C. Lee),,47-54,,
2:47.0,New York full timeout,,47-54,,
2:47.0,C. Lee makes free throw 1 of 2,1,48-54,,
2:47.0,C. Lee makes free throw 2 of 2,1,49-54,,
2:35.0,,,49-57,3,J. Green makes 3-pt shot from 25 ft (assist by M. Chalmers)
2:12.0,Turnover by J. Jack (lost ball; steal by M. Chalmers),,49-57,,
2:07.0,,,49-59,2,T. Evans makes 2-pt shot at rim
2:00.0,Turnover by C. Lee (bad pass),,49-59,,
1:43.0,,,49-59,,J. Green misses 2-pt shot from 1 ft
1:39.0,,,49-59,,Offensive rebound by I. Rabb
1:39.0,,,49-61,2,I. Rabb makes 2-pt shot at rim
1:27.0,J. Jack makes 2-pt shot from 15 ft,2,51-61,,
1:11.0,,,51-61,,T. Evans misses 2-pt shot from 21 ft
1:08.0,Defensive rebound by T. Hardaway,,51-61,,
0:57.0,,,51-61,,Personal foul by D. Brooks (drawn by J. Jack)
0:57.0,,,51-61,,J. Ennis enters the game for J. Green
0:57.0,,,51-61,,J. Martin enters the game for D. Brooks
0:50.0,K. Porzingis misses 2-pt shot from 9 ft,,51-61,,
0:47.0,,,51-61,,Defensive rebound by T. Evans
0:31.0,,,51-61,,J. Ennis misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by C. Lee,,51-61,,
0:11.0,,,51-61,,Personal foul by J. Ennis (drawn by E. Kanter)
0:11.0,E. Kanter makes free throw 1 of 2,1,52-61,,
0:11.0,,,52-61,,J. Green enters the game for I. Rabb
0:11.0,L. Thomas enters the game for K. Porzingis,,52-61,,
0:11.0,E. Kanter makes free throw 2 of 2,1,53-61,,
0:07.0,Personal take foul by J. Jack (drawn by M. Chalmers),,53-61,,
0:00.0,,,53-61,,J. Ennis misses 2-pt shot from 18 ft
0:00.0,,,53-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,53-64,3,D. Brooks makes 3-pt shot from 25 ft (assist by T. Evans)
11:20.0,J. Jack misses 2-pt shot from 10 ft (block by A. Harrison),,53-64,,
11:17.0,,,53-64,,Defensive rebound by J. Green
11:17.0,,,53-64,,Shooting foul by C. Lee (drawn by A. Harrison)
11:17.0,,,53-64,,A. Harrison misses free throw 1 of 2
11:17.0,,,53-64,,Offensive rebound by Team
11:17.0,,,53-65,1,A. Harrison makes free throw 2 of 2
11:08.0,E. Kanter misses 2-pt shot at rim,,53-65,,
11:04.0,,,53-65,,Defensive rebound by D. Davis
11:01.0,,,53-65,,T. Evans misses 3-pt shot from 25 ft
10:59.0,,,53-65,,Offensive rebound by J. Green
10:56.0,,,53-65,,J. Green misses 2-pt shot from 1 ft (block by L. Thomas)
10:56.0,Defensive rebound by J. Jack,,53-65,,
10:42.0,K. Porzingis misses 3-pt shot from 25 ft,,53-65,,
10:39.0,Offensive rebound by E. Kanter,,53-65,,
10:38.0,E. Kanter misses 2-pt shot from 6 ft,,53-65,,
10:36.0,,,53-65,,Defensive rebound by A. Harrison
10:28.0,,,53-65,,A. Harrison misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by K. Porzingis,,53-65,,
10:14.0,J. Jack misses 2-pt shot from 2 ft,,53-65,,
10:14.0,Offensive rebound by E. Kanter,,53-65,,
10:14.0,Shooting foul by D. Davis (drawn by E. Kanter),,53-65,,
10:14.0,E. Kanter makes free throw 1 of 2,1,54-65,,
10:14.0,,,54-65,,M. Chalmers enters the game for A. Harrison
10:14.0,E. Kanter makes free throw 2 of 2,1,55-65,,
9:56.0,,,55-68,3,J. Green makes 3-pt shot from 22 ft (assist by T. Evans)
9:40.0,C. Lee makes 2-pt shot from 20 ft,2,57-68,,
9:31.0,Personal foul by C. Lee (drawn by D. Brooks),,57-68,,
9:21.0,,,57-70,2,D. Davis makes 2-pt shot at rim (assist by T. Evans)
9:08.0,K. Porzingis makes 3-pt shot from 27 ft (assist by L. Thomas),3,60-70,,
8:42.0,,,60-73,3,J. Green makes 3-pt shot from 26 ft (assist by M. Chalmers)
8:41.0,New York full timeout,,60-73,,
8:31.0,C. Lee misses 2-pt shot from 15 ft,,60-73,,
8:28.0,,,60-73,,Defensive rebound by J. Green
8:19.0,,,60-73,,Turnover by D. Brooks (bad pass)
8:08.0,Turnover by E. Kanter (lost ball; steal by M. Chalmers),,60-73,,
8:02.0,,,60-73,,D. Brooks misses 3-pt shot from 25 ft
8:00.0,,,60-73,,Offensive rebound by J. Green
7:59.0,,,60-73,,J. Green misses 2-pt shot from 1 ft (block by L. Thomas)
7:59.0,,,60-73,,Offensive rebound by Team
7:42.0,,,60-73,,T. Evans misses 2-pt shot from 3 ft
7:39.0,Defensive rebound by K. Porzingis,,60-73,,
7:30.0,Turnover by J. Jack (out of bounds lost ball),,60-73,,
7:16.0,,,60-76,3,D. Brooks makes 3-pt shot from 25 ft (assist by M. Chalmers)
6:59.0,J. Jack misses 2-pt shot from 20 ft,,60-76,,
6:55.0,,,60-76,,Defensive rebound by D. Brooks
6:52.0,,,60-76,,J. Martin enters the game for J. Green
6:52.0,T. Hardaway enters the game for L. Thomas,,60-76,,
6:46.0,,,60-78,2,D. Brooks makes 2-pt shot from 1 ft
6:28.0,K. Porzingis misses 2-pt shot from 10 ft,,60-78,,
6:25.0,Offensive rebound by E. Kanter,,60-78,,
6:24.0,Turnover by E. Kanter (lost ball; steal by T. Evans),,60-78,,
6:09.0,,,60-78,,M. Chalmers misses 2-pt shot from 1 ft (block by K. Porzingis)
6:06.0,Defensive rebound by K. Porzingis,,60-78,,
6:01.0,Shooting foul by M. Chalmers (drawn by T. Hardaway),,60-78,,
6:01.0,T. Hardaway makes free throw 1 of 2,1,61-78,,
6:01.0,,,61-78,,A. Harrison enters the game for T. Evans
6:01.0,F. Ntilikina enters the game for J. Jack,,61-78,,
6:01.0,T. Hardaway makes free throw 2 of 2,1,62-78,,
5:45.0,,,62-78,,D. Davis misses 2-pt shot from 2 ft (block by K. Porzingis)
5:42.0,Defensive rebound by K. Porzingis,,62-78,,
5:39.0,K. Porzingis misses 3-pt shot from 25 ft,,62-78,,
5:36.0,,,62-78,,Defensive rebound by J. Martin
5:31.0,,,62-78,,Memphis full timeout
5:23.0,,,62-78,,D. Brooks misses 2-pt shot from 10 ft
5:17.0,,,62-78,,Offensive rebound by J. Martin
5:17.0,,,62-80,2,J. Martin makes 2-pt shot at rim
5:04.0,K. Porzingis misses 3-pt shot from 26 ft,,62-80,,
5:01.0,,,62-80,,Defensive rebound by M. Chalmers
4:56.0,,,62-80,,M. Chalmers misses 2-pt shot from 3 ft (block by K. Porzingis)
4:52.0,,,62-80,,Offensive rebound by D. Brooks
4:41.0,,,62-80,,D. Brooks misses 3-pt shot from 26 ft (block by K. Porzingis)
4:38.0,Defensive rebound by C. Lee,,62-80,,
4:35.0,C. Lee makes 2-pt shot from 3 ft,2,64-80,,
4:16.0,,,64-82,2,J. Martin makes 2-pt shot at rim
4:00.0,Turnover by F. Ntilikina (bad pass; steal by D. Davis),,64-82,,
3:53.0,,,64-82,,Turnover by D. Brooks (bad pass; steal by K. Porzingis)
3:38.0,F. Ntilikina misses 3-pt shot from 26 ft,,64-82,,
3:35.0,,,64-82,,Defensive rebound by J. Martin
3:24.0,,,64-82,,J. Martin misses 2-pt shot from 21 ft
3:22.0,Defensive rebound by K. Porzingis,,64-82,,
3:18.0,New York full timeout,,64-82,,
3:18.0,,,64-82,,W. Selden enters the game for M. Chalmers
3:18.0,,,64-82,,J. Ennis enters the game for D. Davis
3:18.0,,,64-82,,I. Rabb enters the game for D. Brooks
3:18.0,R. Baker enters the game for E. Kanter,,64-82,,
3:18.0,K. O'Quinn enters the game for C. Lee,,64-82,,
3:18.0,M. Beasley enters the game for K. Porzingis,,64-82,,
3:01.0,M. Beasley makes 3-pt shot from 25 ft (assist by R. Baker),3,67-82,,
2:44.0,,,67-82,,Turnover by A. Harrison (out of bounds lost ball)
2:25.0,K. O'Quinn makes 2-pt shot from 16 ft (assist by F. Ntilikina),2,69-82,,
2:05.0,,,69-82,,W. Selden misses 3-pt shot from 22 ft
2:04.0,Defensive rebound by F. Ntilikina,,69-82,,
1:53.0,R. Baker misses 3-pt shot from 22 ft,,69-82,,
1:50.0,,,69-82,,Defensive rebound by J. Martin
1:37.0,,,69-82,,J. Martin misses 2-pt shot from 2 ft (block by M. Beasley)
1:34.0,Defensive rebound by K. O'Quinn,,69-82,,
1:26.0,M. Beasley misses 2-pt shot from 18 ft,,69-82,,
1:25.0,Offensive rebound by Team,,69-82,,
1:25.0,,,69-82,,Loose ball foul by J. Ennis (drawn by K. O'Quinn)
1:25.0,,,69-82,,T. Evans enters the game for A. Harrison
1:15.0,Shooting foul by T. Evans (drawn by M. Beasley),,69-82,,
1:15.0,M. Beasley makes free throw 1 of 2,1,70-82,,
1:15.0,M. Beasley makes free throw 2 of 2,1,71-82,,
0:59.0,,,71-84,2,I. Rabb makes 2-pt shot from 16 ft (assist by T. Evans)
0:51.0,Shooting foul by I. Rabb (drawn by T. Hardaway),,71-84,,
0:51.0,T. Hardaway makes free throw 1 of 2,1,72-84,,
0:51.0,T. Hardaway makes free throw 2 of 2,1,73-84,,
0:35.0,,,73-86,2,I. Rabb makes 2-pt shot from 1 ft (assist by T. Evans)
0:28.0,F. Ntilikina misses 3-pt shot from 25 ft,,73-86,,
0:25.0,,,73-86,,Defensive rebound by T. Evans
0:04.0,,,73-88,2,T. Evans makes 2-pt shot from 1 ft
0:00.0,T. Hardaway misses 3-pt shot from 40 ft,,73-88,,
0:00.0,Offensive rebound by Team,,73-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Beasley makes 2-pt shot from 2 ft (assist by F. Ntilikina),2,75-88,,
11:31.0,,,75-88,,Offensive foul by I. Rabb (drawn by R. Baker)
11:31.0,,,75-88,,Turnover by I. Rabb (offensive foul)
11:12.0,Turnover by F. Ntilikina (bad pass),,75-88,,
10:56.0,,,75-88,,W. Selden misses 2-pt shot from 2 ft
10:53.0,Defensive rebound by R. Baker,,75-88,,
10:41.0,T. Hardaway misses 3-pt shot from 24 ft,,75-88,,
10:39.0,,,75-88,,Defensive rebound by J. Martin
10:34.0,,,75-88,,Turnover by T. Evans (lost ball; steal by F. Ntilikina)
10:30.0,F. Ntilikina misses 2-pt shot at rim,,75-88,,
10:28.0,M. Beasley misses 2-pt shot from 1 ft,,75-88,,
10:28.0,Offensive rebound by M. Beasley,,75-88,,
10:28.0,Offensive rebound by M. Beasley,,75-88,,
10:26.0,Shooting foul by I. Rabb (drawn by M. Beasley),,75-88,,
10:26.0,M. Beasley misses free throw 1 of 2,,75-88,,
10:26.0,Offensive rebound by Team,,75-88,,
10:26.0,,,75-88,,D. Davis enters the game for I. Rabb
10:26.0,C. Lee enters the game for T. Hardaway,,75-88,,
10:26.0,M. Beasley makes free throw 2 of 2,1,76-88,,
10:06.0,,,76-88,,W. Selden misses 3-pt shot from 26 ft
10:06.0,Defensive rebound by M. Beasley,,76-88,,
9:55.0,R. Baker misses 2-pt shot from 19 ft,,76-88,,
9:53.0,Offensive rebound by K. O'Quinn,,76-88,,
9:52.0,K. O'Quinn misses 2-pt shot from 4 ft,,76-88,,
9:52.0,,,76-88,,Defensive rebound by Team
9:52.0,Loose ball foul by K. O'Quinn (drawn by T. Evans),,76-88,,
9:52.0,,,76-88,,J. Green enters the game for J. Martin
9:52.0,,,76-88,,A. Harrison enters the game for W. Selden
9:52.0,,,76-88,,M. Chalmers enters the game for T. Evans
9:33.0,,,76-88,,J. Green misses 2-pt shot from 17 ft
9:30.0,,,76-88,,Offensive rebound by D. Davis
9:29.0,,,76-88,,D. Davis misses 2-pt shot from 4 ft
9:27.0,Defensive rebound by K. O'Quinn,,76-88,,
9:13.0,Shooting foul by J. Green (drawn by M. Beasley),,76-88,,
9:13.0,M. Beasley makes free throw 1 of 2,1,77-88,,
9:13.0,K. Porzingis enters the game for K. O'Quinn,,77-88,,
9:13.0,J. Jack enters the game for F. Ntilikina,,77-88,,
9:13.0,M. Beasley makes free throw 2 of 2,1,78-88,,
9:02.0,,,78-88,,Turnover by D. Davis (turnover)
8:52.0,C. Lee misses 2-pt shot from 9 ft,,78-88,,
8:49.0,Offensive rebound by C. Lee,,78-88,,
8:49.0,C. Lee misses 2-pt shot at rim,,78-88,,
8:47.0,Offensive rebound by M. Beasley,,78-88,,
8:47.0,Turnover by M. Beasley (lost ball; steal by M. Chalmers),,78-88,,
8:33.0,,,78-88,,J. Green misses 2-pt shot from 11 ft (block by K. Porzingis)
8:29.0,Defensive rebound by K. Porzingis,,78-88,,
8:26.0,M. Beasley makes 2-pt shot at rim,2,80-88,,
8:26.0,,,80-88,,Memphis full timeout
8:26.0,,,80-88,,D. Brooks enters the game for A. Harrison
8:26.0,,,80-88,,T. Evans enters the game for J. Ennis
8:26.0,,,80-88,,J. Martin enters the game for D. Davis
8:04.0,,,80-91,3,T. Evans makes 3-pt shot from 25 ft (assist by J. Green)
7:47.0,M. Beasley misses 2-pt shot from 1 ft,,80-91,,
7:44.0,Offensive rebound by M. Beasley,,80-91,,
7:44.0,M. Beasley misses 2-pt shot at rim,,80-91,,
7:41.0,Offensive rebound by M. Beasley,,80-91,,
7:41.0,M. Beasley makes 2-pt shot at rim,2,82-91,,
7:21.0,,,82-94,3,J. Martin makes 3-pt shot from 23 ft (assist by J. Green)
7:00.0,K. Porzingis makes 3-pt shot from 26 ft (assist by J. Jack),3,85-94,,
6:38.0,,,85-96,2,J. Martin makes 2-pt shot at rim (assist by T. Evans)
6:22.0,K. Porzingis makes 2-pt shot from 18 ft,2,87-96,,
6:22.0,Shooting foul by J. Martin (drawn by K. Porzingis),,87-96,,
6:22.0,K. Porzingis makes free throw 1 of 1,1,88-96,,
6:08.0,,,88-96,,Shooting foul by J. Jack (drawn by D. Brooks)
6:08.0,,,88-96,,D. Brooks misses free throw 1 of 3
6:08.0,,,88-96,,Offensive rebound by Team
6:08.0,,,88-97,1,D. Brooks makes free throw 2 of 3
6:08.0,,,88-97,,A. Harrison enters the game for M. Chalmers
6:08.0,,,88-98,1,D. Brooks makes free throw 3 of 3
5:51.0,R. Baker misses 3-pt shot from 22 ft,,88-98,,
5:48.0,,,88-98,,Defensive rebound by J. Green
5:27.0,,,88-98,,T. Evans misses 3-pt shot from 26 ft
5:24.0,Defensive rebound by K. Porzingis,,88-98,,
5:19.0,C. Lee makes 3-pt shot from 23 ft (assist by J. Jack),3,91-98,,
4:59.0,Personal foul by M. Beasley (drawn by J. Martin),,91-98,,
4:59.0,T. Hardaway enters the game for R. Baker,,91-98,,
4:46.0,,,91-98,,J. Green misses 2-pt shot from 2 ft (block by M. Beasley)
4:45.0,,,91-98,,Offensive rebound by J. Green
4:45.0,,,91-98,,Turnover by Team (shot clock)
4:26.0,K. Porzingis misses 2-pt shot from 8 ft,,91-98,,
4:23.0,,,91-98,,Defensive rebound by D. Brooks
4:15.0,,,91-98,,A. Harrison misses 3-pt shot from 23 ft
4:12.0,Defensive rebound by T. Hardaway,,91-98,,
4:08.0,T. Hardaway makes 3-pt shot from 24 ft,3,94-98,,
4:07.0,,,94-98,,Memphis full timeout
4:07.0,,,94-98,,J. Ennis enters the game for A. Harrison
3:54.0,,,94-98,,Turnover by D. Brooks (bad pass; steal by K. Porzingis)
3:51.0,K. Porzingis misses 2-pt shot at rim (block by J. Martin),,94-98,,
3:51.0,,,94-98,,Defensive rebound by Team
3:39.0,,,94-98,,T. Evans misses 2-pt shot from 20 ft
