time,Orlando,pts.away,score,pts.home,LA Clippers
1:10.0,N. Vucevic makes 2-pt shot from 21 ft (assist by M. Hezonja),2,53-54,,
0:53.0,,,53-54,,A. Rivers misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by M. Hezonja,,53-54,,
0:48.0,J. Simmons makes 2-pt shot from 1 ft (assist by M. Hezonja),2,55-54,,
0:44.0,,,55-54,,Turnover by L. Williams (bad pass; steal by J. Simmons)
0:40.0,,,55-54,,Personal foul by A. Rivers (drawn by J. Simmons)
0:37.0,Shooting foul by J. Evans (drawn by D. Augustin),,55-54,,
0:37.0,D. Augustin makes free throw 1 of 3,1,56-54,,
0:37.0,D. Augustin makes free throw 2 of 3,1,57-54,,
0:37.0,D. Augustin makes free throw 3 of 3,1,58-54,,
0:28.0,,,58-54,,A. Rivers misses 2-pt shot from 3 ft
0:26.0,Defensive rebound by N. Vucevic,,58-54,,
0:26.0,Offensive foul by D. Augustin (drawn by J. Evans),,58-54,,
0:26.0,Turnover by D. Augustin (offensive foul),,58-54,,
0:05.0,,,58-54,,L. Williams misses 2-pt shot from 4 ft (block by N. Vucevic)
0:03.0,,,58-54,,Offensive rebound by L. Williams
0:02.0,,,58-56,2,L. Williams makes 2-pt shot from 9 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,58-56,,Personal foul by A. Rivers (drawn by D. Augustin)
11:47.0,N. Vucevic makes 3-pt shot from 25 ft (assist by J. Simmons),3,61-56,,
11:29.0,,,61-56,,Turnover by T. Harris (bad pass; steal by J. Isaac)
11:26.0,J. Isaac makes 2-pt shot from 1 ft,2,63-56,,
11:26.0,,,63-56,,LA Clippers full timeout
11:17.0,,,63-56,,L. Williams misses 2-pt shot from 18 ft
11:11.0,,,63-56,,Offensive rebound by S. Thornwell
11:11.0,,,63-58,2,S. Thornwell makes 2-pt shot at rim
10:53.0,D. Augustin makes 3-pt shot from 27 ft (assist by N. Vucevic),3,66-58,,
10:41.0,,,66-58,,Shooting foul by M. Hezonja (drawn by S. Thornwell)
10:41.0,,,66-59,1,S. Thornwell makes free throw 1 of 2
10:41.0,,,66-60,1,S. Thornwell makes free throw 2 of 2
10:21.0,D. Augustin misses 3-pt shot from 26 ft,,66-60,,
10:15.0,,,66-60,,Defensive rebound by A. Rivers
10:14.0,,,66-62,2,T. Harris makes 2-pt shot from 1 ft (assist by A. Rivers)
9:55.0,J. Isaac misses 3-pt shot from 22 ft,,66-62,,
9:51.0,,,66-62,,Defensive rebound by D. Jordan
9:48.0,,,66-62,,A. Rivers misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by J. Isaac,,66-62,,
9:33.0,M. Hezonja makes 3-pt shot from 27 ft (assist by J. Simmons),3,69-62,,
9:17.0,,,69-64,2,T. Harris makes 2-pt shot from 3 ft
9:17.0,,,69-64,,Shooting foul by J. Isaac (drawn by T. Harris)
9:17.0,,,69-65,1,T. Harris makes free throw 1 of 1
9:04.0,Turnover by J. Simmons (out of bounds lost ball),,69-65,,
8:45.0,,,69-67,2,L. Williams makes 2-pt shot from 2 ft (assist by A. Rivers)
8:45.0,,,69-67,,Shooting foul by N. Vucevic (drawn by L. Williams)
8:45.0,,,69-68,1,L. Williams makes free throw 1 of 1
8:27.0,N. Vucevic makes 2-pt shot from 13 ft,2,71-68,,
8:13.0,,,71-70,2,A. Rivers makes 2-pt shot from 7 ft
7:50.0,Shooting foul by T. Harris (drawn by J. Simmons),,71-70,,
7:50.0,J. Simmons makes free throw 1 of 2,1,72-70,,
7:50.0,J. Simmons makes free throw 2 of 2,1,73-70,,
7:41.0,,,73-72,2,A. Rivers makes 2-pt shot from 1 ft
7:22.0,J. Isaac misses 2-pt shot from 10 ft,,73-72,,
7:19.0,,,73-72,,Defensive rebound by D. Jordan
7:05.0,,,73-72,,A. Rivers misses 2-pt shot from 7 ft
7:02.0,Defensive rebound by N. Vucevic,,73-72,,
6:52.0,Shooting foul by S. Thornwell (drawn by D. Augustin),,73-72,,
6:52.0,D. Augustin makes free throw 1 of 3,1,74-72,,
6:52.0,D. Augustin makes free throw 2 of 3,1,75-72,,
6:52.0,,,75-72,,W. Johnson enters the game for S. Thornwell
6:52.0,D. Augustin makes free throw 3 of 3,1,76-72,,
6:36.0,,,76-72,,L. Williams misses 3-pt shot from 28 ft
6:31.0,Defensive rebound by N. Vucevic,,76-72,,
6:22.0,Turnover by D. Augustin (bad pass; steal by L. Williams),,76-72,,
6:15.0,,,76-72,,Turnover by W. Johnson (bad pass; steal by J. Isaac)
6:12.0,D. Augustin makes 2-pt shot from 1 ft (assist by J. Isaac),2,78-72,,
5:59.0,,,78-72,,L. Williams misses 2-pt shot from 15 ft
5:54.0,Defensive rebound by J. Isaac,,78-72,,
5:51.0,D. Augustin makes 2-pt shot from 1 ft,2,80-72,,
5:51.0,Shooting foul by W. Johnson (drawn by D. Augustin),,80-72,,
5:51.0,W. Iwundu enters the game for J. Isaac,,80-72,,
5:51.0,D. Augustin makes free throw 1 of 1,1,81-72,,
5:42.0,,,81-72,,T. Harris misses 2-pt shot from 18 ft
5:40.0,Defensive rebound by Team,,81-72,,
5:25.0,N. Vucevic misses 2-pt shot from 7 ft,,81-72,,
5:22.0,,,81-72,,Defensive rebound by D. Jordan
5:16.0,,,81-72,,Shooting foul by W. Iwundu (drawn by W. Johnson)
5:16.0,,,81-73,1,W. Johnson makes free throw 1 of 2
5:16.0,,,81-73,,M. Teodosic enters the game for L. Williams
5:16.0,Orlando full timeout,,81-73,,
5:16.0,,,81-74,1,W. Johnson makes free throw 2 of 2
5:03.0,N. Vucevic misses 2-pt shot from 8 ft,,81-74,,
