time,Washington,pts.away,score,pts.home,Brooklyn
6:07.0,,,9-14,,R. Hollis-Jefferson misses 2-pt shot from 18 ft
6:04.0,Defensive rebound by O. Porter,,9-14,,
5:45.0,B. Beal misses 2-pt shot from 14 ft,,9-14,,
5:44.0,,,9-14,,Defensive rebound by S. Dinwiddie
5:40.0,,,9-17,3,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
5:39.0,Washington full timeout,,9-17,,
5:39.0,,,9-17,,J. Allen enters the game for T. Zeller
5:39.0,,,9-17,,J. Harris enters the game for A. Crabbe
5:39.0,,,9-17,,C. LeVert enters the game for S. Dinwiddie
5:39.0,K. Oubre enters the game for O. Porter,,9-17,,
5:25.0,B. Beal misses 3-pt shot from 25 ft,,9-17,,
5:22.0,,,9-17,,Defensive rebound by R. Hollis-Jefferson
5:09.0,,,9-17,,Shooting foul by B. Beal (drawn by R. Hollis-Jefferson)
5:09.0,,,9-18,1,R. Hollis-Jefferson makes free throw 1 of 2
5:09.0,,,9-19,1,R. Hollis-Jefferson makes free throw 2 of 2
4:47.0,M. Gortat makes 2-pt shot from 9 ft (assist by B. Beal),2,11-19,,
4:34.0,,,11-19,,D. Carroll misses 3-pt shot from 22 ft
4:30.0,Defensive rebound by M. Gortat,,11-19,,
4:27.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall),2,13-19,,
4:27.0,Shooting foul by R. Hollis-Jefferson (drawn by M. Morris),,13-19,,
4:27.0,,,13-19,,Q. Acy enters the game for D. Carroll
4:27.0,,,13-19,,N. Stauskas enters the game for R. Hollis-Jefferson
4:27.0,T. Satoransky enters the game for J. Wall,,13-19,,
4:27.0,M. Morris makes free throw 1 of 1,1,14-19,,
4:05.0,,,14-21,2,C. LeVert makes 2-pt shot from 20 ft
3:55.0,,,14-21,,Personal foul by C. LeVert (drawn by B. Beal)
3:48.0,M. Gortat misses 2-pt shot from 5 ft,,14-21,,
3:46.0,,,14-21,,Defensive rebound by Q. Acy
3:34.0,,,14-21,,Turnover by N. Stauskas (lost ball; steal by K. Oubre)
3:29.0,K. Oubre makes 2-pt shot from 4 ft,2,16-21,,
3:08.0,,,16-21,,Q. Acy misses 3-pt shot from 26 ft
3:06.0,Defensive rebound by M. Gortat,,16-21,,
3:02.0,K. Oubre misses 2-pt shot from 1 ft (block by Q. Acy),,16-21,,
2:59.0,,,16-21,,Defensive rebound by J. Harris
2:54.0,,,16-21,,N. Stauskas misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by T. Satoransky,,16-21,,
2:43.0,Personal foul by M. Gortat (drawn by J. Harris),,16-21,,
2:43.0,Turnover by M. Gortat (turnover),,16-21,,
2:43.0,,,16-21,,Brooklyn full timeout
2:43.0,I. Mahinmi enters the game for M. Morris,,16-21,,
2:43.0,M. Scott enters the game for M. Gortat,,16-21,,
2:30.0,,,16-23,2,C. LeVert makes 2-pt shot from 5 ft
2:10.0,M. Scott misses 3-pt shot from 25 ft,,16-23,,
2:06.0,,,16-23,,Defensive rebound by J. Allen
2:02.0,,,16-23,,Personal foul by J. Allen (drawn by T. Satoransky)
2:02.0,,,16-23,,Turnover by J. Allen (turnover)
1:49.0,K. Oubre makes 3-pt shot from 26 ft (assist by B. Beal),3,19-23,,
1:24.0,,,19-23,,J. Harris misses 3-pt shot from 24 ft (block by K. Oubre)
1:24.0,Defensive rebound by B. Beal,,19-23,,
1:13.0,B. Beal makes 2-pt shot from 17 ft,2,21-23,,
0:54.0,,,21-23,,N. Stauskas misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by I. Mahinmi,,21-23,,
0:39.0,J. Meeks enters the game for B. Beal,,21-23,,
0:32.0,T. Satoransky makes 2-pt shot from 17 ft,2,23-23,,
0:21.0,,,23-26,3,C. LeVert makes 3-pt shot from 26 ft
0:00.0,M. Scott misses 2-pt shot from 6 ft,,23-26,,
0:00.0,Offensive rebound by I. Mahinmi,,23-26,,
0:00.0,I. Mahinmi misses 2-pt shot at rim,,23-26,,
0:00.0,Offensive rebound by Team,,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,23-28,2,J. Allen makes 2-pt shot from 4 ft (assist by C. LeVert)
11:28.0,T. Satoransky misses 2-pt shot from 13 ft,,23-28,,
11:24.0,,,23-28,,Defensive rebound by J. Allen
11:18.0,,,23-28,,D. Carroll misses 2-pt shot from 4 ft
11:16.0,Defensive rebound by M. Scott,,23-28,,
11:10.0,J. Meeks misses 3-pt shot from 25 ft,,23-28,,
10:59.0,,,23-28,,Defensive rebound by C. LeVert
10:59.0,,,23-28,,C. LeVert misses 2-pt shot from 8 ft
10:59.0,,,23-28,,Offensive rebound by J. Allen
10:52.0,,,23-30,2,J. Allen makes 2-pt shot at rim
10:42.0,J. Meeks makes 2-pt shot from 17 ft (assist by T. Satoransky),2,25-30,,
10:15.0,,,25-30,,J. Allen misses 2-pt shot from 19 ft
10:14.0,,,25-30,,Offensive rebound by Team
10:13.0,,,25-30,,Turnover by Team (shot clock)
10:00.0,,,25-30,,Personal foul by D. Carroll (drawn by I. Mahinmi)
9:52.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by J. Meeks),2,27-30,,
9:37.0,,,27-30,,J. Harris misses 3-pt shot from 27 ft
9:33.0,Defensive rebound by J. Meeks,,27-30,,
9:32.0,,,27-30,,Personal foul by J. Harris (drawn by M. Scott)
9:25.0,J. Meeks misses 3-pt shot from 25 ft,,27-30,,
9:23.0,,,27-30,,Defensive rebound by D. Carroll
9:14.0,,,27-30,,C. LeVert misses 2-pt shot from 3 ft
9:11.0,Defensive rebound by J. Meeks,,27-30,,
9:06.0,,,27-30,,Personal foul by J. Allen (drawn by J. Meeks)
9:06.0,,,27-30,,Q. Acy enters the game for J. Allen
9:00.0,K. Oubre misses 2-pt shot from 17 ft,,27-30,,
8:59.0,Offensive rebound by Team,,27-30,,
8:59.0,,,27-30,,Personal foul by A. Crabbe (drawn by I. Mahinmi)
8:54.0,T. Satoransky misses 3-pt shot from 25 ft,,27-30,,
8:48.0,,,27-30,,Defensive rebound by D. Carroll
8:48.0,Personal foul by T. Satoransky (drawn by D. Carroll),,27-30,,
8:36.0,,,27-30,,A. Crabbe misses 3-pt shot from 27 ft
8:31.0,Defensive rebound by M. Scott,,27-30,,
8:22.0,K. Oubre misses 2-pt shot from 10 ft,,27-30,,
8:19.0,,,27-30,,Defensive rebound by Q. Acy
8:02.0,,,27-30,,J. Harris misses 3-pt shot from 22 ft
7:55.0,,,27-30,,Offensive rebound by C. LeVert
7:55.0,,,27-32,2,C. LeVert makes 2-pt shot at rim
7:38.0,Offensive charge foul by K. Oubre (drawn by Q. Acy),,27-32,,
7:38.0,Turnover by K. Oubre (offensive foul),,27-32,,
7:38.0,,,27-32,,S. Dinwiddie enters the game for C. LeVert
7:38.0,,,27-32,,R. Hollis-Jefferson enters the game for J. Harris
7:22.0,,,27-34,2,R. Hollis-Jefferson makes 2-pt shot from 7 ft
7:22.0,,,27-34,,Shooting foul by K. Oubre (drawn by R. Hollis-Jefferson)
7:22.0,,,27-35,1,R. Hollis-Jefferson makes free throw 1 of 1
7:09.0,T. Satoransky makes 3-pt shot from 26 ft (assist by M. Scott),3,30-35,,
6:43.0,,,30-35,,Q. Acy misses 3-pt shot from 26 ft
6:43.0,,,30-35,,Offensive rebound by Team
6:43.0,,,30-35,,Brooklyn full timeout
6:43.0,M. Morris enters the game for I. Mahinmi,,30-35,,
6:43.0,B. Beal enters the game for T. Satoransky,,30-35,,
6:38.0,,,30-35,,Turnover by Q. Acy (bad pass; steal by M. Scott)
6:34.0,K. Oubre makes 2-pt shot from 1 ft (assist by M. Scott),2,32-35,,
6:20.0,,,32-35,,Shooting foul by K. Oubre (drawn by R. Hollis-Jefferson)
6:20.0,,,32-36,1,R. Hollis-Jefferson makes free throw 1 of 2
6:20.0,O. Porter enters the game for K. Oubre,,32-36,,
6:20.0,,,32-37,1,R. Hollis-Jefferson makes free throw 2 of 2
6:01.0,M. Scott makes 2-pt shot from 9 ft (assist by B. Beal),2,34-37,,
5:43.0,,,34-37,,Turnover by S. Dinwiddie (bad pass; steal by J. Meeks)
5:32.0,M. Scott misses 2-pt shot from 16 ft,,34-37,,
5:24.0,,,34-37,,Defensive rebound by A. Crabbe
5:23.0,,,34-37,,Shooting foul by M. Scott (drawn by D. Carroll)
5:23.0,,,34-38,1,D. Carroll makes free throw 1 of 2
5:23.0,,,34-38,,T. Zeller enters the game for Q. Acy
5:23.0,,,34-39,1,D. Carroll makes free throw 2 of 2
5:11.0,M. Scott misses 3-pt shot from 23 ft,,34-39,,
5:09.0,,,34-39,,Defensive rebound by D. Carroll
5:01.0,,,34-41,2,D. Carroll makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
4:44.0,M. Morris misses 2-pt shot from 13 ft,,34-41,,
4:41.0,,,34-41,,Defensive rebound by A. Crabbe
4:34.0,,,34-41,,Turnover by S. Dinwiddie (lost ball; steal by B. Beal)
4:30.0,J. Meeks makes 2-pt shot from 4 ft (assist by B. Beal),2,36-41,,
4:04.0,,,36-43,2,T. Zeller makes 2-pt shot from 21 ft (assist by R. Hollis-Jefferson)
3:43.0,M. Scott misses 2-pt shot from 4 ft (block by R. Hollis-Jefferson),,36-43,,
3:35.0,Offensive rebound by O. Porter,,36-43,,
3:33.0,O. Porter misses 2-pt shot at rim,,36-43,,
3:33.0,,,36-43,,Defensive rebound by R. Hollis-Jefferson
3:33.0,,,36-43,,D. Carroll misses 3-pt shot from 22 ft
3:33.0,,,36-43,,Offensive rebound by T. Zeller
3:33.0,,,36-45,2,T. Zeller makes 2-pt shot at rim
3:33.0,Washington full timeout,,36-45,,
3:33.0,,,36-45,,J. Harris enters the game for D. Carroll
3:33.0,,,36-45,,C. LeVert enters the game for A. Crabbe
3:33.0,M. Gortat enters the game for J. Meeks,,36-45,,
3:33.0,T. Satoransky enters the game for M. Scott,,36-45,,
3:22.0,O. Porter makes 2-pt shot from 21 ft,2,38-45,,
2:58.0,,,38-47,2,J. Harris makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson)
2:42.0,B. Beal misses 2-pt shot from 18 ft,,38-47,,
2:39.0,,,38-47,,Defensive rebound by R. Hollis-Jefferson
2:36.0,,,38-49,2,R. Hollis-Jefferson makes 2-pt shot from 6 ft
2:36.0,,,38-49,,Shooting foul by T. Satoransky (drawn by R. Hollis-Jefferson)
2:36.0,,,38-49,,R. Hollis-Jefferson misses free throw 1 of 1
2:36.0,Defensive rebound by O. Porter,,38-49,,
2:21.0,Shooting foul by R. Hollis-Jefferson (drawn by M. Gortat),,38-49,,
2:21.0,M. Gortat misses free throw 1 of 2,,38-49,,
2:21.0,Offensive rebound by Team,,38-49,,
2:21.0,M. Gortat makes free throw 2 of 2,1,39-49,,
2:06.0,,,39-49,,R. Hollis-Jefferson misses 2-pt shot from 10 ft
2:04.0,Defensive rebound by M. Gortat,,39-49,,
2:01.0,,,39-49,,Personal foul by S. Dinwiddie (drawn by M. Morris)
2:01.0,M. Morris makes free throw 1 of 2,1,40-49,,
2:01.0,M. Morris makes free throw 2 of 2,1,41-49,,
1:45.0,,,41-51,2,R. Hollis-Jefferson makes 2-pt shot from 8 ft
1:33.0,M. Gortat makes 2-pt shot from 9 ft (assist by B. Beal),2,43-51,,
0:56.0,,,43-51,,Turnover by Team (shot clock)
0:47.0,T. Satoransky misses 2-pt shot from 4 ft,,43-51,,
0:46.0,,,43-51,,Defensive rebound by Team
0:32.0,Personal foul by T. Satoransky (drawn by T. Zeller),,43-51,,
0:32.0,,,43-52,1,T. Zeller makes free throw 1 of 2
0:32.0,,,43-53,1,T. Zeller makes free throw 2 of 2
0:21.0,B. Beal misses 3-pt shot from 26 ft,,43-53,,
0:18.0,,,43-53,,Defensive rebound by T. Zeller
0:02.0,,,43-53,,S. Dinwiddie misses 2-pt shot from 5 ft
0:00.0,,,43-53,,Offensive rebound by T. Zeller
0:00.0,,,43-53,,T. Zeller misses 2-pt shot at rim
0:00.0,,,43-53,,Offensive rebound by Team
0:00.0,,,43-53,,Brooklyn full timeout
0:00.0,,,43-53,,R. Hollis-Jefferson misses 2-pt shot from 10 ft
0:00.0,,,43-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,43-53,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
11:43.0,Defensive rebound by B. Beal,,43-53,,
11:33.0,B. Beal misses 2-pt shot from 8 ft,,43-53,,
11:28.0,,,43-53,,Defensive rebound by D. Carroll
11:14.0,,,43-56,3,S. Dinwiddie makes 3-pt shot from 26 ft
10:59.0,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall),2,45-56,,
10:36.0,,,45-59,3,S. Dinwiddie makes 3-pt shot from 25 ft
10:17.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall),2,47-59,,
9:57.0,,,47-61,2,S. Dinwiddie makes 2-pt shot from 4 ft (assist by D. Carroll)
9:45.0,O. Porter misses 3-pt shot from 25 ft,,47-61,,
9:43.0,Offensive rebound by M. Morris,,47-61,,
9:41.0,J. Wall misses 3-pt shot from 27 ft,,47-61,,
9:36.0,,,47-61,,Defensive rebound by R. Hollis-Jefferson
9:24.0,,,47-64,3,S. Dinwiddie makes 3-pt shot from 28 ft (assist by R. Hollis-Jefferson)
9:22.0,Washington full timeout,,47-64,,
9:08.0,J. Wall misses 2-pt shot from 5 ft,,47-64,,
9:06.0,,,47-64,,Defensive rebound by T. Zeller
8:57.0,,,47-64,,A. Crabbe misses 2-pt shot from 16 ft
8:55.0,,,47-64,,Offensive rebound by A. Crabbe
8:53.0,,,47-64,,D. Carroll misses 3-pt shot from 25 ft
8:53.0,,,47-64,,Offensive rebound by T. Zeller
8:47.0,,,47-64,,R. Hollis-Jefferson misses 2-pt shot from 11 ft
8:44.0,,,47-64,,Offensive rebound by D. Carroll
8:42.0,,,47-64,,D. Carroll misses 3-pt shot from 22 ft
8:42.0,,,47-64,,Offensive rebound by Team
8:33.0,,,47-66,2,D. Carroll makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
8:33.0,,,47-66,,Shooting foul by M. Morris (drawn by D. Carroll)
8:33.0,,,47-67,1,D. Carroll makes free throw 1 of 1
8:20.0,B. Beal makes 2-pt shot from 12 ft (assist by J. Wall),2,49-67,,
8:16.0,,,49-67,,Turnover by S. Dinwiddie (bad pass)
8:08.0,B. Beal misses 2-pt shot from 9 ft,,49-67,,
8:06.0,,,49-67,,Defensive rebound by T. Zeller
7:48.0,,,49-67,,R. Hollis-Jefferson misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by J. Wall,,49-67,,
7:41.0,J. Wall misses 2-pt shot from 7 ft,,49-67,,
7:41.0,Offensive rebound by Team,,49-67,,
7:30.0,B. Beal misses 2-pt shot from 16 ft,,49-67,,
7:29.0,Offensive rebound by Team,,49-67,,
7:29.0,,,49-67,,Loose ball foul by T. Zeller (drawn by M. Gortat)
7:17.0,Turnover by M. Gortat (turnover),,49-67,,
6:58.0,,,49-69,2,T. Zeller makes 2-pt shot from 9 ft (assist by D. Carroll)
6:36.0,M. Morris makes 2-pt shot from 10 ft (assist by O. Porter),2,51-69,,
6:19.0,,,51-69,,A. Crabbe misses 3-pt shot from 25 ft
6:15.0,,,51-69,,Offensive rebound by T. Zeller
6:14.0,,,51-69,,Turnover by T. Zeller (bad pass; steal by O. Porter)
6:12.0,Shooting foul by R. Hollis-Jefferson (drawn by O. Porter),,51-69,,
6:12.0,O. Porter makes free throw 1 of 2,1,52-69,,
6:12.0,,,52-69,,J. Allen enters the game for T. Zeller
6:12.0,T. Satoransky enters the game for M. Gortat,,52-69,,
6:12.0,O. Porter makes free throw 2 of 2,1,53-69,,
6:12.0,,,53-69,,J. Harris enters the game for A. Crabbe
6:00.0,,,53-72,3,S. Dinwiddie makes 3-pt shot from 27 ft
5:33.0,O. Porter misses 3-pt shot from 27 ft,,53-72,,
5:30.0,,,53-72,,Defensive rebound by D. Carroll
5:28.0,,,53-74,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by D. Carroll)
5:26.0,Washington full timeout,,53-74,,
5:26.0,,,53-74,,C. LeVert enters the game for D. Carroll
5:26.0,K. Oubre enters the game for T. Satoransky,,53-74,,
5:14.0,M. Morris misses 2-pt shot from 13 ft,,53-74,,
5:11.0,,,53-74,,Defensive rebound by R. Hollis-Jefferson
5:02.0,Def 3 sec tech foul by M. Morris,,53-74,,
5:02.0,,,53-75,1,S. Dinwiddie makes technical free throw
4:52.0,,,53-75,,S. Dinwiddie misses 3-pt shot from 34 ft
4:49.0,Defensive rebound by M. Morris,,53-75,,
4:45.0,J. Wall makes 2-pt shot from 5 ft,2,55-75,,
4:45.0,Shooting foul by C. LeVert (drawn by J. Wall),,55-75,,
4:45.0,,,55-75,,Violation by J. Allen (lane)
4:45.0,J. Wall makes free throw 1 of 1,1,56-75,,
4:31.0,,,56-77,2,R. Hollis-Jefferson makes 2-pt shot from 7 ft (assist by C. LeVert)
4:31.0,,,56-77,,Shooting foul by O. Porter (drawn by R. Hollis-Jefferson)
4:31.0,,,56-78,1,R. Hollis-Jefferson makes free throw 1 of 1
4:20.0,B. Beal misses 3-pt shot from 28 ft,,56-78,,
4:17.0,,,56-78,,Defensive rebound by R. Hollis-Jefferson
3:59.0,,,56-78,,J. Allen misses 2-pt shot from 12 ft
3:53.0,Defensive rebound by O. Porter,,56-78,,
3:51.0,J. Wall misses 2-pt shot from 18 ft,,56-78,,
3:48.0,,,56-78,,Defensive rebound by C. LeVert
3:38.0,,,56-78,,R. Hollis-Jefferson misses 2-pt shot from 11 ft
3:35.0,,,56-78,,Offensive rebound by J. Allen
3:35.0,,,56-78,,Shooting foul by K. Oubre (drawn by R. Hollis-Jefferson)
3:35.0,,,56-78,,R. Hollis-Jefferson misses free throw 1 of 2
3:35.0,,,56-78,,Offensive rebound by Team
3:35.0,,,56-78,,A. Crabbe enters the game for S. Dinwiddie
3:35.0,,,56-79,1,R. Hollis-Jefferson makes free throw 2 of 2
3:25.0,,,56-79,,Personal foul by A. Crabbe (drawn by M. Morris)
3:25.0,,,56-79,,Q. Acy enters the game for R. Hollis-Jefferson
3:25.0,M. Scott enters the game for O. Porter,,56-79,,
3:15.0,B. Beal misses 2-pt shot from 6 ft,,56-79,,
3:13.0,,,56-79,,Defensive rebound by A. Crabbe
3:11.0,,,56-81,2,C. LeVert makes 2-pt shot from 7 ft (assist by A. Crabbe)
3:11.0,,,56-81,,Shooting foul by M. Scott (drawn by C. LeVert)
3:11.0,T. Satoransky enters the game for J. Wall,,56-81,,
3:11.0,,,56-82,1,C. LeVert makes free throw 1 of 1
3:00.0,K. Oubre makes 2-pt shot from 12 ft,2,58-82,,
2:35.0,,,58-84,2,J. Allen makes 2-pt shot from 5 ft (assist by J. Harris)
2:21.0,B. Beal misses 2-pt shot from 17 ft,,58-84,,
2:19.0,,,58-84,,Defensive rebound by A. Crabbe
2:09.0,,,58-84,,Shooting foul by M. Morris (drawn by J. Allen)
2:09.0,,,58-85,1,J. Allen makes free throw 1 of 2
2:09.0,,,58-86,1,J. Allen makes free throw 2 of 2
1:54.0,B. Beal misses 2-pt shot from 16 ft,,58-86,,
1:51.0,,,58-86,,Defensive rebound by C. LeVert
1:44.0,,,58-86,,Turnover by C. LeVert (bad pass)
1:31.0,T. Satoransky misses 3-pt shot from 26 ft,,58-86,,
1:27.0,,,58-86,,Defensive rebound by J. Allen
1:17.0,,,58-88,2,J. Allen makes 2-pt shot from 11 ft (assist by J. Harris)
1:15.0,Washington full timeout,,58-88,,
1:15.0,J. Meeks enters the game for B. Beal,,58-88,,
1:15.0,J. Smith enters the game for M. Morris,,58-88,,
1:10.0,M. Scott makes 3-pt shot from 27 ft (assist by J. Smith),3,61-88,,
0:44.0,,,61-88,,J. Harris misses 3-pt shot from 25 ft
0:42.0,,,61-88,,Offensive rebound by C. LeVert
0:39.0,,,61-88,,J. Harris misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by T. Satoransky,,61-88,,
0:30.0,K. Oubre misses 3-pt shot from 24 ft,,61-88,,
0:29.0,Offensive rebound by M. Scott,,61-88,,
0:25.0,Turnover by K. Oubre (lost ball; steal by J. Allen),,61-88,,
0:03.0,,,61-88,,Q. Acy misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by K. Oubre,,61-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,J. Smith misses 2-pt shot from 18 ft,,61-88,,
11:36.0,,,61-88,,Defensive rebound by Q. Acy
11:29.0,,,61-88,,J. Harris misses 3-pt shot from 27 ft
11:27.0,Defensive rebound by K. Oubre,,61-88,,
11:09.0,J. Smith misses 2-pt shot from 15 ft,,61-88,,
11:06.0,,,61-88,,Defensive rebound by J. Harris
10:54.0,,,61-88,,Q. Acy misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by J. Smith,,61-88,,
10:47.0,Shooting foul by Q. Acy (drawn by T. Satoransky),,61-88,,
10:47.0,T. Satoransky misses free throw 1 of 2,,61-88,,
10:47.0,Offensive rebound by Team,,61-88,,
10:47.0,,,61-88,,N. Stauskas enters the game for A. Crabbe
10:47.0,T. Satoransky misses free throw 2 of 2,,61-88,,
10:38.0,Offensive rebound by J. Smith,,61-88,,
10:35.0,T. Satoransky misses 2-pt shot from 9 ft (block by J. Allen),,61-88,,
10:34.0,,,61-88,,Defensive rebound by J. Allen
10:34.0,,,61-88,,Turnover by C. LeVert (step out of bounds)
10:23.0,J. Meeks misses 2-pt shot from 19 ft,,61-88,,
10:21.0,,,61-88,,Defensive rebound by Q. Acy
10:05.0,,,61-91,3,N. Stauskas makes 3-pt shot from 26 ft (assist by J. Harris)
9:45.0,K. Oubre misses 2-pt shot from 19 ft,,61-91,,
9:41.0,,,61-91,,Defensive rebound by C. LeVert
9:31.0,,,61-91,,Turnover by N. Stauskas (bad pass)
9:18.0,Shooting foul by N. Stauskas (drawn by K. Oubre),,61-91,,
9:18.0,K. Oubre makes free throw 1 of 2,1,62-91,,
9:18.0,K. Oubre makes free throw 2 of 2,1,63-91,,
9:09.0,,,63-93,2,C. LeVert makes 2-pt shot from 4 ft
8:53.0,J. Smith misses 2-pt shot from 17 ft,,63-93,,
8:49.0,,,63-93,,Defensive rebound by Q. Acy
8:38.0,,,63-95,2,J. Harris makes 2-pt shot from 4 ft (assist by N. Stauskas)
8:29.0,M. Scott makes 3-pt shot from 26 ft (assist by J. Meeks),3,66-95,,
8:28.0,,,66-95,,Brooklyn full timeout
8:28.0,,,66-95,,T. Mozgov enters the game for J. Allen
8:28.0,T. Frazier enters the game for T. Satoransky,,66-95,,
8:10.0,,,66-98,3,C. LeVert makes 3-pt shot from 26 ft (assist by J. Harris)
7:55.0,J. Smith makes 2-pt shot from 20 ft (assist by J. Meeks),2,68-98,,
7:29.0,,,68-101,3,N. Stauskas makes 3-pt shot from 26 ft (assist by C. LeVert)
7:11.0,K. Oubre misses 2-pt shot from 3 ft,,68-101,,
7:08.0,,,68-101,,Defensive rebound by Q. Acy
7:07.0,Personal foul by T. Frazier (drawn by Q. Acy),,68-101,,
7:07.0,,,68-101,,A. Crabbe enters the game for C. LeVert
6:58.0,Personal foul by T. Frazier (drawn by N. Stauskas),,68-101,,
6:50.0,,,68-104,3,N. Stauskas makes 3-pt shot from 27 ft (assist by J. Harris)
6:38.0,J. Smith makes 2-pt shot from 18 ft (assist by T. Frazier),2,70-104,,
6:19.0,C. McCullough enters the game for M. Scott,,70-104,,
6:12.0,,,70-107,3,N. Stauskas makes 3-pt shot from 23 ft (assist by J. Harris)
5:50.0,J. Smith misses 2-pt shot from 20 ft,,70-107,,
5:46.0,,,70-107,,Defensive rebound by A. Crabbe
5:40.0,,,70-107,,Shooting foul by T. Frazier (drawn by N. Stauskas)
5:40.0,,,70-107,,N. Stauskas misses free throw 1 of 3
5:40.0,,,70-107,,Offensive rebound by Team
5:40.0,,,70-108,1,N. Stauskas makes free throw 2 of 3
5:40.0,,,70-108,,N. Stauskas misses free throw 3 of 3
