time,Detroit,pts.away,score,pts.home,Phoenix
5:56.0,R. Bullock makes free throw 1 of 2,1,8-14,,
5:56.0,,,8-14,,D. Reed enters the game for T. Daniels
5:56.0,A. Tolliver enters the game for A. Drummond,,8-14,,
5:56.0,R. Bullock makes free throw 2 of 2,1,9-14,,
5:38.0,,,9-14,,J. Jackson misses 2-pt shot from 20 ft
5:34.0,,,9-14,,Offensive rebound by D. Reed
5:32.0,,,9-14,,Shooting foul by R. Bullock (drawn by E. Payton)
5:32.0,,,9-14,,E. Payton misses free throw 1 of 2
5:32.0,,,9-14,,Offensive rebound by Team
5:32.0,L. Kennard enters the game for R. Bullock,,9-14,,
5:32.0,,,9-14,,E. Payton misses free throw 2 of 2
5:30.0,Defensive rebound by A. Tolliver,,9-14,,
5:09.0,B. Griffin makes 3-pt shot from 26 ft,3,12-14,,
4:59.0,,,12-14,,E. Payton misses 2-pt shot from 9 ft
4:55.0,,,12-14,,Offensive rebound by M. Chriss
4:48.0,,,12-14,,D. Bender misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by L. Kennard,,12-14,,
4:38.0,L. Kennard makes 2-pt shot from 19 ft,2,14-14,,
4:21.0,,,14-14,,D. Reed misses 3-pt shot from 26 ft
4:18.0,Defensive rebound by S. Johnson,,14-14,,
4:14.0,S. Johnson misses 2-pt shot from 17 ft,,14-14,,
4:08.0,,,14-14,,Defensive rebound by J. Jackson
4:02.0,,,14-14,,D. Bender misses 3-pt shot from 26 ft
3:58.0,,,14-14,,Offensive rebound by J. Jackson
3:56.0,,,14-14,,J. Jackson misses 2-pt shot from 1 ft
3:54.0,Defensive rebound by S. Johnson,,14-14,,
3:51.0,L. Kennard misses 3-pt shot from 25 ft,,14-14,,
3:48.0,,,14-14,,Defensive rebound by D. Reed
3:44.0,,,14-14,,J. Jackson misses 3-pt shot from 25 ft
3:40.0,,,14-14,,Offensive rebound by D. Bender
3:37.0,,,14-14,,M. Chriss misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by S. Johnson,,14-14,,
3:24.0,,,14-14,,Def 3 sec tech foul by E. Payton
3:24.0,L. Kennard makes technical free throw,1,15-14,,
3:16.0,I. Smith makes 2-pt shot from 18 ft,2,17-14,,
3:14.0,,,17-14,,Phoenix full timeout
3:14.0,,,17-14,,J. Dudley enters the game for E. Payton
3:14.0,,,17-14,,S. Harrison enters the game for D. Bender
3:14.0,A. Drummond enters the game for B. Griffin,,17-14,,
3:02.0,,,17-14,,Offensive foul by M. Chriss (drawn by I. Smith)
3:02.0,,,17-14,,Turnover by M. Chriss (offensive foul)
2:41.0,S. Johnson misses 3-pt shot from 22 ft,,17-14,,
2:38.0,,,17-14,,Defensive rebound by M. Chriss
2:33.0,,,17-14,,Turnover by D. Reed (lost ball; steal by S. Johnson)
2:26.0,A. Tolliver misses 3-pt shot from 25 ft,,17-14,,
2:22.0,Offensive rebound by I. Smith,,17-14,,
2:18.0,L. Kennard misses 2-pt shot from 1 ft,,17-14,,
2:16.0,,,17-14,,Defensive rebound by J. Jackson
2:11.0,,,17-16,2,J. Jackson makes 2-pt shot from 5 ft
2:00.0,S. Johnson misses 2-pt shot from 2 ft,,17-16,,
1:58.0,,,17-16,,Defensive rebound by M. Chriss
1:50.0,,,17-16,,S. Harrison misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by L. Kennard,,17-16,,
1:27.0,A. Drummond misses 2-pt shot from 4 ft (block by M. Chriss),,17-16,,
1:25.0,,,17-16,,Defensive rebound by D. Reed
1:18.0,,,17-16,,Turnover by J. Dudley (bad pass; steal by S. Johnson)
0:59.0,Shooting foul by M. Chriss (drawn by A. Drummond),,17-16,,
0:59.0,A. Drummond makes free throw 1 of 2,1,18-16,,
0:59.0,,,18-16,,A. Len enters the game for M. Chriss
0:59.0,,,18-16,,T. Ulis enters the game for J. Jackson
0:59.0,J. Ennis enters the game for S. Johnson,,18-16,,
0:59.0,A. Drummond makes free throw 2 of 2,1,19-16,,
0:42.0,,,19-16,,J. Dudley misses 2-pt shot from 20 ft
0:39.0,Defensive rebound by J. Ennis,,19-16,,
0:28.0,I. Smith misses 2-pt shot from 20 ft,,19-16,,
0:25.0,,,19-16,,Defensive rebound by S. Harrison
0:06.0,,,19-16,,T. Ulis misses 3-pt shot from 26 ft
0:04.0,,,19-16,,Offensive rebound by A. Len
0:04.0,,,19-18,2,A. Len makes 2-pt shot at rim
0:04.0,,,19-18,,Shooting foul by A. Drummond (drawn by A. Len)
0:04.0,E. Moreland enters the game for A. Drummond,,19-18,,
0:04.0,,,19-19,1,A. Len makes free throw 1 of 1
0:00.0,I. Smith misses 2-pt shot from 13 ft,,19-19,,
0:00.0,Offensive rebound by Team,,19-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,19-21,2,A. Len makes 2-pt shot at rim (assist by J. Dudley)
11:28.0,L. Kennard makes 3-pt shot from 25 ft (assist by E. Moreland),3,22-21,,
11:16.0,,,22-23,2,A. Len makes 2-pt shot at rim (assist by T. Ulis)
10:48.0,A. Tolliver misses 2-pt shot from 11 ft,,22-23,,
10:45.0,,,22-23,,Defensive rebound by T. Ulis
10:41.0,,,22-23,,S. Harrison misses 3-pt shot from 25 ft
10:38.0,,,22-23,,Offensive rebound by A. Len
10:35.0,,,22-23,,T. Ulis misses 2-pt shot from 10 ft
10:33.0,Defensive rebound by A. Tolliver,,22-23,,
10:28.0,R. Jackson makes 3-pt shot from 24 ft,3,25-23,,
10:10.0,,,25-23,,D. Reed misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by L. Kennard,,25-23,,
10:03.0,E. Moreland makes 2-pt shot at rim (assist by L. Kennard),2,27-23,,
9:44.0,,,27-25,2,A. Len makes 2-pt shot at rim (assist by J. Dudley)
9:31.0,,,27-25,,Personal foul by S. Harrison (drawn by E. Moreland)
9:31.0,,,27-25,,T. Daniels enters the game for S. Harrison
9:31.0,,,27-25,,D. Bender enters the game for A. Len
9:31.0,,,27-25,,J. Jackson enters the game for D. Reed
9:25.0,R. Jackson misses 3-pt shot from 24 ft,,27-25,,
9:23.0,Offensive rebound by E. Moreland,,27-25,,
9:21.0,E. Moreland misses 2-pt shot from 3 ft,,27-25,,
9:19.0,Offensive rebound by J. Ennis,,27-25,,
9:19.0,Turnover by J. Ennis (traveling),,27-25,,
9:12.0,,,27-25,,D. Bender misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by L. Kennard,,27-25,,
9:01.0,,,27-25,,Personal foul by T. Ulis (drawn by L. Kennard)
8:54.0,R. Jackson makes 2-pt shot from 12 ft,2,29-25,,
8:36.0,,,29-25,,J. Dudley misses 2-pt shot from 6 ft (block by E. Moreland)
8:33.0,Defensive rebound by E. Moreland,,29-25,,
8:26.0,J. Ennis misses 3-pt shot from 22 ft,,29-25,,
8:22.0,,,29-25,,Defensive rebound by T. Ulis
8:12.0,Personal block foul by R. Jackson (drawn by J. Jackson),,29-25,,
8:12.0,I. Smith enters the game for R. Jackson,,29-25,,
7:57.0,,,29-27,2,J. Dudley makes 2-pt shot at rim (assist by D. Bender)
7:48.0,Detroit full timeout,,29-27,,
7:48.0,B. Griffin enters the game for E. Moreland,,29-27,,
7:39.0,Shooting foul by T. Ulis (drawn by B. Griffin),,29-27,,
7:39.0,B. Griffin makes free throw 1 of 2,1,30-27,,
7:39.0,R. Bullock enters the game for L. Kennard,,30-27,,
7:39.0,B. Griffin makes free throw 2 of 2,1,31-27,,
7:17.0,,,31-27,,J. Jackson misses 2-pt shot from 10 ft
7:14.0,Defensive rebound by A. Tolliver,,31-27,,
7:08.0,,,31-27,,Personal foul by J. Dudley (drawn by J. Ennis)
7:08.0,,,31-27,,E. Payton enters the game for T. Ulis
6:56.0,R. Bullock misses 2-pt shot from 15 ft,,31-27,,
6:54.0,Offensive rebound by J. Ennis,,31-27,,
6:52.0,J. Ennis makes 2-pt shot from 9 ft,2,33-27,,
6:33.0,,,33-29,2,D. Bender makes 2-pt shot from 1 ft
6:26.0,A. Tolliver misses 3-pt shot from 25 ft,,33-29,,
6:24.0,,,33-29,,Defensive rebound by Team
6:24.0,,,33-29,,M. Chriss enters the game for J. Dudley
6:01.0,,,33-31,2,E. Payton makes 2-pt shot from 5 ft
5:48.0,,,33-31,,Personal block foul by E. Payton (drawn by B. Griffin)
5:48.0,B. Griffin makes free throw 1 of 2,1,34-31,,
5:48.0,A. Drummond enters the game for A. Tolliver,,34-31,,
5:48.0,B. Griffin makes free throw 2 of 2,1,35-31,,
5:40.0,,,35-31,,Offensive foul by M. Chriss (drawn by J. Ennis)
5:40.0,,,35-31,,Turnover by M. Chriss (offensive foul)
5:40.0,,,35-31,,A. Len enters the game for M. Chriss
5:20.0,Turnover by A. Drummond (turnover),,35-31,,
5:09.0,,,35-33,2,A. Len makes 2-pt shot from 3 ft (assist by E. Payton)
4:50.0,R. Bullock misses 2-pt shot from 2 ft (block by A. Len),,35-33,,
4:47.0,,,35-33,,Defensive rebound by A. Len
4:42.0,,,35-33,,Turnover by T. Daniels (bad pass; steal by R. Bullock)
4:39.0,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith),2,37-33,,
4:39.0,Shooting foul by A. Len (drawn by A. Drummond),,37-33,,
4:39.0,S. Johnson enters the game for J. Ennis,,37-33,,
4:39.0,A. Drummond misses free throw 1 of 1,,37-33,,
4:39.0,,,37-33,,Defensive rebound by D. Bender
4:33.0,,,37-35,2,J. Jackson makes 2-pt shot from 16 ft
4:10.0,A. Drummond misses 2-pt shot at rim,,37-35,,
4:07.0,,,37-35,,Defensive rebound by T. Daniels
4:00.0,,,37-35,,J. Jackson misses 2-pt shot from 9 ft (block by A. Drummond)
3:56.0,Defensive rebound by R. Bullock,,37-35,,
3:53.0,S. Johnson misses 2-pt shot at rim (block by D. Bender),,37-35,,
3:51.0,,,37-35,,Defensive rebound by E. Payton
3:46.0,,,37-35,,D. Bender misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by A. Drummond,,37-35,,
3:35.0,B. Griffin makes 3-pt shot from 25 ft,3,40-35,,
3:34.0,,,40-35,,Phoenix full timeout
3:23.0,,,40-35,,T. Daniels misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by B. Griffin,,40-35,,
3:01.0,B. Griffin makes 2-pt shot from 20 ft (assist by I. Smith),2,42-35,,
2:42.0,,,42-38,3,D. Bender makes 3-pt shot from 25 ft (assist by E. Payton)
2:19.0,Turnover by A. Drummond (turnover),,42-38,,
2:02.0,,,42-38,,J. Jackson misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by A. Drummond,,42-38,,
1:42.0,R. Bullock misses 3-pt shot from 25 ft,,42-38,,
1:39.0,,,42-38,,Defensive rebound by J. Jackson
1:34.0,,,42-38,,J. Jackson misses 2-pt shot from 19 ft (block by A. Drummond)
1:30.0,Defensive rebound by B. Griffin,,42-38,,
1:28.0,A. Drummond makes 2-pt shot at rim (assist by B. Griffin),2,44-38,,
1:16.0,,,44-38,,E. Payton misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by A. Drummond,,44-38,,
1:10.0,S. Johnson misses 2-pt shot from 1 ft,,44-38,,
1:07.0,,,44-38,,Defensive rebound by J. Jackson
1:06.0,,,44-38,,Turnover by J. Jackson (traveling)
1:06.0,,,44-38,,T. Ulis enters the game for E. Payton
1:06.0,,,44-38,,D. Reed enters the game for T. Daniels
1:06.0,L. Kennard enters the game for A. Drummond,,44-38,,
1:06.0,A. Tolliver enters the game for R. Bullock,,44-38,,
0:55.0,I. Smith misses 2-pt shot from 19 ft,,44-38,,
0:52.0,,,44-38,,Defensive rebound by A. Len
0:35.0,,,44-38,,D. Reed misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by Team,,44-38,,
0:24.0,L. Kennard misses 2-pt shot from 19 ft,,44-38,,
0:21.0,,,44-38,,Defensive rebound by A. Len
0:01.0,,,44-38,,A. Len misses 2-pt shot from 1 ft (block by A. Tolliver)
0:01.0,Defensive rebound by B. Griffin,,44-38,,
0:00.0,B. Griffin misses 3-pt shot from 68 ft,,44-38,,
0:00.0,Offensive rebound by Team,,44-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,44-38,,D. Bender misses 3-pt shot from 22 ft
11:36.0,,,44-38,,Offensive rebound by A. Len
11:31.0,,,44-38,,T. Daniels misses 2-pt shot from 19 ft
11:28.0,Defensive rebound by A. Drummond,,44-38,,
11:12.0,R. Bullock misses 2-pt shot from 18 ft,,44-38,,
11:09.0,Offensive rebound by A. Drummond,,44-38,,
11:02.0,R. Jackson misses 2-pt shot from 11 ft,,44-38,,
11:00.0,Offensive rebound by S. Johnson,,44-38,,
10:52.0,B. Griffin misses 3-pt shot from 25 ft,,44-38,,
10:51.0,,,44-38,,Defensive rebound by Team
10:42.0,,,44-38,,Turnover by E. Payton (bad pass; steal by S. Johnson)
10:40.0,Shooting foul by J. Jackson (drawn by S. Johnson),,44-38,,
10:40.0,S. Johnson misses free throw 1 of 2,,44-38,,
10:40.0,Offensive rebound by Team,,44-38,,
10:40.0,S. Johnson makes free throw 2 of 2,1,45-38,,
10:25.0,,,45-38,,Turnover by D. Bender (bad pass)
10:05.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,47-38,,
9:53.0,,,47-38,,Shooting foul by R. Bullock (drawn by T. Daniels)
9:53.0,,,47-38,,T. Daniels misses free throw 1 of 3
9:53.0,,,47-38,,Offensive rebound by Team
9:53.0,,,47-39,1,T. Daniels makes free throw 2 of 3
9:53.0,,,47-40,1,T. Daniels makes free throw 3 of 3
9:39.0,R. Bullock makes 2-pt shot from 4 ft (assist by B. Griffin),2,49-40,,
9:27.0,,,49-42,2,A. Len makes 2-pt shot at rim (assist by E. Payton)
9:12.0,S. Johnson makes 2-pt shot at rim (assist by B. Griffin),2,51-42,,
9:01.0,,,51-44,2,A. Len makes 2-pt shot at rim (assist by E. Payton)
8:44.0,R. Bullock makes 2-pt shot from 18 ft,2,53-44,,
8:30.0,,,53-44,,Turnover by D. Bender (bad pass; steal by S. Johnson)
8:30.0,,,53-44,,Personal foul by A. Len (drawn by A. Drummond)
8:30.0,,,53-44,,T. Ulis enters the game for E. Payton
8:30.0,I. Smith enters the game for R. Jackson,,53-44,,
8:06.0,S. Johnson misses 2-pt shot from 22 ft,,53-44,,
8:04.0,Offensive rebound by A. Drummond,,53-44,,
7:59.0,Offensive foul by A. Drummond (drawn by D. Bender),,53-44,,
7:59.0,Turnover by A. Drummond (offensive foul),,53-44,,
7:43.0,,,53-44,,D. Bender misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by I. Smith,,53-44,,
7:28.0,I. Smith misses 2-pt shot from 4 ft (block by A. Len),,53-44,,
7:25.0,Offensive rebound by B. Griffin,,53-44,,
7:24.0,B. Griffin makes 2-pt shot at rim,2,55-44,,
7:24.0,Shooting foul by J. Jackson (drawn by B. Griffin),,55-44,,
7:24.0,B. Griffin makes free throw 1 of 1,1,56-44,,
7:15.0,,,56-44,,J. Jackson misses 2-pt shot from 6 ft (block by S. Johnson)
7:12.0,Defensive rebound by S. Johnson,,56-44,,
7:01.0,A. Drummond makes 2-pt shot from 7 ft,2,58-44,,
7:01.0,,,58-44,,Phoenix full timeout
7:01.0,,,58-44,,A. Peters enters the game for A. Len
7:01.0,,,58-44,,J. Dudley enters the game for D. Bender
6:45.0,,,58-44,,Shooting foul by S. Johnson (drawn by J. Jackson)
6:45.0,,,58-45,1,J. Jackson makes free throw 1 of 2
6:45.0,,,58-46,1,J. Jackson makes free throw 2 of 2
6:20.0,B. Griffin makes 2-pt shot from 18 ft,2,60-46,,
6:03.0,,,60-46,,Turnover by T. Ulis (lost ball; steal by A. Drummond)
5:51.0,I. Smith makes 2-pt shot from 5 ft (assist by B. Griffin),2,62-46,,
5:45.0,,,62-48,2,J. Jackson makes 2-pt shot at rim (assist by T. Ulis)
5:33.0,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin),3,65-48,,
5:20.0,,,65-48,,J. Dudley misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by A. Drummond,,65-48,,
5:11.0,I. Smith makes 2-pt shot at rim,2,67-48,,
5:01.0,,,67-48,,A. Peters misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by I. Smith,,67-48,,
4:56.0,Shooting foul by T. Ulis (drawn by I. Smith),,67-48,,
4:56.0,I. Smith makes free throw 1 of 2,1,68-48,,
4:56.0,A. Tolliver enters the game for A. Drummond,,68-48,,
4:56.0,I. Smith makes free throw 2 of 2,1,69-48,,
4:46.0,,,69-51,3,T. Daniels makes 3-pt shot from 25 ft (assist by T. Ulis)
4:24.0,I. Smith misses 3-pt shot from 25 ft,,69-51,,
4:20.0,Offensive rebound by B. Griffin,,69-51,,
4:17.0,I. Smith misses 2-pt shot at rim,,69-51,,
4:15.0,,,69-51,,Defensive rebound by T. Daniels
4:11.0,,,69-51,,J. Jackson misses 2-pt shot from 1 ft (block by B. Griffin)
4:05.0,Defensive rebound by A. Tolliver,,69-51,,
4:03.0,S. Johnson makes 2-pt shot at rim,2,71-51,,
4:03.0,,,71-51,,Phoenix full timeout
4:03.0,L. Kennard enters the game for R. Bullock,,71-51,,
3:52.0,,,71-54,3,T. Daniels makes 3-pt shot from 23 ft (assist by T. Ulis)
3:23.0,I. Smith makes 3-pt shot from 25 ft (assist by B. Griffin),3,74-54,,
3:12.0,,,74-57,3,T. Daniels makes 3-pt shot from 23 ft (assist by T. Ulis)
2:55.0,L. Kennard misses 3-pt shot from 25 ft,,74-57,,
2:52.0,,,74-57,,Defensive rebound by J. Dudley
2:47.0,Shooting block foul by L. Kennard (drawn by T. Ulis),,74-57,,
2:47.0,,,74-58,1,T. Ulis makes free throw 1 of 2
2:47.0,J. Ennis enters the game for L. Kennard,,74-58,,
2:47.0,,,74-59,1,T. Ulis makes free throw 2 of 2
2:25.0,S. Johnson misses 3-pt shot from 25 ft,,74-59,,
2:19.0,,,74-59,,Defensive rebound by T. Ulis
2:14.0,,,74-59,,J. Jackson misses 2-pt shot at rim
2:12.0,Defensive rebound by S. Johnson,,74-59,,
2:07.0,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith),3,77-59,,
1:45.0,,,77-59,,T. Daniels misses 2-pt shot from 21 ft
1:45.0,Defensive rebound by B. Griffin,,77-59,,
1:32.0,I. Smith misses 3-pt shot from 23 ft,,77-59,,
1:29.0,,,77-59,,Defensive rebound by J. Jackson
1:12.0,,,77-59,,T. Ulis misses 3-pt shot from 26 ft
1:05.0,,,77-59,,Offensive rebound by T. Ulis
1:04.0,,,77-59,,Turnover by J. Dudley (bad pass; steal by I. Smith)
1:01.0,B. Griffin misses 2-pt shot at rim,,77-59,,
0:59.0,,,77-59,,Defensive rebound by J. Jackson
0:59.0,,,77-61,2,J. Dudley makes 2-pt shot at rim (assist by J. Jackson)
0:37.0,S. Johnson misses 3-pt shot from 25 ft,,77-61,,
0:35.0,,,77-61,,Defensive rebound by J. Jackson
0:24.0,,,77-64,3,A. Peters makes 3-pt shot from 24 ft (assist by J. Dudley)
0:05.0,A. Tolliver makes 3-pt shot from 26 ft (assist by B. Griffin),3,80-64,,
0:01.0,,,80-64,,J. Jackson misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by A. Tolliver,,80-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,L. Kennard makes 2-pt shot from 18 ft (assist by R. Jackson),2,82-64,,
11:22.0,,,82-64,,D. Bender misses 2-pt shot at rim
11:22.0,,,82-64,,Offensive rebound by D. Bender
11:22.0,,,82-66,2,D. Bender makes 2-pt shot at rim
11:18.0,Detroit full timeout,,82-66,,
11:04.0,Turnover by J. Ennis (traveling),,82-66,,
10:47.0,,,82-66,,M. Chriss misses 2-pt shot from 13 ft (block by A. Drummond)
10:47.0,,,82-66,,Offensive rebound by Team
10:39.0,,,82-66,,A. Peters misses 3-pt shot from 22 ft
10:35.0,Defensive rebound by A. Drummond,,82-66,,
10:32.0,J. Ennis misses 2-pt shot at rim (block by S. Harrison),,82-66,,
10:32.0,Offensive rebound by A. Tolliver,,82-66,,
10:32.0,A. Tolliver makes 2-pt shot at rim,2,84-66,,
10:32.0,Shooting foul by S. Harrison (drawn by A. Tolliver),,84-66,,
10:32.0,A. Tolliver makes free throw 1 of 1,1,85-66,,
10:11.0,,,85-66,,Turnover by D. Bender (traveling)
10:00.0,R. Jackson makes 2-pt shot from 18 ft,2,87-66,,
9:51.0,,,87-66,,A. Peters misses 3-pt shot from 23 ft
9:47.0,Defensive rebound by A. Tolliver,,87-66,,
9:27.0,R. Jackson misses 2-pt shot from 17 ft,,87-66,,
9:25.0,,,87-66,,Defensive rebound by Team
9:25.0,,,87-66,,A. Len enters the game for D. Bender
9:09.0,,,87-66,,D. Reed misses 2-pt shot from 1 ft (block by L. Kennard)
9:06.0,Defensive rebound by A. Drummond,,87-66,,
9:03.0,L. Kennard misses 3-pt shot from 26 ft,,87-66,,
9:00.0,,,87-66,,Defensive rebound by A. Len
8:45.0,,,87-66,,A. Len misses 2-pt shot from 1 ft
8:42.0,,,87-66,,Offensive rebound by A. Len
8:42.0,,,87-68,2,A. Len makes 2-pt shot at rim
8:30.0,A. Tolliver misses 3-pt shot from 27 ft,,87-68,,
8:27.0,,,87-68,,Defensive rebound by A. Len
8:20.0,,,87-68,,Turnover by A. Len (bad pass; steal by A. Tolliver)
8:08.0,,,87-68,,T. Daniels enters the game for A. Peters
8:08.0,,,87-68,,J. Jackson enters the game for D. Reed
8:08.0,I. Smith enters the game for R. Jackson,,87-68,,
8:01.0,I. Smith misses 2-pt shot from 20 ft,,87-68,,
7:57.0,,,87-68,,Defensive rebound by T. Daniels
7:46.0,,,87-68,,Turnover by M. Chriss (lost ball; steal by I. Smith)
7:40.0,J. Ennis misses 3-pt shot from 28 ft,,87-68,,
7:37.0,,,87-68,,Defensive rebound by M. Chriss
7:29.0,,,87-68,,S. Harrison misses 2-pt shot from 1 ft (block by A. Drummond)
7:29.0,,,87-68,,Offensive rebound by Team
7:24.0,,,87-68,,M. Chriss misses 2-pt shot at rim (block by A. Tolliver)
7:24.0,,,87-68,,Offensive rebound by Team
7:24.0,Loose ball foul by A. Drummond (drawn by A. Len),,87-68,,
7:24.0,B. Griffin enters the game for A. Drummond,,87-68,,
7:15.0,,,87-70,2,M. Chriss makes 2-pt shot from 5 ft (assist by S. Harrison)
6:48.0,B. Griffin misses 2-pt shot from 17 ft,,87-70,,
6:46.0,Offensive rebound by J. Ennis,,87-70,,
6:45.0,L. Kennard makes 3-pt shot from 25 ft (assist by J. Ennis),3,90-70,,
6:25.0,,,90-72,2,J. Jackson makes 2-pt shot from 12 ft
6:09.0,J. Ennis makes 3-pt shot from 26 ft (assist by B. Griffin),3,93-72,,
6:09.0,,,93-72,,Phoenix full timeout
5:59.0,,,93-75,3,M. Chriss makes 3-pt shot from 24 ft (assist by J. Jackson)
5:39.0,B. Griffin makes 2-pt shot from 18 ft (assist by L. Kennard),2,95-75,,
5:32.0,,,95-75,,Turnover by J. Jackson (bad pass; steal by I. Smith)
5:28.0,J. Ennis misses 2-pt shot at rim (block by M. Chriss),,95-75,,
5:28.0,,,95-75,,Defensive rebound by Team
5:17.0,,,95-75,,Shooting foul by A. Tolliver (drawn by M. Chriss)
5:17.0,,,95-76,1,M. Chriss makes free throw 1 of 2
5:17.0,,,95-76,,E. Payton enters the game for S. Harrison
5:17.0,,,95-77,1,M. Chriss makes free throw 2 of 2
4:56.0,J. Ennis makes 3-pt shot from 25 ft (assist by B. Griffin),3,98-77,,
