time,Orlando,pts.away,score,pts.home,Milwaukee
8:26.0,,,10-10,,Defensive rebound by J. Parker
8:18.0,,,10-10,,J. Henson misses 2-pt shot from 20 ft
8:16.0,,,10-10,,Offensive rebound by J. Parker
8:00.0,,,10-10,,E. Bledsoe misses 3-pt shot from 23 ft
7:58.0,Defensive rebound by N. Vucevic,,10-10,,
7:52.0,N. Vucevic makes 2-pt shot from 3 ft (assist by D. Augustin),2,12-10,,
7:41.0,,,12-10,,T. Snell misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by A. Gordon,,12-10,,
7:33.0,Turnover by A. Gordon (lost ball; steal by T. Snell),,12-10,,
7:25.0,,,12-12,2,J. Parker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:02.0,A. Gordon misses 3-pt shot from 26 ft,,12-12,,
6:59.0,,,12-12,,Defensive rebound by E. Bledsoe
6:54.0,,,12-14,2,E. Bledsoe makes 2-pt shot from 1 ft
6:33.0,A. Gordon misses 3-pt shot from 24 ft,,12-14,,
6:30.0,,,12-14,,Defensive rebound by T. Snell
6:12.0,,,12-14,,K. Middleton misses 3-pt shot from 22 ft
6:09.0,Defensive rebound by M. Hezonja,,12-14,,
6:07.0,Shooting foul by J. Henson (drawn by W. Iwundu),,12-14,,
6:07.0,,,12-14,,Milwaukee full timeout
6:07.0,W. Iwundu misses free throw 1 of 2,,12-14,,
6:07.0,Offensive rebound by Team,,12-14,,
6:07.0,W. Iwundu makes free throw 2 of 2,1,13-14,,
5:50.0,,,13-14,,K. Middleton misses 2-pt shot from 14 ft
5:47.0,Defensive rebound by A. Gordon,,13-14,,
5:31.0,M. Hezonja makes 2-pt shot from 2 ft (assist by N. Vucevic),2,15-14,,
5:11.0,,,15-16,2,E. Bledsoe makes 2-pt shot from 1 ft
4:54.0,M. Hezonja misses 3-pt shot from 27 ft,,15-16,,
4:49.0,,,15-16,,Defensive rebound by E. Bledsoe
4:46.0,,,15-16,,E. Bledsoe misses 2-pt shot from 16 ft
4:43.0,Defensive rebound by A. Gordon,,15-16,,
4:33.0,N. Vucevic misses 2-pt shot from 5 ft (block by T. Snell),,15-16,,
4:30.0,,,15-16,,Defensive rebound by T. Snell
4:29.0,,,15-16,,Turnover by E. Bledsoe (bad pass)
4:29.0,,,15-16,,M. Brogdon enters the game for T. Snell
4:13.0,N. Vucevic misses 2-pt shot from 15 ft,,15-16,,
4:10.0,,,15-16,,Defensive rebound by K. Middleton
4:03.0,,,15-16,,J. Henson misses 2-pt shot from 8 ft
4:00.0,Defensive rebound by A. Gordon,,15-16,,
3:56.0,D. Augustin misses 3-pt shot from 23 ft,,15-16,,
3:56.0,Offensive rebound by Team,,15-16,,
3:56.0,,,15-16,,T. Zeller enters the game for J. Henson
3:56.0,B. Biyombo enters the game for N. Vucevic,,15-16,,
3:42.0,M. Hezonja misses 3-pt shot from 25 ft,,15-16,,
3:39.0,,,15-16,,Defensive rebound by J. Parker
3:30.0,,,15-18,2,K. Middleton makes 2-pt shot from 11 ft
3:15.0,Turnover by A. Gordon (bad pass; steal by K. Middleton),,15-18,,
3:10.0,,,15-20,2,J. Parker makes 2-pt shot from 1 ft (assist by K. Middleton)
3:10.0,Orlando full timeout,,15-20,,
3:10.0,,,15-20,,S. Muhammad enters the game for J. Parker
3:10.0,R. Purvis enters the game for D. Augustin,,15-20,,
3:10.0,S. Mack enters the game for W. Iwundu,,15-20,,
2:58.0,Turnover by A. Gordon (lost ball; steal by E. Bledsoe),,15-20,,
2:43.0,,,15-20,,E. Bledsoe misses 2-pt shot from 1 ft
2:40.0,Defensive rebound by S. Mack,,15-20,,
2:20.0,A. Gordon misses 2-pt shot from 16 ft,,15-20,,
2:16.0,,,15-20,,Defensive rebound by T. Zeller
2:08.0,,,15-22,2,S. Muhammad makes 2-pt shot from 1 ft
2:08.0,,,15-22,,Shooting foul by S. Mack (drawn by S. Muhammad)
2:08.0,,,15-23,1,S. Muhammad makes free throw 1 of 1
2:08.0,,,15-23,,B. Jennings enters the game for E. Bledsoe
2:08.0,J. Artis enters the game for M. Hezonja,,15-23,,
1:52.0,J. Artis misses 2-pt shot from 11 ft,,15-23,,
1:47.0,Offensive rebound by B. Biyombo,,15-23,,
1:38.0,B. Biyombo makes 2-pt shot from 1 ft (assist by S. Mack),2,17-23,,
1:24.0,,,17-25,2,K. Middleton makes 2-pt shot from 15 ft
1:16.0,B. Biyombo makes 2-pt shot from 1 ft (assist by S. Mack),2,19-25,,
0:56.0,,,19-28,3,S. Muhammad makes 3-pt shot from 22 ft (assist by M. Brogdon)
0:47.0,B. Biyombo makes 2-pt shot from 2 ft (assist by S. Mack),2,21-28,,
0:40.0,,,21-30,2,S. Muhammad makes 2-pt shot from 7 ft (assist by B. Jennings)
0:40.0,,,21-30,,Shooting foul by J. Artis (drawn by S. Muhammad)
0:40.0,,,21-31,1,S. Muhammad makes free throw 1 of 1
0:27.0,B. Biyombo misses 2-pt shot from 2 ft,,21-31,,
0:25.0,,,21-31,,Defensive rebound by M. Brogdon
0:07.0,,,21-31,,Turnover by K. Middleton (traveling)
0:00.0,R. Purvis misses 2-pt shot from 18 ft,,21-31,,
0:00.0,Offensive rebound by Team,,21-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,S. Mack misses 2-pt shot from 8 ft,,21-31,,
11:39.0,,,21-31,,Defensive rebound by S. Muhammad
11:25.0,,,21-31,,M. Brogdon misses 2-pt shot from 10 ft
11:23.0,Defensive rebound by R. Purvis,,21-31,,
11:16.0,R. Purvis misses 2-pt shot from 15 ft,,21-31,,
11:13.0,,,21-31,,Defensive rebound by T. Zeller
11:04.0,,,21-31,,S. Muhammad misses 2-pt shot from 6 ft
11:02.0,Defensive rebound by J. Artis,,21-31,,
10:52.0,Shooting foul by T. Zeller (drawn by K. Birch),,21-31,,
10:52.0,K. Birch makes free throw 1 of 2,1,22-31,,
10:52.0,,,22-31,,T. Snell enters the game for M. Brogdon
10:52.0,K. Birch misses free throw 2 of 2,,22-31,,
10:48.0,,,22-31,,Defensive rebound by S. Muhammad
10:40.0,,,22-31,,Turnover by B. Jennings (bad pass; steal by S. Mack)
10:24.0,S. Mack makes 3-pt shot from 26 ft (assist by J. Artis),3,25-31,,
10:00.0,,,25-31,,J. Parker misses 3-pt shot from 28 ft
10:00.0,,,25-31,,Offensive rebound by Team
9:45.0,,,25-31,,J. Parker misses 2-pt shot from 16 ft
9:43.0,Defensive rebound by B. Biyombo,,25-31,,
9:39.0,J. Artis misses 2-pt shot from 16 ft,,25-31,,
9:36.0,,,25-31,,Defensive rebound by B. Jennings
9:30.0,,,25-31,,T. Zeller misses 2-pt shot from 3 ft (block by B. Biyombo)
9:27.0,Defensive rebound by B. Biyombo,,25-31,,
9:20.0,S. Mack makes 2-pt shot at rim,2,27-31,,
9:04.0,,,27-31,,T. Snell misses 2-pt shot from 12 ft
9:01.0,,,27-31,,Offensive rebound by S. Muhammad
9:00.0,,,27-31,,S. Muhammad misses 2-pt shot from 2 ft
9:00.0,Defensive rebound by K. Birch,,27-31,,
9:00.0,,,27-31,,Personal foul by S. Muhammad (drawn by K. Birch)
8:52.0,S. Mack misses 3-pt shot from 27 ft,,27-31,,
8:47.0,,,27-31,,Defensive rebound by B. Jennings
8:41.0,,,27-31,,Offensive charge foul by T. Snell (drawn by S. Mack)
8:41.0,,,27-31,,Turnover by T. Snell (offensive foul)
8:27.0,B. Biyombo makes 2-pt shot at rim (assist by R. Purvis),2,29-31,,
8:19.0,,,29-31,,Milwaukee full timeout
8:19.0,,,29-31,,E. Bledsoe enters the game for B. Jennings
8:19.0,,,29-31,,M. Brogdon enters the game for T. Snell
8:00.0,,,29-31,,E. Bledsoe misses 3-pt shot from 27 ft
7:57.0,Defensive rebound by B. Biyombo,,29-31,,
7:42.0,R. Purvis misses 2-pt shot from 15 ft,,29-31,,
7:39.0,,,29-31,,Defensive rebound by J. Parker
7:24.0,,,29-31,,S. Muhammad misses 2-pt shot from 1 ft
7:24.0,Defensive rebound by Team,,29-31,,
7:05.0,K. Birch makes 2-pt shot from 3 ft,2,31-31,,
6:46.0,,,31-31,,M. Brogdon misses 2-pt shot from 1 ft
6:44.0,Defensive rebound by K. Birch,,31-31,,
6:35.0,K. Birch misses 2-pt shot from 4 ft,,31-31,,
6:31.0,,,31-31,,Defensive rebound by S. Muhammad
6:27.0,,,31-31,,Turnover by J. Parker (lost ball; steal by K. Birch)
6:03.0,S. Mack misses 3-pt shot from 27 ft,,31-31,,
5:58.0,,,31-31,,Defensive rebound by M. Brogdon
5:54.0,,,31-31,,M. Brogdon misses 2-pt shot from 1 ft
5:52.0,Defensive rebound by K. Birch,,31-31,,
5:47.0,R. Purvis misses 3-pt shot from 26 ft,,31-31,,
5:45.0,Offensive rebound by B. Biyombo,,31-31,,
5:45.0,B. Biyombo makes 2-pt shot at rim,2,33-31,,
5:45.0,Shooting foul by E. Bledsoe (drawn by B. Biyombo),,33-31,,
5:45.0,,,33-31,,J. Henson enters the game for J. Parker
5:45.0,,,33-31,,K. Middleton enters the game for T. Zeller
5:45.0,B. Biyombo misses free throw 1 of 1,,33-31,,
5:45.0,,,33-31,,Defensive rebound by S. Muhammad
5:33.0,,,33-31,,K. Middleton misses 3-pt shot from 22 ft
5:30.0,Defensive rebound by S. Mack,,33-31,,
5:14.0,R. Purvis misses 2-pt shot from 2 ft,,33-31,,
5:14.0,,,33-31,,Defensive rebound by E. Bledsoe
5:06.0,,,33-33,2,K. Middleton makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:55.0,Turnover by S. Mack (bad pass; steal by J. Henson),,33-33,,
4:36.0,,,33-35,2,K. Middleton makes 2-pt shot from 1 ft
4:36.0,Orlando full timeout,,33-35,,
4:36.0,,,33-35,,T. Snell enters the game for S. Muhammad
4:36.0,N. Vucevic enters the game for S. Mack,,33-35,,
4:36.0,D. Augustin enters the game for B. Biyombo,,33-35,,
4:36.0,W. Iwundu enters the game for R. Purvis,,33-35,,
4:24.0,J. Artis misses 2-pt shot from 10 ft,,33-35,,
4:21.0,,,33-35,,Defensive rebound by J. Henson
4:07.0,,,33-35,,Turnover by K. Middleton (bad pass; steal by K. Birch)
3:56.0,Turnover by D. Augustin (turnover),,33-35,,
3:37.0,,,33-35,,T. Snell misses 3-pt shot from 28 ft
3:34.0,Defensive rebound by K. Birch,,33-35,,
3:18.0,N. Vucevic makes 2-pt shot from 1 ft,2,35-35,,
3:18.0,,,35-35,,Violation by J. Henson (def goaltending)
3:04.0,,,35-35,,K. Middleton misses 2-pt shot from 4 ft
3:01.0,Defensive rebound by J. Artis,,35-35,,
2:53.0,Shooting foul by K. Middleton (drawn by K. Birch),,35-35,,
2:53.0,K. Birch misses free throw 1 of 2,,35-35,,
2:53.0,Offensive rebound by Team,,35-35,,
2:53.0,A. Gordon enters the game for J. Artis,,35-35,,
2:53.0,K. Birch makes free throw 2 of 2,1,36-35,,
2:41.0,,,36-35,,Turnover by K. Middleton (traveling)
2:41.0,M. Hezonja enters the game for K. Birch,,36-35,,
2:28.0,W. Iwundu misses 3-pt shot from 23 ft,,36-35,,
2:26.0,Offensive rebound by M. Hezonja,,36-35,,
2:25.0,Turnover by A. Gordon (traveling),,36-35,,
2:13.0,,,36-35,,E. Bledsoe misses 3-pt shot from 27 ft
2:11.0,Defensive rebound by N. Vucevic,,36-35,,
2:07.0,Offensive foul by D. Augustin,,36-35,,
2:07.0,Turnover by D. Augustin (offensive foul),,36-35,,
2:07.0,Technical foul by D. Augustin,,36-35,,
2:07.0,,,36-36,1,K. Middleton makes technical free throw
1:54.0,,,36-39,3,T. Snell makes 3-pt shot from 26 ft (assist by E. Bledsoe)
1:36.0,Turnover by N. Vucevic (bad pass; steal by E. Bledsoe),,36-39,,
1:34.0,,,36-41,2,E. Bledsoe makes 2-pt shot from 1 ft
1:34.0,Orlando full timeout,,36-41,,
1:23.0,N. Vucevic makes 2-pt shot from 17 ft (assist by D. Augustin),2,38-41,,
1:00.0,,,38-43,2,M. Brogdon makes 2-pt shot from 1 ft (assist by E. Bledsoe)
0:45.0,M. Hezonja misses 3-pt shot from 25 ft,,38-43,,
0:44.0,Offensive rebound by N. Vucevic,,38-43,,
0:44.0,N. Vucevic makes 2-pt shot at rim,2,40-43,,
0:39.0,,,40-43,,T. Snell misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by W. Iwundu,,40-43,,
0:25.0,N. Vucevic makes 2-pt shot from 18 ft,2,42-43,,
0:14.0,Personal foul by D. Augustin (drawn by E. Bledsoe),,42-43,,
0:14.0,S. Mack enters the game for D. Augustin,,42-43,,
0:02.0,,,42-45,2,K. Middleton makes 2-pt shot from 17 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Gordon misses 2-pt shot from 8 ft,,42-45,,
11:40.0,,,42-45,,Defensive rebound by K. Middleton
11:22.0,,,42-45,,J. Henson misses 2-pt shot from 1 ft
11:20.0,Defensive rebound by N. Vucevic,,42-45,,
11:09.0,A. Gordon makes 3-pt shot from 22 ft (assist by W. Iwundu),3,45-45,,
10:51.0,,,45-45,,K. Middleton misses 2-pt shot from 18 ft
10:48.0,,,45-45,,Offensive rebound by J. Henson
10:46.0,,,45-47,2,J. Parker makes 2-pt shot from 12 ft (assist by J. Henson)
10:30.0,N. Vucevic misses 2-pt shot from 19 ft,,45-47,,
10:30.0,,,45-47,,Defensive rebound by E. Bledsoe
10:21.0,,,45-47,,E. Bledsoe misses 2-pt shot from 10 ft
10:18.0,Defensive rebound by N. Vucevic,,45-47,,
10:10.0,,,45-47,,Personal foul by K. Middleton (drawn by D. Augustin)
9:56.0,W. Iwundu makes 2-pt shot from 1 ft,2,47-47,,
9:43.0,,,47-47,,J. Parker misses 2-pt shot from 19 ft
9:36.0,,,47-47,,Offensive rebound by E. Bledsoe
9:36.0,,,47-47,,E. Bledsoe misses 2-pt shot at rim
9:35.0,Defensive rebound by N. Vucevic,,47-47,,
9:27.0,N. Vucevic makes 2-pt shot from 6 ft (assist by D. Augustin),2,49-47,,
9:14.0,,,49-47,,J. Parker misses 2-pt shot from 2 ft (block by N. Vucevic)
9:10.0,,,49-47,,Offensive rebound by J. Parker
9:08.0,,,49-47,,T. Snell misses 3-pt shot from 25 ft
9:06.0,,,49-47,,Offensive rebound by J. Henson
9:03.0,,,49-50,3,T. Snell makes 3-pt shot from 23 ft (assist by J. Henson)
8:42.0,A. Gordon misses 2-pt shot from 19 ft,,49-50,,
8:40.0,,,49-50,,Defensive rebound by K. Middleton
8:32.0,,,49-50,,K. Middleton misses 2-pt shot from 11 ft
8:30.0,Defensive rebound by N. Vucevic,,49-50,,
8:21.0,D. Augustin makes 3-pt shot from 26 ft,3,52-50,,
8:08.0,,,52-50,,Turnover by E. Bledsoe (step out of bounds)
8:00.0,,,52-50,,Personal foul by E. Bledsoe (drawn by D. Augustin)
7:50.0,Turnover by N. Vucevic (bad pass; steal by K. Middleton),,52-50,,
7:46.0,,,52-50,,Shooting foul by A. Gordon (drawn by J. Henson)
7:46.0,,,52-50,,J. Henson misses free throw 1 of 2
7:46.0,,,52-50,,Offensive rebound by Team
7:46.0,,,52-50,,J. Henson misses free throw 2 of 2
7:43.0,,,52-50,,Offensive rebound by J. Parker
7:40.0,,,52-50,,Turnover by J. Parker (traveling)
7:20.0,Turnover by D. Augustin (lost ball; steal by J. Henson),,52-50,,
7:16.0,,,52-52,2,T. Snell makes 2-pt shot from 1 ft (assist by E. Bledsoe)
6:56.0,A. Gordon makes 2-pt shot from 15 ft,2,54-52,,
6:45.0,,,54-54,2,J. Parker makes 2-pt shot from 3 ft (assist by J. Henson)
6:33.0,,,54-54,,Personal foul by J. Parker (drawn by A. Gordon)
6:33.0,,,54-54,,Milwaukee full timeout
6:24.0,N. Vucevic makes 2-pt shot from 18 ft (assist by D. Augustin),2,56-54,,
6:15.0,,,56-54,,Turnover by J. Parker (bad pass; steal by A. Gordon)
6:12.0,N. Vucevic makes 2-pt shot from 1 ft (assist by A. Gordon),2,58-54,,
6:12.0,Shooting foul by J. Parker (drawn by N. Vucevic),,58-54,,
6:12.0,N. Vucevic makes free throw 1 of 1,1,59-54,,
5:53.0,,,59-54,,Turnover by J. Parker (bad pass; steal by D. Augustin)
5:49.0,W. Iwundu makes 2-pt shot from 1 ft (assist by D. Augustin),2,61-54,,
5:27.0,,,61-54,,Shooting foul by N. Vucevic (drawn by E. Bledsoe)
5:27.0,,,61-55,1,E. Bledsoe makes free throw 1 of 2
5:27.0,,,61-55,,S. Muhammad enters the game for T. Snell
5:27.0,,,61-55,,J. Terry enters the game for J. Parker
5:27.0,,,61-56,1,E. Bledsoe makes free throw 2 of 2
5:22.0,Turnover by D. Augustin (bad pass),,61-56,,
5:08.0,,,61-56,,J. Henson misses 2-pt shot from 4 ft
5:05.0,Defensive rebound by N. Vucevic,,61-56,,
5:02.0,D. Augustin misses 2-pt shot from 4 ft (block by K. Middleton),,61-56,,
4:59.0,,,61-56,,Defensive rebound by J. Henson
4:53.0,,,61-58,2,S. Muhammad makes 2-pt shot from 4 ft (assist by E. Bledsoe)
4:30.0,Turnover by A. Gordon (bad pass; steal by E. Bledsoe),,61-58,,
4:28.0,,,61-58,,Shooting foul by M. Hezonja (drawn by E. Bledsoe)
4:28.0,,,61-59,1,E. Bledsoe makes free throw 1 of 2
4:28.0,Orlando full timeout,,61-59,,
4:28.0,,,61-60,1,E. Bledsoe makes free throw 2 of 2
4:14.0,A. Gordon misses 3-pt shot from 26 ft,,61-60,,
4:10.0,,,61-60,,Defensive rebound by E. Bledsoe
4:00.0,,,61-60,,J. Henson misses 2-pt shot from 1 ft
3:57.0,Defensive rebound by D. Augustin,,61-60,,
3:56.0,M. Hezonja makes 2-pt shot from 2 ft (assist by D. Augustin),2,63-60,,
3:33.0,,,63-60,,Turnover by Team (shot clock)
3:33.0,,,63-60,,T. Zeller enters the game for J. Henson
3:33.0,S. Mack enters the game for A. Gordon,,63-60,,
3:33.0,K. Birch enters the game for W. Iwundu,,63-60,,
3:19.0,N. Vucevic misses 2-pt shot from 15 ft,,63-60,,
3:15.0,,,63-60,,Defensive rebound by S. Muhammad
3:08.0,,,63-62,2,K. Middleton makes 2-pt shot from 17 ft
2:42.0,N. Vucevic misses 2-pt shot from 6 ft,,63-62,,
2:38.0,Offensive rebound by K. Birch,,63-62,,
2:38.0,N. Vucevic misses 2-pt shot from 2 ft,,63-62,,
2:35.0,,,63-62,,Defensive rebound by S. Muhammad
2:30.0,,,63-65,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by K. Middleton)
2:15.0,Offensive charge foul by N. Vucevic (drawn by S. Muhammad),,63-65,,
2:15.0,Turnover by N. Vucevic (offensive foul),,63-65,,
2:15.0,,,63-65,,B. Jennings enters the game for E. Bledsoe
2:15.0,J. Artis enters the game for M. Hezonja,,63-65,,
2:02.0,,,63-65,,K. Middleton misses 2-pt shot from 16 ft
1:59.0,Defensive rebound by N. Vucevic,,63-65,,
1:50.0,N. Vucevic misses 2-pt shot from 20 ft,,63-65,,
1:46.0,,,63-65,,Defensive rebound by K. Middleton
1:43.0,,,63-67,2,S. Muhammad makes 2-pt shot from 1 ft (assist by K. Middleton)
1:30.0,K. Birch makes 2-pt shot from 1 ft (assist by N. Vucevic),2,65-67,,
1:12.0,,,65-67,,S. Muhammad misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by K. Birch,,65-67,,
1:00.0,K. Birch makes 2-pt shot from 2 ft (assist by N. Vucevic),2,67-67,,
0:47.0,,,67-67,,Shooting foul by N. Vucevic (drawn by S. Muhammad)
0:47.0,,,67-68,1,S. Muhammad makes free throw 1 of 2
0:47.0,B. Biyombo enters the game for N. Vucevic,,67-68,,
0:47.0,R. Purvis enters the game for D. Augustin,,67-68,,
0:47.0,,,67-69,1,S. Muhammad makes free throw 2 of 2
0:31.0,S. Mack misses 3-pt shot from 27 ft,,67-69,,
0:28.0,,,67-69,,Defensive rebound by K. Middleton
0:13.0,,,67-72,3,B. Jennings makes 3-pt shot from 26 ft
0:09.0,J. Artis misses 3-pt shot from 26 ft,,67-72,,
0:04.0,,,67-72,,Defensive rebound by K. Middleton
0:01.0,,,67-74,2,S. Muhammad makes 2-pt shot from 1 ft (assist by K. Middleton)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,67-74,,S. Muhammad misses 2-pt shot from 3 ft
11:42.0,Defensive rebound by K. Birch,,67-74,,
11:20.0,Shooting foul by B. Jennings (drawn by S. Mack),,67-74,,
11:20.0,S. Mack makes free throw 1 of 2,1,68-74,,
11:20.0,S. Mack misses free throw 2 of 2,,68-74,,
11:16.0,,,68-74,,Defensive rebound by S. Muhammad
11:07.0,,,68-76,2,T. Zeller makes 2-pt shot from 1 ft (assist by K. Middleton)
10:40.0,Turnover by Team (shot clock),,68-76,,
10:31.0,,,68-76,,K. Middleton misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by Team,,68-76,,
10:30.0,,,68-76,,Loose ball foul by S. Muhammad (drawn by K. Birch)
10:30.0,A. Gordon enters the game for K. Birch,,68-76,,
10:15.0,A. Gordon misses 3-pt shot from 26 ft,,68-76,,
10:10.0,,,68-76,,Defensive rebound by B. Jennings
9:53.0,,,68-76,,S. Muhammad misses 2-pt shot from 1 ft
9:51.0,Defensive rebound by B. Biyombo,,68-76,,
9:42.0,J. Artis misses 3-pt shot from 25 ft,,68-76,,
9:38.0,,,68-76,,Defensive rebound by B. Jennings
9:35.0,,,68-76,,Shooting foul by R. Purvis (drawn by K. Middleton)
9:35.0,,,68-77,1,K. Middleton makes free throw 1 of 2
9:35.0,,,68-78,1,K. Middleton makes free throw 2 of 2
9:15.0,B. Biyombo makes 2-pt shot from 15 ft (assist by A. Gordon),2,70-78,,
9:02.0,,,70-78,,Turnover by J. Terry (bad pass)
9:02.0,,,70-78,,J. Parker enters the game for K. Middleton
8:46.0,Shooting foul by S. Muhammad (drawn by B. Biyombo),,70-78,,
8:46.0,B. Biyombo makes free throw 1 of 2,1,71-78,,
8:46.0,,,71-78,,E. Bledsoe enters the game for B. Jennings
8:46.0,B. Biyombo makes free throw 2 of 2,1,72-78,,
8:30.0,,,72-78,,Shooting foul by B. Biyombo (drawn by S. Muhammad)
8:30.0,,,72-79,1,S. Muhammad makes free throw 1 of 2
8:30.0,,,72-80,1,S. Muhammad makes free throw 2 of 2
8:22.0,Turnover by B. Biyombo (bad pass),,72-80,,
8:12.0,,,72-83,3,J. Parker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
7:59.0,A. Gordon misses 2-pt shot from 2 ft,,72-83,,
7:59.0,,,72-83,,Defensive rebound by E. Bledsoe
7:59.0,Personal foul by B. Biyombo (drawn by E. Bledsoe),,72-83,,
7:59.0,M. Hezonja enters the game for J. Artis,,72-83,,
7:41.0,,,72-83,,E. Bledsoe misses 2-pt shot from 20 ft
7:38.0,,,72-83,,Offensive rebound by T. Zeller
7:32.0,,,72-83,,Turnover by T. Zeller (bad pass)
7:25.0,S. Mack misses 2-pt shot from 17 ft,,72-83,,
7:23.0,,,72-83,,Defensive rebound by J. Parker
7:21.0,,,72-85,2,S. Muhammad makes 2-pt shot at rim (assist by E. Bledsoe)
7:21.0,,,72-85,,Shooting foul by S. Mack (drawn by S. Muhammad)
7:21.0,Orlando full timeout,,72-85,,
7:21.0,N. Vucevic enters the game for S. Mack,,72-85,,
7:21.0,W. Iwundu enters the game for B. Biyombo,,72-85,,
7:21.0,D. Augustin enters the game for R. Purvis,,72-85,,
7:21.0,,,72-86,1,S. Muhammad makes free throw 1 of 1
7:07.0,W. Iwundu makes 3-pt shot from 23 ft (assist by D. Augustin),3,75-86,,
6:37.0,,,75-86,,J. Terry misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by M. Hezonja,,75-86,,
6:28.0,Turnover by D. Augustin (bad pass; steal by J. Parker),,75-86,,
6:20.0,,,75-86,,S. Muhammad misses 2-pt shot from 1 ft (block by N. Vucevic)
6:18.0,Defensive rebound by N. Vucevic,,75-86,,
6:14.0,D. Augustin misses 3-pt shot from 25 ft,,75-86,,
6:12.0,Offensive rebound by Team,,75-86,,
6:12.0,,,75-86,,T. Snell enters the game for J. Terry
6:12.0,,,75-86,,K. Middleton enters the game for S. Muhammad
5:58.0,M. Hezonja makes 2-pt shot at rim (assist by N. Vucevic),2,77-86,,
5:33.0,,,77-89,3,K. Middleton makes 3-pt shot from 23 ft (assist by E. Bledsoe)
5:19.0,M. Hezonja misses 3-pt shot from 24 ft,,77-89,,
5:17.0,,,77-89,,Defensive rebound by E. Bledsoe
5:11.0,,,77-89,,E. Bledsoe misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by W. Iwundu,,77-89,,
5:03.0,W. Iwundu misses 2-pt shot from 2 ft,,77-89,,
5:00.0,,,77-89,,Defensive rebound by T. Zeller
4:55.0,,,77-89,,J. Parker misses 3-pt shot from 26 ft
4:54.0,,,77-89,,Offensive rebound by T. Zeller
4:54.0,,,77-91,2,T. Zeller makes 2-pt shot at rim
4:54.0,Orlando full timeout,,77-91,,
4:54.0,,,77-91,,J. Henson enters the game for T. Zeller
4:32.0,Shooting foul by J. Henson (drawn by D. Augustin),,77-91,,
