time,New York,pts.away,score,pts.home,Portland
8:37.0,,,10-7,1,D. Lillard makes free throw 3 of 3
8:22.0,E. Mudiay misses 2-pt shot from 1 ft (block by A. Aminu),,10-7,,
8:20.0,,,10-7,,Defensive rebound by J. Nurkic
8:15.0,,,10-7,,D. Lillard misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by E. Kanter,,10-7,,
8:05.0,F. Ntilikina misses 3-pt shot from 24 ft,,10-7,,
8:02.0,,,10-7,,Defensive rebound by E. Turner
7:58.0,,,10-7,,Turnover by E. Turner (bad pass; steal by T. Hardaway)
7:52.0,T. Hardaway misses 2-pt shot from 2 ft,,10-7,,
7:47.0,Offensive rebound by E. Kanter,,10-7,,
7:47.0,E. Kanter makes 2-pt shot at rim,2,12-7,,
7:29.0,,,12-9,2,J. Nurkic makes 2-pt shot from 1 ft (assist by E. Turner)
7:12.0,,,12-9,,Violation by J. Nurkic (kicked ball)
7:08.0,Offensive foul by E. Mudiay (drawn by D. Lillard),,12-9,,
7:08.0,Turnover by E. Mudiay (offensive foul),,12-9,,
6:55.0,,,12-12,3,A. Aminu makes 3-pt shot from 25 ft (assist by E. Turner)
6:42.0,T. Hardaway misses 2-pt shot from 14 ft (block by E. Turner),,12-12,,
6:42.0,Offensive rebound by T. Hardaway,,12-12,,
6:38.0,T. Hardaway makes 2-pt shot from 8 ft,2,14-12,,
6:24.0,,,14-12,,Shooting foul by F. Ntilikina (drawn by E. Turner)
6:24.0,,,14-12,,Portland full timeout
6:24.0,D. Dotson enters the game for F. Ntilikina,,14-12,,
6:24.0,,,14-13,1,E. Turner makes free throw 1 of 2
6:24.0,,,14-14,1,E. Turner makes free throw 2 of 2
6:10.0,T. Hardaway makes 2-pt shot from 13 ft (assist by L. Thomas),2,16-14,,
5:56.0,,,16-16,2,E. Turner makes 2-pt shot from 8 ft (assist by J. Nurkic)
5:43.0,T. Hardaway misses 3-pt shot from 26 ft,,16-16,,
5:42.0,,,16-16,,Defensive rebound by J. Nurkic
5:33.0,,,16-16,,E. Turner misses 2-pt shot from 9 ft
5:29.0,,,16-16,,Offensive rebound by J. Nurkic
5:29.0,,,16-18,2,J. Nurkic makes 2-pt shot at rim
5:18.0,Turnover by E. Mudiay (bad pass),,16-18,,
5:18.0,K. O'Quinn enters the game for E. Kanter,,16-18,,
5:03.0,,,16-21,3,C. McCollum makes 3-pt shot from 23 ft (assist by E. Turner)
4:53.0,New York full timeout,,16-21,,
4:53.0,,,16-21,,E. Davis enters the game for A. Aminu
4:53.0,,,16-21,,Z. Collins enters the game for J. Nurkic
4:51.0,Offensive foul by T. Hardaway (drawn by C. McCollum),,16-21,,
4:51.0,Turnover by T. Hardaway (offensive foul),,16-21,,
4:31.0,,,16-21,,Turnover by C. McCollum (bad pass; steal by E. Mudiay)
4:27.0,T. Hardaway makes 2-pt shot from 1 ft (assist by E. Mudiay),2,18-21,,
4:12.0,,,18-21,,C. McCollum misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by K. O'Quinn,,18-21,,
4:01.0,E. Mudiay makes 2-pt shot at rim,2,20-21,,
4:01.0,Shooting foul by D. Lillard (drawn by E. Mudiay),,20-21,,
4:01.0,,,20-21,,S. Napier enters the game for E. Turner
4:01.0,,,20-21,,P. Connaughton enters the game for C. McCollum
4:01.0,M. Beasley enters the game for L. Thomas,,20-21,,
4:01.0,E. Mudiay makes free throw 1 of 1,1,21-21,,
3:41.0,,,21-24,3,D. Lillard makes 3-pt shot from 29 ft (assist by S. Napier)
3:27.0,T. Hardaway makes 3-pt shot from 24 ft (assist by E. Mudiay),3,24-24,,
3:03.0,,,24-24,,E. Davis misses 2-pt shot from 3 ft (block by K. O'Quinn)
3:01.0,Defensive rebound by T. Hardaway,,24-24,,
2:50.0,M. Beasley makes 2-pt shot from 17 ft,2,26-24,,
2:34.0,,,26-27,3,D. Lillard makes 3-pt shot from 22 ft (assist by P. Connaughton)
2:09.0,T. Hardaway misses 2-pt shot from 15 ft,,26-27,,
2:08.0,,,26-27,,Defensive rebound by Team
2:08.0,Loose ball foul by K. O'Quinn (drawn by E. Davis),,26-27,,
1:56.0,,,26-27,,D. Lillard misses 2-pt shot from 20 ft
1:53.0,Defensive rebound by D. Dotson,,26-27,,
1:44.0,E. Mudiay misses 3-pt shot from 24 ft,,26-27,,
1:41.0,,,26-27,,Defensive rebound by E. Davis
1:29.0,,,26-27,,Z. Collins misses 2-pt shot from 3 ft
1:29.0,,,26-27,,Offensive rebound by Team
1:29.0,,,26-27,,Turnover by Z. Collins (traveling)
1:29.0,T. Burke enters the game for E. Mudiay,,26-27,,
1:15.0,D. Dotson misses 2-pt shot from 19 ft,,26-27,,
1:12.0,,,26-27,,Defensive rebound by E. Davis
1:05.0,,,26-30,3,D. Lillard makes 3-pt shot from 26 ft (assist by P. Connaughton)
0:48.0,K. O'Quinn misses 2-pt shot from 20 ft,,26-30,,
0:46.0,,,26-30,,Defensive rebound by E. Davis
0:35.0,,,26-30,,D. Lillard misses 2-pt shot from 7 ft
0:33.0,,,26-30,,Offensive rebound by E. Davis
0:31.0,,,26-30,,E. Davis misses 2-pt shot at rim
0:31.0,,,26-30,,Offensive rebound by D. Lillard
0:31.0,,,26-32,2,D. Lillard makes 2-pt shot at rim
0:13.0,M. Beasley makes 2-pt shot at rim (assist by T. Burke),2,28-32,,
0:04.0,,,28-32,,D. Lillard misses 3-pt shot from 30 ft
0:01.0,,,28-32,,Offensive rebound by P. Connaughton
0:00.0,,,28-35,2,P. Connaughton makes 3-pt shot from 24 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,28-35,,Personal foul by Z. Collins (drawn by M. Beasley)
11:29.0,T. Burke misses 3-pt shot from 27 ft,,28-35,,
11:27.0,,,28-35,,Defensive rebound by Z. Collins
11:19.0,,,28-35,,Turnover by Z. Collins (bad pass)
11:08.0,T. Burke misses 3-pt shot from 25 ft,,28-35,,
11:05.0,,,28-35,,Defensive rebound by Z. Collins
10:58.0,,,28-35,,Z. Collins misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by K. O'Quinn,,28-35,,
10:45.0,M. Beasley misses 2-pt shot from 10 ft,,28-35,,
10:43.0,,,28-35,,Defensive rebound by E. Davis
10:24.0,,,28-38,3,Z. Collins makes 3-pt shot from 24 ft (assist by S. Napier)
10:12.0,T. Burke misses 2-pt shot from 15 ft,,28-38,,
10:07.0,Offensive rebound by M. Beasley,,28-38,,
10:04.0,K. O'Quinn misses 2-pt shot from 1 ft (block by E. Davis),,28-38,,
10:04.0,T. Williams enters the game for T. Hardaway,,28-38,,
10:04.0,Jump ball: E. Davis vs. K. O'Quinn (C. McCollum gains possession),,,,Jump ball: E. Davis vs. K. O'Quinn (C. McCollum gains possession)
10:04.0,,,28-38,,Offensive rebound by Team
9:55.0,Personal foul by T. Williams (drawn by Z. Collins),,28-38,,
9:43.0,,,28-38,,C. McCollum misses 2-pt shot from 16 ft
9:41.0,Defensive rebound by Team,,28-38,,
9:27.0,,,28-38,,Personal foul by Z. Collins (drawn by M. Beasley)
9:17.0,T. Burke misses 2-pt shot from 11 ft,,28-38,,
9:14.0,,,28-38,,Defensive rebound by C. McCollum
9:11.0,,,28-38,,Shooting foul by T. Williams (drawn by Z. Collins)
9:11.0,,,28-39,1,Z. Collins makes free throw 1 of 2
9:11.0,,,28-40,1,Z. Collins makes free throw 2 of 2
8:54.0,M. Beasley makes 2-pt shot from 20 ft,2,30-40,,
8:46.0,,,30-40,,C. McCollum misses 2-pt shot from 15 ft
8:42.0,,,30-40,,Offensive rebound by Z. Collins
8:39.0,,,30-40,,Turnover by Z. Collins (lost ball; steal by T. Burke)
8:36.0,T. Burke misses 2-pt shot from 1 ft,,30-40,,
8:35.0,Offensive rebound by T. Williams,,30-40,,
8:35.0,Shooting foul by P. Connaughton (drawn by T. Burke),,30-40,,
8:35.0,T. Burke misses free throw 1 of 2,,30-40,,
8:35.0,Offensive rebound by Team,,30-40,,
8:35.0,T. Burke misses free throw 2 of 2,,30-40,,
8:32.0,,,30-40,,Defensive rebound by E. Davis
8:18.0,,,30-43,3,P. Connaughton makes 3-pt shot from 25 ft (assist by C. McCollum)
8:07.0,New York full timeout,,30-43,,
8:07.0,F. Ntilikina enters the game for D. Dotson,,30-43,,
8:01.0,M. Beasley misses 2-pt shot from 13 ft,,30-43,,
8:00.0,,,30-43,,Defensive rebound by E. Davis
7:47.0,,,30-45,2,C. McCollum makes 2-pt shot from 10 ft (assist by P. Connaughton)
7:31.0,T. Burke misses 2-pt shot from 15 ft,,30-45,,
7:30.0,,,30-45,,Defensive rebound by Z. Collins
7:30.0,E. Kanter enters the game for K. O'Quinn,,30-45,,
7:16.0,,,30-45,,P. Connaughton misses 3-pt shot from 25 ft
7:16.0,,,30-45,,Z. Collins misses 2-pt shot at rim
7:16.0,,,30-45,,Offensive rebound by Z. Collins
7:16.0,,,30-45,,Offensive rebound by Z. Collins
7:16.0,,,30-45,,Z. Collins misses 2-pt shot at rim
7:16.0,Defensive rebound by E. Kanter,,30-45,,
6:53.0,F. Ntilikina makes 2-pt shot from 20 ft (assist by T. Burke),2,32-45,,
6:41.0,Personal foul by M. Beasley (drawn by Z. Collins),,32-45,,
6:28.0,,,32-45,,P. Connaughton misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by E. Kanter,,32-45,,
6:22.0,Shooting foul by Z. Collins (drawn by T. Williams),,32-45,,
6:22.0,T. Williams misses free throw 1 of 2,,32-45,,
6:22.0,Offensive rebound by Team,,32-45,,
6:22.0,,,32-45,,J. Nurkic enters the game for E. Davis
6:22.0,,,32-45,,A. Aminu enters the game for Z. Collins
6:22.0,T. Williams makes free throw 2 of 2,1,33-45,,
6:07.0,,,33-45,,P. Connaughton misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by M. Beasley,,33-45,,
5:57.0,T. Burke makes 2-pt shot at rim,2,35-45,,
5:39.0,,,35-45,,C. McCollum misses 2-pt shot from 1 ft (block by E. Kanter)
5:37.0,Defensive rebound by T. Burke,,35-45,,
5:29.0,E. Kanter makes 2-pt shot from 9 ft (assist by M. Beasley),2,37-45,,
5:29.0,,,37-45,,Portland full timeout
5:29.0,,,37-45,,D. Lillard enters the game for C. McCollum
5:29.0,,,37-45,,E. Turner enters the game for P. Connaughton
5:19.0,,,37-45,,Turnover by E. Turner (bad pass; steal by M. Beasley)
5:16.0,M. Beasley makes 2-pt shot at rim,2,39-45,,
4:58.0,,,39-45,,E. Turner misses 2-pt shot from 13 ft
4:55.0,,,39-45,,Offensive rebound by J. Nurkic
4:55.0,,,39-47,2,J. Nurkic makes 2-pt shot at rim
4:36.0,Turnover by T. Williams (step out of bounds),,39-47,,
4:36.0,L. Thomas enters the game for M. Beasley,,39-47,,
4:12.0,,,39-47,,Turnover by Team (shot clock)
4:12.0,T. Hardaway enters the game for T. Burke,,39-47,,
3:55.0,Turnover by T. Hardaway (bad pass),,39-47,,
3:47.0,,,39-47,,Turnover by J. Nurkic (bad pass)
3:34.0,,,39-47,,Personal foul by J. Nurkic (drawn by E. Kanter)
3:34.0,E. Kanter makes free throw 1 of 2,1,40-47,,
3:34.0,E. Kanter makes free throw 2 of 2,1,41-47,,
3:24.0,,,41-47,,Shooting foul by T. Hardaway (drawn by D. Lillard)
3:24.0,,,41-48,1,D. Lillard makes free throw 1 of 3
3:24.0,,,41-49,1,D. Lillard makes free throw 2 of 3
3:24.0,E. Mudiay enters the game for T. Williams,,41-49,,
3:24.0,,,41-50,1,D. Lillard makes free throw 3 of 3
3:06.0,,,41-50,,Personal foul by J. Nurkic (drawn by E. Kanter)
3:06.0,E. Kanter makes free throw 1 of 2,1,42-50,,
3:06.0,,,42-50,,E. Davis enters the game for J. Nurkic
3:06.0,E. Kanter makes free throw 2 of 2,1,43-50,,
2:48.0,,,43-50,,S. Napier misses 2-pt shot from 21 ft
2:44.0,Defensive rebound by F. Ntilikina,,43-50,,
2:39.0,Turnover by L. Thomas (traveling),,43-50,,
2:39.0,,,43-50,,C. McCollum enters the game for S. Napier
2:17.0,,,43-50,,A. Aminu misses 2-pt shot from 19 ft
2:15.0,Defensive rebound by E. Kanter,,43-50,,
2:07.0,E. Mudiay misses 2-pt shot from 16 ft,,43-50,,
2:04.0,Offensive rebound by E. Kanter,,43-50,,
2:04.0,E. Kanter makes 2-pt shot at rim,2,45-50,,
1:48.0,,,45-53,3,D. Lillard makes 3-pt shot from 24 ft
1:29.0,T. Hardaway makes 2-pt shot from 20 ft (assist by E. Kanter),2,47-53,,
1:15.0,,,47-53,,D. Lillard misses 2-pt shot from 1 ft
1:14.0,Defensive rebound by T. Hardaway,,47-53,,
1:07.0,T. Hardaway makes 3-pt shot from 24 ft (assist by E. Mudiay),3,50-53,,
0:42.0,,,50-53,,C. McCollum misses 2-pt shot from 19 ft
0:41.0,,,50-53,,Offensive rebound by E. Davis
0:41.0,,,50-55,2,E. Davis makes 2-pt shot from 2 ft
0:22.0,,,50-55,,Violation by A. Aminu (kicked ball)
0:11.0,F. Ntilikina makes 2-pt shot from 11 ft,2,52-55,,
0:01.0,,,52-57,2,D. Lillard makes 2-pt shot from 19 ft
0:00.0,Turnover by L. Thomas (bad pass; steal by D. Lillard),,52-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,F. Ntilikina misses 2-pt shot from 20 ft,,52-57,,
11:37.0,,,52-57,,Defensive rebound by J. Nurkic
11:17.0,,,52-60,3,C. McCollum makes 3-pt shot from 24 ft (assist by J. Nurkic)
11:03.0,Turnover by E. Mudiay (bad pass; steal by D. Lillard),,52-60,,
10:59.0,,,52-60,,Turnover by E. Turner (bad pass; steal by T. Hardaway)
10:52.0,Turnover by E. Mudiay (bad pass),,52-60,,
10:35.0,,,52-60,,J. Nurkic misses 2-pt shot from 13 ft
10:32.0,Defensive rebound by E. Kanter,,52-60,,
10:20.0,,,52-60,,Personal foul by A. Aminu (drawn by E. Mudiay)
10:10.0,E. Mudiay misses 2-pt shot from 7 ft,,52-60,,
10:05.0,Offensive rebound by E. Kanter,,52-60,,
10:05.0,E. Kanter misses 2-pt shot at rim,,52-60,,
10:04.0,,,52-60,,Defensive rebound by J. Nurkic
9:54.0,,,52-63,3,D. Lillard makes 3-pt shot from 29 ft
9:36.0,,,52-63,,Personal foul by E. Turner (drawn by T. Hardaway)
9:32.0,Turnover by E. Mudiay (palming),,52-63,,
9:17.0,,,52-65,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
9:17.0,,,52-65,,Shooting foul by T. Hardaway (drawn by J. Nurkic)
9:17.0,,,52-66,1,J. Nurkic makes free throw 1 of 1
9:03.0,E. Mudiay misses 2-pt shot from 1 ft,,52-66,,
9:01.0,Offensive rebound by F. Ntilikina,,52-66,,
8:59.0,T. Hardaway misses 3-pt shot from 26 ft,,52-66,,
8:55.0,,,52-66,,Defensive rebound by A. Aminu
8:41.0,,,52-66,,J. Nurkic misses 2-pt shot from 18 ft
8:38.0,Defensive rebound by L. Thomas,,52-66,,
8:24.0,E. Kanter makes 2-pt shot from 15 ft,2,54-66,,
8:00.0,,,54-68,2,E. Turner makes 2-pt shot from 2 ft (assist by J. Nurkic)
7:43.0,F. Ntilikina misses 2-pt shot from 17 ft,,54-68,,
7:41.0,,,54-68,,Defensive rebound by J. Nurkic
7:27.0,,,54-68,,E. Turner misses 3-pt shot from 23 ft
7:25.0,Defensive rebound by E. Mudiay,,54-68,,
7:17.0,E. Mudiay misses 2-pt shot from 12 ft,,54-68,,
7:12.0,,,54-68,,Defensive rebound by C. McCollum
7:05.0,Violation by L. Thomas (kicked ball),,54-68,,
7:05.0,T. Burke enters the game for E. Mudiay,,54-68,,
6:55.0,,,54-70,2,J. Nurkic makes 2-pt shot from 6 ft (assist by D. Lillard)
6:41.0,T. Hardaway makes 2-pt shot from 9 ft (assist by T. Burke),2,56-70,,
6:27.0,,,56-70,,Turnover by E. Turner (bad pass)
6:27.0,,,56-70,,Portland full timeout
6:13.0,T. Hardaway misses 2-pt shot from 21 ft,,56-70,,
6:09.0,,,56-70,,Defensive rebound by A. Aminu
5:53.0,,,56-70,,E. Turner misses 2-pt shot from 15 ft
5:52.0,Defensive rebound by T. Burke,,56-70,,
5:44.0,T. Hardaway misses 2-pt shot from 12 ft,,56-70,,
5:40.0,Offensive rebound by E. Kanter,,56-70,,
5:40.0,E. Kanter makes 2-pt shot at rim,2,58-70,,
5:23.0,,,58-73,3,D. Lillard makes 3-pt shot from 28 ft (assist by J. Nurkic)
5:03.0,E. Kanter misses 2-pt shot from 9 ft,,58-73,,
5:01.0,,,58-73,,Defensive rebound by E. Turner
4:57.0,Personal foul by L. Thomas (drawn by E. Turner),,58-73,,
4:57.0,,,58-73,,P. Connaughton enters the game for E. Turner
4:57.0,M. Beasley enters the game for L. Thomas,,58-73,,
4:51.0,,,58-76,3,D. Lillard makes 3-pt shot from 28 ft (assist by C. McCollum)
4:39.0,,,58-76,,Shooting block foul by J. Nurkic (drawn by T. Burke)
4:39.0,T. Burke misses free throw 1 of 2,,58-76,,
4:39.0,Offensive rebound by Team,,58-76,,
4:39.0,T. Williams enters the game for F. Ntilikina,,58-76,,
4:39.0,T. Burke misses free throw 2 of 2,,58-76,,
4:37.0,,,58-76,,Defensive rebound by P. Connaughton
4:25.0,,,58-76,,Shooting foul by E. Kanter (drawn by D. Lillard)
4:25.0,,,58-77,1,D. Lillard makes free throw 1 of 3
4:25.0,,,58-78,1,D. Lillard makes free throw 2 of 3
4:25.0,,,58-79,1,D. Lillard makes free throw 3 of 3
4:01.0,M. Beasley makes 2-pt shot from 20 ft,2,60-79,,
3:46.0,,,60-79,,Turnover by J. Nurkic (bad pass)
3:46.0,,,60-79,,E. Davis enters the game for J. Nurkic
3:30.0,T. Burke makes 2-pt shot from 15 ft (assist by T. Williams),2,62-79,,
3:14.0,,,62-79,,D. Lillard misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by T. Williams,,62-79,,
3:06.0,T. Williams misses 2-pt shot from 1 ft,,62-79,,
3:04.0,,,62-79,,Defensive rebound by D. Lillard
2:48.0,,,62-79,,Shooting foul by M. Beasley (drawn by D. Lillard)
2:48.0,New York full timeout,,62-79,,
2:48.0,,,62-79,,S. Napier enters the game for C. McCollum
2:48.0,K. O'Quinn enters the game for E. Kanter,,62-79,,
2:48.0,,,62-80,1,D. Lillard makes free throw 1 of 2
2:48.0,,,62-80,,D. Lillard misses free throw 2 of 2
2:46.0,Defensive rebound by K. O'Quinn,,62-80,,
2:33.0,T. Williams makes 3-pt shot from 23 ft (assist by M. Beasley),3,65-80,,
2:14.0,,,65-80,,Turnover by D. Lillard (bad pass; steal by T. Williams)
2:11.0,T. Williams makes 2-pt shot from 1 ft (assist by T. Burke),2,67-80,,
1:52.0,,,67-80,,D. Lillard misses 2-pt shot from 1 ft (block by K. O'Quinn)
1:50.0,Defensive rebound by M. Beasley,,67-80,,
1:48.0,T. Williams makes 2-pt shot at rim (assist by M. Beasley),2,69-80,,
1:26.0,,,69-83,3,A. Aminu makes 3-pt shot from 29 ft (assist by S. Napier)
1:13.0,,,69-83,,Personal foul by A. Aminu (drawn by T. Burke)
1:04.0,K. O'Quinn makes 2-pt shot at rim (assist by T. Burke),2,71-83,,
0:41.0,,,71-83,,Shooting foul by T. Williams (drawn by S. Napier)
0:41.0,,,71-84,1,S. Napier makes free throw 1 of 2
0:41.0,,,71-85,1,S. Napier makes free throw 2 of 2
0:32.0,T. Burke misses 2-pt shot from 18 ft,,71-85,,
0:29.0,,,71-85,,Defensive rebound by A. Aminu
0:12.0,,,71-85,,S. Napier misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by T. Hardaway,,71-85,,
0:03.0,Turnover by T. Hardaway (bad pass; steal by S. Napier),,71-85,,
0:03.0,Personal foul by T. Hardaway (drawn by S. Napier),,71-85,,
0:03.0,,,71-86,1,S. Napier makes free throw 1 of 2
0:03.0,,,71-87,1,S. Napier makes free throw 2 of 2
0:00.0,T. Burke misses 3-pt shot from 24 ft,,71-87,,
0:00.0,Offensive rebound by Team,,71-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,71-87,,D. Lillard misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by K. O'Quinn,,71-87,,
11:30.0,M. Beasley misses 2-pt shot from 15 ft,,71-87,,
11:27.0,,,71-87,,Defensive rebound by E. Davis
11:17.0,,,71-90,3,C. McCollum makes 3-pt shot from 27 ft (assist by Z. Collins)
10:59.0,M. Beasley makes 2-pt shot from 3 ft (assist by T. Burke),2,73-90,,
10:45.0,,,73-90,,Turnover by D. Lillard (bad pass)
10:36.0,,,73-90,,Violation by S. Napier (kicked ball)
10:29.0,T. Burke misses 2-pt shot from 13 ft,,73-90,,
10:25.0,,,73-90,,Defensive rebound by E. Davis
10:18.0,,,73-90,,E. Davis misses 2-pt shot from 2 ft (block by K. O'Quinn)
10:18.0,,,73-90,,Offensive rebound by Team
10:13.0,,,73-90,,Offensive foul by S. Napier (drawn by T. Williams)
10:13.0,,,73-90,,Turnover by S. Napier (offensive foul)
9:59.0,M. Beasley makes 2-pt shot at rim (assist by T. Burke),2,75-90,,
9:59.0,,,75-90,,Portland full timeout
9:59.0,,,75-90,,P. Connaughton enters the game for D. Lillard
9:42.0,,,75-90,,P. Connaughton misses 2-pt shot from 7 ft
9:38.0,,,75-90,,Offensive rebound by E. Davis
9:38.0,,,75-90,,E. Davis misses 2-pt shot at rim
9:38.0,Defensive rebound by K. O'Quinn,,75-90,,
9:18.0,T. Williams misses 3-pt shot from 23 ft,,75-90,,
9:16.0,,,75-90,,Defensive rebound by Z. Collins
9:09.0,,,75-92,2,C. McCollum makes 2-pt shot from 9 ft
8:56.0,T. Burke misses 2-pt shot from 21 ft,,75-92,,
8:56.0,,,75-92,,Defensive rebound by Team
8:38.0,,,75-92,,C. McCollum misses 2-pt shot from 2 ft (block by M. Beasley)
8:36.0,Defensive rebound by T. Williams,,75-92,,
8:26.0,Turnover by M. Beasley (out of bounds lost ball),,75-92,,
8:10.0,,,75-92,,C. McCollum misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by K. O'Quinn,,75-92,,
8:01.0,M. Beasley misses 2-pt shot at rim,,75-92,,
8:01.0,,,75-92,,Defensive rebound by E. Davis
7:54.0,Personal foul by K. O'Quinn (drawn by S. Napier),,75-92,,
7:54.0,T. Hardaway enters the game for T. Burke,,75-92,,
7:45.0,,,75-92,,S. Napier misses 2-pt shot from 19 ft
7:41.0,Defensive rebound by M. Beasley,,75-92,,
7:36.0,T. Hardaway misses 3-pt shot from 25 ft,,75-92,,
7:34.0,,,75-92,,Defensive rebound by E. Davis
7:13.0,,,75-92,,Z. Collins misses 2-pt shot from 18 ft
7:10.0,,,75-92,,Offensive rebound by C. McCollum
7:08.0,,,75-92,,C. McCollum misses 2-pt shot from 3 ft
7:04.0,,,75-92,,Offensive rebound by C. McCollum
7:00.0,,,75-92,,C. McCollum misses 2-pt shot from 17 ft
6:59.0,Defensive rebound by D. Dotson,,75-92,,
6:59.0,New York full timeout,,75-92,,
6:59.0,E. Kanter enters the game for T. Williams,,75-92,,
6:59.0,E. Mudiay enters the game for K. O'Quinn,,75-92,,
6:59.0,F. Ntilikina enters the game for D. Dotson,,75-92,,
6:38.0,E. Mudiay misses 2-pt shot from 18 ft,,75-92,,
6:35.0,,,75-92,,Defensive rebound by S. Napier
6:27.0,,,75-92,,P. Connaughton misses 3-pt shot from 23 ft
6:25.0,,,75-92,,Offensive rebound by Z. Collins
6:19.0,,,75-95,3,C. McCollum makes 3-pt shot from 25 ft (assist by S. Napier)
6:18.0,New York full timeout,,75-95,,
6:10.0,T. Hardaway makes 3-pt shot from 26 ft (assist by E. Kanter),3,78-95,,
5:47.0,,,78-95,,Z. Collins misses 3-pt shot from 23 ft
5:45.0,,,78-95,,Offensive rebound by C. McCollum
5:44.0,,,78-95,,Turnover by C. McCollum (bad pass)
5:29.0,E. Kanter misses 2-pt shot from 14 ft,,78-95,,
5:27.0,,,78-95,,Defensive rebound by Z. Collins
5:05.0,,,78-97,2,P. Connaughton makes 2-pt shot from 7 ft (assist by C. McCollum)
4:48.0,F. Ntilikina misses 2-pt shot from 11 ft,,78-97,,
4:46.0,,,78-97,,Defensive rebound by E. Davis
4:26.0,,,78-100,3,S. Napier makes 3-pt shot from 24 ft (assist by Z. Collins)
4:07.0,M. Beasley misses 3-pt shot from 23 ft,,78-100,,
4:04.0,Offensive rebound by E. Mudiay,,78-100,,
4:02.0,M. Beasley makes 2-pt shot from 1 ft (assist by E. Mudiay),2,80-100,,
3:39.0,,,80-103,3,C. McCollum makes 3-pt shot from 26 ft
3:26.0,Turnover by E. Mudiay (bad pass; steal by C. McCollum),,80-103,,
3:22.0,,,80-103,,Turnover by S. Napier (bad pass)
3:22.0,,,80-103,,J. Layman enters the game for C. McCollum
3:22.0,L. Kornet enters the game for M. Beasley,,80-103,,
3:22.0,I. Hicks enters the game for E. Kanter,,80-103,,
3:08.0,T. Hardaway misses 2-pt shot from 21 ft,,80-103,,
3:06.0,,,80-103,,Defensive rebound by S. Napier
3:00.0,,,80-103,,Shooting foul by I. Hicks (drawn by S. Napier)
3:00.0,,,80-104,1,S. Napier makes free throw 1 of 2
3:00.0,,,80-104,,C. Swanigan enters the game for P. Connaughton
3:00.0,,,80-104,,W. Baldwin enters the game for E. Davis
