time,Philadelphia,pts.away,score,pts.home,Boston
10:59.0,,,21-21,,Turnover by M. Morris (lost ball; steal by T. McConnell)
10:39.0,J. Embiid makes 2-pt shot from 17 ft (assist by T. McConnell),2,23-21,,
10:25.0,,,23-21,,D. Theis misses 2-pt shot from 22 ft
10:24.0,Defensive rebound by T. Booker,,23-21,,
10:13.0,Turnover by T. McConnell (lost ball; steal by S. Larkin),,23-21,,
10:07.0,,,23-21,,M. Morris misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by J. Embiid,,23-21,,
9:52.0,T. McConnell misses 2-pt shot from 5 ft,,23-21,,
9:50.0,Offensive rebound by T. Booker,,23-21,,
9:44.0,J. Embiid misses 2-pt shot from 1 ft,,23-21,,
9:43.0,Offensive rebound by Team,,23-21,,
9:43.0,Shooting foul by J. Tatum (drawn by J. Embiid),,23-21,,
9:43.0,J. Embiid makes free throw 1 of 2,1,24-21,,
9:43.0,,,24-21,,A. Baynes enters the game for D. Theis
9:43.0,J. Bayless enters the game for J. Anderson,,24-21,,
9:43.0,J. Embiid makes free throw 2 of 2,1,25-21,,
9:28.0,Personal foul by J. Bayless (drawn by M. Morris),,25-21,,
9:20.0,,,25-21,,J. Tatum misses 2-pt shot from 17 ft
9:19.0,,,25-21,,Offensive rebound by M. Morris
9:14.0,,,25-23,2,M. Morris makes 2-pt shot from 10 ft
9:03.0,R. Covington misses 3-pt shot from 25 ft,,25-23,,
9:01.0,,,25-23,,Defensive rebound by S. Larkin
8:52.0,,,25-23,,Turnover by A. Baynes (bad pass; steal by J. Embiid)
8:40.0,Turnover by J. Embiid (bad pass),,25-23,,
8:40.0,A. Johnson enters the game for T. McConnell,,25-23,,
8:40.0,B. Simmons enters the game for J. Embiid,,25-23,,
8:40.0,D. Saric enters the game for T. Booker,,25-23,,
8:23.0,Personal foul by B. Simmons (drawn by A. Baynes),,25-23,,
8:13.0,,,25-23,,Turnover by J. Tatum (bad pass)
8:01.0,D. Saric makes 3-pt shot from 26 ft (assist by J. Bayless),3,28-23,,
7:45.0,,,28-23,,M. Smart enters the game for T. Rozier
7:45.0,,,28-23,,A. Nader enters the game for S. Larkin
7:45.0,,,28-23,,A. Horford enters the game for A. Baynes
7:43.0,,,28-23,,Turnover by A. Nader (bad pass; steal by D. Saric)
7:40.0,J. Bayless makes 2-pt shot from 1 ft (assist by R. Covington),2,30-23,,
7:26.0,,,30-23,,M. Morris misses 2-pt shot from 13 ft
7:25.0,Defensive rebound by B. Simmons,,30-23,,
7:17.0,D. Saric misses 3-pt shot from 26 ft,,30-23,,
7:14.0,,,30-23,,Defensive rebound by J. Tatum
6:59.0,,,30-23,,Turnover by M. Smart (bad pass; steal by A. Johnson)
6:47.0,J. Bayless misses 3-pt shot from 24 ft,,30-23,,
6:44.0,,,30-23,,Defensive rebound by M. Morris
6:38.0,,,30-23,,Turnover by M. Morris (bad pass; steal by D. Saric)
6:35.0,B. Simmons makes 2-pt shot from 1 ft (assist by D. Saric),2,32-23,,
6:19.0,,,32-23,,J. Tatum misses 3-pt shot from 27 ft
6:17.0,Defensive rebound by B. Simmons,,32-23,,
6:10.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,34-23,,
5:46.0,,,34-23,,Turnover by A. Horford (bad pass; steal by D. Saric)
5:40.0,Turnover by R. Covington (step out of bounds),,34-23,,
5:40.0,,,34-23,,S. Ojeleye enters the game for M. Morris
5:17.0,,,34-25,2,A. Horford makes 2-pt shot from 13 ft (assist by M. Smart)
5:07.0,,,34-25,,Personal foul by M. Smart (drawn by D. Saric)
4:58.0,D. Saric misses 2-pt shot from 19 ft,,34-25,,
4:55.0,,,34-25,,Defensive rebound by M. Smart
4:33.0,,,34-28,3,M. Smart makes 3-pt shot from 28 ft
4:25.0,Philadelphia full timeout,,34-28,,
4:25.0,,,34-28,,J. Brown enters the game for A. Nader
4:25.0,J. Embiid enters the game for A. Johnson,,34-28,,
4:17.0,R. Covington makes 3-pt shot from 27 ft (assist by B. Simmons),3,37-28,,
3:55.0,,,37-30,2,M. Smart makes 2-pt shot from 9 ft
3:40.0,J. Embiid misses 2-pt shot from 7 ft (block by A. Horford),,37-30,,
3:40.0,Offensive rebound by J. Embiid,,37-30,,
3:40.0,J. Embiid misses 2-pt shot from 7 ft,,37-30,,
3:37.0,,,37-30,,Defensive rebound by J. Tatum
3:31.0,,,37-30,,J. Tatum misses 2-pt shot from 1 ft
3:29.0,Defensive rebound by J. Embiid,,37-30,,
3:27.0,Turnover by D. Saric (bad pass; steal by J. Tatum),,37-30,,
3:24.0,Personal foul by J. Embiid (drawn by A. Horford),,37-30,,
3:24.0,J. Anderson enters the game for J. Bayless,,37-30,,
3:06.0,,,37-30,,M. Smart misses 3-pt shot from 28 ft
3:05.0,Defensive rebound by J. Anderson,,37-30,,
2:54.0,Turnover by J. Embiid (traveling),,37-30,,
2:42.0,,,37-30,,A. Horford misses 3-pt shot from 24 ft
2:41.0,Defensive rebound by J. Embiid,,37-30,,
2:28.0,Turnover by J. Anderson (traveling),,37-30,,
2:28.0,,,37-30,,T. Rozier enters the game for S. Ojeleye
2:17.0,,,37-30,,Turnover by M. Smart (step out of bounds)
1:59.0,J. Embiid misses 2-pt shot from 11 ft,,37-30,,
1:57.0,,,37-30,,Defensive rebound by J. Brown
1:32.0,,,37-30,,A. Horford misses 2-pt shot from 15 ft
1:31.0,Defensive rebound by D. Saric,,37-30,,
1:19.0,Turnover by J. Anderson (bad pass; steal by T. Rozier),,37-30,,
1:15.0,,,37-32,2,T. Rozier makes 2-pt shot from 2 ft
0:57.0,D. Saric makes 2-pt shot from 2 ft,2,39-32,,
0:44.0,,,39-32,,A. Horford misses 3-pt shot from 26 ft
0:41.0,Defensive rebound by D. Saric,,39-32,,
0:33.0,J. Anderson misses 3-pt shot from 26 ft,,39-32,,
0:31.0,,,39-32,,Defensive rebound by J. Tatum
0:12.0,,,39-32,,A. Horford misses 2-pt shot from 2 ft
0:10.0,Defensive rebound by B. Simmons,,39-32,,
0:05.0,Offensive foul by J. Embiid (drawn by T. Rozier),,39-32,,
0:05.0,Turnover by J. Embiid (offensive foul),,39-32,,
0:05.0,,,39-32,,S. Larkin enters the game for J. Brown
0:05.0,T. McConnell enters the game for J. Embiid,,39-32,,
0:00.0,,,39-32,,T. Rozier misses 3-pt shot from 31 ft
0:00.0,,,39-32,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,39-32,,J. Brown misses 3-pt shot from 25 ft
11:34.0,Defensive rebound by D. Saric,,39-32,,
11:33.0,,,39-32,,Personal foul by J. Brown (drawn by B. Simmons)
11:16.0,D. Saric makes 3-pt shot from 27 ft (assist by J. Embiid),3,42-32,,
10:53.0,,,42-32,,J. Brown misses 3-pt shot from 27 ft
10:50.0,Defensive rebound by J. Embiid,,42-32,,
10:35.0,Shooting foul by A. Horford (drawn by D. Saric),,42-32,,
10:35.0,D. Saric makes free throw 1 of 2,1,43-32,,
10:35.0,D. Saric makes free throw 2 of 2,1,44-32,,
10:22.0,,,44-34,2,J. Tatum makes 2-pt shot from 20 ft (assist by J. Brown)
10:01.0,J. Embiid misses 2-pt shot from 4 ft,,44-34,,
9:59.0,,,44-34,,Defensive rebound by M. Smart
9:48.0,,,44-34,,A. Baynes misses 3-pt shot from 23 ft
9:46.0,Defensive rebound by J. Embiid,,44-34,,
9:33.0,B. Simmons makes 2-pt shot from 2 ft,2,46-34,,
9:13.0,,,46-34,,M. Smart misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by J. Embiid,,46-34,,
9:04.0,R. Covington misses 3-pt shot from 26 ft,,46-34,,
9:02.0,,,46-34,,Defensive rebound by A. Baynes
8:53.0,,,46-34,,Offensive charge foul by J. Tatum (drawn by R. Covington)
8:53.0,,,46-34,,Turnover by J. Tatum (offensive foul)
8:40.0,Shooting foul by A. Baynes (drawn by R. Covington),,46-34,,
8:40.0,R. Covington makes free throw 1 of 2,1,47-34,,
8:40.0,,,47-34,,M. Morris enters the game for A. Baynes
8:40.0,R. Covington makes free throw 2 of 2,1,48-34,,
8:23.0,,,48-34,,M. Morris misses 2-pt shot from 10 ft
8:21.0,Defensive rebound by J. Embiid,,48-34,,
8:03.0,Turnover by J. Embiid (lost ball; steal by J. Brown),,48-34,,
8:01.0,Personal foul by R. Covington (drawn by J. Brown),,48-34,,
8:01.0,J. Anderson enters the game for R. Covington,,48-34,,
7:48.0,,,48-37,3,J. Brown makes 3-pt shot from 22 ft (assist by M. Morris)
7:29.0,J. Embiid makes 2-pt shot from 17 ft,2,50-37,,
7:03.0,,,50-39,2,M. Smart makes 2-pt shot from 1 ft
6:45.0,J. Embiid makes 2-pt shot from 2 ft,2,52-39,,
6:34.0,,,52-39,,J. Brown misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by J. Bayless,,52-39,,
6:18.0,,,52-39,,Personal foul by A. Horford (drawn by J. Embiid)
6:18.0,,,52-39,,Boston full timeout
6:18.0,A. Johnson enters the game for J. Bayless,,52-39,,
6:18.0,T. McConnell enters the game for J. Embiid,,52-39,,
6:04.0,Turnover by Team (shot clock),,52-39,,
5:47.0,,,52-39,,Turnover by M. Morris (bad pass; steal by T. McConnell)
5:44.0,Turnover by T. McConnell (bad pass; steal by J. Tatum),,52-39,,
5:41.0,,,52-39,,J. Tatum misses 2-pt shot from 2 ft (block by A. Johnson)
5:41.0,,,52-39,,Offensive rebound by Team
5:37.0,,,52-39,,Offensive charge foul by J. Brown (drawn by A. Johnson)
5:37.0,,,52-39,,Turnover by J. Brown (offensive foul)
5:15.0,D. Saric misses 2-pt shot from 17 ft,,52-39,,
5:12.0,Offensive rebound by A. Johnson,,52-39,,
5:09.0,A. Johnson makes 2-pt shot from 2 ft,2,54-39,,
4:44.0,,,54-39,,M. Smart misses 3-pt shot from 26 ft
4:42.0,Defensive rebound by Team,,54-39,,
4:42.0,,,54-39,,Loose ball foul by A. Horford (drawn by J. Anderson)
4:42.0,J. Anderson makes free throw 1 of 2,1,55-39,,
4:42.0,,,55-39,,D. Theis enters the game for J. Tatum
4:42.0,,,55-39,,T. Rozier enters the game for A. Horford
4:42.0,J. Anderson makes free throw 2 of 2,1,56-39,,
4:31.0,Personal foul by J. Anderson (drawn by D. Theis),,56-39,,
4:31.0,R. Covington enters the game for J. Anderson,,56-39,,
4:24.0,,,56-41,2,M. Smart makes 2-pt shot from 11 ft
4:10.0,B. Simmons misses 2-pt shot from 12 ft,,56-41,,
4:08.0,,,56-41,,Defensive rebound by D. Theis
4:01.0,,,56-41,,M. Smart misses 2-pt shot from 3 ft
3:58.0,Defensive rebound by Team,,56-41,,
3:58.0,T. Booker enters the game for D. Saric,,56-41,,
3:50.0,Turnover by B. Simmons (traveling),,56-41,,
3:39.0,,,56-41,,Shooting foul by T. Booker (drawn by M. Morris)
3:39.0,,,56-42,1,M. Morris makes free throw 1 of 2
3:39.0,,,56-42,,S. Larkin enters the game for M. Smart
3:39.0,J. Bayless enters the game for B. Simmons,,56-42,,
3:39.0,,,56-43,1,M. Morris makes free throw 2 of 2
3:24.0,Turnover by R. Covington (bad pass; steal by S. Larkin),,56-43,,
3:22.0,,,56-45,2,S. Larkin makes 2-pt shot from 1 ft
3:22.0,Philadelphia full timeout,,56-45,,
3:22.0,J. Embiid enters the game for A. Johnson,,56-45,,
3:06.0,Shooting foul by D. Theis (drawn by J. Embiid),,56-45,,
3:06.0,J. Embiid makes free throw 1 of 2,1,57-45,,
3:06.0,J. Embiid makes free throw 2 of 2,1,58-45,,
2:54.0,,,58-45,,Shooting foul by R. Covington (drawn by J. Brown)
2:54.0,,,58-45,,J. Brown misses free throw 1 of 2
2:54.0,,,58-45,,Offensive rebound by Team
2:54.0,,,58-45,,A. Baynes enters the game for D. Theis
2:54.0,,,58-46,1,J. Brown makes free throw 2 of 2
2:33.0,T. McConnell makes 3-pt shot from 23 ft (assist by J. Embiid),3,61-46,,
2:20.0,,,61-49,3,M. Morris makes 3-pt shot from 24 ft (assist by T. Rozier)
2:06.0,J. Embiid makes 2-pt shot from 10 ft,2,63-49,,
2:06.0,Shooting foul by A. Baynes (drawn by J. Embiid),,63-49,,
2:06.0,J. Embiid misses free throw 1 of 1,,63-49,,
2:03.0,Offensive rebound by J. Bayless,,63-49,,
1:50.0,T. McConnell makes 2-pt shot from 16 ft (assist by J. Embiid),2,65-49,,
1:35.0,,,65-49,,A. Baynes misses 2-pt shot from 16 ft
1:32.0,Defensive rebound by J. Embiid,,65-49,,
1:16.0,T. McConnell makes 2-pt shot from 6 ft (assist by J. Embiid),2,67-49,,
0:55.0,,,67-51,2,J. Brown makes 2-pt shot from 1 ft
0:33.0,R. Covington misses 2-pt shot from 19 ft,,67-51,,
0:29.0,Offensive rebound by J. Embiid,,67-51,,
0:29.0,J. Embiid makes 2-pt shot from 7 ft,2,69-51,,
0:09.0,,,69-51,,Shooting foul by J. Bayless (drawn by S. Larkin)
0:09.0,,,69-52,1,S. Larkin makes free throw 1 of 2
0:09.0,,,69-53,1,S. Larkin makes free throw 2 of 2
0:04.0,T. McConnell makes 2-pt shot from 1 ft,2,71-53,,
0:00.0,,,71-53,,T. Rozier misses 3-pt shot from 37 ft
0:00.0,,,71-53,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Turnover by T. McConnell (out of bounds lost ball),,71-53,,
11:31.0,,,71-55,2,J. Tatum makes 2-pt shot from 15 ft
11:11.0,J. Embiid makes 2-pt shot from 13 ft,2,73-55,,
10:51.0,,,73-57,2,S. Larkin makes 2-pt shot from 1 ft
10:39.0,J. Embiid makes 2-pt shot from 13 ft,2,75-57,,
10:20.0,,,75-57,,Shooting foul by T. Booker (drawn by M. Morris)
10:20.0,,,75-58,1,M. Morris makes free throw 1 of 2
10:20.0,,,75-58,,A. Horford enters the game for A. Baynes
10:20.0,,,75-59,1,M. Morris makes free throw 2 of 2
9:56.0,T. McConnell makes 3-pt shot from 22 ft (assist by J. Bayless),3,78-59,,
9:41.0,,,78-59,,T. Rozier misses 2-pt shot from 2 ft (block by J. Embiid)
9:41.0,Defensive rebound by Team,,78-59,,
9:37.0,Philadelphia full timeout,,78-59,,
9:37.0,,,78-59,,M. Smart enters the game for T. Rozier
9:19.0,T. McConnell misses 2-pt shot from 15 ft,,78-59,,
9:18.0,Offensive rebound by J. Embiid,,78-59,,
9:16.0,J. Embiid makes 2-pt shot from 1 ft,2,80-59,,
8:51.0,,,80-59,,Turnover by M. Smart (bad pass; steal by T. McConnell)
8:51.0,Turnover by T. McConnell (bad pass; steal by A. Horford),,80-59,,
8:51.0,,,80-59,,Shooting foul by T. Booker (drawn by A. Horford)
8:51.0,,,80-60,1,A. Horford makes free throw 1 of 2
8:51.0,B. Simmons enters the game for T. McConnell,,80-60,,
8:51.0,J. Anderson enters the game for R. Covington,,80-60,,
8:51.0,D. Saric enters the game for T. Booker,,80-60,,
8:51.0,,,80-61,1,A. Horford makes free throw 2 of 2
8:36.0,Turnover by D. Saric (bad pass),,80-61,,
8:26.0,,,80-64,3,A. Horford makes 3-pt shot from 26 ft (assist by S. Larkin)
8:11.0,J. Bayless misses 2-pt shot from 21 ft,,80-64,,
8:09.0,,,80-64,,Defensive rebound by M. Morris
8:08.0,Personal foul by D. Saric (drawn by M. Morris),,80-64,,
8:08.0,A. Johnson enters the game for J. Embiid,,80-64,,
8:08.0,R. Covington enters the game for J. Bayless,,80-64,,
7:51.0,,,80-64,,S. Larkin misses 2-pt shot from 22 ft
7:48.0,Defensive rebound by J. Anderson,,80-64,,
7:27.0,J. Anderson misses 3-pt shot from 26 ft,,80-64,,
7:24.0,,,80-64,,Defensive rebound by A. Horford
7:22.0,,,80-64,,J. Tatum misses 2-pt shot from 1 ft (block by R. Covington)
7:22.0,Defensive rebound by Team,,80-64,,
7:11.0,D. Saric misses 3-pt shot from 26 ft,,80-64,,
7:11.0,,,80-64,,Defensive rebound by S. Larkin
6:51.0,,,80-66,2,M. Smart makes 2-pt shot from 1 ft
6:35.0,D. Saric makes 2-pt shot at rim,2,82-66,,
6:19.0,,,82-66,,M. Smart misses 2-pt shot from 13 ft
6:18.0,Defensive rebound by B. Simmons,,82-66,,
6:07.0,Offensive foul by A. Johnson (drawn by M. Morris),,82-66,,
6:07.0,Turnover by A. Johnson (offensive foul),,82-66,,
6:07.0,T. McConnell enters the game for J. Anderson,,82-66,,
5:51.0,,,82-68,2,M. Smart makes 2-pt shot from 2 ft (assist by A. Horford)
5:36.0,Offensive charge foul by D. Saric (drawn by M. Smart),,82-68,,
5:36.0,Turnover by D. Saric (offensive foul),,82-68,,
5:36.0,,,82-68,,J. Brown enters the game for M. Morris
5:36.0,J. Embiid enters the game for A. Johnson,,82-68,,
5:13.0,,,82-68,,S. Larkin misses 3-pt shot from 22 ft
5:11.0,Defensive rebound by B. Simmons,,82-68,,
4:52.0,B. Simmons makes 2-pt shot at rim (assist by R. Covington),2,84-68,,
4:33.0,,,84-68,,Shooting foul by J. Embiid (drawn by J. Tatum)
4:33.0,,,84-69,1,J. Tatum makes free throw 1 of 2
4:33.0,,,84-69,,J. Tatum misses free throw 2 of 2
4:31.0,Defensive rebound by J. Embiid,,84-69,,
4:14.0,D. Saric misses 2-pt shot from 20 ft,,84-69,,
4:10.0,,,84-69,,Defensive rebound by M. Smart
4:04.0,,,84-69,,S. Larkin misses 2-pt shot from 9 ft
4:02.0,Defensive rebound by R. Covington,,84-69,,
4:00.0,Philadelphia full timeout,,84-69,,
3:44.0,J. Embiid misses 2-pt shot from 4 ft,,84-69,,
3:44.0,,,84-69,,Defensive rebound by Team
3:36.0,,,84-71,2,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford)
3:36.0,,,84-71,,Shooting foul by B. Simmons (drawn by J. Brown)
3:36.0,,,84-72,1,J. Brown makes free throw 1 of 1
3:25.0,Offensive foul by B. Simmons (drawn by J. Brown),,84-72,,
3:25.0,Turnover by B. Simmons (offensive foul),,84-72,,
3:14.0,,,84-72,,J. Tatum misses 2-pt shot from 3 ft
3:13.0,Defensive rebound by Team,,84-72,,
2:55.0,R. Covington misses 3-pt shot from 26 ft (block by J. Tatum),,84-72,,
2:52.0,,,84-72,,Defensive rebound by A. Horford
2:45.0,Personal foul by J. Embiid (drawn by A. Horford),,84-72,,
2:45.0,,,84-72,,A. Horford misses free throw 1 of 2
2:45.0,,,84-72,,Offensive rebound by Team
2:45.0,,,84-73,1,A. Horford makes free throw 2 of 2
2:41.0,,,84-73,,Personal foul by J. Brown (drawn by B. Simmons)
2:33.0,Shooting foul by A. Horford (drawn by J. Embiid),,84-73,,
2:33.0,J. Embiid makes free throw 1 of 2,1,85-73,,
2:33.0,J. Embiid makes free throw 2 of 2,1,86-73,,
2:25.0,,,86-76,3,J. Brown makes 3-pt shot from 25 ft (assist by A. Horford)
2:23.0,Philadelphia full timeout,,86-76,,
2:12.0,D. Saric misses 3-pt shot from 26 ft,,86-76,,
2:08.0,,,86-76,,Defensive rebound by M. Smart
2:01.0,,,86-79,3,J. Tatum makes 3-pt shot from 23 ft (assist by J. Brown)
1:53.0,Offensive charge foul by D. Saric (drawn by S. Larkin),,86-79,,
1:53.0,Turnover by D. Saric (offensive foul),,86-79,,
1:42.0,,,86-79,,A. Horford misses 2-pt shot from 21 ft
1:37.0,Defensive rebound by D. Saric,,86-79,,
1:17.0,Turnover by Team (shot clock),,86-79,,
1:02.0,,,86-79,,J. Brown misses 3-pt shot from 27 ft
0:57.0,,,86-79,,Offensive rebound by S. Larkin
0:54.0,,,86-79,,A. Horford misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by Team,,86-79,,
0:33.0,,,86-79,,Personal take foul by J. Brown (drawn by D. Saric)
0:33.0,,,86-79,,M. Morris enters the game for S. Larkin
0:31.0,,,86-79,,Personal take foul by M. Smart (drawn by T. McConnell)
0:31.0,T. McConnell makes free throw 1 of 2,1,87-79,,
0:31.0,T. McConnell makes free throw 2 of 2,1,88-79,,
0:31.0,,,88-79,,Boston full timeout
0:31.0,J. Anderson enters the game for J. Embiid,,88-79,,
0:27.0,Personal foul by T. McConnell (drawn by J. Tatum),,88-79,,
0:27.0,,,88-79,,J. Tatum misses free throw 1 of 2
0:27.0,,,88-79,,Offensive rebound by Team
0:27.0,J. Embiid enters the game for J. Anderson,,88-79,,
0:27.0,,,88-80,1,J. Tatum makes free throw 2 of 2
0:27.0,Philadelphia full timeout,,88-80,,
