time,Milwaukee,pts.away,score,pts.home,Charlotte
10:22.0,M. Brogdon makes 2-pt shot from 8 ft,2,65-60,,
10:03.0,,,65-60,,Shooting foul by K. Middleton (drawn by D. Howard)
10:03.0,,,65-61,1,D. Howard makes free throw 1 of 2
10:03.0,,,65-62,1,D. Howard makes free throw 2 of 2
9:51.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Howard),,65-62,,
9:46.0,,,65-62,,Offensive foul by D. Howard (drawn by G. Antetokounmpo)
9:46.0,,,65-62,,Turnover by D. Howard (offensive foul)
9:25.0,J. Henson makes 2-pt shot from 10 ft (assist by T. Snell),2,67-62,,
9:12.0,,,67-64,2,D. Howard makes 2-pt shot from 1 ft (assist by T. Graham)
9:12.0,,,67-64,,Shooting foul by J. Henson (drawn by D. Howard)
9:12.0,,,67-65,1,D. Howard makes free throw 1 of 1
8:57.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,67-65,,
8:54.0,,,67-65,,Defensive rebound by T. Graham
8:35.0,,,67-65,,D. Howard misses 2-pt shot from 1 ft
8:30.0,,,67-65,,Offensive rebound by D. Howard
8:30.0,,,67-67,2,D. Howard makes 2-pt shot at rim
8:18.0,J. Henson makes 2-pt shot from 1 ft (assist by T. Snell),2,69-67,,
8:02.0,,,69-70,3,J. Lamb makes 3-pt shot from 23 ft (assist by T. Graham)
7:55.0,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,71-70,,
7:45.0,Violation by M. Brogdon (kicked ball),,71-70,,
7:36.0,,,71-72,2,K. Walker makes 2-pt shot at rim
7:22.0,K. Middleton makes 3-pt shot from 25 ft (assist by J. Henson),3,74-72,,
6:54.0,,,74-75,3,M. Williams makes 3-pt shot from 23 ft (assist by J. Lamb)
6:41.0,M. Brogdon misses 2-pt shot from 15 ft,,74-75,,
6:37.0,,,74-75,,Defensive rebound by M. Williams
6:34.0,,,74-75,,K. Walker misses 2-pt shot from 1 ft
6:31.0,Defensive rebound by G. Antetokounmpo,,74-75,,
6:26.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,74-75,,
6:23.0,,,74-75,,Defensive rebound by J. Lamb
6:12.0,,,74-75,,T. Graham misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by J. Henson,,74-75,,
5:57.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,74-75,,
5:53.0,,,74-75,,Defensive rebound by D. Howard
5:45.0,,,74-77,2,J. Lamb makes 2-pt shot from 11 ft
5:45.0,,,74-77,,Shooting foul by J. Henson (drawn by J. Lamb)
5:45.0,,,74-77,,Charlotte full timeout
5:45.0,,,74-77,,D. Bacon enters the game for T. Graham
5:45.0,,,74-77,,J. Lamb misses free throw 1 of 1
5:42.0,Defensive rebound by G. Antetokounmpo,,74-77,,
5:33.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,74-77,,
5:29.0,Offensive rebound by J. Henson,,74-77,,
5:27.0,J. Henson misses 2-pt shot from 5 ft,,74-77,,
5:22.0,,,74-77,,Defensive rebound by D. Howard
5:20.0,,,74-77,,Offensive foul by D. Howard (drawn by T. Snell)
5:20.0,,,74-77,,Turnover by D. Howard (offensive foul)
5:00.0,M. Brogdon misses 2-pt shot from 17 ft,,74-77,,
4:57.0,Offensive rebound by J. Henson,,74-77,,
4:52.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,74-77,,
4:47.0,,,74-77,,Defensive rebound by D. Howard
4:40.0,,,74-77,,Shooting foul by G. Antetokounmpo (drawn by D. Howard)
4:40.0,,,74-77,,D. Howard misses free throw 1 of 2
4:40.0,,,74-77,,Offensive rebound by Team
4:40.0,,,74-77,,F. Kaminsky enters the game for J. Lamb
4:40.0,M. Dellavedova enters the game for M. Brogdon,,74-77,,
4:40.0,,,74-77,,D. Howard misses free throw 2 of 2
4:36.0,Defensive rebound by G. Antetokounmpo,,74-77,,
4:24.0,,,74-77,,Personal foul by D. Bacon (drawn by G. Antetokounmpo)
4:14.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,77-77,,
3:55.0,,,77-77,,Turnover by D. Howard (traveling)
3:42.0,Shooting foul by D. Bacon (drawn by G. Antetokounmpo),,77-77,,
3:42.0,G. Antetokounmpo makes free throw 1 of 2,1,78-77,,
3:42.0,,,78-77,,C. Zeller enters the game for D. Howard
3:42.0,T. Maker enters the game for J. Henson,,78-77,,
3:42.0,G. Antetokounmpo makes free throw 2 of 2,1,79-77,,
3:24.0,,,79-77,,F. Kaminsky misses 2-pt shot from 16 ft
3:21.0,Defensive rebound by G. Antetokounmpo,,79-77,,
3:17.0,K. Middleton misses 3-pt shot from 26 ft,,79-77,,
3:13.0,,,79-77,,Defensive rebound by F. Kaminsky
3:10.0,Personal foul by M. Dellavedova (drawn by K. Walker),,79-77,,
3:10.0,,,79-78,1,K. Walker makes free throw 1 of 2
3:10.0,,,79-79,1,K. Walker makes free throw 2 of 2
2:46.0,T. Snell makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,81-79,,
2:33.0,,,81-79,,F. Kaminsky misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by M. Dellavedova,,81-79,,
2:25.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,83-79,,
2:25.0,,,83-79,,Charlotte full timeout
2:25.0,,,83-79,,T. Graham enters the game for M. Williams
2:25.0,M. Teletovic enters the game for K. Middleton,,83-79,,
2:09.0,,,83-81,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker)
1:58.0,,,83-81,,Personal foul by T. Graham (drawn by G. Antetokounmpo)
1:53.0,M. Teletovic makes 3-pt shot from 28 ft (assist by G. Antetokounmpo),3,86-81,,
1:23.0,,,86-83,2,F. Kaminsky makes 2-pt shot from 11 ft
1:09.0,M. Teletovic misses 3-pt shot from 25 ft,,86-83,,
1:06.0,,,86-83,,Defensive rebound by C. Zeller
0:59.0,,,86-83,,K. Walker misses 2-pt shot from 18 ft
0:57.0,,,86-83,,Offensive rebound by C. Zeller
0:51.0,,,86-83,,C. Zeller misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
0:47.0,,,86-83,,Offensive rebound by C. Zeller
0:47.0,,,86-85,2,C. Zeller makes 2-pt shot at rim
0:36.0,Offensive foul by G. Antetokounmpo (drawn by T. Graham),,86-85,,
0:36.0,Turnover by G. Antetokounmpo (offensive foul),,86-85,,
0:36.0,K. Middleton enters the game for G. Antetokounmpo,,86-85,,
0:15.0,,,86-88,3,D. Bacon makes 3-pt shot from 24 ft (assist by F. Kaminsky)
0:00.0,K. Middleton makes 2-pt shot from 16 ft,2,88-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Teletovic misses 2-pt shot from 6 ft,,88-88,,
11:42.0,,,88-88,,Defensive rebound by D. Bacon
11:36.0,,,88-88,,D. Bacon misses 2-pt shot from 1 ft
11:36.0,,,88-88,,Offensive rebound by Team
11:36.0,Loose ball foul by M. Brogdon (drawn by C. Zeller),,88-88,,
11:29.0,,,88-90,2,M. Monk makes 2-pt shot from 20 ft (assist by C. Zeller)
11:19.0,Turnover by M. Dellavedova (bad pass),,88-90,,
11:08.0,,,88-93,3,M. Monk makes 3-pt shot from 25 ft
10:44.0,K. Middleton misses 2-pt shot from 18 ft,,88-93,,
10:41.0,,,88-93,,Defensive rebound by C. Zeller
10:37.0,,,88-93,,Turnover by C. Zeller (traveling)
10:32.0,,,88-93,,Personal foul by C. Zeller (drawn by T. Maker)
10:23.0,K. Middleton misses 2-pt shot from 9 ft,,88-93,,
10:20.0,,,88-93,,Defensive rebound by F. Kaminsky
10:13.0,Personal foul by M. Brogdon (drawn by M. Monk),,88-93,,
10:08.0,,,88-95,2,D. Bacon makes 2-pt shot from 18 ft
10:07.0,Milwaukee full timeout,,88-95,,
9:50.0,,,88-95,,Personal foul by T. Graham (drawn by K. Middleton)
9:43.0,M. Brogdon makes 2-pt shot from 10 ft,2,90-95,,
9:27.0,,,90-98,3,M. Monk makes 3-pt shot from 25 ft
9:01.0,T. Maker makes 2-pt shot from 16 ft (assist by M. Brogdon),2,92-98,,
8:48.0,,,92-101,3,M. Monk makes 3-pt shot from 26 ft
8:33.0,M. Teletovic makes 3-pt shot from 26 ft (assist by K. Middleton),3,95-101,,
8:09.0,,,95-101,,M. Monk misses 3-pt shot from 25 ft
8:09.0,,,95-101,,Offensive rebound by Team
8:09.0,Loose ball foul by T. Maker (drawn by F. Kaminsky),,95-101,,
8:02.0,,,95-104,3,M. Monk makes 3-pt shot from 25 ft (assist by D. Bacon)
7:59.0,Milwaukee full timeout,,95-104,,
7:59.0,J. Henson enters the game for T. Maker,,95-104,,
7:59.0,T. Snell enters the game for M. Dellavedova,,95-104,,
7:49.0,Offensive foul by J. Henson (drawn by C. Zeller),,95-104,,
7:49.0,Turnover by J. Henson (offensive foul),,95-104,,
7:30.0,,,95-106,2,M. Monk makes 2-pt shot from 2 ft (assist by F. Kaminsky)
7:21.0,Turnover by J. Henson (bad pass),,95-106,,
7:21.0,G. Antetokounmpo enters the game for M. Teletovic,,95-106,,
7:04.0,,,95-106,,M. Monk misses 2-pt shot from 19 ft
7:00.0,Defensive rebound by M. Brogdon,,95-106,,
6:55.0,,,95-106,,Violation by T. Graham (kicked ball)
6:55.0,,,95-106,,M. Williams enters the game for T. Graham
6:44.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,95-106,,
6:41.0,,,95-106,,Defensive rebound by C. Zeller
6:30.0,,,95-106,,D. Bacon misses 2-pt shot from 18 ft
6:24.0,,,95-106,,Offensive rebound by M. Williams
6:24.0,,,95-108,2,M. Williams makes 2-pt shot at rim
6:20.0,K. Middleton misses 2-pt shot from 7 ft (block by C. Zeller),,95-108,,
6:20.0,Offensive rebound by Team,,95-108,,
6:16.0,K. Middleton misses 2-pt shot from 11 ft,,95-108,,
6:10.0,Offensive rebound by K. Middleton,,95-108,,
6:10.0,K. Middleton makes 2-pt shot at rim,2,97-108,,
5:57.0,,,97-110,2,D. Bacon makes 2-pt shot from 12 ft
5:57.0,,,97-110,,Shooting foul by M. Brogdon (drawn by D. Bacon)
5:57.0,,,97-111,1,D. Bacon makes free throw 1 of 1
5:42.0,Shooting foul by D. Bacon (drawn by K. Middleton),,97-111,,
5:42.0,K. Middleton misses free throw 1 of 2,,97-111,,
5:42.0,Offensive rebound by Team,,97-111,,
5:42.0,,,97-111,,K. Walker enters the game for F. Kaminsky
5:42.0,K. Middleton makes free throw 2 of 2,1,98-111,,
5:23.0,,,98-113,2,M. Monk makes 2-pt shot from 8 ft
5:05.0,K. Middleton makes 2-pt shot from 10 ft,2,100-113,,
5:05.0,Shooting foul by D. Bacon (drawn by K. Middleton),,100-113,,
5:05.0,,,100-113,,T. Graham enters the game for D. Bacon
5:05.0,,,100-113,,D. Howard enters the game for C. Zeller
5:05.0,K. Middleton misses free throw 1 of 1,,100-113,,
5:02.0,,,100-113,,Defensive rebound by D. Howard
4:51.0,,,100-113,,Offensive charge foul by T. Graham (drawn by K. Middleton)
4:51.0,,,100-113,,Turnover by T. Graham (offensive foul)
4:43.0,M. Brogdon misses 3-pt shot from 26 ft,,100-113,,
4:38.0,,,100-113,,Defensive rebound by M. Monk
4:17.0,,,100-113,,M. Monk misses 3-pt shot from 26 ft
4:14.0,Defensive rebound by G. Antetokounmpo,,100-113,,
4:10.0,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,103-113,,
3:51.0,,,103-115,2,K. Walker makes 2-pt shot from 16 ft
3:39.0,T. Snell makes 3-pt shot from 22 ft (assist by K. Middleton),3,106-115,,
3:39.0,,,106-115,,Charlotte full timeout
3:24.0,,,106-118,3,M. Williams makes 3-pt shot from 25 ft (assist by T. Graham)
3:07.0,M. Brogdon misses 3-pt shot from 24 ft,,106-118,,
3:03.0,Offensive rebound by J. Henson,,106-118,,
2:59.0,G. Antetokounmpo misses 3-pt shot from 27 ft,,106-118,,
2:57.0,,,106-118,,Defensive rebound by K. Walker
2:48.0,,,106-118,,Turnover by K. Walker (lost ball; steal by J. Henson)
2:43.0,Turnover by J. Henson (bad pass; steal by T. Graham),,106-118,,
2:34.0,,,106-118,,M. Monk misses 2-pt shot from 18 ft
2:30.0,Defensive rebound by K. Middleton,,106-118,,
2:28.0,K. Middleton makes 2-pt shot from 7 ft,2,108-118,,
2:28.0,Shooting foul by T. Graham (drawn by K. Middleton),,108-118,,
2:28.0,,,108-118,,D. Bacon enters the game for T. Graham
2:28.0,K. Middleton makes free throw 1 of 1,1,109-118,,
2:27.0,Personal take foul by K. Middleton (drawn by D. Howard),,109-118,,
2:27.0,,,109-119,1,D. Howard makes free throw 1 of 2
