time,Minnesota,pts.away,score,pts.home,Denver
10:54.0,T. Jones makes 2-pt shot from 2 ft (assist by J. Crawford),2,24-26,,
10:39.0,,,24-28,2,M. Plumlee makes 2-pt shot from 8 ft
10:20.0,M. Georges-Hunt misses 2-pt shot from 12 ft,,24-28,,
10:20.0,,,24-28,,Defensive rebound by T. Lyles
9:59.0,,,24-31,3,M. Beasley makes 3-pt shot from 22 ft (assist by W. Barton)
9:42.0,J. Crawford misses 2-pt shot from 12 ft,,24-31,,
9:38.0,,,24-31,,Defensive rebound by T. Craig
9:34.0,Personal foul by T. Jones (drawn by T. Craig),,24-31,,
9:34.0,,,24-31,,W. Chandler enters the game for M. Beasley
9:34.0,J. Butler enters the game for M. Georges-Hunt,,24-31,,
9:27.0,,,24-31,,W. Barton misses 2-pt shot from 1 ft
9:26.0,,,24-31,,Offensive rebound by M. Plumlee
9:18.0,,,24-33,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
9:18.0,,,24-33,,Shooting foul by G. Dieng (drawn by T. Lyles)
9:18.0,A. Wiggins enters the game for G. Dieng,,24-33,,
9:18.0,,,24-34,1,T. Lyles makes free throw 1 of 1
8:59.0,J. Crawford makes 3-pt shot from 24 ft (assist by A. Wiggins),3,27-34,,
8:37.0,,,27-34,,Turnover by M. Plumlee (turnover)
8:26.0,J. Crawford makes 3-pt shot from 22 ft (assist by T. Jones),3,30-34,,
8:03.0,,,30-34,,Shooting foul by A. Wiggins (drawn by T. Lyles)
8:03.0,,,30-35,1,T. Lyles makes free throw 1 of 2
8:03.0,,,30-35,,N. Jokic enters the game for M. Plumlee
8:03.0,,,30-36,1,T. Lyles makes free throw 2 of 2
7:41.0,J. Butler misses 3-pt shot from 23 ft,,30-36,,
7:41.0,,,30-36,,Defensive rebound by T. Craig
7:25.0,,,30-36,,T. Craig misses 3-pt shot from 22 ft
7:22.0,Defensive rebound by K. Towns,,30-36,,
7:13.0,A. Wiggins makes 2-pt shot from 10 ft,2,32-36,,
7:13.0,Shooting foul by T. Craig (drawn by A. Wiggins),,32-36,,
7:13.0,A. Wiggins makes free throw 1 of 1,1,33-36,,
6:57.0,,,33-38,2,N. Jokic makes 2-pt shot from 4 ft
6:47.0,,,33-38,,Personal foul by N. Jokic (drawn by K. Towns)
6:47.0,,,33-38,,Denver full timeout
6:47.0,,,33-38,,J. Murray enters the game for T. Lyles
6:40.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Butler),2,35-38,,
6:19.0,J. Teague enters the game for T. Jones,,35-38,,
6:13.0,,,35-38,,W. Barton misses 3-pt shot from 25 ft (block by A. Wiggins)
6:13.0,,,35-38,,Offensive rebound by Team
6:13.0,,,35-38,,Turnover by Team (shot clock)
6:03.0,J. Butler makes 2-pt shot from 1 ft (assist by K. Towns),2,37-38,,
5:40.0,,,37-38,,N. Jokic misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by J. Teague,,37-38,,
5:32.0,J. Crawford misses 2-pt shot from 17 ft,,37-38,,
5:26.0,Offensive rebound by K. Towns,,37-38,,
5:26.0,K. Towns misses 2-pt shot at rim,,37-38,,
5:26.0,,,37-38,,Defensive rebound by W. Barton
5:23.0,,,37-40,2,W. Barton makes 2-pt shot from 2 ft
5:06.0,J. Teague misses 3-pt shot from 22 ft,,37-40,,
5:03.0,,,37-40,,Defensive rebound by T. Craig
5:00.0,,,37-40,,W. Barton misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by J. Teague,,37-40,,
4:38.0,J. Teague misses 2-pt shot from 5 ft,,37-40,,
4:36.0,Offensive rebound by K. Towns,,37-40,,
4:35.0,K. Towns makes 2-pt shot from 1 ft,2,39-40,,
4:35.0,,,39-40,,Denver full timeout
4:35.0,,,39-40,,T. Lyles enters the game for T. Craig
4:21.0,,,39-40,,Turnover by N. Jokic (lost ball; steal by J. Teague)
4:17.0,J. Crawford misses 2-pt shot from 2 ft (block by W. Barton),,39-40,,
4:14.0,,,39-40,,Defensive rebound by W. Chandler
4:04.0,,,39-40,,N. Jokic misses 2-pt shot from 23 ft
4:02.0,Defensive rebound by A. Wiggins,,39-40,,
3:47.0,J. Butler makes 2-pt shot from 5 ft,2,41-40,,
3:21.0,,,41-40,,T. Lyles misses 2-pt shot from 6 ft
3:18.0,Defensive rebound by K. Towns,,41-40,,
3:12.0,J. Crawford misses 3-pt shot from 22 ft,,41-40,,
3:08.0,,,41-40,,Defensive rebound by N. Jokic
2:51.0,,,41-40,,Shooting foul by J. Crawford (drawn by N. Jokic)
2:51.0,,,41-41,1,N. Jokic makes free throw 1 of 2
2:51.0,T. Gibson enters the game for J. Crawford,,41-41,,
2:51.0,,,41-42,1,N. Jokic makes free throw 2 of 2
2:27.0,Turnover by Team (shot clock),,41-42,,
2:17.0,,,41-42,,N. Jokic misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by J. Teague,,41-42,,
2:09.0,K. Towns makes 2-pt shot from 4 ft (assist by J. Teague),2,43-42,,
2:09.0,Shooting foul by N. Jokic (drawn by K. Towns),,43-42,,
2:09.0,K. Towns makes free throw 1 of 1,1,44-42,,
1:58.0,,,44-45,3,T. Lyles makes 3-pt shot from 25 ft (assist by J. Murray)
1:40.0,K. Towns misses 2-pt shot from 2 ft (block by N. Jokic),,44-45,,
1:37.0,,,44-45,,Defensive rebound by N. Jokic
1:32.0,,,44-48,3,J. Murray makes 3-pt shot from 23 ft (assist by W. Chandler)
1:23.0,,,44-48,,Personal foul by W. Barton (drawn by J. Butler)
1:23.0,,,44-48,,M. Plumlee enters the game for N. Jokic
1:12.0,,,44-48,,Personal block foul by J. Murray (drawn by J. Teague)
1:12.0,J. Teague makes free throw 1 of 2,1,45-48,,
1:12.0,J. Teague makes free throw 2 of 2,1,46-48,,
0:55.0,,,46-48,,M. Plumlee misses 2-pt shot from 2 ft
0:49.0,,,46-48,,Offensive rebound by M. Plumlee
0:49.0,,,46-48,,M. Plumlee misses 2-pt shot at rim
0:48.0,Defensive rebound by A. Wiggins,,46-48,,
0:43.0,A. Wiggins makes 2-pt shot from 20 ft,2,48-48,,
0:28.0,,,48-50,2,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Murray)
0:06.0,J. Teague makes 2-pt shot from 6 ft,2,50-50,,
0:01.0,,,50-52,2,W. Barton makes 2-pt shot from 2 ft (assist by M. Plumlee)
0:00.0,Turnover by K. Towns (bad pass; steal by J. Murray),,50-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,J. Butler makes 2-pt shot from 21 ft (assist by K. Towns),2,52-52,,
11:26.0,Personal foul by T. Gibson (drawn by N. Jokic),,52-52,,
11:20.0,Personal foul by J. Teague (drawn by J. Murray),,52-52,,
11:10.0,,,52-54,2,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Craig)
10:50.0,T. Gibson makes 2-pt shot from 18 ft (assist by J. Butler),2,54-54,,
10:29.0,,,54-56,2,M. Plumlee makes 2-pt shot at rim (assist by W. Chandler)
10:13.0,A. Wiggins misses 3-pt shot from 25 ft,,54-56,,
10:09.0,,,54-56,,Defensive rebound by N. Jokic
10:08.0,,,54-56,,Turnover by N. Jokic (bad pass; steal by A. Wiggins)
10:04.0,T. Gibson misses 3-pt shot from 22 ft,,54-56,,
9:59.0,,,54-56,,Defensive rebound by T. Craig
9:49.0,,,54-59,3,N. Jokic makes 3-pt shot from 22 ft (assist by M. Plumlee)
9:29.0,K. Towns makes 2-pt shot from 7 ft (assist by J. Teague),2,56-59,,
9:16.0,,,56-62,3,N. Jokic makes 3-pt shot from 25 ft (assist by M. Plumlee)
9:00.0,T. Gibson makes 2-pt shot from 4 ft (assist by J. Teague),2,58-62,,
9:00.0,,,58-62,,Violation by M. Plumlee (def goaltending)
8:51.0,,,58-62,,N. Jokic misses 3-pt shot from 25 ft
8:49.0,,,58-62,,Offensive rebound by M. Plumlee
8:39.0,,,58-62,,Turnover by N. Jokic (bad pass; steal by A. Wiggins)
8:33.0,A. Wiggins misses 2-pt shot from 3 ft,,58-62,,
8:30.0,,,58-62,,Defensive rebound by W. Chandler
8:24.0,,,58-62,,Turnover by T. Craig (lost ball; steal by J. Teague)
8:20.0,J. Butler misses 3-pt shot from 25 ft,,58-62,,
8:15.0,,,58-62,,Defensive rebound by W. Chandler
8:09.0,,,58-62,,J. Murray misses 2-pt shot from 2 ft
8:09.0,,,58-62,,Offensive rebound by Team
7:46.0,,,58-64,2,W. Chandler makes 2-pt shot at rim
7:32.0,,,58-64,,Personal foul by M. Plumlee (drawn by K. Towns)
7:27.0,,,58-64,,Violation by J. Murray (kicked ball)
7:24.0,Turnover by J. Butler (bad pass; steal by M. Plumlee),,58-64,,
7:20.0,,,58-67,3,J. Murray makes 3-pt shot from 23 ft (assist by M. Plumlee)
7:20.0,,,58-67,,Shooting foul by J. Teague (drawn by J. Murray)
7:20.0,,,58-68,1,J. Murray makes free throw 1 of 1
7:04.0,T. Gibson misses 2-pt shot from 2 ft (block by N. Jokic),,58-68,,
7:01.0,,,58-68,,Defensive rebound by M. Plumlee
6:56.0,,,58-68,,J. Murray misses 2-pt shot from 22 ft
6:54.0,Defensive rebound by K. Towns,,58-68,,
6:53.0,Shooting foul by N. Jokic (drawn by J. Butler),,58-68,,
6:53.0,,,58-68,,Denver full timeout
6:53.0,J. Butler makes free throw 1 of 2,1,59-68,,
6:53.0,J. Butler makes free throw 2 of 2,1,60-68,,
6:41.0,,,60-71,3,T. Craig makes 3-pt shot from 22 ft (assist by W. Chandler)
6:16.0,J. Teague makes 2-pt shot from 11 ft (assist by J. Butler),2,62-71,,
6:06.0,Personal foul by T. Gibson (drawn by N. Jokic),,62-71,,
5:58.0,,,62-71,,Shooting foul by J. Teague (drawn by J. Murray)
5:58.0,,,62-72,1,J. Murray makes free throw 1 of 2
5:58.0,,,62-73,1,J. Murray makes free throw 2 of 2
5:49.0,J. Teague makes 2-pt shot from 1 ft,2,64-73,,
5:32.0,,,64-75,2,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Chandler)
5:11.0,A. Wiggins misses 2-pt shot from 17 ft,,64-75,,
5:09.0,Offensive rebound by K. Towns,,64-75,,
5:07.0,A. Wiggins misses 2-pt shot from 7 ft,,64-75,,
5:00.0,Offensive rebound by T. Gibson,,64-75,,
5:00.0,T. Gibson misses 2-pt shot at rim,,64-75,,
4:59.0,,,64-75,,Defensive rebound by T. Craig
4:55.0,,,64-75,,Shooting foul by T. Gibson (drawn by T. Craig)
4:55.0,,,64-76,1,T. Craig makes free throw 1 of 2
4:55.0,G. Dieng enters the game for K. Towns,,64-76,,
4:55.0,,,64-77,1,T. Craig makes free throw 2 of 2
4:48.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Teague),2,66-77,,
4:38.0,,,66-79,2,N. Jokic makes 2-pt shot from 2 ft (assist by M. Plumlee)
4:38.0,,,66-79,,Shooting foul by J. Butler (drawn by N. Jokic)
4:38.0,,,66-79,,T. Lyles enters the game for T. Craig
4:38.0,,,66-79,,W. Barton enters the game for M. Plumlee
4:38.0,,,66-80,1,N. Jokic makes free throw 1 of 1
4:31.0,J. Butler misses 2-pt shot from 12 ft,,66-80,,
4:28.0,,,66-80,,Defensive rebound by W. Barton
4:08.0,,,66-80,,Turnover by N. Jokic (traveling)
4:02.0,,,66-80,,Personal foul by W. Barton (drawn by J. Butler)
4:02.0,J. Crawford enters the game for J. Butler,,66-80,,
3:55.0,J. Teague makes 2-pt shot from 2 ft (assist by J. Crawford),2,68-80,,
3:55.0,Shooting foul by J. Murray (drawn by J. Teague),,68-80,,
3:55.0,J. Teague makes free throw 1 of 1,1,69-80,,
3:42.0,,,69-82,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton)
3:29.0,,,69-82,,Personal foul by W. Barton (drawn by J. Crawford)
3:29.0,J. Crawford makes free throw 1 of 2,1,70-82,,
3:29.0,J. Crawford makes free throw 2 of 2,1,71-82,,
3:16.0,,,71-82,,W. Barton misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by G. Dieng,,71-82,,
3:00.0,A. Wiggins misses 2-pt shot from 3 ft,,71-82,,
2:58.0,,,71-82,,Defensive rebound by W. Chandler
2:54.0,,,71-82,,T. Lyles misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by A. Wiggins,,71-82,,
2:45.0,J. Crawford makes 2-pt shot from 14 ft,2,73-82,,
2:28.0,,,73-82,,T. Lyles misses 2-pt shot from 5 ft
2:26.0,Defensive rebound by G. Dieng,,73-82,,
2:21.0,A. Wiggins misses 2-pt shot from 4 ft (block by W. Chandler),,73-82,,
2:18.0,Offensive rebound by G. Dieng,,73-82,,
2:11.0,T. Gibson makes 2-pt shot from 3 ft (assist by J. Teague),2,75-82,,
2:11.0,,,75-82,,Denver full timeout
2:11.0,,,75-82,,T. Craig enters the game for J. Murray
1:49.0,,,75-82,,N. Jokic misses 2-pt shot from 13 ft
1:44.0,Defensive rebound by T. Gibson,,75-82,,
1:38.0,J. Teague makes 3-pt shot from 24 ft,3,78-82,,
1:25.0,,,78-82,,Turnover by N. Jokic (lost ball; steal by G. Dieng)
1:16.0,G. Dieng makes 2-pt shot from 15 ft (assist by J. Crawford),2,80-82,,
0:51.0,,,80-84,2,N. Jokic makes 2-pt shot from 6 ft (assist by T. Lyles)
0:38.0,Offensive foul by J. Crawford (drawn by T. Lyles),,80-84,,
0:38.0,Turnover by J. Crawford (offensive foul),,80-84,,
0:38.0,,,80-84,,M. Plumlee enters the game for N. Jokic
0:27.0,,,80-84,,Turnover by M. Plumlee (turnover)
0:06.0,J. Teague misses 3-pt shot from 25 ft,,80-84,,
0:03.0,,,80-84,,Defensive rebound by W. Chandler
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,80-84,,Turnover by M. Plumlee (turnover)
11:23.0,J. Crawford misses 2-pt shot from 16 ft,,80-84,,
11:18.0,Offensive rebound by K. Towns,,80-84,,
11:16.0,K. Towns makes 2-pt shot from 2 ft,2,82-84,,
11:03.0,,,82-84,,T. Lyles misses 2-pt shot from 4 ft
11:01.0,Defensive rebound by G. Dieng,,82-84,,
10:57.0,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones),3,85-84,,
10:30.0,,,85-84,,J. Murray misses 2-pt shot from 10 ft
10:25.0,,,85-84,,Offensive rebound by M. Plumlee
10:25.0,,,85-86,2,M. Plumlee makes 2-pt shot at rim
10:01.0,K. Towns misses 2-pt shot from 15 ft,,85-86,,
9:57.0,,,85-86,,Defensive rebound by M. Plumlee
9:35.0,,,85-89,3,J. Murray makes 3-pt shot from 24 ft
9:15.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Crawford),2,87-89,,
9:01.0,,,87-89,,Turnover by T. Lyles (turnover)
9:01.0,J. Butler enters the game for M. Georges-Hunt,,87-89,,
8:48.0,G. Dieng misses 3-pt shot from 22 ft,,87-89,,
8:45.0,,,87-89,,Defensive rebound by W. Barton
8:34.0,,,87-91,2,J. Murray makes 2-pt shot from 2 ft
8:19.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Crawford),2,89-91,,
8:08.0,,,89-91,,Shooting foul by J. Crawford (drawn by M. Plumlee)
8:08.0,,,89-91,,M. Plumlee misses free throw 1 of 2
8:08.0,,,89-91,,Offensive rebound by Team
8:08.0,,,89-91,,M. Plumlee misses free throw 2 of 2
8:07.0,Defensive rebound by T. Jones,,89-91,,
8:07.0,,,89-91,,Personal foul by M. Plumlee (drawn by T. Jones)
7:54.0,,,89-91,,Personal foul by J. Murray (drawn by T. Jones)
7:48.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford),2,91-91,,
7:47.0,,,91-91,,Denver full timeout
7:47.0,,,91-91,,N. Jokic enters the game for T. Lyles
7:37.0,,,91-91,,Shooting foul by J. Crawford (drawn by J. Murray)
7:37.0,,,91-92,1,J. Murray makes free throw 1 of 3
7:37.0,,,91-93,1,J. Murray makes free throw 2 of 3
7:37.0,,,91-93,,J. Murray misses free throw 3 of 3
7:36.0,Defensive rebound by G. Dieng,,91-93,,
7:22.0,J. Crawford makes 2-pt shot from 11 ft,2,93-93,,
7:03.0,,,93-93,,N. Jokic misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by K. Towns,,93-93,,
6:44.0,Turnover by J. Crawford (bad pass; steal by M. Plumlee),,93-93,,
6:44.0,Personal foul by G. Dieng (drawn by W. Barton),,93-93,,
6:28.0,,,93-95,2,J. Murray makes 2-pt shot from 17 ft
6:11.0,J. Crawford makes 3-pt shot from 24 ft,3,96-95,,
5:48.0,,,96-95,,Turnover by T. Craig (step out of bounds)
5:48.0,J. Teague enters the game for T. Jones,,96-95,,
5:33.0,,,96-95,,W. Chandler enters the game for M. Plumlee
5:27.0,J. Teague misses 3-pt shot from 22 ft,,96-95,,
5:24.0,,,96-95,,Defensive rebound by W. Barton
5:03.0,,,96-95,,J. Murray misses 2-pt shot from 17 ft
4:59.0,Defensive rebound by K. Towns,,96-95,,
4:41.0,J. Butler makes 3-pt shot from 24 ft (assist by G. Dieng),3,99-95,,
4:26.0,Personal foul by G. Dieng (drawn by N. Jokic),,99-95,,
4:26.0,T. Gibson enters the game for G. Dieng,,99-95,,
4:17.0,,,99-95,,Turnover by N. Jokic (bad pass; steal by K. Towns)
3:59.0,J. Crawford makes 3-pt shot from 23 ft (assist by J. Teague),3,102-95,,
3:42.0,,,102-98,3,W. Chandler makes 3-pt shot from 25 ft (assist by N. Jokic)
3:25.0,J. Butler misses 2-pt shot from 4 ft,,102-98,,
3:23.0,Offensive rebound by J. Butler,,102-98,,
3:21.0,J. Crawford misses 3-pt shot from 25 ft,,102-98,,
3:18.0,,,102-98,,Defensive rebound by J. Murray
3:11.0,,,102-100,2,W. Barton makes 2-pt shot from 2 ft (assist by J. Murray)
2:46.0,J. Butler misses 2-pt shot from 11 ft,,102-100,,
2:44.0,Offensive rebound by Team,,102-100,,
2:44.0,Minnesota full timeout,,102-100,,
2:29.0,K. Towns misses 2-pt shot from 5 ft,,102-100,,
2:27.0,,,102-100,,Defensive rebound by W. Chandler
2:23.0,,,102-100,,W. Barton misses 2-pt shot from 4 ft
2:20.0,Defensive rebound by J. Butler,,102-100,,
2:07.0,J. Teague misses 3-pt shot from 25 ft,,102-100,,
2:03.0,,,102-100,,Defensive rebound by T. Craig
1:48.0,,,102-100,,W. Chandler misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by J. Crawford,,102-100,,
1:29.0,Shooting foul by T. Craig (drawn by J. Butler),,102-100,,
1:29.0,J. Butler makes free throw 1 of 2,1,103-100,,
1:29.0,A. Wiggins enters the game for T. Gibson,,103-100,,
1:29.0,J. Butler makes free throw 2 of 2,1,104-100,,
1:19.0,,,104-102,2,J. Murray makes 2-pt shot from 1 ft (assist by W. Barton)
1:10.0,J. Butler makes 2-pt shot from 2 ft,2,106-102,,
1:01.0,,,106-102,,J. Murray misses 2-pt shot from 2 ft
1:00.0,Defensive rebound by A. Wiggins,,106-102,,
0:42.0,J. Butler makes 2-pt shot from 20 ft,2,108-102,,
0:41.0,,,108-102,,Denver full timeout
0:41.0,,,108-102,,T. Lyles enters the game for T. Craig
0:41.0,T. Gibson enters the game for J. Crawford,,108-102,,
0:38.0,,,108-102,,W. Chandler misses 2-pt shot at rim
0:35.0,,,108-102,,Offensive rebound by W. Chandler
0:34.0,,,108-102,,W. Chandler misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by K. Towns,,108-102,,
0:30.0,,,108-102,,Personal take foul by W. Barton (drawn by J. Butler)
0:30.0,J. Butler makes free throw 1 of 2,1,109-102,,
0:30.0,J. Butler makes free throw 2 of 2,1,110-102,,
0:23.0,,,110-104,2,J. Murray makes 2-pt shot from 1 ft
0:20.0,,,110-104,,Personal foul by J. Murray (drawn by J. Teague)
0:20.0,J. Teague makes free throw 1 of 2,1,111-104,,
0:20.0,J. Teague makes free throw 2 of 2,1,112-104,,
0:12.0,,,112-104,,Turnover by J. Murray (lost ball; steal by J. Butler)
