time,Cleveland,pts.away,score,pts.home,Oklahoma City
5:47.0,Cleveland full timeout,,48-42,,
5:47.0,,,48-42,,J. Grant enters the game for P. George
5:47.0,T. Thompson enters the game for R. Hood,,48-42,,
5:47.0,J. Smith enters the game for L. Nance,,48-42,,
5:33.0,Turnover by J. Clarkson (bad pass; steal by R. Westbrook),,48-42,,
5:28.0,,,48-44,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
5:06.0,J. Green makes 2-pt shot from 8 ft,2,50-44,,
4:45.0,,,50-44,,C. Anthony misses 2-pt shot from 8 ft
4:43.0,Defensive rebound by J. Green,,50-44,,
4:36.0,L. James makes 3-pt shot from 28 ft (assist by J. Clarkson),3,53-44,,
4:21.0,,,53-46,2,R. Westbrook makes 2-pt shot from 18 ft
3:58.0,J. Smith makes 3-pt shot from 26 ft (assist by J. Clarkson),3,56-46,,
3:50.0,,,56-46,,Shooting foul by J. Green (drawn by R. Westbrook)
3:50.0,,,56-47,1,R. Westbrook makes free throw 1 of 2
3:50.0,,,56-47,,A. Abrines enters the game for J. Huestis
3:50.0,,,56-47,,P. George enters the game for J. Grant
3:50.0,,,56-48,1,R. Westbrook makes free throw 2 of 2
3:50.0,G. Hill enters the game for J. Clarkson,,56-48,,
3:42.0,,,56-48,,Personal foul by P. George (drawn by G. Hill)
3:27.0,J. Green makes 2-pt shot from 4 ft,2,58-48,,
3:13.0,,,58-48,,P. George misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by J. Smith,,58-48,,
3:09.0,,,58-48,,Personal take foul by R. Westbrook (drawn by L. James)
3:00.0,L. James misses 3-pt shot from 26 ft,,58-48,,
3:00.0,,,58-48,,Defensive rebound by S. Adams
2:52.0,,,58-51,3,C. Anthony makes 3-pt shot from 25 ft
2:35.0,L. James makes 2-pt shot at rim (assist by G. Hill),2,60-51,,
2:24.0,,,60-51,,P. George misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by T. Thompson,,60-51,,
2:16.0,L. James misses 2-pt shot at rim,,60-51,,
2:14.0,,,60-51,,Defensive rebound by C. Anthony
2:10.0,,,60-51,,C. Anthony misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by L. James,,60-51,,
1:53.0,G. Hill makes 2-pt shot at rim,2,62-51,,
1:41.0,,,62-51,,R. Westbrook misses 3-pt shot from 25 ft
1:40.0,,,62-51,,Offensive rebound by Team
1:40.0,Loose ball foul by T. Thompson (drawn by S. Adams),,62-51,,
1:33.0,Personal foul by J. Green (drawn by P. George),,62-51,,
1:33.0,,,62-52,1,P. George makes free throw 1 of 2
1:33.0,R. Hood enters the game for J. Green,,62-52,,
1:33.0,,,62-53,1,P. George makes free throw 2 of 2
1:12.0,G. Hill misses 3-pt shot from 25 ft,,62-53,,
1:10.0,,,62-53,,Defensive rebound by P. George
1:03.0,,,62-55,2,P. George makes 2-pt shot from 16 ft
0:42.0,J. Smith misses 3-pt shot from 25 ft,,62-55,,
0:40.0,,,62-55,,Defensive rebound by P. George
0:36.0,,,62-55,,Turnover by P. George (bad pass; steal by G. Hill)
0:35.0,,,62-55,,Personal take foul by R. Westbrook (drawn by G. Hill)
0:19.0,Turnover by L. James (bad pass; steal by P. George),,62-55,,
0:01.0,,,62-57,2,C. Anthony makes 2-pt shot from 13 ft (assist by R. Westbrook)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,C. Osman makes 2-pt shot from 14 ft,2,64-57,,
11:21.0,,,64-57,,R. Westbrook misses 2-pt shot from 17 ft
11:17.0,Defensive rebound by L. James,,64-57,,
11:12.0,J. Smith misses 3-pt shot from 24 ft,,64-57,,
11:10.0,,,64-57,,Defensive rebound by A. Abrines
10:59.0,,,64-57,,P. George misses 2-pt shot from 3 ft
10:56.0,Defensive rebound by T. Thompson,,64-57,,
10:50.0,L. James makes 2-pt shot at rim,2,66-57,,
10:30.0,,,66-60,3,P. George makes 3-pt shot from 22 ft (assist by R. Westbrook)
10:08.0,L. James makes 3-pt shot from 24 ft (assist by G. Hill),3,69-60,,
9:52.0,,,69-63,3,P. George makes 3-pt shot from 24 ft
9:39.0,L. James makes 2-pt shot from 21 ft (assist by J. Smith),2,71-63,,
9:20.0,,,71-63,,C. Anthony misses 3-pt shot from 25 ft
9:18.0,,,71-63,,Offensive rebound by S. Adams
9:18.0,,,71-63,,Shooting foul by C. Osman (drawn by S. Adams)
9:18.0,,,71-64,1,S. Adams makes free throw 1 of 2
9:18.0,,,71-65,1,S. Adams makes free throw 2 of 2
8:56.0,C. Osman misses 3-pt shot from 23 ft,,71-65,,
8:52.0,,,71-65,,Defensive rebound by R. Westbrook
8:48.0,,,71-65,,Turnover by C. Anthony (bad pass)
8:39.0,L. James makes 2-pt shot from 16 ft,2,73-65,,
8:19.0,,,73-67,2,R. Westbrook makes 2-pt shot from 2 ft
8:19.0,,,73-67,,Shooting foul by G. Hill (drawn by R. Westbrook)
8:19.0,,,73-68,1,R. Westbrook makes free throw 1 of 1
8:05.0,C. Osman misses 2-pt shot from 4 ft,,73-68,,
8:02.0,,,73-68,,Defensive rebound by S. Adams
7:55.0,,,73-68,,P. George misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by T. Thompson,,73-68,,
7:34.0,L. James makes 2-pt shot from 7 ft (assist by C. Osman),2,75-68,,
7:23.0,Personal foul by C. Osman (drawn by P. George),,75-68,,
7:23.0,,,75-68,,J. Huestis enters the game for A. Abrines
7:13.0,,,75-68,,R. Westbrook misses 2-pt shot from 9 ft
7:11.0,Defensive rebound by C. Osman,,75-68,,
7:06.0,L. James makes 3-pt shot from 25 ft,3,78-68,,
7:05.0,,,78-68,,Oklahoma City full timeout
6:48.0,,,78-70,2,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George)
6:48.0,,,78-70,,Shooting foul by G. Hill (drawn by R. Westbrook)
6:48.0,,,78-71,1,R. Westbrook makes free throw 1 of 1
6:37.0,Turnover by L. James (lost ball; steal by S. Adams),,78-71,,
6:28.0,,,78-73,2,C. Anthony makes 2-pt shot from 14 ft
6:05.0,L. James misses 3-pt shot from 27 ft,,78-73,,
6:02.0,,,78-73,,Defensive rebound by S. Adams
5:56.0,,,78-73,,C. Anthony misses 3-pt shot from 26 ft
5:52.0,,,78-73,,Offensive rebound by R. Westbrook
5:50.0,,,78-76,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
5:48.0,Cleveland full timeout,,78-76,,
5:48.0,R. Hood enters the game for C. Osman,,78-76,,
5:28.0,G. Hill misses 3-pt shot from 23 ft,,78-76,,
5:25.0,,,78-76,,Defensive rebound by S. Adams
5:09.0,,,78-76,,P. George misses 2-pt shot from 14 ft
5:05.0,Defensive rebound by J. Smith,,78-76,,
4:44.0,G. Hill makes 3-pt shot from 22 ft (assist by L. James),3,81-76,,
4:32.0,,,81-79,3,P. George makes 3-pt shot from 28 ft (assist by R. Westbrook)
4:09.0,L. James misses 3-pt shot from 25 ft,,81-79,,
4:07.0,,,81-79,,Defensive rebound by R. Westbrook
3:56.0,Personal foul by T. Thompson (drawn by S. Adams),,81-79,,
3:56.0,,,81-80,1,S. Adams makes free throw 1 of 2
3:56.0,L. Nance enters the game for T. Thompson,,81-80,,
3:56.0,,,81-80,,S. Adams misses free throw 2 of 2
3:53.0,,,81-80,,Offensive rebound by S. Adams
3:42.0,Personal foul by J. Smith (drawn by S. Adams),,81-80,,
3:42.0,,,81-81,1,S. Adams makes free throw 1 of 2
3:42.0,,,81-81,,S. Adams misses free throw 2 of 2
3:40.0,,,81-81,,Offensive rebound by C. Anthony
3:33.0,,,81-81,,C. Anthony misses 2-pt shot from 13 ft
3:28.0,,,81-81,,Offensive rebound by S. Adams
3:28.0,Personal foul by J. Smith (drawn by S. Adams),,81-81,,
3:28.0,,,81-82,1,S. Adams makes free throw 1 of 2
3:28.0,,,81-82,,S. Adams misses free throw 2 of 2
3:28.0,,,81-82,,Offensive rebound by C. Anthony
3:28.0,,,81-82,,C. Anthony misses 2-pt shot at rim
3:26.0,Defensive rebound by J. Smith,,81-82,,
3:10.0,,,81-82,,Personal foul by J. Huestis (drawn by L. James)
3:10.0,,,81-82,,J. Grant enters the game for S. Adams
3:10.0,,,81-82,,P. Patterson enters the game for P. George
2:59.0,G. Hill makes 2-pt shot from 7 ft (assist by L. James),2,83-82,,
2:47.0,,,83-82,,R. Westbrook misses 2-pt shot from 17 ft
2:45.0,Defensive rebound by R. Hood,,83-82,,
2:38.0,L. James makes 2-pt shot at rim,2,85-82,,
2:38.0,,,85-82,,Violation by J. Huestis (def goaltending)
2:38.0,Shooting foul by C. Anthony (drawn by L. James),,85-82,,
2:38.0,L. James makes free throw 1 of 1,1,86-82,,
2:22.0,,,86-82,,C. Anthony misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by Team,,86-82,,
2:07.0,J. Smith makes 3-pt shot from 24 ft (assist by G. Hill),3,89-82,,
1:50.0,,,89-84,2,R. Westbrook makes 2-pt shot from 19 ft
1:34.0,J. Smith misses 3-pt shot from 22 ft,,89-84,,
1:32.0,,,89-84,,Defensive rebound by J. Grant
1:25.0,Personal foul by L. Nance (drawn by J. Grant),,89-84,,
1:25.0,,,89-84,,J. Grant misses free throw 1 of 2
1:25.0,,,89-84,,Offensive rebound by Team
1:25.0,,,89-84,,R. Felton enters the game for R. Westbrook
1:25.0,J. Clarkson enters the game for G. Hill,,89-84,,
1:25.0,J. Green enters the game for J. Smith,,89-84,,
1:25.0,,,89-85,1,J. Grant makes free throw 2 of 2
1:09.0,J. Clarkson makes 2-pt shot from 11 ft,2,91-85,,
0:47.0,,,91-87,2,C. Anthony makes 2-pt shot from 14 ft
0:33.0,R. Hood misses 3-pt shot from 22 ft,,91-87,,
0:31.0,,,91-87,,Defensive rebound by C. Anthony
0:09.0,,,91-87,,C. Anthony misses 2-pt shot from 15 ft (block by L. James)
0:08.0,,,91-87,,Offensive rebound by R. Felton
0:08.0,,,91-87,,R. Felton misses 3-pt shot from 35 ft
0:08.0,,,91-87,,Offensive rebound by Team
0:08.0,,,91-87,,Turnover by Team (shot clock)
0:05.0,,,91-87,,Personal take foul by J. Grant (drawn by L. James)
0:00.0,L. James misses 2-pt shot from 22 ft,,91-87,,
0:00.0,Offensive rebound by Team,,91-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,91-89,2,J. Grant makes 2-pt shot from 1 ft
11:36.0,,,91-89,,Personal foul by R. Felton (drawn by J. Clarkson)
11:24.0,J. Green misses 3-pt shot from 24 ft,,91-89,,
11:21.0,,,91-89,,Defensive rebound by R. Felton
11:12.0,,,91-89,,Offensive foul by P. Patterson (drawn by K. Korver)
11:12.0,,,91-89,,Turnover by P. Patterson (offensive foul)
11:12.0,,,91-89,,P. George enters the game for P. Patterson
11:00.0,K. Korver misses 2-pt shot from 20 ft,,91-89,,
10:59.0,Offensive rebound by L. Nance,,91-89,,
10:59.0,L. Nance misses 2-pt shot at rim,,91-89,,
10:58.0,,,91-89,,Defensive rebound by R. Felton
10:45.0,,,91-89,,J. Grant misses 2-pt shot at rim
10:44.0,,,91-89,,Offensive rebound by S. Adams
10:40.0,Personal foul by R. Hood (drawn by P. George),,91-89,,
10:37.0,Personal foul by R. Hood (drawn by P. George),,91-89,,
10:31.0,,,91-89,,Turnover by R. Felton (bad pass; steal by R. Hood)
10:27.0,R. Hood misses 2-pt shot from 8 ft,,91-89,,
10:26.0,Offensive rebound by L. Nance,,91-89,,
10:26.0,L. Nance misses 2-pt shot at rim,,91-89,,
10:24.0,Offensive rebound by L. Nance,,91-89,,
10:15.0,J. Clarkson makes 2-pt shot from 21 ft,2,93-89,,
9:58.0,Personal foul by R. Hood (drawn by J. Grant),,93-89,,
9:52.0,,,93-89,,P. George misses 3-pt shot from 25 ft
9:50.0,,,93-89,,Offensive rebound by S. Adams
9:50.0,,,93-89,,S. Adams misses 2-pt shot at rim
9:49.0,Defensive rebound by J. Clarkson,,93-89,,
9:32.0,R. Hood makes 3-pt shot from 24 ft (assist by J. Green),3,96-89,,
9:30.0,,,96-89,,Oklahoma City full timeout
9:17.0,,,96-89,,P. George misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by J. Green,,96-89,,
8:59.0,Shooting foul by A. Abrines (drawn by J. Green),,96-89,,
8:59.0,J. Green makes free throw 1 of 2,1,97-89,,
8:59.0,,,97-89,,R. Westbrook enters the game for A. Abrines
8:59.0,J. Green makes free throw 2 of 2,1,98-89,,
8:47.0,,,98-89,,Turnover by R. Felton (bad pass; steal by K. Korver)
8:32.0,K. Korver misses 3-pt shot from 22 ft,,98-89,,
8:30.0,Offensive rebound by L. Nance,,98-89,,
8:30.0,L. Nance makes 2-pt shot at rim,2,100-89,,
8:12.0,,,100-89,,Shooting foul by R. Hood (drawn by J. Grant)
8:12.0,,,100-90,1,J. Grant makes free throw 1 of 2
8:12.0,L. James enters the game for K. Korver,,100-90,,
8:12.0,,,100-90,,J. Grant misses free throw 2 of 2
8:10.0,,,100-90,,Offensive rebound by S. Adams
8:10.0,,,100-90,,S. Adams misses 2-pt shot at rim
8:09.0,Defensive rebound by L. James,,100-90,,
8:00.0,R. Hood misses 3-pt shot from 22 ft,,100-90,,
7:58.0,,,100-90,,Defensive rebound by R. Westbrook
7:47.0,,,100-90,,R. Felton misses 2-pt shot from 2 ft (block by L. Nance)
7:47.0,,,100-90,,Offensive rebound by S. Adams
7:47.0,,,100-92,2,S. Adams makes 2-pt shot at rim
7:23.0,J. Green makes 2-pt shot from 10 ft,2,102-92,,
7:07.0,,,102-92,,Turnover by R. Westbrook (bad pass; steal by L. Nance)
6:54.0,Offensive foul by L. James (drawn by J. Grant),,102-92,,
6:54.0,Turnover by L. James (offensive foul),,102-92,,
6:54.0,,,102-92,,C. Anthony enters the game for J. Grant
6:31.0,,,102-94,2,C. Anthony makes 2-pt shot from 20 ft
6:11.0,J. Clarkson misses 2-pt shot from 3 ft (block by C. Anthony),,102-94,,
6:05.0,,,102-94,,Defensive rebound by R. Westbrook
6:04.0,,,102-94,,R. Westbrook misses 3-pt shot from 27 ft
6:00.0,Defensive rebound by L. James,,102-94,,
5:59.0,R. Hood makes 2-pt shot from 1 ft (assist by L. James),2,104-94,,
5:43.0,,,104-96,2,R. Westbrook makes 2-pt shot from 2 ft (assist by P. George)
5:26.0,J. Clarkson makes 2-pt shot from 6 ft,2,106-96,,
5:17.0,,,106-96,,Offensive foul by S. Adams (drawn by J. Clarkson)
5:17.0,,,106-96,,Turnover by S. Adams (offensive foul)
5:17.0,,,106-96,,J. Grant enters the game for R. Felton
5:17.0,J. Smith enters the game for R. Hood,,106-96,,
4:58.0,Shooting foul by C. Anthony (drawn by L. James),,106-96,,
4:58.0,L. James makes free throw 1 of 2,1,107-96,,
4:58.0,,,107-96,,Oklahoma City full timeout
4:58.0,L. James misses free throw 2 of 2,,107-96,,
4:57.0,,,107-96,,Defensive rebound by C. Anthony
4:40.0,,,107-96,,P. George misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by J. Smith,,107-96,,
4:31.0,Shooting foul by C. Anthony (drawn by L. Nance),,107-96,,
4:31.0,L. Nance misses free throw 1 of 2,,107-96,,
4:31.0,Offensive rebound by Team,,107-96,,
4:31.0,L. Nance misses free throw 2 of 2,,107-96,,
4:29.0,,,107-96,,Defensive rebound by J. Grant
4:21.0,Personal foul by J. Clarkson (drawn by R. Westbrook),,107-96,,
4:21.0,,,107-96,,R. Westbrook misses free throw 1 of 2
4:21.0,,,107-96,,Offensive rebound by Team
4:21.0,,,107-97,1,R. Westbrook makes free throw 2 of 2
4:09.0,L. James misses 2-pt shot from 10 ft,,107-97,,
4:08.0,Offensive rebound by Team,,107-97,,
4:08.0,,,107-97,,Loose ball foul by P. George (drawn by L. Nance)
4:08.0,L. Nance makes free throw 1 of 2,1,108-97,,
4:08.0,L. Nance misses free throw 2 of 2,,108-97,,
4:07.0,,,108-97,,Defensive rebound by R. Westbrook
3:52.0,,,108-100,3,J. Grant makes 3-pt shot from 22 ft (assist by R. Westbrook)
3:28.0,L. James misses 2-pt shot from 22 ft,,108-100,,
3:23.0,Offensive rebound by L. Nance,,108-100,,
3:22.0,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Nance),3,111-100,,
3:11.0,,,111-100,,Shooting foul by J. Smith (drawn by P. George)
3:11.0,,,111-101,1,P. George makes free throw 1 of 2
3:11.0,Cleveland full timeout,,111-101,,
3:11.0,,,111-102,1,P. George makes free throw 2 of 2
3:00.0,J. Clarkson misses 2-pt shot from 14 ft,,111-102,,
2:57.0,Offensive rebound by L. Nance,,111-102,,
